"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","AJP","MJP","TOK","KYO","KAG","NAS","SHU","HAT","YON","COMMENTS"
1422,"*kàná-", 497,"1 to be unable, be unable to bear 2 to suppose, foresee 3 before, earlier","1 не мочь, не переносить 2 предполагать, ожидать 3 ранее, до того","-kana- 1, kana- 2, kane-te 3","-kana- 1, kàna- 2, kane-te 3","-kane- 1, kánete 3","kànétè 3","kaneté","","","","","JLTT 703. The meaning 'earlier, before' of kanete is derived < 'having foreseen'. Although Martin unites this *kana- with *kànà- 'to combine', we would prefer to keep the latter separate."
1423,"*kə̀tàpa-", 731,"to answer","отвечать","kotapa-","kòtàfa-","kotáe-, kotaé-","kòtàè-","kòtàè-","","","","","JLTT 713 (treating the verb as a historical compound of kətə + apa-, which is hardly plausible). The forms reveal some variation between *kə̀tàpa- and *kə̀tápa-."
1424,"*tàpì",2197,"name of various kinds of perch","назв. различных видов окуня","tapji","tàfì","tái","táì","taí","","","","","JLTT 538 ("sea-bream")."
1425,"*(d)ita-",2252,"plentiful, strong","обильный, чрезвычайный","ita-","ita-","","","","","","","","JLTT 829."
1426,"*árá", 466,"rough","грубый","ara-","árá-","àra-","árà-","","","","","","JLTT 825."
1427,"*(d)ita-", 357,"to freeze, freeze stiff","замерзать, застывать","","ita-","","","","","","","",""
1428,"*kusirə", 522,"bracelet","браслет","kusiro","","","","","","","","","JLTT 466."
1429,"*jásí-nap-", 385,"to feed, take care of","кормить, растить, заботиться о","jasinap-","jásínaf-","yàshina-","yáshíná-","yashiná-","","","","","JLTT 785."
1430,"*kàta-", 857,"beggar, beggary","нищий, нищенство","kata-no-wi","kata-wi, kata-no-wi (RJ kàtáfi, kàtafí)","","","","","","","","JLTT 443."
1431,"*támá", 233,"occasional(ly), rare(ly)","случайно, редко","","támá","tàma","támá","tamá","","","","","JLTT 539. One can also mention Jpn. \Idame\i 'in vain' (accent correspondences point to *támà-i) - a late word with an irregular voiced initial, but very probably having the same origin."
1432,"*də̀ntə́",2691,"backwater","заводь","jodo","jòdó","yodo","","","","","","","JLTT 575."
1433,"*kùsù-(m)p-", 539,"to smoke, fume","дымить(ся)","","kusuba-","kusubúr-","kúsúbúr-","kùsùbùr-","","","","","JLTT 717."
1434,"*kua",1051,"mushroom","гриб","","","kino-ko","","","","","","","JLTT 450. The word is usually analysed as "tree child"; this is obviously a folk etymology, in view of the external evidence."
1435,"*nəkə",1185,"brazenly","бесстыдно, без стеснения","","","noko-noko","","","","","","",""
1436,"*núká-r-",1169,"to get muddy","пачкаться, быть топким","","","nùkar-","núkár-","nukár-","","","","","JLTT 738."
1437,"*káná-i",1005,"metal","металл","kane","káné","kàne","káné","káne","","","","","JLTT 437. Final -a- can be seen in compounds like OJ kana-jumji, kana-ja etc."
1438,"*kuáma", 911,"foal, colt","жеребенок, жеребец","kwoma","kómá","kóma, komá","kòmá","kóma","","","","","JLTT 455. The accent is somewhat unclear (Kyoto is quite aberrant, but Tokyo and Kagoshima may still point to a high tone on the first syllable). The word is usually treated as kwo 'child' + uma 'horse', but the order of the components is quite unusual."
1439,"*tikiri", 297,"balance beam","коромысло, балансир (весов)","","tikiri","chikiri","","","","","","",""
1440,"*kə̀tə̀",2652,"thing, affair","дело","koto","kòtò","kotó","kótò","kotó","","","","","JLTT 459."
1441,"*kə̀k- ( ~ -ua-)", 866,"to urinate, excrete; to stink","мочиться, испражняться; вонять","","kòk-","kok-","","","","","","","JLTT 712."
1442,"*ampu-",1576,"1 to waste, discard, throw away 2 to suffer a loss, roam in a wasted state","1 выкидывать, выбрасывать 2 терпеть неудачу, потерянно бродить","abu-s- 1","abura- 2","aburé- 2","ábúré- 2","aburé- 2","","","","","The accent is difficult to reconstruct. The attestations of abu-ra- in OJ and MJ (RJ ábúra-) appear to mean 'to overflow' and probably represent a different root."
1443,"*pápái",1746,"fly","муха","pape","fáfé","hàe","háé","háe","","","","","JLTT 395."
1444,"*kap- / *kam-", 792,"1 turtle 2 frog","1 черепаха 2 лягушка","kame 1, kapjeru, kapadu 2","kàmè 1, kaferu, kafadu 2","káme 1, kàeru, kàwazu 2","kàmê 1, kàèrú, kàwàzú 2","kamé 1, kaerú, kawázu 2","","","","","JLTT 432, 435, 446. Original accent is not quite clear."
1445,"*ka(n)su",1052,"dried herring roe","сушеные молоки сельди","","","kazu-no-ko","","","","","","",""
1446,"*nànkui",1184,"1 a k. of grass (pickerelweed, water mallow?) 2 a k. of onion","1 вид травы (водяная мальва?) 2 вид лука","nagi 1","nàgì 1","négi 2","nègî 2","negí 2","","","","","JLTT 491, 495. Modern forms (attested since 18th c.) probably reflect a reinterpretation of the stem as a compound "root + onion" (*kui), which explains also some accent irregularities."
1447,"*nàtùkà-",1506,"lovely, dear","милый, дорогой","natuka-si","nàtùkà-si","natsukashí-","natsukáshi-","natsukáshi-","","","","","JLTT 836. Accent in Kagoshima is irregular (probably under lit. influence)."
1448,"*màrà",1305,"penis","penis","mara","màrà","","","","","","","","JLTT 472."
1449,"*nə̀mì ( ~ -ua-, -ui)",1215,"flea","блоха","","","nomí","nómì","nomí","","","","","JLTT 500."
1450,"*mùnkura",1362,"mole","крот","","ùgùrò-mòtì (also ugura-)","mògura, mùgura","mùgúrà, mùgùrá","mugurá","","","","","JLTT 484, 560. Accent is varying greatly, but low tone on the first syllable may be more or less reliably reconstructed."
1451,"*mìnə́",1326,"straw coat","соломенный плащ, накидка","mjino","mìnó","míno","mìnó","míno","","","","","JLTT 480. Accent in Kagoshima is irregular."
1452,"*mùtù-kí",1251,"swaddling-clothes","пеленки","","mùtù-kí","mútsuki","mútsúkí","mutsukí","","","","","JLTT 489. Accent in Kyoto is not quite regular (mútsúkì would be expected)."
1453,"*dunturi",2606,"Daphnyphyllum macropodum","дафнифиллум (небольшое вечнозеленое деревце)","","juduri-fa","yuzurí-ha","yúzúrí-há","yuzurí-ha","","","","",""
1454,"*nàrà",1438,"a k. of oak","вид дуба","nara","nàrà","nára","nárà","nára","","","","","JLTT 493. Accent in Tokyo and Kagoshima is aberrant."
1455,"*nírai",1458,"elm","вяз","nire","níre","nìre","nírè","nírè","","","","","JLTT 498. All sources point to a high tone on the 1st syllable."
1456,"*ùrià-", 672,"merry, joyful","веселый, радостный","ure-si","ure-si","ureshí-","úréshì-","ureshí-","","","","","JLTT 843."
1457,"*pansa-",1688,"to burst open, split","лопаться, раскалываться","","","hazé-","hàzè-","hazé-","","","","","JLTT 686. The PJ accent is not quite clear."
1458,"*suki",2047,"swaddling cloth, belt for fastening a child","пеленки, ремень для привязывания ребенка","sukji","","","","","","","","",""
1459,"*su",2573,"nest","гнездо","su","sú","sù, sú","sú","sù","","","","","JLTT 531. Original accent is not quite clear."
1460,"*səp-",2059,"to follow","следовать","s(w)op-","sóf-","sò-","só-","só-","","","","","JLTT 756."
1461,"*sìmpàr-",2016,"to tie, bind","завязывать","sibar-","sìbàr-","shibár-","shíbár-","shìbàr-","","","","","JLTT 749."
1462,"*tàmp(u)î",2327,"a k. of socks","вид носков","","tàbí","tábi","tàbî","tabí","","","","","JLTT 536."
1463,"*tákí, *tanki-t-", 254,"1 swift current, waterfall 2 to foam, overflow","1 быстрый поток, водопад  2 пениться, переливаться","takji 1, tagjit- 2","tákí 1, tagir- 2","tàki 1, tagír- 2","tákí 1, tágír- 2","táki 1, tagír- 2","","","","","JLTT 539, 761."
1464,"*tutə ( ~ -ua)",2375,"in the morning","утром, рано","","tùtó","tsúto, tsutó","tsútò","tsúto","","","","","JLTT 558. Accent not quite clear: modern dialects point rather to *tútə̀."
1465,"*múrá-t́ua",1520,"kidney","почка","muratwo","múrádó","","","","","","","","JLTT 488."
1466,"*tàtuàp-",2363,"to compare","сравнивать, уподоблять","tat(w)op(a)-","tàtòf(a)-","tatoé-","tátóé-","tàtòè-","","","","","JLTT 765."
1467,"*kuàk-",1135,"to flail, flay","сдирать кору, обмолачивать","kwok-","kòk-","kók-, kóg-","kòk-, kòg-","kòk-, kòg-","","","","","JLTT 712."
1468,"*kasunkapi",1037,"brace, latch","скоба","kasugapji","kasugafi","kasugai","","","","","","","JLTT 442."
1469,"*kasai",1017,"spool, tool for spinning, spool string","катушка, инструмент для наматывания, нить из катушки","kase, kasep(j)i","kase","kase","","","","","","","JLTT 441."
1470,"*kə̀sìki", 869,"hub","ступица колеса","kosikji","kòsìki","kóshiki","","","","","","","JLTT 458."
1471,"*tə́rə́-",2383,"to melt","плавиться","","toroka-, tórómós-","tòroke-","tóróké-","toroké-","","","","","JLTT 771."
1472,"*tamura",2305,"group, crowd","группа, толпа","tamura","","","","","","","","",""
1473,"*tamua",2341,"a k. of net","рыболовная сеть на ободе с длинной рукояткой","","","tamo","","","","","","",""
1474,"*ənə",  42,"1 self 2 the same","1 сам 2 одинаковый, такой же","ono, ono-re 1, onazi 2","ónó-rè 1, ònàzí 2","ònore 1, ònaji 2","ónóré 1, ònàjí 2","onoré 1, onají 2","","","","","JLTT 506, 507. The original accentuation is not quite clear; it may point to a confusion of different original roots (cf. OJ ojazi 'the same', for which the accent is unfortunately not attested)."
1475,"*pə́kə́r-",1814,"to be proud","гордиться","p(w)okor-","fókór-","hokór-","hókór-","hokór-","","","","","JLTT 692. The tone in Tokyo is irregular (hòkor- would be expected)."
1476,"*ùnkùpí-sù",   0,"nightingale","соловей","ùgùpjísù","","ugúisu","úgúìsù","uguisú","","","","","JLTT 560."
1477,"*sìntúka",2558,"quiet, silent","тихий, молчаливый","siduka","sìdúka","shízuka","shìzúkà","shizuká","","","","","JLTT 529."
1478,"*úru-tápa-",1582,"to complain, sue","жаловаться","urutapa-","uttáf-","ùttae-, uttaé-","úttáe-","ùttàè-","","","","","JLTT 781. Accent in Kagoshima is irregular."
1479,"*pànà-",1765,"to emit, separate","испускать, отделять(ся)","pana-t-, panara-","fànà-t-, fana-s-, fànàra-","hanát-, hanás-, hanaré-","hánát-, hánás-, hánáré-","hànàt-, hànàs-, hànàrè-","","","","","JLTT 684."
1480,"*bə̀tə́-", 122,"girl","девушка","woto-mje","wòtó-mé","otóme, òtome","òtómè","otomé","","","","","JLTT 513. The root should be kept distinct from OJ wòtò-kwò 'man', which in all probability goes back to *bə̀-tu-kua 'male child' and is parallelled by OJ wono-kwo id."
1481,"*puki",1800,"lapel of lining","отворот подкладки","","","fuki","","","","","","",""
1482,"*pu",1772,"stripes, (woven) stitch, mesh","(вышитые) полосы, швы","\Ipu\i","","","","","","","","","JLTT 416."
1483,"*pə- ( ~ -u-)",1850,"to sneeze","чихать","pu-, pana-pu- (pana 'nose')","fáná-fi-","","","","","","","","JLTT 690."
1484,"*pərə",1786,"cloak on armour","накидка на доспехах","","foro","hóro","hórò","hóro","","","","","Accent is not quite clear (both Kyoto and Kagoshima may reflect literary influence)."
1485,"*bə̀r-", 212,"to break; to bend","ломать; гнуть","wor-","wòr-","ór-","òr-","òr-","","","","","JLTT 742."
1486,"*pə̀r-",1789,"to dig, carve, engrave","копать, вырезать, гравировать","p(w)or-","fòr-","hór-","hór-","hòr-","","","","","JLTT 693."
1487,"*pampuki",1839,"bellows","мехи","pabuk(j)i","","","","","","","","",""
1488,"*pàkàmà",1819,"trousers","штаны, мужская юбка","pakama","fàkàmà","hakamá","hákàmà","hakamá","","","","","JLTT 396."
1489,"*túmpə́-m-", 300,"to stuff, press into","сжимать, сужать","","tuboma-","tsùbome-","tsúbómé-","tsubomé-","","","","","JLTT 771."
1490,"*tapai",2675,"a k. of cloth (made of bast), cloth in general","вид ткани (из лыка), ткань вообще","\Itape\i","tafe","shiro-tae","","","","","","","JLTT 537."
1491,"*tə̀pî ( ~ -ua-)", 316,"gutter","желоб","","","tói","tòî","toí","","","","","JLTT 548."
1492,"*pu", 161,"joint, knot","место соединения, узел","\Ipu\i","","","","","","","","","JLTT 416."
1493,"*patiku",1684,"bamboo (used for making trumpets)","бамбук (используемый для изготовления труб)","","fatiku","hachiku","","","","","","","Accent unknown."
1494,"*bàtà", 100,"cotton","хлопок","wata","wàtà","watá","wátà","watá","","","","","JLTT 569."
1495,"*tuá-p-",2268,"to address; to ask","обращаться; спрашивать","twop-","tóf-","tò-, tó-","tó-","tò-","","","","","JLTT 771. Tokyo tò- and Kagoshima tò- point to an accent variant *tuàp-."
1496,"*kánká-", 705,"to glitter, shine","блестеть, светить","kakajak-, kagajwop-","kákájak-, kagajof-","kàgayak-, kagayák-","kágáyák-","kagayák-","","","","","JLTT 701."
1497,"*kə́pə́r-",1109,"to freeze","замерзать","kop(w)or-","kófór-","kṑr-","kṓr-","kṓr-","","","","","JLTT 712."
1498,"*kutu-", 579,"to rot, become spoiled","гнить, портиться","kutu-, caus. kutas-","kùtu-, caus. kútás-","kuchí-, kùchi-","kúchí-","kùchì-","","","","","JLTT 717. Original accentuation is not quite clear. The causative kútás- in RJ and the variant kúchí- in Tokyo point to a high tone (corresponding to Turkic length), but other evidence is in favour of a low tone."
1499,"*sápár-",1879,"to hinder, obstruct","препятствовать, задерживать","sapar-","","sàwar-","sáwár-","sawár-","","","","","JLTT 748."
1500,"*tàkià-",2254,"wild, ferocious; brave","дикий, свирепый; храбрый","takje-si-","tàkè-sí-","takeshi (arch.)","","","","","","","JLTT 841."
1501,"*úrúsí",   0,"lacquer","лак","úrúsi","","ùrushi","úrúshí","urushí","","","","","JLTT 563."
1502,"*nasur-",1447,"to smear, rub","мазать, тереть","","","nasúr-","násúr-","nasúr-","","","","","JLTT 733. PJ accent is unclear."
1503,"*àmû",1525,"gad-fly","овод, слепень","amu","àbú","ábu","àbû","abú","","","","","JLTT 376."
1504,"*(d)írá-",2585,"1 to lend 2 to answer 3 answer","1 одалживать 2 отвечать; брать в долг 3 ответ","iras- 1, irap- 2","írás- 1, iraf- 2","irae 3","","","","","","","JLTT 698."
1505,"*nai ( ~ *nia)",1218,"price","цена","","","nè","\Inē̂\i","né","","","","","JLTT 495. Original tone is not quite clear (a rare case of monosyllabic circumflex in Kyoto)."
1506,"*kisa", 799,"elephant","слон","k(j)isa","kísà, kìzá","","","","","","","","JLTT 451."
1507,"*kasə", 573,"father","отец","kaso","kàzó, kázó","","","","","","","","JLTT 447."
1508,"*kə́sì", 861,"palanquin","паланкин","kosi","kósì","kóshi","kóshí","kóshi","","","","","JLTT 458. Accent in Tokyo and Kyoto is quite irregular."
1509,"*kuanami", 921,"first wife (in polygamy)","первая жена (при многоженстве)","kwonamji","kónámí","","","","","","","","JLTT 456."
1510,"*bàmià-k- ( ~ -ai-)", 219,"to howl","выть","","wamek-, womek-","wamék-","wámék-","wàmèk-","","","","","JLTT 783."
1511,"*àjà-",1592,"1 to manipulate by strings (dolls etc.) 2 to nurse","1 манипулировать при помощи веревок (куклами и т.п.) 2 нянчить","","àjà-túr- 1","ayatsúr- 1, ayas- 2","áyátsúr- 1","ayatsúr- 1","","","","","JLTT 679. The Tokyo accent is aberrant; otherwise all sources point to low tone."
1512,"*àkì",  18,"1 trade 2 to trade","1 торговля 2 торговать","akji 1, akjinap- 2","àkìnaf- 2","akiná- 2","ákíná- 2","akiná- 2","","","","","JLTT 675. The accent in Kagoshima is irregular. Cf. also OJ akap-, MJ àgàf- (aka-f-), aganaf- 'to buy, pay for' (JLTT 674, 675)."
1513,"*pànsìk-",1868,"to knock away (with a finger)","отталкивать щелчком пальца","pazik-","fàzìk-","hajík-","hájík-","hàjìk-","","","","","JLTT 686."
1514,"*púntí",1842,"Wistaria floribunda DC","Wistaria floribunda DC","pudi","fúdí","fùji","fújí","fúji","","","","","JLTT 420."
1515,"*kùtù", 486,"shoe","обувь, ботинок","kutu","kùtù, kùtú","kutsú","kútsù","kutsú","","","","","JLTT 467. Jpn. > Kor. \Ikudu\i id."
1516,"*əpəpə-", 669,"perturbed, taken aback","встревоженный, в замешательстве, мрачный","op(w)op(w)o-si","obobo-si","","","","","","","","JLTT 838."
1517,"*sikar-",2143,"to curse","ругать","","sikar-","shìkar-, shikár-","shíkár-","shìkàr-","","","","","JLTT 750. Original accent unclear (both *síkár- and *sìkàr- are possible)."
1518,"*kàmá",1001,"sickle","серп","kama","kàmá","káma","kàmá","kamá","","","","","JLTT 435."
1519,"*sài- ( ~ *sià-)",1956,"narrow","узкий","se-, seba-","sèbà-","semá-","sémà-","semá-","","","","","JLTT 839, 840."
1520,"*ú(n)tì", 673,"clan","род","udi","udi, útì","úji","újì","úji","","","","","JLTT 566. The Tokyo accent is aberrant."
1521,"*sùnsúmaí",2161,"sparrow","воробей","suzume","sùzúmé","sùzume","sùzùmé","suzumé","","","","","JLTT 535."
1522,"*dìmài / *dùmài",2613,"dream","сновидение","ime, dial. jumi","ìmè, jume","yumé","yúmè","yumé","","","","","JLTT 579."
1523,"*súnká-",1995,"to insert, fasten into a hole","вставлять, продевать","","súgá-","sùge-","súgé-","sugé-","","","","","JLTT 757."
1524,"*nə́kí ( ~ -ua-)",1224,"hanging edge of roof, eaves","стреха, свисающий край крыши","n(w)ok(j)i","nókí","nòki","nókí","nókì","","","","","JLTT 500."
1525,"*tə̀k-",2288,"to untie, unfasten","развязывать, распутывать","tok-","tòk-","tók-","tók-","tòk-","","","","","JLTT 769."
1526,"*tújá",2455,"glaze, glitter","блеск","","tuja","tsùya","tsúyá","tsúya","","","","","JLTT 558."
1527,"*ámpárá", 440,"rib","ребро","","","àbara(bone)","ábárá(bóné)","abara(bóne)","","","","","JLTT 376."
1528,"*tàmiàrap- ( ~ -ai-)", 230,"to hesitate","сомневаться","","tàmèraf-","tamerá-","támérá-","tamerá-","","","","","JLTT 763. The accent in Kagoshima is irregular (under literary influence)."
1529,"*tùmpákì",2251,"Camelia","камелия","tubakji","tùbákì","tsúbaki","tsùbákì","tsubakí","","","","","JLTT 552. It is interesting to note MKor. toŋpăik, mod. toŋbäk 'camelia': it is regarded as Sino-Korean, but written as "winter cypress" (冬柏), a character and meaning combination unattested in Chinese. With a great probability, therefore, MKor. toŋpăik is borrowed from Jpn. (not vice versa, as suggested by Martin ibid.)."
1530,"*də́",2258,"generation, age","поколение, возраст","jo","jó","yó, yò","yò","yó","","","","","JLTT 575."
1531,"*tùrárá", 244,"icicle","сосулька","","turara","tsùrara","tsùràrá","tsurará","","","","",""
1532,"*tàjá-, *tàjù-",2335,"1 to interrupt (of breath); stop 2 to be tired, lazy","1 прерываться (о дыхании), останавливаться 2 уставать, лениться","taja- 1","tàjà- 1, tàjù-m- 2","taé- 1","táè- 1","tàè- 1","","","","","JLTT 761, 766."
1533,"*də̀sə̀p-",2245,"1 to equip 2 equipment","1 облачаться, снаряжаться 2 снаряжение","josop-, josop(w)op- 1, josopji 2","jòsòf-, jòsòfòf- 1, jòsòfì 2","yosṓ-, yosó- / yòso- 1, yosói 2","yósṓ-, yósó- 1, yósóí 2","yosṓ-, yosó- 1, yosói 2","","","","","JLTT 578, 787. Modern dialects reflect also a variant with high tone: it must be secondary, under the influence of *də́sə̀ 'outer side' (interpreted as a compound *də́sə̀ + ə̀p- 'put clothes on the outer side')."
1534,"*tuntumi",2270,"drum","барабан","tudumji","túdúmí","tsuzumí","tsúzùmì","tsuzumí","","","","","JLTT 559. Modern dialects point uniformly to *tùntùmì, but RJ has high tone."
1535,"*kə̀nsìrì", 827,"chape, stripes and ornaments for quivers, furniture etc.","оковка ножен, полосы и украшения для колчанов, мебели и т.п.","","kòzìrì","kojiri","","","","","","","JLTT 460."
1536,"*sìmài ( ~ -ià)",2006,"a k. of hawfinch, Coccothraustes coccothraustes japonicus","вид дубоноса","","sìmè","shimé","shímè","shimé","","","","","JLTT 524."
1537,"*súmpárú",2154,"Pleiades","Плеяды","subaru","súbáru","sùbaru, súbaru","súbárú","subáru","","","","","JLTT 531."
1538,"*kàmpà-", 481,"1 to take care of, protect 2 one of ancient titles","1 заботиться, защищать 2 один из древних титулов","kabane 2","kabane 2","kabane 2, kabá- 1","kábá- 1","kàbà- 1","","","","","JLTT 700."
1539,"*mànkúrúa",1374,"tuna-fish","тунец","","","màguro","màgùró","maguró","","","","","JLTT 470."
1540,"*kátúrá",1060,"Cereidiphyllum japonicum","багряник японский","katura","kátúrá","kàtsura","kátsúrá","katsúra","","","","","JLTT 445."
1541,"*kútí-", 520,"Gardenia jasminoides","Gardenia jasminoides","","kútínasi","kùchinashi","kúchínáshí","kuchináshi","","","","",""
1542,"*kàràmùsì", 729,"Boehmeria frutescens, a k. of hemp","вид конопли, Boehmeria frutescens","","kàràmùsì","karamushi","","","","","","","JLTT 439. Analysed within Jpn. as kara 'China' + musi 'ramie', which may be a folk etymology."
1543,"*kírí", 846,"Paulownia tomenfosa","павлония войлочная","k(j)iri","kírí","kìri","kírí","kíri","","","","","JLTT 451."
1544,"*kántúrá", 527,"vine, creeper","лоза","kadura","kádúra","kàzura","kázùrà","kazúra","","","","","JLTT 447. All dialects except Kyoto point to high tone."
1545,"*àwà",2541,"foam","пена","awa","àwà","awá","áwà","awá","","","","","JLTT 387."
1546,"*sasu",2569,"sticking edges of the roof beams","выступающие края балок крыши","sasu","","","","","","","","",""
1547,"*ùmà", 438,"horse","лошадь","uma","ùmà","umá","úmà","umá","","","","","JLTT 561."
1548,"*pə̀tə̀p- / *pùtùk-",1649,"to be angry, disturbed","сердиться, тревожиться","putukum-","futuk-, fòtòfòr-, fùtùkùm-","","","","","","","","JLTT 693, 695. OJ potopor- and putuk- are hard to separate; the vocalism in putuk- may have been influenced by putukurwo / put(w)ok(w)orwo 'breast' (or else the vocalism in potopor- may have been influenced by a homonymous potopor- 'to emit heat')."
1549,"*pùkà-",1835,"deep","глубокий","puka-","fùkà-","fuká-","fúkà-","fuká-","","","","","JLTT 828."
1550,"*pìntárí",1796,"left","левый","p(j)idari","fìdári","hìdari","hìdàrí","hidarí","","","","","JLTT 405."
1551,"*piàrì",1747,"edge, brink","край","","fèrì","herí","hérì","herí","","","","","JLTT 404."
1552,"*kámpú", 553,"stump","пень","","kabu","kàbu","kábú","kábu","","","","","JLTT 431."
1553,"*kàmàp-",1031,"to take care of, be concerned with","заботиться о","kamap-","kàmàf-","kamá-","kámá-","kàmà-","","","","","JLTT 703."
1554,"*pàkàr-",1633,"to plan, decide, measure","планировать, решать, измерять","pakar-","fàkàr-","hakár-","hákár-","hàkàr-","","","","","JLTT 683."
1555,"*pə̀k(a)-",1692,"to be distressed, restive","волноваться, быть в смятении","","fòk(a)-","boké-","bòkè-","boké-","","","","","JLTT 680. Accent in Kagoshima is irregular. One of the few cases of secondary expressive initial voicing in modern Japanese."
1556,"*kakatə", 909,"heel","пятка","","","kàkato","kákátó","kakató","","","","","JLTT 433. Original accent is not quite clear."
1557,"*tə̀nká-", 312,"to commit, fulfil, come to an agreement","совершать, достигать, приходить к соглашению","t(w)oga-","tògá-","togé-","togé-","","","","","","JLTT 769. Accent in Kagoshima is aberrant."
1558,"*dúká", 350,"floor","пол","juka","júká","yùka","yúká","yúka","","","","","JLTT 579. Cf. Kor. jò 'cushion, mattress' < Jpn.?"
1559,"*numpa-",1206,"fruit of the hiōgi plant (Belamcanda chinensis; dark red, violet / black in colour)","плод дерева Belamcanda chinensis; темно-красного, фиолетового / черного цвета","nuba-tama","","ubatama","","","","","","","JLTT 501."
1560,"*tùnkúm(u)í",2309,"blackbird","дрозд","","tùgúmí","tsùgumi","tsùgúmì","tsugumí","","","","","JLTT 553. The Kyoto accent is aberrant."
1561,"*də̀pə̀rə́",2623,"hollow under knee","подколенная впадина","jop(w)oro-kub(w)o","jòfòró","","","","","","","","JLTT 577."
1562,"*pàmì",1763,"Phlomis umbrosa; chestnut, acorn, filbert, oxalis","Phlomis umbrosa; каштан, лещина","pamji","fàmì","\I-bami\i","","","","","","","The root is present in compounds: pasi-bamji, turu-bamji, kata-bamji - see JLTT 397."
1563,"*bánsá-pápí", 138,"damage, harm, disaster","вред, несчастье","wazapap(j)i","wazafafi","wàzawai","wázáwái","wazawái","","","","","JLTT 569."
1564,"*pə̀-",1762,"to dry up","сохнуть","\Ipu-\i (po-)","fi-, fu","hí-","hí-","hì-","","","","","JLTT 690. Final *-ə- can be determined on the basis of the caus. *pə̀-s-, OJ p(w)os-."
1565,"*tatipi", 258,"viper","гадюка, ядовитая змея","tadipji","tatifi, tadifi","","","","","","","",""
1566,"*tə̀nə̀", 269,"building, residence","здание, резиденция","tono","tònò","tono","","","","","","","JLTT 550."
1567,"*mərəkəsi",1491,"sorghum","сорго","","","mòrokoshi","mórókóshí","morokoshí","","","","","The word is not attested in OJ and MJ; it is not quite clear whether it can be equated with OJ morokosi 'China'."
1568,"*núN- / *núiN- / *núaN-",1230,"rainbow","радуга","nizi, nuzi, dial. n(w)ozi","nízì","nĳí","níjì","níji","","","","","JLTT 498-499. The word raises many problems, due to irregular reshapings. Most forms reflect *nVn-si, but there are some going back to *nVn-ki, like Akita nogi, Shuri nūǯi etc. (see ibid.), so we conclude that the original stem must have been *nuN-, with varying suffixation."
1569,"*tami", 270,"people, subjects","народ, подданные","tam(j)i","tàmì","támi","támì","támi","","","","","JLTT 540. Accent in Tokyo and Kagoshima is quite irregular (reflecting an early borrowing < Kyoto?)."
1570,"*ùrà-m-",1532,"to resent, regret","обижаться, сожалеть","uramu-","ùràm-","urám-","úrám-","ùràm-","","","","","JLTT 779. Cf. also *ùriàp-, OJ urep- 'to grieve'."
1571,"*pìwə̀-musi", 173,"a k. of insect (day-fly, ephemera)","вид насекомого (поденка, мотылек)","","fìwòmúsì","","","","","","","","JLTT 408."
1572,"*màwə̀-s-",1298,"to speak (polite)","говорить (вежл.)","mawos-","maus-","mṓs-","mṓs-","mṑs-","","","","","JLTT 726."
1573,"*ùmà-",1548,"proficient, worthy; delicious","достойный, удачный; вкусный","uma-","ùmà-","umá-","úmà-","umá-","","","","","JLTT 843."
1574,"*uni",1575,"sea urchin","морской еж","","","úni","únì","uní","","","","","JLTT 563 (original accent unclear)."
1575,"*ə̀ntə̀rə̀k-",1608,"to be startled, horror-struck","пугаться","od(w)or(w)ok-","òdòròk-","odorók-","ódórók-","odorók-","","","","","JLTT 740. Accent in Kagoshima is irregular."
1576,"*mútú-m-",1318,"to be friendly, show affection","быть дружественным, приветливым","mutub-","mútúm-, mútúb-","mùtsum-","mútsúm-","","","","","","JLTT 729."
1577,"*tùrù(n)kì", 267,"sword","меч","turugji","tùrùgì, tùrùkì","tsurugí","tsúrùgì","tsurugí","","","","","JLTT 557. Kagoshima accent is irregular."
1578,"*màk-",1339,"to sow","сеять","mak-","màk-","mák-","mák-","màk-","","","","","JLTT 720."
1579,"*ànkà-k-", 421,"to paw (the air); struggle, strive","бить копытами (о лошади); напрягаться","agak-","àgàk-","agák-","ágák-","àgàk-","","","","","JLTT 674. Usually analysed as a compound *asi 'foot' + *kak- 'scrape', which is probably a folk-etymological explanation."
1580,"*pərə",1830,"falcon's wings; underwing feathers of a bird","крылья сокола; перья под крыльями","","foro, foro-fa","","","","","","","","JLTT 415."
1581,"*ìtàpi", 446,"Japanese fig","японская фига","itabji","ìtàbì, ìtàbí","","","","","","","","JLTT 427."
1582,"*sárápí",1955,"rake, pitchfork","грабли, вилы","","sáráfí","","","","","","","","JLTT 518."
1583,"*sàkùrì",1991,"hiccough","икота","","sàkùrì","shakkuri","","","","","","","JLTT 517."
1584,"*sintar-",1986,"to droop, hang down","свешиваться","sida-r-, tr. sida-","sida-r-","","","","","","","","JLTT 750."
1585,"*sùm-",2114,"to end","кончаться","","sùm-","súm-","súm-","sùm-","","","","","JLTT 759."
1586,"*mə̀r-",1507,"to pluck, tear off","вырывать, срывать, выщипывать","m(w)or-","mor-","","","","","","","","JLTT 727. Low tone is indicated by attested Ryukyu forms."
