"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","WMO","MMO","HAL","BUR","KAL","ORD","DUN","BAO","DAG","YUY","MGR","MOGH","REFERENCE"
1548,"*sari-",2550,"1 sheep skin without hair 2 leather, pellicle 3 scrotum","1 овчина без шерсти 2 кожа, кожица 3 мошонка","sarmai 1, sari-su(n) 2 (L 676), saraɣana-su, saraɣanag 3","sarisu 'goatskin, saffian' (MA 319)","sarmaj 1, saŕs 2, sarānag 3","harmaj, haŕmaj 1, haŕha(n) 2, harāna 3 (scrotum of animals)","sarmǟ 1, säŕsṇ 2","","","","","","","","KW 313, 319."
1549,"*üniɣen", 602,"cow","корова","ünĳe(n) (L 1010)","uni'en (SH), unejen (HY 11)","ünēn","üńē(n)","ünɛ̄, ünɛ̄n","ünē(n)","","unaŋ","unē, (Тод. Даг. 171) uńē","nīn","unē (SM 472)","üinä (Ramstedt 1906)","KW 458, MGCD 694. Mong. > Man. unĳen etc., see Poppe 1966, 191, Sinor 1962, 321, Doerfer MT 139, Rozycki 218-219."
1550,"*gujir- ( ~ k-)",   0,"to poison","отравлять","","quǯir- (SH), guǯir 'poison', guǯile- (HY) Mожет сравнить его с тунгусским xidar 'горький, едкий, а тунгусов наоборот отделить от японо-корейской чесотки.","","","","","","","","","","",""
1551,"*köb-",1051,"moss","мох","köbdü; (L 476) köbke","","xövd","xübxe(n)","","","","","","","","","Mong. > Yak. köppöx, Dolg. köppök 'moss' (Stachowski 156)."
1552,"*dereji-", 357,"to become stiff, freeze stiff","замерзать, застывать","dereji- (L 253)","","derĳ-","","","","","","","","","",""
1553,"*kubi", 904,"1 part, deal 2 to divide","1 часть, порция 2 делить, распределять","qubi 1 (L 976), qubĳa- 2 (L 977)","qubi (SH,MA) 1, qubĳaxda- 2 (HYt), qūbi (IM)","xuv́ 1","xubi 1","xuwə- 2, xüvə 1 (КРС)","xuwi 1","\IGuɣa-\i 2","χua- (Тод. Бн.), \IGua-\i 2","xob́ 1, (Тод. Даг. 176) xobi 1","χuwə 1","xuGwā- (SM 176), xuGua- 2","","MGCD 382. Mong. > Evk. kuwi, kowi; Tuva xū (see TMN 1, 422)."
1554,"*goju", 563,"beautiful, good","красивый, хороший","ɣoju, ɣoji (L 358)","","gojo","gojo","","\IGojoGlo-\i 'marcher d`un facon élégant et vive (femmes)'","","","goji (Тод. Даг. 132)","","","","Mong. > Evk. gojo etc., see Doerfer MT 102; MMong. goiqan > Chuv. xüxəm (Róna-Tas 1971-1972)."
1555,"*sugu-",2128,"1 to take out 2 to fall out, slip out","1 вытаскивать 2 ускользать, вырываться, выпадать","suɣula- 1, suɣura- 2 (МXTTT)","","sugul- 1, sugura- 2","hugal- 1, hugar 2","suɣḷ- 1 (КРС)","suGul- 1","","","","","sūli-; sūrā-  'tirer hors de, retirer, arracher 1; sorti en se détachant 2' (SM 358, 363), soGor 'sillon, conduit d'ea 'fossé' (SM 352)","",""
1556,"*soɣoŋgu-",2105,"to choose","выбирать","soŋgu- (L 726)","so'aŋgu (HY 34), soonkuul- (SH Козин)","soŋgo-","hunga-","suŋɣə- (КРС)","suŋGu-","sunɣu- (Тод. Дн.)","","soŋgo- (Тод. Даг. 164)","","","",""
1557,"*suɣu(wu)",2124,"armpit","подмышка","suɣu(n), suu (L 734)","su'u (HY, SH), suw (IM)","suga","huga","\Isǖ,\i \Isū\i","\Isū\i","suɣə, sunGo","soχo","\Isō\i (Тод. Даг. 163)","\Isū\i","\Isū\i 'aisselle' (SM 355)","","KW 339, 341, MGCD 609."
1558,"*saɣali",1882,"cross-bow","арбалет","saɣali (L 657)","","sāĺ","hāli","sāĺə","","","","","","","","KW 317. Mong. > Neg. saɣla 'prop for a cross-bow arrow'."
1559,"*milan",1266,"plague","чума","milan (L 539)","","ḿalan","mila(n)","","","","","","","","",""
1560,"*buruɣu", 201,"wrong, bad","неверный, дурной, несправедливый","buruɣu (L 138)","buru'u (SH, HY 51), burū (MA)","burū","burū","burū","burū","buru","","borō (Тод. Даг. 128, MD 126)","burǖ","burū","","KW 62, MGCD 170. Mong. > Evk. burū etc., see Doerfer MT 123."
1561,"*ǯeɣe-ken", 223,"1 wolverine 2 jackal","1 росомаха 2 шакал","ǯegeken (L 1051: ǯigege) 1, čöge-büri 2","ǯo'ebori 2 (SH)","ʒēx(en) 1, cȫvör 2","zēgen 1","zēgən 1 (КРС)","","","","","","","","On -büri see under *beltereg."
1562,"*ǯaki-",2604,"to order","приказывать, заказывать","ǯaki- (L 1028)","","ʒaxi-","zaxi-","zakə- (КРС)","ǯaχi-","","","ǯeki- (Тод. Даг. 142 ǯaki-, 180 čakir-)","ǯakə-","ǯəGān 'honnête, loyal, en paix' (SM 72)","","MGCD 437."
1563,"*sowsar",1954,"marten","куница","sowsar, (L 741, DO 595) suusar","","sūsar","","suwsṛ (КРС)","sūsar","","","","","","","Mong. > Turk. sawsar etc. (not vice versa, despite TMN 3, 297-298, Clark 1980, 39, ЭСТЯ 7; Khalkha > Bur. (Okin., Tunk.) sūsari 'помесь куницы и соболя'."
1564,"*kata-",1020,"1 hard 2 to become hard, dry up","1 твердый 2 черстветь, высыхать","qata- (L 943) 2, qataɣu 1","qatau'u (HY 54), qataŋgin (SH), qata'u (MA) 1, qətəmər 'dried (meat)' (IM)","xat- 2, xatū 1","xatū 1","xatū 1, xatə- 2 (КРС)","\IGatū\i 1","qɨdun, qɨtun 1","χotoŋ 1","katən (Тод. Даг. 148: katō, katū, 174: xata-); katen, katū (MD 182) 1","\IGadū\i 1","xadoŋ (SM 147) 1, xadā- (SM 146) 2","xata 1 (Weiers)","TMN 1, 410, MGCD 336."
1565,"*daɣulga", 222,"helmet","шлем","daɣulɣa, duɣulɣa (L 271)","du'uluqa (HY 19), dăwulɣa (MA)","dūlga","dūlga","dūlɣə, dūlxə","dūlGa","","","","","","","KW 104. Mong. > Chag. davulɣa, dubulɣa, duvulɣa, duluɣa, see Щербак 1997, 203."
1566,"*böǯi-",1635,"to dance","танцевать","böǯi- (L 153: büǯi-)","boǯi (HY 35), buǯo- (IM), buǯi- (MA)","böǯi-, büǯi-","büžeg","böǯi-, büǯi-","böǯök 'elégant, joli', böǯöglö-","","","","","","","KW 54."
1567,"*tüsi-",2471,"to assist, help, rely on","помогать, полагаться на","tüsi- (L 856)","tüši- 'belehnen' (HYt)","tüši-","","tüš-","düši-","","","","","","","KW 417, TMN 1, 269."
1568,"*kasi-", 737,"to have a bitter experience, become frustrated","не удаваться, разочаровываться","qasira-  (L 942)","","xašir, xašra-","xašar 'хлопоты, беспокойство'; хašar- 'испытывать отвращение'","","\IGašara-\i","","","","\IGašar-\i","","","MGCD 334."
1569,"*eŋ", 461,"breadth, width","ширина","\Ieŋ\i (L 317)","","\Ieŋ\i","en(g)","\Ieŋ\i","\Ieŋ\i","","","","","\Iaŋ\i 'largeur des étoffes, la chaîne d'un tissu' (SM 9)","","KW 122, MGCD 261."
1570,"*bisi-ɣu, *busi-ɣu",  98,"1 quick, swift 2 to run away (of horses)","1 быстрый, ловкий 2 убегать (о лошадях)","bisiɣu, bušiɣu 1 (L 106, 140), busqu- 2","biši'un 'fair, smart' (38 HY); bišun (MA)","bušū 1, busga- 2","bušū 1","bušū 1","bušū 1","","","","","","","KW 63. Mong. > Kirgh. bosqɨn 'flight'."
1571,"*beɣelej", 129,"gloves","рукавицы","begelei (L 94)","","bēlĳ","bēlej","bēĺɛ̄","","","","bēli, bēĺ (Тод. Даг. 125, MD 121)","","","","KW 44, MGCD 147. Mong. > Chag. bählä etc., see TMN 4, 273-274; > Russ. Siber. béla, see Аникин 149."
1572,"*bul-",1677,"swelling, lump","опухоль, выпуклость","buluw, bulduruw (L 134, 136: bulu, bulduru)","bulu 'hob' (HY 18)","bulū, buldrū","bula, bulū; bulxaj- 'be convex'","bulə","","","","bol, bolo 'bolster' (Тод. Даг. 127)","","","","KW 59. An expressive root with numerous derivatives (bul-t-, bul-č-, bül-t- etc.); there also exist variants with -a- (bal-t-, bal-č- etc.). Most of these forms can also be found borrowed in modern Turkic and Tungus languages (see, e.g., Doerfer MT 73). Bur. > Russ. Siber. buldurun 'кочка' (Аникин 140)."
1573,"*budurgana", 156,"a k. of grass (Suaeda prostrata, Iljinia Regelii)","вид травы (поташник)","budurɣana (L 131)","","budargana","budargana","budṛɣənə 'жерняк, вид Артемизии'","budurGana, budurGanaq 'Reamuria soongorica Maxim.'","","","","","","","KW 57. Mong. > Man. budurxana (see ТМС 1, 102)."
1574,"*dürü-", 253,"to stick into","втыкать","dürü- (L 283)","duru- (MA 185)","düre-","düre-","dür-","","","","","","","","KW 105-106."
1575,"*ǯoruɣa",1504,"arrow with bone head","стрела с костяным наконечником","ǯoruɣa (L 1072)","","","žorxo `bone arrow (for dice play)'","","","","","","","","","Mong. > Man. ǯoro id."
1576,"*kolim", 947,"a k. of rice","вид риса","qolima (МXTTT) 'a k. of cereal similar to corn'","","xolim","","","","","","xualimpe 'oat'","","","","Mong. > Man. xolimpa, Sol. xolimpa, xolimpo (Тод. Даг. 178)."
1577,"*kör", 886,"1 dense, thick snow 2 to freeze","1 толстый сугроб 2 замерзать, остывать","kör 1, körü- 2 (L 490)","kor-be 'iced, cold' (HY 6)","xör 1, xörö- 2","xür 1, xüre- 2","kör 1, kör- 2 (КРС)","kör- 2","","","","kör 1, kör-, körgö- 2","kori- 'se geler' (SM 215), korə 1","","MGCD 375, 376."
1578,"*mel-",1303,"bright, polished, shiny","светлый, блестящий, блестеть","meli-ji-, (L 534) melmeji-","","melĳ-","melmen, melgen, meliger, melĳ-","","melmeŋ, melmeger","","","","","","",""
1579,"*nöɣe-",1486,"to keep, preserve","сохранять, откладывать","nöɣe- (L 592)","","nȫ-","nȫ-","nȫ- (КРС)","nȫ-","","","","","","",""
1580,"*nögči-",1509,"to pass","проходить, миновать","nögči- (L 592)","nokči- (SH, HY 38)","nögči-, nöxcö-","nügše- 'to pass away'","nökcɛ̄-","nögči-","","","nurši- (Тод. Даг. 159)","","noGsʒ́i- (SM 282)","","KW 280, MGCD 514."
1581,"*ǯigutu-",1212,"to run away","убегать","ǯiɣutu- (L 1077: ǯuɣtaɣa-, ǯiɣutaɣa-)","","ʒugta-","zugada-","","","","","","","","",""
1582,"*ǯogso-",2617,"to stand still, stop, finish","останавливаться, прекращаться","ǯoɣso- (L 1067: ǯoɣsu-)","","ʒogso-","zogso-","zoksə-","ǯoGso-","","","","","","","Mong. > Kirgh. ǯūša- etc. (ЭСТЯ 4, 34-35), see KW 475, VEWT 127."
1583,"*ebü-ge-", 443,"1 old man, grandfather 2 ancestor","1 старик, дед 2 предок","ebügen 1, ebüge 2 (L 290)","ebugan 1, ebuge(n) 1,2 (SH)","övgön 1, övög 2","übge(n) 1","öwgṇ 1, 2","öwögö(n) 1, 2","","","eukē 'elder sister's husband'","","","","KW 302. Mong. ebügen > Chag. äbügän etc., see TMN 1, 109-111."
1584,"*čabči-", 271,"to chop, mow","колоть, рубить, косить","čabči- (L 154)","č[e]wča- (IM), čabči- (MA)","cavči-","sabša-","capči-, čapči-","ǯabči-","čɨǯɨ-","čəbči-","čirč- (Тод. Даг. 181 čerči-), čarči-","ǯabča-","ʒ́abśʒ́i- (SM 76), ćavći- (Huzu), čabǯi (Minghe)","","KW 437, MGCD 555. Mong. > Man. sabči-, Nan. čapči- etc., see Doerfer MT 115, Rozycki 172; > Kirgh. čapčɨ- 'бить ногой (о лошади)'."
1585,"*čigör-", 279,"cypress tree","кипарис","","čigorsun (pl. čigot) (HY 6, SH)","","","","","","","","","","",""
1586,"*kormu-sun", 980,"thin silk kerchief","тонкий шелковый платок","qormusun","","","","xorməsṇ","","","","","","","","KW 188."
1587,"*gobi-", 566,"1 chute 2 empty place, desert","1 желоб 2 пустое место, пустыня","ɣobil 1, ɣobi, ɣobĳa 2 (L 357)","","govil 1, gov́ 2","gobil 1, gubi 2","ɣoẃl 1, ɣuẃ, ɣoẃə, ɣöẃə, ɣowi 2 КРС 164.","\IGuwil,\i \IGuwi\i 2","gobi","gəbi","gobi, gob́ (Тод. Даг. 132) 2","gobi","","","KW 152, MGCD 296. Mong. > Evk. gowi, Man. gobi, see Doerfer MT 102, Rozycki 90. Forms like Kaz. qobɨ, Oyr. qobɨ etc. (ЭСТЯ 6, 6-7) are also most likely < Mong."
1588,"*köjil-sü",1101,"navel","пупок","köi(l)sü (L 498: küisü(n), küilsü(n))","kojisun (HY 47, 15), kuj-sun (MA)","xüjs","xüjhe(n)","kīsṇ","kǖs, kīs, küjs, kȫs, kǖsü","kuisun","kisoŋ","kuise (Тод. Даг. 151, MD 184)","kǖsən","kwə̄ʒə; kwə̄gi- 1 'nombril, centre; couper le cordon ombicical à l'enfant 1' (SM 208)","ZM kosun (3-3b)","KW 239, MGCD 397."
1589,"*kabta-su",1008,"side boards on saddle ( > folder)","боковые доски на седле; папка","qabtasu (L 899)","qabtasu 'k. of board' (MA 218, 295)","xavtas","xabtahan, xabtagaj","xaptəsṇ","\IGabtasu\i","","","xartas, kartas (Тод. Даг. 174) karetese (MD 181)","","","","KW 167. Mong. > Orch. kaptasi, Man. χabta etc. (see Rozycki 96)."
1590,"*kuwka",1049,"scrotum","мошонка","quwqa, -naɣ, qaɣunaɣ (L 910)","","xūx, xūxnag","xūxanag","? xūx 'thick skin' (КРС)","","","","","","","",""
1591,"*kob-", 833,"1 groove 2 pit, channel 3 ventricle of the heart 4 gutter, trough","1 желоб 2 яма, канава 3 желудочек сердца 4 корыто","qobil 1, qobudal 2,3, qobul 4 (L 949, 950)","","xovil 1, xovdol 2, 3, xovol 4","xobō 1, 4, xobol 1, 2, 4  xobdol 3","xowdəl 3 (КРС)","","","","","","","",""
1592,"*gör-", 571,"1 slander, deceit 2 slanderer 3 to slander","1 клевета, обман 2 клеветник 3 клеветать","gör 1, göre-či 2, görde-, görle- 3 (L 387)","","görč 2, gördö- 3","gürde- 3","görd- 'to deny' (КРС 147, 149)","gör 1, gördö- 3, görči 2","","","","gördȫ- 3","","","MGCD 300."
1593,"*gurba-", 560,"to creep, move creeping (of a snake)","ползать, двигаться подобно змее","ɣurba-","","gurvalǯa--","","ɣurwǟ-, ɣurwlzə-","","","","","","","","KW 156."
1594,"*marĳa-, mirĳa-",1259,"to creep (up), crawl, be in ambush","подползать, быть в засаде","marĳa-, miraɣa-, mirĳa- (L 529)","","ḿarā-","maŕā-","merǟ-","","","","","","mara (SM 233)","","KW 261."
1595,"*ǯöl(ü)ge",1485,"green meadow","зеленый луг","ǯölge (L 1085: ǯülge)","ǯolge (SH, see TMN 1, 295)","ʒüleg","zülge","zölgə","","","","","","čorgō 'vallée avec une rivière au milieu' (SM 440)","","KW 477. Mong. > Kirgh. ǯülgö etc., see ЭСТЯ 4, 37-38, TMN 1, 295."
1596,"*ǯorgul",1409,"young elk or deer","молодой олень или лось","ǯorɣul (L 1071)","","ʒorgol","zorgol 'годовалый изюбр'","","","","","","","","",""
1597,"*ǯöɣe-",1517,"warm, warmish, cooled","теплый, тепловатый, прохладный","ǯögen, ǯögeg (L 1074)","ǯu'en (SH), ǯue'en (HY 6) 'cool'","ʒȫn, ʒȫg","","zȫg","","","","","","","","KW 479. The meaning 'cool' may be secondarily induced by *ǯiŋ-de- (q. v. sub *ńi̯oŋe)."
1598,"*siröge",1929,"fence, barrier made of pointed sticks","забор","sirüge, (L 757) šörge","","šörög","šürge","šörgə","","","","","","","","KW 366."
1599,"*sinu-",2039,"to covet, yearn, be greedy","жаждать, быть жадным","sinu- (L 713)","","šuna-","šuna-","šun-","šinorxo-, šonorxo-, šono- 'to desire'","","","","","","","KW 368."
1600,"*sinǯi",2557,"1 shape, form 2 to investigate","1 вид, форма 2 наблюдать, исследовать","sinǯi 1, sinǯile- 2 (L 713, 714)","","šinǯ 1, šinǯle- 2","šenže 1 šenžel- 2","šinǯə 1 (КРС)","šinǯi 1","","","","","","",""
1601,"*simarga",2054,"wet snow","мокрый снег","simarɣa, simergen, šamaraɣ (L 709)","","šamarga","šamarga(n)","šamrɣə","šimarGa, šimarxaG 'grésil'","","","","","","","KW 348."
1602,"*siɣur-",1994,"1 to blow (of snow storm) 2 snow storm","1 бушевать (о метели) 2 метель","siɣur- 1, siɣurɣa(n) 2 (L 701)","ši'urɣan 2","šūra- 1, šūrga 2","šūrga 2","šūr- 1, šūrɣṇ 2 (КРС)","šūrGan 2","","","šōrgə 2","šūrGa 2","śūrGa 2","","MGCD 724. Mong. is the probable source of Turkm. sɨrɣɨn, Oyr. sɨrɣɨn, Tat. sɨraw etc. (see Лексика 49), as well as of Man. šurga- (see Rozycki 196)."
1603,"*sibi-",2013,"1 to whisper 2 whispering","1 шептать 2 шепот","sibine-, sibene-, sibegene- 1, sibir, siber, sibenel 2 (L 694, 695)","","šivne- 1, šiver, šivnel 2","šebene- 1 šeber 2","šiwṛ 2 (КРС)","šiwene- 1, šiwer 2","","","šabkālči- 1","šabrā- 1","","","MGCD 714. Mong. > Kirgh. sɨbɨr."
1604,"*taŋgarag",2306,"oath","клятва","taŋɣaraɣ (L 776: taŋɣariɣ)","","taŋgarag","tangarig","taŋɣərəg (КРС)","taŋGarik","","","taŋgarag (Тод. Даг. 165)","","","","Mong. > Sol. taŋarag, Man. taŋgarik, taŋkari, see Doerfer MT 139, Rozycki 202."
1605,"*söɣem",1889,"small span","малая пядь","sögem, sögüm (L 731)","","sȫm","hȫm 'span'","sȫm","sȫm","","","","sōm","","","KW 335, MGCD 608. Mong. > Evk. sūm etc., see Doerfer MT 109."
1606,"*ada", 456,"devil, evil spirit","злой дух","ada (L 9)","ada (HYt)","\Iad\i","ada","adə","ada","","","","","","","Mong. > Kirgh. ada (KW 1)."
1607,"*büte-, *büteɣe-", 152,"to cover, stop up","покрывать, закрывать","bütü-, bütege-","butugai 'to finish, close' (HY 51), bute'e- (SH)","bütē-, bitǖ-","büte-","büt-","bütē-","","","butu-, butūn 'covered, secret'","putǖ-le-","pudē- (SM 304)","","KW 70, MGCD 153. Mong. > Tat. \Ibite-,\i Kaz. betä-."
1608,"*iǯi", 617,"1 complete set 2 equal, identical 3 accustomed 4 to get accustomed","1 полный набор 2 равный, тождественный 3 привычный 4 привыкать","iǯi 1, iǯil 2 (L 419)","iǯilidulče- 4 (SH)","\Iiǯ\i 1, iǯil 2, 3","ežel 2, 3","iǯl 3 'accustomed to each other (of animals)'","iǯil, eǯil 3 '=Kal'","","","","","","","KW 205."
1609,"*kaǯa-",1021,"to bite","кусать","qaǯa- (L 947)","qaǯa- (SH)","xaʒa-","xaza-","xaz- (КРС)","xaǯa-","qaǯa- (MGCD \IGaǯa-)\i","","xaǯi-","\IGaǯa-\i","\IGaʒ́a-\i (SM 117)","","MGCD 316, 350. Mong. > Kirgh. qaǯa- etc. (ЭСТЯ 5, 183); > Manchu qaǯa- 'to break with the teeth' (Rozycki 130). Mong. qaǯaɣur 'tongs' > Man. xaǯun 'weapon', see Doerfer MT 144."
1610,"*kidu-", 958,"to slaughter, destroy","убивать, разрушать","kidu- (L 464)","kidu- (SH)","x́ada-","","","xudu-","","","","","","",""
1611,"*godoli", 822,"a k. of arrow","вид стрелы","ɣodoli (L 358: ɣoduli 'horn-tipped arrow')","qodoli (SH)","godil","godli 'horn- or wood-tipped arrow'","ɣodəli","\IGodoli\i","","","","","","","KW 149, TMN 1, 425. Mong. > MKor. kotorí (see Lee 1964, 192)."
1612,"*kituga",1096,"knife","нож","kituɣa, qutaɣa, qutuɣa (L 474)","kituqai (SH), k[i]tɣa (IM), kīdūɣa (Lig.VMI), kituɣa (MA)","xutga","xutaga,  (зап.) xotigo","","","qudoɣo","","","χudaʁa","ćidoGo (SM 445)","qitqɛi (Ramstedt 1906)","MGCD 393. Mong. > Man. kitukan 'scissors' (see Rozycki 140)."
1613,"*ködü-sü",1134,"worked sheep skin","обработанная овчина","ködüsü(n) (L 478)","","xödös","xüdehe(n) 'sheepskin, unworked leather'","","ködösü","","","","","","",""
1614,"*kagda", 909,"carpal joint (of animals)","кистевой сустав (животных)","qaɣda (L 908)","","xagd","xagdū","","","","","","","","",""
1615,"*ǯilga",2612,"river bed, ravine","русло реки, ущелье","ǯilɣa (L 1055)","ǯilɣas (MA 372)","ǯalga","žalga","ǯalɣə (КРС)","","","","ǯalag (Тод. Даг. 142)","ǯalGa","","","MGCD 428. Mong. > Kirgh. ǯɨlɣa etc. (see VEWT 200, ЭСТЯ 4, 36-38)."
1616,"*baɣu-", 139,"1 to step down, camp 2 camp (n.)","1 спускаться, останавливаться на постой 2 лагерь, стоянка","baɣu- 1, baɣudal 2 (L 71)","bu- (IM), caus. bawulɣa- (MA), bau'u- 1 (SH), bū- 1 (Lig.VMI)","bū- 1, būdal 2","bū-","bū-","bū-","bao-, bau-","bu-, bū-","bō- (Тод. Даг. 126, MD 126)","bū-","bū-( 30), bau- (Minghe)","bū-","KW 64, TMN 1, 201, MGCD 164. TMN 1, 201."
1617,"*daɣa-ri-", 346,"to pass; to hit in passing, offend","проходить мимо; задевать","daɣari- (L 218)","da'ari- (SH, HYt)","dajra-","dajra-","dǟr-","dāri-","","","dāri-","dār-","dāri- 'rencontrer en chemin, dire en passant' (SM 45)","","KW 83, MGCD 191, TMN 1, 318. Mong. > Chag. darɨ-; Yak., Dolg. tārɨj- (Kał. MEJ 28, Stachowski 219); Man. dari- id. The original meaning is 'to pass closely' (not 'hit', pace Doerfer)."
1618,"*delbe- / *dalba-", 354,"to shake, sway, wave","качать, трясти","delbegene-, delbelǯe-, dalbalǯa- (L 225, 247)","dilbu- 'to fan' (MA 213)","delbegne-, delbelʒe-, dalbalʒa-","dalba- 'махать, развеваться'","delwlzə-, dalwlzə-","","","","delebure 'fan' (MD 136)","","","","KW 75, 87. A Mong. origin is probable for Oyr. talbɨ-, Turk. tal(a)bɨ-, dalabɨ- etc. (see EDT 493), although one should note that the derivatives talpɨn- and talpɨr- are already attested in MK."
1619,"*sun-du-",2114,"1 to ride sitting behind the rider 2 to follow one another","1 сидеть верхом позади наездника 2 идти следом","sundula-, sundala- 1 (L 737)","sundu-la- 1, sundu-r- 2 (SH), sundula- (MA)","sundla- 1","hundalda- 1","sundəl- 1","sundala- 1","","","","","","","KW 337, TMN 1, 348. Mong. > Manchu sundala- etc. (see Rozycki 190-191)."
1620,"*duru-sun",2263,"liber, bast, bark (specif. birch bark)","лыко, береста","duru-sun (L 276)","","durs","durhan","dursṇ","durusu","","","","","","","KW 103."
1621,"*tojigun",2450,"falcon","сокол","tuiɣun, (L 819) tojiɣun","","tojgon, tojxon","","tūɣən, tǖɣən","","","","","","","","KW 413, TMN 2, 658. Mong. > MKor. thuikon (see Lee 1964, 192); > Chag. tojɣan, Yak. tojon, Kaz. tujɣɨn, Nogh. tujɣɨn (should be distinguished from the common Turkic *dogan, on which see under *toga!)."
1622,"*čičaguli",2152,"mole; gopher, prairie squirrel","крот; суслик","čičaɣulin (L 175)","","","","","šara ǯičūli 'espèce de rat des champs'","","","","","","","It is interesting to note Krm. (K.) sɨčavul 'rat' - a mongolism?"
1623,"*güji-", 491,"1 shallow 2 light","1 мелкий 2 легкий","güjüken, güiken (L 390), güjin 1","gojen (HY 52) 1","güjüxen, göjön 1","güjxen 1","gīgn, gīkn, gīn 1,2","gīn, gǖn","","","guān (MD 152) 1","","","","KW 137."
1624,"*sal(u)-",1902,"to become separated; to branch off","отделяться; ответвляться","sal(u)- (L 663)","salqaxda- 'zugeteilt werden' (HYt)","sala-","hala-","\Isal-\i","\Isal-\i","sala 'branch'","","sala-; salā 'branch' (Тод. Даг. 161); \Isale\i (MD 205)","\Isal-,\i sala 'branch'","\Isal-,\i sala 'branch'","","KW 309-310, MGCD 590, TMN 1, 334. Mong.  > Kirgh. salā etc.; Evk. salu- etc., see Doerfer MT 26, ЭСТЯ 7."
1625,"*keɣe-sün",1053,"wheel spoke","спица колеса","kegesü(n) (L 443)","kekesun (SH, HY 18)","xēs, xegēs, xigēs","xīgaha(n), xīgadaha(n)","kīɣəs (КРС)","","","","hejgese (MD 159)","","","","Mong. > Uygh. kügüsün, gögüsün."
1626,"*kĳi- / *keje-",1082,"oblique, slanting","косой, наклонный","keje-ge (L 445), kĳi-ǯaŋ","","xejeg; xejede-, xejele- (v.)","","kīzŋ","","","","","","","","KW 235. There also exists a synonymous WMong. variant geji-, geje- (Kh. geje-de-, geje-le-, Kalm. \Igī).\i Voiced *g- here is probably due to the influence of another synonymous root, *gek- (v. sub *gḗk`á)."
1627,"*gok-", 564,"hook","крюк","ɣoqa (L 363), ɣoqu","ɣuɣa (MA 223)","gox","goxo","ɣoxə","","","","","","","","Mong. > Evk. goko, Man. \IGoχon\i etc., see ТМС 1, 158-159, KW 149, Doerfer MT 79, Rozycki 91). Cf. also Bur. gogno-gor 'with head bent upwards'."
1628,"*kömürge",1143,"storehouse","хранилище","kömürge (L 487)","kumurki 'box' (MA 141)","xömrög","","kömṛg (КРС)","","","","","","komorgo (SM 213), komurgo","","Should be historically distinguished from gömürge (although the two forms have almost merged in Mong.)."
1629,"*kob-du, *kob-tu",1072,"long and narrow box, quiver","длинный и узкий ящик, колчан","qobdu (L 949), qobtu","qubdu (MA 299)","xowd","xobto 'ящик, сундук'","xowdə (КРС)","","","","","","","","Mong. > Evk. kobdu etc., see Doerfer MT 111, Rozycki 141; Nogh. qobda etc., see ЭСТЯ 6, 6, Yak. xoppo, Dolg. kopko (Kał. MEJ 58, Stachowski 153)."
1630,"*köɣe",1122,"coat of mail, armour","кольчуга, панцирь","köɣe (L 478)","köhe (MA)","\Ixȫ\i","","kȫ","","","","","","","","KW 243. Despite TMN 1, 483-484, Mong. is hardly borrowed < Turk."
1631,"*kubča-", 860,"clothing, dress","одежда","qubčasu(n) (L 976)","qubčasu (HYt), qubča (IM), qubčasun (SH)","xuvcas","xubsaha(n)","xopcə, xupcə","\IGubčasu,\i \IGubčas\i","","","kuačilahe 'a cloth wrapper, a furoshiki' (MD 184)","χabčis","","","KW 186, 197, MGCD 384, TMN 1, 385-386."
1632,"*güǯi- / *güd-ke", 545,"1 to be energetic, persistent, stubborn, to take risks 2 to slander, calumniate","1 быть упрямым, настойчивым, энергичным 2 клеветать","güǯire-, güǯirde- (L 393)  1, 2, güdke- (L 388) 2","","güǯirde-, gütge- 2","güžer 'slander'; güžer 'reckless, persistent'","güǯṛ-, gütkə- 1","güǯir 'violence'","","","guǯule- (MD 153) 2, geǯire (n.)","","","","KW 139, MGCD 307."
1633,"*kög",   0,"1 wrapper for goat's genitalia 2 thick curtain","1 занавеска (для гениталий козла) 2 толстая занавеска","kög, köge 1, 2","","xög 1","xüg 1 > üxibǖnĳ xüg 'детский нагрудник'","kög, kögə 1","","","","","","","","KW 236. Mong. < Kaz. küjek, Kirgh. kȫk etc. (see ЭСТЯ 5, 81) 'войлочный мешок, занавеска, привязываемая под брюхом барана, козла для предотвращения нежелательной случки', cf. MK kǖg 'период гона у баранов и диких животных' EDT 709-710, кирг. kǖgö kel'бегаться (об овцах и других самках)', каз. küjlö(R) 'быть в течке - овцы, собаки'."
1634,"*güldi-", 576,"to bend the neck, to harness","сгибать шею, впрягать","güldi-","","güldĳ-","güldɨ-","güldi-","","","","","","","","KW 139."
1635,"*(h)asa-",1715,"to climb up; to stick, cling to","ползти вверх; цепляться к чему-л.","asa- (L 55)","","asa-","\Iaha\i","\Ias-\i","","","","","","","","KW 16."
1636,"*debeɣe",1179,"meadow, pasture","луг, пастбище","debege (L 237)","","devē, deveg","","dewɛ̄(n)","","","","","","","","KW 90. Mong. > Man. debejen 'sedge'."
