"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","ATU","KRH","TRK","TAT","CHG","UZB","UIG","SJG","AZB","TRM","HAK","SHR","ALT","KHAL","CHV","JAK","DOLG","TUV","TOF","KRG","KAZ","NOGX","BAS","BLKX","GAGX","KRMX","KLPX","SAL","QUM","REFERENCE"
1610,"*Tilgen",2387,"wheel","колесо","tilgen, tilken (OUygh.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EDT 499."
1611,"*okra",1823,"1 pimple, pustule 2 disease of cattle","1 прыщ 2 болезнь скота","","","","uqra 2","oqra (Буд.) 1","","","","","","","","","","","","","","","","oqra 1","","uqra 'овод бычачий'","","","","","","","VEWT 360."
1612,"*ɨduk", 656,"sacred","священный","ɨduq (Orkh., OUygh.)","ɨδuq (MK)","","","","","","","","","ɨzɨx","","ɨjɨq, ĳik","","jərəx","ɨtɨq","","ɨdɨq","","ɨjɨq","","","","ɨjɨq","","","","","","EDT 46, ЭСТЯ 1, 649-650, Егоров 80, Федотов 199, TMN 230-231 (most sources give a dubious inner Turkic derivation < *ɨd- 'to send', based on the old gloss in MK - most probably a folk etymology)."
1613,"*bElin",1638,"hawk","ястреб","","","","","","belin (Chag.)","","","beli-baGlɨ","","","","","","","","","","","","","","","","","beliŋ","","","","VEWT 69."
1614,"*öküŕ",1822,"ox","бык, вол","öküz (OUygh.)","öküz (MK)","öküz","ugĭz","öküz (Pav. C.)","họkiz","öküz, höküz","kus","öküz","ökiz, öküz","","","","","vъʷgъʷr","oɣus","ogus","","","ögüz","ögĭz","ögiz","ugĭδ","ögüz","jöküz","oküz, ögüz","ögiz","","ögüz","EDT 120, VEWT 370, ЭСТЯ 1, 521-523, Лексика 439, Stachowski 190. Clauson 1959 derives the form from Tokh. B okso (corrected to Tokh. A in EDT); justly refuted by Doerfer TMN 1, 539 because of original *p-. Turk. (Bulg.) > Hung. ökör, see Gombocz 1912, MNyTESz 3, 23."
1615,"*bAla- (?)",1304,"fir tree","ель","","","","","","","","","","","","","","","","","","","","balatɨ 'young fir tree'","","","balaštɨ (VEWT)","balas (VEWT)","","","","","","VEWT 60 (the Bashk. and KBalk. forms are only found there, so the root is somewhat dubious)."
1616,"*jular",2618,"halter","недоуздок","","jular (MK)","jular","","jular (Pav. C., Houts.), jolar (AH)","","","","","","","","d́ular","","","sular","","čular","","","","","","","jular","","","ʒ́ulur","","EDT 932, VEWT 210, ЭСТЯ 4, 244-245, Лексика 556."
1617,"*Kɨl-", 791,"to do, to make","делать","qɨl- (Orkh., OUygh.)","qɨl- (MK)","kɨl-","qɨl-","qɨl- (Pav. C., MA)","qil-","qil-","","\IGɨl-\i","qɨl-","xɨl-","qɨl-","qɨl-","","əś-xəl 'дела́'","kɨn-","gɨn-","qɨl-","","qɨl-","qɨl-","qɨl-","qɨl-","qɨl-","","qɨl-","qɨl-","","qɨl-","EDT 616, VEWT 263, ЭСТЯ 6, 205-206, Stachowski 88. Turk. *kɨl-ɨnč 'deed' > Mong. kilinče 'sin' (see Clark 1980, 43)."
1618,"*Kɨn-",1081,"1 to long for, covet, to be obsessed with 2 to long (sexually) 3 coire","1 желать, стремиться 2 желать (сексуально) 3 coire","qɨn- 1 (OUygh.)","qɨn- 1 (MK)","kɨn- 1, 2","","","","","","","","xɨn-, xɨnɨx- 1, 2","qɨn- 1","qɨn-, qɨnɨq- 1","","xъnъx- 1","kɨn- 3","","","","qɨnɨq- 1","","","","","","","","","","VEWT 264, EDT 632, ЭСТЯ 6, 632."
1619,"*beŋ", 112,"bait, bird-seed","приманка, корм для птиц","meŋ (OUygh.)","meŋ (MK, KB)","\Iben,\i beŋ (dial.)","","meŋ (MA)","","","","","meŋ","","","","","","meŋiä < *meŋ-eg (Dimin.)","meŋe","","","","","","","","","","","","","VEWT 334, EDT 766, Stachowski 178. Turk. > WMong. meŋ, see KW 261."
1620,"*buńgak",1376,"female maral","самка марала","mujɣaq (OUygh.)","mujɣaq (MK), muŋɣaq (KB)","","","","","","","","","mɨjɣax","","mɨjɣaq","","","","","mɨjɣaq","mɨjɣaq","","","","","","","","","","","VEWT 344, EDT 772, Лексика 153."
1621,"*or",2530,"red-brown (of a horse)","каштаново-гнедой (о масти лошади)","","\Ior\i (MK, IM)","","","","","","","","","","","\Ior\i 'grey'","","","\Ior\i 'blackish piebald'","","","","","\Ior\i","","ur-ɣujan 'заяц-русак'","","","","","","","EDT 192-193, VEWT 364."
1622,"*Teb",2329,"1 time 2 day and night (*Teb-lük)","1 время 2 сутки","","","","täwlək 2","tewlük 2","tävlik 2","","","","","","tep 1","","","talъk 2","","","teppiže 'earlier'","","","tevlük 2","","täw 'at first', täwlək 2","","","","tevlik 2","","","VEWT 468, Егоров 229, Лексика 69."
1623,"*ač-",1696,"to open","открывать","ač- (Orkh., OUygh.)","ač- (MK)","ač-","ač-","ač- (Pav. C.)","ɔč-","ač-","ač-","ač-","ač-","\Ias-\i","\Iaš-\i","ač-","","oś-","\Ias-\i","","a'š-","a'š-","ač-","\Iaš-\i","\Iaš-\i","\Ias-\i","ač-","ač-","ač-","\Iaš-\i","","ač-","EDT 18-19, VEWT 3, ЭСТЯ 1, 209-210, Федотов 2, 292."
1624,"*keler / *keleŕ / *kelte",1029,"lizard","ящерица","","keler (MK)","keler (dial.), kelez (dial.), kelte-keler (dial.)","","keles (MA)","kälti-kälas, kälɔs (dial.), kältä (dial.)","kilɛr (dial.)","kesilkə","kelez, käläz","","kileskə","kelesken","keleski","","kalda","","","xeleske","","","","","","","","","","","","ЭСТЯ 5, 30-32, 34, Лексика 180-181; *keleŕ > Mong. keles, see Щербак 1997, 126. Despite ЭСТЯ the Chuv. form cannot be borrowed from Tat; rather, vice versa, some Volga-Qypchaq languages have borrowed the Bulg. word."
1625,"*gele-", 494,"1 to woo 2 to  ask 3 messenger, in-between 4 parents having espoused their children 5 a promised bride","1 ухаживать, свататься 2 просить, выпрашивать 3 посланник, сват 4 родители, взаимно поженившие детей 5 просватанная девушка","","","(dial.) gelešik 4","kileš- 1, käläš 5; (Mishar) kelä- 2, (КСТТ) klän- 'to annoy, pester'","(Xwar.) keleči 3 (Qutb)","","","","","gelešik 4, geleŋ 'attention, care'","kəle- 2, kəlen- 'to beg'","","","","kalaś- 1; kəle- 2","","","","","","","","käläš 5","keleči 3","","keliš- 1, kl'a-, kl'an- 'to wish, be favourably inclined'","","","geleš- 1, geleči 3","VEWT 248, ЭСТЯ 5, 32-33, Ахметьянов 112-114, Егоров 105, Федотов 1, 270-271. Some languages may reflect a merger with *kele- 'speak' (v. sub *k`i̯ăli).  Turk. > Russ. \Iклянчить.\i"
1626,"*KEbel", 508,"a well-bred fast horse","благородная быстрая лошадь","","kevel, kevil (MK, KB)","","","","","","","","","","","","","","","","","","","","","","","","","","","","EDT 689."
1627,"*sark-",1927,"to drip, ooze","капать, стекать по капле, сочиться","","sarq- (MK)","","sarqɨ-","sarq- (AH)","sa(r)qi-","","","","sar(ɨ)q-","sarɨx-","","","","sərɣən-","","","sarɨq-","","sarɨq-","sarɨq-, sarqɨ-","sarq-","harqɨ-","","","sarq-, sarx-","sarɨq-","","sarq-","VEWT 404, EDT 847-848, ЭСТЯ 7."
1628,"*uja-",2499,"1 to be ashamed 2 shame","1 стыдиться 2 стыд","ujad- (OUygh.)","ujaδ- (MK, KB), ujal- (MK)","ujat- 1, ujat 2 (dial.)","ŭjal- 1, ŭjat 2","ujal-, ujat- 1, ujat 2 (Abush., Pav. C.)","ujal- 1, ujat 2","ujat 2, ujal-, (dial.) ujat- 1","","","ujal- 1, ujat 2","ujat- 1, ujat 2","","ujat 2, ujal- 1","","","","","ɨjat- 1, ɨjat 2","","ujal- 1, ujat 2","ŭjal- 1, ŭjat 2","ujal- 1, ujat 2","ŭjal- 1, ŭjat 2","ujal- 1, ujat 2","","ujal- 1, ujat 2","ujal- 1, ujat 2","","ujat- 1 (tr.), ujat 2","VEWT 511, ЭСТЯ 1, 561-563 (confused with *ubut q. v. sub *i̯upo), 576, EDT 269, 272-273."
1629,"*Kɨpɨ-", 851,"1 sense, invention, cleverness 2 to invent, think of","1 смысл, изобретательность, ум 2 выдумывать","","","","","","","","","","","xɨbɨ-","","qɨbɨ-","","xъʷbъʷl 'dexterous'","kɨp 'dexterously'","","","","qɨbačɨ 'experienced person'","","","","","","","","","","VEWT 260."
1630,"*čap-", 272,"1 to plaster 2 eye pus 3 to puncture (a tumour, furuncle)","1 мазать, залеплять, обмазывать 2 глазной гной 3 прокалывать (опухоль, нарыв)","","čap- 1 (MK)","čapak 2","","","čapi- 1","čap-li- 1, čapaq 2","","","","","","","","śop-  'заворачивать пирог'","","","šap- 'to pour water and stamp (ground)'(?)","","čap-ta- 1, čabaq-ta- 3","šabaq-ta- 3","","","","čapaq 2","","šabaq-ša-la- 3","","(aq) čap- 'to blanch, pipeclay'","VEWT 99, EDT 394, Ашм. XII, 248. Turk. > Hung. csipa 'eye pus' (<*čapaɣ), see Gombocz 1912."
1631,"*Koŋra-", 900,"1 to ring, toll 2 bell","1 звенеть, звонить 2 колокол(ьчик)","","qoŋraq, qoŋraɣu 2","koŋrak (dial.) 2","qɨŋɣɨraw 2","qumrawu 2 (AH)","qɔŋɨraw 2","qoŋɣraq, qoŋɣiraq (dial.) 2","","\IGɨmrow\i 2","","xoŋra- 1, xoŋro 2","qoŋra- 1, qoŋrā 2","qoŋro- 1, qoŋrū 2","","","","","qoŋɣura- 1","","qoŋɣurō 2","qoŋɨraw 2","qoŋɨraw 2","quŋɨraw 2 (dial.)","","","","qoŋraw 2","koŋor 2","qoŋuraw 2","VEWT 280, TMN 3, 526, EDT 640, ЭСТЯ 6, 60-61."
1632,"*orɨ",1582,"1 shout, outcry 2 to make a noise, shout 3 to shout together","1 крик, выкрик 2 шуметь, кричать 3 кричать вместе","orla- (OUygh.) 2","orɨ 1, orlaš- 3 (MK)","","","orɨ (IM)","","","","","","orlas- 3","","orla- 'to moo', orlas- 3","","","","","","","","","","","","","","","","","EDT 197, 230."
1633,"*otrug",2539,"island","остров","otruɣ (OUygh.)","otruɣ (MK)","","utraw","(MKypch.) otrač (dim.) (AH, CCum.)","","","","","","","","ortolɨq","","","","","","","","","","utraw","","","otrac, otrač, oturaš","","","","VEWT 367, EDT 65. In some languages the original form was folk-etymologically reinterpreted as *orta-lɨk 'located in the middle'. The latter form was borrowed in Mong., with regular liquid metathesis, as WMong. olturiɣ, Khalkha oltrig 'small island, archipelago' (whence again Khak. oltɨrɨx, Kum. ottɨraɣ (VEWT) 'island')."
1634,"*sAŕak / *sArk-",1926,"1 to become numb 2 hoar-frost 3 cold wind","1 неметь, цепенеть 2 иней 3 холодный ветер","","sarq- 1, sarqɨm 2 (MK)","(dial.) sazaq, sazaɣan 3","","(Xwar., MKypch.) sarq- 1 (Qutb, AH)","","","","sazaG 3","","sarnax 3 (Kach.)","","","","","","","sarɣɨ- 'to nag, feel pain'","","","sazar- 1","sazar- 'to be bored'","","","","","","","","EDT 848, 849. Лексика 42, 43. Despite EDT 847, the basic meaning is not "weak downward movement with no force behind it": in fact we have here a confusion of several originally different roots (see *sark- 'overflow, drip'; \I*sal-\i 'put down, lower', with the derivative *salk- which has influenced the meaning of *sark- in some languages)."
1635,"*köpür, -üg",1125,"bridge","мост","köprüg","köprüg (MK)","körpü, köprü","küper, küpre","köpri (IM, AH), köprük (Abush., MA)","kụprik","köprük, kövrük","","körpü","köpri","","","","","","kürbe, kürge","","kö'vürüg","kö'prig","köpürö","köpür, köpre (dial.)","","","","köprü","","","","","VEWT 292, ЭСТЯ 5, 112-114."
1636,"*eŋ-",1745,"1 to be perplexed 2 stupid 3 bashful, gauche 4 to torture, pester","1 быть в недоумении 2 глупый 3 застенчивый, робкий 4 измучить, привести в состояние растерянности","","eŋ- 1; (caus.) eŋit-, eŋtür- (MK); endik 2 (MK)","(dial.) endik 3","","(Xwar.) entik 2 (Qutb)","enka-tenkasini čiqar- 4","","","","","iŋde-t- 'to flounder (of thoughts)'","","","","ankъ-minkə 'stupidity, madness' (but may be < Tat., see *aŋ-)","? eŋej- 'to look greedily on food, wait for a sop'","","","","enȫ 'ротозей', ente- 'to become confused', eŋke 'stupid person'","","","","","","","","","","EDT 168, 179, 181, ЭСТЯ 1, 155, 156-157 (sub *aŋ- 'perplexed, silly')."
1637,"*ögür", 657,"1 herd 2 tame 3 companion 4 group of people","1 стадо, стая 2 домашний 3 сотоварищ","ögür 1 (OUygh.)","ögür 1 (MK, KB)","öjür  2, 4","öjer 1","ögür 1,2, 3 (Sangl.)","ujur 1","","","","ȫri 'pasture'","ȫr 1","ȫr 1","ǖr 1","","","üör 1","üör 1","ȫr 1, 3","ȫr 1","üjür 1, 2, 3","üjir 1, 2","üjir 1; 'convivial'","öjör 1","üjür 'family'","","","üjir 1, 2","","üjür 1; 'attached'","VEWT 369, Stachowski 251. Turk. (with a later developed meaning 'companionship', see EDT 112) > WMong. ügür, Kalm. ǖr (not vice versa, despite VEWT ibid.). A possible derivative ( < *'to be tamed'?) can be PT *ögr-e-n- 'to learn' (ЭСТЯ 1, 496-498)."
1638,"*(i)akuru-",  16,"slowly, quietly, gradually","медленно, постепенно","aquru (OUygh.)","aqru, aqrun (MK), aqru (KB)","arqun (Osmanli)","ɛkren, ɛkerten; ɛkert (dial.)","aqrɨn (Sangl.), aɣrɨn (Бор. Бад.)","","","","","","āɣɨrin, aɣrɨn, aɣɨrtɨn","aɣɨrɨn","aqqɨrɨn, aqqɨr-aqqɨr","","","arɣɨ̄j, orɣūj","","","","aqɨrin","aqɨrɨn","","aqrɨn","aqɨrɨn, aqrɨn, aqɨrtɨn","","arqɨtɨn","aqɨrɨn","","","VEWT 14, ЭСТЯ 1, 123-124, EDT 89-90. The forms with -ɨn and -tɨn are old forms of Instr. and Abl. cases, so the PT word is a noun. Yak. reflects the -u of the second syllable."
1639,"*gEbre", 992,"1 corpse 2 to die (of animals)","1 труп 2 дохнуть (о животных)","","kövre 'carrion' (MK)","geber-, (dial.) gevre- 2","","","","","","gäbär- 2","gövre 1","","","qavraj- 'истлевать, тлеть' (Ашм. 6, 19) (?)","","","","","","","","","","","","geber- 2","geber- 2","","","","VEWT 244, EDT 690, ЭСТЯ 3, 36. The root is confused here with *gēp- 'to swell (of belly), become pregnant' (with which it indeed contaminates in Oghuz languages)."
1640,"*dēr-",2233,"to collect, gather","собирать","ter- (Orkh., OUygh.)","tẹ̄r- (MK, KB)","der-","tir-, tĳr- (КСТТ)","tẹr- (Abush., Sangl.)","ter-","tär/j-","ter-","där-, der-","tīr-","tir-, tēr-","tēr-","ter-","","","terĳ-","terĳ-","deri- 'снаряжать'","","ter-","ter-","ter-","tir-","","","","ter-","tēre- (ССЯ)","","EDT 529, VEWT 475, ЭСТЯ 3, 204-205, Stachowski 221. Turkm. has an irregular devoicing (old Kypchak influence?)."
1641,"*kömbe, -lek",1119,"mushroom","гриб","","","gömelek (dial.)","gömbɛ","","","","","göbäläk","kömelek","","","","","kъʷmba","","","","","","","","gömbɛ","","","","","","","ЭСТЯ 5, 101 (Chuv. is hardly < Old Russian, which already had guba, not gǫba)."
1642,"*kül-",1079,"spool, skein, sheaf","катушка, моток, вязанка","","","küleš, dial. kültem","költe","külte (AH, At-Tuhf., KW)","","","","","kültem","","","","","kəlde (possibly < Tat.)","","","","","","külte","külte","költe","","","külte","külte","","külte","ЭСТЯ 5, 139, Федотов 1, 272-273. Turk. > Kalm. kültə- 'to bind, fasten' (KW 245)."
1643,"*küs-",1094,"to be angry, offended","сердиться, обижаться","","küs- (MK)","küs-","","küs- (IM, AH, Pav. C.)","","","","küs-","","","","","","","","","","","","","","","","küs-","","","","küs-","ЭСТЯ 5, 152-153."
1644,"*Küte(re)", 938,"bog, marsh","болото","","","","küter, kötɛ (dial.)","","","","","","","ködre","","küdre","","","","","","","","","","küter (dial.)","","","","","","","ЭСТЯ 5, 154-155."
1645,"*kep(i)-",1013,"1 to dry out 2 to extinguish, disappear","1 высыхать 2 исчезать, пропадать","","\Ikepi-\i ( ~ kebi-) (MK) 1","","\Ikip-\i 1","","kɛp- 1, kɛbi- (dial.) 2","","","","kep- 1","","","","","","kep- 'to pound, demolish'","kep- 'to push'","kep- 1","","kep- 1","kep- 1","kep- 1","\Ikip-\i 1","","","","kep- 1","","kep- 1, kebi- 2","EDT 687, ЭСТЯ 5, 45-46, Stachowski 145 (but the Yak. and Dolg. forms hardly to *gēb- 'chew')."
1646,"*Kɨr-",1048,"1 hoar-frost 2 thin snow","1 иней 2 тонкий снег","qɨraɣu 1 (OUygh.)","qɨraɣu 1 (MK)","kɨraɣu 1","qɨraw 1, qɨrpaq 2","qɨraw (Бор. Бад., Abush.), qirau, qiraɣu (Pav. C.)  1","qirɔw 1","qĳa, qira, qiro 1","","\IGɨrow\i 1","\IGɨraw\i 1, \IGɨrpaq\i 2","xro 1, xɨrbɨx 2","qɨrā 1","quru 1","qɨraw 1","xərbəx 2","kɨrɨa 1, kɨ̄rpax, kɨrpaj 2","kɨrɨa 1","xɨrā 1","","qɨrō 1","qɨraw 1, qɨrpaq 2","qɨraw 1, qɨrpaq 2","qɨraw 1, qɨrpaq 2","qrau 1, qɨrpaq 2","qrā 1","qɨraw, qoruw 1","qɨraw 1","","qɨraw 1, qɨrpaq 2","VEWT 265-266, 267, EDT 656, ЭСТЯ 6, 230-231, 241, Stachowski 169. Turk. > MMong. (HY) kira'u, WMong. kiraɣu, Khalkha x́arū 'hoar-frost' etc. (see Doerfer TMN 3, 569, Щербак 1997, 138, Clark 1977, 147, although the latter's derivation of *kɨragu < *kɨr 'grey' is hardly acceptable). Cf. also PT *Kɨr-lač 'the coldest time of winter' (see ЭСТЯ 6, 237-238)."
1647,"*K(i)arɨĺ",1044,"span","пядь","","qarɨš (MK)","karɨš","qarɨš","qarɨš (Pav. C., Houts., AH, IM)","qɛriš","ɣerič, dial. ɣeriš","","\IGarɨš\i","\IGarɨš\i","xarɨs","","qarɨš","","","xarɨs","","qarɨš","xarɨš","qarɨš","qarɨs","qarɨs","qarɨš","qarɨš","qarɨš","","qarɨs","","qarɨš","ЭСТЯ 5, 324-326, EDT 663. External evidence suggests that the original meaning was 'elbow, cubit' [in fact attested for qarɨš in Chag. Abushka, but some argue that this is  just a script error],  with the opposition *K(i)arɨ 'large measure (cubit) : *K(i)arɨĺ 'small measure (span)'. But the former completely merged later with the reflexes of *Karɨ 'arm'  (v. sub *gàrá)."
1648,"*Katar-",1018,"1 to turn (a horse) back, preventing it from going; to turn (the enemy) back 2 to drive, pursue 3 to pasture 4 to keep watch 5 to wait","1 поворачивать (лошадь) вспять; обращать врага в бегство 2 гнать, преследовать 3 пасти 4 наблюдать 5 ждать","","qatar- (MK) 1","katarla-, katala- (dial.) 2","","","","","","","","xadar- 3,4,5","qadar- 3,4,5","qadar- 3,4,5","","","","","qadar- 3,4,5","","","","","","","","","","","","EDT 604, ЭСТЯ 5, 337."
1649,"*et-mek", 612,"bread","хлеб","ötmek (OUygh.)","etmek (MK), epmek (MK - Oghuz, Qypch.)","etmek, ekmek","ikmäk","etmek, ötmek (Pav. C.)","","","","äppäk","(dial.) ekmek, epmek","ipek","itpäk","ötpök","","","","","","","","","ötpek","ikmäk","ötmek","iekmek","ekmek, etmek, ötmek","","","ekmek","EDT 12, 60, VEWT 376, ЭСТЯ 1, 254-256. The oldest form is clearly *et-mek with various subsequent assimilations."
1650,"*bud-", 157,"1 to freeze 2 to be sad, sorry","1 замерзать 2 грустить, тосковать","","buδ- (MK) 'to die of cold'","buj-, bĳ-, büj-, bujux- (dial.) 1","bojɨq- 2","","buj-ɣur- 1, bujuɣ 'cold' (dial.)","","","bɨj-, bujux- (dial.) 1","buj- 1","puzux- 2","","","","","","","būq-  2 (borrowed?)","","bujuq- 1","bujɨq- 1","","bojoq- 2","bujuq- 1, 2","","","bujuq- 1; 'дремать'","","bujuq- 'сжиматься от холода или испуга'","EDT 298, ЭСТЯ 2, 242-243."
1651,"*dür",2275,"1 sort, kind, shape 2 various","1 вид, форма, порода 2 разнообразный","törlüg 1 (Orkh., OUygh.)","törlüg 1 (MK, KB)","türlü 1, 2","türli 2","törlüg 1 (Sangl.)","turli 2","","","dürlü (dial.) 2","dürli 2","","","","","təʷrləʷ 2","","","","","tür 1","türli 2, tür 1","türli 2","törlö 2","türlü 2","türlü 1, 2","türlü 2","türli 2","","türlü 2","EDT 546-547, ЭСТЯ 3, 327-328 (loan of forms like Kaz. tür < Mong. düri is hardly acceptable, despite EDT ibid.)."
1652,"*TArɨ-",2391,"to cultivate (ground)","возделывать (землю)","tarɨ- (OUygh.)","tarɨ- (MK, KB)","","","tarɨ- (Abush., Sangl.)","","teri- (dial.)","tarɨ-","","","tarɨ-","","tarɨ-","","","","","tarɨ-","tarɨ-","","","","","","","","","","","EDT 532, ЭСТЯ 3, 157-159 (confused with *dạrɨ-g 'millet' q. v. sub *tăra)."
1653,"*uč-",1797,"1 rash, inflammation, pustules on lips (during cold, fever) 2 catarrh, cold, fever 3 to appear (of rash), catch cold","1 сыпь, воспаление, прыщи на губах (во время простуды, лихорадки) 2 простуда, лихорадка  3 появляться (о прыщах, сыпи), простужаться","","učɣuq (MK) 2","učuk 1","","učuq (Бор. Бад., Pav. C.) 1, 2","učuq 1, učun- 3","učuq 1","","učuG 1","učuq 1","","","","","","","","","","učuq 1","ŭšɨq 1, ŭšɨn- 3","ušɨq 1, ušɨn- 3","ŭsŭn- 3","","učuq 1","učun- 'to become epileptic'","ušɨq 1, ušɨn- 3","","","EDT 22, 23, ЭСТЯ 1, 616, TMN 2, 139. Turk. > Kalm. učəg 'простуда', see TMN ibid."
1654,"*südre-",1986,"1 to pull, tug 2 belt for fastening loads","1 тащить, тянуть 2 ремень для привязывания ноши","","","sürü-","süjrä-","sǖre- (Bud.), söjre- (Ettuhf.), südrä- (R.)","sudrä-","sörä-","","","süjre-","sözər-","","","","sədər-","ötǖ 2","ötǖ 2","södürt- 1, södürge 2","","süjrö-","süjre-","süjre-","hü̆jrä-","süjre-","","","süjre-","\Isure-\i","süjre-","VEWT 435, ЭСТЯ 7, Stachowski 202."
1655,"*KAkma", 704,"a k. of sheepskin","вид овчины","","","","","qaqma (CCum., ShS)","","","","","","","","","","","","","","","","","","","","","","","","","VEWT 224."
1656,"*jükün-",1224,"to bow","кланяться, склоняться","jükün- (Orkh., OUygh.)","jükün- (MK)","jüken-, jügün- (dial.)","jögen-, jegen- (dial.)","jükün- (AH, Ettuhf.)","jukun-","jükün-","","","","","","","","","sügün- 'to go to the bridegroom's home'","","","","ǯügün-","žügin-","","jögön-","","","jügün-, jugun-","žügin-","","jügün-","EDT 913, ЭСТЯ 4, 264."
1657,"*čEk- ( ~ -i-)", 295,"silk bead embroidery","вышивка бисером по шелку","","čikin 'embroidered brocade' (MK)","","čigen 'golden embroidery' (R - Kas.); čig- 'to embroider'","čikin 'floral designs embroidered in silk' (Sangl.)","","","","","","","","","","","","","","","","","","sige- 'to embroider'","čĳ tigiš 'вышивание гладью'","","","","","","EDT 415-416, ДТС 143. Despite Clauson, cannot be < Chin."
1658,"*b(i)ăk",1300,"bad, evil","плохой, дурной, негодный","","","","","","","","","","","","","baɣaj","","","baɣajɨ 'fool, monster'","","ba'q","ba'q","","","","","","","","","","","VEWT 57."
1659,"*tint-",2372,"to search","искать, обыскивать","","","(dial.) dindik-le- (SDD 1, 440)","tente-","(MKypch.) \Itint-\i (CCum.)","tinti-","tinti-","","","tinte-","","","tinti-, dial. tɨndɨ- (Баск. Леб., Кум.)","","","","","","","\Itint-\i","tinti-","\Itint-\i","tente-","\Itint-\i","","\Itint-\i","\Itint-\i","","tüntü-, tünt-","VEWT 481, ЭСТЯ 8."
1660,"*čārba- (*čārma-)", 280,"1 squirrel 2 sable, marten","1 белка 2 соболь, куница","","","","","","","","","","","sarbax 1","šarbaq 1","čɨrbɨq 1","","","sārba 2","","","","","","","","","","","","","","VEWT 100, 403. A regional Siberian root."
1661,"*jur-",2190,"patch of cloth, rag","лоскуты, лохмотья","jurun  (OUygh.)","jurun  (MK)","","joron (dial.)","jurun (Abush., Sangl.)","","","","","","čurux","","d'urun","","śorъm 'bundle of flax or hemp'","","","čuruq","čuruq","","žurɨn  (dial.)","","jorqaq, joron","ǯurun","","jurq- 'to pinch (hair)'","žurɨndɨ","","","VEWT 211, EDT 970, ЭСТЯ 4, 255-256, Ашм. XII, 270."
1662,"*bAgatur",1298,"hero","герой","baɣatur (Orkh., n. pr.)","","","","(Xwar.) bahatur, CCum. baɣatur","","","","","bātɨr","","","bātɨr","","","bātɨr","","mādɨr","","bātɨr","","","","","","","","","","EDT 313, VEWT 55. Cf. the name of the Xiongnu shanyu, MC mâw-ton (*maɣu-tur). This Turkic word was borrowed into numerous surrounding languages (Iranian, Mongolian etc., see the literature in ЭСТЯ). Modern forms like batɨr, batur are back-borrowings from Mong.; forms of the type baxatir - back-borrowings from Persian."
1663,"*čɨ̄p", 327,"branch","ветка","","čɨp, čɨbɨq (MK)","čɨbɨk, čubuk","čɨbɨq [čɨbɨrqɨ 'lash']","čubuq (Sangl.)","čiviq","čiviq","","čubuG","čɨ̄bɨq","sɨmɨx","šɨmɨq","čɨbɨq","","čъbъk 'lash'","","","šɨvɨq","šɨbɨq","čɨbɨq","šɨbɨq","šɨbɨq","sɨbɨq","čɨbɨq 'lash'","čɨbɨq","cɨbuq, cubuq, čubuq 'lash'","šɨbɨq","","čubuq","EDT 393, 395, VEWT 106, TMN 3, 1059, Лексика 118-119, Егоров 320, Федотов 2, 403-404. Forms meaning 'lash' reflect a contamination with PT *čAbɨk 'lash' (v.  sub *č`i̯ōbé)."
1664,"*tāŋ",2326,"1 wonder, surprise 2 wonderful 3 to be surprised","1 удивление 2 удивительный 3 удивляться","taŋ 1, taŋsuq 2 (OUygh.)","taŋ 1, taŋsuq 2 (MK, KB)","\Itan-\i 3, tansɨk 2; daŋ 1 (dial.)","taŋ 1, tansɨq,  (КСТТ) taŋsɨq 2","taŋ 1, taŋsuq 2 (Abush., Sangl.)","tɔŋ 1","taŋ 1","","daŋ 1 (dial.)","tāŋ 2","taŋna- 3","","taŋ 1","tāŋ 2","tonsax 2","toŋsuk, tomsuk 1","","","","taŋ 1, taŋsɨq 2","taŋ 1, taŋsɨq 2","taŋsɨq 2","taŋ 1, taŋhɨq 2","","","taŋsɨq 2","taŋ 1, taŋsɨq 2","","","VEWT 461, 462, TMN 2, 570, EDT 510-511, 525-526, ЭСТЯ 8, Федотов 2, 248. Turk. > WMong. taŋsuɣ, taŋsu > Man. taŋsu."
1665,"*jīr- / *jɨ̄r-",2622,"1 to split lengthwise 2 to break, tear","1 расщеплять вдоль 2 ломать, разрывать","","je/ir- 1 (MK)","jir- 2 (dial.)","jɨr- 2","(MKypch.) jir- 1 (AH)","jir- 1","jir-, ǯir- 1","","","jir- 1, 2","čər- 1","","","","","sīr- 2","","čir- 1","","ǯɨr- 2","žɨr- 2","jɨr- 2","jɨr- 2","","jir- 2","","žɨr- 2","","jɨr- 'to dig through'","VEWT 198, EDT 955, ЭСТЯ 4, 203-204."
1666,"*dāl-",2259,"1 to sink 2 ocean","1 погружать(ся) 2 море, океан","taluj 1 (Orkh., OUygh.)","","dal- 1","tal- 1 (dial.)","tal-, dal- 1","","","","","dāl- 1 (dial.)","","","","","","","","tal- (Castr.) `swim'","","","","","","","dal- 1","dal- 1","","","","ЭСТЯ 3, 133-134 (to be separated from *Tal- `to faint'); EDT 502 (the Chinese etymology of OT taluj seems hardly plausible: the compound MC dầj-lwi is not attested, and we would expect *Tajluj, not *Taluj anyway)."
