"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","TURC","TURCNUM","MONG","MONGNUM","TUNG","TUNGNUM","KOR","KORNUM","JAP","JAPNUM","REFERENCE"
2315,"*t`ájri", 573,"to scatter, disperse","рассеивать, разбрасывать","",   0,"*tara-, *tarka-",1321,"",   0,"*tí-", 719,"*tír-", 637,"Ozawa 245-246. Despite TMN 1, 253, Щербак 1997, 154, Mong. is hardly borrowed from Turkic (the OT form is tar-, while modern Kypchak forms like tara-, tarqa- are most probably borrowed < Mong.); on Turk. *dar- see under *tā̀ro. Medial *-j- is reconstructed to account for the loss of *-r- in Kor."
2316,"*t`ari",   0,"a k. of water bird","вид водной птицы","*tArakaj",1766,"*čirökej",1848,"*tarmī",2079,"",   0,"",   0,"A Western isogloss. Some Turkic forms may have been influenced by *torgaj 'lark' (q.v.)."
2317,"*t`aso",   0,"wild, wild animal","дикий, дикое животное","*tosun",1824,"*tosi-", 328,"*tasaka",2151,"",   0,"",   0,"A Western isogloss."
2318,"*t`ā́ja",   0,"to float, slide","плавать, скользить","*tāj-",1118,"*taji-tu-", 672,"*tia- (*taj-)",1302,"",   0,"*taju-",1012,"KW 389. Suffixed forms are perhaps Mong. tesi- 'slide', TM *tisa- 'swim' (ТМС 2, 188)."
2319,"*t`ā̀ki",1913,"log, rafter","бревно, стропила","*TEk-",1868,"",   0,"*tākan",1947,"*thɨ́r", 610,"*ti(n)kui ( ~ -əi)",1395,"Basically an Eastern isogloss: the Turkic parallels are late attested and somewhat dubious. A common Altaic derivative *t`ā̀ki-rV is reflected in PT *TEkir- (?), PK *thɨ́r and PJ *ti(n)ki-ri."
2320,"*t`ā̀k`ò",   0,"a k. of aquatic animal","вид водного животного","",   0,"",   0,"*tāxVr", 371,"",   0,"*tàkuà", 265,"A Tung.-Jpn. isogloss. Cf. perhaps also WMong. taqu 'a k. of fish' ( > Man. taqu, Nan. taqụ 'толстолобик')."
2321,"*t`ā́la",   0,"to plunder, seduce","грабить, похищать","*tāla-", 686,"*tala-", 603,"",   0,"*tàr'ái-", 622,"*tárá-s-", 561,"KW 376. Mong. may be < Turk (see TMN 2, 543, Щербак 1997, 152); but Turk. hardly < Samodian, despite Helimski 1995."
2322,"*t`ā̀lV ( ~ -ĺ-)", 227,"open place, open sea","открытое место, открытое море","",   0,"*tala, *tal-b-",1065,"*tālgi-",1286,"",   0,"",   0,"A Mong.-Tung. isogloss."
2323,"*t`āma", 761,"wall, roof","стена, крыша","*Tām", 365,"*tama", 300,"*tamV-", 394,"*tám", 205,"*tàmùruá", 384,"EAS 116, KW 377. Mong. (Kalm.) tam may be < Turkic. Although semantically quite plausible, phonetically there are difficulties: PT has a secondary voicing and Kor.-Jpn. have irregular tone (not corresponding to PT length). See VEWT 459."
2324,"*t`āno", 356,"to stretch, pull","тянуть, растягивать","",   0,"*teneji-", 749,"*tān-", 916,"*tằŋ-kắi-", 854,"*tana-pik-", 723,"SKE 256. Cf. also Karakh. teŋüč 'half cubit' (i.e. 'big hand-span', cf. Slav. pẽdĭ id. < pẽ-tī 'to stretch, pull')."
2325,"*t`ā́nV ( ~ -ē-) (?)",1905,"nose, part of face round nose","нос, часть лица вокруг носа","*T(i)āna", 204,"*tanaɣa", 218,"",   0,"",   0,"",   0,"Poppe 13, 69, АПиПЯЯ 289, KW 378, VEWT 460. A rather complicated case. Both Turkic and Mongolian forms are attested late, and can be borrowed from each other. If Mong. < Turk., then one could perhaps consider instead a possibility of comparing PT *T(i)āna with Mong. *taŋlaji 'palate' (whence again Chag. taŋlaj etc., see KW 379, VEWT 461-462, and Evk. taŋilai, see Doerfer MT 128). However, Mong. *taŋlaji may be alternatively compared with Turk. *damgak 'palate' (ЭСТЯ 3, 142; thus in Владимирцов 285, Лексика 230) - if one supposes a secondary assimilative change *t- > *d- in Turkic. PT *damgak 'palate; gills' may be, in its turn, alternatively compared with Evk. ǯalgama 'a piece of skin from deer's chin'. This knot of etymological problems is yet to be untangled."
2326,"*t`ā́ŋe",   0,"admiration; condolence","восхищение; соболезнование","*tāŋ",1664,"*taŋ-",1735,"",   0,"",   0,"*tə́mú-ráp-",1637,"KW 378 (Turk.-Mong.)."
2327,"*t`ā́bá",1601,"foot, footwear","нога, обувь","*dāpan",1765,"*tabag",1847,"*tabu-",2078,"",   0,"*tàmp(u)î",1462,"KW 385, Лексика 289. Cf. \U*t`op`u.\u The Turkic form is quite irregular - very probably a distortion of the expected *tāban under the influence of *dāp- 'to trample' q.v."
2328,"*t`ā́t`u",   0,"rash, scabs","сыпь, парша","*tāt (/*tōt)", 554,"*tačir", 467,"*tuta-ril-", 592,"*tə̀tə́i", 456,"*tútú-(n)ká", 436,"Лексика 412. An expressive reduplicated root, perhaps with variants *t`āt`u and *t`ōt`u (cf. Turk. *tōt and Evk. tuta-)."
2329,"*t`éba",1177,"time","время","*Teb",1622,"*tew-ke",1689,"",   0,"",   0,"*támpì",1357,"Владимирцов 256, Poppe 44, VEWT 468, Лексика 69."
2330,"*t`ebV", 198,"to put","класть","*debir-",2006,"*teɣe-", 767,"*teb-", 928,"*tú-", 870,"",   0,"Poppe 14, Rozycki 205-206. Cf. \U*t`ep`a\u , \U*t`ḕjbo.\u"
2331,"*t`ep`V", 113,"warm, to burn","теплый, жечь","*tẹpi-",2007,"",   0,"*tepe-", 602,"*tə̀b-", 466,"",   0,"The parallel seems reliable, although voicing in Korean is not clear (note a similar case in *t`i̯óp`a)."
2332,"*t`édù",1287,"to transmit","передавать","",   0,"*teǯĳe-",1097,"*tedē-",1320,"",   0,"*tútáp-",1023,"All branches may reflect a common Altaic derivative *t`édù-bV."
2333,"*t`égè ( ~ -o)",1169,"to sit; bed","сидеть; постель","",   0,"",   0,"*tege-", 111,"*thắ-", 508,"*tə́kə́", 211,"Lee 1958, 118, АПиПЯЯ 292.  As a noun the PTM root has the meaning "seat, bench", which makes the comparison with Japanese quite plausible. An Eastern isogloss - but cf. notes to *t`égè(-rV) 'edge, border'."
2334,"*t`égè(-rV)",1169,"edge, border","край","*Tegre", 391,"*teg",1478,"*tegē-r (/-n)", 417,"*tə́h", 236,"*tə́kə́rə́", 292,"Lee 1958, 118, Martin 238. The root seems to be homophonous to *t`égè 'sit, bed' and may be in fact derived ('edge, place' < 'sitting place'. The Turkic reflex here seems probable, but rather controversial: the word - if it continues PA *t`égèrV - has been heavily influenced both by PT *deg-ir- 'round' < PA *tega (hence 'surroundings') and *dẹg- 'to touch, reach' ( < *ti̯ok`e q.v.)."
2335,"*t`ĕ̀ja", 555,"calm, quiet","спокойный, тихий","",   0,"*tajibu-",1972,"*teje-",1477,"",   0,"*tàjá-, *tàjù-",1532,"Mong. and TM reflect a common derivative *t`ĕ̀ja-bV."
2336,"*t`ékù", 801,"to become thick (of liquids)","густеть (о жидкостях)","",   0,"",   0,"*tekti", 671,"*tùthə̀-b-, *tōi-", 539,"*túka-", 498,"An Eastern isogloss; see notes to \U*t`ák`u.\u"
2337,"*t`ḗk`o",   0,"bottom, foundation","дно, основание","*TĒk",1673,"*taka",1745,"*texēn",1945,"",   0,"",   0,"A Western isogloss. Lee 1958, 118 cites MKor. takar 'horseshoe' which we were unable to locate."
2338,"*t`èk`á ( ~ -k-)",1575,"kind, equal, level","род, вид; равный, ровный","*tekiŕ",1282,"*teg-si",1257,"",   0,"",   0,"*tànk-",1121,"KW 390. Despite Doerfer's (TMN 2, 660) criticism, the Turk.-Mong. match seems quite probable."
2339,"*t`ĕ̀kí",   0,"piece, tear into pieces","кусок, разрывать на куски","*tikö",1770,"",   0,"*teke-",2089,"*tàhí-", 842,"*tìnkìr-", 420,"Korean has a usual verbal low tone."
2340,"*t`elbu", 978,"dirt","грязь","*TAlagu",1304,"*tolbu",1286,"*telbe",1480,"*tə̄rə̀b-", 932,"",   0,"In Kor. the reflex is hard to distinguish from that of \U*t`ḕŕu\u q.v."
2341,"*t`ĕma ( ~ -o)",   0,"net string, net needle","веревка сети, игла для сети","*temen",1284,"*tamasu",1259,"*teme-",1460,"",   0,"*tamua",1473,"Most sources indicate that the root was used as a fishing term (either a string in the net or a needle for the net). Morphologically cf. the match between PT *temen and Manchu temene ~ temun."
2342,"*t`èmo ( ~ t-)",   0,"to burn, kindle","жечь, зажигать","*Tạm-", 144,"",   0,"",   0,"",   0,"*tə̀mə̀-s-", 183,"АПиПЯЯ 286. A Turk.-Jpn. isogloss. Cf. perhaps TM: Ud. tumpali 'capsule', Evn. tumtej 'star' (ТМС 2, 213)."
2343,"*t`emV", 430,"to grope, search","ощупывать, искать","",   0,"*temteri-",1276,"*temi-",1282,"",   0,"",   0,"SKE 261, ТМС 2, 234. A Mong.-Tung. isogloss; but for a possible Jpn. parallel see \U*t`ama,\u  and for a possible derivative reflected in Turkic and Japanese see *t`ìnt`a."
2344,"*t`eŋa",1077,"to kick, shake","пинать, трясти","*TEŋ-",1769,"*taŋga-",1854,"*teŋ-",2088,"",   0,"",   0,"An expressive Western isogloss."
2345,"*t`èŋo",   0,"a k. of flying insect","вид летучего насекомого","",   0,"",   0,"*teŋer- / *toŋor-",1950,"*toŋ'ăi",1074,"*tə̀m-", 337,"An Eastern isogloss. Cf. perhaps Mong. temeɣel-ǯirgene 'dragonfly' (folk-etymologically merging with temeɣen 'camel')."
2346,"*t`ĕp`á",   0,"tuft (of hair)","прядь (волос)","*tepö (-ü)", 182,"*tab, *tebeg",1370,"*teb-",1572,"*tapar", 417,"*tampua",1171,"Владимирцов 258. The root is rather difficult to distinguish from \U*t`ēpa\u  'to catch, embrace' and from \U *t`òp`u\u  'round, clot' : an expressive sound shape, liable to mergers. Note that within Turkic there may have also been a confusion of this root with PA *tújpè 'hill, top', cf. some Oghuz forms with d-  (Doerfer TMN 1, 450-452 attempts to connect Turk. *tepe with Mong. deɣe- 'above', which has a different, quite plausible etymology). The original meaning of *t`ep`a could be "top of head" (whence "tuft of hair on top or back of head"): cf. the common Turk.-Mong. derivative *t`ep`a-lV 'spot on the forehead of an animal' (WMong. tögele, Khalkha tȫĺ; Turkm. depel, Az. täpel, Kirgh. töböl etc.), see Владимирцов 213, KW 408, ЭСТЯ 3, 200."
2347,"*t`ep`à",   0,"to cover, obstruct","покрывать, закрывать","",   0,"",   0,"*tepku", 921,"*tə̀ph- / *tùph-", 859,"*tapa-", 727,"SKE 263, PKE 203, EAS 49.  An Eastern isogloss. Cf. \U *t`ebV\u  and  Bur. tebtēr 'cover (of pot)' - a word of obscure origin. For Jpn. cf. alternatively: WMong. čeger, Khalkha cēr 'taboo, prohibition', Turk. čeper 'fence, protecting fender', see Владимирцов 211-212; cf. also Oroch čeppe- 'to sin'?."
2348,"*t`ĕ̀p`a",   5,"to hit, tip over","ударять, опрокидывать(ся)","*Tap-la-",1383,"*taɣ- / *tuji-",1402,"*tep-",  20,"",   0,"*tàpú-",1189,"The root should be distinguished from \U*tā́p`V\u and \U*t`i̯óp`e\u q.v., although they certainly tend to be confused."
2349,"*t`ĕ́ŕa ( ~ -o)",   0,"eagle, vulture","орел, стервятник","*dAŕ",1128,"*tarbalǯi",1093,"*ter-",2080,"",   0,"*tátú",1021,"EAS 111. Cf. also WMong. (L 779) tarasu 'sp. of small eagle'. The root is practically homonymous with *t`eŕo 'bald' (q.v.) and may be in fact a specialization of the latter, as a 'bald eagle' (note that this is the traditional etymology of the Turkic word)."
2350,"*t`éra ( ~ -u)",1078,"hair, wool, thread","волосы, шерсть","*TAram",1429,"",   0,"*terge-", 493,"*tə̀rh(í)",  38,"",   0,"SKE 280, АПиПЯЯ 296. This comparison seems better than relating the Korean word to Turk. *tel 'wire' (SKE 282). Equally unconvincing is Doerfer's (TMN 1, 244) attempt of deriving the Turk. forms from an Iranian source."
2351,"*t`erk`o (*t`erVk`o)",   0,"to think","думать","*TẹrKe-",1131,"*tariki",1099,"*terge-",1323,"",   0,"",   0,"A Western isogloss."
2352,"*t`eŕo", 368,"bald","лысый","*daŕ (~-ā-)", 831,"*tar-", 746,"",   0,"*tăi- / tắrk", 846,"",   0,"EAS 111, KW 380, SKE 250, Poppe 13. Despite Щербак 1997, 154 we cannot assume borrowing in Mong. from Turkic. Turkic has a secondary voiced d- (one of the cases of voicing in front of -ŕ-); but a contamination of two roots is also not excluded: cf. also Mong. dar-gar, dars-gar (L 233: darsa-ɣar) 'rough, warped (of skin)'. Cf. also notes to *t`ĕ́ŕa ( ~ -o) 'eagle, vulture'."
2353,"*t`ĕ̀rbò",1909,"a big cutting instrument","большой режущий инструмент","*törpi-gü",1132,"*tarbagaj",1100,"*terin",1324,"",   0,"*tàtì",1026,"One should also note Ul. tarpigda 'a k. of knife' (ТМС 2, 169; from a Mong. form like *tarpagaj?)."
2354,"*t`ḕbà",1176,"to run","бежать","*tabɨĺgan", 422,"*tawlai", 337,"*tēb-",1917,"",   0,"*tapasir-", 735,"EAS 109, KW 413, Владимирцов 255, Poppe 13, 44, 77, Новикова 1972, 123-124, Лексика 164, Miller 1970, 128, JOAL 118. Both in Turk. and Mong. there exist also verbal roots (PT *tabɨĺ- 'to run', e. g. Chag. tauš-, tawuš- etc.; WMong. tauli-, taɣuli- 'to chase, pursue', see EAS 109, TMN 1, 276, 2, 616). Despite TMN 1, 277, Щербак 1997, 151, one can hardly speak about borrowing in Mong. from Turkic."
2355,"*t`ḕjbo",   0,"to put, set","класть, ставить","",   0,"*tabi-", 760,"*tēb-", 925,"*tằbi-", 865,"",   0,"Medial *-jb- should be reconstructed to account for -b- (not -ɣ-) in Mong. corresponding to *-b- in Kor. Cf. *t`ebV."
2356,"*t`ḗk`í ( ~ -k-)",1576,"separate, solitary","отдельный, одинокий","*tēk",1283,"*čig",1258,"",   0,"",   0,"*tínkáp-",1122,"The etymology appears quite plausible both semantically (in Jpn. 'differ' < 'to be separate from') and phonetically."
2357,"*t`ḗlù", 131,"string, spreader, to spread","веревка, растяжка, растягивать","*tēl",1130,"*tele-",1098,"*tel-",1321,"",   0,"*túrù",1024,"Despite Doerfer MT 52, TM cannot be borrowed from Mong."
2358,"*t`ḕlV ( ~ -ĺ-)", 836,"to sober up","трезветь","",   0,"*telere-",1852,"*tēl-",2086,"",   0,"",   0,"ТМС 2, 231. A Mong.-Tung. isogloss."
2359,"*t`ḗlV", 489,"young lamb, calf","ягненок, теленок","*Tẹ̄l",1883,"*tölüge",1965,"",   0,"",   0,"",   0,"A Turk.-Mong. isogloss. Mong. has -ö- under the secondary influence of töl 'newborn young animals' ( < Turk. *döl q. v.)."
2360,"*t`ḕmu",   0,"boat, raft","лодка, плот","",   0,"*tamara-",1853,"*tēmu",2087,"",   0,"*tumu", 230,"Phonetically and semantically plausible, but rather sparsely attested in Mong. and Jpn."
2361,"*t`ḕŋà",1597,"lowland","равнина, низина","*tEŋ",1127,"",   0,"*tēŋ-",1322,"",   0,"*tànì", 813,"Turk. *deŋgiŕ 'sea' (ЭСТЯ 3, 194-195; > Mong. teŋgis, see Clark 1980, 39) may also belong here (with a secondary voicing). See SKE 280, EAS 145. Cf. \U *t`i̯oŋe\u  'air or water space'."
2362,"*t`ḕpá",   0,"to catch, embrace, armful","ловить, обнимать, охапка","",   0,"*teberi-", 754,"*tēbe-", 920,"*tə̀pɨ́r-", 858,"*tàmpá",1022,"Poppe 14, 45. Despite Doerfer MT 52, TM cannot be borrowed from Mong. The Kor. verb has a typical low tone. Kor. tabal 'bundle, bunch' (see Martin 227), which we have attributed to PA *t`ĕp`á, seems to be a better match for Jpn. *tà(n)pá, but Jpn. also has *ta(m)pua 'knot of hair', and the two roots actively interacted in the Kor.-Jpn. area."
2363,"*t`ḕra",   0,"pair, to compare","пара, сравнивать","",   0,"",   0,"*tērī",2090,"",   0,"*tàtùap-",1466,"A Tung.-Jpn. isogloss."
2364,"*t`ḕŕù",   0,"dirt, dung","грязь, навоз","*tEŕek",1303,"",   0,"*tērgēn",1479,"*tə̄r-", 113,"*tùtì",  19,"Contaminations with *t`ōŕe (in Kor. also with *t`elbu) were possible."
2365,"*t`i",1582,"thou","ты","",   0,"*či",  94,"",   0,"",   0,"",   0,"Mongolian has alone preserved the Nostratic 2d p. stem \I*t`i;\i other Altaic languages have retained only the other stem *si (*si̯a), with the oblique stem *nV."
2366,"*t`ĭbŋe", 991,"camel, elk","верблюд, лось","*debe",1116,"*teme-ɣen",1080,"*tibŋa",1300,"",   0,"",   0,"EAS 88. A Western isogloss. Initial *d- in Turkic is  due to assimilation, but borrowing in Mong. from Turk. cannot be accepted, despite TMN 2, 671, Щербак 1997, 154."
2367,"*t`ĳV",  71,"louse","вошь","*Ti-",1954,"",   0,"*ti-kte",  71,"",   0,"",   0,"A Turk.-Tung. isogloss. Very poorly attested in Turkic; but cf. a further Nostratic etymology (Ural. *täjV, Kartv. *ṭil-) in МССНЯ 335."
2368,"*t`ĭ́[k`]ù",1907,"to stuff into, press into","набивать, вдавливать","*tɨkɨ-", 589,"*čiki-", 504,"*tiki-", 632,"*tìk-", 495,"*túk-", 466,"KW 439, Poppe 15, 16, 55, Мудрак Дисс. 37-38. Cf. also Kor. tìk-mə̀k- = MJpn. túí-pam- 'to peck' (lit. 'press and eat'). In TM one would rather expect *-x-; this means perhaps that we could reconstruct *t`ĭ́kù, with assimilation in Mongolian."
2369,"*t`ik`V", 587,"to fear, hate","бояться, ненавидеть","*tik-",1859,"*čikul",1941,"*tiKun-, *tiKul-",2175,"",   0,"",   0,"Дыбо 14. A Western isogloss."
2370,"*t`i̯ā́ĺke",1592,"to splash, overflow","плескаться, переливаться","*d(i)āĺ(ɨ)-", 936,"*čilga-",1079,"*tilka-",1299,"",   0,"",   0,"Дыбо 13. A Western isogloss."
2371,"*t`ĭ̀má",   0,"(low) noise, sound, to make noise","(тихий) звук, шум, звучать","*Tiŋ(mi)", 386,"*čimeɣe", 314,"*tim-", 412,"*tamɨr-",1106,"*tàmár-",1417,"Мудрак Дисс. 39, 86."
2372,"*t`ìnt`a",   0,"to search","искать","*tint-",1659,"",   0,"",   0,"",   0,"*tàntùna-", 642,"A Turk.-Jpn. isogloss: but a possibility exists that the root is actually a contraction < *t`emi-t`a, derived from PA *t`emV q.v. (for the parallel PT *tint- : Mong. temteri- see KW 391)."
2373,"*t`íp`ò ( ~ t-, -e-, -b-, t`ap`e, t`i̯op`e, t`i̯ap`e)",   0,"far","далекий","",   0,"",   0,"",   0,"*ptɨ́-", 944,"*tə́pə́-",  99,"A Kor.-Jpn. isogloss; not quite secure because of vowel reduction and metathesis in Korean (for a similar case cf. Kor. *psɨ́r- 'sweep' < PA *šĭp`V)."
2374,"*t`ire ( ~ -ŕ-, -i)",1953,"head","голова","",   0,"*teriɣün",  41,"*tiru-",1621,"",   0,"",   0,"A Mong.-Tung. isogloss."
2375,"*t`iru ( ~ -i̯u-)",   0,"morning","утро","",   0,"",   0,"*tirga ( ~ -ü-)",2083,"",   0,"*tutə ( ~ -ua)",1464,"A Tung.-Jpn. isogloss."
2376,"*t`i̯age",   0,"a k. of vessel","вид сосуда","*t(i)agar(a)",1475,"*toguɣa(n)", 425,"*tige ( ~ -ü-)",1702,"",   0,"",   0,"A Western isogloss. Mong. *toguɣan must be a case of labial attraction < *tagu-ɣan. But cf. also \U*t`i̯áku\u, as well as Kor. tok `earthenware vessel', togani 'earthenware dish in which metal or glue is melted' ( < Mong.?); cf. also a Wanderwort in Tung. (Ul. tukuru etc. 'bottle'), Ainu tokkuri, Jpn. tok(k)uri 'bottle', Kor. tuguri 'round metal dish'."
2377,"*t`i̯àk`à",1912,"hen; duck","курица; утка","*tiakɨgu (/ -ŋu)",1115,"*takĳa",1075,"*tiaku",1295,"",   0,"*tàkà(m)pái",1703,"KW 375, Владимирцов 206, Мудрак Дисс. 199-200.  Despite Щербак 1997, 152, not borrowed in Mong. < Turk. Doerfer's (TMN 2, 443-444) criticism is also hardly substantial."
2378,"*t`i̯ákù",   0,"a k. of vessel","вид сосуда","*tekne", 507,"*tagsi",1519,"*tuku- ~ *taku-", 543,"*tói",1168,"*túkì", 398,"Except for open *-e- in Turkic (one would expect *-ẹ-) correspondences seem regular - but the root is very similar to \U*t`i̯age\u q.v., as well as to some regional Wanderwörter, so there may have been some confusion of different etyma."
2379,"*t`ŭ̀k`ù ( ~ -o-)",   0,"to grasp, seize","брать, хвататъ","",   0,"",   0,"*tux-", 931,"*thắ-", 673,"*tùkàm-", 101,"Martin 225. Korean has a usual vowel reduction in the first syllable. An Eastern isogloss."
2380,"*nek`V",1465,"friend, relative","друг, родственник","",   0,"*nökör",1535,"*neku-",2351,"",   0,"",   0,"A Mong.-Tung. isogloss. The root seems to be different from *nī̀k`e and *ńi̯ṑge, although there may have been some natural confusion. It is interesting to note Jpn. naka(ma) 'friend' - perhaps a secondary contamination with naka 'middle'?"
2381,"*t`i̯árko",  46,"a k. of carriage","вид повозки","",   0,"*terge", 452,"*turki", 575,"*tằrkó", 433,"",   0,"SKE 253."
2382,"*t`i̯ăru", 762,"to curse","ругать","*Tẹrk-",1129,"*tarki-",1095,"*turē-",1317,"",   0,"",   0,"A Western isogloss."
2383,"*t`i̯árV ( ~ -ŕ-)",   0,"to melt","плавить(ся)","",   0,"",   0,"*tiar-",2107,"",   0,"*tə́rə́-",1471,"A Tung.-Jpn. isogloss. Not quite secure because of the vocalic correspondence."
2384,"*t`i̯àsá",1903,"very","очень","*tAs",1114,"*tasu",1074,"*tias-",1296,"*tàsí",1199,"*tàsí-",1008,"Irregular tone and vowel in Korean may suggest a possibility of loan ( < OJ tasi). Cf. also Mong. tasĳa 'lie' ( > Man. tašan, tašara- etc., see Doerfer MT 119)."
2385,"*t`i̯ā̀ku", 915,"a horned animal","рогатое животное","*teke", 344,"*togĳ", 250,"*tōKī", 373,"",   0,"",   0,"A Western isogloss. See Дыбо 7, Лексика 154. The parallel seems probable, but PT should rather have a closed *ẹ. There may have been some confusion between this root and another one, represented by PT *Tagɨ 'female kulan' (OT taɣɨ, see EDT 466; Bulg. toxə 'horse') and borrowed in (or corresponding to?) Mong. taki 'wild horse'."
2386,"*t`i̯ā̀lo",   0,"to hang, strap","вешать, веревка, ремешок","*TAlk-",1356,"*telej",1974,"*tōli",1547,"*tắr-", 950,"*tàr-",1150,"A rare case of high tone in a verbal stem in Korean. The unmistakable identity of PM *telej = PTM *tōli suggests that the association of Mong. teleji 'belt' with tele- 'to spread' is secondary, due to the merger of the roots *t`i̯ā̀lo and *t`ḗlù (q.v.)."
2387,"*t`i̯olge",   0,"a k. of vehicle","вид повозки","*Tilgen ( ~ -e-)",1610,"*telegen",1676,"*tolga",1872,"",   0,"",   0,"A Western isogloss. MMong. may be < Turkic (though not necessarily); a Mongolian source is probable for Chag. tälgän, Nogh. dial. telegen, KKalp. telegen, see Лексика 534-535 with literature."
2388,"*t`i̯oŋe", 262,"{cavity, hollow}","{полость, углубление}","",   0,"*töŋk-",1092,"*tuŋ-",1316,"*taŋh / *təŋh", 924,"",   0,"Doerfer (TMN 3, 207) considers the Kalm. form to be the source of TM, which is hardly plausible. Cf. \U*t`ḕŋa\u  'lowland'."
2389,"*t`ébo",1175,"to help, assist, serve","помогать, служить","",   0,"*tab", 766,"*teb-",2325,"*tōb-", 869,"*tá(m)pa-p-", 732,"KW 373, 388, Poppe 13, 42, 47, Дыбо 15 (the root is often confused with *t`áp`a q.v.)."
2390,"*t`i̯ŏ́p`é",   5,"to trample","топтать","*tep- / *dēp-",1382,"*teɣe- / *teji- / *tübü-",1401,"*tubu- ( ~ -p-)",1601,"*tjap- (?)",1053,"*túmpú-",1188,"Владимирцов 272. Cf. \X0*tā́p`V\x, \X0*t`ĕ̀p`a\x (with a possibility of mergers). The Turk. variant *dēp- is secondary, probably under the influence of *dāp- < *tā́p`V, but may be rather old: cf. the match PT *dep-se- : PM *deb-se- 'to stamp, tramp' (a secondary loan is hardly possible in this case)."
2391,"*t`i̯òra",   0,"to cultivate (earth)","возделывать (землю)","*TArɨ-",1652,"*tarĳa-n",1718,"",   0,"",   0,"*tà",1133,"KW 380, 387, Poppe 62, Мудрак 181. Jpn. reflects a suffixed form *t`i̯òr(a)-gV (cf. Mong. tari-jan).  Cf. *tăra: if PT *dạrɨ-g 'millet' is derived from this root, then Mong. *tarĳa-n should be considered a Turkism, and the reconstruction should be emended to *tVra."
2392,"*t`i̯ór(g)e", 285,"support, beam","брус, опора","*Terki",1471,"*terki-", 412,"*turga-", 528,"*tòrí", 371,"*túrí-(n)kə́i", 376,"On Turk. *dīre-, *dīre-k see under *t`ī́ri- (a contamination). The Mong. (Dagur) and Manchu forms may ultimately have a Turkic origin."
2393,"*t`i̯uŕ(k)u",  41,"quick, swift","быстрый","*dɨŕ-",2008,"*tür(ge-n)",1426,"*tur-ku-", 410,"",   0,"",   0,"A Western isogloss."
2394,"*t`i̯òlgu", 275,"moon","луна","",   0,"*tergel",1308,"",   0,"*tắr",  54,"*tùkùi",  97,"Martin 236, АПиПЯЯ 94, 278, Vovin 2000."
2395,"*t`i̯ṑlo", 836,"to shine, reflect","светить, отражаться","",   0,"*tolui", 160,"*tī-",1502,"",   0,"*tàir- ( ~ tìar-)",1144,"The Jpn. diphthong is not quite clear.  It is interesting also to mention Turkic data: cf. Karakh. tolun in tolun aj 'full moon' (MK, see EDT 501), with tolun formally being a participle from *dol- 'to be filled', but in fact used only in this phrase in the sense of "full moon". Modern Turkish has dolunaj 'full moon' with d- (just as in dol- 'be filled'), but the verb tolun- 'to become full (of moon)' - which would correspond quite regularly to PA *t`i̯ṑlo. One should reckon with a possibility of rather archaic contamination in Turkic (since most languages do not distinguish between the reflexes of *t- and *d-)."
2396,"*t`i̯úgo",1911,"cover","покрышка","*Tugur",1316,"*tuɣurga", 355,"*tüksa",1298,"*tù'ə́i", 310,"*tu-i",1010,"KW 413, Лексика 515. In Kor. cf. also thúkú 'helmet'."
2397,"*t`i̯ŭ̀ge ( ~ -o)",   0,"quay, harbour","причал","",   0,"*tuguj",1747,"*tügde-",2272,"",   0,"*tù", 288,"An interesting Mong.-Tung.-Jpn. match."
2398,"*t`i̯ukV",   0,"to fall, drop","падать, капать","",   0,"",   0,"*tüK-, *tügde",  93,"*tɨ̄d-", 864,"",   0,"PKE 211. A Tung.-Kor. isogloss (both TM and Kor. reflect a suffixed form *t`i̯uk-dV)."
2399,"*t`i̯ula ( ~ -u)",   0,"to intend, reason","намереваться, причина","*Tɨlda-",1286,"*tula",1261,"*tul-",1462,"",   0,"",   0,"KW 409. A Western isogloss."
2400,"*t`i̯ule ( ~ -o)",   0,"to weaken, be exhausted","слабеть, истощаться","",   0,"*tul-",1849,"*tüla-",2081,"",   0,"",   0,"A Mong.-Tung. isogloss."
2401,"*t`i̯ŭ̀nŋá",   0,"a k. of predator","вид хищного животного","*Toŋa (?)",1674,"*činua",1729,"*tuŋ-si-",1929,"",   0,"*tànúkí",1058,"Mong. -n- points to *-nŋ-; TM *tuŋsi- perhaps < *tunŋV-si-."
2402,"*t`i̯ùŋo ( ~ -e)",2033,"staff","посох, палка","",   0,"*tujiban",1076,"*tüjŋe(-pun)",1297,"",   0,"*tùmìpá",1009,"The *-p`V is probably an original suffix, but reconstructable already for PA."
2403,"*t`i̯up`i",   0,"dust, smoke; to rise (dust, smoke)","пыль, дым; подниматься (о пыли)","*tüpi", 162,"",   0,"*tip-", 270,"",   0,"",   0,"АПиПЯЯ 287. A Turk.-Tung. isogloss. TM also has variants *tilpa- / *tilba- (see ТМС 2, 180) meaning both 'dirt, smear' and 'snowstorm' and having arisen due to contamination with \U *t`elbu\u  q. v."
