NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|EVK|EVN|NEG|SIB|MAN|CHU|ULC|ORK|NAN|ORC|UDE|SOL|REFERENCE
1897|*subgi-|2068|steam, smoke|пар, дым|subgin|hebgi|subgin||||subgi(n)|subgi(n)|subgĩ||||ТМС 2, 115-116.
1898|*xupuru|1125|1 rift (in river) 2 bridge|1 порог (на реке) 2 мост|ōran 1|||||hufuru 2 (Doerfer MT 136)|||xurfu 1||||ТМС 1, 479, 2, 23.
1899|*paba ( ~ -p-)|1710|1 work 2 skilful, diligent 3 to work|1 работа 2 работящий, умелый, усердный 3 работать|hawā 1, hawal- 3|hawa 1, hawad- 3|xawadịjin 2, xawādakta- 1||fafuri 2||||||||ТМС 2, 307.
1900|*kamp-|717|1 to fold, bend 2 to press|1 складывать, сгибать 2 сжимать|kamnī- 2||kampị- 1, 2||qamni- 2||qampụ- 1||qampị- 1||qampi- 1||ТМС 1, 370, 371. The variant *kamnī- has probably arisen from *kamp(i)-nī- and has secondarily merged with TM *kamnī 'ravine' ( the latter should be perhaps compared with Mong. kaŋgil 'bald hills').
1901|*kōri-|944|1 to delve, carve out, pick out 2 to wound accidentally|1 вырезать, выдалбливать, выковыривать 2 порезать(ся), случайно ранить|||||qori- 1||||kōrxi- 2 (On.)||||ТМС 1, 415.
1902|*ugi(r)-|657|1 herd 2 pasture 3 yard 4 gate 5 garden|1 стадо  2 пастбище 3 двор 4 ворота 5 огород|ujur 2 (Nep.), uɣuwa, uwuwa 1 (Olk., Tng.)|ujirē 4||||||ujru 2|||uhi (Корм. 303), uji 5||ТМС 2, 243, 252.
1903|*pad-|1611|1 to spread out (animal's skin) 2 name of a game (spreading a rope between fingers) 3 to arrange (in a row)|1 растягивать, распяливать (шкуру животного) 2 натягивание шнура между пальцами (назв. игры) 3 расставлять, раскладывать|hadarga 2|||faidən 'row' (1624)|fajda- 3, fajdan 'row'|||pādda- 1|||||ТМС 2, 297, 308.
1904|*xepe/u-|1013|to break, destroy|ломать, разбивать|ew-|||efelə (1660)|efule-, efele-||||xepu-li-||||ТМС 2, 434.
1905|*kepel-|789|belly, stomach|живот, желудок||kъbъl, kēbъl||kevələ, xevələ 'stomach, belly; bosom' (87)|xefeli, xefali|xefuli (508)|||||||ТМС 1, 387-388.
1906|*(x)eburen|992|corpse|труп|||||ūren, oren, eoren||||||||ТМС 2, 289-290. Attested only in Manchu, but with probable external parallels.
1907|*daŋ-|2208|tight, bound tight, stuffed tightly|тугой, плотно набитый|daŋama||||\Idan\i 'trap, snare'||||||||ТМС 1, 196. Cf. also Man. deŋnex́en 'strips (on footwear)' (ТМС 1, 235).
1908|*ǯir-|2244|1 dense, without intervals 2 close, near|1 сплошной, густой, без промежутка 2 близко, рядом|||||ǯira 1||ǯịǯa 2 ( < *ǯir-g-)||ǯịǯa 2 ( < *ǯir-g-)||||ТМС 1, 256, 259.
1909|*xapsa|972|1 box 2 bag 3 delved boat|1 ящик, коробка 2 сумка 3 лодка-долбленка|awsa 1, 2|awsъ̣ 2|awfsak 1||absa 1, 3|||ꭓapsaw 2|xapsio (On.) 1||||ТМС 1, 9. Man. > Nan. apsā̃, Oroch absa. The Orok form quite clearly shows PTM *x-, so it is hardly probable that Mong. absa 'coffin' is borrowed from < Manchu) - despite the widespread idea of TM < Mong. and Mong. < Turk. (see, e.g., Clark 1977, 148, Sinor 1995).
1910|*(x)iarū-n|1044|1 shoulder bone 2 cubit, measure of length 3 ridge of deer's shoulder bone|1 кость предплечья 2 локоть, мера длины 3 гребень лопатки оленя|ē̂rūn 1, 2|ärъ̣n 3|||||||||||ТМС 1, 291.
1911|*xete-|1018|1 to overcome, win 2 to be stubborn, contend 3 to fulfil, accomplish|1 преодолевать, побеждать 2 быть упрямым, состязаться 3 выполнять, совершать|ete- 3|et- 1|etiče- 2, ete- 3|etə- 'to win' (803)|ete- 1|hete-xe (794) 1|xete- 1|xete- 1|xete- 1|ete- 1|ete- 1|ete- 1, 3|ТМС 2, 470. TM > Dag. ete- (Тод. Даг. 141).
1912|*epe|441|baked bread, cake|печеный хлеб, пирог|ewedi|||efən 'Manchu bread' (364)|efen||epe(n)||epẽ|||ouo ~ uɣon ~ eweń|ТМС 2, 436.
1913|*poba|1873|1 ten (a bundle of ten squirrels) 2 collection, gathering|1 десяток (связка белок) 2 собрание||||||||pōwo 1|poã 2||||ТМС 2, 40.
1914|*šumi ( ~ č-)|2196|1 foreland, shallow place 2 tussock|1 коса, отмель 2 кочка|čumi 1, čumdikēn, čummikē 2 (Вас. 529)||čụmịxān 1||||||||simb́o 2 (An.)||ТМС 2, 86, 414.
1915|*bārga-|111|to clothe, put on|одевать(ся)|||||||bargaǯị-|baGdụxị-|bāraǯịGo-, bārolị-||||ТМС 1, 73.
1916|*buduri-|177|to hurry|спешить, торопиться|||||||||buduri-||||ТМС 1, 103. Manchu buduli- 'to stumble' may be related, but may also be borrowed < Mong. (see Doerfer MT 78); the Nanai form, however, is hardly borrowed because of different semantics.
1917|*tēb-|2354|1 to catch up with 2 to walk behind 3 to run in leaps|1 догонять 2 идти позади кого-л. 3 бежать прыжками|tēwul- 1|tewut- 2|||||||||tau-mäna- 4||ТМС 2, 172, 226.
1918|*(x)oru-|1580|to flame up|вспыхнуть|orumna-||||||||||||ТМС 2, 25. Attested only in Evk., with possible parallels in Turk. and Mong.
1919|*pasi-|1716|1 to hurry, scurry 2 commotion, hurry (n.)|1 торопиться, суетиться 2 торопливость, смятение||hasụl- 1||fačuhun 'disordered' (1065); fačuhuru- 'to fall into disorder' (1066)|fači-xin, faču-xun 2, fačix́aša- 1|||||||paš́igụ̄̃ 2|ТМС 2, 36. The root has some peculiarities: p- in Sol. probably means that the word is borrowed < Manchu. Manchu -č- : Evn. -s- is quite strange: it may point to a derivation fači- < *pasi-či- in Manchu. TM > Dag. pačgurā- 'to become confused' (Тод. Даг. 160).
1920|*paja-|1702|1 to glitter (of snow) 2 blinded by bright light|1 блестеть (о снеге) 2 ослепленный (ярким светом)|hajakat- 1||||||||||pajaktu 2||ТМС 2, 308. Ud. p- points to a borrowing from some unattested Nan. or Ul. form.
1921|*kaK-|704|1 to rumple (skin) 2 instrument for rumpling skin|1 мять кожу 2 кожемялка||||||||||kaku 2|ka`i- 1 (Корм. 244)||ТМС 1, 364.
1922|*bokan-|186|to catch up with, take revenge on|настигать, догонять, мстить|bokon-|boqъ̣n-|boxon-||||||boqoŋGị-|bō-, bokko-|bo`n-o- (Корм. 213)|boxon-|ТМС 1, 90.
1923|*loka-|1224|1 to hang 2 hanger, cross-beam (for hanging)|1 вешать 2 вешалка, вешала|loko- 1, loko-ptin 2; lokso, lekse 'knee'|noq- 1, noqъ̣m  2|loxo- 1, loxo-wun 2||||lō-, lōqo- 1, lōpụ 2|lō-, loqqo- 1, lōno 2|lō- 1, lōčaqo 2|lō- 1, lōkońi, lōńi 2|\Ilo`-\i 1 (Корм. 256)|loko-, loxo- 1|ТМС 1, 501-502, 515.
1924|*axiri-|19|to sweep, rake up snow|подметать, разгребать снег|||||||aꭓịrị-|aꭓịrị-|aꭓịrị-||||ТМС 1, 25.
1925|*muxa-|1300|1 stomach disease 2 to be ill, sick|1 желудочное заболевание 2 болеть|mukān 1||||||mōko 'идол от желудочной болезни' ( < *muka-ka)|muxule- 2|muxu 1||||ТМС 1, 552.
1926|*čuki|293|bad|плохой|||||||čụqana||čukĩ  (On.)|čuki|||ТМС 2, 411.
1927|*ibi-|584|to pick out seeds|отбирать зерна (для посева)|||||ib́aꭓa ǯafa-, ib́aꭓala-||||||||ТМС 1, 294. Attested only in Manchu, but having plausible external parallels.
1928|*pika|1654|1 rear, buttocks 2 naked, with naked buttocks|1 зад, ягодицы 2 голый, без штанов|hikańa 1||xịxańa 1|f́aku 2 (207)|f́aqu  2||pịqa 2 (Суник 1985, 225)||piqa 2 (Он.)||||ТМС 2, 323, 299.
1929|*tuŋ-si-|2401|1 bear's head 2 bear's forehead 3 name of a mythical predator (fox-like, devouring tigers and dragons)|1 голова медведя 2 лоб медведя 3 назв. мифического хищника (похожего на лису, пожирающего тигров и драконов)|tuŋsuku 1||texseke 2||tuŋsitun 3||||||||ТМС 2, 216.
1930|*bońa|148|a big monkey|большая обезьяна||||moni 'monkey' (2212); boni 'year of the monkey' (2724)|bońo, mońo|bo-noŋ (151)|||||||ТМС 1, 94, 545. The secondarily nasalized Manchu form mońo was borrowed in Sol., Oroch, Ud., Ul., Nan. mońo and Dag. (Тод. Даг. 155) mońō 'monkey', Kh. mońō `male young of monkey'.
1931|*ola-|1570|to ford, wade|переходить вброд|olo-|olā-|olō-||olo-||onị-|onno-|ono-|olo-|olo-||ТМС 2, 15-16. Forms like Evk. olom may be < Mong. (see Poppe 1966, 196).
1932|*nora-|1505|to pile, stack|складывать (в кучу, в костер, в копну)|||||nora-||||norxon 'соединительные поперечные валики, расположенные на концах нарт' (Он.)||||ТМС 1, 606.
1933|*m[ia]g-|1298|1 to shamanize 2 to be noisy, produce noise|1 камлать 2 шуметь|migdi- 2|||||||||magui- 1|||ТМС 1, 520, 535.
1934|*čipa-|327|1 edge of sledge brake-stick 2 sharp|1 наконечник палки-тормоза для саней 2 острый|čịpan 1||čịp-čịp 2||||||čip '(to stick into, pierce) deeply' (On.)||||ТМС 2, 398.
1935|*ǯēlge|236|crack, narrow passage|щель, узкий проход|ǯēlge||||||||ǯelgẽ||||ТМС 1, 283. Nan. has a secondary vowel shortening (the old length is proved also by the Dagur loanword from TM - ǯēlge, ǯēleg, see Тод. Даг. 143).
1936|*ǯī-|2622|to cut off a slice, slice|срезать, нарезать полосками|ǯī-|ǯi-|ǯi 'piece of meat'||||ǯū-||ǯịlaꭓa 'small piece'|ǯī-|ǯī-||ТМС 1, 255.
1937|*(x)utur-|1587|to reel, turn round|вертеться|utur-||||||||||||ТМС 2, 295. Attested only in Evk., but having probable external parallels.
1938|*sug-|2124|1 to place properly 2 to put a child into the cradle|1 разложить по местам 2 положить ребенка в люльку|suɣi- 1|||||||sụ̄ɣatčị- 2|||||ТМС 2, 118, 119.
1939|*sum-|2133|name of a wormwood-like plant|назв. растения, похожего на чернобыльник|||||sumpa||||||||ТМС 2, 126.
1940|*siaK-|2038|1 to speak within oneself 2 to respond, call back|1 говорить про себя 2 отзываться|sikine- 1 (Nep.)|||||||||sĳau- 2|sieu- 2||ТМС 2, 80, 81.
1941|*gusa|529|1 pole (for tying nets) 2 banner|1 шест (для привязывания сети) 2 знамя|||||\IGusa\i 2||\IGụsa\i 1|\IGụsa\i 1|\IGosa\i 1||||ТМС 1, 175. Man. > Dag. gusa (Тод. Даг. 133).
1942|*lasa-|1168|1 drooping branches 2 young larch, birch|1 нависшие ветви 2 молодая лиственница, береза|ńahamna, dial. ńašamda 2||||lasari 1||||||||ТМС 1, 494, 636.
1943|*duru-|397|to become worn out, old|одряхлеть|||||duru-||||||||ТМС 1, 225. Attested only in Manchu, but having reliable external parallels.
1944|*talgī-g ( ~ -ǖg)|2299|brushwood, forest with brushwood|валежник, чаща с валежником|talgīɣ|tālgịɣ|talgịx||||||||||ТМС 2, 157.
1945|*texēn|2337|root, foundation|корень, основание|tekēn, tekēr|teken|teken||||texe|tekke(n)|texe|teke(n)|tēge||ТМС 2, 230-231. The stop -k(k)- in Orok is not clear (old interdialectal loan?).
1946|*dam-|363|1 old, worn out 2 to act as an aggressor|1 ветхий, старый 2 выступать зачинщиком|||||||||dambịča- 2||dāmpihi- 1||ТМС 1, 195.
1947|*tākan|2319|log, causeway|бревно, коряга, мостки|tāken|tāqъ̣n|tākan||tuꭓan|||\Itō,\i tōɣo|tāqã|tāka|\Ita`\i (Корм. 292)||ТМС 2, 155-156.
1948|*takti-kān|2294|1 cedar 2 yew 3 fir|1 кедр 2 тис 3 пихта|taktikān 1||||taqta mō 3||||||taktiɣa 2||ТМС 2, 154. Хелимский 1991, 88 proposed a borrowing < Sam. *tɨtəŋ, which is hardly acceptable.
1949|*degunŋē-kte|366|mushroom|гриб|deɣinŋēkte|dewunŋit|dewuńŋekte|||||dewŋekte||deuŋekte|||ТМС 1, 229-230. Evk. > Dolg. deginmekte (see Stachowski 78).
1950|*teŋer- / *toŋor-|2345|1 a k. of butterfly 2 spider|1 назв. бабочки 2 паук|||toŋorawkị̄ 1|||||tēneŋǯi, tegenenǯi 2||teŋeje 2|teŋe 2||ТМС 2, 198, 237.
1951|*puse-|1687|1 trout 2 black amur (fish) 3 a k. of fish|1 форель 2 черный амур 3 вид рыбы||hēsъmki 1|||fuseli 3||||fusuli 2||||ТМС 2, 304, 371.
1952|*ǯabuka|222|ear-flaps, headgear|наушники|||||||ǯawa||ǯaụa|ǯawa, ǯauka|ǯauga||ТМС 1, 240.
1953|*sisi|1985|nut|орех|||||sisi, sisiri|sisi (128)|||sịsịqta|||š́īš́ikta|ТМС 2, 426-427. Cf. also Sol. sučū 'cedar nut' (ТМС 2, 132).
1954|*nelbige|1436|bat|летучая мышь|nelbiɣē||||||||||||ТМС 1, 619. Attested only in Evk., but having possible external parallels.
1955|*sep-|1968|to sway, shake (branches)|качать (ветвями)|sepine-||||||||||||ТМС 2, 144. Attested only in Evk., but having probable Turk. and Mong. parallels.
1956|*laǯu|1183|heavy, clumsy|тяжелый, неуклюжий|||||laǯu||||||||ТМС 1, 486-487.
1957|*siaba- ( ~ -p-)|2033|1 rotten wood 2 to rot, coagulate|1 гнилушка, трухлявое дерево 2 вянуть, сохнуть|sē̂waksa 1|hǟwụs 1|||šubure- 2||||||||ТМС 2, 69, 428.
1958|*kata- / *kete-|739|to knock (with hooves), sound of knocking|стучать (копытами), подражание стуку|||keter-keter||kete-qata||ketes|qatam, qatar, qatari|keter-keter||||ТМС 1, 384, 456. Other expressive variants are: Man. kitir seme 'quick (of horse trot)' (ТМС 1, 400), *kute- (ТМС 1, 440).
1959|*ner- (?*niar-)|1482|to unwrap, untie|разворачивать, распускать|||||nerki-||||||||ТМС 1, 625. Attested only in Manchu, with possible cognates in Kor. and Jpn.
1960|*sisa-|2062|to scrape, grub, rummage, pick out|скоблить, рыться|||||siša-||sịsa-||||||ТМС 2, 98.
1961|*sesu-|1972|to order, ask to do smth.|заказывать, поручать, просить что-л. сделать|||||||sesu-|sesu-|sesu-||||ТМС 2, 144.
1962|*āli-|69|1 to crumble (of earth, snow) 2 to kill an animal (after a long hunt)|1 обваливаться (о почве, снеге) 2 убивать зверя (при облаве)|||ālị-w- 1||||||||ali- 2, alip- 'to become spoiled (of meat)' (Корм. 205, 206)||TMC 1, 32.
1963|*pirki- ( ~ -ü-)|1656|to obtain a callosity|натирать мозоль|hirki-|ịrqъ̣-|||||||||||ТМС 2, 327. Cf. perhaps also Man. furu 'pustule (in mouth); knag (on a tree)', ТМС 2, 303.
1964|*lapi-|0|1 shoulder bone 2 shoulder ornaments on women's dress|1 ключица 2 наплечные украшения на женском платье|||lapịkta 1||||||lapiqta 2 (Он.)||||ТМС 1, 493, Дыбо 257. Cf. also Evk. naparā 'подседельник' (ТМС 1, 584).
1965|*kexere|752|hard palate|твердое нёбо|||||||kekere, kexere, xexere||xexere|kexe|\Ike\i (Корм. 253)||ТМС 1, 445.
1966|*xasa-kī|991|wing|крыло|asakī|asịqị|asaxị̄|asəhə 'wing, fin' (2293)|asꭓa||ꭓasalị|ꭓasa|ꭓasar|asi|||ТМС 1, 54. TM > Dag. ačikī, ašikī (Тод. Даг. 122).
1967|*sug-|2102|1 breath 2 vapour 3 soul 4 sacrifice 5 hurricane, wind 6 to breathe|1 дыхание 2 пар 3 дух, душа 4 жертвоприношение 5 вихрь, ураган 6 дышать|suɣī 5, suɣina- 6|hụjị 5|sugde 4, soɣị̄ 5|suvədun, suvudun 'air, vapor, steam' (351)|suqdun 1,2,3, su 5||sugdu- 'to place a sacrifice before an idol', sụ̄ị 5|sugditči- 'to place food in front of a deceased', sụ̄ị 5|sugdu(n) 2, sōị 5|sūi 5|sogdo 2|sōwī 5|ТМС 2, 118-119.
1968|*sikse|2001|evening|вечер, вечером|sikse|hīsъr|sikse|čikəsē, čekəsē (2712)|sikse 'yesterday'|sih-ser (84)|sikse|s\Hš\heks\Hš\he|sikse|sikse|sikie||ТМС 2, 81.
1969|*koŋda-|881|1 crosswise 2 to break, snap, be broken 3 half (of an object)|1 поперек 2 ломать(ся) 3 половина (предмета)|koŋdor 1, koŋdorgo- 2|qoŋdъ̣s 1, qoŋdъ̣q- 2||||||||kondo 3|kandugu 3||ТМС 1, 412.
1970|*mada-|0|to swell, become larger|набухать, увеличиваться||||madə- (712)|mada-||māda-||mada-||mada- (Корм. 258)||ТМС 1, 520.
1971|*musun|1370|spirit, ghost|дух, сила природы|musun|mụsan|||||||||||ТМС 1, 561.
1972|*dilgu|383|tree juice|древесный сок|dilgu|dịlgъ̣s|dịlgụksa||||ǯē̂lčụma|ǯịlụ|ǯịlkõ|duguksa|||ТМС 1, 207.
1973|*sugulē-n|2104|meat prepared for boiling|мясо, приготовленное для варки|suɣulēn||||||||||||ТМС 2, 119. Attested only in Evk., but having interesting external parallels.
1974|*ńeču-|1421|1 to tease, annoy 2 to hit|1 дразнить, раздражать 2 бить|ńeču- 2||||neči- 1||||||||ТМС 1, 655.
1975|*šuK-|2182|1 chisel 2 to carve, engrave 3 to hit (with horns), butt, strike 4 notches on bow ends|1 резец, долото 2 вырезать, гравировать 3 бодать, колоть (рогами) 4 зарезки, выемки (на концах лука)|||||šuki- 3, šukun 4||||čuktuli- 2 (Он.)|čūku, tūku 1|||ТМС 2, 403, 429.
1976|*suK-|2108|1 to break, crush 2 to harm, spoil 3 edge of ski stick 4 arrow-head|1 ломать 2 портить 3 наконечник лыжной палки 4 наконечник стрелы|suku- 2, sukča- 1|hụčak- 1||||||sūkpe, sūpke 3|sokpi-so 4 (On.)||||ТМС 2, 123.
1977|*bila-|147|to agree upon time|уславливаться, договариваться о сроке|||||bila-||||||||ТМС 1, 81. Attested only in Manchu, but with probable external parallels.
1978|*saj-|1885|1 dawn 2 to dawn 3 light 4 clear, bright|1 рассвет, заря 2 рассветать 3 свет 4 светлый, светловатый|sajirūl- 2, sajirūlǯarī 1, (dial.) šajama 3, hājeme 4||||||||||||ТМС 2, 55, 309, 423. Attested only in Evk., with probable parallels in Kor. and Jpn.
1979|*puse|1867|reason|причина, повод|hohut-, hošut- (dial.) 'to be smb.'s equal'|huse|||||||||||ТМС 2, 335, 355.
1980|*pǖsi-ke-|1809|1 tablet for writing 2 tablet for cutting tobacco|1 дощечка для письма 2 доска для резки табака||hị̄sъ̣q 2|||fusixen 1||||||||ТМС 1, 477, 2, 328.
1981|*šoša-|2172|1 to arrange hair in a bunch 2 bunch, knot of hair|1 укладывать волосы в пучок 2 пучок, узел волос|||||šošo- 1, šošoꭓon 2||||||||ТМС 2, 427-428. Attested only in Manchu, but having probable external parallels.
1982|*duŋk-|2271|1 dark, sullen 2 to bow the head 3 to knit the brows 4 to bow the head and slumber 5 to become silent, calm 6 quiet, peaceful|1 темный, мрачный 2 опустить голову 3 нахмурить брови 4 дремать (опустив голову) 5 успокаиваться 6 тихий, спокойный|duŋkin- 2|duŋkun- 2, 3|||duŋgi, duŋki 1||duŋgu 6|dụŋGalị- 4|duŋgirien- 5 (Он.), duŋgu 6||||ТМС 1, 223, 224.
1983|*abusi|46|1 husband of elder sister 2 husband of father's or mother's younger sister 3 brother-in-law, son-in-law|1 муж старшей сестры 2 муж младшей сестры отца или матери 3 зять|awus 1|āwụs 1, 2|awụs 1, 2||||aụsị 3||aosị 3|auśä 3|auhi 3||ТМС 1, 11. TM > Dag. auš'ē 'elder sister's husband' (Тод. Даг. 122).
1984|*aǯi-n|58|a k. of salmon|калуга|aǯin||aǯịn||aǯin||aǯị(n)|aǯị(n)|aǯị̃|aǯị(n)|aǯi(n)||ТМС 1, 16.
1985|*ǯir-|2635|a very big number|очень большое число|||||ǯiri, ǯirun||||||||ТМС 1, 259, 260. Attested only in Manchu, with possible external parallels.
1986|*kali|713|1 crucian 2 white-fish|1 карась 2 сиг|\Ikali\i 1||||||||||\Ikali\i 2||ТМС 1, 366. Cf. also Evk. kulala 'sheat-fish' (which, however, may be < Samod. or Chuk.-Kamch.).
1987|*sōda|2115|1 scoop-net 2 to scoop|1 сачок 2 черпать|||||šodo- 2, šodoqu 1||||sōdō 1||||ТМС 2, 104.
1988|*bāku-ńa|0|1 seal  2 young bear|1 нерпа 2 молодой медведь|bākeje 2; baxana 'he-goat'(запись Титова)||baqajā 2||||baqada 1|bāwu 1||bakana 'крупный самец нерпы'|baqana 'one-year-old  bear or dog'||ТМС 1, 67, 68, 75, 119, Корм. 211, Аврорин - Лебедева 166. Cf. also Neg., Ul. beɣi 'a k. of seal'. *AN По Аникин 105, эвк. baxana < монг. : бур. babana, халха bavnā 'козел'. *AD ТМ должно быть сровнено с монг. baɣabaɣai 'медведь'. Может, сюда японского крокодила? Плавает и хищный. Еще к монг. - халха bōxoj 'иноск. волк', бур. bōxoldoj 'чорт', тунк. 'медведь'; bāxaldaj 'медведь' > Rus. Sib. ba xalda 'bear' (Аникин 123).
1989|*baK-|91|1 separate 2 to break, divide bread|1 отдельный 2 разламывать хлеб|bakla 1|bēkъl 1|||||||baqta- 2 (dial.)||||ТМС 1, 67. Cf. also Dolg. ( < Evk.?) baka 'scraper to separate flesh from skin', bakalā- 'to separate flesh from skin' (Stachowski 51).
1990|*bāra-či-|109|to rejoice|радоваться|||||||bāračị-||bārāčị-|bārači-|||ТМС 1, 73.
1991|*boloka|144|spiraea|таволга|boloko||boloxokto||||boloịqta||boloqto|bolokto|bolokto (Корм. 213)||ТМС 1, 93.
1992|*pajī-|1704|1 freezing weather (in spring or autumn) 2 Northern or Eastern wind 3 to blow (of spring wind) 4 frost|1 заморозки (весной или осенью) 2 северный или восточный ветер 3 дуть (о весеннем ветре) 4 иней|hajī 1, 2, hajī- 3||||||||ꭓatqa (Kur-Urm.) 1|xaika 4|||ТМС 2, 309.
1993|*piregden|1658|a k. of plant|вид кустарника|||||||piragda 'чубушник'||piregdēn сирень крупная  (Сем Ю.А.-Сем Л.И. 1988, 14)||||ТМС 2, 39.
1994|*dokta-n|389|socks, stockings|носки, чулки|dokton|dōtъ̣n|dokton||||doqto(n)|doqto(n)|doqto(n)||||ТМС 1, 213.
1995|*biri-|135|1 to lay planks 2 planking 3 tent, construction 4 fence 5 frame|1 стелить жерди 2 настил 3 шатер, постройка 4 забор 5 рама|biri- 1, biriptir 2, 3|birken 2, 3|bĳēɣē 2||biregen, bireken 4, beren 5||||berẽ 5 (possibly < Man.)|bipti 3|bīpti 2||ТМС 1, 84, 127.
1996|*gaji-|475|1 to beckon 2 to show 3 index finger 4 small finger 5 to indulge, be enthralled|1 манить 2 указывать 3 указательный палец 4 мизинец 5 увлекаться|gajīw- 1||||\IGajsilabu-\i 5||\IGajawčụ(n)\i 3, \IGojsantụ-\i 5|\IGajaw\i 4|\IGajaočị-\i 2, \IGajaqoã\i 4, \IGojsanto-\i 5||||ТМС 1, 136, 158. On the semantic correlation "index finger" : "small finger" see Dybo 1995.
1997|*keńe- / *kuńe-|826|1 shin 2 stockings|1 голень, колено 2 унты|keńete, kuńetu 2|kēńeče 2, kȫnčen 1|||||||||||ТМС 1, 420, 449.
1998|*darga|578|1 tumour, growth (of neck glands) 2 throat, larynx|1 опухоль (шейных желез) 2 гортань|dargā 1|dargъ̣ 2|||||||||||ТМС 1, 199.
1999|*dā(b)-|2212|to be infected|заражаться|dā(w)-|dāw-|dā-||||dā-|dā-|dā-||dā-||ТМС 1, 184.
2000|*daba|2197|salmon|кета|||dawā||||dawa|dawa|dawa|dawa|dawa||ТМС 1, 185. Man. dafaꭓa id. corresponds irregularly and is most probably < Mong. (despite Doerfer MT 143, Rozycki 53, suggesting an opposite direction).
2001|*dir-|2252|1 thick 2 plentiful (of food) 3 gullet|1 толстый 2 обильный (о пище) 3 пищевод|diram 1, dirga 3|dịrъ̣m 1|dịjam 1|ǯiramə 1 (2413)|ǯiramin 1, ǯiraꭓun 'firm, stout'||dịramị 1, dịrgan 2|ǯịramị 1|ǯịramị 1, ǯịrgã 2|dĳami 1|deämi 1, diga- 'to eat, feed'|dirami 1|ТМС 1, 207-208.
2002|*dar-|357|1 icedrift 2 snow crust 3 water flowing over ice|1 торос 2 наст 3 вода, текущая поверх льда|dar 1, darkin 2, 3||||||||darꭓol 3||||ТМС 1, 198. Cf. also Yak. tarɨn 'frazil' - possibly from some TM source.
2003|*goldi|522|1 ring 2 loop (on handle of whip)|1 кольцо 2 петля (на кнутовище)|goldi 1||||\IGulǯarꭓan\i 2||||||||ТМС 1, 159, 167.
2004|*kutu-ri|937|luck, fortune|счастье, удача|||||ꭓuturi|xu-tur|||||||ТМС 1, 440. The Manchu-Jurchen word cannot easily be explained as a mongolism, despite Doerfer MT 136. Man. > Dag. xotor (Тод. Даг. 178).
2005|*ǯipu-čān|2605|fur coat (worn on bare body)|шуба, нательный тулуп|ǯipučān|||ǯifəčā, ǯivəčā 'fox fur coat' (225)|ǯibča(n)|||||||ǯibća|ТМС 1, 259.
2006|*dem-|233|trick, roguery|чудачество, шалость|||||demun||||||||ТМС 1, 234. Attested only in Manchu, but having probable external parallels ("trick, eccentricity" < "trying in vain").
2007|*detu|2234|swamp, mossy meadow|болото, мшистая поляна|det|det|det||detu 'steppe'||detu|detu|detu|detu|deti (Корм. 230)||ТМС 1, 238.
2008|*ǯu-ga|2627|in summer, summer|летом, лето|ǯuɣa|ǯụwụnị|ǯoa|ǯ́uari (2727)|ǯuwari|ǯuha (268)|ǯụa|dụwa|ǯoa|ǯuwa|ǯua|ǯụga|ТМС 1, 268. TM > Russ. Siber. d'ugany 'spring and summer', see Аникин 194.
2009|*ǯele-kī|232|ermine|горностай|ǯelekī|ǯiliki|ǯelexī||ǯelken||ǯieli(n)|ǯeĺei|ǯeli|ǯeleki|ǯelexi||ТМС 1, 284.
2010|*gulī-|557|to put animal bones on a special decking|класть кости животных на специальный лабаз|gulī-|göli-|gulī-|||||guli-|||||ТМС 1, 170.
2011|*gǖl-|539|to smoke, fume|коптить||gīl- 'кипеть'|||||gulup-|gulitči-|gulu-||||ТМС 1, 147, 149. Shortening in Nan. is not quite clear (perhaps a misrecording).
2012|*pomā- / *pume-|1857|bear|медведь|homōtī, humej||||||||||||ТМС 2, 332, 347.
2013|*lēgī-|1203|1 to scold 2 to pacify, persuade|1 ругать, бранить 2 унимать, уговаривать|lēɣī- 1|nēji- 1|lēɣī- 1||||||lēi- 2||||ТМС 1, 514-515.
2014|*ku(l)ma-|911|maral, Siberian stag|изюбр|kumaka, kumaran||komaxa||||||qomaqa|kumaka||xụmxā|ТМС 1, 430. Medial -l- is not reflected (it is best preserved in Manchu which has lost the root); but cf. also Evk. kulkuńa, kulčen 'a k. of deer' (perhaps < *kulm-čen, -kuńa with loss of -m-, but preservation of -l-).
2015|*gulu-|565|female deer, roe|самка оленя, косуля|gulkačān|gulkъ||||||gulu|||gulugese||ТМС 1, 170.
2016|*irū-|2788|1 to sink 2 to melt|1 погружаться 2 таять, образоваться проталинам|irū- 1|irъl- 2|||iru- 1||||||||ТМС 1, 328, 329.
2017|*leg(l)ek-|1194|a k. of duck|вид утки (утка-казарка)|leɣegdi, liglakī, ilagli|ịlъ̣ɣlịqa, dial. niglĳ 'goose'|||||||||||ТМС 1, 304, 498, 515, 589. Evk. > Dolg. laglɨ, see Stachowski 172.
2018|*(x)uli-n|2515|chest, chest bone, collar bone|грудь, грудная кость, ключица|ulin|ölken|||ulxun, ulku||||||||ТМС 2, 261.
