"NUMBER","PROTO","PRNUM","MEANING","KET","SYM","KOT","ARI","PUM","NOTES"
 741,"*tVp", 418,"iron; tongs","atəp\H5,6\h, pl. ata:n\H3\h / ata:\H3\h (more rarely: South. atavəŋ\H5\h, Kur. atapəŋ\H5\h) 'tongs'","atəp\H5,6\h, pl. atafɨn\H5\h / atafɨŋ\H5\h 'tongs'","išthip, pl. -aŋ "iron nail; tongs", thip, pl. -aŋ "iron"; (Бол.) tip "iron"; Ass. tip (М., Сл.) "iron"","tep (Стр.) "iron"; tēp (М., Сл.) id.; (Лоск.) tep id.","","ССЕ 292. Ket and Yug reflect a compound *ʔaχV-tVp (with *ʔeχV 'iron'); for Kott. iš- see *ʔiʔs 'peg'. Werner 2, 317 *t\Hh\hep."
 742,"*tVpVĺ- (~-b-)", 419,"spleen","","","tebolä (Бол.)","tabre (Лоск.)","","ССЕ 292. See also in the lemma *seŋ 'liver'. Werner 2, 230."
 743,"*tVPV", 420,"to hear","","","atpi 'hearing, information'; atpoa 'it is heard'; atpifunākŋ 'to be silent' ("be without information")","ban-tibi-tälim (Лоск.) 'I smell'","","ССЕ 292. The Kott.-Arin comparison is possible if the Arin form is correctly segmented (which is not quite secure); Werner 1, 78 also doubts it - for his analysis which is hardly preferable see *ʔeq-. The root may be related to *-tV 'be heard, resound' q.v."
 744,"*tVr", 421,"to shake","","","ši-tar 'shaking', ba-tharaŋ, praet. bala-tharaŋ, imp. al-thar 'to shake'","","","ССЕ 292. Werner 2, 441 <*t\Hh\haλ->."
 745,"*tVx-", 165,"storm","tugil (М., Сл., Срсл., Кл.), túgul-bej (Кл.)","túgul-d...dɛ 'verwehen' (Werner 2, 284)","tī-par 'fog' (см. *pVr); Ass. taj-bej (М., Сл., Кл.,), tai-bii (Срсл.)","","? čibaj (Сл., Кл.), čiebaj (Срсл.)","ССЕ 293. The vowel -a- in Assan is not clear. A compound with *bej 'wind' (q.v.) is present in Ket and Assan; a similar compound may be attested in Pumpokol, but deriving Pump. či- from *tVx- is somewhat dubious. Werner 2, 268, 284 (without reconstructions)."
 746,"*tV-xur\L1\l",   0,"spring, source","tajlop\H5\h, pl. tajla:\H3\h","to:r\H3\h / tɔ:\Hh\hr\H4\h, pl. tourɨŋ\H3\h "brook"","aléten (Ass.) (М., Сл., Кл.) "well"","atékul (М., Сл., Кл.) "spring, source"","tájal (Сл.) "spring, source"","ССЕ 293. All languages reflect a compound of an etymologically unclear component *tV- with PY *xur\L1\l 'water' (q. v.).; in Assan the form is additionally metathesized (aleten < *atelen < *ate-ul-en). Perhaps we are dealing with a compound *tu-xur\L1\l (with vocalic dissimilations) "raw water"? Werner (2, 232) doubts the comparison, but does not propose any better: it is hardly possible to separate Ket tajlop and Yug to:r, although the former could have been modified under the influence of taʔj 'cold'."
 747,"*tVχa (~-G-)", 422,"cow","","","thigä, thiʔä, pl. thigän, thikŋ; Ass. tɨg (М., Сл., Кл.), tɨk (Кл.)","t́ugal (М., Сл., Кл.) "calf"; tügal (Лоск.) id.; t́ūja (М., Сл., Кл.) "cow"","","ССЕ 293. Werner 2, 317 <*t\Hh\higə>."
 748,"*tVχV (~-G-)", 398,"boat, vessel; to scoop","ti:, pl. ti:n 'delved boat'; ti:j / tīj 'to scoop'","ti: 'delved boat'; ti:j / tīj 'to scoop'","ul-tḗj (Ass.) (Сл.) , (Кл.) uttḗj "vessel (made of birch bartk or skin)"","taj (Лоск.) "boat"; cf. also (М., Кл.) kultḗj "vessel (made of birch bartk or skin)"","tɨg "boat" (Сл.), "vessel" (Сл., Срсл., Кл.)","ССЕ 293. Arin and Assan have a compound with *xur\L1\l 'water'. Werner 2, 268 <*t\Hh\higə>."
 749,"*TVKV", 423,"husk","","","tagečen (Бол.)","iltegu (Лоск.)","","ССЕ 293. The reconstruction is very approximate, since neither Ket-Yug nor Kottish parallels are known. Werner (1, 357) thinks that the Ar. form means 'fish scales' - however, a derivation from ilti 'fish' is hardly possible in this case."
 750,"*ʔVKV-", 424,"to drink","","","","t́āgur (М., Сл., Кл., Срсл.) 'to drink', (Лоск.) tagorarco 'питание' (probably instead of 'питье')","hokoj (Сл., Срсл., Кл.) 'пить'","ССЕ 203. The comparison is possible if Arin t́- (t-) is a prefixed morpheme. Werner (1, 322) doubts the comparison without giving any reasons."
 751,"*ʔVp[e]",   0,"to extinguish","ukśĳ\H6\h, (Werner 2, 349) úńśĳ id.; d-úk-ś-ĳ "I extinguish", praet. d-ú-ń-ĳ","dut́sefē (Кастр.), praet. dut́enfē, imp. ut́enfē; (Werner 2, 349) d-účči-fɨʔ 'I extinguish', praet. dúččɨ-n-fɨʔ","ōfiaŋ, praet. ōlafiaŋ, imp. alfi, pass. ōlāfi; šifi "extinguishing"","","","ССЕ 204. Werner 2, 349 *p\Hh\hi."
 752,"*wə-", 425,"not, there is not","bъ̄ń / bъń "not, there is not"; bъńśeŋ\H1\h, bъtśeŋ\H1\h, bъńčəŋ\H1\h "there is not"","bъń "not, there is not"; bъ̄śɛ "there is not"","bō "prohibitive particle"; mon, *mōn "not"; Ass. (М., Сл.) mon "not"","bon (Кл.) "there is not", (М., Сл.) "not"","a-mút, amut (Сл.) "not"","ССЕ 294. Pump. bejsem "there is not" (Кл.) is most probably a Yug form. The pure stem *wə is reflected only in Kott. bō; other forms reflect a derived *wə-n. Werner 1, 157 <*bə / *bən>."
 753,"*wi- / *we-", 426,"interrogative pronoun","biśɛ́ŋ / biśáŋ ( < biśa:ŋ\H3\h) 'where', bi-śśe 'who' (masc.), bɛ-śa 'who' (fem.), bi-ĺa\H5,6\h 'how', bi-ĺɛ́ś / biĺáś '(towards) where', (Кастр.) bilejäm 'which', biĺíl / bińíĺ 'whence'","biśa:ŋ\H3\h 'where', bɛ-tta\H5\h, bi-re\H5,6\h / birɛ́j 'how', bi-rɛ́s / birɛ:hs\H4\h '(towards) where',  birɨ:r\H3\h 'whence'; (Кастр.) biraŋsa 'which'","bi-li 'where', bilthuŋ '(towards) where', bilčaŋ 'whence', bi-ĺäŋ 'which', balomāś, *bilomaś, g. bilomāća, pl. balomāćan "which, what for"; bilituiśe "which"; bilipei, *bilipēi "how much"","","bižǵ (Срсл.) "how" [?]","ССЕ 294. Werner 1, 124, 125 (without reconstruction; Kott. pīl 'far' of course has nothing to do with this root, see *bīr\L1\l)."
 754,"*win", 427,"oneself","bin","bin","mintu "himself"; minta "herself"; pl. mintiäŋ","","","ССЕ 294. Werner 1, 129 <*bin>."
 755,"*wV", 428,"he, she","bū / bu, pl. būŋ","bu, pl. be:ŋ / bue:ŋ\H3\h","bari (Ass.) (М., Сл., Кл.) "he"","au (М., Сл.) "he"","","ССЕ 294. Ar. bu (Кл.) "he", bujeg (Срсл., Кл.) "they" are probably recordings of Yug forms. Werner 1, 146 <*bu>."
 756,"*wVs", 429,"blue","","","urek-bas (Ass.) (Кл.) 'blue'","bis (М., Кл.) "голубой", (Сл.) "синий"","","ССЕ 294. For the first part of the Assan compound cf. Kott. oreäk, ureäk 'green'. Werner (1, 131) suggests that the Ass. form means "like green", which is quite dubious if we take into consideration the independent Arin form bis. Note also Kott. bosarak 'fox-colored' - which may be actually a compound similar to urek-bas, but with a different order of components."
 757,"*wVχ-", 430,"to pull","bagdeŋ\H5\h, d-ib-bʌk","","ši-pu 'pulling'; ba-puj-aŋ, praet. bui-puj-aŋ, pass. bujā-pui","","","ССЕ 295. The comparison is suggested by K. Reshetnikov. Initial *w- may be a historical prefix, cf. the Yug paradigm with an alternation of -b- and -g- (dí-b-bʌk, praet. di-bī-r-gʌk). Werner 1, 98 <*b-ək / *g-ək>."
 758,"*wV̄ǯ- (~*b-)", 431,"to do, make","bɛ:ŕi\H4\h (Kur.); Bak., Sur. bɛ:də\H4\h; South. bɛŕ\H4\h","bɛ:ht́","ba-paj-aŋ","ša-pi-te (Лоск.) "I make"","","ССЕ 295. Werner 1, 115 <*bɛʔəd'ə>."
 759,"*xaʔq", 432,"trees","aʔq","aʔx, aʔq; axat\H5\h 'to procure firewood'","āx (ag), pl. āgan 'wood'; (Бол.) ak 'wood, firewood'","oo (Лоск.) 'firewood'","hóxon (Сл., Срсл., Кл.) "tree", (Сл.) "wood"","ССЕ 295. The Pump. form ak 'wood' (Срсл., Кл.) is in reality Yug. Werner 2, 50 *(x)aʔq, 1, 86 <*aʔq>."
 760,"*xaŋ", 433,"nose","áŋgɔn 'nose, nostrils' (Werner 1, 45)","","aŋ, *āŋ, g. āŋi(e), pl. āŋán; Ass. aŋ (М., Сл., Срсл., Кл.)","","haŋ (Сл., Срсл., Кл.)","ССЕ 295. Werner 1, 39, 45."
 761,"*xes",   0,"sturgeon","(М., Сл.)  es, (Кл.) ees","","","","hek (Сл.)","ССЕ 295. Final -k in Pumpokol is just like in eg 'sky' < *ʔes q.v. Werner 1, 268 doubts the etymology, saying that es could be a misrecording of īś 'fish' - which, however, was recorded in the same sources as is. The Pump. form is compared (Werner 1, 312) with Ket qāq 'елец' (see *qaq), which is also dubious - we would expect k- or x- in Pumpokol."
 762,"*x[ē]ǯa",   0,"sable","ɛ:ŕi\H4\h (Kur.), Bak., Sur. ɛ:də\H4\h / ɛdə\H4\h, South. ɛŕ\H4\h; pl. ɛtn\H5\h","ɛ:\Hh\ht́, pl. ɛt́n\H5\h","ĳa (М., Сл., Кл.); Ass. (М., Сл., Кл.) íja, (М.) ɨja","","hĳú (Сл.)","ССЕ 295. Werner 1, 239-240 <*iʔed'ə / *eʔəd'ə / *xiʔəd'ə>."
 763,"*xəʔr-", 434,"frog","ʌʔl, pl. ʌtn\H5\h","ʌʔl, pl. ʌtn\H5\h","","kere (Лоск.)","","ССЕ 295. Werner 2, 415 <*əʔλ / *(k)əλə / *(d')əλə>; see discussion under *jəʔra."
 764,"*xiʔG", 435,"day","iʔ, pl. ɛkŋ\H5\h","i:h / i:, pl. ɛkŋ\H5\h","īg, *īx, pl. eäkŋ; Ass. i (М., Сл., Срсл., Кл.), ɨ (Кл.)","ji (М., Сл., Срсл., Кл.), pl. a) -jiŋ: un-jiŋ (М., Сл.1) "week", b) -jink: un-jink (Кл., Сл.2) id. (lit. 'seven days')","ha (Сл.; in Кл., Сл. probably a miswriting: na)","ССЕ 296. Werner 1, 389 <*ʔiʔəgə>."
 765,"*xiGa", 519,"sun","ī, pl. iɣán ( < iɣa:n\H3\h)","i","ēga, *ēgä, g. ēgei, pl. ēgaŋ; (Бол.) ega; Ass. ö́ga (М., Сл., Срсл., Кл.), éga (Кл.); Kam. igɨ (Стр.), Koib. ega (Мес., П.)","éga (Кл.), éja (М., Сл., Срсл.), ega (Лоск.)","hixem (Сл., Срсл., Кл.)","ССЕ 296. Obviously related to *xiʔG 'day' q.v. Werner 1, 392 <*(h)egə> (but Ar. xagalɨ 'sun', recorded by Strahlenberg, rather reflects *χōŋ- 'day' q.v.)."
 766,"*xɨme",   0,"crane","","","imi (Бол.)","kem (Лоск.)","","ССЕ 296. Werner 1, 363."
 767,"*xɨna", 596,"two","attr. ɨ̄n//ɨn, pred. inanim. ɨnəm\H6\h, anim. ɨnəŋ\H6\h","attr. ɨn, pred. inanim. ɨnɛ\H6\h, anim. ɨneŋ\H6,5\h","īna, (Бол.) inča; Ass. inéje (М., Сл., Кл.), inee (Срсл.), ɨna (Кл.), ińe (Ф.); Kam. ɨnä (Стр.); Koib. ina (Мес., П.), ińa (Ф.)","kína (М., Сл., Срсл., Кл., Ф.), kinä (Стр.), kin (Лоск.)","híneaŋ (Сл., Кл.), nineaŋ (Срсл.)","ССЕ 296. Werner 2, 423 <*(k)ɨn>."
 768,"*xɨre", 980,"arm","ɨ̄ĺ (South.), North. ɨ̄ĺi\H1\h; pl. ɨ̄ĺəŋ\H1\h","","","karam-pat (Лоск.) "elbow"","","ССЕ 297. Werner 2, 434 (not connecting the Ket and Arin forms)."
 769,"*xɨ̄ǯe",   0,"spring","ɨ:ŕi\H4\h (Kur.), pl. ɨŕeŋ\H5\h; Bak., Sur. ɨ:də\H4\h//ɨdə\H4\h, pl. ɨdəŋ\H5\h; South. ɨŕ\H4\h, pl. ɨŕeŋ\H5\h","ɨ:\Hh\ht́, pl. ɨd́eŋ\H5\h","īji, gen. ījī, pl. ījaŋ, *ījān; iĳ (Бол.)","kej (Лоск.)","","ССЕ 297. Werner 2, 431 <*ɨʔəd'ə>."
 770,"*xu-", 438,"to sit","ūŋ 'to sit, sit down'; cf. also ɔŋ-nəś\H5\h 'bed'","uŋ 'to sit, sit down'; cf. also ɔŋ-tɨt́ 'to set'","uŋ "sitting, living"; d́-auja-ŋ "to sit, live", praet. al-auja-ŋ, imp. aĺek; (Бол.) jan "I sit, live"","akum (Лоск.) "I sit"; akume "I live"","","ССЕ 297. The final -ŋ is a historical suffix, as seen from the Kottish paradigm; Werner's (2, 380) reluctance to admit the connection between Kott. uŋ and Kott. d́-auja-ŋ appears completely unjustified."
 771,"*xun-",   0,"quiet, not loud","una:t\H3\h, (Werner 2, 380) ūn-ś","una:t\H3\h, (Werner 2, 380) ún-si","un","kunčo (Лоск.)","","ССЕ 297. Werner 2, 389 <*un> (without mentioning the Arin form)."
 772,"*xur", 439,"rain","uĺeś\H5,6\h","ures\H5,6\h","ur, *ūr, pl. ūraŋ; (Бол.) ur id.; Ass. ur (М., Сл., Срсл., Кл.), ür (Кл.); Kam. urax (Стр.); Koib. uraš (Мес., П)","kur (М., Сл., Срсл., Кл.) "rain"; kuraasa (Лоск.) id.","ur-áit (Сл., Срсл., Кл.) "rain"; ures (Кл.) "rain" [= Yug.]","ССЕ 297. All languages, besides the simple form *xur, reflect also the compound *xur-ʔes 'rain-sky'. Werner 2, 338 <*ʔuλ(es) / *k\Hh\huλ(es)>."
 773,"*xura",   0,"wet","uĺtu\H6\h "wet"; ulán 'hoar-frost, dew, fog'","ul, pl. ulɨŋ\H1\h","ūra "wet, rainy", urán, urān, pl. urānaŋ 'dew', (Бол.) uran id.; Ass. urá (М., Сл., Срсл., Кл.), urtu (Кл.) "wetly (damply)"","kur (М., Сл., Срсл., Кл.,) "wetly (damply)"; (Лоск.) kuräba "wetly", kurlo 'dew'","uŕga (Сл., Срсл., Кл.,) "wetly (damply)"","ССЕ 298. See also *xur(a)-gV 'wash'. Werner 2, 345 <*kuλ>."
 774,"*xur(a)-gV",   0,"to wash","uĺ-guŋ\H6\h","ur-gɨŋ\H6\h","ur-ki "washing"; ur-ṓkiaŋ "to wash", praet. ur-ōlakiaŋ, imp. ur-alki(e), pass. ur-olāki; ur-k-ākŋ "to wash (oneself)", praet. ur-k-olōkŋ, imp. ur-k-ālćek; urki-še "soap"","","","ССЕ 298. A common  Yenisseian compound with *xur(a)- 'wet' q. v. The meaning of the component *gV is unclear (it does not occur separately). Werner 2, 339-340 <*uλkə(ŋ)>."
 775,"*xursV ~ *xurcV",   0,"beaver","","","uršä, pl. -n; (Бол.) urše","kurpäs (Лоск.)","","ССЕ 298. -p- in Arin is unclear. Werner 2, 355 <*uλsə / *kuλsə>. In КС... qualified as a derivative of *xur\L1\l 'water' - however, because of Kott. -r- and Ar. -r- can only be derived from *xur 'wet' - or else, may be quite an independent root."
 776,"*xur\L1\l", 842,"water","ūĺ; uĺĳ\H6\h 'vapour above the water'","ur; urfɨ\H5\h 'dew'","ūl; Ass. ul, койб. ūl","kul","ul","ССЕ 298. Werner 2, 378 <*(k)uλ / *(k)uλə>."
 777,"*xur\L1\l-ɔp",   0,"ice hole","ulɔp\H5\h / ullɔp\H5\h, pl. ulá (ula:3)","urɔfɨl\H5\h, pl. urɔfɨ:ĺ\H3\h","ulapthai, *ulapthāi, pl. ulapthājaŋ","","","ССЕ 298. A common Yenisseian compound with *xur\L1\l 'water'. The root is reliably reconstructed as *ɔp, but the suffixed elements -ɨl in Yug and -thai in Kottish are unclear. Werner 2, 331 <*uλop>."
 778,"*xus-", 442,"to sleep","uśen\H5\h (Kur. uśn\H5\h)","usan\H5\h","uča, *utča "putting to bed, sleep"; učākŋ, *utčākŋ "to lie down, sleep", praet. učolōkŋ, imp. učālček","kus (М., Сл., Кл., Срсл.) "to sleep"; (Лоск.) kuspaja "I sleep"","útu (Сл., Срсл., Кл.) "to sleep"","ССЕ 298-299. Pump. (Срсл.) usan 'sleep' is in reality a Yug form. Werner 2, 359 <*usə / *ut'ə>."
 779,"*xus-", 443,"warm","ūś / u:ś, pl. ūśeŋ\H1\h","u:s / ūs, pl. useŋ\H1,5\h 'warm'; ūśet́\H1\h 'to melt (fat)'","","kúši (М., Сл., Срсл., Кл.) "hot, warm"; (Лоск.) kuzetü "warmly"","úttɨ-čidín (Сл.), uttɨči (Срсл.) "hot, warm"","ССЕ 299. Werner 2, 380-381 <*usə / *ut'ə, *kusə / *kut'ə>."
 780,"*xus(V)", 293,"fork, hunting spear","ūś, pl. uśeŋ\H5\h","ūs / us, pl. usɨŋ\H5\h (Кастр. us "spear")","","kus (Лоск.) "spear"","","ССЕ 299. Werner 2, 381 <*us>."
 781,"*xūsa",   0,"birch","uś\H4\h (South.); North. u:śə\H4\h, pl. ūśeŋ\H1\h","u:\Hh\hs, pl. usɨŋ\H1\h","ūća, pl. ūćan; (Бол.) uča id.; Ass. uča (М., Сл., Кл.,), ɨča (Кл.)","kus (М., Сл., Кл., Лоск.)","uta (Сл.)","ССЕ 299. Werner 2, 358 <*kuʔət'ə>."
 782,"*χape", 445,"at home","qā; qapqɔt\H5\h 'to go home'","xāp; xafat\H5\h 'to go home'","hūč-apeaŋ","","","ССЕ 299. Kottish has a compound *χūʔs 'house' + *χape- (with a loss of -h-). Werner 2, 80 <*qap\Hh\hə>."
 783,"*χas (~k-)", 446,"badger","","","hāš","","","ССЕ 299. Werner 2, 311 *qas / *kas."
 784,"*χaχtVm", 447,"cough","qaqtəm\H5\h","xaxtem\H6\h","hatam, pl. hatamaŋ "Husten, Speichel"","","","ССЕ 300. Werner 2, 70 <*qaqtəm>."
 785,"*χäʔʒ", 448,"upper clothes","qaʔt, pl. qaŕeŋ\H5\h (Bak., Sur. qadeŋ\H5\h) "overcoat, upper clothes"","xaʔt, pl. xadɨŋ\H5\h "coat, upper clothes"","hei, *hēi, pl. hējaŋ "Pelz, Oberkleid"; gej (Бол.) "clothes"; Ass. hejaŋ (М., Сл., Кл.) "clothes (vestis), coat"","qaj (М., Сл., Кл.) "clothes (vestis)", (Сл.) "overcoat"; kaj (Лоск.) "clothes"","jexat (Срсл.) "armour"; ? kal (Сл.) "clothes (vestis), overcoat"","ССЕ 300. Werner 2, 79 <*qaʔt / *qaj>."
 786,"*χäń", 752,"fathom","qāń","xan","hen, pl. hēnaŋ","","","ССЕ 300. Cf. also Kott. hamal "armful". Werner 2, 81-82 <*qan>."
 787,"*χ[e]ʔ", 450,"big","qɛʔ (North. qä\H4\h), pl. qēŋ (North. qäŋ\H4\h)","xɛʔ / xɛ:h, pl. xeŋ","","","xääse (Сл), xeem, x́aese (Срсл), xеem, xäese (Кл)","ССЕ 300. Cf. also PY derivatives: *χ[e]b 'grandfather' (кет. qīp, pl. qibaŋ\H6\h / qibáŋ / < qiba:ŋ\H3\h), Yug xep, pl. xebe:ŋ, Kott. hīpa, pl. hīpan, (Бол.) xip, Ar. (Лоск.) be-kib ( = "my grandfather")); *χ[e]ma 'grandmother' (Ket. qima, pl. qimaŋ\H6\h, Yug. xema, pl. xime:ŋ\H3\h, Kott. hīma, g. hīmi, pl. hīman,  (Бол ) xima,  Ar. (Лоск.) be-kime ( = "my grandmother")). Other attested morphological derivatives: Ket Kur. attr. qɛ:śi\H4\h 'big', South. qaś\H4\h 'chief', Yug xɛ:hs 'chief', Pump.  x́a-ket 'chief'  (Срсл.), xej-kit (Сл.) 'elder brother', (Срсл.) 'elder sister'; Ket qe-nda\H6\h, Yug xe-nda\H6\h 'to grow (rarely), to cut (in big pieces)'; see also under *χɨji. Werner (2, 86, 90) contains only *χ[e]b and *χ[e]ma, reconstructed as <*qebə> and <*qemə>; the root *χ[e]ʔ itself is for some reason omitted."
 788,"*χ[e]p (~q-)",   0,"moon","qīp, pl. qi:ń\H3\h","xep, pl. xejfɨn\H1\h","","","","ССЕ 301. Pump. xep (Срсл., Кл.) "moon" is actually a Yug form. Identification with qīp 'grandfather' (thus in Werner 2, 90) is no doubt a folk etymology: the plural forms are quite distinct (see under *χ[e]ʔ), and Ket -0-, Yug -f- can by no means be called "eine spätere Innovation im Ketischen und Jugischen"."
 789,"*χiGVĺ", 451,"wide, broad","qīĺ","xe:ĺ / xejĺ\H3\h","hīgal","","","ССЕ 301. Werner 2, 89 <*qigəl>."
 790,"*χɨʔw-", 700,"birch bark","qɨʔj","χɨʔj","hīpal","","","ССЕ 301. Werner 2, 153 <*qɨʔj> (the Kott. word is erroneously segmented as *hĳ + pal; the component pal remains uninterpreted)."
 791,"*χɨji", 452,"prince","qɨ̄j, pl. qɨjeŋ\H5,6\h","","hīji, *hīje, pl. hījan, hīkŋ "lord, prince"; Ass. hii (М., Сл.); hu, huj (Кл.)","bikhej (М., Сл., Кл.) "lord"; (Стр.) birkej "lord (König)"; (Лоск.) kej "superior, power"; berkekej "lord"","","ССЕ 301. Ket and Yug have also a synonymous kɨ̄j 'prince' (see Werner 1, 472). The relationship between these variants is not quite clear. One cannot exclude that Ket qɨ̄j is historically a compound (qɛʔ 'big' + kɨ̄j 'prince', with a contraction). In this case one should rather reconstruct PY *kɨji."
 792,"*χɨpe",   0,"trade, to trade","qɨ̄","xɨ̄p","hapi "trade"; hapākŋ "to buy, to sell, to trade", praet. hapōlōkŋ, imp. hapālček; (Бол.) xapitan "I buy", xabak "I sell"","kobolsom (Лоск.) "I buy", ulkobu "I sell"","","ССЕ 301. Werner 2, 153 <*qɨp\Hh\hə / *qəp\Hh\hə>. Cf. also South. Ket qɨ̄ŕi, Yug. χɨ̄fɨlśi 'cunning' ( < *'trading'?); see Werner 2, 399."
 793,"*χ[ɨ]χ", 453,"road, track","qɨ̄k, pl. qɨkśeŋ\H5\h","xɨk / xɨʔk, pl. xɨnɨŋ\H5\h","hek, pl. hajaŋ 'track, road'; Ass. hik (М., Сл., Кл., Ф.) "road"","","","ССЕ 301. Werner 2, 154 <*qək>."
 794,"*χogdi",   0,"autumn","qɔgdi\H5\h","xɔgdi\H5\h","hōri, g. hōrī, pl. hōraŋ, *hōran","kute (Лоск.)","","ССЕ 302. Werner 2, 94 <*qogdə>, with quite unjustified separation of the Kott. ("kann hiermit nur vorbehaltsweise verbunden werden"??) and Arin forms (the latter is suggested to be compared rather with Ket kə̄ti 'winter' - see *gəte; but the probable Arin form for 'winter' was *kot, see ibid., closely resembling Kottish kēti 'winter'). This all seems rather strange if we take into account the fact that all forms listed above and meaning 'autumn' correspond perfectly well to each other."
 795,"*χol", 935,"cheek","qɔĺet, pl. qɔĺerəŋ\H5\h (Bak., Sur. qoledəŋ\H5\h)","xɔlat\H6,5\h; pl. xɔladɨŋ\H5\h","hol, *hōl, pl. hōlaŋ; Ass. hólan (М., Сл., Срсл., Кл.) "cheeks"","bɨ-qoĺoŋ (М., Сл., Кл.) "cheeks", bɨqoĺuŋ (Срсл.) id.","","ССЕ 302. Ket and Yug reflect a form with the common body part suffix *-Vʒ. Werner 2, 100-101 <*qol>."
 796,"*χoʔn-", 454,"dark","qɔnĳ\H6\h","xɔn-si\H5\h (Werner 2, 107: χɔʔn)","hōn "dark", (Бол.) xon-šu "darkly"; Ass. xóna (М., Сл., Кл.), hontu (Кл.) "darkly"","bonosot-xomšümä (Лоск.) "darkly"","kónčidin (Сл.) "darkly"","ССЕ 302. Werner 2, 107 <*qoʔn>."
 797,"*χon- (~-ń-)", 455,"to yawn","ɛ́ś-qɔntiŋ (Werner 1, 248)","dēsxontteŋabet́ (Кастр.), praet. dēsxontteŋōrebet́, imp. ēsxontteŋarget́; (Werner 1, 248) d-éis-χɔntiŋáget","hońaŋ "yawning"; hońaŋākŋ "to yawn"","","","ССЕ 302. Werner 1, 248."
 798,"*χ[o]p", 986,"top (of tree)","qōp, pl. qɔ: // qɔ:n","xop, pl. xɔ:\Hh\hp","hupár, pl. hupáraŋ "Ende, Gipfel"; (Бол.) ači-xap "top (of tree)"","aša-pok (Лоск.) "top (of tree)"","","ССЕ 302. In Arin we have either an erroneous recording (ašapok instead of *ašakop) or a metathesis. Werner 2, 128 <*qopə / *qop>."
 799,"*χowe", 457,"mouth","qō, pl. qɔʔn\H2\h","xo, pl. xɔʔn\H2\h","hōpi, pl. hōpaŋ; Ass. hóhuj (Сл.) "face", (М., Сл., Кл.) "mouth"; xoboj (Кл.) "mouth"","","","ССЕ 302-303. Werner 2, 126 <*qo>, preferring to treat the Kott. word as a compound (but with what second component?) - whereas the reflex *-w- > Kott. -p- is quite regular."
 800,"*χōŋ", 458,"day","qɔŋ\H4 \h(South.), North. qɔŋə\H4\h / qɔ:ŋə\H4\h 'by daytime'","xɔ:\Hh\hŋ\H4\h 'by daytime'","hōnaŋ 'not long ago' ( < *hōŋ-aŋ with dissimilation)","xagalɨ (Стр.) "sun"","xaŋgačed́in (Сл.) "day", (Срсл.) xog, (Кл.) xeg id., (Срсл.) xok "light"","ССЕ 303. Not quite clear are the Ket forms recorded by Klaproth (xokene 'day') and Miller (xóg(k)ene 'day'). Werner 2, 108 <*qɔʔəŋə / *qɔʔkəŋə>."
 801,"*χɔʔ", 459,"horn","qɔʔ, pl. qɔʔŋ\H2\h (less frequently: qɔŋen\H5\h)","xɔʔŋ\H2\h, pl. xɔŋɨn\H5\h","hau, g. hauʔi, pl. hōkŋ "horn; thumb"","","","ССЕ 303. Werner 2, 122 <*qoʔ>."
 802,"*χɔʔGa",1215,"wild onion (сарана)","qɔʔ, pl. qɔ:n","xɔʔ, pl. xɔʔn\H2\h","hagá, pl. hagán","","","ССЕ 303. Werner 2, 121 <*qogə>."
 803,"*χɔb-", 461,"back","qɔv-ət\H5\h, pl. qɔvɨrəŋ\H6\h; Bak., Sur. qɔbət\H5\h, pl. qɔbɨdəŋ\H6\h","xɔf-at\H5\h, pl. xɔfadɨŋ\H6\h","hapar, pl. haparaŋ, (Бол.) xabar "back"; hap-tu "middle"","qop (М., Сл., Срсл., Кл.) "back"; akop (Лоск.) id.","","ССЕ 303. Yug displays an assimilative devoicing. Kott. -r does not allow to reconstruct the usual body part suffix *-Vʒ: all the languages reflect here rather an old compound *χɔb-ʔaʔd, lit. "back bone". Werner 2, 120 <*qʌʔp> (but Pump. kolpar should be kept separate, see *χɔlap)."
 804,"*χɔGa",   0,"ten","qō (attr.), pred. qōśeń\H1\h / qōś","xo (attr.), pred. xos / xosɛ\H6\h","hāga; Ass. hágiaŋ (М., Сл., Срсл., Кл., Ф.), xaha (Кл.)","hioga (Стр.); qoa (М., Сл., Срсл., Кл., Ф.); (Лоск.) kova; koo-kinä "eleven"; kog-jus (Стр.) "thousand"; qo-jus (М., Сл., Кл., Ф.) id.","xajáŋ (Сл.,), xajjaŋ (Срсл., Кл.)","ССЕ 303. Werner 2, 126 <*qogə>."
 805,"*χɔj", 462,"uncle, aunt","qōj , pl. qōjeŋ\H1\h / qɔjeŋ\H5\h","xoj, pl. xoje:ŋ\H3\h","hai, pl. hajan "uncle"; hāja, pl. hājan, g. hājei "aunt"","","","ССЕ 304. Werner 2, 127 <*qoj>."
