NUMBER|PROTO|MEANING|PRNUM|KUR|MLT|NOTES|ADDITION|DEDNUM
606|*ōṛ|beginning|0|ōr, ōṛ, (Tiga) oṛe "beginning, origin"|ōṛe "beginning, end"||Also MLT \Iōṛ-otre\i to end, finish.|1065
607|*ōṛ-ā|bird; quail|1130|ōṛā "bird (in general)"|ōṛe "quail"||Also KUR (Hahn) \Iōṛē\i a small bird.|1040
608|*ōs-|mushroom|0|ōsā|ōsu|||1035
609|*ōj|cow|94|ōy|ōyu "cow, ox"|||334
610|*pVṭkō|gooseberry|0|poṭṭō "a variety of gooseberry"|puṭka|||4497
611|*pac-ā|old|1196|paccā "old; former, past (of things just gone)"|pace "old (of things); vb. to become old"||Also KUR \Ipacbā\i old, stricken in years; the dead; \Ipacgī\i old, advanced in years, ancient of olden times; \Ipaccnā\i to grow old; MLT \Ipacge\i aged; \Ipaco\i old (with reference to animals)|3999
612|*pad(r)-|to prattle|1144||padrare, padkare|||3910
613|*padq|starch; to congeal|0|paī "starch made of rice diluted in water"|pathge "to be congealed"|way|Also KUR \Ipadxnā\i to thicken, acquire half consistence (as glue, paste), become soft, half-melt; render half-fluid|3827
614|*pal|tooth|1165|pall|palu "the teeth"|||3986
615|*pal-|to be multiplied, be bred|1166||palware||Also Malto \Ipalwatre\i to breed, rear|3987
616|*palk|to cut up|0|palknā "to cut lengthwise, split, crack (the earth, a wall), chap (the hands, etc.)"|palke "to cut up (as fruit or vegetable)"|||3991
617|*palqanǯā|cucumber|0|palxańjā, (Hahn) parxanjā|palang̣je|||3992
618|*pam-|to take between the legs (as the trunk of a tree while climbing)|1318||pamge|||4527
619|*pan-ā|iron|1319|pannā||||4570
620|*pand|to roll and twist together filaments into threads|0|pandnā||||4207
621|*panǯ|to trace, track|0|pańjnā||||3956
622|*pan-j-|n. cold|1236|pańńā̃|panye||Also MLT \Ipany-panyre\i to feel cold; \Ipey-peyre\i to feel chilly.|4035
623|*papl-ā|butterfly|1267|paplā||||4083
624|*par-c-|to shine brightly, be seen clearly|1185||parce|||3980
625|*par-c-|to run away|1183||parce, parctre|||3963
626|*par-d-|to grow in number, increase in quantity, grow in size or age, prosper, succeed, thrive|1184|pardnā|pathre|||3972
627|*par-q-|to separate, split|1182|paṛAxnā "to separate or force asunder the two parts of some object previously split, two limbs, etc."|parg̣e "to split, cleave, rend"||Also KUR (Hahn) \Iparxnā\i to split, cleave, rend; \IparAmnā\i to bite, separate the two natural halves (of pulse seed) with the handmill (Pfeiffer); MLT \Iparg̣re\i to be split, rent; \Iparg̣ro\i cracked, rent, a crack, fissure.|3962
628|*par-tā|mountain, hill|1300|partā||||4567
629|*paṛ-g-|to talk against one, detract, slander, run one down|1197|paṛAgnā (paṛgyas)||||4002
630|*paṛg|to stir up, incite|0||paṛge|||3861
631|*paṛk-|roof|0||paṛka|||4385
632|*paṛ-s-|to take (a load) upon oneself|1151|paṛsnā, pā̃ṛsnā||||3853
633|*pas-|liar|1327||pasyare|Also MLT \Ipasyetre\i to tell lies; \Ipaslaha\i liar; false; \Ipasadeye\i to accuse falsely||4531
634|*pat|to believe|0|pattaʔānā "to believe, admit"|patyare "to believe in"|||3916
635|*pat-|to pierce, perforate, tap with a chisel|1330|pattnā|pattre||Also KUR \Ipattā\i chisel to dig a hole in a piece of wood.|4452
636|*pat|to take root|0||pature|||3911
637|*pat-|sharp (as a blade)|1145||pato|Also MLT \Ipattre\i to sharpen; (?) \Ipathi\i order, manners||3907
638|*patl|cooking-pot|0||patli|||3909
639|*pat-q-|to take refuge or shelter|1200||patg̣re|||3912
640|*patṛā|(Hahn) bushes, thicket|0|patṛā||||4509
641|*paṭ-ā|beam in oilmill|1203|paṭṭā||||3875
642|*paṭ-|numeral classifier of flat objects|1202||paṭa|||3878
643|*paṭk|liquor distilled from the flowers of the mahua tree|0||paṭka|||3858
644|*paṭō|worms in the stomach|0|patō|paṭo|||3879
645|*pāK- (?)|to open; to divide|1159|pāxnā "to expand by main strength, force open"|pakme "a division of the house"|||3808
646|*pāb|road, way|1229|pāb "road, path, journey"|pāwu "way, path, road"||Also KUR \Ipāb ērnā\i to wait for (\Iērnā\i to see).|4108
647|*pād-ā|root|1209|pādā|pāthe "root of a tree"|||4077
648|*pāk|to take on one's lap|0|pāknā (pakkyas) "to take up into one's arms, on one's lap"|pāke "to take in the lap"||Also KUR refl.pass. \IpakArnā\i (\Ipakkras\i).|4050
649|*pāl-q-|to dawn|1160|?pahpahrnā|pālg̣re||Also KUR \Ipairī\i morning; MLT \Ipohpohre\i dawn.|3805
650|*pān-/*panǯ-|to ripen, (boil) festers, have a yellowish appearance (as after a prolonged illness)|1198|pā̃nnā (pańjā)|pāne||Also KUR \Ipańjkā\i fruits; MLT \Ipāntre\i to ripen (tr.), teach manners; \Ipanjek\i, \Ipanjeke\i ripe|4004
651|*pāṛ-|to sing|1210|pāṛnā|pāṛe "to sing, bewail"|||4065
652|*pāṛs|to take (a load) upon oneself|0|paṛsnā, pā̃ṛsnā||||3853
653|*pāj|secret infirmity, hidden defect, (Hahn) bad luck|0|pāy||||4110
654|*ped-q-|to pinch; to break up|1258|pedExnā (pedxas), pedxaʔānā "to pinch, squeeze, strangle"|pethg̣e "to break open (as a large fruit)"||Also MLT \Ipethg̣re\i to burst or break (as a fruit).|4165
655|*pel-|female|1269|pellō "female child, female not arrived at puberty, bride or young woman (before she has had children), maidservant"|peli "woman"||Also KUR \Ipell\i maidservant; MLT \Ipelo\i female (of plants).|4198
656|*pel-|very thin, transparent|0|pelpelē||||3989
657|*pin-ī|aunt|1273|pinnī "aunt (wife of father's younger brother), niece (elder brother's daughter)"|peni "mother's elder sister"|||4209
658|*pet-|to gather, pick up|1234|pesnā (pett-) "to gather up, pick up, glean, choose, pick out by lifting up"|pet-kame "to pick up food"||Also KUR \IpesEgnā\i to weed, cleanse by removing that which is objectionable.|4423
659|*pej-|to take up|0||pehe|Also MLT \Ipehre\i to take along; \Ipehtre\i to assist in lifting||4446
660|*pēn|louse|1252|pē̃n|pēnu||Also KUR \Iallā-pē̃n\i flea (\Iallā\i dog).|4449
661|*pēs-/*peṛq-|to talk; to command|1255|pēsnā "to command"|peṛqe "to talk, speak, simmer, hiss"||Also KUR \Ipēskā\i command, order, precept; \IperperErnā\i to prate, prattle, talk with a high-pitched voice; (vessel in which something is cooking) to hum, buzz, sing; (Hahn) \Iperxperxnā\i to babble, prattle; \Iparparernā\i to prate, prattle.|4430
662|*piGr-pā|the back of the body behind the shoulders|1265|pikhIrpā||||4172
663|*pic-ā|tail of a peacock|1274||pice|Also MLT \Ipicale\i peacock in full plume||4226
664|*pic-k-|to press and bruise, flatten by crushing|1284|pickaʔānā (refl.pass. pickārnā)||||4135
665|*pin|stick|0|pinn "(Hahn) stick"|pinu "stick, staff"|||4208
666|*pinḍ|to sound (as an instrument, cries of animals or birds)|0||pinḍe|||4195
667|*pinǯ-|to name|1233|pińjnā|pinje|||4410
668|*piō|oriole|0|piō||||4125
669|*pir-c-|to be smashed|1277||pirce|||4176
670|*pis-|after; below|1259|pisā "afterwards"|pisi "below"||Also KUR \Ipisnā\i next year; \Ipistā\i subsequent, later, subordinate; MLT \Ipisti\i the lower.|4205
671|*pī-k|excrements, earwax|1286|pīk|pīku|||4210
672|*pīq|to squeeze|0|pīxnā "to press out (oil), squeeze, harass"|pīqe "to wring or squeeze out, milk"||Also MLT \Ipilqe\i to squeeze; \Iperce\i to be squashed, as an overripe fruit; \Iperctre\i to squash.|4183
673|*pīs-|to pour off the water from boiled rice|1254|pīsnā|pīse|||4433
674|*pīt-|to break wind|1292|pītnā (pittyas)|pīte|||4167
675|*poK-|blister|1306|pokkhnā (pukkhyā) "to get blistered, swell"|poka "blister, blain"||Also MLT \Ipog̣lo\i, in \Imug-pog̣lo\i wart.|4455
676|*poc-g-/-r-|worm, caterpillar, fleshy larva, esp. of beetle|1365|pocgō|pocru||Also KUR \Ipoccnā\i (\Ipuccyas\i) to engender worms (as a wound, rotten cheese, etc.); rot, fester; MLT \Iposg̣o\i weevil.|4312
677|*poc/*pōnǯ|to spread, multiply|0|pō̃jnā (pū̃jyā) "to spread along by degrees (a swelling, an infectious sore), gain ground (as a culture of lac on a tree), be multiplied from one common stock or place"|poce "to be multiplied (as vermin or fish)"||Also KUR \Ipoccnā\i (\Ipuccyas\i) to be swarming (in crowds); (Hahn) \Iponjxnā\i to become worse, increase (as the ulceration of a sore or wound).|4580
678|*podG|to be soft|0||pothqe||Also Mlt \Ipothqlāre\i to become soft; \Ipothqlatre\i to soften; \Ipothqlo\i, \Ipothqro\i soft, gentle, mild, meek|3905
679|*poǯ|to wrap|1896|pojjnā (pujjyas) "to wrap (paper, cloth) round some object or person"|poje "to wrap, twist, entwine"||Also KUR \Ipojjrnā\i, \IpojOrnā\i to coil or twist oneself round some object or person, be folded or wrapt round, involve (of a drapery), suit well; MLT \Ipojg̣re\i to be wrapped or twisted, be entangled.|4479
680|*pokl|silk|0|pokOl "cocoon, silk"|poklu "tassur silk"||Also MLT \Ipokl-ṭowa\i cocoon (\Iṭowa\i anything hollow, as the shell of an egg).|4462
681|*pok-ō|chubby-cheeked|159|pokʔō||||4242
682|*pol-|to be unable|1313|polnā "to be unable, fail"|pole "to be unable, be helpless, be vanquished"||Also KUR \Ipolrnā\i, \Ipoltārnā\i to be rendered impossible, be beyond the strength of; \Ipoltaʔānā\i to prevent one from doing some action; MLT \Ipolg̣re\i to be impossible; \Ipoltre\i to vanquish, fire out.|4571
683|*poj-|to fall; rain|1310|poē̃nā (before vowel pońń-, pō̃yy-; past possā) "to fall (of rain)"|poye (pos-) "to rain"|Why not \Ipoʔonā\i in Kurukh?|Also KUR \Ipuỹdnā\i to pour some water on rice when ready for a meal; MLT \Iputhye\i to pour.|4407
684|*poṇḍ-|to become hoary, grey in hair|1356|puṇḍnā|ponḍe||Also KUR (Grignard) \Ipoṇḍnā\i (\Ipuṇḍyas/poṇḍos\i) to become hoary, get mouldy or musty.|4325
685|*poq-ā|green pigeon|1308|poxā|pog̣e|||4454
686|*poqt-ā|froth, foam|148|poxtā|potg̣e, potg̣o|||4463
687|*por-c-|half cooked, not sufficiently boiled (of grains only)|1323|porcō, poroc||||4537
688|*por-q-|to swell, be soaked|1299|porOxnā (purxyas) "to swell as a result of imbibed water"|porg̣e "to be soaked"||Also KUR \Iborsnā\i to get moist, become wet; \Ibothnā\i to plunge or soak into water; MLT \Iporg̣tre\i to soak; \Iporg̣pe\i damp or moist ground. KUR forms may not belong here because of initial b-; as for Brahui root, correspondences are surely irregular.|4505
689|*porq|to become fat|0||porg̣e|||4543
690|*posVŋ|soot|145||posan̲g̣e|||4467
691|*poṭ-|bowels|1334|poṭṭā "bowels, entrails"|puṛa "belly, bowels"|||4494
692|*poṭ-k-|sores on the feet|1331||poṭka|||4496
693|*pōk|ant (not white ant)|2017|pōk|pōku|||4575
694|*pōj-|to open, tear; gape|1345||pōye|||4599
695|*puc-|to put off, undress|1368||puce||Also Mlt \Ipucg̣re\i to become loose|4281
696|*pudg|to pluck out (hair, etc.), strip (fowl) by plucking|0|pudUgnā (pudgas)||||4277
697|*puḍ-|short, small|1372|puḍḍā "short (not tall), too short"|puṭgond "a very small quantity of fluid"||Also KUR \Ipuḍḍnā\i to be too small or too short for.|4259
698|*pul|to be jealous|0||pule|Also MLT \Ipulware\i jealous||4302
699|*pul-|to shine through whiteness|1353||pulpulre|||4305
700|*pul-|a little|1350||pul-ond||Also Mlt \Ipulo-qadi\i a little only, very little, least|4301
701|*pun-ā|new, recently born, unaccustomed|1369|punā|pune|||4275
702|*pun|sore, wound|1360||punu|||4268
703|*pund-/*pūn-|to yoke|1379|pundnā|pūne (punḍ-) "to put on one's own neck (as a necklace)"||Also KUR \IpundUrnā\i to pass round one's neck; \Ipūn\i necklace; MLT \Ipunde\i to put on another's neck (a wreath or necklace); \Ipūnu\i necklace, garland.|4361
704|*pur-ā|dove|1348|purrā|pure|||4334
705|*purg|hair on the body|162||purgu|||4358
706|*purm|to mix (food)|0|purUmnā (purmyas) "to mix, eat one's rice and vegetables mixed into one mess"|purme "to mix parched and ground grain with water"||Also MLT \Ipōri\i the joints of a bamboo, a cane, or the fingers|4541
707|*puṛ-g-|to break up a flooring|1333||puṛge|||4490
708|*pus-rā|a k. of tree|1382|pusrā "the kusum tree"|pusre "a tree and its fruit so called"|||4348
709|*put-ā|anthill|1370|puttā|pute||Also KUR \Iputbelō\i white ants' queen.|4335
710|*put|to set (of the sun only)|0|puttnā||||4376
711|*put-r-|to vomit|2034|putUrnā (puttras)|putre|||4276
712|*putŋ-ī|midge, fly|1367|putUŋgī, putuŋgī "midge"|putgi "sand-fly"|||4203
713|*pū-mp|flower, film on the eye|1376|pū̃p, (Hahn) pūmp|pūpu||Also KUR \Ipuỹdnā\i, \Ipuīdnā\i to bloom, flower; (sun) sets in a glory of purple and gold; MLT \Ipūthe\i to blossom.|4345
714|*pūq-|to swell (as rice put in cold water, as the result of a fall, of an illness)|1336|pūxnā|pog̣ole||Also KUR \Ipūxkā\i swelling, abscess; \Ipokpokrnā\i to puff out, bloat, swell much; \Ipēxpēxrnā\i, \Ipekpekrnā\i to swell up; MLT \Ipon̲g̣je\i to be increased, be abundant; \Ipūg̣e\i to swell; \Ipūg̣re\i to be swollen, pout; \Ipūg̣ro\i, \Ipūg̣ṭo\i swollen, a boil.|4469
715|*pū-q-|to boil (tr.)|2029|pūxnā (refl.pass. pūxrnā)|pūg̣e||Also MLT \Ipūg̣pe\i, \Ipūpg̣e\i boiled grain.|4315
716|*pūŋ|to win in a game or match|0|pū̃gnā|pun̲gare|||4349
717|*qaK-|to expectorate|482||qag̣jre|||1079
718|*qac|to divide; to break up|0|xaccnā "to divide (soft material) by force, break by pulling, pull to pieces, break off, bite off; (as an auxiliary) finish, do thoroughly, definitely, or finally"|qace "to break as a cord, cure an illness by exorcism, end, finish"||Also KUR \Ixacrnā\i to be pulled off, break short; MLT \Iqacre\i to be broken, be done, be over; \Iqacro\i broken; torn cloth.|1100
719|*qad|child, son|502|xadd "child, young animal or plant"|qade "son"||Also KUR \Ixaddas\i son, boy; \Ixaddar\i children; \Ixadā\i small child, young of animal, small.|1411
720|*qaǯ|earth|569|xajj "earth, mould, clay, mud, corpse"|qaju "earth, mud"|||1958
721|*qal|field|491|xall "field, piece of land suitable for tillage"|qalu "field on the hills"||Also KUR \Ikhalī\i threshing floor (< IA?).|1376
722|*qal-|to shake water or cowries|485||qal-qaltre|||1302
723|*qal-/*qaḍ-|to steal|492|xaṛnā (xaḍḍas) "to steal, win by address or gradual and imperceptible means"|qale (qaḍ-) "to rob, steal"||Also KUR \Ixalb\i theft; \Ixalbas\i thief; \Ikhaḍḍkā\i theft, i.e. the thing stolen; MLT \Iqalwe\i thief; \Iqalwi\i theft; \Iqalwo\i stealthily, secretly.|1372
724|*qalī|a k. of female relation|1865|xallī "father's younger brother's wife"|qali "mother's sister"||Also MLT \Iqalapo\i sister's son; \Iqalapi\i sister's daughter.|1318
725|*qal-q-|to disturb|484|xalaxnā (Hahn) "to disturb, make muddy (as water)"|qalg̣e "to disturb (as water)"||Also KUR (Grignard) \Ixalxnā\i to be wet and muddy; MLT \Iqalg̣ro\i disturbed or muddy; cf. also MLT \Igālye\i to disturb, stir (as water); \Igālg̣ro\i muddy, disturbed.|1303
726|*qalq-|a kind of fish, (Hahn) shad fish|0|xalxō||||1314
727|*qamī|grass, straw|0|xamī "spear-grass (used for thatching houses, feeding cattle, etc.)"|qami "thatching straw"|||1232
728|*qan|eye, eye of tuber|505|xann|qanu||Also KUR \Ixannērnā\i (of newly born babies or animals) to begin to see, have the use of one's eyesight.|1159
729|*qan|place on bamboo or cane where side shoot was cut away|369|xann||||1160
730|*qan-|to be pleasant to the eye, be of good effect, suit well|558|xannā||||1443
731|*qand-r-|to sleep|503|xandrnā|qandre||Also MLT \Iqanqe\i sleep.|1407
732|*qan-|tears|0|xańjalxō|qan amu|||1159
733|*qa-nǯ-|to bear fruit, be produced (after the manner of a fruit), come forth|547|xańjnā|qanje||Also KUR \Ixańjkā\i, \Ixańjpā\i fruit, effect, result; \Ixēnā\i unripe, raw, half-cooked, unboiled (of water), green, verdant, wet; MLT \Iqanjpe\i fruit; \Iqēne\i raw, green, unripe.|1459
734|*qap-|to swallow (any thickish liquid), drink (e.g. broth, rice-water, medicine)|466|xappnā|||Also KUR \Ixappā\i leech; \Ihabkā\i a bite; \Ihabkaʔānā\i to bite.|1222
735|*qap|to touch filth, be soiled|0||qape|||1217
736|*qaq|to receive|0|xakkhnā (refl.pass. xakkhrnā) "to get, receive, acquire; come up with, catch in fault"|qaqe "to receive; get a chance"|||1082
737|*qarā|seedling bamboo, bamboo sapling|0|xarrā||||1353
738|*qarb|to pound rice|0|xarbnā "to give an extra pounding to rice, for cleaning it from grains unhusked or spoiled"|qarwe "to clean rice by pounding"||Also MLT \Iqarwre\i to be bruised or hurt by falling.|1295
739|*qarb-/*qarg-?|forest|0|hargu (Mirdha dial.)|qawru "forest, jungle"|||1285
740|*qarqar|perfectly clean, quite empty|0|xarxar||\I\i|Also KUR \IxarxarArnā\i to be perfectly clean, quite empty (Pfeiffer).|1259
741|*qaṛG-ā|bitter, pungent, highly salted, harsh (fig.), changed to bitterness (of feelings)|471|xaṛxā|qaṛqe||Also KUR \Ixaṛxnā\i to affect the palate unpleasantly (as things salted or spiced to excess), be uttered harshly; \Ixaṛxō\i bile in its vesicle; MLT \Iqāṭare\i to throb with pain.|1135
742|*qaṛ|to reproach, scold, abuse|0||qaṛye|||1126
743|*qas|to daub, smear|0|xasnā||||1503
744|*qas-|to become bitterish, insipid or vapid|477||qase|||1249
745|*qas-|to eat; to derange the stomach|531|xassnā "to derange (the stomach), act as a purgative"|qaswe "to eat greedily, nip off with the teeth"|||1097
746|*qaṭ-|to divide, separate in several sets or parts, portion out|474|xaṭṭnā (xaṭṭyas)||||1125
747|*qaṭ-|to give (to me or us)|535||qaṭe|||1149
748|*qā-p-|to protect; to wait for|546|xāpnā "to protect, guard, tend, wait, wait for"|qāpe "to wait for, watch"||Also KUR \Ixāpus\i guardian, keeper, watchman.|1416
749|*qāq-ā|crow|549|xāxā|qāqe|||1425
750|*qāq-|a triangular frame made by folding a bamboo stem (used in pairs for carrying logs)|0|xāxō||||1417
751|*qār-|to gnaw, bite|559|xārnā "to gnaw or nibble at, eat"|qāre "to bite off"|||1474
752|*qār-|river, watercourse|553|xār|||Also KUR (Hahn) \Ixārnā\i to make a course for the flowing of water.|1478
753|*qāj-|to dry|548|xāynā (xayyas) "to lose moisture, dry up, evaporate, lose flesh, waste away"|qāye "to become dry, wither, become lean, fade"||Also KUR \Ixaixairnā\i to become quite dry, parched; \Ixaidnā\i, \Ixaidaʔānā\i to make dry, desiccate (by exposing to the sun, fire, or the air); (Hahn) \Ixaikā\i dry, dried up, withered; MLT \Iqeyre\i to be boiled, be hot; \Iqeytre\i to boil, make hot.|1458
754|*qāŋG|to knock the pestle against the sides of the pounding hole, cut gashes in the pounding hole; (wild animals) to tear a piece of flesh out of prey|0|xaō̃khnā||||1333
755|*qebd-|ear|581|xebdā|qethwu|||1977
756|*qeḍ-|foot, leg|383|xeḍḍ|qeḍu "the legs, the feet"|||1943
757|*qeǯ|a kind of mushroom|0||qejo|||1935
758|*qem-|to embrace; to lie down with a small child|0|ximb-, (Hahn) khimcnā "to embrace"|qemḍe "to carry on the side, support with the arm"|Представляется необходимым реконструировать в данном случае как минимум две ПСД основы (т.е. либо два разных корня, либо один корень с двумя различными суффиксами): *qemḍ- и *qemc-, значения которых различаются соответственно как "засыпать с ребенком на руках" и "обнимать обеими руками" (в малто оба значения контаминируют). Возможно, что вариант ximb- в курух (явно соответствующий брахуи xumb) представляет собой исходную бессуффиксальную форму (в таком случае ПСД *qemb-ḍ- > *qem-ḍ-, *qemb-c- > *qem-c-), хотя гласный -i- в корне абсолютно нерегулярен.|Also KUR \Ixeō̃cnā\i to clasp in the arms, embrace, place under the arm, adopt; \Ixeō̃ṇḍnā\i to lie down with (a small child, in order to lull him to sleep, suckle him, etc.); \Ixeō̃ṇḍrnā\i refl.pass. of preceding; (Hahn) \Ixemdnā\i to sleep with a child in the bosom.|1558
759|*qen-|to have intercourse with (a female)|576|xennā (xinnyas)||||1944
760|*qep|village, neighbourhood|0|xeppas "a visitor or friend entertained in the house, guest; fellow-villager, neighbour"|qepu "village"||Also KUR (Hahn) \Ixeppā\i inhabitant of a village; \Ixeppar\i inhabitants, population; MLT \Iqepo\i inhabitant of a village, neighbour.|1956
761|*qeG-ā|hand, arm|567|xekkhā|qeqe|||2023
762|*qer-|to insert|174|xerrnā (xirryas) "to introduce lengthwise by gradual pushing, insert, stick into or behind"|qere "to thrust in, tuck in"|||2778
763|*qer-c-|to rub off, scrape|579|xercnā (xircyas) "to rub off, scour"|qerce "to scrape"||Also MLT \Iqēre\i to shave; \Iqērtre\i to be shaved; \Iqēru\i barber.|1564
764|*qerm|to destroy, massacre|0||qerme||Also Mlt \Iqermre\i to die in numbers|1981
765|*qer-q-|to sound|586||qerg̣e|||1960
766|*qes|paddy (rice in the husk or standing in the field)|0|xess|qesu|||1936
767|*qes|to tease, disturb|0||qese|||1518
768|*qet|to shake off; to dust|0|xettnā (xittyas) "to shake off or out by imparting jerks, clean (viz. by shaking, beating, or similar forcible action)"|qete "to dust, beat the jungles when hunting"||Also KUR \Ixetrnā\i to be thrown off or out by knocks or by a jerk.|1954
769|*qēXl|ground|584|xēxEl "ground, earth we tread on, soil, floor"|qēqlu "the earth, the world, land"|Инлаутный согласный не определяется (как в курух, так и в малто существует возможность ассимиляции с анлаутным *q-).||1993
770|*qēl|drum|0|xēl "tomtom"|qēle "a small drum"||Also MLT \Iqēlwa\i a drummer.|2014
771|*qēnd-|to possess, to buy|2078|xēndnā (xindyas) "to buy, purchase"|qēnde "to take along with, have with, possess"|||2001
772|*qēq|to ask|0||qēg̣e|||2017
773|*qēr|fowl|0|xēr|qēru|||2013
774|*Qēr-ī|tale, fable, legend, riddle|587|khīrī|qēri|||2006
775|*qēs-|red|568|xē̃so|qēso||Also KUR \Ixē̃s\i blood; anger; MLT \Iqēslo\i reddish; \Iqēsu\i blood; \Iqēsolāre\i to redden (as the eyes, face, or fruit when ripening).|1931
776|*qēsr/*qasr|neck, shoulders|589|xēsEr (xesr-)|qasru|||1996
777|*qob|to carry or lift on the shoulders|0||qowe|||1417
778|*qodal|a spade|0||qodali|||1722
779|*qod-q-|to reduce to pulp; to overheat|612|xodOxnā (xudxyā) "to be reduced to pulp by unskilful cooking; to get discouraged, despair; (\Ixodxas\i) to reduce (by excessive cooking) to a soft uniform mass, cook until they fall to pieces; to worry, deprive of self-confidence, dishearten"|qothge "to excite, incline"||Also KUR (Hahn) \Ixodxnā\i to burn (tr.) by overheating.|2084
780|*qo(ŋ)G-|to bend|392|xō̃ŋghnā (refl.pass. xō̃ŋghrnā) "to bend (tr.̂: forward, backward, or to and fro), curve, deflect, force down someone's head or back"|qonqe "to indent, notch, bend the knees slightly in dancing, form the ridge of a thatched roof"||Also KUR \Ikoŋkō\i, \Ikoŋkṛō\i shaped like a hook, curved, winding; \Ikeŋkrnā\i to be crooked, curviform; \Ikeŋkṛō\i, \Ikeŋkō-beŋkō\i crooked, curved or shaped like a hook; MLT \Ikokre\i to stoop down; \Ikokro\i bent, curly; \Ikon̲gori\i concave.|2032
781|*qol|to serve (food); to help oneself|0|xollnā "to serve (rice, meat, potatoes, etc.) out of the cooking vessel, transfer by means of a ladle from the cooking pot into the plates or bowls ready for a meal"|qole "to take up liquids (as with a spoon)"|||2140
782|*qol-ā|tail|625|xolā|qoli|||2135
783|*qolā|razor|0|xollā|qole|||2141
784|*qolq|to bend; bent; beneath|1915|xolkhnā, xolOxnā "to cause one to bend the head"|qolg̣ru "below, beneath, underneath"||Also KUR \Ixolkhrnā\i, \Ixolxrnā\i to bend the head, bow, stoop; MLT \Ikolge\i to curve, bend; \Ikolgro\i bent, curved.|2136
785|*qonḍ|deep|0|xoṇḍxā, xō̃ṛxā "deep; a pit, abyss"|qonḍe "deep, low lands"|||2082
786|*qop-|to heap, pile up|686|xoppnā "to form into a pile, heap up"|qope "to heap, pile up; n. heap, pile"||Also KUR \Ixoprnā\i to be heaped up; \IxopOrxolā\i, (Bleses also) \Ixoporkā\i abundant, swarming; MLT \Iqopre\i to come together, assemble.|1731
787|*qop-ā|shrub, bush|414|xoppā||||1733
788|*qop-|grasshopper, locust|394||qopo|||2113
789|*qorp|pus|0|xorOp|qorpu||Also KUR \IxorOpnā\i (\Ixurpyā\i) to ripen as a boil, suppurate.|2130
790|*qoṛ-q-|comb of a cock|618||qoṛg̣o|||2049
791|*qos-|to burn|642|xossnā (xussyā) "to burn without flame, catch fire, (fire) catches"|qose "to be burnt, burn"||Also KUR \Ixosstaʔānā\i to ignite, cause (fire) to catch; MLT \Iqostre\i to burn (tr.), inflame.|2042
792|*qos-|to become weak or soft, hence: decay, rot, moulder away, be worm-eaten, be worn, wasted|700|xossnā (xussyā)||||1822
793|*qosg-ā|thigh|669|xosgā "leg, thigh"|qosg̣e|||1840
794|*qot-|to cut by striking, slash, inflict a gash, wound by a blow from any heavy and sharp-edged instrument, decapitate|643|xotnā/xosnā (xottas)||Although the root is found only in Kurukh, the reconstruction on the NDR level is certain because of the derivative *kot-g-, present both in Kurukh and Malto||2091
795|*qotr|a kind of fish|0|xotor ińjō|qotro mīnu|||2095
796|*qoṭ-|to break|644|xoṭṭnā (xuṭṭyas) "to break, smash, pierce, break open"|qoṭe "to break, knock, strike"||Also KUR \Ixoṭrnā\i to be broken; MLT \Iqoṭre\i to be broken; \Iqoṭure\i to knock or dash against.|2063
797|*qoṭā|the bēl fruit, Aegle marmelos|0|xoṭṭā|qoṭe|||2072
798|*qoṭr-|a blind person|695||qoṭri||Also Mlt \Iqoṭre\i to become blind|1787
799|*qoj-|to reap, mow|621|xoynā (xoss-) "to cut down grass and the like with the sickle, mow, reap"|qoye "to reap"|Относительно конечного согласного корня см. примеры.|Also MLT \Iqoytre\i to have the crop reared.|2119
800|*qōcl|bone|647|xōcol|qoclu|В малто сокращение долготы в результате закрытия слога.||2188
801|*qōl|rice-sheaf|0|xōl||||2253
802|*qōnḍ|to bring together, collect into one place, gather, wrinkle (e.g. the nose), multiply in imagination|0|xōṇḍnā|||Also KUR \Ixōṇḍrnā\i to meet or come together, be brought into the company of.|1882
803|*qōns|to smash, pulverize|0|xō̃snā (xū̃syas) "to pulverize by pounding with a heavy instrument which beats vertically, harass"|qōse "to pound, smash"|||2189
804|*qōq-|behind|0|xōxā "behind (of time or place), afterwards"|qōq "behind, at the back"||Also KUR \Ixōxantā\i last in a series, following in time, future, unfavourable; \Ixōxnā\i to throw behind one's back, cast aside, turn one's back upon, arrive before another; MLT \Iqōqe\i the back; \Iqōqeye\i to turn one's back; \Iqōqte\i, \Iqōqwa\i the latter or last one.|2182
805|*qōr|leaf, new leaf|661|xōr "leaf-bud, new leaves, fresh and tender leaves of vegetables"|qōro "infant, Indian corn when green"||Also KUR \Ixōrnā\i (\Ixūryā\i) to shoot out new leaves; \Ikorrā\i fresh (recently made, prepared, or obtained), pure; MLT \Iqōroce\i to sprout.|2149
806|*qōr-|to thrive; much, excess|711|xōrnā (xūryā) "to thrive, be prosperous, increase in honour"|qōre "to be enough, be much, be in excess"||Also MLT \Iqōrtre\i to supply or provide for abundantly.|1899
807|*qōr|the end, the top (as of a tree)|0||qōru|||2049
808|*qōj/*qoj|to measure|0|xōynā (xojjas) "to measure, ascertain the extent, height, quantity or capacity of"|qoye "to weigh, measure"||Also KUR \Ixōytārnā\i to be measured; MLT \Iqoytre\i to have anything weighed or measured.|2227
