NUMBER|PROTO|MEANING|PRNUM|KOLAMI|KOL̲KIN|KOL̲SR|NAIKRI|NAIKI|PARJI|OLLARI|SALUR|POYA|S̲3|ADDITION|NOTES|DEDNUM
589|*Kumṛ-|teak tree|406||kumre "Gmelina arborea"||||gumṛi "Gmelina arborea"|||||||1742
590|*kumṛ-|a k. of fish|0||||kumre "an eel-like fish"||kumṛa mīn "kind of fish called in Hindi \Ibām\i (eel)"|||||||1759
591|*kumt-|to lift, carry|0|kut- (kutt-) "to place burden on head"|kunt- "to lift"|kunt- "to lift"|||kumt- "to carry on head"|kumt- "to carry on head"||||||2677
592|*kunḍ|anus|684|||||||||kunḍ||||1693
593|*kund-|throat|0||||kutka||kunda gōlu "nape of the neck"||||||Naikri \Ikutka\i < \I*kund-k-\i.|1718
594|*kunǯ-|small basket|0||||||kuña "small bamboo basket"||kunje|||||1644
595|*kunṭ-|lame; to limp|683|||kunṭ- "to limp"|||kūṭal "(S) lame"|||||||1688
596|*kup(u)l- (*-o-)|to gargle|0||||||kupulp- (kupult-) "to gargle, rinse the mouth"|||||||2107
597|*kup-|hut|687|||kuppī||||||||||1732
598|*kuṛ-ub-|pit|639||||||kuṛub (pl. kuṛbul)|kuṛup "a well"||kuṛub "hole in the ground, pit"||||1818
599|*kurḍ-|root, tuber|0||||||kurḍa||kure|||Also Salur \Ikuruḍ\i a kind of vegetable||1799
600|*kur-|antelope; deer|691|kori "(Hislop) antelope"|||||kuri "antelope"|kuruy "deer"||||||1785
601|*kur-|silver|1911|kuro "(Hislop) silver"|||kuro "(Hislop) silver"|khura||||||||1782
602|*kuṛ-|to heap up|0||||||kuṛayp- (kuṛayt-)|kuṛap- (kuṛat-)||||||1821
603|*kur-|hoghouse|0|kuroḍi "(Pat.) hoghouse"||||||||||||1904
604|*kur-k-|to beat|0||||||||||kurk- (kuruk-) "to beat like a carpet"|||1850
605|*kuṛi-|to start, come out|0|kuri- (kurit-) "to start, protrude from hole, come forth, (sun) rises"||kurūy- "to start"|kur- "to come out, emerge, (sun) rises"|kuy- "to come out, appear (star), rise (sun)"||||||Also Kolami \Ikurs-\i (\Ikurust-\i) to escape; \Ikursip-\i (\Ikursipt-\i) to make to escape||1820
606|*kuṛk- (*-ḍ-)|earring|0|kuḍka "(Pat.) ear-ring in upper ear"||||||||||||1823
607|*kūrp|pimple; boil|692||||kurup "pimple"||kur "small boil"|||kūr "boil"||||1780
608|*kurṭum|leech|0||||||kurṭubi||kurṭum|||||1798
609|*kurv-|dance|0||||||kurral, kurval "a kind of dance"|||||||2108
610|*kurj-|bee|694|||||khuriya||||||||1567
611|*kur̲- (*-r-)|male calf|698||kurra|||kurra|kurra|||||||1801
612|*kuṛŋ- (*-ḍ-)|rotten posts|700||||||||kuḍuŋ- "wooden posts to be rotten inside the earth and shaky"|||||1822
613|*kusVl|armpit|0|||kusālīpeŋ "to tickle"||||kusul||||||1551
614|*kus-|stump|690||||||kucci "stump of a tree"|||kusun (pl. kuskul)||||1640
615|*kuṭ-|to sew|706|kuṭ- (kuṭt-)|||kuṭṭ-||kuṭṭ- "to pierce, sew"|kuṭ- "to pierce, sew"|kuṭṭ- "to stitch, sew"|||||1672
616|*kuṭk-|piece|0||||kuṭke "small fragment, crumb, etc."|||||||||1666
617|*kuj-|to pull|0||||kuy- "to pull, drag"|||||||||1648
618|*kū-|handle|0||||||kū (pl. kūvul) "shaft of axe"|||kūḍ "handle (e.g. of knife)"||||1870
619|*kūg-|butterfly|0|gūge|||gūge||gogavāla||kukun (pl. kukul)|||||1874
620|*kūg-, *kuj-|to call|708|kūg- (kūkt-)|||kūg-||kūy- "to crow, call"|kūy-, gūy- "to crow, call"||||Also Kolami \Ikuy-\i (\Ikuyt-\i) (cock) crows; Parji \Ikūp-\i (\Ikūt-\i) to whistle|There are probably two roots here.|1868
621|*kūk-|mushroom|0|kūku "(Wagh.) mushroom"|||kuku-mugṛal "mushrooms"||kūki (pl. kūkul)|||kukun (pl. kukul)||||1875
622|*kūl|ladder|0||||||kūl "stair, ladder"|||||||1908
623|*kūḷ-|to leak|0|kūl- (kūṭ-) "(water) run from punctured vessel or tap"|||kūḷ-|||||||Also Kolami \Ikūlp-\i (\Ikūlupt-\i) to puncture (vessel) so that water runs out||1919
624|*kūl-|wages|709||||||kūli "labourer's wages"|||||||1905
625|*kūnd̲|leaf-cup|0||||||kū̃d, (NE) kū̃ḍ "leaf cup for drinking pej"|||||||1929
626|*kūn-|puppy|685|kūna||||||||||||1646
627|*kūṛ-|to assemble|707||kūṛ pāv "meeting of ways"||||kūṛ er-|||||||1882
628|*kūrn-k-|to sleep|713||||guŋgi "sleep"||kūrk- "to nod in sleepiness"|kurkal "sleep"||kūrk- "to doze"|kūrk- (kūruk-) "to sleep briefly, take a nap"|Also Parji \Ikūrukuḍ\i, \Ikūrkukuḍ\i drowsiness; (S) \Igurgal\i sleep, night||1902
629|*kūṭ-|cow|0|kūṭe|||khūṭe|kūṭe||||||||1886
630|*kū̆r-|to groan|710||||||kūr-|||||Also Parji (S) \Ikuri-\i (owl) hoots||1796
631|*k̂iṭ-|to be extinguished|730|kiṭ- (kiṭt-)|||kiṭ-|kiṛ- (kiṭṭ-) "(fire) to go out"|ciṭ- "(fire) goes out"|siṭ- "(fire) goes out"|ciṭṭ- "to be put out as fire"|||Also Kolami \Ikiṭip-\i (\Ikiṭipt-\i) to extinguish; Naikri \Ikiṭip-\i to extinguish; Naiki \Ikiṭup-/kiṭp-\i to put out fire; Parji \Iciṭip-\i to put out (fire); Ollari \Isiṭp-\i (\Isiṭt-\i) to make (fire) go out||1942
632|*lāṭ-|tall, long|744||||||lāṭi|||||||5187
633|*lāv|fat, strength|37|lāv "fat"|||||lāv "strength"|||||||291
634|*levn-|river|0|levni "river (informants: 'in Amraoti they say \Inevli\i')"||||||||||||5192
635|*lē-|to rise; to be initiated|0|lēp- (lēpt-) "to arouse (to search, to do something), begin (a search), compete, put (curdling agent into milk, match to pipe)"||les- "to get up"|lēp- "to apply, kindle (fire), light (lamp), close (door)"|||||||||916
636|*ma(n)ḍ-|knee|832||||||maḍtel|||||Also Parji \Imaḍi kuḍtel\i kneeling position||4677
637|*maḍ-|to fold|753||||||maḍkip- (maḍkit-) "to fold, roll up"|||||||4645
638|*maḍ-i-|to lie down, sleep|754||maṛi-|maḍiy-|||maḍ- (maṭṭ-)|||||||4652
639|*madig|man of the sweeper caste|0|||||madig (pl. -er), (fem.) madigra||||||||4810
640|*mad̲-, *mad̲-k-|to forget; to hide|752|mad- (matt-) "to forget"||||mak- "to hide oneself"|meŋg- "to conceal something"|mẽy- "to conceal something"|meyk- "to roam, wander"|||Also Naiki \Imakup-/makp-\i to conceal something; Ollari \Imeyonḍi\i lost, one who is roaming about; \Imeyk-\i to go astray, roam; \Imeyikp-\i (\Imeyikt-\i) to make to go astray, make to roam||4760
641|*mad̲g-|mango|748|||||madge|medi (pl. medul)|maygil|mayggā|||Also Ollari \Imayga\i \Imar\i mango tree||4772
642|*mag-ḍ-|to vomit|760|maguḍ- (maguṭ-)|maguṛ-|maguḷ-, magūl-, magḍ-|maguṛ "vomit"|||||||||4617
643|*mag-|child|761|magvan "husband"|||||māl (pl. mācil) "daughter"|maginḍ sinḍ "man, husband"|maga sinḍu "boy child"|||Also Parji \Imayid\i (pl. \Imayil\i) husband; Ollari \Imāl\i daughter; Salur \Imagginḍ\i husband; \Imācil\i girl child; children; \Imāl\i (pl. \Imāsil\i) woman; \Icin makil\i small children||4616
644|*mak|neck|767|mak|||makk|||||||||4622
645|*mak-|buttock|0||||||makka "(S) buttock"|||||||4717
646|*mal-|to return|772||malay-|malāy- "to return, roam"|||mell-|||||Also (?) Gadba̲S3 \Imaṇ-\i (\Imaṇḍ-\i) to turn back (intr.); \Imaṇp-\i (\Imaṇup-\i) id. (tr.)||4734
647|*mal-|to uproot|0|||mall- "to root out"|mall-|||||||||4745
648|*mal-, *mar-|hill; forest|770|māle, (Haig) mālē "hill"|||||malaŋg "forest"|mare (pl. marel) (?) "hillock"|māre (pl. mārel) (?) "hill"|||||4742
649|*mam-|milk|0||||||mama "milk (children's word)"|||||||4703
650|*man (*-ṇ)|sand|786||||||man||man||manu "earth, clay"|||4666
651|*manam|a k. of field|0||||||manom "cultivated field in the jungle or upland"|||||||4701
652|*manc|dew, mist|783|mass "(Pat.) dew"|manc "mist"||||mañ, mañj "mist, dew"|(?) nēndir "dew"||||Also (?) Parji \Imēndir\i, \Imē̃dir\i dew||4641
653|*mand-|man; herd|778||mandi "man"|mandī "men"|||manda "herd, flock; company, association"|||||||4700
654|*manḍ-|to burn|779|manḍeng "(Pat.) to burn, scorch (intr.)"|||manḍ- "to burn (intr.)"|||||||||4680
655|*manḍ-||0|menekṭi "wrist (< Marathi)"||||||||manḍa "wrist"||||4673
656|*man-|to be|782|||||man-|men- (mend-, mett-) "to be, stay"|man- (may-, maṭ-) "to be, stay"|man- (manḍ-, manj-, mey-)||||Parji men- by analogy with past stem *mand̲-/*mat̲- > mend-, mett-.|4778
657|*manǯ-|rice|784|||||||mā̃jik||noŋgre manjik "broken pieces of rice after pounding"|manjig "unhusked rice"|||4639
658|*mar ńet-|wild dog|0||||||mar netta "a kind of animal (? tree-dog)"|||||||4711
659|*maram|grass|0||||||meram "grass, grass-land; open forest"|||||||4726
660|*maran- (*-r̲-)|a k. of relation|746|maran (pl. -sil or maranḍl) "spouse's brother (? mother's brother's son)"||marānd "husband's younger brother"||||||||Also Kolami \Imarndal\i (pl. \I-dasil\i) mother's brother's daughter; Kolami̲SR \Imarāndā\i wife's younger sister||4762
661|*mard-g-|sāj tree|791||madgi "Terminalia tomentosa"||madgi "Terminalia tomentosa"||merdeŋgi (stem merdeŋg-) "the sāj tree"|||mardiŋ maren "the sāj tree"||||4718
662|*maṛ-|axe|802||||||maḍi "large axe for splitting wood"||mari|||||4749
663|*mar-|to rub|0||||||mer- "to rub oneself"|||mar- "to rub (oil, etc.) on oneself"||Also Parji \Imerpip-\i (\Imerpit-\i), (S) \Imercip-\i (\Imercit-\i) to rub another with the hand; Salur (P) \Imarup-\i (\Imarut-\i) to rub (oil, etc.) on another||4709
664|*mar-|to learn|793||||||mer-|mar-|marr-|||Also Parji \Imercip-\i (\Imercit-\i) to teach; Ollari \Imarip-\i (\Imarit-\i) to teach; Gadba̲S3 \Imary-\i (\Imariy-\i) id., be habituated||4722
665|*mar-g-|grandchild|794|marge|||marge|marge|merva, (S) meriya "son's son"|||||||4715
666|*mar̲i|after, again|749|mari "thereafter (in past), then (in future)"|||mari "again"||mari "again"|||||Also Kolami \Imār tolli\i day after tomorrow; Naikri \Imarneṛ\i day after tomorrow; Parji \Imari ok\i another||4766
667|*mar-k|tree|789|māk (pl. mākul)|||māk||meri (pl. merkul)|mar, marin (pl. markil)|māren (pl. markīl)|||||4711
668|*marnd-|medicine|795|||mand|mand|mand "medicine, poison"|merud (pl. merdul)|mardil|marid|||||4719
669|*marnḍ-|to heal|796||||mānḍ- "to heal (intr.)"|marnḍ- "to heal (intr.)"||||||||4804
670|*mar̲-|banyan tree|0|marri|||||mar|||||||4773
671|*mas|soot|804|||||mas||||||||5101
672|*mas-|to rub, wash|0||||||mac- "to rub head with earth"|||||||4634
673|*maS-|spot|803|||||||||masa "mark, stain"||||4632
674|*maṭ-|toe-ring|765||||maṭṭe||maṭṭa|||||||5056
675|*maṭ-|eyelid|805||||||||kanul maṭa "eyelid, eyelash"|kanul maṭa "eyelid, eyelash"||||4650
676|*maṭ-|branch of palm tree|806||||||||||maṭṭa "spathe of palm tree"|||4663
677|*maj|cat|0||mā̆y|mai||||||||||4705
678|*maj-|to sharpen|0|may- (mayt-)|||may-|may-|mayp- (mayt-)|mayp- (mayt-)||maytal "whetstone"||Also Parji (S) \Imaykip-\i (\Imaykit-\i) to rub; \Imayil kel\i, \Imay gel\i whetstone; Ollari \Imayponḍi kanḍ\i whetstone||4628
679|*maj-|moss|0||||||mayuṛ "duckweed"|||maymuṛ||||4708
680|*majŋil|peacock|762||||||mañjil, mañil|mañgil|mayŋīl|mayŋil||||4642
681|*maŋ-|to sleep|769|maŋg- (maŋkt-) "to sleep, have sexual intercourse"|maŋ-|maŋ-|maŋg-|maŋg- "to sleep, lie down"||||||Also Naiki \Imaŋgup-\i to make to sleep||4735
682|*māc|man|824|mās|māc "husband"|mās "husband"|mās|mās "husband"|mañja, (S) mañña|||||Also Kolami̲SR \Imāsā\i, Kolami̲Kin \Imāca\i wife; Naikri \Imāsal\i woman; Naiki \Imāsa\i wife||4791
683|*māḍ-|house, platform|810|māḍi "upper story of a building"|māṭ "elevated platform, machan"||māṛi "large house"|māṛa "raised platform in a field, machan"||||||||4796
684|*māg|deer|813|||māg||||||||||4780
685|*māl|beans|0|||māl||māl (pl. māḍḷ) "pod or fruit of leguminous plants"||||||||4828
686|*māl|liquor|818|||||māl|mēl|māl|māl "liquor, toddy"|||||4822
687|*mā-mḍ-|mango|815|mānḍi "mango fruit"|māmṛi "mango fruit"|māmḍī "mango fruit"|māmṛi|||||||||4782
688|*mām-|mother's brother|821|māmak (voc. māma) "mother's brother, father-in-law"|||māma "mother's brother, father-in-law"|māmā "mother's brother, father's sister's husband, father-in-law"|māma "mother's brother, wife's father"|||||Also Kolami \Imāmi\i voc. of \Ipodal\i mother-in-law; Naiki fem. \Imāmi\i; Parji \Imāmi\i mother's brother's wife||4813
689|*māroṛ|bilva|0||māroṛ "Bengal quince"||māroṛ "Bengal quince"|||||||||4821
690|*mār̲-|to pull faces|0||||||mār- "(S) to pull faces"|||||||4816
691|*mās- (*-c-)|to be dirty|825||||||||||mās-|Also Gadba̲S3 \Imāpap-\i to make dirty||4792
692|*māj-|to disappear|817||||||māy- "to get lost, disappear"|māyŋ(g)- "to get lost, disappear"||||Also Parji \Imāypip-\i (\Imāypit-\i) to lose; Ollari \Imāyŋp-\i (\Imāyŋt-\i) to lose||4814
693|*māj-|python|0||||||māyonḍ bām|||||||4793
694|*māj-|placenta|816||||||||||māyi|||4783
695|*mā-ŋ-|to ripen|812||||||||māng- "to ripen off the tree"|||||4789
696|*med-k|brain|828|mitik (obl. mitk-)|mitk||mitik||medek|||medik||||5062
697|*me-k-|to eat|836||||||||||mekkap- "to eat like a glutton"|||5077
698|*mel-|slowly|834||||||||||mellaga|||5078
699|*mel-g-|to shake, stir|775|melg- (melekt-) "to shake (intr.)"|||||||melg- "to stir, move"|||Also Kolami \Imelp-\i (\Imelept-\i), \Imelgip-\i (\Imelgipt-\i) to shake (tr.); (Pat.) \Imelageng\i to move (intr.)||4736
700|*mel-k-|to lighten|835||||||melk-|||mel- "(lightning) to flash"||Also Parji (S) \Imalk-\i (light) to flash||5079
701|*mendar|a k. of bee|0||mendare "a kind of bee"||mendhar, mendhare "a kind of bee"||mendir "a kind of bee"|||||||5071
702|*mer̲-|to be light|839|merp- (merept-) "to lighten"||mirŋūḍ "spark"|merp- "to flash, lighten"||marp- (mart-) "to lighten"||merc(i) ēr- "to glitter"|||Also Parji \Imed-\i to flash (tiger's eye, etc.); Salur \Imers\i lightning||5074
703|*med̲kam|cucumber|0||||||merkubi|||meykom||||5076
704|*meṭ|hill, mountain|845|met "(Hislop) mountain"|meṭṭ "mountain"|meṭṭā "hill"|meṭṭ||||||meṭṭa "high land"|||5058
705|*met-|to smear|842|met- (mett-) "to plaster with mud"|||mett- "to plaster, smear"||mett-||mett- "to rub on, apply (medicine)"|mett- "to rub on, apply (medicine)"|met- "to paint thickly"|||5066
706|*met-|soft|843||||mette||||||mettan "soft, tender"|||5070
707|*mēḍ-i (*-ṛ-)|ficus|847||mēṛi "Ficus glomerata"|||||||||||5090
708|*mē-g-|to apply|841|mēg- (mēkt-) "to purify with cowdung solution"|||mēgh- (mēkt-)|||||||||5082
709|*mēg-|goat|848|mēke|||mēke||mēva, (S) mēya "she-goat"|mēge|mēge|||||5087
710|*mēn|body|851|mēn (pl. mēnḍl)|||mēn (pl. mēnuḷ)|mēn|mēn (pl. mēnul)||mēnu (pl. mēngil)|mēn||||5099
711|*mēṛ-|a k. of house|846||||||mēṛ ole "bungalow"|||||||4796
712|*mēj-|to graze|850|mī- (mīt-)|||mīy-|māy-|mēy-|||||Also Kolami \Imīp-\i (\Imīpt-\i) to make to graze; Naikri \Imīp-\i to cause to graze; Naiki caus. \Imāyip-\i; Parji (S) \Imēypip-\i (\Imēypit-\i), (NW) \Imēpip-\i (\Imēpit-\i), (NE) \Imēkip-\i (\Imēkit-\i) to make to graze||5093
713|*miḍ-k-|to blink|854||||||miḍkip- (miḍkit-) "(S) to blink the eyes"|||||||4845
714|*miḷ-|to fall over|859|miḍiyeng "(Pat.) to fall over"|||||milŋg- "to be overturned"|||||Also Parji \Imilkip-\i (\Imilkit-\i) to overturn (tr.); ? \Ibilj-\i to fall on the back; \Ibilja\i lying on the back; \Ibiljip-\i (\Ibiljit-\i) to make to fall on the back||4870
715|*minḍcum|fish-hook|0||||||minḍcub|||||||4859
716|*mind-|eyelash|0||kandl mindig|kaṇlā mindī||||||||||4864
717|*mind-|to bury|0|mind- (mint-)|||mind- "to fix stakes in ground"||||||medup-|||4863
718|*mind-|black gram|0||||||mī̃di (pl. mī̃dil)|mindil "Phaseolus mungo"||||||4862
719|*minḍ-g-|young|861|menḍgi "(Pat.) young"|||minḍgi "a young man"|||||||||4846
720|*min-|flash, spark|862||||||minnal "spark"||||munake "firefly"|||4876
721|*min-|to wink|0|||minpeŋ||||||||||4877
722|*miṭ-|to jump|855|miṭ- (miṭt-) "to leap"|||miṭṭ-||miṭaka "grasshopper"|||||Also Kolami \Imiṭṭe\i grasshopper||4850
723|*miṭ-|to flick|866||||||miṭṭ-, (S) miṭkip- (miṭkit-) "to flick with the fingers"|||||||4848
724|*miṭ-|a hair-style|0||||||||||miṭṭe "a female hair-style"|||4853
725|*m-iŋ-|to swallow|864||miŋg-|miŋ-|miŋg-|miŋg- (miŋkt-)||||||||4866
726|*mī-|to bathe|868||||||mī- (mīñ-)|(nīr) muy-|mī-, miy-||||Ollari \Imuy-\i maybe through some assimilational morphologic process (due to the auslaut character of the vowel).|4878
727|*mīn-|fish|870||||||mīni (pl. mīnul)|mīn (pl. mīnil)||||||4885
728|*mīs-|moustache|871|mīsal "(pl.) moustache"||||mīsak||||||||4879
729|*modVl|stump, trunk|872|modal (pl. modasil) "(P) tree trunk"|modal "stump"|modda "log"|modhal "trunk of tree, stump"|maddun "stem of tree"|model "trunk of tree, base"|||||Also Kolami̲Kin \Imodd\i trunk; Parji \Imodel key\i wrist||4951
730|*moḍ-|bud|877||||||||moḍo|||||5113
731|*mod-|first|874||||||||||modaṭ|||4950
732|*mok-am|face|879|mokam|||mokam||mokom|||||||4889
733|*morgul|cloud|884|morgar|||||malgur|mogul "cloud, sky"|moggul "cloud, sky"|mogul "cloud, sky"||||4892
734|*monṭ-|short|0|moṭṭi "(Pat.) short"|||moṭṭik||munḍi|||||||4938
735|*mord-g|palas tree|933||modg "Butea frondosa"||||||murtanḍ "Butea frondosa"|||||4981
736|*moṛk-|to bow|886||||mokk- "to bow down in reverence"||moṛk- "to salute respectfully"||mulk- "to bend before in respect"||molk- (moluk-) "to bow down"|Also Parji \Imuṛd-\i to lie flat on the face; \Imuṛtip-\i (\Imuṛtit-\i) to cause to lie flat on the face, turn upside down; \Imuṛdil\i prone||5123
737|*mos-|crocodile|876||moseli||||mōca|||||||4952
738|*moṭ-|kiss|0|mud "kiss (< Telugu)"|||||moṭṭ- "to kiss"|||||Also Kolami \Imud īḍ-\i to kiss||4960
739|*moṭ-|blunt; log, beam|883||||||moṭṭi "log, beam"|||moṭo "blunt"||||5114
740|*mō-|heavy; burden|894|mōp "burden"|||||||||mōpap- (-t-) "to keep something heavy"|||5126
741|*mōr-|leaf-pipe|0||||||mōri|||mōri "flute"||||5141
742|*mōr-|leaf-coat|0|||||mōra||||||||5140
743|*muḍ-|to talk|1873|muḍ- (muṭṭ-) "to talk, speak (a language)"|||muṛ- (muṭṭ-) "to speak"|||||||Also Naikri \Imuṭṭa\i language||4989
744|*muḍ-|to bend|906|muḍkia "ear-ring"|||||muḍ- "to stoop, bend, bow"|||||Also Parji \Imuḍip-\i (\Imuḍit-\i) to make to stoop or bend||4919
745|*muḍ-|to cover|952||||||||mūrp- (mūṛt-) "to close"||muḍup- "to cover, encircle"|||5034
746|*muḍ-|pulse|0|||muḍde||||||||||4953
747|*muḍ-|knot|905|muḍi||||||||||||4921
748|*muḍ-|back|908||||||muḍukuḍ "the back of anything"|||||||4955
749|*mud-|cow|875|||||||||mude||||5116
750|*mudd-|blunt|873||||||||||muddun|||5118
751|*mukar-am|nose-ring|0|mōkaram "nose-stud"|mukkeram|mukkerām||mukra|muŋgram "(S) nose-ring"|||||||4895
752|*mū̆L|marrow|957||mull||||nulli, nūlgum, nūlguṭ|||||||5051
753|*mūL-g-|to groan|958|||mū̆lg-||||||||||4896
754|*mul-k-|waist|880|mulke "(P) back"||mulke|mulke||mulka būla, mul būla "backbone"|||||Also Naikri \Imulkene ḍā̃ḍ\i backbone||4986
755|*mulŋ-|horse-radish|915||||||muŋga, (S) mulŋga "Moringa pterygosperma"|||||||4982
756|*munḍ-|tank|919||||||munḍa|munḍa||||||4945
757|*munḍ-|post, pillar|918|||||||munḍe||munḍe||||4948
758|*mun-|front|920|mut "before"|||mund "before"|muṛ "in front of"|mundi "in front"||mundēl "the front"|mundel "the front"||Also Kolami \Imutta sāl\i next year; (Pat.) \Imuttung\i next year; \Imuni\i sting of scorpion; Naiki \Imuṛta sāl\i coming year; \Imurtun\i next year; Parji \Imuna vanda\i forefinger; \Imunni\i before; \Imunnited\i first, the one in front; \Imundel\i in front, before; \Imund kekol\i front part of ear; \Imūni\i, (S) \Imona\i tip, point||5020
759|*mun-cir|eaves|204||||||muñir|||||||2729
760|*muṇ-g-|to dive|940|muŋg- (muŋkt-) "to submerge oneself under water, drown, (sun) sets"|||muŋg- "to sink into, be submerged"|muŋ- "to dive, be drowned"|mulg-, (S) muli- "to dive, be immersed"||mulg- "to immerse, be immersed"|||Also Kolami \Imuŋgip-\i (\Imuŋgipt-\i) to submerge (tr.); Naikri \Imupp-\i to dip (tr.); Naiki \Imuŋgup-\i to drown (tr.)||4993
761|*mūnǯ-|to smell|960|munstoleng "(Pat.) to sniff"|||||mūñ-, (S) mūñk- "to smell, sniff"|||||||4886
762|*munǯ-ur|mucus of nose|924||||||muñjur|muñzur|||mūjur|||4909
763|*mur-al-|to wither|930||||mural-|||||||||4972
764|*muṛ-c|knee|947|mūḍs (Pat.), muṛug (P)|muṛuc "knee, elbow"|muḍsū|||||||muḍkul "knee-cap"|||4935
765|*mur-|to make sounds|926|moray- (morayt-) "to produce musical sound (bell, etc.)"|||moray- "to sound (intr.)"||mur- "to growl (tiger), hoot (owl)"|||||Also Kolami \Imorp-\i (\Imoropt-\i) to play (flute), ring (bell), make to produce musical sound; Naikri \Imorap-\i to sound (tr.); Parji \Imurip-\i (\Imurit-\i) to snore||4973
766|*mur-|to break|961||murk- "to split (wood)"|murk-|mur- "to break (intr.)"|||||||Also Naiki \Imurk-\i to break (tr.); \Imurnḍe\i a quarter (of bread)||4975
767|*mur-|old|963|murtal "old woman"|||murtaḷ "old woman"||murtal "old woman"|murtal "old woman"||||||4969
768|*mur-|black|0|muruḍi|||muloṛi|||||||||4983
769|*muṛ-|to ripen|964||||||muṛ- "to ripen after being plucked"|||||Also Parji \Imuṛkip-\i (\Imuṛkit-\i) to ripen off (tr.)||5046
770|*mur-g-|to bend|932||||||murg- "to be bent"||murg- "to bend (while peeping)"||murg- (murug-) "to bend down"|Also Parji \Imurgal\i hunchback; Salur \Imurgēn\i bent||4977
771|*mur-g- (*-r̲-)|to twist|935|murgaḍileng "(Pat.) to twist (a limb)"||||||||||||5012
772|*mur-k-|sweat|929||||||murkub|||||||4980
773|*murm-|gravel|927||||murmi||murum||morḍo "stump of tree (?)"|||||4971
774|*murmur-|parched rice|931||||murmuri|||||||||5019
775|*murg|bracelet|925||||||||murug|||||4979
776|*mur̲|dirt|934||murr||murg "a bad smell"||mur, murru|muyuṛ||||Also Parji \Imura\i, \Imur/r/aṭ\i rotten||5007
777|*mus|a k. of grass|0||||||muc "(S) a kind of grass"|||||||4907
778|*mus-k-|to smile|0||||||muck-|||||||4904
779|*musṛ-|rainy season|943||||||muñcuḍ dinom/dīna|||muṛsunḍ din||||4914
780|*mut-|old|901||||mudgan "husband"||muttak "old man"|muttak "old man"||||||4954
781|*muḍḍ-|buttock|904||||||muṭus "lower back"||||muḍḍi "back, anus"||A very strange suffix in Parji; maybe the original form was *muḍḍ-s?|4942
782|*muṭ-|fist|945||||||muṭṭ- "to hammer"|||muṭa||Also Parji \Imuṭka\i blow with fist||4932
783|*mu[n]t-|basin|923||||||mutta|||||||4965
784|*mut̲-k-|to groan|902|mutkeng "(Pat.) to groan"|||||mokk- "to bark"|||||||5013
785|*muj|black-faced monkey|912|muy|||muy||muy|||muy||Also Kolami (Haig) \Imuī\i langur||4910
786|*mujc-|to cover|911|||muns- "to close, cover"|mus-|muc- "to cover, close, shut (door)"|muy- "to cover oneself"|muy- "to cover oneself with wrapper"|mūyk- (mūyt-), mūy- "to close, cover"|||Also Naiki \Imuyip-\i to cover oneself, fill up a hole; Parji \Imuypip-\i (\Imuypit-\i) to cover (another); \Imucca\i shell-covering of the snail||4915
787|*mujnd-|hare|922|mīte|||mīte||mū̃da|munde|mūnde|||||4968
788|*mujt-|mouth, lip|913|mūti "mouth, beak"|mū̃ti "mouth"||mūti "mouth, beak"||muydur "lip, snout of pig"||mūti "snout of pig"|||Also Kolami (Pat.) \Imūndur\i snout||5031
789|*muŋ-aḍ|nose|967|muŋgaḍ|mukk|mukku|muŋgaṛ|muŋgan|muvāḍ (pl. muvācil)|muŋan|muŋān|muŋgan||||5024
790|*muŋus|mongoose|949|muŋgus|||muŋśak|muŋgus|||muŋgi pōtu|||||4900
791|*muŋv-|anklet bell|966|mūŋge|||muŋge||mūva|||||||5025
792|*mūḍ-|fog|950|mūḍam "(Pat.) fog"||||||||||||5033
793|*mū-|three|953|mūndiŋ "three things"|||mūndiŋ "three things"|mūndi "three things"|mū̃du(k) "three things"|mūnḍ "three (neut.)"|muyal "three (fem.)"|muyal "three (fem.)"|mūṇu|Also Kolami \Imuggur\i three men; \Imuyal\i three women; \Imūnd ul\i three days; Naikri \Imuggur\i three men; \Imuyaḷ\i three women; Naiki \Imug/g/ur\i three men; \Imuy/y/a\i three women; \Imunḍiḍa\i three times; \Imū nān\i three days; Parji \Imūvir\i three men; \Imuyal\i three women; adj. \Imuy\i; Gadba̲S3 \Imūṇu\i three; \Imuvur\i three (masc.); \Imuyal\i three (fem.)||5052
794|*mūk|shoulder|0|||||||||mūk||||5122
795|*mūl-|corner|954|||mūlā "corner, elbow"|||mūla|||||||5044
796|*mūr-|cubit|941|mūra, (P) movka, (Pat.) mōki "elbow"|||||mūra||kī-munḍku "(P) elbow"|||||4990
797|*mūṭ-|leaf basket|965||||||mūṭa "leaf basket for storing grain"|||||||5037
798|*mūṭ-|vomit nut|0||||||mūṭi "(S) the vomit nut"|||||||4905
799|*mūŋ-|to swarm|0||||||||mūng(i) ēr-|||||5030
800|*ńaḍ-g-|to walk|1057|aḍg- (aḍakt-)|||aṛg-|aṛg-||||||||3582
801|*naḍi-|to hide|0|naḍi- (naḍit-) "to hide (intr.), (tiger) crouches"||naḍas-, nars-||||||||||3620
802|*naḍum|middle, waist|973|||naḍum "middle"|naṛum "middle"|aḍḍumta "middle (adj.)"|naṛub "middle"||naṛpi "middle, second (child)"||naḍum "waist"|Also Naikri \Inaṛmut\i in the middle; Naiki \Iaḍmun\i in the middle; Parji \Inaṛbul\i in the middle||3584
