NUMBER|PROTO|MEANING|PRNUM|TEL̲1|TEL̲2|TEL̲3|TEL̲4|TEL̲5|TEL̲KR|TEL̲INSCR|MEROLU|ADDITION|NOTES|DEDNUM
2132|*bur̲-|a sort of pigeon|1348|bur̲r̲a-piṭṭe||||||||||4334
2133|*puṭṭ-|anthill, snake's hole|1370|puṭṭa||||||||||4335
2134|*punǯ-|land cultivated without artificial irrggation, high land|0|punja||||||||||4337
2135|*pun-|skull|1362|punuka||||||||||4339
2136|*ponn-|Calophyllum inophyllum|2103|ponna||||||||Also [1] \Isura-ponna\i, [2] \Isura-punnāgamu\i Calophyllum longifolium||4343
2137|*pol-|track, trace|0|polamu||||||||Also \Ipolamari\i one who knows a clue; \Ipolakuva\i trace, track; \Ipulugu\i mark or sign, trace, track, clue; ? \Ipulapoḍucu\i to gaze, stare||4344
2138|*pū|flower, blossom|1376|pū||||||||Also [1] \Ipūvu\i, [2] \Ipuvvu\i flower, blossom, albugo; \Ipūcu\i to blossom, flower, bloom; \Ipūta\i flowering, blossoming, blooming||4345
2139|*pū-|(tongue) blisters or becomes sore, rough, and furry, be affected with thrush|2072|pūcu||||||||Also \Ipū̃ta\i aphthae, thrush||4346
2140|*pūs-|bead|1381|pūsa||||||||Also ? [1] \Ipūdiya\i, [2] \Ipūde\i bead of gold or silver||4350
2141|*pū-|to smear, rub, daub, apply|1377|pūyu||||||||Also \Ipū̃ta\i smearing||4352
2142|*būnǯ-|mould, mildew|165|bū̃ju|bū̃du|||||||||4357
2143|*būṭ-|false appearance, deceit, trick; false, deceitful|0|būṭakamu||||||||Also [1] \Ibūṭakī̃ḍu\i, [2] \Ibūṭakũḍu\i rogue, cheat||4359
2144|*pūn-|to undertake, set about, wear, attempt|1379|pūnu||||||||Also [1] \Ipūnucu\i, [2] \Ipūncu\i to undertake, yoke; \Ipū̃cu\i to endeavour; [1] \Ipūnika\i, [2] \Ipūnki\i, [3] \Ipūniki\i, [4] \Ipū̃pu\i attempt, endeavour; ? \Ipūṭa\i security, surety, bail||4361
2145|*pū(n)ḍ-|(in place names) small village, hamlet|0|pū̃ḍi||||||||||4362
2146|*būt-|obscene or foul language; obscene, foul, indecent|0|būtu||||||||||4363
2147|*punḍ-|to invent|0|puṇḍalincu||||||||||4364
2148|*pūp-|an infant; pupil of the eye|0|pūpa||||||||||4365
2149|*būrag-|silk-cotton tree, Eriodendron anfractuosum|166|būraga|būruga|būrugu||||||Also (Lush.) \Ibūraga\i id.; Bombax malabaricum||4366
2150|*pur-i|peacock's tail|1383|puri||||||||||4367
2151|*būr-|trumpet|0|būrā̆||||||||||4368
2152|*pūl-|Crinum pratense; (Lush.) Phyllanthus reticulatus|0|pūli||||||||||4369
2153|*punǯ-|cock|1378|punju||||||||||4373
2154|*pūr-|a three-toed gregarious bird resembling the quail|0|pūrēḍu||||||||Also \Ipuriḍi-piṭṭa\i quail||4374
2155|*pūḍ-|to be filled or closed up (as a pit)|1380|pūḍu||||||||Also [1] \Ipūḍucu\i, [2] \Ipūḍcu\i to bury, fill up (as a pit); [1] \Ipūḍupu\i, [2] \Ipūḍpu\i burying, treasure-trove||4376
2156|*pūḍ-|anus|0|pūḍa||||||||||4379
2157|*pūn-|casket, box|0|pūne||||||||Also \Ipoṇaka\i large basket||4380
2158|*peŋk-|an impudent, mischievous person; impudent|0|peŋke||||||||||4381
2159|*best-|fisherman, palanquin-bearer|0|besta||||||||||4383
2160|*pecc-|rind, peel|0|peccu|||||pecce, peccika "shell of coconut, etc."|||||4384
2161|*penc-|potsherd|0|pencu|pencika|||||||Also \Ipeŋku\i tile, broken piece of pot, coconut shell, or the like, potsherd, skull||4385
2162|*baṭṭ-|bald|0|baṭṭa||||||||||4387
2163|*peṭṭ-|box, chest, safe|1246|peṭṭe||||||||||4388
2164|*peṭṭ-|blow, stroke, knock, thump|2087|peṭṭu|||||peṭṭu "id.; vb. to hit, beat"|||||4389
2165|*peṭṭ-|to place, put, lay, keep, deposit, rest on something, give, build (as a wall), plant (as a tree), charge one with, use, employ; n. giving, gift|0|peṭṭu||||||||||4390
2166|*peṭ-|unpleasant, disagreeable, rough, stiff, inflexible, discourteous, uncivil; unpleasantness|0|peṭuku||||||||Also \Ibeṭṭa\i hardness, difficulty; hard, difficult; \Ibeṭṭu\i hardness, stiffness, rigidity, respect, awe; much, excessive; excessively, violently; [1] \Ibeṭṭidapu\i, [2] \Ibeṭṭidamu\i hardness, harshness, severity, violence, fury; hard, harsh, severe, stiff, violent; [1] \Ibeṭṭidũḍu\i, [2] \Ibeṭṭidurālu\i a furious or cruel person; \Ibeḍãda\i trouble, ado, complication; \Ibeḍidamu\i severity, harsh language; severe, harsh, much; \Ibeḍiyu\i to have a difference or misunderstanding, be on bad terms||4392
2167|*peḍḍ-|clod, lump of earth|0|peḍḍa||||||||||4394
2168|*penṭ-|the female of any animal or plant|1237|peṇṭi||||||||Also [1] \Ipeṇḍili\i, [2] \Ipeṇḍli\i, (modern) \Ipeḷḷi\i, (substandard) \Ipelli\i marriage; \Ipeṇḍlā̆mu\i wife, spouse, consort||4395
2169|*peṭṭ-|female of birds|1245|peṭṭa||||||||||4395
2170|*penḍ-|anklet|0|peṇḍemu|peṇḍā̆ramu|peṇḍē̆ramu||||||||4399
2171|*pedav-|lip|1232|pedavi||||||||||4400
2172|*bedar-|to fear, be afraid or alarmed, start, be startled; n. fear, fright, alarm, terror|133|bedaru|||||beduru|||Also \Ibedarincu\i to frighten, alarm, terrify, startle, bully, threaten; \Ibedarimpu\i frightening, threatening, bullying, threat; \Ibedarupōtu\i timid person||4401
2173|*pendal-|early, betimes, in time|0|pendala-kaḍa(n)|pendalāḍa(n)|||||||||4405
2174|*pōj-|to pour, cast in metal; (K also) (sweat, pus) forms|1310|pōyu||||||||Also \Ipō̃ta\i pouring, casting in metal||4407
2175|*pēr-|a necklace of pearls, beads, etc.|0||||||pēru|||||4408
2176|*pēr-|name, designation, reputation, fame, celebrity|1233|pēru||||||||||4410
2177|*per-|to grow, grow up, increase, accumulate, be augmented, expand, extend|1239|perũgu|perugu|pergu|peruvu|pervu||perddaḷ "elders"||Also \Iperũguḍu\i growth, increase; [1] \Iperime\i, [2] \Ipemme\i greatness, power, authority; \Ipērima\i grandeur, magnificence; \Ipērimi\i greatness, eminence; \Ipēru\i great, large, much; [1] \Ipērucu\i, [2] \Ipērcu\i to increase, rise, swell; \Ipekku\i many; [1] \Ipekkaṇḍru\i, [2] \Ipekkuru\i many persons; \Ipekkuva\i increase, growth, development, excess; \Ipedda\i great, big, large, long, tall, old, senior, chief, respectable; an elder, superior, head man; \Ipeddayu\i adv. much, very, exceedingly; \Ipeddi\i mother's elder sister; \Ipeccu\i excess, addition; \Ipenu\i (before consonant), \Ipenn-\i (before vowel) large, big, great; \Ipencu\i to enlarge; \Ipellu\i excessiveness, greatness; excessive, much, great; greatly, much, very; \Ipellidamu\i greatness, excessiveness; \Ipeluca\i much, exceeding; \Ipelucana\i greatness, excessiveness; \Ibebbuli\i a royal tiger||4411
2178|*per-|honeycomb, beehive|1240|pera||||||||Also \Iperayī̃ga\i a kind of honey bee||4412
2179|*per-|to break or snap, as a (marriage) thread|138|perugu|||||pempu "to destroy, ruin; n. damage, destruction"|||||4414
2180|*porak-|broom, broom-twig, straw|0|poraka||||||||||4415
2181|*beraḍ-|bark, rind, shell|1922|beraḍu||||||||Also \Ibaraḍu\i bark of a tree||4417
2182|*pel-|to fear, be alarmed|2032|pelukur̲u||||||||||4419
2183|*beḷ-|ring-dove|0|beḷa-guvva|beḷava|||||||||4420
2184|*per- (*-r̲-)|curdled milk, curds|1241|perũgu||||||||Also \Ipēru\i, (K also) \Ipēr̲u\i to congeal, curdle; \Ipēruḍu\i congealing, curdling||4421
2185|*peṭṭ-|to bear (young), lay (eggs)|1235|peṭṭu|||||perayu "to obtain"|||||4422
2186|*per̲-|to pull out, pluck up, uproot, tear up by the roots or from the foundation|1234||||||per̲uku, per(u)ku|||||4423
2187|*per̲-ug-|to swell, rise|1242|per̲ugu|||||per̲ũgu|||||4425
2188|*pēc-|trouble, difficulty, embarrassment|0|pēci||||||||||4429
2189|*prē-l-|to prattle, chatter, talk nonsense|1255|prēlu|pēlu|||||||Also \Iprēlari\i a prattler||4430
2190|*pēḍ-|eunuch, hermaphrodite|1249|pēḍi||||||||Also \Ipēḍe\i having no moustache, beardless man||4434
2191|*pen-|to nourish, nurture, foster, support, rear, fatten, increase, extend|2142|penucu|pencu|||||||Also [1] \Ipenupu\i, [2] \Ipempu\i nourishing, fostering, rearing, increase, enlargement; \Ipempakamu\i adoption of a child, rearing; \Ipempuḍu\i adopted; tame, domesticated||4436
2192|*pēd-a|poor, timid; poor man, servant|1247|pēda||||||||Also \Ipēdarālu\i poor woman; \Ipēdar̲ikamu\i poverty; \Ipēdar̲imi\i id., timidity; (SAN) \Ipēdagilu\i to become thin, poor; \Ipēdatanamu\i poverty||4437
2193|*pēnḍ-|dung of cattle|1253|pē̃ḍa|peṇḍa|||||||Also \Ipeṇṭa\i manure; \Ipeṇṭika\i hard excrement of sheep, goats, deer, etc.||4441
2194|*bēḍ-al|(pl.) split pulse|139|bēḍalu||||||||||4444
2195|*bēl-|simpleton; simple, ignorant|0|bēla||||||||||4445
2196|*pēr̲-|to pile or load up, arrange in a column or row|1248|pērucu|pērcu||||per̲uku "to carry loads"|||Also [1] \Ipērupu\i, [2] \Ipērpu\i piling or heaping up; \Iper̲ikāṭamu\i carrying grain on bullocks; \Iper̲ika\i a large sack or bag, (K) a bullock which carries loads||4446
2197|*pēn-|louse|1252|pēnu (\Ipl.\i pēlu)||||||||||4449
2198|*pai-|upper or external surface, exterior, top; upper; on, upon, above; in future, hereafter|0|pai|payi|||||||||4451
2199|*bokk-|hole, orifice, aperture, pit|1385|bokka|||||pokka "hole"|||Also \Ibokki\i toothless||4452
2200|*pogaḍ-|Mimusops elengi|0|pogaḍa||||||||||4453
2201|*pokk-, *bugg-|blister; vb. to blister|1306|pokku||||||||Also \Ibugga\i bubble; \Ibobba\i blister; ? \Ipō̃ta\i eruption of smallpox||4455
2202|*pogul-|to be sorrowful or afflicted|1860|pogulu|povulu|||||||Also \Ipokku\i id., grieve; n. grief||4456
2203|*bokkaṇ-|pouch, purse|0|bokkaṇamu|boŋkaṇamu|||||||Also \Ibokkaniya\i gram-bag, nose-bag; \Ibokkena\i id.; bucket for drawing water, leathern bag for bailing water out of a boat, etc.; (B) \Ipoŋkanamu\i purse, pouch; ? \Ibokkasamu\i money bag; treasury||4458
2204|*boŋk-|to lie; n. a lie; false, untrue|152|boŋku||||||||Also \Iboŋkincu\i to deceive, tempt; cause to tell a lie; \Iboŋkari\i a liar; \Iboŋkulā̃ḍu\i id.; fem. \Iboŋkulā̃ḍi\i||4459
2205|*pokkil-|navel; a depression|1297|pokkili||||||||||4460
2206|*boḍḍ-|navel|144|boḍḍu||||||||||4460
2207|*pok-|(Savara Dora dial.) mahua flower|0|poka||||||||||4461
2208|*bogg-|charcoal, carbon|145|boggu||||||||||4467
2209|*poŋ-|to bubble up, boil, effervesce, rejoice, be elated, be puffed up, be proud; n. boiling, bubbling, overflowing, effervescence, joy, pride|1336|poŋgu||||||||Also \Ipoŋgincu\i to boil (tr.), please, flatter, puff up, coax; \Ipoŋgali\i rice boiled in milk; \Ipoŋka\i pride, haughtiness; \Ibugulu-konu\i to increase, swell, rise; \Iboppi\i a swelling; \Ipompiri\i abundant, full||4469
2210|*pos-|to be favourable, suit, be agreeable, suitable, or fit, be congruous, consistent, or compatible, be got, happen; friendship to exist, good or friendly terms to exist or prevail|0|posãgu||||||||Also \Iposãgincu\i\i to cause to agree; \Iposãgimpu\i causing to agree; \Iposãguḍu\i agreeing, agreement; occurrence; obtaining||4474
2211|*bocc-|hair, down, wool|149|boccu||||||||||4477
2212|*boǯǯ-|belly, paunch|0|bojja||||||||Also \Ibojju\i pot-belly||4478
2213|*pol-|scales of fish|0|pola|polasu|polusu||||||||4480
2214|*poḍ-i|powder, dust, flour, meal; powdery, loose|1305|poḍi||||||||||4481
2215|*poḍ-|to rise, come up|1304|poḍatencu||||||||Also \Ipoḍamu\i, (K also) \Ipoḍmu\i to be produced, created; \Ipoḍamincu\i to create; \Ipoḍucu\i to rise (as the sun); \Ipoḍupu\i rising (as of the sun); \Ipoṭṭakar̲(r̲)a\i an unopened ear of corn, tender ear of corn just formed||4482
2216|*poḍ-|height, tallness, length; high, tall, long|1303|poḍugu|poḍuvu|poḍavu|||poḍugu "to grow lofty, increase"|||Also (Śaŋk.) \Ipoḍigincu\i to lengthen, heighten, raise, promote, increase||4484
2217|*poṭṭ-|scorpion|0|poṭṭi|poṭṭiya|||||||Also \Ipuṭṭa-tēlu\i large black scorpion||4488
2218|*poṭ-|to break, crack, burst, split, open in chinks|1333||||||poṭlu|||||4490
2219|*poṭṭ-|husk of grain, chaff|1332|poṭṭu||||||||||4491
2220|*boṭṭ-|the hollow shell of a tamarind fruit|0|boṭṭa||||||||||4491
2221|*boṭṭ-|a drop, the sectarian mark worn on the forehead|150|boṭṭu||||||||||4492
2222|*boṭ-a|thumb, big toe|151|boṭa vrēlu|boṭana vrēlu|boṭṭana vrēlu||||||||4493
2223|*poṭṭ-|belly|1334|poṭṭa||||||||||4494
2224|*poṭ-|to rise or swell up, as a boil|1331|poṭamarincu||||||||||4496
2225|*boṭl-|a sort of fish, Sparus|0|boṭla cē̃pa||||||||||4498
2226|*bonḍ-|gullet|0|boṇḍuga|boṇḍuva|||||||||4501
2227|*poduv-|udder|1298|podũgu|poduvu|||||||||4503
2228|*pod-|to prosper, flourish, increase|1296|podalu|||||poduru "to blossom, flower"|||||4504
2229|*bōd-|swollen|1299|bōda (SAN)|||||bōda kālu "elephantiasis"|||||4505
2230|*pott-|friendship, amity, agreement, partnership, holding in common|1329|pottu||||||||||4507
2231|*pod-|to cover, envelope, encircle, set (as a precious stone), imbed; hatch, sit on or over, brood on|1295|podugu|poduvu|||||||Also \Ipodupu\i to imbed; \Ipoduvu\i covering; [1] \Ipoda\i, [2] \Ipodaru\i bush, thicket, shrub; \Ipodarillu\i bower, arbour; \Ipodi\i quiver||4509
2232|*pott-|bark, a baby's linen, a sort of linen cloth|0|potti||||||||Also \Ipottika\i a small fine cloth; \Ipodugu\i a baby's linen||4515
2233|*bodd-|Macaranga Roxburghii|0|boddi||||||||||4519
2234|*bond-|small palmyra tree, (B) a small palmyra or wild date tree|0|bonda||||||||||4520
2235|*bobbar-|rind or bark of roots, etc.|0|bobbara||||||||||4524
2236|*bomik-|bone|146|bomika|bomike|bō̃ke||||||||4528
2237|*pomp-|nape of the neck|0|pompu||||||||||4529
2238|*bomm-a|puppet, doll, effigy, eyebrow|147|bomma||||||||||4530
2239|*bugg-|spring of water, fountain|0|bugga||||||||||4533
2240|*por-|to fry|1323|porãṭu||||||||Also [1] \Iproyi\i, [2] \Ipoyi\i, [3] \Iproyyi\i, [4] \Ipoyyi\i oven, stove, hearth; (??) [1] \Iborugulu\i, [2] \Iboruvulu\i (pl.) fried or parched rice; \Ipokkali\i stone fireplace (\Ikal\i stone)||4537
2241|*pōr-|to fight, contend, struggle, rival, compete; n. fight, battle, war, quarrel, rivalry, teasing, pertinacious crying (as of a child)|1341|pōru||||||||Also \Ipōritamu\i a fight; [1] \Ipuruḍincu\i, [2] \Ipuruṇincu\i to vie with, emulate||4540
2242|*por-|to occur, feel, get, obtain|1322|porayu||||||||Also [1] \Iporugu\i, [2] \Iporgu\i, [3] \Iporuvu\i neighbourhood; [1] \Ipondu\i, [2] \Iondu\i to feel, experience, obtain, get, (K also) be fit, suitable; n. fitness, friendship, obtaining, joining, union, copulation; \Ipondika\i fitness, contact, agreement, union; \Ipondincu\i to cause to obtain, gain or feel; \Iponta\i nearness; near; \Ipontamu\i friendship; \Ipontanamu\i a happy conjunction of the stars; \Iboddu\i heap, collection||4541
2243|*ponṭ-|for the sake of|0|poṇṭe||||||||(?) Also (SAN) \Ipurulu\i wealth, honour, nature, valour, beauty||4544
2244|*prōg-|earring|0|prō̃gu|pō̃gu|||||||||4545
2245|*pul-|blemish or flaw (as in precious stone)|1352|pulu|||||pulli-āku (pullāēku), pullɨ vistari "a leaf on which one has eaten food (lit. uncleanness leaf-plate)"|||Also [1] \Ipullayya\i, [2] \Ipullamma\i (apotropaic proper names)||4547
2246|*pol-|manner, mode|0|polamu|polupu|||||||||4548
2247|*pul-um-|to rub and wash with the two hands, scour|0|pulumu||||||||||4549
2248|*pol-i|gain|1315|poli||||||||||4550
2249|*pol-|to be suitable, agreeable, beuatiful, appear, seem, (K also) shine|0|polucu||||||||Also [1] \Ipolupu\i, [2] \Ipolpu\i beauty, agreeableness; [1] \Ipolãti\i, [2] \Ipolãtuka\i woman||4551
2250|*pol-|flesh, smell of flesh|0|pola|polasu|||||||||4552
2251|*pull-|platter made of leaves|0|pulliya|pulle|||||||||4554
2252|*prōl-|city|0|prōlu||||||pṛōl(u)||||4555
2253|*prodd-|sun, time, day, morning|1326|proddu|poddu|||||||Also \Iippuḍu\i, \Iappuḍu\i, \Ieppuḍu\i this, that, what time||4559
2254|*poḍ-|to pierce, prick, stab, thrust, gore, bore, perforate|1295|poḍucu||||||||Also \Ipoḍupu\i piercing, thrusting; \Ipōṭu\i a thrust, stab, pain, ache||4560
2255|*poll-|empty ears of corn, chaff, trash, useless thing or word; useless, fruitless, good-for-nothing|1316|pollu|polla|||||||||4562
2256|*boll-|to lie, tell lies; n. lie; adj. false|0|bollu||||||||Also \Ibolli\i a lie; false||4562
2257|*por̲aḍ-|humpback|0|por̲aḍu||||||||||4566
2258|*ponn-|gold|1319|ponnu||||||||||4570
2259|*pol-ij-|to die, be destroyed or spoiled|1313|poliyu||||||||Also \Ipoliyincu\i to kill; \Ipoliyika\i death, destruction||4571
2260|*pō-|to go, proceed, pass, be over, be lost, disappear, be ruined, die, begin|1337|pōvu (\Istems\i pō-, pōy-)||||||||Also \Ipōka\i going, movement, departure, conduct, behaviour; [1] \Ipōku\i, [2] \Ipōkaḍa\i going, conduct, behaviour, loss||4572
2261|*pōk-|wicked, mischievous person, scoundrel; wicked, lewd, profligate|1338|pōkiri||||||||||4574
2262|*bōŋk-|pot|0|bō̃ki|boŋki|||||||||4576
2263|*bōs-|toothless, empty|0|bōsi||||||||||4582
2264|*pōṭ-|competition, rivalry|0|pōṭi||||||||||4583
2265|*pōhaṇ- (?)|to string together|0|pōhaṇincu||||||||Also \Ipōhaṇa\i stringing together||4584
2266|*bōd-|trunk of a tree, cornice|0|bōdiya|bōde|||||||||4585
2267|*pōt-|male buffalo, male of an animal or bird|1346|pōtu||||||||||4586
2268|*bōd-a|young of bird|153|bōda||||||||||4587
2269|*pōr-|cloth|1340|pōruva||||||||||4590
2270|*prō-|heap, collection|1342|prōka|prōgu|||||||||4591
2271|*bōr-|chest, breast|1907|bōra||||||||Also [1] \Ibōragilu\i, [2] \Ibōragillu\i to lie or fall on the face or breast, be turned upside down; \Ibōrla\i on the face, face downwards; [1] \Ibōrlincu\i, [2] \Ibōragincu\i to turn upside down (tr.), invert||4592
2272|*ponc-|to lurk, lie in wait; n. lurking (also \Iponcika\i)|0|poncu||||||||||4596
2273|*pōl-|to resemble; be, exist, be good, beautiful, agreeable or well, be fit, proper, be possible; n. beauty, agreeableness, fitness, propriety|1339|pōlu||||||||Also [1] \Ipōlika\i, [2] \Ipōlike\i, [3] \Ipōlki\i resemblance; [1] \Ipōlucu\i, [2] \Ipōlcu\i to compare, liken, recognize, identify; \Ipōni\i resembling, similar, like; \Ibō̃ṭi\i id., equal; ? \Ipō̃ḍi\i beauty, elegance||4597
2274|*prō-|to split into filaments, draw out in threads|1345|prō̃ju|pō̃ju|ponju|||pō̃cu|||Also [1] \Iprō̃gu\i, [2] \Ipō̃gu\i thread, string, one strand in a cord||4599
2275|*bōḍ-|to shave|155|bōḍincu||||||||Also \Ibōḍimpu\i shaving; \Ibōḍu\i bald, shaven; \Ibōḍi\i id.; person whose head is bald or shaven; [1] \Ibōḍa\i, [2] \Ibōḍãḍu\i id., religious mendicant||4600
2276|*bōḍatara-m|Sphaeranthus hirtus Willd.|0|bōḍataramu||||||||||4601
2277|*pōr̲-|boy, child, young man|1344|pōr̲ãḍu||||||||Also \Ipōr̲i\i girl; \Ipōr̲igā̃ḍu\i boy, child||4603
2278|*bor̲-|hole, burrow, hollow, pit|154|bor̲iya|bor̲r̲e|||||||Also \Ibor̲r̲a\i hole, hollow, cavity in a tree||4604
2279|*bōl-|hollow|0|bōlu||||||||||4604
2280|*bōn-|trap, cage|0|bōnu||||||||||4606
2281|*prām-|to rub, smear, scrub, scour|0|prāmu|pāmu|||||||||4608
2282|*mag-|male|761|maga|moga|||||maganr̲u "son"||Also \Imagãṭimi\i manliness, bravery, prowess; \Imagãḍu\i husband, man, male, king, hero; \Imagatanamu\i manliness, virility, courage, bravery, boldness, spirit; \Imagadi\i male of any animal, beast or bird; \Imaganālu\i wife, married woman; \Imagapāḍi\i manliness, honour, bravery; \Imagalāgu\i manliness; \Imagavā̃ḍu\i man, male, hero; \Imaguva\i woman; \Imaguvatanamu\i womanhood||4616
2283|*maguḍ-|to turn back, return|760|maguḍu|||||magucu "to cause to return, turn back"|||Also [1] \Imaguḍincu\i, [2] \Imaguḍucu\i, [3] \Imaguḍcu\i to turn or bring back, avert; [1] \Imagiḍi\i, [2] \Imaguḍa\i again, anew, back, in return; \Imakkaḷincu\i to turn back; change, adjust||4617
2284|*makker-|big basket made of date leaves, used to carry manure or grain on cart|0|makkera (VPK)|makkiri (VPK)|||||||||4620
2285|*magg-|loom|0|maggamu||||||||Also \Imaggari\i weaver||4624
2286|*masak-|dimness, duskiness, darkness, obscurity, dimness of sight|0|masaka|masakana|||||||||4627
2287|*macc-|sample, specimen, type, model, pattern, standard, the touch of precious metals, quality|0|maccu||||||||||4629
2288|*maǯǯ-|buttermilk|0|majjiga||||||||||4630
2289|*macc-|terrace|0|maccu||||||||Also \Imasela\i loft in a house||4631
2290|*macc-|spot, speck, stain, blot, blemish, mole, freckle, scar|803|macca||||||||||4632
2291|*manǯāḍ-|a certain weight used in weighing diamonds|0|manjāḍi|manjāḷi|||||||||4636
2292|*manc-|dew, mist, fog, frost|783|mancu||||||||||4641
2293|*maḍ-|fold, plait|753|maḍãka||||||||Also [1] \Imaḍãgu\i, [2] \Imaḍũgu\i, [3] \Imaḍuvu\i, [4] \Imaṇãgu\i, [5] \Imaṇũgu\i to bend, be bent, be doubled, fold, be folded, turn back, return, (K also) be submissive; [1] \Imaḍãcu\i, [2] \Imaḍũcu\i, [3] \Imaṇũcu\i, (K also) \Imaṇãcu\i to fold, plait, double, bend, turn in; \Imaḍata\i, (K also) \Imaḍãta\i a fold, plait, crease; \Imaḍata peṭṭu\i to fold, double up, crease; \Imaḍi\i (so many) times; \Imaḍũgu\i a time (e. g. \Ireṇḍu\i \Imaḍũgulu\i twice as much, \Iayidu\i \Imaḍũgulu\i five times as much); \Imaḍupu\i a fold, plait, fold or roll of betel leaf; \Imuḍuta\i fold, doubling||4645
2294|*maḍamb-|a geographical division|0|||||||maḍambamu||||4646
2295|*maḍ-|woman|755|maḍãti|maḍãtuka|||||||Also \Imaḍiyãḍu\i fool; \Imaḍḍi\i dull, stupid, awkward, clumsy; \Imaḍḍitanamu\i stupidity, dullness, rudeness, rusticity, clownishness||4647
2296|*maḍam-|heel|758|maḍama||||||||||4649
2297|*maḍ-|to become useless, worthless, hesitate, shrink, dislike|754||||||maḍavu|||||4652
2298|*maḍ-|to die, expire, perish|757|maḍiyu|||||maḍãgu "to be destroyed"|||Also \Imaḍiyincu\i to kill, put to death; (K) \Imaḍãcu\i to destroy, kill||4653
2299|*maḍ-|purity, state of being unpolluted; a pure or unpolluted cloth|756|maḍi|maḍũgu|||||||Also [1] \Imaḍivālu\i, [2] \Imaḍivēlu\i washerman; fem. \Imaḍiyālu\i||4654
2300|*maḍ-|field, garden bed|0|maḍi||||||||||4655
2301|*maḍak-|plough with bullocks complete|0|maḍãka||||||||||4656
2302|*maḍapal-|kitchen|0|||||||maḍapali||||4657
2303|*maḍ-ug-|pond, tank, basin, lake, pool or collection of any liquid in a pit or hollow|759|maḍũgu||||||||||4658
2304|*maḍ-|small opening out of a channel into a field|0|maḍa||||||||Also \Imaḍava\i id., small dam or dike for stopping water||4659
2305|*maṭṭ-|level, a levelling instrument, a level|808|maṭṭamu||||||||Also \Imaṭṭu\i limit, bound, restriction, measure, extent, degree; limited, moderate; \Imaṭṭugā\i moderately, limitedly||4660
2306|*maṭṭ-|to decrease, diminish, abate (intr.)|807|maṭṭagu|maṭṭu-paḍu|||||||Also [1] \Imaṭṭagincu\i, [2] \Imaṭṭu-cēyu\i to abate (tr.); \Imaṭṭamu\i inferior, poor, bad, indifferent; \Imaṭṭasamu\i small, petty, scanty; \Imaṭṭasi\i a dwarf; \Imaṭṭu\i limited, stinted, small, little, scanty; \Imoṭika\i a remaining piece, remnant|Tel. \Imoṭika\i probably borrowed from Kannada.|4661
2307|*maṭṭ-|branch or bough of any palm tree, leaf of the aloe, cabbage, or of similar plants, a young palm tree|806|maṭṭa||||||||||4663
2308|*maḍḍ-|the resinous juice of Ailantus malabarica|0|maḍḍi-pālu||||||||||4665
2309|*man-|earth, mud, soil, dirt|786|manu|mannu|||||||||4666
2310|*man-uv-|marrying a husband, marriage of a woman|787|manumu|manuvu|||||||||4667
2311|*maṇikaṭṭ-|wrist|2070|maṇikaṭṭu|manikaṭṭu|||||||Also \Imaṇḍa\i ankle; back of the hand||4673
2312|*maṇ-ij-|office or duties of the manager of a temple|0|maṇiyamu||||||||Also \Imaṇiyagā̃ḍu\i subordinate revenue officer under a tahsildar, one who manages the affairs, or the manager, of a temple||4674
2313|*maḍḍ-|lees, sediment or refuse of any liquid, dregs; foulness, dirtiness, turbidity; foul, turbid|0|maḍḍi||||||||Also \Imasṭu\i sediment, lees, settlings, dregs, refuse, scum, dirt||4676
2314|*manḍ-|kneeling on one knee|832|maṇḍī̆||||||||||4677
2315|*manḍ-|to burn, blaze, flame, cause or produce a burning pain, be angry, be in a fury or violent rage, be envious|779|maṇḍu|||||mrandu "to be consumed by fire, burn"|||Also \Imaṇṭa\i flame, blaze, burning pain, anger, wrath, fury, envy; \Imaṇḍincu\i to burn (tr.), inflame, provoke, irritate; \Imaḍḍu\i great heat, redhot iron, brand; very hot||4680
2316|*maṭṭ-|to be thronged, spread; besiege, surround|780||||||maṭṭu|||||4681
2317|*mas-|to rage, be enraged or furious, increase, rise or swell, be extended|747|masãgu||||||||Also \Imasakamu\i copulation, sexual desire or inclination; \Imasakonu\i to feel sexual desire, yield, melt, be charmed; \Imasaru\i frenzy, fury, absorption; (K also) vb. to grow frenzied, arrogant, proud; \Imasalu\i to boil well or violently, bubble; \Imadincu\i to become fat||4687
2318|*mad-|sluice, floodgate, watergate|0|madugu|madumu|maduvu||||||||4688
2319|*vadin-|an elder sister-in-law, elder brother's wife, husband's or wife's elder sister, whether older or younger than oneself (though always elder in the former case according to Hindu custom, the husband being always older than the wife), paternal aunt's or maternal uncle's daughter older than oneself|0|vadiniya|vadine|||||||||4690
2320|*madur-|coping of a wall|0|maduru|magulu|||||||||4692
2321|*mandār-|cloudy, gloomy, dark weather|0|mandāramu (B)||||||||||4697
2322|*mand-|flock, herd, drove, pack, (B also) place where flocks or herds are kept outside a village, hamlet inhabited by herdsmen|778|manda||||||||Also \Imandi\i crowd, collection of persons; retinue, following, infantry||4700
2323|*mannem|highland, upland|0|mannemu||||||||||4701
