NUMBER|PROTO|MEANING|PRNUM|KUI|KUTTIA|KUWI̲F|KUWI̲S|KUWI̲SU|KUWI̲P|KUWI̲T|KUWI̲D|KUWI̲MAH|KUWI̲ISR|ADDITION|NOTES|DEDNUM
1171|*tēg-|to be confused, confounded|0|tēgali āva||||||||||||3454
1172|*Tēk-|to vomit; n. vomiting|817|tēpka (< tēk-p-; tēkt-)||||||||||||3451
1173|*tēkl-|fastidious person|0||||||||||tēkla (masc.), tēkli (fem.)|||3453
1174|*tēl-|to float|818|tlēpa (tlēt-) "(liquid) to stand in a depression"||tēlali|||||||tēl- (-it-) "to float, overflow"||The vowel \I-ē-\i in Kui (\I-ā-\i should be expected) shows that the form is recent, probably "fresh-formed" with a causative marker.|3464
1175|*tēlk-|to put out tongue|0|tlēpka (< tlēk-p-; tlēkt-) "to put out the tongue, thrust forth from a cavity"||tekh- "in: \Ivendōri tekhmū\i put out your tongue!"|||||||||In Kuwi̲F \I*tēlk-p-\i > \I*tēk-h-\i.|3430
1176|*tēr-|to lay down|819|trēppa (trēpt-) "to cause to lie down, lay out, stretch out full length"|||||||||trip- (-h-) "to lay down, make one sleep"||The form with \I*-ē-\i is indicated mostly by external data, since vowel correspondences here are unclear.|3425
1177|*tiʔn-i|right|820|tini "right-hand"||ti'ni|tī'ni kēyu "right hand"|ṭi'ni|tini|||||Also Kui \Itini kaju\i right hand|Initial retroflex in Kuwi̲Su probably misspelled.|3263
1178|*tinVŋ-/*tīj-|straight|821|||tinana||tinaŋa||||tiamne|tīye||I can't think of a way to reduce these variants to a single protostem; maybe we deal with two different roots.|3264
1179|*tin- (caus. *tīc-)|to eat|822|tinba (tis-) "to eat, enjoy the proceeds of; n. eating, food"||tinjali (tic-)|tinnai|tin- (ticc-/cicc-)|tin- (ticc-/cicc-)|||tiṇbu "eating"||Also Kui \Itīspa\i (\Itīst-\i) to feed someone on something; n. act of feeding someone; Kuwi̲F \Itīssali\i, Kuwi̲Su \Itīh-\i (\Itīst-\i) to feed; Kuwi̲S \Itinpu\i eating||3263
1180|*tir- (-e-)|to turn|823|tihpa (tiht-) "to turn about, turn back, change round, alter, repent; n. act of turning about or back, repentance"||tipali "to turn round"|tirwikīnai|triv- (-it-) "to spin, revolve"|||||rēvu "path (animal)"|Also Kui \Itrehpa\i (\Itreht-\i) to cause to wander, carry about, hawk for sale; \Itrespa\i  (\Itrest-\i) to carry around; \Itrēba\i (\Itrēt-\i) to wander around, go for a walk; \Iterpa\i  (\Itert-\i) to twist, wind, wrap around; ? \Itija\i (\Itiji-\i) to turn back, return, retreat; n.  act of turning back, etc.; Kuwi̲F \Itiṛvali\i to turn oneself round; \Itṛīcali\i to twist;  \Itēṛmbali\i to  wallow; \Irejali\i to wander, roam; Kuwi̲S \Itermpinai\i to roll; \Itreph'nai\i to involve, lap; \Irēnai\i to ramble, stroll; Kuwi̲Su \Ire'-\i (\Irecc-\i) to wander, roam;  Kuwi̲Isr \Irēh-\i (\I-t-\i) to go about selling|All these numerous forms are descended from a single root \I*tir-\i, and although some of the derivatives can be traced to an even earlier period than PK (probably even PDR), it is still convenient to regard them as derivatives even in the limits of PK. Kuwi̲F \Itipali\i is strange  (\I*tirhali\i would be expected). It is either a borrowing from Telugu or else the form is extremely archaic, inherited from the period when \I*-rp-\i > \I*-pp-\i. In this case the comparison Kuwi̲F  \Itipali\i - Kui \Itihpa\i (possibly from \I<*tī-pa\i) is justified. As for other lexemes, the form  \I*ter-v-\i/\I*tir-v-\i is archaic (we have, for example, Konda \Itirvi-\i 'to return'). Both the  simple form (\I*tri-v-\i) and its causative (\I*tir-p-\i < \I*tri-v-p-\i) can be reconstructed for  PK. Kui \Itrehpa\i probably goes back not to \I*trespa\i, but to \I*trēpa\i, being thus a causative of \I*triva\i. The loss of initial \I*t-\i in several Kuwi forms is not clear (due to contamination with \I*re-\i 'to pull'?).|3246
1181|*tir-|clear; shining|1265|tiri "clear, shining, bright, pure, holy"|||||||||tripu ā- "to come to one's senses"|Also Kui \Itiri giva\i to make clear and pure, refine; \Itiri tiri inba\i to be clear, shining, pure, holy; \Itirna\i clearly, brightly, purely, completely|Exact relationship of these two forms unclear.|3419
1182|*tij- (*-ǯ-)|to wake up (intr.); n. act of awakening|0|tija (tiji-)||||||||||Also Kui \Itispa\i (\Itist-\i) to awaken (tr.); n. act of waking someone||3471
1183|*tīr-|to judge|824||||tīr-, tīrj-|||||||Also Kuwi̲S \Itīrpu\i judgement||3278
1184|*tīr-i|small bamboo cage to catch fish or crab|825||||||||||tīri|||3262
1185|*tlāŋ- (caus. *tlāk-) (*tḷ-)|to rock, shake|0|tlānga (tlāngi-) "to be rocked to and fro, pitch, sway, be tossed violently backwards and forwards and up and down"|||||||||dulp- (-it-) "to shake (tr.)"|Also Kui tr. \Itlāpka\i (< \Itlāk-p-\i; \Itlākt-\i)|The form in Kuwi̲Isr most certainly represents the same root; however, it seems to be borrowed from Telugu \Idulupu\i, since there are no obvious reasons of voicening in Kuwi̲Isr.|3359
1186|*tlī- (*-ḷ-)|to twist|826|tlīpa (tlīt-)||||||ṭiṇ-|||||Kuwi̲T \Iṭiṇ-\i 'to twist' is probably not related.|3258
1187|*tlōmba|priest|0|tlōmba mīḍa "a Kond boy through whom the offering is made to the earth god at the meriah sacrifice"||thṛomba|trōmba, trombeesi (fem. trombēni)||||||tromba "priest of the village"|||3567
1188|*tḷōŋ-|to melt|0|tlōnga (tlōngi-) "to be melted, dissolved, melt (intr.)"|||glōnginai||gṛōŋg- "to melt (2)"|||||||2263
1189|*toʔla|jack-fruit (edible parts)|0|||tōla|||||||toʔla|||2704
1190|*tol (obl. *toǯ-)|floor|827|||chōjjō|dojjo|||tojo|||tojo|Also Kuwi̲S \Itojjo\i ground (the Kuwi forms are originally locatives of \I*tol\i)|Initial \Id-\i and \Ich-\i are due to assimilation.|3518
1191|*tol-i|before, formerly|828||||tolli, tollie|toli||||||||3516
1192|*torg- (caus. *trok-)|to roll; to fall down|829|tronga (trongi-) "to roll, (child) crawls; n. rolling, crawling"|||torginai "to fall down"|torg- "to fall"|torg- "to fall"||||torg-/trog- (-it-) "to fall"|Also Kui \Itropka\i (\I<trok-p-\i; \Itrokt-\i) to cause to roll, roll something over and over; \Itorga\i (\Itorgi-\i) to writhe; n. writhing; Kuwi̲Isr \Itrok-\i (\I-h-\i) to drop, demolish, fell|The form \Itronga\i in Kui is secondary, being formed by means of a productive model on the basis of the causative \Itropka\i < \I*trokpa\i.|3514
1193|*toṛk-|(Letchmajee) thief; (K) thief|0|torka|toṛkenji|||||||||||3483
1194|*tot-|to stammer|830|||tothali "to mumble, stammer"|toth'nai|||||||||3503
1195|*toṭ-o|side|831||||totto|ṭoṭṭo||||||||3040
1196|*tōḍ-a|lip|832|ṭōḍa||||||||||||3296
1197|*tōɣ-a|fig|833|tōga "fig, fig-tree"|||tōya|||||||||3537
1198|*tōɣ-|to kick|834|tōga (tōgi-) "to kick; n. a kick"||toiyali|toyinai "to spurn"|toy-|||doy- (-it-) "to tread on, trample"||doy- (-it-) "to kick, step on"||Initial \Id-\i in Kuwi̲D and Kuwi̲Isr is probably assimilated to the voiced \I*-ɣ-\i; however, this cannot be proved, since this is the only example, and no other consonants show any traces of such a voicening.|3539
1199|*tōl-a|egg|1258|ṭōla "lump, excrescence, egg"|||||tōla|tōla|tōla||||The initial \Iṭ-\i in Kui can be understood only if we suppose the existence of a parallel variant \I*ṭōḍa\i (where \I*-l-\i > \I*-ḍ-\i, as it does regularly; cf. PK \I*tōlu\i).|3560
1200|*tōl-u|skin, hide|835|ṭōḍu (pl. ṭōṭka) "buffalo hide (from which bellows or shields are made)"||tōlū|tōlu|tōlu (pl. tōlka)|tōlu (pl. tōlka)||||tōlu (pl. tōlka)||The root may be related to \I*tōla\i 'egg'.|3559
1201|*tōnḍ-|to begin, initiate, attempt; n. beginning, attempt|0|ṭōṇḍa (ṭōṇḍi-)||||||||||Also Kui pl. action \Iṭōṭka\i (\Iṭōṭki-\i)||3481
1202|*tōnǯ- (caus. *tōc-)|to appear, seem|836|tōnja (tōnji-), tōmba (tōmbi-) "to appear, seem; n. appearance"||tonja-aiyali "to appear"|tōnjinai "to seem"|cōnj- (-it-) "to appear"|||||tōnj- (-it-) "to appear"|Also Kui \Itōspa\i (\Itōst-\i) to cause to appear, show, expose; n. demonstration, revelation; Kuwi̲F \Itōssali\i to show; Kuwi̲S \Ituh'nai\i to manifest; Kuwi̲Su \Itōh-\i (\Itōst-\i) to show; Kuwi̲Isr \Itōh-\i (\I-t-\i) to show||3566
1203|*tōṇ-/*tōṛ-|friend|837|tōṛe "friend, friendship"||toňesi "friend (amongst men)"|||||||tōṇe, tōṇeʔesi, tōṇesi|Also Kui \Itōṛu\i friendship; \Itōṛenja\i, \Itōṛenju\i male friend; fem. \Itōṛeli\i, \Itōṛali\i; Kuwi̲Isr \Itōṛu\i companion; \Itōṛa ā-\i to accompany|The gradation \I*-ṇ-/*-ṛ-\i here probably goes back to PK. External data points to an original root \I*toṛ-\i 'friendship, company' and to its suffixed form \I*toṛ-n-\i 'friend, relative'.|3563
1204|*tōṇp-|cow's bell|0||||||||||ṭōṇpa|||2948
1205|*tōṛ-|to be liquid, flow, trickle|838|tōṛa (tōṛi-)||||||||||||3523
1206|*tōṭr-|throat (lower)|839||||tōtro||||||ṭōṭra|Also Kuwi̲Kar \Iṭoṭro\i throat (lower)||2984
1207|*trig-|to shiver, tremble|840|tirga (tirgi-) "to shiver, tremble; n. shivering, trembling"||tṛīgali "to shiver"|trīginai "to tremble"||||||trig- (-it-) "to shiver"|Also Kui \Itrikna\i in a startled manner; \Itriki inba\i to be startled|The variant \I*trig-\i is probably primary here; in Kui it probably > \I*tirg-\i because of the short vowel. However, this is not certain; although the nearest relatives do have \Itrig-\i (so in Pengo and Manda), other CDR languages have \Itirg-\i (Konda and Kolami-Gadba). Indeed, there may have been a variation.|3253
1208|*trō-|to press, poke|1355|trōpa (trōt-) "to press something forward with the fingers, massage"|||||||trō- (-t-) "to poke (fire)"|||||3340
1209|*trōǯ- (< *tōrǯ-)|to grow in body, become mature and well-developed|1353|trōja (trōji-)||||||||||Also Kui pl. action \Itrōska\i (\Itrōski-\i)||3557
1210|*tru-k-|to bore, pierce|841|trupka (< truk-p-; trukt-)||||||||||Also Kui \Itruspa\i (\Itrust-\i), \Ituspa\i (\Itust-\i) to pierce a hole, breach; \Itrūva\i (\Itrūt-\i) to be pierced, holed; \Itrunga\i (\Itrungi-\i) to become a hole, be pierced|The root is formerly bisyllabic (\I*trūva\i < \I*turu-a\i).|3339
1211|*tṛaʔ-na|liver|842|tlāḍa, trāḍa|tṛāḍaŋga|thṛā'na||tra'na|tāḷḷa||||traʔna||For a similar development in Kui see 1132.|3120
1212|*tuc-|to shut, block up|843|||cūcū "lid"|cucu "cork, stopper"|cuc- "to block up"|||||tuc- (-it-) "to shut (door)"|||3367
1213|*tuR-|to wear|844|tubga (<tug-b-; tugd-) "to fasten a necklace; n. act of fastening"|||turh'nai|tur- (-h-) "to put on, wear (shoes)"|||||turh-/truh- (-it-) "to put on, wear (shoes, clothing, etc.)"||Kuwi̲Isr forms are different: they go back to \I*tuR-s-\i and follow the \Iit-\iconjugation.|3482
1214|*tumb-a|quail|845|tumba||tūmba|||||||tumba|||3327
1215|*tum-|to sneeze|846||tumb- (-it-)|tūhmali|tūminai|tumm-||||||Also Kuwi̲S \Itūmu\i a sneeze|The vowel is short, as shown by external data; we should note that auslaut verbal \I-m-\i, being extremely rare, is treated differently in dialects and often gets free variants (thus, in Kuwi̲S there seems to be a variation between the geminated \I-mm-\i and the simple \I-m-\i plus vowel lengthening).|3336
1216|*turk-i|refuse|847|turki "refuse heap, manure"||||truki||||turki|turki/trūki "place for village rubbish"|||3346
1217|*tuh-|to cast away, throw away|848|tuhpa (tuht-) "to cast away, throw off, abandon, leave, except, relinquish, let alone, let be; n. abandonment, relinquishing"||tūssali (tūst-) "to throw away"||tuh- (tust-) "to throw away; also used as an auxiliary"||||||||3365
1218|*tūgu|blood, bloody fluid|0|tūgu||||||||||||3284
1219|*tūṇ-|to slay; to cut|849|ṭūṇu (pl. ṭūṇga) "log of wood, large beam or block of wood"||tūrhali "to behead"|tun- "to slay"|ṭuṇ- (-h-) "to cut with axe"||||ṭuṇpu "a cut"|ṭūṇ- (-h-) "to cut, kill"|Also Kuwi̲S \Itūnh-\i to slaughter; \Itūnpu\i the slaughter|In Kuwi̲S \Itūnpu\i is probably a plural action causative form.|3305
1220|*tūp-i|trap for fish, rats, etc.|850||||||||||tūpi|||3386
1221|*tūr-ŋ- (caus. *trūk-)|to swing, sway|851|drūnga (drūngi-) "to swing, sway, shake, oscillate; n. a swinging motion"|dūŋg- "to hang"|tūngali "to sway"|tūnginai "to swing (intr.)"|tūŋg- (-it-) "to hang (intr.), be hanging"||||||Also Kui \Idrūngoli\i, \Idrūngoni\i a swing; \Idrūpka\i (< \Idrūk-p-\i; \Idrūkt-\i) to cause to swing or sway; n. act of swinging someone; \Itrupka\i (< \Itruk-p-\i; \Itrukt-\i) to oscillate, swing up and down; Kuwi̲F \Itūkhali\i to swing, weigh; Kuwi̲Su \Itūk-\i (\I-h-\i) to hang, hang up, weigh|The inlaut resonant is probably secondary in this root (both SDR and NDR have \I*tūng-\i).  Nevertheless, Manda has \Itrūŋg-\i, which makes us suggest that the resonant was indeed present in  Proto-Khond and does not represent a Kui innovation. In Kui initial \Id-\i is due to assimilation  with several resonants; the original voiceless \It-\i is preserved in \Itrupka\i.|3376
1222|*tūt- (?)|to bore|0|||tūthali|||||||||If not borrowed from Telugu.|3399
1223|*tūt-|to bend down|852|tūspa (tūst-) "to bend down and turn the back upon a person"|||||||||tūt- (-h-) "to stoop, bend down"|||3382
1224|*tūt-|to speckle, intersperse, powder|0||||tūth'nai|||||||||3398
1225|*tūṭ-|stomach, belly|0|ṭūṭu (pl. ṭūṭka) "stomach, abdomen, belly, seat of understanding"||tūdri "pregnant"||||ṭūṭi "stomach"|||ṭūṭi "stomach"|Also Kuwi̲F \Itūdri aiyali\i, Kuwi̲T \Iṭūḍri ā-\i to be pregnant|The form \I*tūḍri\i < \I*tūṭri\i 'pregnant' seems to belong to PK as well.|2967
1226|*tūṭ-|to sprinkle (e.g. salt on food)|853||||||||||ṭūṭ- (-h-)|||3402
1227|*tjunḍ-|to close, shut|0|ṭunḍa (ṭunḍi-) "to shut, close, stop up; n. act of shutting"||sūndali|tunḍinai "to close"|sunḍ- (-it-) "to shut"|sunḍ- (-it-) "to shut"|suṭ- "to shut (door), block up hole"||śunḍ- "to close"||Also Kui pl. action \Iṭuṭka\i (\Iṭuṭki-\i); (Mah) \Iṭonḍ-\i = \Iṭunḍa\i; Kuwi̲S \Idundinai\i to shut; \Iḍundinai\i to latch; \Italomi ḍundinai\i to lock; \Ithundamu\i bolt|The unique initial cluster \I*ty-\i is reconstructed on the base of correspondences \It-\i - \Ic-\i  in different Kuwi and Kui dialects. The phoneme \Iś-\i in Kuwi̲Mah makes it clear that we have to  deal  with  a  special phoneme/cluster, not the gradation \I*t-/*c-\i in PK. The  form \I*tyunḍ-\i certainly goes back to \I*tuy-nḍ-\i < \I*tuy-\i, which is certainly the same with PDR \I*tur̲-\i 'to block up, stuff, shut'.|2962
1228|*ṭaɣk-|stone of mango fruit|854|ṭahi "stone of the mango fruit"|||||||||ṭāku "stone of mango fruit; kidney"|||2941
1229|*ṭēk|teak|855|||||ṭēk||||||||3452
1230|*ṭik-ʔuṛi|buttock|856|ṭikuṛ (Mah)||||ṭik'uri||ṭikuṇi||ṭikuṇ(i)|ṭikʔuṛi|||2953
1231|*ṭil-i|squirrel|857|||tilli||ṭilli||||ṭili orli||||2959
1232|*ṭīni|a bell|0|ṭīni||||||||||||2954
1233|*ṭōk-|rear part of the cranium, base of the skull|0|ṭōkoli||||||||||||2979
1234|*ṭup-|short|0|ṭupa "short, dwarfish"||tūpla|tubla|||||||Also Kui \Iṭupagaṭanju\i a short man or boy, dwarf; fem. \Iṭupagaṭari\i; \Iṭupri\i short; \Iṭupura\i a short man or boy; fem. \Iṭupuri\i; Kuwi̲F \Itūpla kīali\i to shorten; Kuwi̲S \Itupla\i dwarf||2964
1235|*ṭūki|nest of a white anthill|0|ṭūki||||||||||||2990
1236|*ub-|to have indigestion|0||||||||||ub- (-it-)|||678
1237|*uR-|to collide, to butt|858|ubga ( < ug-b; ugd-) "to collide, strike against, butt"||ūrhali "to butt"||ur- (-h-) "to butt, gore"||||||Also Kui \Iuska\i pl. action.||706
1238|*uR-|to agree with, suit, fit, fulfil|1310|ubga (< ug-b-; ugd-)||||||||||||710
1239|*uh-|to plant|859|uha (uhi-) "to plant, transplant"||ūhali|uhinai|uh-|uh-|||||?  Also Kui \Iusa\i (\Iusi-\i) to set a post into the ground, kneel; \Iuta\i (\Iuti-\i) to kneel.|Kui \Iusa\i and \Iuta\i cannot be related to Kui \Iuha\i (all three represent PK \I*uc-\i, \I*ut-\i and \I*us-\i); possible relationship on a higher level is, however, not excluded.|763
1240|*uǯj-e-|truth; false|1388|uje, ujene|truth, accuracy, certainty; true, etc.; truly, etc.|ūjjoje'e "falsely"|ucee veh'nasi\i "liar"|||||||Also Kuwi̲F \Iūjje'e\i falsehood.|This cluster is reconstructed because of irregular devoicening in Kuwi̲S, which cannot be explained otherwise.|583
1241|*ul-i (*-ḷ-)|onion|860|||ūlli|ulli gidda\i|ulli||||||Also Kuwi̲F \Ivella ūlli\i garlic.||705
1242|*uḷm-a|tick, parasite|861|ḍūmba "tick, insect parasite"|||lūma "horsefly"|ṛu'ma "tick"|||||ṛu'ma "tick"||In Kui \I*-ḷm-\i > \I*-lm-\i. The cluster was then split in all dialects, implying either the glottal stop or vowel lengthening.|591
1243|*umuŋ|to fall prostrate|0|umung uta (uti-)|||||||||||If not borrowed foom Munda.|641
1244|*unḍ-e|wheel|862|||ūnda|unḍe||||||uṇḍa|? Also Kuwi̲Isr \Iuṇḍḷa\i wave.||664
1245|*uṇ- (caus. *ūṭ-)|to drink|863|uṇba (uṭ-) "to drink, partake of food, smoke tobacco"||ūndali|unnai "to drink, suck"|un-|||||uṇ-|Also Kui \Iūṛpa\i (\Iūṛt-\i) to cause to drink, give to drink, suckle;  \Iūṭpa\i (\Iūṭṭ-\i)  idem; Kuwi̲F \Ipālū ūndali\i to suck; \Ipālū ūthali\i to suckle; Kuwi̲Su \Iūṭ-\i (\I-h-\i) to give to drink; Kuwi̲Isr \Iūṭ-\i to give to drink\I|In Kuwi̲F the form is irregular (\I*urhali\i would be expected); as it is, it can only be traced    back to \I*unḍ-\i with an irregular \I-ḍ-\i developed after the original nasal. This can be   attributed to the process of "reforming" the original simple stem by "hypercorrection": that is, the   causative \Iūthali\i < \I*ūṇ-pali\i could be reinterpreted as from \I*ūnd-pali\i (which is, in   fact, a far more frequent situation). One cannot also exclude  an analogy with \Ionda\i 'boiled rice',  which, although on the PK level it is a different  root, probably is of the same origin.|600
1246|*up-|to boil|864|||ūpali|||||||up- (-it-) "to boil food"|||679
1247|*ur-|to boil; to swell|865|urpa (urt-) "to seethe, boil, bubble, emit froth"||ūrhali "to boil over"|urh'nai "to swell (boiled milk)"|||||||||666
1248|*ur-|to ooze, spring up, sweat|866|urpa (urt-)||||||||||||761
1249|*urk-|to dance|867||||||||||urk- (-it-)|||713
1250|*ur-su|noose, snare|868|rusu, ruhu "noose, snare, trap"||ūṛṛū (pl. ūṛka) "snare"|urru "hanging"|huru  (pl. -ka) "snare"|||||uru (pl. -ka) "snare"|Also Kuwi̲F \Iūṛu ogali\i to noose; Kuwi̲S \Iuruta herh'nai\i id.||655
1251|*us-|to pierce|869|||||uh- (ust-)|||||uh- "to stab"|||663
1252|*us-|to pestle, pound|870|uhpa (uht-) "to strike against, impress, make a mark, write"||ūssali "to pound paddy"|uh'nai "to pestle"|uh- (ust-) "to pound paddy"||||||||583
1253|*uŋ-/*ūg- (caus. *ū̆k-)|to take off; to strip|871|ūga (ūgi-) "to be stripped off, split off, skinned"||hūngali "to be opened"|hunginai "to recede"|huk- (-h-) "to take off (clothes), flay (\Itōlu huk-\i)"|||||huŋg- (-it-) "to become loose"|Also Kui \Iūpka\i (< \Iūk-p-\i; \Iūkt-\i) to strip off, skin; n. skinning; Kuwi̲F \Ihūkhali\i to open; \Itōlū hūkhali\i to skin; Kuwi̲S \Ihuk'nai\i to extricate; \Ihukk'nai\i to undress, loose; \Itōlu hukk'nai\i to skin; Kuwi̲Isr \Ihuk-\i (\I-h-\i) to untie, loosen|The most strange thing about this root is not the irregular aspiration in Kuwi (which is, indeed, met quite often before \I-u-\i and probably reflects a specific aspirative character of this vowel), but the variation \I-ng-\i in Kui and \I-g-\i in Kuwi. It is impossible to determine the exact variant of the root; we may only suggest that the simple form is secondary either in Kuwi or Kui (or both?), being formed by analogy with other similar roots.|757
1254|*ūd- (caus. *ūt-)|wet, damp|872| "to get wet"|ūd-|ūdali "to become wet"|ūth'nai "to wet"|ūd- (-it) "to become wet, damp"|||||ūd- (-it) "to become wet, damp"|Also Kuwi̲F \Iūthali\i to moisten; Kuwi̲Isr \Iūt-\i (\I-h-\i) to make wet, damp.||743
1255|*ū-|that|873|oanju, oaru, ōri, ōvi "that male, those males, that female or thing, those females or things (at the greatest distance)"||ūasi, ūari, ūdi, ūati "that male, those males, that female or thing, those females or things"|hūvasi, hūvari, hūdi, hūvi/hūaska "that male, those males or females, that female or thing, those females or things"|||||||Also Kui adj. \Iō\i; \Ioko\i adj., adv. distant, far away; \Iokoki\i to a distance away; \Iokoṭi\i from a distance; \Iomba\i there, yonder; \Ione\i adv. that way, that side; \Iōse\i that size; Kuwi̲F \Iū\i adj. that (intermediate); \Iūceka\i that amount, so much; \Iūmba\i, \Iūmba'a\i there; \Iūtala\i thither; \Iūlaki\i in that way; Kuwi̲S \Ihū\i adj. that (at the greatest distance); \Ihūmbaa\i, \Ihūnaki\i there||923
1256|*ūǯ-|to assemble, congregate, come together; n. act of assembling|0|ūja (ūji-)||||||||||Also Kui \Iūspa\i (\Iūst-\i) to gather, collect, accumulate, garner; n. act of gathering, collecting||734
1257|*ūk-|breath; to blow|874|ūkuṛi, ūkoṛi "breath, respiration"||ūkali "to blow"||ūk- (-it-) "to blow"|||||ūk- (-it-) "to blow"|Also Kuwi̲F \Iūkori\i steam; Kuwi̲Su \Iūkoṛi\i breath, steam; Kuwi̲Isr \Iūkʔoṛi\i id.|The form \I*ūkʔoṛi\i is certainly PK (the suffix \I*-oṛi\i is frequent).|741
1258|*ūmb-|to fly|875|||ūmbali|ūmbinai|ūmb- (-it-)|||||umb- (-it-)|Also Kuwi̲Isr \Iūp-\i to winnow using wind.||748
1259|*ūr-|to ignore, disobey|0||||ūrinai "to ignore"||||||ūr- (-it-) "to disobey"||Although local forms (with no CDR parallels), no good source of borrowing can be found.|650
1260|*ūr-/*rūg- (caus. *rūk-)|to dissolve|876|ūra (ūri-) "to be dissolved"|||rūkhnai "to smelt"|||rūy- "to be dissolved"|||uku "steel"|Also Kui \Iūrka\i (\Iūrki-\i) pl. action; \Irūga\i (\Irūgi-\i) to be dissolved; Kuwi̲S \Iukku\i steel|'Steel' most probably borrowed from Telugu. NB: multiple secondary bases in Kui and Kuwi can be formed with different suffixes; \I-g-\i is one of the most frequent. The metathese in Kui/Kuwi is regular: \I*ūr+g-\i > \I*rū-g-\i and not related to common CDR metatheses.|661
1261|*ūs-|to slide, roll|0||||||||||ūs- (-it-)|||736
1262|*ūs-|to anoint oneself|877|||ūssali||ūh- (ūst-)||||||Also Kuwi̲F \Iūspi kīali\i to anoint another; \Iūspali\i to plaster with cowdung; Kuwi̲Su \Iūsp-\i (\I-it-\i) to smear with cowdung.|Only the field forms are descended from PK. The added forms probably represent secondary causative forms. This results from the fact that original forms with \I-p-\i have no trace of causative meaning (this does indeed happen in a few cases), being, on the contrary, reflexive. The secondarity of these causative forms is proved, for example, by Kuwi̲Su past stem (\I-it-\i) - a thing absolutely impossible for an original causative (\I-t-\i should be expected).|686
1263|*ūt-|spring, fountain|0||||ūta|||||||Also Kuwi̲S \Iūtha ēyu\i spring water.|The form is comparable with \I*ūr-p-\i 'to ooze' only if traced back to \I*ūr-t-\i; this is probable, but unprovable.|761
1264|*ū-ju (pl. *ūŋa)|meat, flesh|878|ūju (pl. ūnga) "flesh, meat, fleshy part of fruit"||ūyū (pl. ūnga)|ūnga|ūyu (pl. ūŋga)|ūyu (pl. ūŋga)|||||||728
1265|*vʔira|earth, soil|0|vira, vire|vira'a, vira|i'ṛa|ī'ira|i'ira|vir'a|vir'a||wirhā, wirgā, wirkā|iʔira "earth, soil, gravel"||A fantastic example of an ANLAUT laryngeal cluster, but so it is. Only by postulating such a cluster can we explain the unique glottal stop metathese in Kui: \I*vʔira\i > \Ivirʔa\i. In Kuwi no such metathese happened, but the cluster was simplified (\I*vʔ-\i > \I*ʔ-\i), and a prothetical \Ii-\i was developed before the glottal stop to prevent it from beginning the word. One question is: where does this unnatural cluster come from? It is indeed hard to answer, since there are no external parallels and no obvious source of borrowing. One possible answer is that \I*vʔ-\i < \I*vy-\i, in which case \I*vyira\i can be traced back to \I*vay-ira\i and we can compare it with PDR \I*vay-\i, which is really 'to put, place', but has a secondary meaning 'to sow' and, in fact, with a suffixal \I-p-\i, in Tamil has got the meaning 'earth'. In this case, however, the second component is unclear; it is even unclear whether it is a root or a suffix.|5410
1266|*vaca|bowstring|0|vesa||wāca||vacca||vaca|||vaca||Irregular \I-e-\i in Kui, as in \Iverka\i.|5469
1267|*vac-|to dry, wither, be dried up, withered, thin, emaciated; n. dryness, leanness|879|vasa (vasi-)||||||||||Also Kui pl. action \Ivaska\i (\Ivaski-\i)||5320
1268|*vac-|sharp; to sharpen|1335|vaspa (vast-) "to sharpen; n. act of sharpening"||vwahini "sharp"|wah'nai "to nib"|vah- (vast-) "to sharpen"|||||vah- (vast-) "to be sharp"|Also Kuwi̲S \Ivaspine\i is sharp; Kuwi̲Isr \Ivaspi ki-\i to sharpen||5552
1269|*vah-i|intestines|880|vahi "intestine, entrails, bowels"||vwāhi "entrail"|wahi "stomach, intestines"|vahi (pl. -ŋa) "intestine(s)"|vahi (pl. -ŋa) "intestine(s)"||||vahī "intestine(s)"||In Kuwi̲F \I*-a-\i > \I-ā-\i before \I-h-\i; in Kuwi̲Isr it should be the same, but instead by some reason it is the auslaut vowel that is being lengthened.|5259
1270|*vaǯ-|to cook|881|vaja (vaji-) "to cook; n. cooking"||vwajali|wajinai|vaj- (-it-)|||||vaj- (-it-)|Also Kui pl. action \Ivaska\i (\Ivaski-\i)||5329
1271|*val-a|net|882|||||vala||||||||5288
1272|*val-g-|to become emaciated, thin, withered|1362|valga (valgi-)|||||||||||If not borrowed from SDR.|5281
1273|*val-i|stone|883|vaḍi, vali||vwalli|valli|valli (pl. valka)|valli (pl. valka)||||vali (pl. valka)|||5285
1274|*vaḷ-[s-]|to sharpen|884|vala "point, sharp end, spearhead, sting"||rechali "to hone"|lē'nai|ṛe'-||vaṛh- (vaṛst-)|||ṛēʔ- (-t-)|Also Kuwi̲Su \Iṛemperi valli\i whetstone; Kuwi̲F \Irepel vwalli\i whetstone; Kuwi̲Isr \Iṛēka vali\i, \Iṛēmpa vali\i, \Iṛēmpori vali\i sharpening stone|The Kui form reflects the simple root. Kuwi verbal forms date back to \I*vaḷs-\i, t-conjugation, whence the reduction in most dialects: \I*vaḷs-p-\i > \I*vḷe-p-\i > \I*ḷe-p-\i (only the vowel quality is somewhat strange). The form \I*vaḷs-\i is also confirmed by external data.|5306
