NUMBER|PROTO|MEANING|PRNUM|GONDI̲TR|GONDI̲W|GONDI̲PH|GONDI̲G|GONDI̲MU|GONDI̲MA|GONDI̲S|GONDI̲KO|GONDI̲Y|GONDI̲M|GONDI̲L|GONDI̲LU̲S|GONDI̲MND|GONDI̲CH|GONDI̲A|GONDI̲D|GONDI̲CHD|ADDITION|NOTES|DEDNUM|VOC̲NUM
1105|*sej-|to sweep|741|saiyānā, saittānā|||hey-|hay-|ey-|heyy-, ey-|ēy-|||||||||hēyānā|||2599|3471
1106|*sēc-|to winnow|1197||||hēc-|hēc-, hēh-|ēʔc-, ēc-|ēc-|ēc-||||||||||||2019|3588
1107|*sēlaṛ|younger sister|1282|sēlār, sēlāṛ (pl. sēlāhk)|sēlār|sēlār||hēlaṛ (pl. hēlahk)|ēlaṛ (pl. ēlask)||||helāṛ||eldè "a sister"|||sēlāṛ (pl. sēlāk)|||||2783|3486
1108|*sēpuR|broom|742||||||ēpor̨|hēpur|ēpur||hepur||||||||Also Gondi̲M \Ihepā\i Thysanolaena agrostis [a grass]||2599|3590
1109|*sēr|a plough|743|sēr||sēr||hēr, (E) hēṛ|ēr "plough and team"|||||||||sēr "(SR) a plough"|||||2815|3481
1110|*sēr-|near; to invade, occupy|735|sēṛānā "to invade a country, enter or occupy a house"|||here "near"|||||||here "near"||||sērānā "(SR) to occupy a house"|||||2814|3483, 3585
1111|*sēr-, *ser-goḍ-|rat-snake|1373|sargōḍā "the rat-snake, dhāman"||||hergoḍal "the rat-snake, dhāman"|er(e)goḍali "a kind of snake"||||||||sargoḍal "the rat-snake, dhāman"|sēri "the rat-snake, dhāman"|||||2816|3484
1112|*sēR-|brother's wife|737|sērīyāṛ, sērīyāl "elder brother's wife"||||||||sereyaṛ "husband's brother's wife"|||||||||Also Gondi \Isēranḍū,\i \Isernḍu,\i \Iharnḍu,\i \Iervonḍ,\i \Ier̨onḍ,\i etc. (various dialects) spouse's younger brother (or spouse's younger sister's husband); fem. \Iseranḍal\i, \Iseranḍār\i, \Isernḍar\i, \Iharnḍar\i, etc. (various dialects) spouses' younger sister||2819|3472, 3485
1113|*sēt-i|winnowing fan|739|sētī|sētī|sētī|hēti|hēt(i)|ēti|hēti, ēti|ēt|sēti|||||sēti|sēti|||||2019|3478
1114|*siḍ-i|a mousetrap|0|siḍḍī|||||||||||||||||||2517|3389
1115|*sid-[s]-k-|to sprinkle|0|||||hidihk-|idk-, irk-||||hidkānā "to spray"||||||||||2524|3546
1116|*sik-|flesh|0|||||||||||||sikahk|||||||2549|3378
1117|*ilk-|to be sprained|1071||||||||ilk- (Su.)||||||||||||2702|
1118|*silk-|to be entangled|82|hilkānā "to be caught up, entangled, or stuck in anything"||||||||||||||hilgānā "(SR) to entangle"||||Burrow & Emeneau put this root together with \I*jiRk-\i, but this is impossible. Not only the resonant is different, but also \Ih-\i in Gondi̲A and Gondi̲Tr hardly can be traced back to \I*j-\i. More probable is the reconstruction \I*c-\i or \I*s-\i with a usual mix-up before \I*-l-\i.|2498|3553
1119|*silk-ā|rivulet|83||||hilka||ilka||ilka|||||||silka "small river"|||||2569|3411
1120|*silk-|a leaf-cup pin|0||||silka||||||||||||||||2561|3412
1121|*silv-i|lip|0|silwī|silvī||hilvi|hilvi, hivil|ilvi, (S) (h)ilvi, iṛvi||iṛuv (B)|sivli|||||silvi|sivli|||Also Gondi̲A (Su.) \Isivlī\i lip||2782|3415
1122|*sin-|bracelet|0|||||||||||||||sinnūm (Su.)|||||2531|
1123|*sip-i (*0-)|shell, conch|0||||||ipi||||||||||||||2535|174
1124|*siṛ-|below, beneath|84|sir "under, beneath"|sirī "below"|sirī "below"|||iṛ "beneath, below"|hiṛ(u) "below"||||hīḍu "below"||||siṛ "(Su.) down, below"|||Also Gondi̲Ma, Gondi̲S \Iiṛta\i lower; Gondi̲A (Su.) \Isiṛāyiŋ\i east||2584|3408
1125|*siṛ-|parrot|1037||siṛī|||hiṛī (pl. -k)|||||||hidkoo "(pl.) parrot"||||||||2582|3409
1126|*sir-|to have pins and needles after a limb has gone to sleep|0|sirum saiānā||||||||||||||||||The exact dialect is not specified.|2613|
1127|*siṛ-k- (*-r-)|to sprinkle; fountain|759|||||||||||||||siṛk- "(Su.) to sprinkle water"||jīriā (?) "fountain"|||2640|1423
1128|*sirk-i|charcoal|781|||||hirk|irk|hirki|irk||hiṛki, irki||||||||||2552|3551
1129|*sirn-a|bell|0|||||hirna "cowbell, waist-bell used by the Murias for dancing"||||||||||śirnā "(SR) bell"|||||2515|3404
1130|*sit-ā|tamarind|1145|sittā maṛā|||hitta|hitta|itta|hitta|itta||īta||||||||||2529|3381
1131|*sī-|to give|752|sīānā "to give, allow"|||hī-|hī-|ī-|hī-|ī-||hiyānā (hit-)||||||||||2598|3418
1132|*sīkāṭ-i|darkness|1146|sikāṭī "pitch darkness"|sīkāṭī|||īkaṛ "darkness, night"||hīkaḍ "darkness, night"|īkaṛ||ikāṛ|||||sikāṭi||||Gondi̲Mu is irregular (\I*hīkaṛ\i would be expected), probably re-borrowed from another dialect.|2604|3379
1133|*sīl-e|cloth|0||||||||sīle||||||||||||2629|3428
1134|*sīm-[u]|pus|762||||||||sīm (Su.)||||||||||||1606|
1135|*sīnd-|to blow the nose|90|||||hīnd-|īnd-||īnd-||||||||||||2618|3563
1136|*sīn-ā|leaf-pin|0|||||hīna "leaf-cup pin"|īna "leaf-cup pin"||ītam|||||||||||It is unclear whether the Koya form belongs here or not.|2614|208, 3562
1137|*sīnt-ī|date palm|87||chatlā-sīndī "date tree"|||hīndi "wild date-palm"|hīndi "wild date-palm"|hīndi "wild date-palm"|īte kaṭa "wild date palm"|sindi "wild date-palm"|īndi "wild date-palm, Phoenix acaulis"|||||sīndī "date-palm, Phoenix dactylifera"|||Also Gondi̲Ko \Iētel\i date-palm (?)||2617|3395, 381
1138|*sīpVv-|white patches on a man's skin|0|sīpōwā||||||||||||||subbā (SR)|||||2536|3421, 3441
1139|*sīp-i|upper belly|757|sīpī "the part over the liver"|||||||||||||sīpi||||||2620|3419
1140|*sīp-i|spoon|88|||||||hīpi|||||||||||||2619|3564
1141|*sīr|nit; louse|760|sīṛ "louse"|sīr (pl. -k) "nit"|sīr (pl. -k) "nit"||hīṛ "nit"||hīr, īr "nit"|||||||sīr (pl. -k) "nit"||||Also Gondi̲W, Gondi̲Ph \Icirnī\i comb for removing nits|The word for 'comb' is probably borrowed from SDR.|2625|3422, 1325
1142|*sīr|root|761|sīṛ||sīr|hīr|hīṛ|īr|hīr, īr||sīr|||||sīr|śīr|hīr||||2626|3423
1143|*sīr-|weak, thin|0|sīrānā "to grow thin"|sīrtor "weak"|sīrānā "to grow thin"||||||||||||sirānā "(SR) to grow thin"|||Also Gondi̲Hislop \Isir\i thin||2503|3400
1144|*sīṛk-ā|cucumber|1012|||||hiṛka|iṛka||||iṛka|hīrrkā|||||||||2583|3555
1145|*siṛp-e|bark; firewood|938|||||hiṛpeŋ "(pl.) bark of tree"|||||hiṛpe "fuel"|hīrpe "firewood"|hirpè "a chip or shaving"||||||||2586|3556
1146|*sīsar-i|a whistle|1147|īsrī|sīsarī|sīsarī||||||||||||sisrī (Su.)||||In Gondi̲Tr irregular lack of \Is-\i (syncope through dissimilation?)|2610|217, 3429
1147|*sī-ŋ- (caus. *sī-k-)|to tear; splinter|753|sinder "a splinter of wood, bamboo, etc."|||hīk- "to tear"|hīk- "to tear"|īk- "to tear"||īk- "(Su.) to tear"||hikānā "to tear"|hīk- "to tear"|||||||Also Gondi̲L \Ihīkaval\i carpenter; Gondi̲Ko (Su.) \Iīŋ-\i to be torn||2491|3396, 3560
1148|*čoh-|to itch|765|sōhtānā|||hoh-|hoh-|oʔ-||oh-|coh-|||||soh-|coh-|||Also Gondi̲Tr \Isohalē-jāṭā\i the kōnch or cow-itch, Mucuna pruriens; Gondi̲A (Su.) \Icoh-\i, \Icohk-\i to itch||2865|3499
1149|*sonḍ-e|lip|939||||||||sonḍe||||||||||||2664|3494
1150|*son-|to go|712|handānā|handānā|||han- (hat-)|han-, an-|hon- (hott-)||son-||||||sondānā (SR)|||Also Gondi̲Tr caus. \Ihanstānā\i to cause to be lost or wasted|Gondi̲Ma \Ihan-\i is unclear, since it is almost the only case of initial \Ih-\i there; probably influenced by neighbouring dialects.|2781|3496
1151|*sor-i (*-R-)|ant|772||||hurri "ant, red ant"|harri "black ant"|||orŋgu "a kind of poisonous ant"||hūri, orang "black ant"|cuttī (?) "black ant"|||||horri "black ant"||Also Gondi̲Mu \Ihurri\i ant||2682|3594, 1348
1152|*sōṛ-|to enter|775|sōṛītānā "to enter, (lumbago) attacks"||soritānā||hoṛī-|ōṛ-|hoṛī-|||oṛiyānā||||soṛi-||||||2876|3498
1153|*sovar|salt|726|sawwor, sawwar|||||ovor||ovor||havar|hovar, ovar|||||||||2674|3360
1154|*sov-|sour|1021|sawītānā "to set the teeth on edge, be sour"||savitānā "to set the teeth on edge, be sour"|hovi- "to be sour"||oy- "to be sour"|||||||||savitānā "(SR) to set the teeth on edge, be sour"|||Also Gondi̲A \Isavta\i sour; Gondi̲A (SR) \Isovītā\i bitter||2860|3362
1155|*soj|porcupine|773|sōī||||hoy|oyyi|huy padi|oy|suy velaṛ|||||soy|suy|hoy||Also Gondi̲Tr \Isoiyal korr\i fowl with feathers which stand on end||2852|3497
1156|*sojdel|fireplace|767|saīdāl|sadolī|sadolī|hoydeli|hoydel|aydili, oyduli|hodel|ojal|sodel|odiyāl||||saydal|sodel|||||2857|3495
1157|*sōc-|to be intoxicated|774||||hōc-|hōc-|||ōs-||||||||||Also Gondi̲LH \Ijhakkum aiānā\i to be dead drunk||2853|3598, 1460
1158|*sōk-|to apply (oil), rub on|242|sōkānā "to apply ointment, hot water, etc. to one's skin"|sōkānā "to apply ointment, hot water, etc. to one's skin"|sōkānā "to apply ointment, hot water, etc. to one's skin"|hōk- "to rub on (oil, etc.)"|hōk- "to rub on (oil, etc.)"||hōk- "to rub on (oil, etc.)"|ōk- "to rub"|||||||mat sokānā "(SR) to apply medicine, anoint"|||Also Gondi̲S \Isōklal\i washerman; Gondi̲A (Su.) \Isōk-\i to anoint||2872|3502, 3503
1159|*sōl-|to shake (intr.)|1372||||hōl-|hōl-|ōl-||||||||||||Also Gondi̲Mu caus. \Ihōlh-\i||2889|3601
1160|*sōnōṛ-ī (*-r-)|the blister eczema of the hands|0|sōnōṛī|||||||||||||||||||2659|3507
1161|*sōr-ā|pitcher, vessel|0|sōṛā "a large earthen vessel for holding water, not food"|sōrā "pitcher"|sōrā "pitcher"|||||||||||sōra "pot"||||||2886|3510
1162|*sōṛ-s-|to plait or weave (bamboo screens, etc.)|0|sōṛhuttānā|||||||||||||||||||2895|3512
1163|*suR-|to cook|787|surrānā "to cook bread"|sūr "torch"||hurr- "to cook bread"|hurr- "to cook bread"|or̨- "to cook bread"||||||||||||||2654|3446, 3458
1164|*suRv-e|bee; honeycomb|1281|sū̆rwe-phukī "bee which builds in hollow boughs"|||||ur̨ve talla "honeycomb"||uṛve, uruve "kind of bee"|||hurrve "honey"||||surve "(SR) medium-sized beehive"|||Also Gondi̲Ma \Ior̨ve\i kind of bee; \Ior̨ve neyi\i honey|Gondi̲Ma \Iur̨ve talla\i has \Iu-\i probably due to specific accent/reduction reasons.|2689|3448
1165|*sug-|harvest|0||||||||||||||||||Also Gondi̲Hislop \Isugge\i harvest||2647|3436
1166|*suhk-|to suck|246|suhkānā||suhkānā|||uʔk-||||||||||||||2621|3449
1167|*suk-|star|788|sukkum|||huko|hukka, hukkom|ukkum, ukka|hukka|ukam||||||||||||2646|3432
1168|*suk-|to wash|1303|sukkānā "to wash (clothes)"||sukkānā "to wash (clothes)"|huk- "to wash (clothes)"|huk- "to wash (clothes)"|ukk- "to wash (clothes)"||ukk- "to wash (clothes)"||hukānā|||||sukkānā "(SR) to wash (clothes)"|||||2667|3431
1169|*sukuṛ|ladle, spoon|0|sukkuṛ|sukur|sukkur||hukkuṛ|ukkuṛi||||hukuṛ||||sukkur, sukkuṛ|sukkur (SR)|||||2388|3433
1170|*suluṛ|flute|95||||huluṛ|huluṛ|uluṛi||||||||||||Also Gondi̲Elwin \Isolor\i, \Ihalur\i flute||2694|3575
1171|*sunǯ-|to sleep|789||sunj-|sunj-|hunjānā|hunj- "to sleep, lie down"|unj-||unj-||hunjānā|hunjānā|hunchkaree "sleep"||||||Also Gondi̲Mu caus. \Ihunjih-\i; Gondi̲Mu \Ihuskaṛ\i sleep; Gondi̲Elwin \Ihuskār\i, Gondi̲Ma \Iuskaṛ\i, \Iuskanḍ\i id.||3291|3437, 3578
1172|*sup-e|mouse, rat|94|sūpē "house-mouse"||||huppe "field-rat"|||uppe "rat"||huppe "rat, mouse"|||||supe "(SR) small mouse"|huppe "rat"||||2675|3440
1173|*sur-[u]nḍ-|to roll, go round|790|surunḍānā "to go round and round, esp. in the Bhawar marriage ceremony"|||||||||||hoorchunna "to roll up"||surunḍ- "to roll"||||||2684|344
1174|*sut-|to put on, wear|786|||||hutt-|utt-||||||||||||Also Gondi̲Mu caus. \Ihuttih-\i||2715|3568
1175|*sut-e|hammer|0|||||||||||||||sutte|||||2668|3438
1176|*sūṛ- (caus. *suṛ-s-)|to see|793|huṛānā|hūṛānā|hūrānā|hūṛ-|hūṛ-|ūṛ-|hūṛ-|ūṛ-|sūṛ-|huṛānā|||||sūṛ-||hupsānā "to show"|Also Gondi̲Chd caus. \Ihuṛsutānā\i to show; Gondi̲W \Ihūṛsahtānā\i to reveal; Gondi̲Ph, Gondi̲W \Isūrāl\i blind|The form \Ihupsānā\i is probably borrowed from Telugu.|2735|3462, 3571
1177|*sūr-e (*-R-)|a k. of tree|1374|sūre-maṛa "the churnī tree, Zizyphus rugosa"|||||||||ūretonde "the churnī tree, Zizyphus rugosa"|||||sūrē "oblique-leaved jujube, Zizyphus oenoplia"|||||2730|3460
1178|*sil-|not, no|748||hille|hille||hille|ille||ill- "(Su.) to be not"|sile|hīlle, hile|||||sile||hille|Also Gondi̲A (SR) \Isille\i not, no; Gondi̲Chd \Ihill-\i to be not (complete paradigm; SR also gives conjugated forms of \Isil/l/-\i)||2559|3414
1179|*sjēmul|tortoise|740||||hēmul|samel, hamul|ēmul||ēmul||hemūl||emilee||||||Also Gondi̲Ko (Su.) \Iyāmōl\i tortoise||5155|3334
1180|*ta-|to bring|796|tattānā (impv. taṛā)||||ta-/tar- (tatt-)|ta-/tar- (tatt-)|ta-/tar- (tatt-)|ta-/tar- (tatt-)|tar- (tat-)|tattānā (impv. tarā)|||||tar-|||||3098|
1181|*tag-|to last|1236|taggānā "to wear well (of clothes), remain in one's service (of servants)"||||||||||||||tagg- "to stay, last"|||||3014|1642
1182|*tal-ā|head|798|talā (pl. -hk)|talā||talla (pl. -ŋ)|talla (pl. -ŋ)||talla|tala|talla (pl. -ŋ)|tala|||||talla (pl. -ŋ)|||Also Gondi̲Tr \Itallā\i (pl. \Itallāng\i) the part of the comb in which honey is stored; Gondi̲Ma \Italla\i honeycomb||3103|1689
1183|*talg-|to strike, hit, hit the mark|0||||||||talg-||||||||||||3105|1686
1184|*tals-k-|to ask, beg|1400|talehkānā "to beg, ask for anything, esp. a bride"|talahkáná "to beg, ask for anything, esp. a bride"||||||talp- "(Su.) to ask, to beg"|||||||talk- "(Su.) to ask"|||||3427|1684
1185|*tal-uR (*-ḷ-)|mother; female|797|||||tallur "mother of animals or birds, hen which has laid eggs more than once"|tallor̨ "mother, female of animals"||||talur "female of animals"||||||||Also Gondi̲M \Italur kor\i hen||3136|1690
1186|*tam-|they, themselves|807|tammā, tammaṭ|||||||||||||||||||3162|1661
1187|*tamuR|younger brother|158|tammur, (hon.) tammuṛāl||||tammur|tammor̨|tammun (pl. tammur)|tammāl (Su.), (T) tammunḍu (pl. tammask)|||||||||||Koya \Itammāl\i < \I*tammuR-āl\i.|3085|1662
1188|*tanḍ-i|earthen pot of medium size|1028||||ṭanḍi||||||||||||||||2946|1477
1189|*tan-|to kick, beat|1052||||||tan(d)- "to beat, play on drum"|tan- "to beat, play on drum"|tand- "to kick"|||||||||tanāna "to beat"|||3053|1650
1190|*taṇk-i|liver|842|tanākī, tanēkī|tarākī|tanākī|taṛaki, taṛak|taṛaki, taṛak|tānḍʔki|taṛki|taṛk, (Su.) taṇike||||tudakee "the heart"||tanēki|taṛaki|||||3120|1678
1191|*tapṛ-i|a slap|0|||||tapṛi|||||||||||||||3075|1658
1192|*taras|snake|779|tarāsh|tarās|||taras|tārs|taras(u)|||taras, tārs||turashee "cobra"||taranj (pl. tarask)|taras|||||2359|1665
1193|*tar-c-|to scrape|802|tarcānā||||taṛc-|tarsk- "to scrape, plane"||||||||||task- "to level, scrape"||Also Gondi̲Mu \Itarsk-/tarisk-\i to level, scrape||3146|1670
1194|*tar-s-|to sacrifice|126|taruhtānā|tarahtānā||||||||||||tarhutānā||||Also Gondi̲Hislop \Itaruh sīānā\i to sacrifice||3140|1677
1195|*taṛm-i|embers, burning coal|1356|tarmī "a glowing piece of wood ash"|||taṛmi "burning coal, ember"||taṛmi "burning coal, ember"|taṛmi "burning coal, ember"|taṛm "burning coal, ember"|||||||taṛmi, (SR) taḍmī, (Su.) taṛmī "fire"|||||3115|1683
1196|*tarv-|to stroke, smear|0|||||tarh- "to anoint"|tarv- "to stroke"||||||||||||||3025|1673, 1676
1197|*taṭ-|mat|804|||||ṭaṭṭeh pāka "mat-wall bathroom"|||||||||ṭāṭī "mat door"|taṭṭi "(SR) mat"|||||3036|1476
1198|*taṭ-|basket of medium size|0|||||||taṭṭa|||||||||||||3035|1647
1199|*taṭ-i|bund, dam|0||||||taṭṭi||||||||||||||3031|1474
1200|*tav- (caus. *tavh-)|to see; to show|1157|tawwānā "to be seen; to see"|tawwānā "to comprehend"|tavvānā "to be visible, be understood"||tōh- "to show"|tōʔ- "to show"||tōh- "to show"|tōh- "to show"||tohānā "to show"||||tōh-, (SR) tohānā "to show"|||Also Gondi̲Ko (T) \Itōp-\i to appear; \Itōht-\i to make to appear; Gondi̲Ko (Su.) \Itōp-\i to be seen||3566|1831, 1692
1201|*ṭav-|blue jay|0|tawwē "roller or blue jay"|||||||||||touwè|||ṭave "(SR) sp. bird"|||||2951|1482
1202|*taŋ-|grandchild|159|||||||||taŋ-mari "grandson"|||||||||Also Gondi̲Y \Itaŋ-miyaṛ\i granddaughter||3010|1646
1203|*taŋ-ōrāṛ|elder sister|0|tang-gōrāṛ "wife's elder sister"||||||||taŋoraṛ "husband's elder sister"|||||||||||3015|1645
1204|*tāR-|to spread|0|tārānā "to spread out clothes, etc., build a nest"||tār-|tār-|tār- "to spread (cloth, mat, etc.), build nest"|tār̨- "to spread, (bird) to build nest"||||tārānā|||||tār-, (Su.) tār-|||||3154|1706
1205|*tād-|grandfather|1322|||||||tāta(l) "mother's father"|tāta(l) "mother's father"|tādo "father's father"|||tado||||||||3160|1697, 1702
1206|*ṭāh-kā|belleric myrobalan|809|ṭāhkā||||||||ṭāhka|tāhkā||||||||||3198|1490
1207|*tāk-|to walk|806|tāk-|tāk-|||tāk-|tāk-|tāk-|tāk-|tāk-||||||tāk-|||Also caus. Gondi̲Tr \Itākstānā\i, Gondi̲W \Itāksahtānā\i; Gondi̲Y \Itākmaṛ\i walking||3151|1695
1208|*ṭāl-i|cow|0|ṭālī|ṭālī|ṭālī|ṭālal||ṭāli||||||||ṭāli||ṭāli||Also Gondi̲G \Iṭāli\i cow, female of animal||3136|1489
1209|*tān|self (sg.)|810|tanā|tannā|||tān (obl. tan-)||||||||||tānā (SR)||tanai|Also Gondi̲Tr \Itanwā\i his own||3196|1651
1210|*ṭāpar|wooden cow-bell|0|||ṭāpar, ṭāpur|||||||||||||||Also Gondi̲Haig \Iṭāpur\i, \Iṭaprī\i wooden cow-bell||2948|1487
1211|*tāp-|ladder|1053||||||||tāpa||||||||||||3160|1704
1212|*tāṛ-|to scratch|812|taṛānā "to dig or scratch up, as pigs"|tāṛk-||tāṛk-|tāṛk-|||tāṛk-|taṛk-|||||tark-|taṛk-|||Also Gondi̲Tr, Gondi̲Ph \Itārkānā\i to scratch a place where it itches; Gondi̲A (Su.) \Itāṛk-\i to scratch with fingernails; \Itāṛ-\i to dig||3122|1593
1213|*tāṛ-i|toddy palm|814||||tāṛ||tāṛ|tāṛi|tāṛ|||||||tāḍi|||Also Gondi̲A (SR) \Itādī kal\i palm liquor||3180|1709
1214|*tāṛ-i|ear-ring|1185|tāṛī "lobe earring"|tārī|tārī|||tāṛi "ear-ring (female)"|||||||||tāṛī "silver rings tied to hair at the back of the ear"|||||3121|1710
1215|*teR-|to uproot, dig up|1152|tarrānā "to root up"||||tarr- "to dig up"|tar̨- "to uproot, weed"||||||||tarr- "to dig up"|ter- "to extract (teeth), pluck (feathers); (Su.) to uproot a tree"|||||3442|1777, 1672
1216|*teR-|to be hot (of sun)|1153|tarītānā||tarrānā "to be fierce (of sun)"||tars-/taris- "to heat"|tar̨- "to be fierce (of sun)"||tar- "to be fierce (of sun)"|ter- "to be fierce (heat of the sun)"||||||ter- "to be fierce (heat of the sun)"|||Also Gondi̲Tr \Itarīstānā\i to heat bread over a flame after it has been cooked on the iron; Gondi̲Ma \Iter̨k-\i to warm oneself by fire, recover from illness||3440|1783, 1778
1217|*teR-|to open|105|tarītānā "(doors) to be open"||tarritānā||tarī- "to open (eyes, mouth, door, etc.)"|tar̨i-, ter̨-||terr-||||tugaituna|||rehānā "(SR) to open"|||Also Gondi̲Mu caus. \Itarih-/tarh-\i||3259|1667, 3053
1218|*teh-c-|to sift, winnow|1184|tehcānā "to sift in a sūpā with a tossing motion, not sidewise"||tahcānā, tahcītānā "to winnow"||||||tehc- "to winnow"|||||tehc- "to winnow"|tehc- "to winnow"|||||3435|1788
1219|*tehk-|to pull out, uproot|0|||tahkānā "to uproot"|teʔk- "to pull out (hair), pluck (feathers)"|teh- "to pull out (plant from ground)"|teʔk- "to pull out (hair), pluck (feathers)"||tahk- "to pull out (hair)"|tah- "to pick (fruit)"|||||||||Also Gondi̲Ma \Itaʔ-\i to pluck (feathers); \Itaʔk-\i to pull||3442|1693
1220|*ṭek-|seed of mango|854||||||||ṭek(k)a||||||||||||2941|1511
1221|*telŋ-ar|south|0|||||||||||||||telŋāṛ (Su.)|||||3449|
1222|*tenḍ-|to take out, extract|1420|tanḍānā "to extract (oil)"||||||||||tenḍānā "to pull off"||||ṭenḍ- "to take out, remove; draw (water)"|||Many dialects have: \Iṭanḍ-\i, \Iṭenḍ-\i, \Itenḍ-\i to take out, take off, remove||3052|1515
1223|*tep-|float (of rod and line)|0||||||||tepe||||||||||||3414|1774
1224|*ter- (*-R-)|to repay|816|||||||||||||||||terānā|||3441|1779
1225|*teṛ-|to become conscious, get up from sleep|815|||||||||||||||teṛ- (Su.)|||Also Gondi̲A (Su.) \Itaṛī-\i to think, occur to the mind||3433|
1226|*terp|bundle|1151||||||||||||tèrèp||||||||3245|
1227|*teṭ-e|honeycomb|803|||||||ṭeṭṭe||||||||||teṭṭe|||3490|1513
1228|*tēḍ- (caus. *tēh-)|to lift|1183|tehtānā "to cause to rise, build a house"||||tēh- "to lift, rouse"||tēh- "to lift, rouse"|tē(h)- "to make to rise"|||tehānā||||tāhānā "(SR) to lift"|||Also Gondi̲A (Su.) \Iteh-\i to rouse from sleep, revive to life; Gondi̲Tr \Itēḍānā\i to rise, (other dialects) \Itēd-\i id.||3450|1789, 1796
1229|*ṭēk-ā|teak tree|855|tēkā maṛā|ṭēkā|tēkā||ṭēka|ṭēka||||||||||||||3452|1516
1230|*tēl-|to float|818|||||||tēl-|tēl- "(dust) to rise"||||||||||||3464|1794
1231|*tēn-|bee|1155||||||||tēne||||||||||Also Gondi̲Ko \Itēne nīy\i honey||3268|1790
1232|*tēr-|to be finished|1238||||||||tēr-||||||||||Also Gondi̲Ko \Itērsp-\i to finish (tr.); Gondi̲Ko (T) \Itērs-\i to filter||3471|1791
1233|*ṭikir|waist|856||||||||ṭikir||||||||||||2953|1493
1234|*tin-aŋ|straight|821||||||||tinaŋ||tigne "short, straight"||teenta||||||||3264|1717
1235|*tin-|to eat|822|tindānā|tindānā|tindānā|tin- (titt-)|tin- (titt-)|tin- (titt-)|tin- (titt-)||tin- (titt-)|tindānā|||||tin- (titt-)|||Also Gondi̲S \Itinmuṛ\i eating; caus. Gondi̲A, Gondi̲Mu, Gondi̲S \Itih-\i, Gondi̲W \Itihtānā\i, Gondi̲Ma \Itiʔ-\i to feed||3263|1736
1236|*tin-|right|820|||||tinaŋ kay, tindana kay "right hand"||tina, cina|||tinaṛ kai "right hand"|||||tina "(SR) right"|||||3263|1720
1237|*tir|hencoop, cage for carrying fowls|825||||||||tirr||||||||||||3262|1729
1238|*tir-|to revolve, turn over|823|tirītānā "to revolve, turn round, of bullocks in an oil-mill or threshing; wander, make a detour"|tiṛitānā "to wander"|tiritānā "to turn over (in sleep)"|||tiri- "to revolve"|tiri- "to wind round, revolve"||tiri- "to revolve"|tirhānā "to revolve (tr.)"||||tiri- "to revolve"|tiri- "to revolve"|||Also Gondi̲Tr caus. \Itiruhtānā\i to make to revolve; \Itirīstānā\i to make to wander; Gondi̲W \Itirahtānā\i to turn (tr.); Gondi̲Ph caus. \Itirahtānā\i, \Itirisahtānā\i to cause to turn over; Gondi̲S \Itirah-/tirh-\i to make to revolve||3246|1726
1239|*tirp-|to sift|0|tiṛpānā "to sift earth from grain in a sūpā"||tīrpānā|||||||||||||||||3435|1733
1240|*tiv-|to be broken (as a rope)|1154|||||||||||||||tivv- (Su.)|||||3437|
1241|*ṭiŋ-o|dancing-bells|0|||||ṭiŋgō|||||||||||||||2954|1494
1242|*tī-|sweet|1156|||||||tīyaṭ|||||||||||||3268|1738
1243|*tīn- (*d-)|solid|109||||||||||||teenwoor||||||||3224|
1244|*tīj-|wire|0||||||||||||teegá||||||Also Gondi̲Grigson \Itiyā\i iron neck-ring||3269|1725
1245|*toḍ-i|mouth; face|832|toḍḍī (pl. toṛk) "mouth, face"|ṭuḍī "mouth"|ṭuḍḍī, ṭuḍī "mouth, face"|ṭoḍi "mouth, face"|ṭoḍḍi "mouth, face"|ṭoḍḍi "mouth, face"|ṭoḍḍī, toḍḍī "mouth, face"||toḍḍi "mouth"|ṭoḍi "mouth, face"|toḍḍī, ṭoḍḍī "mouth, face"|||ṭoḍḍi "mouth"|ṭoḍḍi, (SR) toḍḍi "mouth"|||||3296|1527
1246|*toḍm-|stalk of leaf|0|||||ṭoḍḍoma|toṛma||ṭoṛme||||||||||||3487|1526
1247|*toḍr-ā|neck|839|||||ṭoḍra|||||||||||||||2984|1528
1248|*tog|dust, dirt, rubbish|847||||||||tog||||||||||||3346|1798
1249|*tohk-|to steal|0||||||||tohk-||||||||||||3483|1812
1250|*toR-k-|feather|1027|||||tokenj|tōr̨(i) (pl. tōh̲ku), tokonji "large feather"||||||||||||||3393|1797, 1823
1251|*ṭokr-e|shell of egg|0|||||||||||||||ṭokre|||||2978|1519
1252|*tol-|first|828|||||||||||||||tolle (SR)|||Also Gondi̲A (Su.) \Itollē\i previous, in ancient times||2899|1808
1253|*tonḍ-|a creeper|116|ṭōnḍōrī "Coccinia indica"||||ṭonḍa "creeper"|||ṭonḍa "creeper"|||||||ṭonḍri "(SR) tondla vegetable"|ṭonḍa "creeper"||||3499|1529, 1531, 1538
1254|*top-|quickly|0||||||topne||||||||||||||3069|1805
1255|*toṛ|with|837||||||||||toṛ|tor||||tōṛō (Su.)|||Also Gondi̲L \Itōṛō\i help; \Itoratā mānaval\i partner, fellow||3563|
