NUMBER|PROTO|MEANING|PRNUM|STEMS|TAM|TAMMEAN|TAMDER|MAL|MALMEAN|MALDER|KAN|KANMEAN|KANDER|KOD|KODMEAN|KODDER|TUL|TULMEAN|TULDER|KT|KTNUM|IRU|IRUMEAN|IRUDER|KAS|KASMEAN|KASDER|MISC|NOTES|DEDNUM|CHECKED
3620|*Pūṛ-|dust|163||puṛuti|dust, pulverised or fine powder, dry earth|\Ipūṛti\i dust; \Ipūṛi\i powder, dust, sacred ashes|puṛuti, pūṛi|dust, earth put to the roots of trees, pollen, rust||||||||||||0||||||||The following forms are probably, but not necessary, borrowed from Skt.: Ta. \Ipūti\i ashes, dust, powder; Ma. \Ipūti\i, \Ibhūti\i ashes; Ko. \Ipūdy\i id.; To. \Ipūϑy\i id.; Ka. \Ibūda\i, \Ibūdi\i, \Ibūdu\i id.; Kod. \Ibūdi\i id.; Tu. \Ibūdi\i id.; \Ibūdiŋga\i, \Ibūdu\i ash-coloured (Skt. \Ibhūti-\i ashes)|4316|N
3621|*pūṛ-|hole, gap|0||puṛai|hole, tube, entrance, gate, forest path, by-path, narrow path|(\I-pp-, -tt-\i) to bore, riddle; \Ipuṛal\i tube, drain; \Ipūṛ\i hole; \Ipūṛai\i wicket gate, mountain pass, crevice, opening|puṛa|gap in a wall||poṛe|path, road|||||poralụ, (\IB-K also\i) purā̆lụ, puḷalụ|fife, flute||*puḷ|666||||||||PK *puḷ- < PSDR *pUṛal-.|4317|N
3622|*pUṛ-ai|river|0|||||puṛa|river||poṛe|river||poḷe|river|||||*poṛ-ӓ|658|||||||||4318|N
3623|*puḷ-|bird|1357||puḷ|bird; stick used in the game of tipcat||puḷ|any small bird|||||||||||*piḷ/*puḷ|667|||||||||4319|N
3624|*pUḷ-ai-|to twirl, wriggle|0|||||puḷayuka|to twirl about, wriggle, snake to twine itself round the body of men or beasts|\Ipuḷayikka\i to brandish, swing, switch; \Ipuḷekka\i to roll oneself, loiter about, revel, swagger, strut; \Ipuḷappu\i revelling, overbearing manner|poḷe|to roll, roll about, move to and fro, wallow, move in a circle|\Ipoḷapu\i trembling, shaking, rolling, a swing, hammock; \Ipoḷayisu\i to cause to roll, cause to go round in a circle, brandish||||||||0|||||||||4320|N
3625|*pUḷ- (?)|to float|0||puṇai|raft, float, ship|||||||||||pulāvuni|to float|\Ipulapāvuni\i to cause to float; \Ipulampuni\i to set afloat; \Ipuṇalụ\i floating; \Ipuṇaluni\i, \Ipunaluni\i to float||0|||||||(?) KOR (M) \Iboḷa\i to float|While Tulu \Ipuṇaluni\i, etc., could be traced back to \I*puḷaluni\i with subsequent dissimilation, the same cannot be said of Tamil \Ipuṇai\i. Possibly two different roots ('raft', 'float', with subsequent contamination).|4321|N
3626|*puḷ-|sour|1355||puḷi (-pp-, -tt-)|to turn sour, ferment, be leavened; n. acidity, tartness, tamarind, curry containing tamarind, acid substance|\Ipuḷiccal\i anything acid, sour, or leavened; \Ipuḷippu\i sourness, acidity, fermenting, acid|puḷikka|to be sour, ferment|\Ipuḷi\i sourness, acidity, acid, tamarind; \Ipuḷippu\i acidity; \Ipuḷiyan\i, \Ipūḷa\i sour|puḷi, puḷḷa, puḷu, pulla|acidity, sourness|\Ipuṇise\i, \Ihuṇise\i, \Ihuṇisi\i tamarind; \Ihuḷi\i (\I-t-\i) to be or turn sour|puḷi|sour; orange, vinegar|(Shanmugam) \Ipuḷiñje\i tamarind|puḷi, puli|acidity, a sour fruit, tamarind, leaven; sour, acid|\Ipuḷipu\i acidity; \Ipulipuni\i, \Ipuliyuni\i to become sour, be leavened; \Ipulippena\i sour; \Ipuṇikè\i, \Ipunikè\i tamarind; \Ibulè\i fermenting; \Ibulekali\i sour toddy|*puḷ-ĭ|693|||||||KOR (O) \Ipulcu\i to feel sour in the mouth||4322|N
3627|*Puḷi-|hunter|0||puḷiñan̲, puḷin̲an̲|hunter, mountaineer|\Ipuḷḷuvan̲\i dweller in a desert tract|puḷiyan|a caste of jungle dwellers|fem. \Ipuḷicci\i|puṇaje (?)|(K2) a hunter woman|||||||||0|||||||||4323|N
3628|*puḷ-ug-|to lie, to boast|0||puḷuku (puḷuki-)|to tell bare-faced lies; n. obvious lie, barefaced falsehood|\Ipuḷukan̲\i liar; (Shanmugam) fem. \Ipuḷuki\i; \Ipuḷukuṇi\i, \Ipuṛukuṇi\i liar (comm. by N. Kumaraswami Raja)|||||||||||||*puḷ-|1653|||||||||4324|N
3629|*puḷic-ai (?)|a k. of plant|0|||||||||||||||||*puḷc|692|||||||||4326|N
3630|*puḷ-i|mark, speck|0||puḷḷi|mark, dot, speck||puḷḷi|dot, spot, point||||||||kar-bulè, kar-boḷḷè|a fowl having white plumage with black spots||*puḷ-|1654||||||||Tulu -b- either due to an inlaut voicening after -r- or means that the root does not belong here at all (cf. \I*veḷ-\i 'white').|4327|N
3631|*puḷ-|dry wood, fuel|1358||||||||puḷḷe, (\IK2 also\i) puḷḷi|a small bit of very dry wood||puḷḷi|fuel||pullè|a split, splint|||0|||||||||4328|N
3632|*bur̲-bur̲-|[expr.] sudden, rash|0||||||||bur̲a, bura, bur̲u|sound in imitation of that of a rash movement|\Ibur̲a\i, \Ibura\i, \Ibur̲u\i, \Ibur̲r̲\i imitation of the sound produced by a bird rising suddenly, or by breaking wind; \Ibur̲a bur̲ane\i with the repeated suddenness or sound of bur̲a; \Ibur̲r̲ane\i with the sound of bur̲r̲; \Ipur̲\i sound in imitation of breaking wind, of easing nature; \Ibar̲r̲ane\i with a whir or sudden and noisy vibration of wings; with a rush or dash, smartly, swiftly||||burụ, buranè, buru, buruburu, burrụ, burranè, burru|the noise of a bird's wings in flying|\Iburkụ\i, \Iburku\i noise of breaking wind|*bur-|1205|||||||||4329|N
3633|*bir- (*v-)|kiss|0||||||||||||||bira|a kiss|||0|||||||||4330|N
3634|*biruḍ-ai (?)|lie, untruth|0||piruṭai|false rumour, lie|||||bur̲aḍe, bur̲uḍe|lie, untruth|||||||||0|||||||||4331|N
3635|*bur̲-aḍ-|gourd|156||||||||bur̲aḍe, bur̲uḍe, bur̲uḍi|gourd-bottle, calabash, dry gourd, head, skull|||||buruḍè|bottle made of the shell of a coconut, gourd, etc.; skull|||0|||||||||4332|N
3636|*pUr̲-/*pIr̲-|outside|1364||pur̲am, pur̲an̲|outside, exterior, that which is foreign; aspersion, calumny|adj. \Ipur̲a-\i, \Ipur̲am-\i; \Ipur̲akku\i outside; \Ipur̲aku\i excluded person or thing; \Ipur̲aṇi\i slander; outer bark, skin, anything that is outside; \Ipur̲atti\i that which is outside, foreign, extrinsic; \Ipur̲attavan̲\i, \Ipur̲attiyan̲\i foreigner, stranger; \Ipur̲ampu\i the exterior, outside, that which is separate, other; \Ipur̲ampar\i the outside; \Ipur̲avu\i, \Ipur̲avam\i forest, jungle, forest tract, hilly tract; \Ipur̲a-ppaṭu\i (\I-ppaṭuv-, -ppaṭṭ-\i) to set forth, proceed, start, go out; \Ipir̲a\i other things; \Ipir̲ar\i outsiders, strangers; \Ipir̲an̲\i another man, stranger; fem. \Ipir̲aḷ\i; \Ipir̲itu\i other thing; \Ipir̲āṇṭu\i elsewhere|pur̲am|the outside, west; beyond, more than|adj. \Ipur̲a\i; \Ipur̲attu\i out, out of; \Ipir̲an\i other|por̲a, por̲agu, por̲age|the outside, outside|\Ipor̲abiga\i stranger, alien; \Ihor̲accu\i the outside; \Ihor̲atu\i, \Ihortu\i that is outside, that is excepted; being left alone, being not that, being not present; except, without; \Ihor̲ame\i that is outside or in the rear; \Ihor̲aḍu\i (\Ihor̲aṭ-/hoṇṭ-\i < \I*por̲a-vaḍu-\i) to go outside or out of, come forth, set out, start, appear (as a boil); \Ihor̲aḍisu\i to cause to go outside or out of, cause to start; \Iper̲a\i outer place, other side; \Iher̲agu\i other side, outside|porame|outside|\Iporaḍ-\i (\Iporaḍuv-\i, \Iporaṭ-\i) to start, set out, depart|pida|outer|\Ipidayi\i outer; out, outside, abroad; \Ipidāḍuni\i to start, depart; \Ipidāḍāvuni\i to cause to start or depart|*por̲-|676|||||||KOR (O) \Ipedamayi\i outside; \Ipedaḍɨ\i to come out, start|The root is present in two forms - \I*pUr̲-\i and \I*pIr̲-\i; the i-tinged variant is universal only in Tulu (possibly - in Kodagu, where both phonemes would have merged between a labial and an alveolar anyway, so it's impossible to tell whether Kod. \Iporaḍ-\i goes back to \I*pUr̲-\i or \I*pIr̲-\i). It is notable that all the i-tinged forms usually share the meaning 'other, other side' as contrasted with 'outside', so we may indeed deal here with two different roots that have unfortunately merged completely in Tulu (as well as in Telugu).|4333|N
3637|*pUr̲-a-|pigeon|1348||pur̲ā, pur̲a, pur̲avam, pur̲avu|dove, pigeon||pir̲āvu, prāvu|dove, pigeon||hor̲asu|a kind of pigeon|(PBh.) \Ipor̲asu\i pigeon||||puda|dove, pigeon|||0|||||||||4334|N
3638|*put̲-|white anthill|1370||pur̲r̲u, pur̲r̲am|white anthill||pur̲r̲u|ground thrown up by moles, rats, esp. a white anthill||puttu, putta, hutta, huttu, utta|white anthill||puttɨ|white anthill||puñca|white anthill, snake's hole||*ot- (?)|1150|||||||KURU (LSB 1.12) \Ipittɨ\i snake hole; KOR (T) \Ihuñca\i, (M) \Ihuntu\i anthill|Tulu \Ipuñca\i unclear (\I*pucca\i expected).|4335|N
3639|*put̲-|scurvy; scab|0||pur̲r̲u|anything scurvy, scrofulous, or cancerous||pur̲r̲u|scab, dry pus||||||||||||0|||||||||4336|N
3640|*pun-|upland|0||pun̲am|upland fit for dry cultivation|\Ipun̲a-kkāṭu\i shifting cultivation on the hills; \Ipun̲-cey\i land fit for dry cultivation only, dry crop; \Ipuñcai\i dry land|punam|a jungle, chiefly highland overrun with underwood and capable of irregular cultivation|\Ipuna-kkaṇṭam\i a hill-tract; \Ipuñca\i dry crop; \Ipuñca-kkaṇṭam\i field under irrigation, yielding even three harvests|puṇaji|dust-like dry soil in which a kind of paddy is grown|||||puñca-kaṇḍa|a very good rice-field|||0||||||||Tamil \Ipuñcai\i is obviously a reinterpretation of *pun-cey- 'upland-field'; thus, the Tulu form is borrowed from Tamil. Kannada \Ipuṇaji\i is unclear; either it does not belong here (the semantics AND the phonetics, with a retroflex -ṇ-, are a little different), or it is highly dialectal.|4337|N
3641|*pUnal-|river|0||pun̲al, pun̲ai|water, flood, river||punal, puṇal|water, river||ponal|stream, river|||||||||0|||||||||4338|N
3642|*PUn-ai-|to dress, put on|0||pun̲ai (-v-, -nt-)|to dress, put on, adorn, make ready, wear, make, form; n. beauty, decoration|\Ipun̲aivu\i beauty, decoration, making|punayuka|to put on, undertake||||||||||||0|||||||||4340|N
3643|*puŋ-/*pul- (?)|Indian beech|0||pun̲ku, puŋku, puŋkam, pūnti|Indian beech, Pongamia glabra; rosewood, Dalbergia lanceolaria||puŋŋu|Pongamia glabra|\Iuŋŋu\i Bauhinia variegata [considered a kind of \Ipuŋŋu\i]|hoŋge|Pongamia glabra Vent.; Dalbergia oujeinensis Roxb.|\Ipuligil\i, \Ipuliŋgil\i, \Ihuligilu\i P. glabra; \Ihuligali\i, \Ihulivili\i, \Ihulige\i D. oujeinensis||||puŋgu|Pongamia glabra|||0||||||||Possibly a bunch of different roots; extremely hard to determine the exact phonetics, as it often happens with SDR names of plants.|4341|N
3644|*Pun-|privet|0||pun̲ku, puŋku, (\ILush.\i) pun̲kan̲ (?; \Ispelled\i pun̲gan̲)|sp. privet, Ligustrum perrottetii||puŋŋu|(Lush.) sp. privet, Ligustrum perrottetii||||||||||||0|||||||||4342|N
3645|*pUn-ai|mast-wood|2103||pun̲n̲ai, pin̲n̲ai|mast-wood, Calophyllum inophyllum|\Ipun̲ku\i Malabar poon, Calophyllum tomentosum (also \Ikāṭṭu-ppun̲n̲ai\i)|punna|Calophyllum inophyllum; Rottlera tinctoria||punnike, ponne, honne|Terminalia tomentosa W. & A.|\Ihonneya mara\i id.; Rottlera tinctoria Roxb.; \Isura-honne\i R. tinctoria; Alexandrian laurel, Calophyllum inophyllum Lin.||||ponnè|Rottlera tinctoria|\Iśiri-ponnè\i Calophyllum apetalum||0||||||||For some reason, Tamil and Mal. have \I-u-\i, as if the root were subject to umlaut (this cannot be, as the inlaut resonant is geminated). Sanskrit influence (Skt. puṃnāga- can be suspected).|4343|N
3646|*pin-|to know|1359||||||||||||||pinpini|to know, understand, comprehend|\Ipinpāvuni\i to make to know, make known, reveal||0|||||||||4344|N
3647|*pUl-am|sense, wisdom|0||pulam|sense, sensation, knowledge, learning, treatise, the Vedas, clue|\Ipula\i (\I-pp-, -nt-\i) to make known, instruct; \Ipulattōr\i wise men; \Ipulacci\i wise woman; \Ipulappam\i appearing clearly; \Ipulamai\i knowledge, wisdom; \Ipulavan̲\i learned man|pulam|perception by senses||pola|object of sight, direction, point of the compass|||||||||0|||||||||4344|N
3648|*pū-|flower|1376||pū|flower, cock's comb, richness, flourishing condition, wire edge on tool, cataract in eye, albugo, menstruation|(\I-pp-, -tt-\i) to blossom, flower, bloom, flourish, menstruate; produce (as flower), create, give birth to; \Ipūppu\i flowering, blooming, menstruation|pū, pūvu|flower, blossom, comb of a cock, menses|\Ipūkka\i to blossom, bud, expand, menstruate; \Ipūkkal\i flowering; \Ipūppu\i growing, a crop, menses; \Ipūppikka\i to cause to blossom|pū (pūt-)|flowers to be produced, flower, bloom; n. flower, blossom|\Ipūvu\i flower; \Ipuvvu\i id., albugo; (Gowda) \IpūmbE\i bunch (plantain flower)|pū, (\IMercara dialect\i) pūvɨ|flower, neck feathers of a jungle cock||pū|flower, cataract in eye|\Ipūmbè\i the flower bud of a plantain|*pūp|695|||||||||4345|N
3649|*pū-|furred; sore; dry|2072|||||pūkka|(tongue) becomes furred||||||||pū agra|= \Iagra\i a sore mouth, aphthae, the thrush||*pū[v]-|1534|||||||||4346|N
3650|*Pū-|spark|2109||pū|spark, as of fire|||||||||||||||0|||||||||4347|N
3651|*Pū-|lac tree|1382||pū, pūvu, pūvam, pūvatti|lac tree, Schleichera trijuga|\Ipūvam\i longan, Nephelium longana|pūvam|a fine timber tree, (Lush.) Schleichera trijuga|(Lush.) \Imala-pūvana\i, \Icem-pūvana\i Nephelium longana; ? \Ipūvattam\i a tree that yields a red dye, Rubia munjista|||||||||||0|||||||||4348|N
3652|*pūjal-|clamour; battle|0||pūcal|clamour, battle, wailing, lamentation, distress||pūyal|fight||puyyal|vociferation, lamentation|\Ipuyalcu\i, \Ipuyyalcu\i to call or cry out, vociferate, lament||||||||0|||||||||4351|N
3653|*pūc-|to smear|1377||pūcu (pūci-)|to besmear, anoint, rub, daub on, plaster, scrub the floor with cowdung dissolved in water, clean, wash; n. daubing, smearing|\Ipūccu\i daubing, smearing, coating, gilding, plastering|pūcuka, pūśuka|to smear, daub, rub, whitewash, plaster, gild|\Ipūcal\i, \Ipūccu\i smearing, daub, coating|pūsu|to smear, daub, apply, anoint, plaster; n. act of smearing, etc.; oil for smearing on the body|\Ipūsuvike\i smearing, etc.||||pūjuni|to smear, rub, daub, apply|||0|||||||||4352|N
3654|*pūč-i|worm, insect|0||pūcci|insect, beetle, worm||pūcci|any insect||pūci, būci|worm, insect|||||||||0|||||||||4353|N
3655|*pū[s]-|to fart|2106|||||pūcci|a fart||pūsu|to break wind|||||pūpuni|to break wind|\Ipūki\i a fart; (B-K) \Iūsu\i id.||0|||||||KOR (O) \Ipūmpu\i to fart||4354|N
3656|*pū(n)č-|cat|0||pūccai, pūcai, pūñai, pūn̲ai|cat||pūcca|cat|||||pūñe|cat||pūcè, puccè|cat||*pīS|1513||||||||Expressive.|4355|N
3657|*pūc- (?)|yellow|1375|||||||||||||||||*pūc|696|||||||||4356|N
3658|*bū-|mould|165||pūñcu, pūñcaṇam, pūñcaḷam|mould, mildew, cobweb|\Ipūñcai\i cobweb; \Ipūñci\i dust; \Ipū\i (\I-pp-, -tt-\i) to become mouldy|pūkka|to become mouldy|\Ipūppu\i mould|būju, būje, būsi, būsu, būṣṭe|mould, mildew, mustiness|||||būju, būcu, būci, pūŋkè|mould, mildew|(B-K) \Ibuguṭu\i mould formed on the surface of foodstuffs||0|||||||||4357|N
3659|*būṛC-|down, feather|162|||||pūṭa|down of birds, wool, fine hair||||||||(?) puḷḷe|(B-K) plume, feather||*bū(ṛ)|1335||||||||Tulu \Ipuḷḷe\i could likewise be compared with several other roots, including \I*puḷ-\i 'bird', etc. However, the Malayalam and Kota forms are quite comparable if we consider that the inlaut of the root contains an untrivial cluster (phoneme?)|4358|N
3660|*būṭ-|trickery, boast, lie|0||pūṭṭakam, pūṭṭakkam, pūṭṭāŋkam|vain pretension, boasting, guile, unsubstantial work|\Ipūṭṭaŋkam\i guile, inveigling||||būṭa, būṭaka, būṭakatana, būṭāṭa|trickery, fraudulent display, lie|||||būṭi, būṭu, būṭaŋga, būṭkatane|empty boast|\Ibūṭuni\i to boast, brag||0|||||||||4359|N
3661|*pūnḍ-|bush, thicket|0||pūṭu, pūṇṭu|small plant, herb|\Ipūṇṭi\i shrubbery, garden||||||||||purṇḍè|a thorny bush|\Ipuṇḍè\i bush, thicket; \Ipūṇḍelụ\i a thicket, clump, as of bamboos||0||||||||If the root is indeed \I*pur-nḍ-,\i Tulu \Ipur-ṇḍè\i may be viewed as an archaic form.|4360|N
3662|*pūṇ- (\Icaus.\i *pūṭ-)|to wear; to yoke|1379||pūṇ (pūṇp-, pūṇṭ-)|to put on, wear, be fettered or yoked with, undertake (as a business); become entangled (as a lock of hair), be caught (as birds in a snare), be yoked, become inseparable; n. ornament|\Ipūṇu-nūl\i, \Ipūṇūl\i sacred thread; \Ipūṭci\i wearing, ornament, union, belief, determination; \Ipūṭkai\i belief, determination; \Ipūṇṭān̲\i husband; \Ipūṇi\i bull, bullock; \Ipūṇi\i (\I-pp-, -tt-\i) to cause to appear, bring into existence; make a vow; \Ipūṇippu\i vow, decision, resolve; \Ipūṭṭu\i (\Ipūṭṭi-\i) to lock, hook, unite, yoke, fetter, put on (as jewels, garlands), entrap; n. locking, harnessing, etc.; \Ipūṭṭai\i cord for fastening a bullock to its yoke|pūṇuka|to be closed, be yoked, embrace, put on (as cloth, ornaments)|\Ipūṇpu\i girdle, ornament; \Ipūṇunūl\i, \Ipūṇūl\i sacred thread; \Ipūṭṭuka\i to lock, yoke, bend the bow, embrace; \Ipūṭṭu\i closure, lock, yoking|pūṇ (pūṇd-)|to fix (as an arrow), begin; admit, assent, consent, promise, vow, challenge, bring forward or introduce; n. admission|\Ipūṇke\i admission, promise, vow; \Ihūṇi\i a vow; \Ipūḍu\i to join (tr.), tie to, yoke, fix (as an arrow), prepare, arrange, bring about, create, begin; n. established state; \Ipūṇipu\i to intend, aim at; \Ipūn\i to attempt; \Ipuṇumbu\i arrow||||hūṇe|a vow, promise|\Ipuṇepini\i, \Ipuṇepuni\i, \Ipuṇevuni\i to persevere till one has avenged himself, contest to the last, compete, vie; \Ipuṇevu\i resoluteness|*pūṇ-|698|||||||||4361|N
3663|*pūnḍ-i|town, hamlet|0||pūṇṭi|town, village, district|||||huṇḍi|hamlet|\Ihūḍe\i village fort||||||||0|||||||||4362|N
3664|*būt- (?)|foul, obscene|0||||||||būtu|foul, shameless, obscene language; a shameless, obscene man|||||||||0|||||||||4363|N
3665|*pūv-ai|puppet; woman|0||pūvai|lady, woman|||||hūhe|child; puppet||||||||*pup-|1079|||||||||4365|N
3666|*būr-|cotton tree|166||||||||būra, būraga, būruga, būruge, būrla|silk-cotton tree, Bombax|||||būruga, bōrada mara|Eriodendron anfractuosum|||0|||||||||4366|N
3667|*Pūr-i|a wind instrument|0||pūri|a wind instrument|\Ipūrikai\i trumpet|pūrika|trumpet||||||||||||0|||||||||4368|N
3668|*pūl-|feather-foil|0||pūl, pūlā, pūlācam, pūlāñci|black-berried feather-foil, Phyllanthus reticulatus|||||hūli|(Kitt.) a straggling shrub, (Lush.) Phyllanthus reticulatus|||||||||0|||||||||4369|N
3669|*Pū(v)-|soap-nut|0||pūvam|trijugate-leaved soap-nut, Sapindus trifoliatus|\Ipūvanti\i id.; four-leaved soap-nut, Hemigyrosa canescens|pūvanti|Sapindus laurifolius||||||||||||0|||||||||4370|N
3670|*Pū(v)-al|red|0||pūval|red colour, red earth smeared on cottages||pūval|red colour||||||||||||0|||||||||4371|N
3671|*pū-|a k. of plantain|0||pūvan̲|red banana; a kind of plantain||pūvan|a good plantain sort||||||||pūbārè|a kind of plantain|||0|||||||||4372|N
3672|*pūnǯ-|cock|1378|||||(?) pūvan|cock; male of plants||puñja, puñju|cock|||||pūñje|cock||*būǯ-|1207|||||||KOR (M) \Ihūnji\i cock|Malayalam \Ipūvan\i probably does not belong here (rather to \I*pū-\i 'flower').|4373|N
3673|*būṛ-|quail|0||pūṛ|quail, jungle fowl|\Ipūṛān̲\i Indian partridge, jungle fowl; \Ikur̲um-pūṛ\i quail||||burli, burali, buruli|quail|||||kudumbulu|quail||*-bǝr-|1422||||||||Since the root has been mostly used in compound forms as the second component, the auslaut consonant has been subject to specific, untrivial developments.|4374|N
3674|*pūṛ-i|mist|0|||||||||||pūḷɨ|mist on mountains|||||*piḷ-|1059||||||||Cf. Ta. \Ipūṛi nāṭu\i name of a district|4375|N
3675|*pūṛ-|to bury|1380|||||pūṛuka, pūṇuka|to be buried, stick in the mire|\Ipūntuka\i to sink in the ground; \Ipūttuka\i to press into, bury; \Ipūttu\i a grave|pūṛ(u)|to inwrap, insert, cover, bury|\Ihūṛ(u)\i to cover, bury; sink into (as a foot into mud), be filled up (as a channel); \Ihūṇ\i to bury oneself in a melee; \Ihūṇu\i, (PBh.) \Ipūṇ-\i to bury; ? \Ihugi\i id.; (Hav.) \Ihuggu\i to hide|pūḷ- (pūp-, pūt-)|to bury|||||*puṛ-|688||||||||Malayalam \Ipūntu\i, etc., are probably old derivates (< PDR *pūṛ-nd-); as for the variant with the nasal -ṇ- (Malayalam, Kannada), it is unclear; could it be contaminated with \I*pūṇ-\i 'to enclose' ('enclose' = 'bury'?).|4376|N
3676|*pūḷ-|chip, slice|0|||||pūḷ|chip, slice, wedge|\Ipūḷuka\i to wedge asunder, chip, take the eatable part out of a stone fruit, extract a mango or coconut with a knife, slice|hṓ|(Badaga) one part or piece (Emeneau, Language 15.46)|||||pūḷu|chip, small piece of anything, piece of betel-nut||*pīḷ|1055|||||||||4377|N
3677|*Pūḷ-ai|silk-cotton|0||pūḷai|red silk-cotton|\Ipūlā\i red silk-cotton tree|pūḷa|silk-cotton tree, Bombax malabaricum||||||||||||0|||||||||4378|N
3678|*pūr̲-|anus; female privates|1898||pūr̲u, pīr̲u|anus||pūr̲am, pūr̲u|buttocks; membrum muliebre|||||pūrɨ|female privates||pūṭi|female privates|||0||||||||Tamil \Ipīr̲u\i due to contamination with \Ipir̲r̲i\i 'behind'.|4379|N
3679|*bes- (*v-) (?)|fisherman|0||||||||besada, besta|fisherman, who also hires himself as palanquin-bearer|||||||||0|||||||||4383|N
3680|*penc- (?)|tile|0||||||||heñcu, hañcu, añcu|tile||añci|tile||hañcu|tile|||0||||||||Kodagu and Tulu forms are borrowed from Kannada, so the root is really represented only in Kannada.|4385|N
3681|*peḍ-|[expr.] to burst|0|||||piṭaruka|to burst||peṭal, peṭlu|sound in imitation of exploding, cracking as a rocket, etc.|\Ipeṭṭal(u)\i popgun||||||||0|||||||||4386|N
3682|*beṭ- (?)|bald|0||poṭṭal|baldness||peṭṭa|baldness||baṭṭatale|bald head|||||||||0||||||||Tamil \Ipoṭṭal\i contaminated with \Ipōṭu\i 'bald'.|4387|N
3683|*peṭ-i|box, chest|1246||peṭṭi|box, chest, basket|\Ipeṭṭakam\i chest, box; (?) \Ipoṭṭi\i box|peṭṭi|box, trunk|\Ipeṭṭakam\i box, chest|peṭṭi|box, chest, trunk|\Ipeṭṭige\i, \Ipeṭṭiya\i id., basket|poṭṭi|box||peṭṭigè|box, chest||*poṭ-ĭ (?)|1047||||||||Kodagu \Ipoṭṭi\i is regular, but the Tamil and Toda forms with \I-o-\i are not. Since there is little possibility of these forms being borrowed from Kodagu, we'll have to assume the possibility of borrowing from an obscure dialect of Kannada (?) or simply a different root.|4388|N
3684|*peṭ-|to beat|0||||||||peṭṭu|to beat (as with hand, staff, hammer, etc.); n. striking, a blow, stroke, hurt|||||peṭṭu|blow, slap||*peṭ|1505|||||||||4389|N
3685|*peṭ-|to push in, insert|2087||||||||heṭṭu|to push or put into, insert|\Ipeṭṭu\i to push penis into vagina||||||||0|||||||KOR (M) \Iheṭṭɨ\i to prick||4390|N
3686|*peṭ-|lie|0||peṭṭu|lie, delusive word|\Ipeṭṭan̲\i liar, deceitful person|||||||poṭṭɨ|lie||||||0|||||||||4391|N
3687|*veṭ-|firm, hard; cruel|0||veṭṭan̲avu|cruelty, hardness, force|\Iveṭṭi\i (\I-pp-, -tt-\i) to be harsh, rough, violent; \Iveṭṭitu\i that which is harsh, rough or violent; \Iveṭṭimai\i harshness, roughness, harshness of speech, anger; \Iveṭṭ-en̲al\i expr. of harshness, violence, severity; \Iveṭṭ-en̲avu\i severity, harshness, that which is severe or hard; \Iveṭṭai\i\i hardness as of metals||||beṭṭa, beṭṭi, beṭṭu, beṭṭe|firmness, hardness, excessive hardness of metals, harshness, rudeness|\Ibeṭṭane\i with harshness, force, fierceness, or vehemence; \Ibeṭṭit(t)u\i that which is hard, firm, strong, stiff, harsh, fierce, rough, rude, difficult, etc.||||boṭṭāna|excessively, exceedingly||*veṭ|1201||||||||Kota \Ibeṭṇ\i obviously borrowed from Kannada, as the word had an original *v-. B&E put the root under P, uniting it with Kannada \Ipeṭṭu\i 'pride, domineering', but this is absolutely impossible.|4392|N
3688|*peṭ-|suddenly, immediately|0||peṭṭ-en̲al|expr. signifying quickness||peṭṭ-ennu|suddenly, unexpectedly||||||||peṭṭụgụ, peṭṭigè|immediately, directly||*peṭ-|1506|||||||||4393|N
3689|*penṭ-|clod of earth|0||||||||peṭṭe, peṭṭa, peṇṭe, heṇṭe, heṇḍe|clod, lump|? (Hav.) \Ipiṭṭe\i excrement of goat or sheep (or with 4185)||||heṇṭè, eṇṭe|clod of earth|||0|||||||||4394|N
3690|*peṇ-|female|1237||peṇ|woman, daughter, girl, wife, bride, female of animals or plants|\Ipeṇṭu\i woman, wife; \Ipeṇṭir\i (pl.) women; \Ipeṇṭan̲\i, \Ipeṇṭakan̲\i, \Ipeṇṭakam\i hermaphrodite, eunuch; \Ipeṇṇan̲\i effeminate man; \Ipeṇmai\i being born a woman, feminine grace, womanliness, modesty; \Ipiṇai\i female of animals, doe; \Ipiṇaval\i female of the dog, pig, deer, or yak; \Ipiṇavu\i, \Ipiṇā\i id., woman; \Ipeṇṇai\i palmyra palm (cf. \Ipeṇ-pan̲ai\i female palmyra palm)|peṇ|a female, esp. a female child, girl, maidservant, bride|\Ipeṇṭi\i girl, woman; \Ipeṇṇan\i effeminate|peṇ, peṇṇu, peṇḍa|female, woman|(Shanmugam) \Ipeṇḍir\i (pl.) women; \Ipeṇḍati\i, \Ipeṇḍiti\i wife; \Ipeṇtana\i state of being a female, feminine character or behaviour; \Iheṇṇiga\i impotent man, coward; \Iheṇṇuga\i pimp; \Iheŋgasu\i female|poṇṇɨ|wife, female|\Ipoṇṇāḷɨ\i woman; \Ipoŋga\i id. (in songs); \Ipommakka\i women, wives|poṇṇu|girl, female, maid|\Ipoṇṇa\i female, feminine, bridal; \Ipoṇjavu\i, \Ipoṇjevu\i a female in general, a grown-up woman; \Iboḍedi\i wife; \Iemmaḷu\i woman|*peṇ|165||||||||The root is also present in the form *penḍ- in many of the languages; this derivate obviously goes back to PSDR and probably further.|4395|N
