NUMBER|PROTO|MEANING|PRNUM|STEMS|KOTA|TODA|ADDITION|NOTES|DEDNUM
1117|*taḍ-|waistcloth|2525|||toṛp|||3032
1118|*tat̲-|to slap|2622|||tot̲- (tot̲y-)|||3138
1119|*taṭ-|wax in honeycomb|2920|||toṭ|||3490
1120|*tay- (*c-)|to give the slip to|2104|||toy- (toc-)|||2458
1121|*Tār-|one string of bead necklace with several strands, one thread of skein hanging from woman's armlet|2644|||tōrm (\Iobl.\i tōrt-)|||3167
1122|*tād|powdery, soft (of flour or powdered chillies)|2637|||tōϑ|||3159
1123|*t-āj|mother (in songs)|327|||tōy|||364
1124|*teḍ-|to search for|2891|||tӧṛk- (tӧṛky-)|||3456
1125|*tud̲- (*d-)|to tell a lie|2840|||tud̲y- (tud̲c-)|||3397
1126|*tūv-|to spread (grain in sun to dry, husks for buffalo to eat)|2837|||tūf- (tūfy-)|||3394
1127|*tūv-|feather, bird's tail|2836|||tūfy|||3393
1128|*tūḷ|power of a god (in songs)|2804|||tūḷ|||3354
1129|*tūṭ (*c-)|front tuft of hair|2315|||tūṭ|||2721
1130|*tup-|to spit|2776|||tüf ɨn- (ɨd̲-)|||3323
1131|*tuḷ-ĭ- (*c-)|to twitter|2331|||tüɫ̣y- (tüɫ̣c-)|||2739
1132|*tuj-|to breathe heavily|2942|||tüy- (tüs-)|Also Toda \Itüy\i breathing (esp. hard), breath inside, life||3512
1133|*toḍ-ӓ|thigh|2756|||twaṛ|||3302
1134|*tōl- (*c-)|spider|2183|||twāloӡn|||2562
1135|*tōn-ǝp-|to sweep|2839|||twānf- (twānt-)|||3396
1136|*tod̲-|pair-word with \Itwӯṭm\i (see 3549)|2915|||twɨd̲y|||3485
1137|*toḷ-ǝg-|(ball) bounces, (river) goes over rocks|2808|||twɨḷg ӧḍ- (ӧḍϑ-)|Also Toda \Itwɨḷg fīs-\i (\Ifīsy-\i) (river) goes over rocks (\Ipīs-\i to swing)||3359
1138|*ub|in song-units: \Ien mox ubā\i, \Ien mar̲y ubā\i O my child!|575|||ub|||639
1139|*uḍ-|dress of non-Todas|530|||uḍp|||587
1140|*uḍug-|a big lizard|534|||uḍuxu (\ISak.\i, \Iprobably\i uḍx)|||592
1141|*uc-ǝk-|top of tree, zenith|523|||ušky|||579
1142|*ur-t-|to take off (ring, bangle, shirt or coat, sari)|586|||ušt- (ušty-)|||652
1143|*udur|gums|544|||uϑur|||606
1144|*ūr-|to disappear, be lost|581|||ūr- (ūϑ-)|Also Toda \Iūr-\i (\Iūd-\i) to disappear suddenly by magic; \Iūf-\i (\Iūt-\i) to cause to disappear of a sudden, be a terrible fellow and do damage; \Iūϑ\i, in: \Iɨr ūϑ\i, \Iōɫ̣ ūϑ\i n. pr. places at the end of the road to the world of the dead 'where the buffaloes, the people disappear'||647
1145|*ūr̲-|to spring forth, be filtered, ooze|683|||ūr̲- (ūr̲y-)|Also Toda \Iūt̲-\i (\Iūt̲y-\i) to drain, filter||761
1146|*up-|to blow, blow away (e. g. ashes)|569|||üf ɨn- (ɨd̲-)|||633
1147|*uj-|to chase|858|||üy- (üs-)|||984
1148|*āg-|to side with, connive with|3400|||wāx ōx-|||4053
1149|*ṛēḷ (?)|saliva|0|||wēɫ̣|||2937
1150|*ot-|high white anthill (\Ikud̲y-\i pit)|3638|||wɨt-xud̲y|Also Toda \Iwɨt-moṇ\i id. (\Imoṇ\i earth)||4335
1151|*od-|(waist-cloth) slips off|553|||wɨϑ- (wɨϑy-)|||615
1152|*ōt-ĭ|large jungle lizard|919|||wӯč|||1053
1153|*ōr-ĭ|steep hillside|928|||wӯry|||1062
1154|*a-v-|that man|0||avn||||1
1155|*av-ǝḷ|that woman|0||avḷ||||1
1156|*av-ǝr|those persons|0||avr||||1
1157|*as (*-c)|mould for casting iron|42||ac||||47
1158|*aS|place below|64||ac||Also Kota \Iacgaṛ\i place beneath an object, position after the first in a row; \Iac mog\i younger son||72
1159|*aḍejḷ-|breadth, broad|93||aḍeyḷm, aḍīḷm||||103
1160|*aḍ-ǝm|two-anna piece|94||aḍm (\Iobl.\i aḍt-)||||104
1161|*muṛ-|to bow to the ground before god or god-like person|4290||aḍ mug- (muṛt-)||||5123
1162|*aǯ- (?)|to dip into liquid, dip rice into broth and remove at once before it is soaked, dunk|257||aj- (aj-)||||285
1163|*aǯ|very old man|45||aj ayṇ||Also Kota \Iaj av\i very old woman||50
1164|*al-ǝv-|to become wearied by walking or searching|213||alv- (ald-)||Also Kota \Ialv-\i (\Ialt-\i) to cause to become wearied, etc.; \Ialvl\i state of being busy, trouble||236
1165|*aḷ-|to shake (intr.), walk in tired fashion|264||aḷk ār- (āc-)||Also Kota \Iaḷk āṭ-\i (\Iāc-\i) to shake (tr.), wag; \Iaḷ\i belly (\Iaḷ āṛ-\i belly shakes, i.e. fear comes); \Iaḷkaṭ\i waist on either side of belly||294
1166|*am-|mother goddess of the Kota trinity|165||amn, amnōr, amnāc||||183
1167|*an-ǝv|fertility of ground|296||anv||||328
1168|*aṇ-|by the help of|109||aṇār||||123
1169|*aŋ-|to look upwards|30||aŋgāv- (aŋgāt)||||34
1170|*aŋǝl-|desire, liking|27||aŋglāpm||||31
1171|*ap-|to throw (clay) into crevice to stop it, beat strongly with hand|139||ap- (apy-)||||157
1172|*ap|clay plate with 7 to 9 pits, about 3 inches across, for frying cake called piṭāṛ (made of wheat flour and solution of jaggery, and apparently the Ko. equivalent of Ta. appam)|137||ap gal||||155
1173|*kal-|clay pot in the making|1151||kalm (\Iobl.\i kalt-)||Also Kota \Ik/gal\i in: \Iap gal\i||1305
1174|*ā̆r-kal|hailstone|342||argal (? ārgal)||||378
1175|*ar-ǝk-|(father) refuses to repay daughter's bride-price|200||ark- (arky-)||||223
1176|*ar-|fear because discovery of one's misdeeds is expected, feeling of anxiety about getting a living, sorrow because of bereavement|3023||arkl||||3605
1177|*ar-ǝḷ|voice of god spoken through diviner|204||arḷ||||227
1178|*ar-|file|206||arm (\Iobl.\i art-)||||228
1179|*ar-ǝt-|to pursue (men, game, etc.)|2025||art- (arty-)||||2362
1180|*aḍ-ĭ-|to strike (ball in game)|68||ayṛ- (aṛc-)||Also Kota \Iaṛdaṛy\i act of quarrelling with blows; \Iaṛymuṛy gey-\i (\Igec-\i) to win over someone (\Iacc.\i) in a fight||77
1181|*aḍ-|small anvil|78||aṛ gal||||86
1182|*muḍ-|to finish (work)|4115||muṛc- (muṛc-)||Also Kota \Iaṛymuṛy gey-\i (\Igec-\i) to overcome (someone) in a fight||4922
1183|*naḍ-|(sweat) streams (dative of person)|0||naṛ- (naṭ-)||||97
1184|*aL-ĭ|brother-in-law, male cross-cousin (male speaking)|2066||ayḷ||Also Kota \Iayḷ bāvn\i brothers-in-law, male cross-cousins (collectively); \Imal ayḷ\i son-in-law who lives in father-in-law's house||2410
1185|*aḷ-ĭ|twin children|270||ayḷ mog||||301
1186|*av-ĭ-|to chew|0||ayv- (avc-)||||2334
1187|*ādār-|road, path|2647||ādāry||||3170
1188|*āk|swamp|304||āk||Also Kota \Iā(k) kāṛ\i swampy land||336
1189|*āl|banyan|346||āl||||382
1190|*ān-|hail|318||ān-gal||||355
1191|*ā-p|wedge, peg, stake|306||āp||||340
1192|*ārj-|carefulness|341||āryek||Also Kota \Iāryekārn\i head cattle-boy||377
1193|*ē-|long sticks used as outside layer (i. e. binding) of bundle of small twigs for firewood|4305||ēp||||5149
1194|*āv-|to give (name to child)|0||āv- (āt-)||||5149
1195|*āvǝr-|Cassia auriculata|354||āvrm (\Iobl.\i āvrt-)||||391
1196|*āj-|to pick up, pluck|326||āy- (āc-)||||363
1197|*bagāl|conspicuous (of a view from a high place), wide-open (of a door)|3300||bagāl||||3940
1198|*bag-|blazing with sudden flame|3186||bagn, bagbagn||||3802
1199|*baḍ-|onom. of defecating with diarrhoea, or of a falling tree|4355||baṛr baṛrn||||5230
1200|*bāḷ-|fatigue (? < Badaga)|4411||bāḷ||Also Kota \Ibāḷ-\i (\Ibāḷy-\i) to become exhausted from hunger||5293
1201|*veṭ|hard (of gold mixed with alloy)|3687||veṭ||Also Kota \Ibeṭṇ\i one who is strong and big||4392
1202|*bod-|(to pour out water) so that it all falls out at once; shaking in terror so that one cannot stand still|3775||bodbodn||||4511
1203|*bōk-|pot with piece broken from mouth|3826||bōkvāy arāṭ||||4576
1204|*bōṭ|hollow in tree trunk, hole that goes through|3846||bōṭ||||4599
1205|*bur-|suddenly, quickly|3632||burn, brn, burakn, burburn, brbrn||Also Kota \Ipṙ̇̇\i, \Ipuṙ̇̇n\i, \Ipurpurn\i, \Ibṙ̇̇\i, \Ibuṙ̇̇n\i, \Iburk\i, \Iburkn\i noise of bird flying up suddenly from ground||4329
1206|*bul|liver-coloured|3614||bul||Also Kota \Ibul/n/\i n. pr. dog or bullock; fem. \Ibuly\i||4310
1207|*būǯ-|cock|3672||būjn||||4373
1208|*cak|lean (of meat)|1944||cak||Also Kota \Icakn\i lean man; fem. \Icaky\i||2268
1209|*Saḷ-|perineal cloth|2037||calaḷm, caḷm, (\IKurgōj and Mēnāṛ dialects\i) colaḷm, cōḷm||||2379
1210|*Sal-ǝg|a grain measure|2026||calg||||2365
1211|*sam- (*c-)|to be finished, spent|2004||cam- (camd-)||Also Kota \Icam\i- (\Icamt-\i) to finish||2343
1212|*Sap|tastelessness of broth without salt|1998||cap, capīḷy||||2337
1213|*Sapaṭ|noise of hand-clap|1997||capaṭ||||2335
1214|*Sar[ǝ]ḍ|flat neck-band closely fitting|2020||carḍ||||2356
1215|*Sar-|spices for curry|2017||cark||||2353
1216|*Sar-pVḷĭ-|woman's neckchain|2021||carpeyḷg||||2358
1217|*Saṭ|rack, poles on roof parallel to roof-tree to hold tiles or thatch|1971||caṭ||Also Kota \Icaṭm\i rule, tribal custom||2304
1218|*Saṭ-|iron ladle with flat, round blade, for taking rice from pot|1976||caṭy gōl||||2309
1219|*Sav-ǝr-|to cut down a whole collection of standing plants, bushes, etc.|2048||cavr- (cavry-)||||2390
1220|*Sav-ĭ|taste left in mouth for food just eaten|2054||cayv||||2396
1221|*Sāg-|(man) becomes old, (span of time) is past, (disease) is cured, (possessions) are moved from one house to another|2079||cāg- (cāyg-)||Also Kota \Icāgc-\i (\Icāgc-\i) to live, shift (possessions) from one house to another||2430
1222|*Sār̲- (*-r-)|to tell news of in all places|2126||cār- (cāry-)||||2486
1223|*Sāt-|to give a blow to, beat|2096||cāt- (cāty-)||||2450
1224|*Sāv-ĭ|colour|2103||cāyv||||2457
1225|*Seb|sores on the mouth in syphilis|2164||ceb||||2536
1226|*cek- (*s-)|chip|2337||cek||||2748
1227|*Seḷ|long, round stick of fairly large size|2369||ceḷ||||2790
1228|*Si(n)ḍ-|Solanum indicum|2272||ciḍ muḷ||||2665
1229|*Sik-|mouse|2131||cikn||||2495
1230|*Sil|branch of a tree, tine of antlers, tributary of river|2206||cil||Also Kota \Icil kav\i pole with a fork at the end||2587
1231|*cil- (*s-)|to drizzle|2190||cilk iṛ- (iṭ-)||||2569
1232|*Sil-ǝv-|to break along the length of the grain (intr.)|2187||cilv- (cild-)||Also Kota \Icilv-\i (\Icilt-\i) id. (tr.)||2566
1233|*Siv-|(repeated any number of times) onom. of young birds twittering|2201||civk||||2581
1234|*Sīl|life; air, blast of air from bellows; noise, small noise|2281||cīl||||2680
1235|*cīḷ|pieces (of pot, paper, etc.), division of land|1419||cīḷ||||1622
1236|*Sīp-|to suck out at one draught|2234||cīp- (cīpy-)||Also Kota n. \Icīp\i||2621
1237|*ub-|to suck penis|2235||ub- (uby-)||||2621
1238|*Sok-|to take a nap; ? to change colour (fruit past prime, face because of starvation)|2409||cok- (coky-)||Also Kota \Icok\i self-pride||2853
1239|*Col|command|2411||col||||2855
1240|*Sot|deep depression on the arm where rope or chain has been tied|2402||cot||Also Kota \Icot gāl\i legs and feet too small in proportion to rest of body; \Icotgāj\i woman who has cot gāl; \Icot gay\i one arm smaller than the other (i. e. withered)||2838
1241|*Sōmār-|idle fellow|2426||cōmāry, cōmbēry||||2882
1242|*Sōṭ|breadth of four fingers|2397||cōṭ||||2834
1243|*Sōv-|to become tired|2428||cōv- (cōt-)||||2884
1244|*Suḷ-|long pliable stick, stalk of plant|2303||cuḷk||||2706
1245|*Suḷ-|easy work, easy|2300||cuḷv||||2703
1246|*Sund̲-|to boil away (intr.); ? to starve oneself for one's children's sake|2269||cund̲- (cund̲y-)||||2662
1247|*Sund̲-|to test (coin) by flicking it up in the air and listening to the noise made by the thumbnail in flicking|2270||cund̲- (cund̲y-)||||2663
1248|*Sur|(belly) feels hungry, (heart) burns with guilt|2286||cur in-, cur cur in-||||2688
1249|*Sūḷ|woman who has sexual intercourse with men of all castes, prostitute|2333||cūḷ||||2741
1250|*dap-|stoutness, thickness|2561||dapm (\Iobl.\i dapt-)||Also Kota \Idabaṛ\i, \Idabaḷ\i stoutness of body||3070
1251|*daḍ-|with a sudden jerk|2515||daḍṇ, daḍāl||||3022
1252|*dag|(flame) burns brightly|2492||dag dag in- (id̲-)||Also Kota \Idagdagn\i with a good light||2998
1253|*dar-|noise of dragging something along ground|2581||dardarn||||3093
1254|*daḍ-|path, way|2517||daṛv||||3024
1255|*daṭ|thick thread woven into cloth to produce raised effect|2513||daṭ||||3020
1256|*diḍ-|in a flash, swiftly|2686||diḍakn||||3216
1257|*diḍ|to make trampling noise|2687||diḍ diḍ in- (id̲-)||||3217
1258|*dig-|to be thunderstruck or astounded because found out in wrongdoing|2675||digīḷ in- (id̲-)||||3202
1259|*doḍ|big, great|2921||doḍ||Also Kota \Idoḍ-\i (\Idoḍy-\i) to grow big||3491
1260|*doṇ|big club|2932||doṇ||||3502
1261|*duṇḍ|elephant's trunk|2765||duṇḍ||||3311
1262|*dū|hollow in ground at burning-place where pyre is built|2822||dū||||3375
1263|*dūd-ĭ|silk-cotton tree|2829||dūdy||||3383
1264|*ḍab-|to make noise as of gun shooting or bamboo joints exploding in fire|2480||ḍabār in- (id̲-)||Also Kota \Iḍab ḍab in-\i (\Iid̲-\i) to make noise of the big flat drum (tabaṭk); \Iḍab ḍob in-\i (\Iid̲-\i) to make noise of gun shooting||2947
1265|*eS-|to pick (berries, fruit)|698||ec- (ec-)||||779
1266|*eḷ|thread in cloth|456||eḷ||||506
1267|*eḷ-ǝg-|(something) is slightly raised or imperfectly fixed in place, lift one's body slightly from ground, (mind) is moved (by pity)|459||eḷg- (eḷgy-)||Also Kota \Ieḷk-\i (\Ieḷky-\i) to lift slightly from position, lever out, pull (trigger); \Ieḷc-\i (\Ieḷc-\i) (blister) rises||509
1268|*eḷd-|to write|752||eḷd- (eḷdy-)||Also Kota \Ieḷt\i writing; \Ieḷp\i unjoined suture in top of child's skull||853
1269|*eṇ|oil|753||eṇ||||854
1270|*er|food brought by birds to young, prey of a wild animal|440||er||||490
1271|*er|to play 'peeping tom'|792||er uk- (uky-)||||903
1272|*etor̲-|to come to senses after sleep|750||etor- (etot̲-)||Also Kota \Ietorc-\i (\Ietorc-\i) to bring to senses after sleep||851
1273|*eḍ-ǝc-|to think and say ill of one, shame, laugh to shame|703||eṛc- (eṛc-)||||791
1274|*eḍ-|rude, overbearing conduct|389||eṛk||||433
1275|*et-|to take (by picking up and carrying), take off (cloak), raise (as legs to the sky when one is knocked down), join (hands in salutation), open (eyes in amazement), build (house)|708||et- (eyt-)||||796
1276|*et- (*-t̲-)|to sing (song), play musical instrument|4312||et- (eyt-)||||5156
1277|*eṭ-|to be sufficient, be a match for|701||eṭ- (eṭy-)||Also Kota \Ieṭēr-\i (\Ieṭēry-\i) to reach, be sufficient||783
1278|*ēd-|to drive away|782||ēd- (ēdy-)||||893
1279|*ēŋ-|to grieve|772||ēŋg- (ēŋgy-)||Also Kota \Iēkatm\i extreme sorrow||878
1280|*ēṇ-|edge|778||ēṇer||||886
1281|*ēr̲|river|4315||peyv-ēr (\Iobl.\i peyv-ēt̲-)||Also Kota \Iēt̲ aṇ\i edge of bank of stream or tank; \Iēr\i (obl. \Iēt̲-\i), in: \Itēlviēr\i Pykara river (< \Itēl pey ēr\i), \Ikimēr\i n. pr. of swamp at Kolmēl village||5159
1282|*Kav-|suddenly|1163||kavakn||Also Kota \Igabakn\i, \Igubakn\i noise of jumping into water, of fire blazing up||1320
1283|*gad (*-ṛǝd)|paddyfield|1196||gad||||1355
1284|*gadb-|to hurry|1039||gadb- (gadby-)||||1188
1285|*gag-|to make first tentative unmusical notes on clarinet when starting to play|0||gagc- (gagc-)|||!!|1291
1286|*kaj\L1\l (*-s)|party in a quarrel|947||kac||Also Kota \Igaj-vāyṇ\i man who talks nonsensically (\Ivāy\i mouth)||1089
1287|*gal|(tree) shakes|0||gal gal in- (id̲-)|||!!|1302
1288|*gam-|good smell (of food, incense)|1093||gaml||Also Kota \Igamgam in-\i to be fragrant||1247
1289|*gam-ǝn|state of saying or doing nothing|1095||gamn||||1248
1290|*gar (*-r̲)|quill of feather|1233||garl||Also Kota \Itōkrl\i small peg used in pegging down hide to dry (\Itōl+karl\i)||1389
1291|*geṇḍ|round lump or ball (food, butter), growth in abdomen|0||geṇḍ||Also Kota \Igeṇḍ-payṇ\i frost on grass, ice on top of water||1148
1292|*geṇḍ|dog's penis becomes stuck in copulation|1699||geṇḍ kaṭ- (kac-)||||1949
1293|*gil-|(to laugh) triumphantly|1378||gil(n), gilgil(n)||||1575
1294|*gil-ĭ|extreme fear|1375||giḷy||||1572
1295|*kiS-|to make a grimace (of derision, etc.) by opening mouth and drawing back lips, open mouth at death|1332||kicv- (kict-)||Also Kota \Ikicvāyṇ\i one who acts foolishly through temporary inadvertence; \Iginj-\i (\Iginj-\i) (dog) shows (teeth) with a snarl||1510
1296|*gir-|clapper for scaring birds|1394||girk||||1593
1297|*goḍ-|man who has no children|1798||goḍṇ||Also Kota \Igoḍy\i barren woman||2074
1298|*gotgār-|treasurer of the village|1815||gotgārn||||2093
1299|*gōḷ|sorrow|1938||gōḷ, gōḷm||Also Kota \Igōḷō\i excl. used in songs; \Igȯ̇̇ in-\i (\Iid̲-\i) to lament||2252
1300|*gōṇ|corner of room|1904||gōṇ||||2209
1301|*gōḍ|wall|1902||gōṛ (\Iobl.\i gōṭ-)||||2207
1302|*guS-|to whisper|1432||guc guc in- (id̲-)||Also Kota \Igucgucn\i in a whisper, secretly||1638
1303|*kut|blow with fist|1613||kut||||1850
1304|*kur̲-|to pound (clay in preparation for making pots)|1612||kur- (kut̲-)||||1850
1305|*gug-|pigeon|0||gugrceṭy||||1930
1306|*gunḍ-|a huge, round stone|1478||guṇḍ gal, kal guṇḍ||Also Kota \Iguṇḍ gaṭ\i a way of tying up a person in a ball||1695
1307|*gur-ĭ-|funeral car|1559||gurykaṭ||||1786
1308|*ik-ǝḷ|tongs|400||ikḷ||||444
1309|*inǯ|ginger|386||inj||||429
1310|*ir-ǝg|kindling (dry plants with leaves still on)|732||irg||||826
1311|*ir-ĭ-|to kill in a battle|428||irymury gey- (gec-)||||478
1312|*iḍ-|to have sexual intercourse with|457||iṛ- (iṭy-)||||507
1313|*īj-|to drive (cattle)|419||īy- (īc-), īc- (īc-)||||469
1314|*ǯag-|to be afraid|1954||jag- (jagy-)||||2281
1315|*ǯar-ǝv-|to slip and fall, slide down a slope|2023||jarv- (jard-)||Also Kota \Ijarv-\i (\Ijart-\i) to cause to slip and fall; \Ijag-\i (\Ijagy-\i) (solid thing) budges from place||2360
1316|*ǯal-|to become lean|2050||jag- (jagy-)||Also Kota \Ijalv-\i (\Ijald-\i) to become lean and stringy with old age (\Ijalv-\i < \I*javl-\i)||2392
1317|*ǯaŋ-|slackness (of rope)|1956||jaŋk||Also Kota \Ijaŋg-\i (\Ijaŋgy-\i) (rope or waistcloth) becomes slack or loose, (handle of tool) is loose||2283
1318|*ǯāḍ|sign (made by hands, eyes, etc.)|2088||jāṛ||||2442
1319|*ǯāṭ|string to spin top|2089||jāṭ||||2443
1320|*ǯel-|anklet with bells|2193||jelk||||2572
1321|*ǯir|gum, any adhesive|2179||jir||||2556
1322|*ǯol|saliva|2415||jol||||2862
1323|*ǯok-|carefulness|2421||joyk||||2871
1324|*kabaḷ-|communal work in one man's garden|1084||kabaḷm||||1238
1325|*kac-ǝl|Bengal gram|974||kacl||||1120
1326|*kaḍ-ǝṇ|short, broad person (male or female)|1005||kaḍṇ||Also Kota \Ikaḍ pī\i constipated stool||1151
1327|*kag|deep pool in river|0||kag|||!!|1085
1328|*kar-|keenness or harshness (of wind)|1111||karp||Also Kota ? \Ikakōṭ\i hoe with sharp, broad blade||1265
1329|*koṭ-ǝk-|(snake) strikes, bites|1792||koṭk- (koṭky-)||Also Kota ? \Ikakōṭ\i hoe with sharp, broad blade (for \Ika-\i, see 1265)||2064
1330|*kal-|Nilgiri ibex|1158||kal āṛ||||1312
1331|*kaln|jaggery|1252||kaln||||1414
1332|*kaḍ-ǝv-|to be stretched, prortrude through hole (e. g. piles)|1191||kaṛv- (kaṛd-)||Also Kota \Ikaṛt-\i (\Ikaṛty-\i) to make to protrude through hole; \Ikaḷ\i swelling (e. g. caused by blow of a stone)||1350
1333|*kaḷ|toddy|1213||kaḷ||||1374
1334|*kaḷ-ĭ-|to taste salty|1200||kayḷ- (kaḷc-), kaḷc- (kaḷc-)||Also Kota \Ikayḷkc-\i, \Ikaḷcgc-\i to oversalt||1359
1335|*bū(ṛ)|eyebrow (\Ikam-\i < \Ikaṇ\i eye)|3659||kam-bū||||4358
1336|*kan|redhot (\Ikan ib\i redhot iron; \Ika(n) nep\i red coals)|1244||kan||Also Kota \Ikanc-\i (\Ikanc-\i) to expose (dead person's jewelry) to fire to remove pollution||1406
1337|*kand-|revenue money|1058||kandīg||||1209
1338|*kanḍ-|man not related to one|1025||kaṇḍōn||Also Kota fem. \Ikaṇḍōḷ\i||1172
1339|*kanḍ-ĭ|small elevation of land|1029||kaṇḍy||||1176
1340|*kaṇk|thin dry sticks used as kindling or in a bunch as a torch|1018||kaṇk||||1165
1341|*kaṇḍ-|flesh of hind thigh of animal|1028||kaṇṭ-pōt||Also Kota \Ikaṇṭ-kāl\i calf of leg||1175
1342|*kar-ǝnd-|to prepare (to do), have great desire (to do)|1132||karnd- (karndy-)||Also Kota \Ikart\i purpose, aim strenuously striven for||1283
1343|*kaḍ-k|earring|991||kaṛk||||1138
1344|*kaḍǝt-ǝl|neck|1206||kaṛtl||Also Kota ? \Ikiḍg\i neck||1366
1345|*kaḍ-vǝn|tom-cat|993||kaṛvn||||1140
1346|*tar-ĭ- (*-r̲-)|to cut, using implement with one hand, cut path through jungle|2623||tayr- (tarc-)||Also Kota \Ikatīr-\i ( < \Ikaty-tayr-\i; \Ikatrc-\i < \Ikaty-tarc-\i) to cut; \Itary\i, \Itayr\i fence-rails between which and the posts brush is filled in; \Itayrgōṛ\i wattle-and-daub house-wall||3140
1347|*kaṭ-ǝḷ|cot|997||kaṭḷ||||1145
1348|*kaṭōḷ|wall of temple compound|998||kaṭōḷ||||1146
1349|*kavd-|saddle, cloth put on pack-animal's back under load|1167||kavdy||||1324
1350|*kaṇ-ĭ|yoke-rope for bullock|1035||kayṇ||||1184
1351|*kāv-ĭ|sannyāsi's dress of orange cloth|1313||kāyv||||1490
1352|*kel-ǝv-|to dig with fingers or paws|1162||kelv- (kelt-)||||1319
1353|*kenǯ-|to beg|1691||kenj- (kenj-)||||1939
1354|*kerc|flat basket for drying grain, placed in rack over fireplace|1712||kerc||||1966
1355|*kerŋ-|feather, wing|1727||kerŋgl, kergl||||1983
1356|*keṭ|testes; scrotum|1795||keṭ||||2069
1357|*keṇ-ĭ|cheek just in front of ear|1731||keyṇ||||1989
1358|*kēn|foolish man|1751||kēn||Also Kota fem. \Ikēny\i||2021
1359|*kik|small round basket|1425||kik||||1629
1360|*kil-|verdigris|1387||kilm(b)||||1586
1361|*kiṇḍ-ĭ|metal drinking vessel (no spout)|1355||kiṇḍy||||1541
1362|*kīr̲|loose bosom and waist of woman's clothes when tied at waist for working|1414||kīr (\Iobl.\i kīt̲-)||||1616
1363|*kīr (*-r̲)|a mark, line|1420||kīr||||1623
1364|*kīr- (*-r̲-)|rope|1101||kīr-nāṇ||||1254
1365|*koc-|suddenly|942||kocakn||||1086
1366|*kul-ǝg-|to shake (intr.: diviner, angry man, man with fever), jog up and down (like horse)|1573||kulg- (kulgy-)||Also Kota \Ikulk-\i (\Ikulky-\i) to shake (tr.)||1806
1367|*korg (*-r̲-)|thigh|1601||korg||||1840
1368|*kor|to make the sound of a death-rattle|1838||kor kor in-||||2122
1369|*kol-ĭ (*-ḷ-)|Setaria italica|1868||koyḷ||Also Kota \Ikorly\i id. (< Badaga)||2163
1370|*koḍ|hook of tongs|1779||koṛ||||2052
1371|*kot|side (\Ia kotl\i on that side, \Ii kotl\i on this side)|1879||kot||Also Kota \Ikoty\i trigger of gun||2174
1372|*koj- (?)|timidity, terror|1936||koyed||||1876
1373|*kōv-|to string, thread|1881||kōv- (kōt-)||Also Kota \Ikōd\i long strip of dried meat||2176
1374|*kōǯ|spider|1891||kōj||||2195
1375|*kōǯ-|(leg or arm) becomes asleep|1889||kōj- (kōj-)||||2187
1376|*kōḷ|laying information about something heard|1937||kōḷ||||2251
1377|*kōmāḷ-|buffoon in drama|1913||kōmāḷy||||2222
1378|*kō-|the plains|1882||kōnāṛ||Also Kota \Ikōnāṭōn\i, \Ikōnāṭōr\i man, men of the plains||2177
1379|*kōr-|vow paid to god|1921||kōryk||||2232
1380|*kōṭ-ĭ|big marble used with a lot of small pebbles in one form of jackstraws|1899||kōṭy gal||||2205
1381|*kudāj-|hoe|1500||kudāy||||1722
1382|*kud-|to fix firmly in ground, tamp earth around (post), hammer end of iron bar to shorten it, apply force|1489||kud-iḍ- (iṭ-)||||1709
1383|*kuk-|to sit down|1424||kukīr- (kukrc-)||||1628
1384|*kuḷ|shortness and broadness of figure|1600||kuḷ||Also Kota \Ikuḷ(ṇ)\i short man; fem. \Ikuḷy\i||1839
1385|*kuḷ-|(hands, feet, body) feel cool, (mind) feels calm and peaceful|1595||kuḷak in-, kuḷkuḷ in-||||1834
1386|*kurḍ-|blindness|1560||kurḍ, kūṛ||Also Kota \Ikurḍṇ\i, \Ikūṛṇ\i blind man; fem. \Ikurḍy\i, \Ikūṛy\i||1787
1387|*kunǯ|children as given by god, men as children of god|1438||kunj||Also Kota \Ikun\i small||1646
1388|*kuṇ-ĭ|bee|1631||kuṇy||||1867
1389|*kur-|beautiful or handsome person|1556||kurj||||1782
1390|*kur-|young cow (up to three years)|1564||kurl||||1791
1391|*kūk-|foolish man|1670||kūkn||Also Kota fem. \Ikūyk\i||1913
1392|*mad-ǝl|lintel of doorway|3922||madl||||4689
1393|*mavǝṇ-|to overturn (intr.), (sleeping person) rolls over|3855||mavṇ- (mavḍ-)||Also Kota \Imavṭ-\i (\Imavṭy-\i) to overturn (tr.), roll over, push; \Imaṛt-\i (\Imayt-/maṛty-\i) to turn over (tr.: stone, log, sleeping person), push away (charcoal from funeral burning-place); \Imaṛty gōl\i churning stick; \Imakīr-\i (\Imak(a)rc-\i) (tree) is unrooted and falls; ? \Imakaḷc-\i (\Imakaḷc-\i) to disobey (command), break (oath, promise)||4617
1394|*moḷ-|cubit|4177||moḷm||Also Kota ? \Imalm\i cubit||4990
1395|*maṇ-|to shave|3971||maṇ- (mayṇḍ-)||||4748
1396|*mar̲ (*-r)|iron hook with long wooden handle, used to loosen up straw that cattle are treading on threshing floor|4256||mar||||5083
1397|*mar-|infatuation caused by love-philtre|3948||marg||Also Kota \Imark mad\i Kurumba medicine which causes helplessness to resist physical harm||4722
1398|*maḍ-|deep pool in a stream|3892||maṛv||||4658
1399|*maḍ-|(water) boils and bubbles|3882||maṛv- (maṛd-)||||4648
