NUMBER|PROTO|PRNUM|MEANING|STPRO|CHU|KOR|PAL|ALU|CHFUNC|KOFUNC|ALFUNC|IM|BOG|RKS|NRS|YFA|PAK|COMMENTS|NIOD|NIODNUM|EXT
1462|*ʁǝlʁǝ-|534|тундра|*hǝllǝq|ʔǝˊtlǝq (ʔǝtlʔǝˊ-ɣǝpǝ abl.) (I)|||||||626|35|||||Здесь в чук. преобразование "-ǝlʔǝ > -tlǝq, как в слове 'небо' "-ǝjʔǝ > -ǝjeq.||0|
1463|*'ъllona|691|личн. мест. 3sg. "он" 1, где он, они 2|*ъn-lon|(ʔ)ǝtloˊn 1, ɛˊmi-tlon sg., ɛˊmi-tlona-t pl. 2|||||||637|35, 27|||||Первая часть *ǝn- - местоимение 3 лица. См. также ɛˊmi-tlon sg., ɛmi-tloˊnat pl. 'где' (826).||1005|
1464|*ɣitŋi- (~ ị)|527|поздняя вечерняя заря|*ɣitŋi-|ɣiˊtɣi-lʔǝ-n|||||||727|47|||||||0|
1465|*ifʒǝq- (~ ị)|461|ужас 1, устрашаться 2, черт 3|*jiɣǝq-|jiɣiq, (+АБ) jiwiq 1, jiɣǝq-ɛˊt- 2||iwlˊaq(a) 3|imjaq 3|jeweq-etǝ abl.|||1003, 1008|64|||40|31, 249, 282|В алют. тексте imǝcʔu imjaq niŋvit-a na-lŋǝ-tkǝni-ɣǝm 'уже черти знают меня'. Первое слово 'уже', а дальше парное слово imjaq niŋvit 'черт-дух', а не второй раз 'уже' как у И.А. Муравьевой.||0|
1466|*ʒ[ǝ]lu- (~ ụ)|463|поддержать, защитить|*j[ǝ]lu-|jǝluˊ-, (+ АБ) jilu-|||||||1015|61|||||||0|
1467|*ǝtafǝt|0|тогда, вот|||||ǝtawǝt||||||||23, 24||Ср. камч. *xʷteɣʷ- 'этот' (341).||0|
1468|*ʒeʁǝnǝ- ~ *ǝʒʁenǝ- (~ ạ)|430|внизу, на полу|*jehǝ-n-ke|jʔɛˊn-kǝ loc. (jʔankaˊ-jpǝ abl.)|||||||1113|61|||||||0|
1469|*ʒ[e]n- (~ ạ)|431|рана: ранить 1, убить 2|*j[e]n-|tɛ-n-jɛn-ŋǝ- 1, tɛ-jǝˊn-ŋǝ- 2|||t-haqa-junav- 'делать больно, плохо'||||2391|143|||429||Молл 138.||0|
1470|*kaɣaɫ-|141|ключица 1, часть брюха кита для гарпунщика 2|*kaɣaɫ-|kaˊacǝ-n, kaˊacǝ-lɣǝn 1, kaaˊl-ɣǝrɣǝ-n 2||||kaacǝ-n||||65|||||||0|
1471|*qǝLLi- (~ ị)|273|ленивый 1, стареть, стать тяжелым на подъем 2, падать духом, задумываться 3|*qǝɫɫǝ-|qǝˊtli-, qǝtli-cʔɛˊt- 1, qǝtliˊw- 2, qǝtceŋ-aˊw- 3||||qǝtli-cʔɛˊt-|||1168, 1993|85|||||Ср. также чук. tɛ-qɛrriˊ-ŋ- 'оказываться, лениться' (Богораз 143).||0|
1472|*kъcɣъ-ʒpъ-|701|разгадать, понять, брать в толк|*kъcɣъ-jpъ-|kǝcɣeˊpǝ-|||||||1172|71|||||||0|
1473|*kece-t- (~ ạ)|0|надрываться 1, первый тонкий лед на реке 2|*kɨcɨt-|kecet- 1||kaca-no-n 2|||||1181|||||212|Молл 61.||0|
1474|*keʒi- (~ ạ)|0|шкварка|*keji-|kɛji-|||||||1198||||||Молл 60.||0|
1475|*keŋRe- (~ ạ)|220|хриплый (голос)|*keŋRe-|kɛˊnrɛ-quli|||||||1219||||||Молл 61.||0|
1476|*kicce- (~ ị)|0|якорь|*kicce-|kitcɛ-n (+АБ)|||||||1252||||||||0|
1477|*kǝlbet- (~ ạ)|241|связать, обвязать 1, мышца шеи (охватывающая, обвязь шеи) 2|*kǝlvet-|r-kǝlvɛˊt-|||inˊnˊǝ-kǝlˊvǝ-ɣǝrŋǝ-n|||||132|||339||||0|
1478|*ǝk-bi-t- (~ ị)|0|иметь умирающих детей 1, важенка, у которой умер теленок 2|*kǝwi-t-|k(ǝ)wiˊt- 1, k(ǝ)wi-lʔǝn 2||||||||76|||||Вторая часть из *biʒʁǝ- 'умирать', а первая - *ǝk- 'ребенок'.||0|
1479|*qъl-|1005|обидный 1, обижаться 2|*qǝL "|qǝˊl- 1 (II), qǝtlaˊt- 2|||||||2000, 2116|84|||||Чук. qǝtlat- < *qǝl-lʔat-.||0|
1480|*qɨŋbъ-|279|дуться, роптать|*qɨŋvъ-|qeˊmwǝ-|||||||2005|81|||||В прачук. возможно только сочетание с *-ŋ-, дающее -mw- в чукотском.||0|
1481|*keqli (~ ạ)|214|шапка|*keqli|kʔɛli, qʔɛˊli|||||||1389, 2043|82|||||||0|
1482|*qelbǝ-n (~ -lf-, ạ)|274|небо (анатомич.)|*qelvǝ-n (~ -lw-)|qɛˊlvǝ-n  (~ -ǝ-)||||||||84|||||В чукотском довольно регулярная альтернация ɛ ~ ǝ рядом с увулярным.||0|
1483|*qe[f]Vŋqu= (~ ạ)|774|краб|*qe[w]eŋqu=|qɛɛŋquˊ=, (АБ) qaŋqo=lɣǝn (qɛŋqǝ-t pl.)|||||||2065|80|||||Молл 63.||0|
1484|*qep[ʁ]uru (~ ạ)|702|пенек, оленний рог, спиленный под корень|*qep[h]uru|qɛˊpʔuru, (АБ) qɛpʔuru-uttǝ-n|||||||2071|83|||||||0|
1485|*qefLǝ- (~ ạ)|773|лопаться (о коже, бумаге) 1, разбиться в дребезги 2, гнилое дерево, гнилушка 3|*qewLǝ-|qɛwlǝˊ- 1, qawce-erʔ-at- 2, qɛˊɛl (< "qɛˊwǝl) 3||||qawce-erʔ-at-|||2081, 1989|83, 82|||||||0|
1486|*qitp-eb- (~ ị)|772|ободриться, стать усерднее|*qitpev-|qitpɛˊw-||||qitpǝ-lʔɛˊt-|||2094|86|||||||0|
1487|*qifʒe- (~ ị)|771|зябнуть|*qiwje-|qiwɣɛˊ-, qiwjɛ-w- (+АБ)||||qewla-ŋŋo- inch. (АБ)|||2097|86|||||Инэнликэй 62.||0|
1488|*cъf "|804|кровоподтек 1, появиться о кровоподтеке 2|*cǝw "|cǝw-cǝw, cuˊw-cuw " (II) 1, cuwat- 2|||||||244|14|||||||0|
1489|*qъRRъ " (< *-rb-?)|270|мыс 1, коса (на реке) 2|*qъRRъ "|qǝˊrrǝ-qǝr " (II) 1, (АБ) qǝrrǝ-n 2|||||||2158|86|||||||0|
1490|*quʒmu- (~ ụ)|0|совокупляться 1, совершать пляску со сладострастными движениями 2|*qujmu-|qujmuˊ- 1, qujmǝ-puturɛˊ- 2|||||||2168|88|||||||0|
1491|*-fɨlla-: *š-fɨlla-|304|рвать зубами|*š-wɨlla- (~ -v-)|ru-wetlaˊ-, -n-vetla-|||||||381|138|||||Молл 138.||0|
1492|*qɨnʁa-|280|злоба, вражда|*qɨn[h]a-|qenʔa-, (АБ) qiŋʔɛju-n|||||||||||||||0|
1493|*mikɫi-|0|труд 1, заниматься, возиться 2, работать 3, хлопотать, возиться 4|*mikci-|miˊɣcir 1, miɣcir-ɛt- 3, miɣciˊ-t-, miɣliˊ-t- (!) 4|ta-nˊ-mikci-ŋ- 2|||miˊɣcir, miɣcir-ɛt-, miɣciˊt-, miɣliˊt- (!)|||1541, 2394|96|53||||||1093|
1494|*muke=|36|глазная сера, яд 1, отрава 2, глазная сера 3|*muke=|mukɛˊ= 1, ciliˊ-muq 2, lila-muqɛˊ= 3|cili-muk 2||||||1561|93, 16|||||||0|
1495|*ǝmRǝ-, *mǝRǝ "|727|гадкий, гадость 1, мусор 2, мутный (о воде) 3|*mǝrǝ "|mǝˊrǝ-mǝr ", mǝr-, -ǝˊmrǝ- adj. (I) 1, mǝri-mǝr " (АБ) 2, mǝrǝ-lʔǝ-n (АБ) 3||||mǝr-jocɣǝ-n, mǝt-jocɣǝ-n|||1589|94|||||||0|
1496|*m[a]škɨ-|930|усердие 1, заниматься 2, способный обмануть 3|*m[a]škɨ-|mǝrker-aˊt- 2, mǝrker- (II) 3|majkǝ- 1||||||1596, 1491|94||||217|||0|
1497|*meRbǝ-|12|износиться, протереться; худеть, истощаться 1, медведь-шатун 2|*meRvǝ-|mɛˊrvǝ- 1, mɛrvǝ-(uˊmqǝ) 2|inˊe-mecwǝ- 1||||||1533, 847|92, 111|||||У Богораза развернутое объяснение: "Белый медведь-шатун, по рассказам чукоч, нападающий на охотников (букв. облезлый белый медведь)". Аналогичный паралеллизм и в камчатских языках.||0|
1498|*ŋǝškeb- (~ ạ)|61|идти налегке; идти в сторону приморских чукоч (= моря)|*ŋǝškev-|ŋǝrkɛˊw-|||||||1725|106|||||||512|
1499|*ŋǝte-q (~ ạ)|0|много 1, много плясать 2|*ŋǝte-q|ŋǝtɛˊ-q 1|||mǝlˊav-nˊitat- 2|||mǝlˊav-nˊitat-|1732|106|||, 354||||0|
1500|*ŋut (~ ụ)|69|этот 1, здесь 2, отсюда 3|*ŋut|ŋut-(inɛ) 1, ŋot (adv. deiect.), ŋut-ku (loc.) 2, ŋot-qoˊrǝ, ŋoˊt-ko (abl.) 3,|||||||1738|108|||||Сюда же чук. *ŋut-ri > ŋuˊr-ri 'так (при указании изменения положения предмета) (Богораз 108), ŋǝr-ri < *ŋut-ri 'так' (Муpавьева 1737).||0|
1501|*ta-n-mat-ŋъ-|13|обделить себя в пользу других, довольствоваться полученным, стесняться щедрости|*ta-n-mat-ŋъ-|ta-n-maˊn-ŋǝ-|||||||2342|140|||||Буквально 'делать так, чтобы заставлять себя теpять'.||0|
1502|*(f)umiRit (~ ụ)|333|сват|*(w)umiRit|umiˊrit, ŋɛw-miˊrit (fem.)|||||||2590|111, 104|||||||440|
1503|*ucku- (~ -tk-, ụ)|725|ударять 1, ударяющая ловушка, капкан 2|*ucku- (~ -tk-)|uˊtku- 1, utkuˊ-cʔǝ-n (+АБ) 2||||utkuˊ-cʔǝ-n||||113|||||||0|
1504|*peɣǝ-ɫʁitn-u- (~ ạ)|85|заарканить, поймать арканом шею|*peɣǝ-ɫhitn-u-|pɛɣǝ-cʔinn-u-|||||||1832||||||Втоpая часть значит 'шея'. Слово есть также у Молла, 98.||0|
1505|*piq(e) (~ ị)|101|хвост рыбы 1, хвост птицы 2, кончик рыбьего хвоста 3, плавник 4|*piqe|piˊq-ǝt(ʔ)ǝm 1, peq-ǝrɣǝ-reˊl 2, (АБ) 1, pʔi-piq (АБ) 2, peˊqa-tkǝn 3, pɛqɛri 4|||||||1883, 1854|122|||||'Хвост рыбы' в чук. это 'хвостовая кость'.||1167|
1506|*pъlmъ "|97|туман, буран, непогода 1, ливень 2|*pъlmъ "|pǝˊlmǝ-pǝl " (II) 1, elǝ-pǝlmǝ-pǝl 2||||pǝlmǝ-lʔǝ-n (АБ), elǝ-pǝˊlmǝ-pǝl 'ливень', jǝŋa-pǝˊlmǝ-pǝl 'густой туман'|||1909|119, 120, 48|||||||0|
1507|*pǝʒR-eb-: *š-ǝpʒǝR-eb- (~ ạ)|92|скреплять, привязать|*š-pǝjǝr-ev-|r-p(ǝ)jǝr-ɛˊv-|||||||350||||||Молл 119.||1115|
1508|*Ra[q]affat|193|мираж|*Ra[q]awwat|rakqakwat|||||||2206|107|||||||0|
1509|*ъRm-aftъ|492|съедобные листья конского щавеля|*Rъma-wtъ|rǝmaˊut (rǝmawt-eˊpǝ abl.), rǝmawǝt|||||||2270|132|||||Инэнликэй 108. Буквально значит 'сочный лист'.||0|
1510|*ǝRn-uttǝ (~ ụ)|493|столб, кол|*Rǝn-uttǝ|rǝn-uttǝ|||||||2272||||||Втоpая часть значит 'деpево'. Также см. Молл 119.||0|
1511|*Rъnno-|748|напасть войной|*Rъnno-|rǝˊnno-|||||||2276|133|||||||0|
1512|*ǝRpǝn, *Rǝpnǝ #|0|мездра|*Rǝpnǝ #|rǝˊpǝn, rǝˊpǝn-ti pl., rǝmnǝˊ-, (+АБ) rǝmnǝ-rǝm " (rǝmnǝ-t pl.)|||||||2285|132, 134|||||Инэнликэй 108.||634|
1513|*(š)ъtkъ-|1022|опрокинуть ногой|*Rъtkъ-|rǝtkǝ-jolɣ-aw-|||||||2295||||||Молл 122.||0|
1514|*ъRbъ-|0|резать, разрезать по длине 1, колоть (дрова) 2|*Rъvъ-|ruˊu-, -rvǝ- (II), rǝwǝ-(tko-) (II) 1, 2|cvǝ- 2||||||2304|138|192||||Инэнликэй 105. В кор. выравнивание по медиальной основе -cvǝ- при ожидавшемся регулярном анлаутном варианте jǝvǝ-. Ср. *irbǝ- 'острый' (470).||151|
1515|*-Ram-ab-: *š-Ram-ab-|484|резать, крошить (табак, мясо)|*š-Ram-av-|r-ram-aˊw-, -n-ramaw-|||||||355|134|||||||636|
1516|*ta-tkъn|148|на поверхности 1, появляться на поверхности 2|*ta-tkъ-n|taˊ-tkǝn 1, tatkǝn-aˊw- 2|||||||2325|141|||||Втоpая часть значит 'веpшина, кончик'. А как сюда чук. tǝttɛˊt-, -ttɛt- 'вылезть на поверхность, (АБ) взбираться' ?||0|
1517|*-ǝtkǝlu (~ ụ)|745|плохие волосы (в сложениях)|*-ǝtkǝlu|-ǝtkǝlu||||||||151|||||В словах mǝmlǝˊ-tkǝlu 'вшивец', 'гpязнуля', wapǝsqaˊ-tkǝlo 'с паpшой', rǝɣǝˊ-tkǝlo 'космач', cɛriˊ-tkǝlu 'грязнуля (= с грязными волосами)'. В ител. искать vilosus.||0|
1518|*-ǝtʁul|160|мясо, кусок мяса, шкуры|*tǝhul "|-tʔul|-thul|-thul|-tʔul|||raɣǝ-tʔulˊ 'куропаточье мясо' (22)||45|232||444|40, 215|ГКЯ 84.||128|
1519|*beʒmen- (~ ạ)|0|гостеприимство 1, вежливый 2|*vejmen-|wɛjmɛn- 1, wɛjmɛn- (АБ) 2||||wɛjmɛnǝ-lʔǝ-n|||2736||||||||0|
1520|*beRib- (~ ạ)|344|кислый 1, брусника (= кислица) 2|*veriv-|vɛˊriw- 1, vɛriˊu-cʔǝ-n, wɛriwǝ-cʔǝ-n (АБ) 2||||wɛriwǝ-cʔǝ-n|||2768|158|||||||0|
1521|*fittǝ- (~ -tʁ-, ị)|331|соскользнуть с места 1, выскакивать 2|*wittǝ- (~ -th-)|vitt-ɛˊt- 1, 2|||||||2792|160|||||Ср. *(ʁ)uʒetiki 'сани'.||0|
1522|*qeŋrǝ ~ *qeʁrǝ|543|нёбо (анат.) 1, ноздря 2||ʔeŋrǝˊl-ɣǝrɣǝ-n 2|qehi < qehǝj 1|qaŋr 1|||||||257|||256|В чук. аффикс *ɣъrŋъ-n 'дыра', а первая часть имеет контаминацию со словом *ʁiŋ- - 'нос', и поэтому даже записывается через -ŋr-, хотя должно быть -nr- даже на стыке морфем.||0|
1523|*cɨɫka-|409|лемминг-пеструшка 1, пищуха (грызун) 2|*cetkavъlo-|wuw-celkaˊ-lɣǝ-n, (АБ) ɣuw-celka-lɣǝ-n, wǝw-celka=lɣǝn (wǝwcelka-t pl.) 2|cetkaˊ-vǝlo-ɣǝjŋǝ-n 1||||cetkaˊ-vǝlo-ɣǝjŋǝ-n||148|164||218|||||0|
1524|*ǝ̣cbịLˊ|179|кухлянка (с капюшоном) 1, двойная одежда 2, шить одежду 3|*cǝvijlu, *chǝwet- ?|cǝwǝt, cuˊut, -cvǝt (I) 2|cvilˊu- 1, (c)hǝwe-nni- 3|||plɛˊkǝ-cvǝt 'двойная обувь' (116)|||243, 247, 252|13, 14|207||||В чук. в конечной позиции *-c > -t.||0|
1525|*cạŋǝṇ-cịcʁạt- (< ɫˊịɫˊʁạt-)|190|любоваться|||caŋǝn-cichat-||||||||216||||Вторая часть значит 'смотреть'.||0|
1526|*ceŋʁeceŋ- (< *tˊ-eŋʁeɫˊe-ŋ-)|797|просить 1, умолять, бегать за помощью 2|*ceŋheceŋ-|[cin-jurɣɛˊw- 2]|ceŋheceŋ- 1|||||||12|456||||'Делать так, чтобы стало'?||0|
1527|*cъca-|639|поранить 1, ранить, порезать 2|*cъca-||c(ǝ)ca- 1||cǝc-(ɣǝrɣǝ-n)* 1, 2||||||403, 486||||Из диалекта алюторского заимствовано зап. камч. čǝč-ɣarɣa-č 'заостренная жердь, служащая для убивания малых нерп (cieląt morskich)' (Dybowski I, с. 95). Ср. *ъšra- 'разрезать' (1176).||0|
1528|*ʒǝnkǝ(t)-|584|сдавить, сжать, зажать|*š-ǝnkǝt-||jǝˊnkǝ-, jǝnkǝˊt-, -jǝnkǝ(t)- (I)||||||1046|||91|||||0|
1529|*ịʒmǝ̣-, *-ǝ̣mʒ-ạt-|445|частый, на близком расстоянии 1, гуща 2, крутой, густой (о еде, питье) 3, кучно бегать (о детях) 4, блевать интенсивно и многократно 5, совсем затоптать 6, жмуриться 7, бежать во всю прыть 8, стремительно лететь 9|*ījmǝ̄-|iˊmǝ- 1, iˊm- 3, ilkǝ-mjɛˊt- 7, ʔirɛ-mjɛˊt- 8, riŋɛˊ-mjɛt- 9|imja " (III) 2||hita-mjat- 4, ɣralˊlˊa-mjat- 5, caŋci-cqu-mjat- 6||||828|50, 49, 54, 137|97||335, 315, 390||Сюда, по-видимому, и чук. префикс imǝ- 'каждый, всякий' (Богораз 51).||0|
1530|*ịmRạ- " (~ -mʒ-)|654|мутный, муть|*īmRā- " (~ -mj-)||imja- "||||||||231||||||0|
1531|*(i)ʁǝt "|615|шкуры на одежду 1, меховая оторочка 2|*(i)hǝt "|iˊit, (АБ) iin, iitǝ-lqǝl 1, iˊʔit- 2|hǝt " (I) 1||||||807, 2981|50|331||||||0|
1532|*cɣъlʒo-n|360|пот 1, потеть 2, согреться 3|*cɣъljo-n||ɣǝˊlˊlˊo-n 1, (c)ɣǝˊlˊlˊo- 2(*), 3*||(t)ɣǝlˊlˊu- 2||ɣǝlˊlˊoˊ-lhǝ-n*|||||51|317, 394||Родственно слову *ъcɣъɫˊa- 'зудеть (о коже)' (171), ср. также *tɣǝɫ-, *cɣǝɫ- 'горячий' (341).||641|
1533|*kǝtʁeme|248|приманка|*kǝtheme||kǝthem(e), kǝthǝm (I)||||||1359||431||||||0|
1534|*kulte "|256|подошва|*kulte "|kuˊltɛ=, quˊltɛ=, (АБ) kulte-kul "|kulte ", kulteˊ=|kulte-kul "|kulta=|||||88|381|110|341|254|Жукова ГКЯ 59.||0|
1535|*lɨɣ "|380|глист|*lɨɣ "||leɣ " (II)||||||1398||||||||949|
1536|*mъlbal (~ *ъmlъbal)|699|место солнечного припека|*mъlval||mǝlˊvalˊ (II)||||||1576||434||||||0|
1537|*nenbi-|42|лыко 1, переплетение веревок на нартах 2|*nanvɨ-||nanve=|nǝnn-uwwi pl. 2|||||1612|||||263|Пал. отражает ожидаемую основу абсолютного падежа *nennǝ, а кор. косвенную основу nenvi-.||730|
1538|*(l)pǝʒu-t- (~ -R-)|624|грызть 1, глодать 2|*pǝRu-t-   (~ -j-)||p(ǝ)jut- 1, upju- 2||||||1894||||||||0|
1539|*ǝpkǝ- (~ ъ)|754|слой, прослойка|*pъk- (~ ǝ)||pǝˊk-pǝk ", pǝk- (I, II)||||||1895||532|175|||||0|
1540|*pokRo-ŋ|109|вдогонку|*pokRo-ŋ||pokjo-ŋ||||||1932||||||||0|
1541|*ъlfa-b- (-nɨ-)|890|быть не в силах, не в состоянии, не мочь 1, ошибаться в чем либо 2|*lъɣanlъ-|luwaˊw-, -lvaw-, (АБ) lǝwaw- 1, lǝɣaˊne-, -lɣane- 2|||||||1417, 1480|18, 15|||||В чук. lǝɣane- < "lǝwane-.||1114|
1542|*tъlʁo "|0|песок, глина, почва 1, глиняный 2|*tъlho "||tǝlhoˊ-tǝl* ", wakmǝ-tǝlho-n 1, tǝlho-tho-len 2||||||2478||87|193|||||1051|
1543|*teŋm-ilŋǝ-n (~ *-nm-, ạ)|0|ремень для связывания частей шатра|*tenm-ilŋǝ-n|tɛnm-ilɣǝ-n|||||||2392||||||"Мерный ремень".||0|
1544|*ǝttel-|147|провалиться в снег 1, покатый, пологий 2, приливная полоса 3|*tǝtel-|tɛˊlɛrrʔǝŋ 2|t(ǝ)tel- (I) 1|ttel-teɣn 3|||||2524, 2362|141|373|||212, 274|Молл 137. У Богораза данное слово трактуется как слово II ряда. В пал. -teɣn < *tạʒnǝ̣- 'край, предел' (1615). См. *-tɨl- 'падать сверху' (2247).||0|
1545|*tupi-|169|торная (дорога), четкие (следы)|*tupil-||tupi-(lwinvǝ-)||||||2537||578, 530||||||0|
1546|*ъtŋa-|146|поколение (братья и сестры)|*tъŋa-||tǝŋa-tǝŋ ", tǝŋa-jat||||||||391|||200|||88|
1547|*-qeb-|0|метка, знак 1, метить 2||ɣiˊw-kɛw (ɣewkaˊw-ɣǝpǝ abl.) 1|ɣǝjiˊw-qew 1, ɣǝjiˊw-qev- 2||ɣǝjiv-qav-, -ojiv-qav- 'метка, метить'|||||47|223|50|313||проверить по глаголам||0|
1548|*baŋ-ɣъrŋъ-n|692|устье|*van-ɣъrŋъ-n||vanɣǝjŋǝ-n, vaˊŋ-ɣǝjŋǝ-n, vaŋǝˊ-nǝ||||||||608|30|||Во второй части представлен суффикс *-ɣъrŋъ-n, означающий 'отверстие' (17).||43|
1549|*falʁɨ-n|696|лагуна|*walhɨ-n||walhe-n||||||2693||208||||||0|
1550|*faʒnab (~ ạ)|753|слово|*wajnav||wanˊaw||||||2696|||30|||Старый альнернат от *ʁeʒŋeb- 'звать, называть' (1436).||807|
1551|*fɨʒ-tala-|323|выделывать кожу|*wɨj-tala-||wejtala-||||||2722||||||Втоpая часть значит "бить, колотить".||1038|
1552|*fekǝ-tɣǝ-n|307|сорока|*wekǝ-tɣǝ-n||wekǝtɣǝ-n, vekǝtɣǝ-n (I)||||||2741|||||208|||1171|
1553|*fifi-b- ~ *fɨfɨ-b-|314|плыть по течению|*wew-ev-||weˊw-ev- (I)|ɣiɣiv- (I)|||weweˊvo-ɣǝjŋǝ-n 'течение'||2771||367|41||65|Кор. глагол имеет втроичный I ряд сингармонизма, слово 'течение' указывает на II ряд из исходной формы *fɨfɨ-b-.||0|
1554|*pạq(ạ)-|0|перестать 1, прекращать (делать) 2, успокаивать, унимать, усмирять 3, разводиться с женой 4|paˊa- 1, r-paa-ŋ-aˊt-, r-paw-aˊt-, r-paaw- 2, ŋaun-paaw-raˊ-w- 4|j-paˊqav-* (III) 3||||||||115||94|||Инэнликэй 109.||0|
1555|*ceŋʁe- (~ a)|174|грязный|*ceŋhe- (~ a)||||canha-|||nǝ-canha-|163|||||383|Непалатальный -n- в сочетании с -h- указывает на исторический велярный носовой.||0|
1556|*ǝkkeˋ- (~ *-qk-, ạ)|618|горячий 1, солнцепек 2, прогревать (о солнце) 3|*ǝkǝke- (~ a)|ʔǝqɛjniˊ-k, ʔɛqɛjniˊ-k loc. 2, ʔǝqɛjni-t- 3||n-akǝkka- 1|n-ǝkǝkaˋ- 1|||ǝkǝkaˊ-cʔǝ-n|619|32||||144|В основе нетривиальное сочетание увулярного и заднеязычного, которое разбивается аналогично сочетаниям на морфонологических швах. В южных языках представлена ассимиляция по второму согласному, а в чук. по первому с последующим переходом "ǝqq- > ʔǝq-. Исторически это отрицательная форма с *e-...-kǝ от *'ǝq " 'холодный' (533), т.е. 'нехолодный'.||0|
1557|*pitʁe- (~ ɨ)|106|вид водоросли с длинными листьями|*pithe- (~ ɨ,a)||||pitha-n||||1890||||369||||0|
1558|*ŋaftǝ|0|овод, муха 1, пестрый слепень 2, род жучка, жук 3, муравей 4, мелкий паучок 5||ɣroˊ-ŋaut, (АБ) ɣǝrʔo-ŋawǝt 1, tɛqi-ŋɛˊut, tǝqi-ŋɛwǝt (АБ) 3, 4, ~ kaleˊnŋa-lɣǝn 1, 2, kurɣǝ-ŋɛˊut 5||||Vetca-ŋaˊut 'созвездие Льва'||||44, 104, 69|||||В чук. созвездие Льва Vetca-ŋaˊut (по Богоразу 'стоящая женщина').||0|
1559|*ǝtnǝfǝɫpǝ- (~ -š-)|742|узнавать, вспоминать 1, хотеть узнать 2|*tǝnǝwǝɫpǝ- (~ š-)||||tǝnwǝlpǝ-, -nnǝwǝlpǝ- 1, ta-nˊnˊǝwǝcpǝ-ŋ- 2|||ta-nˊnˊǝwǝcpǝ-ŋ-|2495||||403||смотреть зятя||0|
1560|*ʒu-|0|жених 1, отрабатывать за жену, стеречь стада тестя 2|*nuɫhǝ-n|ŋɛˊun-ju- 2|ŋevǝnˊ-nˊu-l/chǝ-n 1|ŋevǝn-nˊu-l/c̨hǝ-n 1||||||105|120|161||264|||0|
1561|*facma- (~ e)|870|багульник||||wač̨ma-wt-en||||||||||245|||0|
1562|*ǝmlune-ŋ (~ ụ)|20|прут, тальник 1, нижняя часть ноги оленя 2, делить жилы для ниток 3|*mǝlune-ŋ|t-imlu-ŋ-ɛˊt- 3||mluneŋ 1|mǝlˊunaŋ 2|||||149|||354|260|В чук. вторичное значение из 'делать прутики', которые потом сушатся и скручиваются при изготовлении ниток.||1096|
1563|*matъʒna-|5|балка|*matъjna-|||matnˊa-wwe pl.||||||||||259|||0|
1564|*cinep (~ ạ)|189|платок 1, кусок ткани 2|*cinep|||c̨inep 1, c̨inepǝ-thul 2||||||||||270, 40|Сюда же пал. cenapeto-ɣalǝɣ вид утки, буквально 'утка в платочке' (возможно утка-свизза) (Жукова ЯПК 277).||0|
1565|*cǝ̣cqǝ̣-|0|шнур средней толщины 1, оторочить 2|*cǝ̄cqā-||ina-ccǝcq-at- (III) 2|cǝcqǝ-nɣeŋ (II) 1||||||||||277|||0|
1566|*ǝcɣǝlbi-|180|шевелиться, ворочаться 1, испытывать сердцебиение 2|*cǝɣǝlvi-||liŋǝˊ-cɣǝcɣ-at- 2|cɣǝlvi-k, c̨ɣǝlvi- 1|t(ǝ)ɣǝtɣ-at-, t(ǝ)ɣǝtɣǝ- 1|||ɣa-tɣǝtɣǝ-lqiv-lin (94)||||122|394|277|||65|
1567|*ekin|0|наконец 2, уже, вот сейчас 3||~ qǝn-wɛr|ekiˊn-hat 2||akin-ʔaˋt, akin-quˋn 3||||||242|233|294||||0|
1568|*elelku-n ~ *eʒelku-n (~ ạ)|0|полярная сова|*ejlelku-n|||elˊelˊkun||||||||||208|Перед велярными закономерно -lk- > -lˊk-, первый согласный, если он происходит из *-l- ассимилируется по мягкости, хотя возможно, что на его месте был *-ʒ-, тогда *eʒelku- > "ej/lˊelˊku-.||0|
1569|*ocъ(ʁa)|671|откликаться, огрызаться 1, ну, давай!, побуд. частица оптатива 1-2 лица 2|*uche|oˊc-(ǝtko)-, (АБ) ocǝ- 1||ucha 2|ucaˋ 2|||||108|||416|127, 276|||0|
1570|*til " (~ ị)|0|камыш 1, осока 2|*til "|til-wʔɛj 2||til-til " (~ ǝ) 1|||||2439|||||231, 202|Молл 130.||0|
1571|*tafat "|122|кулик|*tawat "|||tawat-tawat "||||||||||208|||388|
1572|*tošɣa- (~ *š-, *-tɣ-)|168|плоский берег|*totɣa-|||totɣa-lqǝ-n||||||||||211, 272|||84|
1573|*keʒuke (~ ạ)|211|чага, нарост|*kejuke|||kejuk(e)||||||||||202, 24, 282|А если это 'бородавка'?||0|
1574|*kafat-ʒъp|207|короткие торбаза из ровдуги|*kawat-jъp||kawat-ɣǝp|kawat-ɣǝp, kavat-ɣǝp-o pl.||||||||||214, 233, 251|Основа осложнена суффиксом 'одеть'.||0|
1575|*qamŋъ " (~ k-)|260|камбала|*qamŋъ " (~ k-)|||qamŋǝ-qam ", kamŋǝ-kam "||||||||||255, 206|||0|
1576|*kemlilu- (~ ạ)|290|верхний женский балахон, камлейка||kɛmliˊlu-n||||||||69|||||||0|
1577|*falaʒʁъ-n|301|червь (длинный)|*walajhъ-n|||walajhe-n||||||||||245|||1028|
