NUMBER|PROTO|PRNUM|MEANING|ICOST|WCOST|ITE|ITRUSL|STBIT|ITEMEA|WIT|WITMEA|WITMEP|SIT|SITMEA|SITMEP|VOL|IRSLOV|VZHU|STEB|WDYB|SDYB|COMMENTS|NIOD|NIODNUM|EXT
1087|*-k'a|0|превратительный падеж|-K'ə||-k(i)|-k'a||превратительный падеж||||||||49|||||||0|
1088|*'lakən-|0|созреть (об утробном плоде)||LaKəN=|||||lakən-kaz (kam=laken-kan neg.)|suo tempore natus|donoszony (płód)||||||||129, 114||||0|
1089|*kə'alHə- ~ *kə'alHə-|881|ласточка|aT-K'aLa-CX|aT́X-K(L)ɨ̣HạLɨ̣-C|'at-kaĺa-čh 2|'at-k'aĺa-čh ('at-k'aĺa-ń-č pl.) 1||ласточка 1, стриж 2|'at́x-k(l)ɨ'alɨ-č, 'at́ɣ-k(l)ɨ'alɨ-č|hirundo riparia|jaskółka|ka'ənk-čič|hirundo riparia|jaskółka|132|16|||87|109|Слово со сбитыми соответствиями. Использование Дыбовским "ы" = [ɨ] после -l- указывает на наличие велярного или гортанного элемента после -l- в конце основы. В юж. камч. -nkč- < *-lxč-. В зап. камч. и ИРС сложение с корнем *'atx- 'белый, светлый'.||0|
1090|*'əlŏqlam|0|клубень (съедобный)|LăKLä̲M-e|LʷeKLa/ɨM|l(ă)qlam (lqlam-e'n pl.)|lqlam (lqlam-e'n pl.)||кимчига, тундровый дикорастущий сладкий картофель|lo̯eklam, ĺklɨm|planta qaedam|jakaś roślina||||30, 126, 169|47|||131||||0|
1091|*'lk(l)iph|0|блоха||ĹKïPX-i, LKLɨ̈PX-i|||||ĺkipɣ (ĺkipx-in pl.), lklɨpx (lklɨpx-in pl.)|pulex|pchła||||||||131||Вариативная запись конечных "х" = [x] и "г" = [ɣ] у Дыбовского встречается при передаче -h-. К тому же им испольхуется буква "ы" = [ɨ], показывающая на соседство с увулярными. Ср. прачук. *luk-(le #) 'олень, бросающийся в сторону' (187).||0|
1092|*łił-č, *'iłł-|0|прясть||LiL-C, iĹĹ(a)=, ïĹLa-L=|||||liĺ-č 1, 'iĺĺ-az (tɨĺɣal), 'əĺl-al-kaz 2|filamenta 1, nere, fila ducere 2|przędza 1, prząść 2|ssis-čič|filamenta|przędziwo|||||131, 100, 105|118|||0|
1093|*'i'leɣʷe-|882|шест|ïHLëXʷe̲(T)-Nŏ-N ?|ïLëFə̈-nɨ-N, i̲LëFë=|'ileɣet-ne-ŋ|'i'lewe-nŏ-ŋ ('i'lewe-ne-'n pl.)||шест|'ilevə-nɨn 1, 'ilava-kaz 2|contus 1, navigare contis 2|żerdź, tyka 1, płynąć na żerdziach 2||||153|26|||105||||0|
1094|*klɨŋ-|0|пустая рыба (без икры, молок)||KLɨN=|||||klɨn-knɨn 'inč-in pl.|pisces sine ovis et lactibus|ryby bez ikry, bez mlecza||||||||123||||0|
1095|*'o'ŋk- ~ *'lŋk-|0|гаснуть|o̲HNK=, N-o̲HNKa-HL=,  LNKa-L=|N-OKaN-Le=|lnk-ał-əs** mult., 'an-lnk-as** 2, n-o'nk-a'ł- 3|'oŋk-kas ('oŋk-sɨn 3sg. pres., k-'oŋk-knen 3sg. perf.) 1, n-o'ŋk-a'ł-es (t-no'ŋka'ł-čen 1sg.3sg. perf., q-'no'ŋka'ł-x 2sg.3sg. imper., k-'no'ŋka'ł-'an 3sg.3pl. perf.) 2, 3||гаснуть 1, тушить, гасить 2, закрыть глаза 3|n-ok-an-le-z|extinguere|gasić|k-ikn-as (panič) 2sg.3sg. imper.|(ignem) extingue|zgaś (ogień)|396|68,|339, 347||139|111|||0|
1096|*'lẹŋa-|883|лыжи|Le̲Na̲-MiN|Le̲Na̲-|leŋa-miŋ|leŋa-miŋ (leŋa-'n pl.)||лыжи|lena-n pl.|soleae ferratae|łyżwy||||115, 131|49|||130|118|||986|
1097|*łop-lenza-|0|наружный, на поверхности||ĹoP-LeNSa=|||||ĺop-lenza-'an part.|externus|powierzchowny, zewnętrzny||||||||132||Здесь представлено причастие от глагольной формы łop lenza- 'вылить, налить на поверхности'.||0|
1098|*łeruŋ-|0|ворчать|Le̲RüNə=||k-leruŋ-'in part.|łeroŋ-kas (łeruŋə̆-sɨn 3sg. pres., zaq łeruŋ-kaq 2sg. neg. imper.)||ворчать (ворчливый)|||||||398|55|||||Может быть основа в конфиксе *ł(e)-...-ŋ- 'хотеть, намереваться ...', но также ср. *łerɣ(ʷ)et-ez 'слово' (1595).||0|
1099|*łʷiti-|0|биться, бороться, трясти|LʷïTï=|LeTə(-LeT)=, əN-LaT=, LeT-KaSaT=|| ̊łete-kas ( ̊łitɨ-zɨ'n 3pl. pres.,  ̊mə̆n-łitɨ-sk 1pl. imper.)||биться, бороться|letə-kaz 1, letə-let-əz 2, 'ən-lat-kaz 3, let-kasat-kaz 4|certare, pugnare 1, excutere 2, caedere, secare 3, expergefieri 4|bić się, walczyć 1, wytrząsać 2, rąbać, siekać, ćiąć 3, przebudzić się 4|||||55|||130, 100||Зап. камч. глагол 'пробудиться' - образование с другой диатезой от 'тормошить' > 'будить'.||0|
1100|*kʷamta(ɣʷ) ЮК|887|локоть||||||||||ku̯amtu (kamda(u̯)-t pl.)|cubitus|łokieć||||||113, 109|||0|
1101|*(t)'lot'il|451|локоть|Lo̲T'iL ?||lot'il|lot'il (lot'i'l pl.)||локоть|||||||27|48|||||Наличие интервокального глотталазованного дентального согласного -t'- может указывать на историческое сложение двух основ с границей на этом согласном. Ср. *'lo'lo-m 'речной изгиб' (1390).||374|
1102|*'əlxʷ-te- ~ *'əłhʷ-te-|0|любить|LFTe=, LFTa̲-La̲T=|aĹXTa-La=|lfte-s 1, lfte-kes 2|lfta-lat-es mult. (t-ə̆lftalat-ə̆zwin 1sg.2sg. pres., lftalat-ə̆znen 3sg.3sg. pres., n-ə̆lftalat-ə̆sčen 1pl.3sg. pres.) 1||любить кого-либо 1, любить, быть влюбленным 2|'aĺxta-la-z 1, 'aĺxta-la-zin 2, 'aĺɣta-ĺak, 'aĺx/ɣto-laz 3, 'aĺxta-ĺaz-čan 4|osculadare 1, amare 2, amor 3, carus, amatus 4|całować 1, kochać 2, miłość 3, luby, kochany 4||||53, 200|48|||82||||399|
1103|*'los|0|лук, самострел|Lo̲S, o-Le̲S-Ter||los 1, 'o-ĺester 2|||лук, самострел 1, чехол для ружья 2|||||||164, 30||||||В слове 'чехол' первая часть 'o- значит 'деревянный', а последняя может быть = -ter, как в слове 'грудная клетка'.||0|
1104|*sele-|0|быть спросонья|||sele-sč (3sg. pres.)|||быть спросонья|||||||356||||||См. 'слой, пласт'.||0|
1105|*pălHa-|0|лист|PăLa-PăL "|PaLaHa-PaL|pălla-păl, pə̆lla-pə̆l 2|pə̆lla-pə̆l (pə̆lla-'n pl.) 1, pə̆ll-al coll. 3|pala-pal (pal-)|лист (дерева) 1, лист (палый) 2, листва 3|pala'a-pal (pala'a-n pl.) 1, čol-pala-lan 2|folium 1, menyantes trifoliata 2|liść 1, bobrek (roślina, = трилистник) 2|[paxa'a-d*] pl.|folia|liście|55, 110|73||86|143, 98|110|||0|
1106|*piĺĺu-|0|penis|PïLü-CX||piĺĺu-čh|||penis (детск.)|||||||132||||||||800|
1107|*panu-(l)|888|вид малины||||||||||panud|rubus articus|roślina z gat. malin||||||116|||0|
1108|*pułkə-|0|паслен||PüĹkə̈N|||||puĺkən|solanum nigrum|psianka czarna||||||||145||||0|
1109|*ples-|0|царапать, разрывать||PLẹS=|||||plẹs-kaz|scabere|carapać, drapać||||||||145||||0|
1110|*pəla- > *łən-pəla-, *'an-pəla- (~ *-ł-)|1010|провожать; разносить, обносить; вы́носить (плод)|LiN-Pə̲La̲=|a̲N-Pə̲La̲=||łen-pə̆la-s (t-łenpə̆la-ł-sxen 1sg.2pl. fut., q-łenpə̆la-miŋ 2sg.1sg. imper., łenpə̆la-qzo-znen 3sg.3sg. dur. pres.)||провожать|'anpəla-z ('anpəla-'an part.) 1, 'anpəĺa-t-ez 2|di/ circum ferre (justo, adlatus) 1|roznosić, obnosić (rozniesiony) 1, donieść (płód) 2|||||54|||86||В ител. каузатив на łin-, а в зап. кам. интранзитив с показателем неопределенного объекта, хотя может быть таким образом передано 'ən- в заднем ряду. Через мягкий -ĺ- Дыбовский часто передает глухой палатальный -ł-.||1108|
1111|*puhi- (~ -ś-)|889|опухлость, волдырь||PuŚiN|||||pušint|tumor|nabrzmiałość, puchlina||||||||140, 145||Во втором словарном вхождении в записях зап. камч. Дыбовского рус. рукописное "п" = [p] перепутано с "н" = [n]. В данном контексте -š- у Дыбовского может отражать -h́- (ср. *hise- 'мчаться' (409).||0|
1112|*p(')acx|0|матка (анатом.)||PaCX|||||pacx|uterus|żywot niewieści|pa'azul|uterus|żywot niewieści|||||142|116|Ср. *pə(l)ɣə- 'легкие' (774) ?||0|
1113|*puzɣə-kəč|0|утка (один из видов)||PüSXə̈-|||||puzɣə-kəč|anas quequedula|gat. kaczki|pizk-čič dim.|anas quequedula|gat. kaczki|||||145|116|||760|
1114|*pewlŭmč|0|часть рыболовной перегородки|PëFLü̆MC-e|Pə̈FLɨ̈MC|pewlŭmč (pewlŭmč-e'n pl.)|||часть рыболовного устройства|pəvlɨmč||część zagrody "tykapzin"||||127||||144||||0|
1115|*rirwŭn|0|северо-восточный ветер|RĭRFü̆N||rirwŭn|||северо-восточный ветер|||||||31||||||||0|
1116|*ratosa- L|0|мешок|Ra̲To̲Sa||ratosa-'n pl.|||мешок|||||||405||||||Слово похоже на заимствование из пал. "ratto(-chə-n) 'запазушный' < *raššo-n 'пазуха' (1184).||0|
1117|*tăh "|137|снегопад|TăX ", TXạ̲=|NiN-TX-Lɨ=, Tạ=||tăh-tăh 1, tha-kas (tha-zɨn 3sg. pres., k-tha-knen 3sg. perf.) 2||снегопад 1, идти о снеге 2|nɨn-txlɨ-zcə 1, (koĺ'al) ta-zin 3sg. pres. 2|ningitefusse 1, ningit 2|pada (śnieg) 1, śnieg pada 2|ta'a-zkik 3sg. pres.|ningit|śnieg pada||84, 89|||141, 125|119|Ср. образование от *thał- 'мокнуть' (137).||594|
1118|*txim|0|мука́||TXiM|||||txim|farina|mąka||||||||155||Ср. *ɣiŋłə # " 'рыбья мука' (396) (ɣiŋə-tɣin ?).||0|
1119|*toktona-|0|клевать|To̲KTo̲Na̲-HL=|ToX̲To̲Na̲=||toktona-'ł-kas||клевать|toɣtona-z (toxtona-'an part.) 1, ~ taxtɨ-č 2|rostro carpare (rostro morsus) 1, picus 2|dziobać (podzióbany) 1, dzięciół 2|||||86|||154||||0|
1120|*'lins-|0|лить, выливать|LïNS=|Le̲NS(a̲)=|lins- 2|lens-es (q-'lɨns-x 2sg. imper., lɨnse-znen 3sg.3sg. pres.) 4||лить (о дожде) 2, наливать 4|lens-əz 1, lens-ət-əz 2, lens-ət-kaz 3, -lenza'an part. 4|fundere 1, dif-fundere (in-, ad-, ef-, circum) 2, se circum fundere 3|lać 1, roz-lewać (w-, do-, wy-, za-, na-, ob-) 2, oblewać się 3, wylany, nalany 4||||418|49|||130, 132||Ср. *'ins- 'выливать, высыпать' (1005).||0|
1121|*tełɣʷə-|0|вечер, поздно|TeLFe|TəLXʷə||tełwe||даже|təleɣ (təĺɣə-'an poss.) 1, təĺvə-k, [taĺba-k*] adv. 2|vesper 1, tarde 2|wieczór 1, późno 2|||||90|||156||||0|
1122|*tilɣʷə-|0|пугаться|TïLXʷLə=, N-TïLXʷLə=|TɨĹX-aL=, (əN)-TəĹXʷə-|tə̆lf-ł- 1, (n)ə̆n-tilx-łi-miŋ (3sg.1sg. perf., t-ə̆n-tilxł-a-xin 1sg.(2sg.) fut.) 2, tə̆lf-ł-no-m 3|telx-ł-kas (tɨlx-sɨn 3sg. pres., k-tɨlxł-knen 3sg. perf., zaq tɨlxł-kaq 2sg. neg. imper.) 1, 'ə̆n-telx-ł-es ('ə̆ntɨlxł-ə̆smiŋ 2sg.1sg. pres.) 2||пугаться 1, пугать 2, испуг 3|tɨĺx-aĺ-ga-zo-'an part. dur. 1, 'ən-təĺɣ-əs-əs 2, təĺvə-ń-sə-sin 3|timidus, pavidus 1, terrere 2, insanus 3|bojażliwy 1, straszyć 2, obłąkany, szalony 3||||120, 244, 413|90, 116|||160, 101, 156||||0|
1123|*t'ŭ'-łh|0|гость|T'ʷị-LX/-La, T'ʷu(H)-LX/-La|TụĹX, Tɨ̣ĹX-a|t'iłh (t'ila-'n pl.)| ̊t'ułh ( ̊t'ula-'n pl.),  ̊t'u'łh||гость|tuĺx, tɨlx, tɨĺɣ (tɨĺx-an, tɨĺ(ɣ)-an pl.) 1, tuĺa-nk-kin-kəzin 2|advena, hospes 1, hospitalis 2|gość 1, gościnny 2||||289|92, 146|||160, 159||Использование Дыбовским "ы" = [ɨ] после t- указывает на абруптивность согласного, а двоякая запись конечного спиранта часто обозначает конечный -h.||0|
199|*til-|0|колоть|TïL=, Te̲L-SXeN=|TəL=|tel-es 1, 3, tel-sxen-es mult. 3|tel-es (t-til-čen 1sg.3sg. perf., k-tɨl-'in 3sg.3sg. perf., q-tɨl-xi'n 2sg.3pl. imper., tɨl-ezne'n 3sg.3pl. pres.) 1, 3, uwik tel-es 2, tel-no-m (telno-'n l.) 4||колоть 1, уколоться 2, забивать (колья, гвозди) 3, рана от укола 4|təl-ez, [təs-əz] 1, təl-et-kaz mult. 2, ṯəl-kaz 3|imposuisse, inseruisse 1, imponere, inserere, pungere 2, pungere 3|wsunąć, ukłóć 1, wkładać, wsuwać, kłoć 2, kłóć, ukłóć 3||||48, 206|90|||156, 157, 150||В зап. камч. в последнем глаголе вместо рус. рукописного "т" = [t] неправильно протранскрибировано "ш" = [š]. Приводя первые два глагола Дыбовский в одно гнездо ошибочно свел с данным корнем корень *teł- 'всовывать, положить' (199).||0|
1125|*'itłK- ~ *'ič'łK-|1039|колоть, прокалывать|ïTLK-Rë̲=, N-TLK=|ə̲CL(K)=|'ə̆n-tłk-as, 'ə̆n-tłk-sxen-es mult. 1|'etłq-re-s (q-'itłqre-x 2sg.3sg. imper., k-'itłqre-'in 3sg.3sg. perf.) 2||колоть, прокалывать 1, пороть одежду 2|'əčle-z 1, n-ẹčlk-al-kas-kal part. act. 2|pungere 1, forare 2|kłuć 1, dziurawić, wiercić 2||||206|122|||99, 137||Использование Дыбовским знака "ять" указывает на глоттализованность начальнрго согласного корня. Если в ИРС -qre- особый корень, то его можно сравнить с прачук. *keri- (~ *-š-) 'надрезать, делать зарубки, оставлять метки' (619). Ср. *čskał-: *łən-čskał- 'пристегиваться, воткнуться' (1345).||0|
1126|*t'qmi-|0|росомаха|T'KMi-N|T́Mi-N||tqmi-ŋ (tqmi-'n pl.)||росомаха|t́mi-n (t́mi-'in poss.)|gulo borealis|rosomak||||85||||158||||0|
1127|*t'im-|0|давать цвет||TɨM=|||||tɨm-knən part.|colorificus|dający barwę||||||||161||Ср. с *'ətməl- (~ *'ikəm-) 'приклеиваться' (725).||0|
1128|*tŭmkʷč|0|палец (большой)|TüMKC-e||tumkč (tumkč-e'n pl.)|||большой палец||||tamk|pollex|wielki palec|127|||||119|||0|
1129|*tăna-q|0|опять, снова|TaNa-K||tana-q|tena-q|tanna-k|опять, снова|||||||148|91||104|||Основа с наречным аффиксом -q.||0|
1130|*t-nŭ-m|670|нижний, южный|TNü̆M|Tɨ̈NüM|tnŭm 1|tnŭm-'in poss. 1, tnŭm 2, tnŭm-k loc. (tnŭm-k adr., tnŭm-x'al abl.) 3||нижний, южный 1, юг 2, внизу (вниз, снизу) 3|tɨnum-nɨn poss. 1, tɨnum-k loc. (tnom-ke adr., tɨnom-x/kal abl.) 2|imus 1, subter, infra (in humum, de orsum, ab imo) 2|dolny, niski 1, na dołu (na ziemię, na dół, z dołu) 2|'uteĺman|inferior|dolny|339, 148|85, 86|||158|121|См. *'i(ʷ)təl-m-ən 'ительмен, нижний' (1015)||0|
1131|*təw-k'e-|0|портиться|TFKe̲=, N-TFKë=, N-TFKe-HL=|iN-ToKẹ=|tfke-kes 1, nə̆-tfke-'ł-kes 2, nə-txwa-ł-kəs** 3|'ə̆n-tfka-s ('ə̆ntfke-n 2sg.3sg. perf., 'ə̆ntfke-ne'n 3sg.3pl. perf.) 2||портиться 1, портить 2, портить пищу 3|'in-tokẹ-z|corrumpere|zepsuć||||418, 37, 61|115|347||109||На абруптивный согласный указывает использование Дыбовским буквы "ять" = [ẹ].||0|
1132|*taɣʷŏl-|0|обнять|Ta̲Fo̲L=|TaXL-aT=|k-tawol-knan 3sg.3sg. perf..|tawol-kas (t-tawol-kičen 1sg.3sg. perf., q-tawol-xkmiŋ 2sg.1sg. imper.)||обнять|taɣl-at-kaz|amplecti|obejmować||||395|83|||154||Ср. *twil- 'окружать' (1258).||0|
1133|*twəź, *(t)źuź|0|сто|Tu(H)S|SuSa-|tus** 1|tu'us 1, towassa 2||сто 1, десять 2|[žužad*] 10|decem|dziesięć|||||87, 86|338||98||Ител. форм реально не существует, они взяты А.П. Володиным из источников XVIII-XIX веков (ИРС 237).||0|
1134|*toza-|968|растирать, выбивать|To̲Sa̲=|ToSa=|toza- 1|toza-s (t-toza-sče'n 1sg.3pl. pres.) 2||тереть 1, мять (шкуры) 2|toza-z 1, toza-zo-z dur. 2|terere, excutere fruges, grana 1, interere 2|młocić, wybĳać 1, nacierać 2|tizisxapa-skik|verrere fornacem|grzebać w piecu, oczyszczać piec|62|86|||159|119|||0|
1135|*tozŏ-|0|выдающаяся, передняя часть||To̲Sə/o̲|||||tozə-mə-n pl. 1, tozo-'an poss. 2|partes anteriores alicujus rei 1, magnas mammas habens 2|przednie części 1, mająca wielkie piersi 2|~ doms-tazut|pars anterior calceamenti|przednia część obuwia|||||159|107|||0|
1136|*-ləmza-|0|наружный, на поверхности||-Le̲NSa̲-|||||ĺop-lenza-'an part.|externus|powierzchowny, zewnętrzny|doms-tazut|pars anterior calceamenti|przednia część obuwia|||||132|107|||0|
1137|*tasx ~ *časx|0|воротник (меховой)||TaSX, CaSX|||||tasx, časx|collare pellibus factum|kołnierz futrzany|časx|collare|kołnierz|||||95|105|||0|
1138|*tsxła-|0|умывать|TSXLa=, T'ʷLa=||tsxła-s 1, tsxła-kes 2| ̊t'ła-zo-s dur. ( ̊q-t'łazo-xi'n 2sg.3pl. imper.) 1,  ̊t'ła-zo-kas dur. ( ̊t'łazo-skičen 1sg. pres.,  ̊q-t'łazo-xč 2sg. imper.,  ̊k-t'łazo-knen 3sg. perf.) 2||умывать 1, умываться 2|||||||68, 195|92|||||||0|
1139|*tskil-|0|сквозить|TSKiL=||tskil-|||сквозить|||||||60||||||||0|
1140|*t'iźimč|0|висок|T'ïSïMC-e|Tɨ̈SïMC-i|t'izimč (t'izimč-e'n pl., t'izimč-'in poss.)|t'izɨmč (t'izɨmč-e'n pl.)||висок|tɨzimč-in pl.|tempora|skronie||||27, 38, 127|92|||162||Ср. *t'əzə-ŋ 'щека закола' (1012).||0|
1141|*'ači-|0|глубокий||a̲Ci̲-|||||'ači-ĺax|altus, profundus|głęboki||||||||81||||0|
1142|*'ači-|0|лаять||ạCị-|||||'ači-zin 1, 'ačə-zən 2|latrare 1, latratio 2|szczekać 1, szczekanie 2|k-ači-zix 3pl. pres.|latrant (canes)|szczekają (psy)|||||81|109|||0|
1143|*'esk(č)-|130|холм, нагорье, скала|ëSK-P-e|əSK-P, əKC-P||'esk-p ('eskp-e'n pl.)||холм|'əsk-p-ən pl. 1, 'əkč-p-in pl. 2|rupes 1, colles, undae 2|skała, progi na rzece 1, wzgórza, fale 2||||397|122|||101, 99||Ср. *'eskč- 'огромный, сильный' (61).||0|
1144|*'aɣ(ʷ)a-|564|разливаться (о реке)|aXa̲=||'aɣa-kəs** 1|'awa-kas (k-'awa-knan 3sg. perf.) 1, 'awa-no-m ('awano-'n pl.) 2||разливаться (о реке) 1, разлив, наводнение 2||||||||12|350||||||0|
1145|*'ačwan-ka|890|плохо делать|a̲CFa̲N=||'ačwan-kes 1, 'ačwan-ka-la-n part. act. 2|||плохо делать 1, неумеха 2|||||||118||||||||1114|
1146|*'aʷ'-asx|891|гнездо|a̲ʷHa̲SX-a|aHaSX|'a'-asx ('a'-asx-a'n pl.)| ̊'a'-asx ( ̊'a'-asx-a'n pl.)||гнездо|'a'-aśx, 'a'-aśk|nidus|gniazdo||||35|17|||81||||0|
1147|*'ĳan-|0|вниз по течению|iJaN-||'ĳan-|'ĳan-k loc. ('ĳan-ke adr.)||ниже по течению|||||||339|24|||||"По воде" ?||0|
1148|*'umkəl (~ *'i-)|1067|рано, утром||ʷïMKüL|||||o̯əmkl-ɨk loc. ('imkuĺ-k, 'umkuĺ-k) 1, 'imkiĺ-an poss. ('umkiĺ-an, 'umkul-in) 2, o̯əmkol-k loc., ['əmkoĺaĺiu̯*] (xi-'umkilɨč-l superl. adv.) 3|mane 1, matutinus 2, multo mane 2|ranek, poranek 1, ranny, poranny 2, rano, bardzo rano 3|'ukań, [boku̯an*] 1, 'ukan-ič 2|cras 1, dies 2|jutro 1, dzień 2|||||141, 106, 162, 92||||0|
1149|*'ajpə-|0|нагревать||aJPə=|||||'ajpə-z|calorifacere|nagrzewać||||||||82||||0|
1150|*'ajta-|0|гнойный, нагноившийся||a̲JT-(a̲T)=|||||'ajt-an, 'ajtat-an poss.|stercorosus, sterceratus|gnoisty, zagnojony||||||||82||||0|
1151|*'ŭqi-, *qʷ-zu-|677|ждать|KSü=|oKẹ(-T)=||k-zo-s dur. (t-kzu-zwin 1sg.2sg. pres., t-kzu-qzu-čen 1sg.3sg. imperf., x-kzu-miŋ 2sg.1sg. imper.)||ждать, подождать|'okẹ-z 1, 'okẹ-t-əz mult. 2, 'okẹ-kaz 3|expectere 1, expectere donec 2, diu expectere 3|czekać 1, oczekiwać, doczekiwać się 2, długo czekać 3|||||29|||142, 141||В формах инфинитива глагольные основы переднего и заднего ряда совпадают в заднем ряду. Использование Дыбовским знака "ять" = [ẹ] указывает на увулярный характер заднеязычного.||0|
1152|*'ĳano-čh|892|княженика (ягода)|ịJạno̲-CX|ịHạNo-||'ĳano-čh ('ĳano-ń-č pl., 'ĳano-ń-č-ke pl. adr.)||княженика (ягода)|'i'ano-n|rubus arcticus (baccae)|gat. maliny (jagody)|||||24|||104||||0|
1153|*'ənkčś|0|береста, холст|N̈K'SX-e|iKCS, -aNKSaH-||'ə̆nk'sx ('ə̆nk'sx-e'n pl.)||береста|'ikčš 1, k-ankš̲a-'an poss. 2|cortex betulae 1, lineus, linteus 2|kora brzozowa 1, płócienny 2|||||112|||105||В подаче зап. каич, материалов Дыбовского вместо рус. рукописного "ш" = [š] неправильно прочитано "т" = [t]. Ср. *kĕč-qəp 'нарост, древесный гриб' (215).||0|
1154|*'ołxen|893|вершина (дерева, горы)|o̲LXe̲N||'ołxen 1|'ołxen ('ołxe'n pl.) 1, 2||верхушка (дерева) 1, вершина (горы) 2|||||||79|67|||||||113|
1155|*'ăl-xp|0|стебель кипрея|ă̲LXP-a||'ălxp 1, 'ălxp-qzu-zen 3sg. pres. dur. 2|'alxp ('alxp-a'n pl.) 1||обработанный и готовый в пищу стебель кипрея 1, обычно вставать, подниматься (о солнце) 2|||||||40, 150|13|||||Во второй части аффикс *əp- 'вертикальный'.||0|
1156|*'ełewj[u]q|0|неуклюжий, старый медведь|e̲Le̲HFJaK||'ełe'wjaq 1|'ełewjuq ('ełewjuq-e'n pl.) 1, 2||старый медведь 1, неуклюжий, неповоротливый человек 2|||||||404|120|||||||0|
1157|*'eme-ne-ŋ|0|ступенька|eMe-Ne-N||'eme-ne-ŋ|'eme-ne-ŋ ('eme-ne-'n pl.)||ступенька|||||||31|120|||||||0|
1158|*'imt-s|0|серьезно, по-настоящему|iMTS|ɨ̈MT-Lë-|'imts|'imts||серьезно, по-настоящему|~ n-ɨmt-le-'in part.|ornatus, compositus|przyozdobiony, uporządkowany||||244, 28|24|||140||||0|
1159|*'əmzat-|0|гнать рыбу в запор|MSä̲Tï=, MSạTị-Ne-N||'ə̆mzate- 1, 'ə̆mzati-ne-ŋ 2|||гнать рыбу в запор 1, погонялка 2||||'uvuz-ɨx|gubernare|sterować|119|||||121|См. также *'umz-, *wumz- 'оставлять, покидать' (989).||438|нив. e-mraŋ- 'выгонять, изгонять'
1160|*'ə'n-|0|сделать что-либо кому-либо|||||'ə'n- ('ə'n-in 3sg.3sg. perf., t-'ə'nə-žən 1sg.3sg. perf.)|сделать что-либо кому-либо||||||||||93|||||0|
1161|*'inčĭ-|894|воткнуть, ставить|iNTXiL|inCi=, iNCLe=||'int-xɨl ('int-xɨ'l pl.)||заноза, колючка|'inči-z 1, 'inč-le-z 2|pingere 1, statuere 2|ukłóć 1, stawiać 2|~ p-unči-t pl.|clavi, orbiculi|guziki||24|||106, 107|117|В юж. камч. может быть композит с p- 'втыкать'.||0|
1162|*'antsə-|0|постель, подушка|a̲NTS, a̲NTS(e̲)=, eNSCe-Ne-N|aNTS|'ańts 1|'ańts 1, 'ańts-kas (t-'ańtse-skičen 1sg. pres.) 2||постель 1, стелить постель 2, одеяло (из ткани, ватное) 3|'ants-kaz ńeksə-kaz||iść spać, kłaść się spać||||61|15|||86||Ср. *'ənŭs-nə-ŋ 'подушка' (1501), *st-e'ł- 'стелить' (1616).||0|
1163|*'uńxin|0|кора||uNXiN|||||'uńxin|cortex|kora||||||||162||Ср. *'ŭnux(s)t'- 'обдирать, выдирать' (1164).||0|
1164|*'ŭnux(s)t'-|0|обдирать, выдирать||uNuXTɨ-T=, uNuX-ST=|||||'unuxtɨ-t-ɨz 1, 'inuxst-ɨn part. 2|eripare, abripere 1, abreptus 2|obdzierać, wydzierać 1, wydarty 2||||||||109||Ср. *'uńxin 'кора' (1163).||0|
1165|*č'alĕ-|0|грызть|C`a̲Le̲=|CaLɨ=|č'al-|č'ale-s (č'ale-znen 3sg. pres.)||грызть|čalɨ-z|rodere|gryść||||60|105|||94||Ср. *čhamłe- 'пировать' (1206).||0|
1166|*'ənk'zu-|0|помогать|NK'Sü=, ïN-NKSü-HL=|iKSu=|'ə̆nk'zo-s 1, 'in-ə̆nqzu-'łk-es, 'an-ə̆nk'zo-'łk-es med. 2|'ə̆nk'zo-s ('t-ə̆nk'zu-sčen 1sg.3sg. pres., q-ə̆nk'zu-miŋ 2sg.1sg. imper., 'ə̆nk'zuw-omnen 3sg.1sg. perf., k-ə̆nk'zu-'in 3sg.3sg. perf.) 1, 'en-ə̆nk'zo-'ł-kas med. ('inə̆nkzu'ł-qzu-zɨn dur. 3sg. pres.) 2||помогать кому-либо 1, помогать, быть помощником 2|'ikzu-z|juvare|pomagać||||204, 39|112, 121|||108||||0|
1167|*'i'naq|0|горностай|ịHNạ̈K-e|iNəK|'i'naq ('i'naq-ečh dim.)|'i'naq ('i'naq-e'n pl.)||горностай|'inək|erminea foetorius|gronostaj||||122, 132|26|||107||||0|
1168|*ślĕ-: 'ən-ślĕ-|0|развивать, приготавливать||iN-ŚL(a)=, iN-SLë(-T)=|||||'iń-šĺa-z 1, 'iń-slet-əz 2, k-'in-sl-in part. 3|evolvere 1, decoquere, excoquere 2, coctus 3|rozwĳać 1, rozgotowywać 2, gotowany 3||||||||109, 121||См. *'ił-, *'is- 'быть' (675) зап. камч. формы.||0|
1169|*'i'nuxʷt-|1040|отбирать, отнимать|ïHNüXʷT=||'i'noft-es|'e'noxt-es (q-'i'nuxt-ex 2sg.3sg. imper., k-'i'nuxt-'in 3sg.3sg. perf.)||отбирать, отнимать|||||||35|124|||||||523|
