NUMBER|PROTO|PRNUM|RUSMEAN|MEANING|GRU|GRMEAN|EGRMEAN|MEG|MGMEAN|EMGMEAN|SVA|SVMEAN|ESVMEAN|LAZ|LZMEAN|ELZMEAN|NOTES
1033|*šwed- / šud-|0|душить|to throttle|xrč-, Old Georg. šwd-, šdv-, štv-|||škvid-|||šgud-, šgwd-, šgwid-|||šḳvid-, šḳid-|||ЭСКЯ 215, EWK 425-426.
1034|*šwel-|0|косуля, серна|roebuck, chamois|švel-|||skver-||||||mskver-, pskver-, msḳver-|олень|deer|ЭСКЯ 216, EWK 427.
1035|*šwen-|0|твой|your|šen-|||skan-, sḳan-|||isgu, isgwi|||skan-, ckan-|||ЭСКЯ 216, EWK 427-428.
1036|*šwer- / šwr-|552|сохнуть|to be dry|šr-|||skər-, skir-||||||skir-, skur-|гаснуть|to be extinguished|ЭСКЯ 216, EWK 428. В МССHЯ 366-367 сравнивается с алт. *sirV 'пересыхать', урал. *š[ɨ]rwa 'сохнуть'.
1037|*šwib-|0|отколотый плоский камень, жернов|flat stone, grindstone|šib-|Steinschicht|Steinschicht|skib-u|жернов|grindstone||||mskib-u, pskib-u|мельница|mill|ЭСКЯ 218, EWK 428-425.
1038|*šwid-|0|семь|seven|švid-|||škvit-|||išgwid, išgüd|||škvit-, škit-|||ЭСКЯ 216-217, EWK 429.
1039|*šwin-|0|пугать(ся)|to scare, be scared|šin-|||(r)skin-, skin-||||||ckin-|||ЭСКЯ 217 (упоминается еще мегр.-чан. škur- 'бояться'), EWK 429-430.
1040|*tal- / tl-|357|тесать, строгать|to adze, plane|tal-, tl-|||tol-|||tal|Keil|Keil||||ЭСКЯ 90-91, EWK 155. В МССHЯ 360 сравнивается с ПИЕ *del- 'расщеплять, обтесывать', алт. *teĺ- 'раскалывать'.
1041|*tan- / tn-|0|виднеться|to be seen|tn-|нравиться|to like|ton-|||||||||EWK 155.
1042|*tap-|0|отвалиться, оторваться, потерять|to fall off, to be torn off, to lose|tap-||||||tup-, twep-|потерять|to lose||||EWK 157.
1043|*tapl-|0|мед|honey|tapl-|||topur-|||tu-, tw-i|||topur-, topr-|||ЭСКЯ 91, EWK 157.
1044|*tar- / tr-|977|тащить|to drag|tr-|||(n)tir-|||tr-, tir-|||tor-, tur-, tir-|||ЭСКЯ 95, EWK 156. Бомхард (1996, 154) сравнивает ПИЕ *tregh- 'тащить' (варианты: *dhregh-, *dergh-), хотя суффиксация неясна. Ср. также алт. *tār[U] 'тащить, тянуть'.
1045|*te-|358|глаз, свет|eye, light|na-te-l- 'light', na-t- 'to lighten'|||no-te|лучина|kindling|te|глаз (ter-äl 'глаза', ter-a 'видно')|eye (ter-äl 'eyes', ter-a 'is seen')|te|свет; no-te 'лучина'|light; no-te 'kindling'|ЭСКЯ 91, 260, EWK 145, 160. Ср. ПИЕ *dei- (скорее сюда, а не к *dɣe-).
1046|*tel-|574|нажимать, давить|to press, squeeze|tel-||||||tel-, tl-|нажимать, касаться|to press, touch||||ЭСКЯ 92, EWK 159. Бомхард (1996, 154) сближает ф.-уг. *toĺV 'толкать, пихать', драв. *taḷ- id. (сомнительно привлечение ПИЕ *telk- 'толкать').
1047|*tel-|489|поросенок|pigling|tel-|||tu-, pl. tul-ep-||||||tila-|||ЭСКЯ 91, EWK 159. Hе исключено заимствование из ПИЕ *tel- (ввиду нерегулярности соответствий),  что предполагает Климов (1994, 112-114).
1048|*ten-|0|светать|to get bright|ten-|||tan-|||ten-, tn-|делаться видным, рождаться|to appear, to be born|tan-|светать, виднеться|to get bright, to be seen|ЭСКЯ 92, EWK 159-160.
1049|*tes-|0|сеять|to sow|tes-|||tas-||||||tas-|||ЭСКЯ 92-93, EWK 160-161. Генетическое сближение с ПЗК *(p)sV- 'сеять, бросать' (см. Климов 1969,  292) вряд ли возможно, поскольку ПЗК форма возводится к ПСК *=as̲Ar "бросать" (NCED 269-270).  Вероятнее всего, как и в ряде других случаев, заимствование ПК < ПH *tas- 'бросать, сеять' (или из  ПАК *taj(ə)sa- 'сеять'.
1050|*tetr-|0|белый|white|tetr-||||||twetw(e)ne-, t(w)etne-||||||ЭСКЯ 91 (иначе в EWK 160: груз. сопоставляется со сван. te 'глаз').
1051|*tew- / tiw-|0|бдеть, быть светлым|to be awake, to be light|tev-|бодрствовать; m-ti-eb- 'созвездие', m-tov-ar-e 'луна', gan-ti-ad- 'восход солнца'|to be awake; m-ti-eb- 'constellation', m-tov-ar-e 'moon', gan-ti-ad- 'sunrise'||||taw-|выявлять|to make seen||||EWK 158.
1052|*tib-|557|косить, трава|to scythe, grass|tib- 'to scythe', tiv-a 'hay, grass'|||tip-|косить; сено|to scythe; hay||||tip-|косить; трава, сено|to scythe; grass, hay|ЭСКЯ 94, EWK 162-163.
1053|*titx-|0|пачкать(ся)|to get dirty, to dirty|titx-n-|||txitx-on-|||||||||ЭСКЯ 94, EWK 163.
1054|*tkar- / tkr-|0|много есть|to eat a lot|tkar-, tkr-|лопаться|to burst|ntkor-, ntker-, ntkir-|много есть, лопаться|to eat a lot, to burst|||||||EWK 166.
1055|*tkor- / *tkr-|1130|течь, плескаться|to flow, splash|tkr-ial-; tkor- 'tide'||||||tkr-ən-||||||EWK 168.
1056|*tkw-|0|говоpить, сказать|to say, speak|tkv-, tkv-am- / tkm-|сказать, говоpить|to say, speak|tk(w)-, tkum-|||kw-|||tk(w)-, tkum-|||ЭСКЯ 96, EWK 166-167.
1057|*tkwep- / tkwip-|0|взбивать, смешивать|to churn, mix|tkvep- / tkvip-|||tkvap-||||||tkvap-|||Кл, EWK 167-168. Климов (1994, 104) считает, что основа связана "закономерными отношениями звукописи" с *dɣweb- q. v. (???).
1058|*tk(w)lep|0|жадно есть|to gobble|tk(v)lep-, tk(v)lip-, tkep-, tkip-|жадно есть, лопать|to gobble, devour|rtkap-, tkvap-|||||||||ЭСКЯ 96, EWK 166 (*tkep- / *tkip-).
1059|*tm-|359|теpпеть, испытывать нужду|to endure, to suffer|tm-|теpпеть, выдеpживать|to endure, tolerate||||təm-, tm-|нуждаться|to be in need||||Кл, EWK 163.
1060|*toq-|0|мотыга|hoe|Old Georg. *toq-|||tox-||||||tox-|||Кл (указывает на арм. toxr `мотыга').
1061|*trt-|0|трепетать|to quiver|trt-|||tirt-ol-||||||tirt-in-|||ЭСКЯ 96, EWK 165.
1062|*tutk-|0|сжигать|to burn|tutk-; Middle Georg. tutk- 'hot ash'|||tkutk-|||||||||EWK 165.
1063|*twer-|80|пить|to drink|tver-, tr-||||||tr-||||||ЭСКЯ 95-96, EWK 162. В МССHЯ 335 сопоставляется с драв. *tār- 'пить'.
1064|*tx-|0|прясть|to plait|tx-or-|диал. Knäuel aus gesponnenem Faden; längsgebundener Spinnfaden|dial. Knäuel aus gesponnenem Faden; längsgebundener Spinnfaden|tux-|||la-tx-a, la-tx-ej|сеть|net|tx(v)-|||EWK 169; ЭСКЯ 233 (сравнивается груз. ʒax- 'прясть').
1065|*tx-|366|пpоливать, пpосыпать|to spill|txe-, txi-, Old Georg. tx(e)-|пpоливать(ся), пpосыпать(ся)|to spill|(n)tx-|падать|to fall|tx-|расплескивать; блевать|to spill; to vomit|ntx-|блевать; падать|to vomit; to fall|ЭСКЯ 98 (*txe-), EWK 168-169. В МССHЯ 347 сравнивается с ПИЕ *dē- 'течь'.
1066|*txal-|0|осадок молодого вина|dregs from young wine|txl-e|||txol-o||||||txol-o, txol-e|||ЭСКЯ 98-99, EWK 170.
1067|*txam-|0|ольха|alder|txm-el-|||txom-u, txum-u||||||(n)txomu, ntxombu|||ЭСКЯ 99 (*txmel-), EWK 170-171.
1068|*txaml-|0|гной|pus|Old Georg. txaml-, txraml-|||txomur-, txumur-||||||txomu(r)-, txom(b)r-|||ЭСКЯ 97-98, EWK 171.
1069|*txaz- / *txz-|0|плести, сплетать|to plait|txz-|сочинять, ДГ txaz-, txz- 'плести'|to compose; Old Georg. txaz-, txz- 'to plait'|? txoz-in-|преследовать, гнаться|to pursue, hunt||||txoz-|||ЭСКЯ 97, EWK 169-170. Климов (1994, 114-115) высказывает точку зрения о возможном заимствовании из ПИЕ *teḱs- 'сплетать; сочинять'.
1070|*txem-|0|веpшина|summit|txem-|веpхушка, веpшина, затылок|summit, top, back of head||||txum, txwim|голова, веpшина|head, summit||||ЭСКЯ 97 (*txam-), EWK 172-173.
1071|*txew(l)-|1075|ловить, искать|to catch, search|txevl-, Old Georg. txevl-|ловить рыбу сетью|to catch fish with net||||txēl-, txw-|искать, охотиться|to search, to hunt||||ЭСКЯ 98, EWK 172.
1072|*txip-|429|пачкать|to dirty|txip-|||txip-|||||||||EWK 173-174.
1073|*txleš- / txliš-|0|шлепать, бить|to slap, beat|txleš-, txliš-, txlaš-|||txiraš-, txiriš-, txiroš-|||||||||EWK 174.
1074|*txow-|532|пpосить, жениться|to ask; to marry|txov-|||tx(w)-||||||tx(w)-|||ЭСКЯ 99 (*txo-), EWK 174.
1075|*ṭLap-|978|гpязь (жидкая)|mud|ṭlaṗ-o, ṭlaṗ-|гpязь (жидкая)|mud|||||||ṭolop-|||Кл, EWK 333.
1076|*ṭab-|83|озеро, пруд|lake, pool|ṭb-a 'lake', ṭb-or- 'swamp'|||ṭob-a, ṭob-o|глубокий (о водах)|deep (of water)|ṭub 'ravine', ṭwib 'lake'|||ṭob-a, ṭib-a|озеро, пруд|lake, pool|ЭСКЯ 179, EWK 323.
1077|*ṭal-|189|кремень|flint|ṭal-||||||ṭol- ( < Megr. *ṭol-)||||||EWK 324. В МССHЯ 343 сопоставляется с алт. *tiōĺi 'камень'.
1078|*ṭanṭal-|0|плестись, шататься|to stagger, trail|ṭanṭal-|||ṭinṭol-|||ṭərṭān-  ?|шататься|to stagger||||Кл, EWK 324.
1079|*ṭax-|0|стучать, бить|to knock, hit|ṭax-un-|||ṭox(-un)-|||||||||EWK 324-325.
1080|*ṭen-|356|набивать (туго)|to stuff, pack (tight)|ṭen-|||ṭiṭin-|||ṭəṭən-||||||ЭСКЯ 183 (*ṭṭen-), EWK 325.
1081|*ṭep- / ṭp-|113|греть(ся)|to warm, keep warm|tb-, Old Georg. ṭp-, ṭep-|||ṭəb-, ṭib-|||ṭeb-id-, ṭb-id-|||ṭub-, ṭib-|||ЭСКЯ 179-180, EWK 326. Ср. ПИЕ *tep- 'греть(ся)', алт. *t`epV 'греть, жечь' (МССHЯ 338). Вопреки [Климов 1994, 139-143] исключительно трудно представить данный корень как заимствование из ПИЕ.
1082|*ṭep-|0|ремень, кора|strap; bark|ṭep- "leather strap", ṭep-a "bark, hide, sole"||||||ṭep-|березовая кора; ṭup 'кожа, шкура'; ṭp- 'сдирать шкуру'|birch bark; ṭup 'skin, hide'; ṭp- 'to skin'||||ЭСКЯ 180; EWK 326. В Фенрих 1980, 180 сван. ṭup- сравнивается с груз. ṭvip- 'густой воздух' (?).
1083|*ṭew-|0|нападать, драться|to attack, fight|ṭev-, ṭi-||||||ṭēw-|ссориться, громко говорить|to quarrel, talk loudly||||EWK 325.
1084|*ṭew-|0|оставлять, отпускать|to leave, let go|ṭov-, Old Georg. ṭew-|||ṭa-l-||||||? ṭal-|смешиваться|to mix (intr.)|ЭСКЯ 180.
1085|*ṭewr-|0|чаща, густой темный лес|thicket, dark forest|ṭevr-||||||li-ṭawr-e||||||EWK 325.
1086|*ṭex-|0|ломать|to break|ṭex-|||ṭax-, ṭex-|||la-ṭx-i|Meissel|chisel|ṭax-|||ЭСКЯ 180-181, EWK 327-328.
1087|*ṭi-|0|содержать, вмещать|to contain|ṭe-, ṭi-|||(n)ṭi(r)-, ṭr-||||||(n)ṭi(r)-, (n)ṭi(n)-, (n)ṭr-|||ЭСКЯ 180. В МССHЯ 333 сближается с урал. *tärV 'вмещать(ся)'.
1088|*ṭi(n)ṭw-|0|губа|lip|ṭuṭur-|губы|lips|||||||ṭi(m)ṭvir|||ЭСКЯ 181 (без реконструкции).
1089|*ṭiṭ-|0|||ṭiṭa|тюльпан|tulip|ṭaṭa|цветок|flower|||||||Ср. ПВК *ṭVṭV 'цветок' (NCED 1006).
1090|*ṭiṭw-el-|0|голый|naked|ṭiṭvel-|||ṭuṭel-|||ṭinṭi-, ṭiṭam-|||ṭe(n)ṭel-|||ЭСКЯ 181.
1091|*ṭiw-|0|плот|raft|ṭiv-|||ṭiw-|||ṭiw||||||Климов 1972, 354. Там же предполагается заимствование из нахского (ср. ПH *ṭēwi 'мост' < ПВК *ṭwēlʔe 'палка, бревно', NCED 1006).
1092|*ṭiź-|71|вошь|louse|ṭil-; ṭizn- 'to louse' (EWK: ṭisn-)|||ṭi; ṭišon-|||ṭiš|||(m)ṭi; ṭišon-, ṭišin-|||ЭСКЯ 181, EWK 328, 329. В МСHЯ 335 основа сопоставляется с ТМ *ti- 'вошь', урал. *täjV id.
1093|*ṭḳb-|0|прижать ласково, обласкать|to hug, embrace|ṭḳb-, ṭq̇b-||||||ṭḳb-, ṭq̇b-||||||EWK 329.
1094|*ṭḳeb-|5|топтать, придавливать|to trample, press upon|ṭḳeb-||||||ṭḳeb-, ṭḳb-|||(n)ṭḳab-, ṭḳaṗ-|||ЭСКЯ 182, EWK 329-330. Сближение с ПИЕ *tep- 'бить, топтать', алт. *t`apV 'бить, ковать, топтать', урал. *tappa- 'бить, топтать', драв. *tapp- 'бить' см. МССHЯ 330.
1095|*ṭḳec-|0|лопаться, разрывать(ся)|to burst, split|ṭḳec-|||ṭḳic-|||||||||Кл, EWK 331.
1096|*ṭḳeć- / ṭḳić-|0|бить, ударить|to beat, hit|ṭḳec-, ṭḳic-, ṭḳac-|||ṭḳač-|||ṭḳeč-, ṭḳč-||||||ЭСКЯ 182, EWK 331. Экспрессивный корень; если -ć имеет суффиксальный характер, налицо многочисленные ностратические параллели (ПИЕ *teḱ-s- 'тесать', алт. *t`ok`u 'бить', ф.-уг. *tukV 'ломать', драв. *tuk- 'бить'; см. Бомхард 1966, 157, с более сомнительной ПИЕ параллелью).
1097|*ṭḳerć- / ṭḳrć-|0|тpеск, трещать|cracking, to crackle|ṭḳrc-|тpеск|cracking|ṭḳarč-|||ṭḳərč-||||||Кл, EWK 330.
1098|*ṭḳwer- / ṭḳwir-|0|разгрызать (орех)|to crack (a nut)|ṭḳver-, ṭḳvir-|||ṭḳvar-|||ṭḳur-|||ṭḳvar-|||ЭСКЯ 182, EWK 331-332.
1099|*ṭḳw(l)eṗ- / ṭḳw(l)iṗ-|0|есть (чавкая)|to chaw|ṭḳvleṗ- / ṭḳvliṗ-|есть (чавкая)|to chaw|ṭḳvaṗ-|||||||||Кл, EWK 332.
1100|*ṭl-|602|портиться; червь, личинка|to spil; worm, maggot|ṭl-; ma-ṭl-|||munṭur-|||məṭ|||munṭ(u)r-|||ЭСКЯ 129 (*maṭl-), EWK 332-333. Картв. *maṭl- сближалось Климовым (1969, 290) с ПЗК *(a)mAṭA  'змея' (согласно NCED 290 < ПСК *bēmṭV, этимологически связанного с *ɦwVmṭV 'красный'), а  Иллич-Свитычем (МССHЯ 372) - с ПИЕ *m[o]t- 'червь, моль'. Признание производного характера *maṭl-  от глагольной основы *ṭl-, однако, ставит все эти сближения под сомнение.
1101|*ṭleḳ- / ṭliḳ-|12|лизать|to lick|ṭleḳ-, ṭliḳ-, ṭlenḳ-|||ṭirḳ-, lonṭḳ-||||||nṭḳwal-|||ЭСКЯ 182, EWK 333.
1102|*ṭiḳ- (?*ṭliḳ-)|258|быстро убегать|to run away quickly|ṭiḳ-n- 'to gallop' (dial.); ṭliḳ-in- (Pshav.)|идти большими шагами|to take long strides|ṭi(r)ḳ-on-|||||||||ЭСКЯ 181 (*ṭiḳwn-), EWK 333-334.
1103|*ṭli(n)ḳ-|0|нижняя часть ноги|lower part of leg|ṭlinḳ-|нижняя часть ноги, лягание паpой копыт|lower part of leg, kicking with two hooves|||||||ṭriḳ-|копыто|hoof|Кл
1104|*ṭop-|0|неpеститься|to spawn|ṭop-|||(n)ṭop-|||||||||Климов (1994, 193-194) сравнивает с ПИЕ *top- (/*tep-) 'достигать', что чрезвычайно сомнительно семантически.
1105|*ṭoṭ-|1606|ветвь, рука|branch, hand|ṭoṭ-|||ṭoṭ-, ṭwaṭw-|||ṭoṭ, ṭ(w)eṭ|||ṭoṭ-|||ЭСКЯ 182-183.
1106|*ṭp-|442|плевать|to spit|ṭpu|тьфу!|ptooey!||||ṭb-ən-||||||EWK 336. В МССHЯ 354 сопоставляется с ПИЕ *pt(i)eu-, алт. *t`upV, драв. *tupp- < ностр. *ṭupV.
1107|*ṭq̇ar- / ṭq̇r-|0|pedere|to fart|ṭq̇r-ial-, ṭq̇r-om-a|шум|noise|ṭq̇or-in-|||ṭq̇ər-n-|прослабить|to have diarrhoea|ṭ(ḳ)or-in-|||ЭСКЯ 184, EWK 336.
1108|*ṭq̇e-|1753|лес, дерево|wood|ṭq̇e|лес|wood|ṭq̇a(l)-|трава, лес|grass, wood|ṭq̇e-n|деревяшка, палка|stick, piece of wood|(m)ṭḳa|трава, шиповник|grass, brier|ЭСКЯ 184, EWK 336-337.
1109|*ṭq̇eb-|208|обдирать кожу|to skin|ṭq̇eb-|бить себя по голове, оплакивать; ṭq̇av- 'шкура, кожа'|to hit oneself on the head, to mourn; ṭq̇av- 'skin, hide'|ṭq̇ab-|сдирать шкуру; ṭq̇eb- шкура|to skin; ṭq̇eb- 'hide'||||ṭ(ḳ)eb-|шкура|hide|ЭСКЯ 183-184 (*ṭq̇aw-), EWK 337-338. ПК *ṭq̇ew- 'шкура' - при условии вторичной метатезы - может быть сопоставлена с ПИЕ *twak-os 'кожа', алт. *t`uk`i 'волосы, шерсть'.
1110|*ṭq̇irṗ-|523|селезенка|spleen|ṭq̇irṗ-, ṭq̇liṗ-|||ṭq̇iṗ-|||||||||ЭСКЯ 184.
1111|*ṭq̇leš- / ṭq̇liš-|0|разрубать|to hack|ṭq̇leš-, ṭq̇liš-|||ṭq̇iraš-, ṭq̇iriš-|||||||||EWK 339.
1112|*ṭq̇orć-|0|метать|to throw|ṭq̇orc-n-|||||||||ṭ(ḳ)oč-|выбрасывать, отбрасывать|to throw away|ЭСКЯ 182, EWK 339-340.
1113|*ṭq̇u-|0|лгать, обманывать|to lie, deceive|ṭq̇u(v)-|||ṭq̇u-|||||||||EWK 340.
1114|*ṭq̇ub-|122|двойня|twins|ṭq̇ub-|||ṭq̇uṗ-, ṭḳub-|||ṭq̇wib, ṭq̇ub|||ṭq̇ub-, ṭ(ḳ)ub-|||ЭСКЯ 184, EWK 340. Hа основании сравнения с груз. ṭq̇uč̣- 'пара сросшихся плодов', в основе  выделяется корень *ṭq̇u-. Климов (1969, 291) сравнивает его с ПЗК *Tq́:Iwa- "два" (ср. далее ПВК  *q̇Hwǟ id., см. NCED 924).
1115|*ṭq̇urb-|0|гриб|mushroom|ṭq̇urb-l-a|древесный гриб|tree fungus||||ṭq̇ub-ūl|гриб|mushroom||||EWK 341.
1116|*ṭq̇w-|0|говорить|to speak|ṭq̇v-|||ṭq̇u-|||||||||ЭСКЯ 184, EWK 338.
1117|*ṭq̇w-|760|узнать, заметить|to recognize, notice|ṭq̇v-|||ṭq̇v-, ṭq̇u-|||||||||ЭСКЯ 184, EWK 338.
1118|*ṭq̇wec-|0|ударить, бить|to hit, beat|ṭq̇vac- / ṭḳvac-|ударить (о молнии)|to strike (of lightning)||||ṭq̇c-|||ṭḳvac-|||ЭСКЯ 184 (*ṭq̇oc-), EWK 338-339.
1119|*ṭrad-|0|голубь|pigeon|ṭred-|||ṭoronǯ-||||||ṭoroǯ-, ṭooǯ-|||ЭСКЯ 183, EWK 334.
1120|*ṭrp-|586|наслаждаться, любить|to enjoy, like|ṭrp-||||||||||||Иллич-Свитыч (МССHЯ 370) сравнивает основу с ПИЕ *terp- 'насыщаться, получать удовольствие'. Климов  (1994, 194-195) считает картв. форму заимствованной, для чего как будто бы нет оснований.
1121|*ṭu-|233|вымя|udder|ṭu-a|||ṭu, ṭə||||||ṭu|||ЭСКЯ 183, EWK 334.
1122|*ṭur-|41|бросать, броситься (откуда-либо)|to throw, to throw oneself (from somewhere)|ṭur-ṭur-|||ṭur-in-|||||||||EWK 334-335.
1123|*ṭura|608|шакал|jackal|||||||||||||Кипшидзе 330. В МССHЯ 372 сравнивается с алт. *t`ulgV 'лиса, волк', драв. *tōḷ- 'шакал, волк'.
1124|*ṭus-|0|жечь, опалять|to burn, sear|ṭus-||||||ṭūs-, ṭwīs-|beweihräuchern|beweihräuchern||||EWK 335.
1125|*ṭuṭa-|1607|зола|ash|ṭuṭ(a)-|щелочь||ṭuṭa|||ṭəṭa, ṭəṭ, dəṭ|||mṭuṭa|||ЭСКЯ 183, EWK 335.
1126|*ṭwin-|0|мозг|brain|ṭvin-|||ṭvin-, ṭven-|||||||||ЭСКЯ 181, EWK 328.
1127|*ṭwr-|153|зажигать свечку|to light a candle|||||||ṭwr-||||||Сванская основа в МССHЯ 341 сравнивается с монг. *tüle- 'жечь'.
1128|*ube-|434|пазуха|bosom|ube|||uba, luba, ləba||||||uba, oba|||ЭСКЯ 185, EWK 344. В МССHЯ 354 сопоставляется с монг. ebü- 'пазуха'.
1129|*uc̣q̇-|852|видеть|to see|uc̣q̇-|ведать|to know|orc̣q̇-|видеть|to see||||oc̣(ḳ)-|смотреть|to look|ЭСКЯ 186-187.
1130|*uɣ-|0|иго, ярмо|yoke|uɣ-el-|||uɣ-u|||ūɣ-wa||||||ЭСКЯ 186, EWK 347. Высказывались предположения о заимствовании из ПИЕ *iugo- (см. Deeters 1957,  Климов 1994, 68-72) или из сем. *ʁull- (Иллич-Свитыч 1965, 335); последнее  кажется наиболее  вероятным.
1131|*up-|1199|владеть|to possess|up-; me-up-e, me-p-e 'king'|||ma-p-a|царь|king||||ma-p-a-c̣ḳar-|царский источник|king's spring|ЭСКЯ 186, EWK 346.
1132|*u(m)ṗe-|475|пуп|navel|uṗe|||omṗa|верхнее бревно крыши дома|upper log of roof||||umṗa, omṗa|||ЭСКЯ 186, EWK 345. В ОСНЯ 1, 248-249 сравнивается с ПИЕ *ombh- 'пуп', хотя и с сомнением (ввиду  нерегулярности соответствия *ṗ : *bh); предположение о заимствовании из ПИЕ (Климов 1994,  127-129), однако, также не объясняет нерегулярности.
1133|*určx-|0|кишка|intestine|určx-|||||||||inčx-i-menčx-|||EWK 345-346.
134|*usxo|0|бык (жеpтвенный)|bull (sacrificial)|usx-|бык (на убой)|bull (prepared for slaughter)||||usxwa, usxw|бык (жеpтвенный)|bull (sacrificial)||||См. Климов 1994, 63-68, где высказывается идея о заимствовании  < ПИЕ *ukʷso- 'бык'.
1135|*wRć-|0|||wrc-; wrcel- "wide"|шиpиться|to widen|pi(r)ča-|широкий, развесистый (о дереве)|wide, branchy||||leke-pirče|пятно|spot|ЭСКЯ 85-86, EWK 137-138.
1136|*wać-|992|баран|ram|vac-|баран|ram|oč-|баран|ram|ɣwaš-|горный козел|mountain goat|oč-, boč-|баран|ram|ЭСКЯ 82, EWK 130.
1137|*wal- / wl-|0|идти|to go|val-, vl-|||ol-, ul-, ur-||||||ul-|||ЭСКЯ 84-85, EWK 126-127.
1138|*warcx(wn)-|1307|pасчесывать (волосы)|to comb the hair|warcxn-|pасчесывать|to comb|rcxon-||||||(n)cxon-|||ЭСКЯ 81, EWK 128, 452-453 (сравнивается еще др.-груз. sa-cxinv-eli 'гребень', мегр. orcxonǯi / orcxondi, лаз. oncxoǯi / ocxoǯi id.).
1139|*warćl-|0|корыто, лоток|trough, tray|varcl-||||||ɣwarčin||||||EWK 128.
1140|*warwar-|108|сверкать, пылать|to burn, glitter|varvar-||||||warwāl-||||||EWK 127.
1141|*warʒ-|0|сидение|seat|sa-vrʒ-el-, sa-varʒ-el-|||||||||o-rʒ-u, o-rʒ-o, o-rz-o|стул|chair|ЭСКЯ 169 (*(s)a-warʒ-el-), EWK 128-129.
1142|*wasx-|0|одалживать|to loan|wasx-|одалживать|to loan|(r)sx-||||||cx-|||ЭСКЯ 81. (Deeters Verbum, 76: < сpеднепеpс. waxš)
1143|*wašl-|0|яблоко|apple|vašl-|||uškur-|||wisg(w), usg(w), wisḳw|||oškur, uškur, uški(r), ošḳur-, ošḳir-|||ЭСКЯ 82, EWK 129-130.
1144|*wed- / wid-|47|идти|to go|ved-, vid-|||id-||||||id-|||ЭСКЯ 84 (*wid-), EWK 130-131.
1145|*wed-|327|желать, просить|to wish, ask for|ved-|доверять; ved-r- 'просить, умолять'|to trust; ved-r- 'to ask, beg'||||wad 'wish (n.)', wd- 'to miss smbd.'||||||EWK 131.
1146|*wel-|979|поле|field|vel-|||we(l)-|||||||||ЭСКЯ 82-83. Ср. ПИЕ *wel- 'луг, пастбище'; Климов (1994, 105-106) считает основу индоевропеизмом,  но не исключено и старое родство: ср. Бомхард 1996, 213 (с добавлением драв. *veḷ- 'открытое место').
1147|*wenaq-|0|виноградная лоза, виноградник|grapevine, vineyard|venax-, ДГ venaq-|||binex-||||||binex-, benex-|||ЭСКЯ 83, EWK 132. Климов (1981, 170) предполагает заимствование из ПИЕ *w(o)iniko- 'витое' (в 1994,  106-108 - из ПИЕ *woin-ōg- 'виноградная лоза').
1148|*wer-|0|приглагольное отрицание "не"|not (verbal negation)|ver|||va(r)||||||va(r)|||ЭСКЯ 83, EWK 132.
1149|*werćxl-|0|сеpебpо|silver|vercxl-, Old Georg. vecxl-|||warčxil-|||varčxil- 'money' ( < Megr.)||||||ЭСКЯ 83-84, EWK 134.
1150|*werxw-|1623|Populus tremulus, осина|Populus tremulus, asp|verxv-|||verxv-, vex-|||jerxw, werxw||||||ЭСКЯ 84. Интересно сопоставление с ПИЕ *werə-nā 'осина, тополь', драв. *viricu 'large sebesten' в  Бомхард 1996, 194. В то же время нельзя исключить и СК происхождение: ср. ПВК *wēqwV 'тополь,  осина' (с возможным вариантом *wērqwV).
1151|*werʒ́-|323|баран|ram|verʒ-|||erǯ-|||||||||ЭСКЯ 84, EWK 133. Сближение с ПИЕ *wers- 'теленок, кабан' см. Долгопольский 1972, 171, Бомхард 1996, 187 (вряд ли сюда тюрк. *buŕagu < алт. *biaŕV); Климов 1994, 108-110 предпочитает думать о заимствовании картв. из  ПИЕ, однако в таком случае неясна звонкость -ʒ́- < -s-.
1152|*weś- / wś-|842|наполнять(ся)|to be filled|vs-|||(p)š-|||gweš-, gwš-|||pš-|||ЭСКЯ 86, EWK 133-134.
1153|*weʒ́-|0|источник (минеpальный)|mineral spring|veʒ-a|||menǯ-|||||||||Кл, EWK 134-135. Most probably from some NC source, cf. PEC *ʔwɨ̄nc̲V̆'spring'.
1154|*wi-|0|кто|who|vi-n|||mi-n||||||mi(n)|||ЭСКЯ 135 (*mi-n), EWK 135.
1155|*wić̣q̇-(d)-|0|забывать|to forget|vic̣q̇-, vic̣q̇d-|забывать|to forget|č̣q̇olad- / č̣q̇olid- / č̣q̇ord-||||||č̣(ḳ)ond-, č̣ondr-|||ЭСКЯ 84.
1156|*wlt-|0|делить, разделять|to split, divide|vlt-|||rt-|||t-|||rt-, lt-|||ЭСКЯ 85, EWK 135.
1157|*wlṭ-|0|бежать|to run|lṭ-, ДГ vlṭ-|||rṭ-, nṭ-|||ṭw-|||(r)ṭ-, mṭ-|||ЭСКЯ 85, EWK 136.
1158|*wn-|0|вредить|to harm|vn-|||n-|||||||||EWK 137.
1159|*x-|0|касаться|to touch|x-, Old Georg. x-|касаться|to touch|go-x-u|касается тебя|it concerns you|||||||EWK 542-543.
1160|*xRć̣-(wn)-|0|||xrc̣n-|pазлагаться, гнить|to decay, rot|xič̣on-|pазъедать(ся), pазгpызать(ся)|to eat away, be eaten away|||||||Кл
