"NUMBER","PROTO","PRNUM","MEANING","LAK","COMMENT"
677,"xuj",133,"sheath","xuj","    Cf. Khosr. \Ixuj\i id. The Lak. form goes back to \I*xob(i)\i < \I*λow(i)\i (cf. PA \I*r-iƛobV\i), as seen from an archaic Arch. loanword from Laki: Arch. \Iλob\i 'sheath, case'."
678,"q:ur",439,"carrot","q:ur",
679,"liI=q̇a-",1724,"to be destroyed","liI=q̇a-n","    G. pr. \IliI=q̇u-n.\i Cf. also \IliIq̇-lu,\i \IliIq̇-ru\i 'crumbling, landslide'."
680,"=i=š:u-",1725,"to hit; to wound","=i=š:u-n","    G. pr. \I=i=š:u-nu.\i Cf. Khosr. \I=i=š:u-n\i id., and the prefixless stem \Iš:u-n\i (Khosr. \Iš:u-n\i) 'to hit, touch, push'. An old derivate is \Iš:awu,\i Khosr. \Iš:abu\i 'wound' ( > Arch. \Iš:aIbi\i 'wound', \Iš:aIban as\i 'to wound')."
681,"ꭓ:Ia",1726,"to break, burst","ꭓ:aI =uk:a-n","    Cf. Khosr. \Iꭓ:Ia =uk:a-n\i id."
682,"aIš",1728,"sign, mark, target; mark (on sheep's ear)","aIš","    Gen. \IaIš:u-l.\i Cf. Khosr. \IaIš,\i \IaIš:u-l\i id."
683,"k:uṭ",1729,"hole, burrow","k:uṭ","    Cf. Khosr. \Ik:uṭ\i id."
684,"mic̣",512,"tip, point","mic̣","    Cf. Khosr. \Imic̣\i id."
685,"naḳ",1731,"cubit","naḳ",
686,"aInt",232,"span (between the thumb and the small finger)","aInt","    Gen. pl. \IaInt-urdil;\i cf. Khosr. \IaInt,\i \IaInt-urdil\i id. Originally had probably meant ""angle"" (cf. the external evidence)."
687,"maq",1735,"word","maq","    Gen. \Imuq:u-l.\i Cf. Khosr. \Imaq,\i \Imuq:u-l\i id."
688,"č̣u",1737,"voice, sound","č̣u","    There also exists a synonymous \Ič̣uḳa\i (Khosr. \Ič̣uḳa\i) id. - historically a diminutive."
689,"čak",1738,"prayer","čak","    G. pl. \Ičak-urdil.\i Cf. Khosr. \Ičak\i id."
690,"maha",1740,"tale","maha","    Cf. Khosr. \Imaha\i id."
691,"qʷa",1741,"oath","qa","    Cf. Khosr. \Iqʷa\i id. The Lak. name for 'wedding' is probably derived from the same root (as 'oath-taking'): cf. Lak. \Iqaṭi,\i Khosr. \Iqʷaṭi\i 'wedding' (for the dental suffix cf. perhaps forms like Av. \Ihé-di-ze,\i \Ihédi,\i Arch. \Iꭓʷe-t:a-s,\i \Iꭓʷet:i\i 'oath' - although the glottalisation of -ṭ- in Lak. is a problem)."
692,"guj",1742,"animation, merriment","guj",
693,"arʁ",1744,"flourishing, prime of life","arʁ","    The Lak. word was borrowed in Darg.: \Iarʁ\i 'age; weather', Ur. \Iarʁ,\i Kub. \I āʁ\i id."
694,"č:ʷa-",1747,"to want, wish, love","č:ʷa-n","    Cf. Khosr. \Ič:ʷa-n\i id. Cf. also the nominal derivate: Lak. \Ič:a-wu\i 'love'."
695,"sus:",1748,"bride","sus: (Arak.)","    Cited from Khaidakov 1966."
696,"mač:a",1750,"relative, kinsman","mač:a","    Lak. > Arch. \Imač:a-t:u\i id."
697,"maIꭓ:i",1064,"mould","maIꭓ:i","    Cf. Khosr. \Imaꭓ:Iʷi\i id."
698,"t:at:a",1756,"grandfather","t:at:a","    Cf. also Balkh. (cited from Khaidakov 1966) \It:at:a\i 'father'. A nursery word; cf. also Lak. \Idada\i 'mummy' (an etymological doublet, with an expressive preservatyion of voice)."
699,"baba",114,"mummy","baba (Khosr.)",
700,"us:u, s:u",1760,"1 brother 2 sister","us:u 1, s:u 2","    Cf. Khosr. \Ius:ʷu\i 'brother', \Is:u\i 'sister'."
701,"s:u-ra-qu",1761,"(first) cousin","s:uraqu","    Cf. Khosr. \Is:uraqu\i / \Is:araqu\i id. The form is a compound with the old obl. base of \Ius:u\i (see \I*=ɨ̆ć̲ĭ\i) 'brother'."
702,"q̇uli",1762,"puppy","q̇uli",
703,"l-aI=qa-",1764,"to be born, arise","laI=qa-n","    G. pr. \IlaI=qunu.\i Cf. perhaps also \Iqana-n\i (the durative stem of \Ixu-n\i 'to be, become')."
704,"las",1767,"husband","las","    Cf. Khosr. \Ilas\i id. Tenseness of -s is unclear (within the paradigm it is always in a syllable-final position, where -s and -s: are neutralized)."
705,"aħal-ču",1771,"bridegroom's kinsman","aħal-ču","    Cf. also \Iaħal-š:ar\i ""bride's kinsman""."
706,"burxni-",1772,"male","burxni-s:a","    Cf. Khosr. \Iburxni-čū\i id. ( = Av. \Ibixín-či\i). The syllable-final position of -x- allows for both *-x- and *-x:- in Proto-Laki."
707,"q̇urč̣i-",1778,"sour, bitter","q̇urč̣i-s:a","    Cf. Khosr. \Iq̇urč̣i-s:a\i id. Lak. > Arch. \Iq̇ič̣i-\i 'sour' (used only with \InaIƛ̣\i 'milk')."
708,"c:iꭓku-",1779,"sour","c:iꭓku- (Khosr.)","    Attested only in Khosrekh. The normal Laki reflex of PEC \I*c̣ǟḳ̲wV-\i would be \I*c:iḳu-.\i -ꭓk- is not clear (perhaps under influence of \Ic:iꭓ\i 'manure, dung'?)."
709,"muIrš-, muIrš:i-",646,"small","muIrš-,muIrš:i-","    Khosr. \ImuIrš-s:a\i id."
710,"q:uma-",1782,"narrow, cramped","q:uma-s:a",
711,"c:un-",1784,"dense","c:un-s:a",
712,"=u=ṭi-",1790,"to pour","=u=ṭi-n","    G. pr. \I=u=ṭu-nu.\i Cf. Khosr. \I=u=ṭi-n\i id."
713,"lis:u-",1791,"narrow","lis:u-s:a",
714,"xuImu-",1792,"liquid","xuImu-s:a","    Cf. Khosr. \Ix:uImu-s:a\i (a misspelling instead of \IxuImu-s:a\i ?)."
715,"maIq̇",1795,"thirst","maIq̇",
716,"k:aši",1796,"hunger","k:aši",
717,"la=š:a-",1797,"to be similar, look alike","la=š:a-n","    G. pr. \Ila=x:u-nu.\i Cf. also Khosr. \Ila=x:u-s:a\i 'similar'."
718,"=uq̇-a-",1800,"thick (of liquids)","=uq̇-a-A:S","    Cf. Khosr. \I=uq̇-a-s:a\i id."
719,"=uč-",1801,"fat, thick","=uč-A:S","    Cf. Khosr. \I=uč-s:a\i id."
720,"=a=č:a- / =a=č:i-",224,"to bend, become curved","=a=č:a-n / -i-n","    G. pr. \I=a=k:u-nu;\i Khosr. \I=a=č:a-n,\i aor. \I=a=k:un-di.\i Cf. also \I=a=k:u-s:a,\i Khosr. \I=a=k:u-s:a\i 'curved, hooked'."
721,"ṭaj-la-",796,"straight","ṭajla-s:a","    Khosr. \Iṭajla-s:a\i id."
722,"=ax=a-",1803,"suitable, fit (for a size, measure)","=ax=a-A:S","    -x- in the Lak. form is always followed by a class marker, so it is impossible to establish whether it is morphonologically tense or lax."
723,"urč̣a",1804,"right","urč̣a","    Cf. also Khosr. \Iurč̣a-ma.\i"
724,"ḳuḳ-lu-",1808,"soft","ḳuḳlu-s:a","    Cf. Khosr. \Iḳuḳlu-s:a\i id."
725,"q̇aInq̇a-",1810,"hard, rigid","q̇aInq̇a-",
726,"quna-",1812,"big, grown up","quna-s:a","    Cf. also \Iqunaw xun\i 'to get old', Khosr. \Iqun-a-xu-s:a\i 'old'."
727,"aIrč:a-",1813,"lame","aIrč:a-s:a","    Cf. Khosr. \IaIrč:a-s:a.\i"
728,"w-alḳa",1814,"to reel, stagger","w-alḳa ṭun",
729,"šam-a",2318,"three","šam=a","    Cf. Khosr. \Išam=a\i id."
730,"muq̇",2319,"four","muq̇","    Cf. Khosr. \Imuq̇=a.\i"
731,"ꭓ:uI-",2320,"five","ꭓ:uI=a","    Cf. Khosr. \Iꭓ:Iu=a.\i"
732,"raIꭓ-",2321,"six","raIꭓ=a","    Cf. Khosr. \Iraꭓ:I-a.\i The numeral has been certainly modified under the influence of \Iꭓ:uI-\i 'five' (regularly a form like \Irik:-\i or \Irak:-\i would be expected)."
733,"arul",2322,"seven","arul","    Khosr. \Iarul=a.\i"
734,"urč̣",2324,"nine","urč̣","    Cf. Khosr. \Iurč̣=a.\i"
735,"ac̣",2325,"ten","ac̣","Cf. Khosr. \Iac̣=a.\i"
736,"q̇u",2326,"twenty","q̇u","    Cf. Khosr. \Iq̇u=a.\i"
737,"t:urš",2327,"hundred","t:urš","    With lax -š, cf. \It:uršul-činmur\i 'hundredth'."
738,"zu",2289,"you (2d p. plur.)","zu","    Cf. Khosr. \Izʷi\i (gen. \Izu-l\i) id."
739,"cu",2291,"self, oneself","cu","    Cf. Khosr. \Icu\i id. Lak. has stems \Icu\i (pl. \Ici-w\i) and \Ica-\i (gen./erg. \Ica-l\i)."
740,"c̣aq̇",1820,"strength, power","c̣aq̇",
741,"ħurħa-",1822,"slow","ħurħa-s:a","    Cf. Khosr. \IhuIrhaI\i 'slowly'."
742,"luw",2242,"down, below","luw","    Khosr. \Ilū\i id. Cf. also Lak. \I-l-\i - locative suffix of the series Sub; \Ila-\i in \Ila=iḳʷa-\i 'to hide' (lit. 'to be below')."
743,"-ꭓ (-ꭓ:-)",2237,"suffix of the locative case (series Post)","-ꭓ (-ꭓ:-)",
744,"=u- / =i-",1824,"to be (auxiliary verb)","=u-r, =i-ja","    The form \I=u-\i is used in present tense (\I*u̲=i-r\i > \Iur,\i with a further transfer of the -u-vocalism to other forms); \I=i-\i (\I=ĳa\i) is used in the past tense."
745,"=a-",1826,"to do, to make","=a-n","    G. pr. \I=u=nu.\i In Khosr., besides \I=a-n,\i a variant \I=uwa-n\i is also attested."
746,"xu-",1827,"to become, to happen; to be able, can","xu-n","    G. pr. \Ixu-nu.\i Cf. Khosr. \Ixu-n\i id."
747,"aIrki-n-",1829,"to be necessary, require, must","aIrkin-s:a","    Cf. Khosr. \IaIrkʷi-n-\i id. A deverbative with the original verbal paradigm already lost."
748,"t:iri=x:i-",64,"to fall, scatter","t:iri=x:i-n","    G. pr. \It:iri=x:unu.\i"
749,"li=k:a-",1832,"to stop, stand still","li=k:a-n","    G. pr. \Ili=k:un.\i"
750,"=aijq̇i-",1836,"to be lost, mistaken, go astray","=aijq̇i-n","    G. pr. \I=aIjq̇unu.\i"
751,"l-i=č̣i-",570,"to put in; establish","l-i=č̣i-n","    G. pr. \Il-i=ḳu-nu.\i"
752,"c:aꭓ",1839,"fear, alarm, fright","c:aꭓ","    Cf. also \Ic:aꭓ:annu\i id. (pointing to -ꭓ:-), Khosr. \Ic:ʷaꭓ ṭun\i 'to be afraid'."
753,"=aci-",1840,"to steal","=aci-n","    G. pr. \I=a=cu-nu.\i Cf. Khosr. \I=aci-n\i id. With old Ablaut cf. also \I=uci-n\i (\I=u=cu-nu\i) 'to lead, deliver', Khosr. \I=uci-n\i 'to bring'."
754,"c̣u=ꭓ:i-",1843,"to ask","c̣u=ꭓ:i-n","    G. pr. \Ic̣u=ꭓ:unu.\i From Old Lak. the form was borrowed into Archi: Arch. \Ic̣iꭓ:ə-kes\i 'to ask' - which shows that the original vowel in Lak. was -i-, and -u- appeared probably because of interaction with class infixes."
755,"uI=či-",1844,"to invite","uI=či-n","    G. pr. \IuI=ku-nu.\i"
756,"=uq̇a-",1846,"to go, walk away; take away","=uq̇a-n","    G. pr. \I=u=q̇u-n.\i Cf. Khosr. \I=uq̇a-n\i id."
757,"maša",1848,"trade","maša",
758,"la=su-",1849,"to take","la=su-n","    G. pr. \Ila=sun.\i Cf. Khosr. \Ila=su-n\i id."
759,"z-iI=ꭓ:i-",1853,"to take away, take apart","z-iI=ꭓ:i-n","    G. pr. \Iz-iI=ꭓ:u-nu.\i Cf. Khosr. \Iz-i=ꭓ:Ii-n\i id. z- is an expressive preverb. Cf. also an expressive reduplication \Iꭓ:uIrꭓ:u =an\i 'to pull, drag' (Khosr. \Iꭓ:Iurꭓ:Iu =an\i id.) (an exact match for Av. \I=aq:arq:-\i etc.)."
760,"=U:IT-",1854,"to pluck, pick","=U:IT-n","    G. pr. \I=i=t:u-n(u\i)."
761,"=u=č̣i-",1856,"to choose","=u=č̣i-n","    G. pr. \I=u=č̣u-nu.\i Cf. Khosr. \I=u=č̣i-n\i id. In Lak. the verb is homonymous with \I=u=č̣i-n\i 'to understand', which must be a secondary merger (see PNC \I*=īč̣̲wĒl-\i)."
762,"=aꭓ:a-na =an",1858,"to change","=aꭓ:a-na =an","    A compound verb with =aꭓ:ana-(s:a), Khosr. =aꭓ:ʷa-na-s:a 'special, different'. The adjective itself is in fact a participle: the original verb is preserved in Lak. with the meaning 'to sell' (*'to change'): =aꭓ:a-n (p. pr. =a=ꭓ:u-nu)."
763,"=aiꭓ:i-",1859,"to rake up, shovel up","=aiꭓ:i-n","    G. pr. =aI=ꭓ:u-nu. Cf. Khosr. (with reduplication) ꭓ:Ii=ꭓ:Ii-n 'to scratch, scrape'."
764,"q̇uI=q̇i-",1860,"to become cheaper; be humiliated","q̇uI=q̇i-n","    Cf. also the derived adjective q̇uI=q̇u-s:a 'cheap'."
765,"=uṭi-",1862,"to insult, offend","=uṭi-n","    G. pr. =u=ṭu-nu."
766,"=uꭓ:i-",1864,"to win","=uꭓ:i-n","    G. pr. \I=u=ꭓ:u-n.\i Cf. also the adjective \Iꭓ:uw-s:a\i 'superior (in force)', \Iꭓ:uw xun\i 'to win'."
767,"l-ag-ma",396,"around, in the vicinity","lag-ma","    In Lak., l- is a common verbal prefix, and the same root should be probably found in \Ilaga-n\i (p. pr. \Ila=gu-n\i) 'to go, walk' (used usually as the preterite stem for ha-n) < *'to go around'."
768,"=aṭi-",1619,"to gather","=aṭi-n","    G. pr. \I=a=ṭu-n.\i Cf. Khosr. \I=aṭi-n\i id. An old derivate (reflecting the  archaic meaning 'to bind') is probably Lak. \Ibuṭa\i 'rope'."
769,"li=qa-",1869,"to run away","li=qa-","    G. pr. \Ili=qu-n.\i Cf. Khosr. \Ili=qa-n\i id."
770,"liI=ča-",1871,"to run","liI=ča-n","    G. pr. \IliI=ču-nu.\i Cf. Khosr. \IliI=ča-n\i id."
771,"ṭanḳ",1875,"jump, leap","ṭanḳ","    Cf. also \Iṭanḳa ṭun\i 'to jump'. Lak. > Arch. \Iṭanḳ\i in \Iṭanḳ-bos\i 'to jump'."
772,"š:uru-",1876,"to turn round, to fidget","š:uru-n",
773,"zi=zi-",1877,"to crumble, fall apart","zi=zi-n","    G. pr. \Izi=zu-nu.\i Cf. Khosr. \Izʷi=zʷi-n\i 'to be scattered'."
774,"č:iIꭓ",1878,"to slide, slip","č:iIꭓ iḳa-n","    A compound verb ( = Khosr. \Ič:iꭓI iḳʷa-n\i). The first part is also used as a noun: \Ič:iIꭓ\i (gen. \Ič:iIꭓ:u-l\i) 'skating-rink'."
775,"buIꭓ-t:ul-",1879,"high, tall","buIꭓ-t:ul-s:a","    Cf. Khosr. \IbuꭓIt:ul-s:a\i id. (b- is a historical prefix). Perhaps an etymological doublet of this root (reflecting old interdialectal influence) is the verb \I=uIqa-n\i 'to be high, good (of crops)' (cf. the meanings in Darg. dialects)."
776,"la=ꭓ:a-",221,"to hang; to put on","la=ꭓ:a-n","    G. pr. \Ila=ꭓ:u-nu.\i Cf. Khosr. \Ila=ꭓ:a-n\i id."
777,"aI=ja-",568,"to rot","aI=ja-n","    G. pr. \IaI=nu.\i Cf. Khosr. \IaI=ja-n\i id. The same root (with a preverb l-) is reflected in \Il-i=ja-n\i 'to become spoiled' (whence Arch. \Ili-kes\i id., and possibly also - with a reflex of old pharyngealization and reduplication - Darg. Chir. \IlaIw-laIw =uꭓ-\i id.)."
778,"=a=c̣a- / =a=c̣i-",1882,"to melt, thaw","=a=c̣a-n/=a=c̣i-n","    Cf. Khosr. \I=a=c̣a-n\i id."
779,"=a=A:S-",1884,"to thaw, melt","=a=A:S-n","    G. pr. =a=s:u-nu. Cf. Khosr. =a=s:a-n id."
780,"l-iIš:a-",1885,"to extinguish, go out (of light)","l-iIš:a-n","    G. pr. \IliIš:un.\i Cf. Khosr. \IliIš:ʷa-n\i id."
781,"č:u-",1886,"to itch","č:u-n","    Cf. also \Ič:uč:i\i 'itch, rash'; Khosr. \Ič:ʷu-n,\i imper. \Ič:ʷuč:ʷu\i 'to itch'."
782,"c̣u-",1888,"to hurt, ache","c̣u-n","    Cf. Khosr. \Ic̣u-n\i (imper. \Ic̣uc̣u\i)."
783,"=uru=ꭓ:a-",1889,"to swell","=uru=ꭓ:a-n","    G. pr. \I=uru=ꭓ:u-nu.\i Cf. also Khosr. \I=uru=ꭓ:a-n\i id."
784,"=a=A:T-",1899,"to beat","=a=A:T-n","    G. pr. \I=a=t:u-nu.\i Cf. Khosr. \I=a=t:a-n\i id."
785,"hu=iI-",1895,"to winnow","hu=iI-n","    G. pr. \Ihu=u-nu.\i Cf. Khosr. \Ihuji-n\i id."
786,"iIq̇-",159,"to pour, flow","iIq̇i han","    The root is used only in compound verbs: \IiIq̇i han\i (intr.), \IiIq̇i buṭin\i (trans.) etc. Cf. Khosr. \Iiq̇Ii han\i id."
787,"t:iri=ꭓ:iI-",1896,"to untangle, disentangle; be untangled","t:iri=ꭓ:iI-n","    G. pr. \It:iri=ꭓ:uI-nu.\i"
788,"b-aṭul-",1902,"separate","baṭul-s:a",
789,"ʁa=ʁa-",1903,"to break","ʁa=ʁa-n","    G. pr. \Iʁa=ʁu-n.\i Cf. Khosr. \Iʁa=ʁa-n\i id."
790,"q̇u=q̇i-",1905,"to cut, chop; to end","q̇u=q̇i-n","    G. pr. \Iq̇u=q̇u-nu.\i Cf. Khosr. \Iq̇u=q̇i-n\i id. Without reduplication the root is attested in the Khosr. dialect: \I=u=q̇a-n\i 'to cut, clip, shear'."
791,"š:ina",1645,"hatchet, chisel","š:ina",
792,"č̣u=ja-",1909,"to squeeze, contract","č̣u=ja-n","    G. pr. \Ič̣u=(u)-nu\i. Cf. Khosr. \Ič̣uja-n\i id., as well as the metathesized variant: \Iq̇uI=či-n\i (\Iq̇uI=ču-nu\i), Khosr. \Iq̇Iu=či-n\i 'to press, squeeze'."
793,"=u=ʁa-",1912,"to smear","=u=ʁa-n","    G. pr. \I=u=ʁu-n.\i Cf. Khosr. \I=u=ʁa-n\i id."
794,"=a=q̇i-",1913,"to close in, place in; be covered","=a=q̇i-n","    G. pr. \I=a=q̇u-nu.\i With a preverb l- cf. also \Ila=q̇i-n\i (\Ila=q̇u-nu\i), Khosr. \Ilaq̇ʷi-n\i 'to close, be closed'."
795,"ja=iši-",1920,"to open wide","ja=iši-","    G. pr. \Ija=i=xu-nu.\i"
796,"a=aqa-",1921,"to open wide, to gape","a=aqa-n","    G. pr. \Ia=a=qu-n.\i"
797,"*=aš:a- / =aš:i-",1922,"to close tightly, stop up","=aš:a-n/=aš:i-n","    G. pr. \I=a=š:u-nu.\i"
798,"sina",1924,"glue","sina",
799,"laIḳi-",1929,"to press oneself to","laIḳi-n","    G. pr. \IlaI=ḳu-nu.\i"
800,"lač̣u-",1915,"to seize, clutch, cling","lač̣u-","    G. pr. \I\Ila=č̣u-n.\i\i Cf. also Khosr. \Ilač̣u-n\i 'to cling, stick to'."
801,"=uqa-n",1930,"to plough","=uqa-n","    G. pr. \I=u=qu-n.\i"
802,"=iꭓ:a-",1931,"to dig","=iꭓ:a-n","    G. pr. \I=i=ꭓ:u-n;\i cf. Khosr. \I=iꭓ:ʷa-n\i id."
803,"t:iriḳi-",1932,"to bore","t:iriḳi-n","    G. pr. \It:iri=ḳu-nu.\i"
804,"ḳuč̣i-",1933,"to sift, screen","ḳuč̣i-n","    G. pr. \Iḳu=ḳu-nu.\i Cf. Khosr. \Iḳuč̣i-n\i id. (with innovative -č̣- throughout the paradigm: aor. \Iḳūč̣un-di\i etc.)."
805,"t:-iħi-",1934,"to reap","t:-iħi-n","    G. pr. \It:i=ħu-nu.\i Cf. Khosr. \It:iIhi-n\i id."
806,"š:aš:a-",1937,"to weave","š:aš:a-n","    G. pr. \Iš:a=š:u-n.\i Cf. Khosr. \Iš:aš:a-n\i id."
807,"š:a-ra-",168,"to boil, seethe","š:a-ra-n","    A durative stem (cf. Khosr. \Iš:ara-n\i id.). Several forms are reduplicated: cf. imper. \Iš:araš:u,\i as well as the noun \Iš:araš:i\i 'spring, source', \Iš:araš:i dan \i'to boil (trans.)'. The latter form was probably borrowed (with some distortions) into Archi: \IhaIrš-bos\i (dur. \IhaIrš:ar\i) 'to boil'."
808,"=uci-",1939,"to measure, weigh","=uci-n","    G. pr. \I=u=cu-nu.\i Cf. also Khosr. \I=uci-n\i id."
809,"=aši-",1942,"to sweep","=aši-n","    G. pr. \I=a=xu-nu.\i Cf. Khosr. \I=aši-n\i / \I=axi-n\i id."
810,"šuIši-",1944,"to wash","šuIši-n","    G. pr. \IšuI=šu-nu.\i Cf. Khosr. \IšuIši-n\i id. An old loanword from Lak. is Arch. \Ičučə-bos\i 'to wash': it is particularly interesting, because it preserves an affricate (from PEC *ćw), which has been by now fricativized in all Laki dialects."
811,"=U:IS-",1945,"to wash","=U:IS-n","    G. pr. \I=i=s:u-nu.\i Cf. Khosr. \I=is:u-n\i id."
812,"=uiꭓ:a-",1949,"to comb","=uiꭓ:a-n","    G. pr. \I=uI=ꭓ:u-n.\i In Khosr. the root (\I=uIꭓ:i-n\i) is used only to denote ""to comb (wool)""; for hair-combing a derivate \Iz-iꭓ:Ii-n\i is used."
813,"ṭu-",85,"to say","ṭu-n","    Lak. \Iṭu-n\i possibly goes back to prefixed *d- + a laryngeal root (cf. analogous forms in Lezgian languages)."
814,"=I:UK-",1954,"to count; to read","=I:UK-n","    G. pr. \I=u=k:u-nu,\i dur. \Ik:a-la-n.\i Cf. Khosr. \I=uk:i-n,\i \Ik:ʷala-n\i id."
815,"ʁurʁu",1957,"grumbling, roaring","ʁurʁu","    Cf. perhaps also (with irregular variation of liquids) \Iʁalʁa\i 'talk, speaking'."
816,"c̣uṗ",660,"to suck","c̣uṗ učin","    Also \Ic̣uṗa ṭun\i (Khosr. \Ic̣uṗa ṭun\i) id. A compound verb with the first component \Ic̣uṗ\i 'sucking'."
817,"=uš:i-",1961,"to lick; to plaster","=uš:i-n","    G. pr. \I=u=š:u-nu.\i Cf. also Khosr. \I=uš:i-n\i 'to lick; to plaster'."
818,"lanc̣a",1962,"to lick","lanc̣a ṭun","    Cf. Khosr. \Ilanc̣a ṭun\i id. (a compound verb with a nominal component \Ilanc̣a\i)."
819,"p:aj",1963,"kiss","p:aj","    Cf. Khosr. \Iup:ā ṭun\i 'to kiss'."
820,"=uiq̇a-",1967,"to sink; to swallow","=uiq̇a-n","    G. pr. \I=uI=q̇u-n.\i Cf. Khosr. \I=uIq̇a-n\i id."
821,"r-ihi-",1968,"to copulate","r-ihi-n (Khosr.)",
822,"zurzu",1971,"tremble, quiver","zurzu","    Cf. Khosr. \Izurzu\i id."
823,"=ailaqa-",1973,"to rejoice, have a good time","=ailaqa-n","    G. pr. \I=aIla=qu-n.\i Cf. also, with Anlaut reduction, dur. \IqIa-n\i 'to laugh' (Khosr. \IqIa-n\i)."
824,"l-iṭu-",217,"to die, to kill (plur.)","l-iṭu-n","    G. pr. \Il-i=ṭu-nu;\i cf. Khosr. \Iliṭu-n\i id."
825,"ħuč̣",1976,"fright","ħuč̣","    Cf. Khosr. \IhuIč̣\i id."
826,"nih",1977,"fright","nih","    Cf. Khosr. \Inih\i id."
827,"ꭓ:ari-",1979,"merry, gay","ꭓ:ari-s:a","    Cf. Khosr. \Iꭓ:ʷari-s:a\i id. Lak. > Arch. \Iꭓ:ʷara-t:u-\i id."
828,"w-iꭓ-",1980,"believing, convinced","wiꭓ-s:a","    Cf. Khosr. \Iwiꭓ xun\i 'to believe'. Initial w- is a former class marker. Although -ꭓ is in the position of neutralisation in all known Lak. forms, the old Archi loanword \Iwiꭓ kes\i 'to believe' (\Iwiꭓ: as\i 'to make believe, convince') shows that PL had *-ꭓ: in this root."
829,"qama",1981,"to forget","qama =ita-n","    A compound with \I=ita-n\i 'to leave'; cf. Khosr. \Iqama =ita-n\i id."
830,"č̣ah",1984,"breeze","č̣ah","    Cf. also \Ič̣aʔiIn\i 'haze' (although -ʔ- is unclear) - perhaps some old dialectal variant with an *-n-suffix."
831,"zini",1985,"brewer's yeast","zini",
832,"č:al",1987,"argument, contest","č:al",
833,"šʷal",1988,"honeycombs","šʷal","    Lak. > Darg. (Ak.) \Išali\i id."
834,"qan",1989,"wax","qan","    Gen. \Iqamu-l.\i"
835,"niIrza",1991,"bees' nectar","niIrza",
836,"č̣un",1992,"time","č̣un","    Gen. \Ič̣uma-l.\i"
837,"ꭓ:uṗ",1994,"gulp, mouthful","ꭓ:uṗ",
838,"dak:awu",1995,"popular assembly","dak:awu",
839,"raħ",1996,"hollow","raħ",
840,"q:unt",1998,"mound, hillock","q:unt","    Gen. pl. \Iq:unti-rdal.\i"
841,"hurt:u-",2000,"common, joint, collective","hurt:u-s:a",
842,"č:iIꭓ",2001,"diarrhea","č:iIꭓ","    Gen. \Ič:iIꭓ:u-n.\i"
843,"ħalu",2004,"grove","ħalu","    Lit. \Iħalu\i < \I*xʷaIlu,\i cf. Arak. (cited from Khaidakov 1966) \IxʷaIlu\i id."
844,"q̇iri",1086,"earth, land","q̇iri",
845,"čiri",2010,"blessing, gratitude, praise","čiri",
846,"zig",2011,"to rain","zig bulun",
847,"quI",2013,"yard","quI","    Gen. \IquIni-l.\i"
848,"aIrč:ap",2015,"food made of barley flour, curds, butter and rice","aIrč:ap","    Gen. plur. \IaIrč:api-rtal.\i"
849,"mač̣",2020,"meadow (on a hill slope)","mač̣",
850,"ꭓ:uIl",2023,"gravel, road metal","ꭓ:uIl",
851,"qah",2024,"dry cough","qah","    Cf. also \Iquhu\i 'cough', Khosr. \Iquhu\i id."
852,"c̣inc̣",2030,"rubbish, litter","c̣inc̣",
853,"ꭓ:aIčara-",2031,"bat","ꭓ:aIčara-č̣iIlmu","    The root \Iꭓ:aIčara\i itself means 'raw hide; membrane' (thus \Iꭓ:aIčara-č̣iIlmu\i is literally 'membrane-bird')."
854,"š:unš:u-",2033,"muzzle","š:unš:u-maṭi","    A compound word (etymology of the second part see under \I*məṭe\i)."
855,"kuc",2034,"form, appearance, trace, measure","kuc","    Gen. \Ikuc:u-l.\i"
856,"mak",2035,"softwood, softwood splinter","mak","    Lak. > Arch. \Imakʷ\i 'splinter' (showing labialisation, not recorded in lit. Lak)."
857,"mas",2037,"boiled fermented milk","mas","    Tenseness of -s is unclear (gen. \Imasli-l\i)."
858,"biši",2039,"muscle","biši",
859,"nisʷarti",2044,"cucumber","nisʷarti",
860,"č:ala",2045,"bayonet","č:ala","    The original meaning was 'long stick', cf. the external evidence."
861,"max",2048,"hem, flap","max","    G. pl. max-urdil."
862,"lan-t:u",2049,"hem of a kerchief (used by women for wrapping)","lant:u",
863,"č̣amu",2051,"shelf","č̣amu",
864,"č:iꭓ:a",2054,"bittern, snipe","č:iꭓ:a",
865,"baṭ",2055,"drake, male duck","duIʔla-baṭ","    The word is from the Bartkh. dialect and cited from Khaidakov 1966; the first component is etymologically not clear (lit. 'clever \Ibaṭ'\i)."
866,"(p:ip:i)-s:alaħ",2057,"ladybird","(p:ip:i)-s:alaħ","    On the component \Ip:ip:i-\i see under \I*bǟmbV.\i"
867,"s:iru",2058,"young pods of peas and black beans","s:iru",
868,"cuIlq:a-",2060,"maimed, immobilised (of a hand)","cuIlq:a-s:a",
869,"c̣iniq̇",2062,"tiger, leopard","c̣iniq̇","    Khaidakov (1966) has recorded also some interesting dialectal forms: Arak. \Ic̣ireʔ,\i Bartkh. \Ič̣naIq̇ʷ\i id."
870,"ḳač̣a-",2064,"naked, bare","ḳač̣a-s:a","    Cf. Khosr. \Iḳač̣a-s:a\i id."
871,"č:irʁiIlu",2066,"tambourine","č:irʁiIlu",
872,"č̣ul",2068,"white clay, kaolin","č̣ul",
