NUMBER|PROTO|PRNUM|MEANING|CHE|ING|BCB|COMMENT
385|*ʕāsse|1113|calf|ēsa|ʕasa|āsĕ|    The Bacb. notation of Kadagidze (\Iāsĕ\i) stands obviously for \Iassĕ\i (Bacb. has lost long vowels); cf. also \Iassĕ\i in Imnaishvili's notation.      Obl. base \I*ʕāssi-\i (cf. Chech. \Iēsa-,\i Ing. \Iʕäso\i); 3d class in Chech., Ing., 5th class in Bacb. Cf. also a derived form: Bacb. \Iasaʔŏ\i (Imnaishvili: \Iassaʔŏ\i) 'heifer'.
386|*c̣in (~ -ī-)|1114|1 sheep (about 1 y. old) 2 ram (about 1 y. old)|c̣in-tō 2|c̣un-to 2|c̣in 1|    In Chech. and Ing. the root is present only in compounds (cf. also Chech. \Ic̣in-žī\i 'sheep about 1 y. old'). Since the root is homonymous with \I*c̣in-\i 'new' (having a quite distinct origin), these compounds may now be reinterpreted as 'new sheep' or 'new ram'; however, a separate usage of the stem \Ic̣in\i in Bacb. shows that this is a secondary situation. Cf. also Osset. \Ic̣ɨnär\i / \Ic̣inär\i 'dry (goat, cow or sheep)', probably borrowed from Nakh.
387|*ʔābst (~ɦ-,-ṭ)|1116|goat (about 1 y. old)|awst|ɔsta||    4th class in both languages.
388|*bader (~ -ā-)|1121|child|ber|ber|bader|    Chech. obl. base \Ibēra-.\i
389|*gile|1125|horse, steed|gila|gila||    6th class in both languages.
390|*bʡar (~ -ā-)|1126|1 look, sight 2 to meet, look, stare|bʕar 1|bʕar ħaža 2|bʕar-daꭓar 2|    The root is very close phonetically to PN \I*bʡa\i 'eye' (q.v.), but external parallels show that it must be kept distinct. For the short vowel in PN cf. Chech. obl. stem \Ibʕära-\i (also used in \Ibʕära ħēža\i 'to stare' = Ing. \Ibʕar-ħaža\i).
391|*ʔāʁo-b|1127|side|āʁō|ɔʁuw||    Cf. also Cheb. \Iāʁaw,\i Lev. \Iāʁwō\i id.
392|*bʡārc̣on|672|mule|bʕarza|bʕarza|bʕarc̣õ|    Cf. also Shar. \Ibʕorʒõ,\i Itumk. \Ibʕārʒã\i (pointing to a long vowel in PN). 4th class in Chech., Ing., 5th class in Bacb. In Ing. we would expect \I*bʕɔrza;\i the form \Ibʕarza\i is probably a result of vowel levelling (on analogy with the obl. base \I*bʡārc̣ana-\i).
393|*ḳōṭi|1137|cat|||ḳujṭĭ|    5th class; pl. \Iḳoṭa-rči.\i
394|*ħā-|2295|who (obl. stem)|ħa (erg.)|ħa (erg.)|ħa (erg.)|    Cf. also Chech. gen. \Iħē-na-\i etc. The stem also serves for building relative and indefinite pronouns (Chech. \Iħē-neꭓ\i 'someone', Bacb. \Iħane\i '...who,...which' etc.).
395|*kōta-m|1141|hen|kōtam|kotam|kotam|    Cf. also Chech. Lev. \Ikwōtam.\i 4th class in Chech., Ing., 5th class in Bacb.
396|*ča|1146|bear|ča|ča|ča|    4th class in all languages. Short vowel is reconstructed on basis of forms like Chech. dat. \Iče-na.\i
397|*bɦorc̣|1147|wolf|borz|borz|bʕorc̣|    Obl. base \I*bɦarc̣i-,\i cf. Chech. \Iberza-,\i Ing. \Iberzo,\i Bacb. plur. \Ibʕarc̣e-lš.\i Cf. also Ing. (Imnaishvili) \Ibworʒ\i / \Ibworc:,\i Chech. Cheb. \Ibworz,\i Khild. \Ibworʒ\i etc. 4th class in Chech., Ing., 6th class in Bacb.
398|*kōri|1148|hawk|kǖra|ker|kujr|    Cf. also Bacb. pl. \Ikore-lč,\i Chech. Cheb. \Ikwōri,\i Shar. \Ikū(ʔ)ri\i, Ved. \Ikwīri\i etc. Since the PN form has very reliable EC parallels, we must assume that Georg. \Ikori\i 'hawk' is an old Nakh loan (preserving the PN phonetic structure).
399|*cɦōḳal|1149|fox|cħōgal|cogal|coḳal|    3d class in all languages.
400|*lar-iḳ|1151|hare||lerg||    The simple stem meaning 'hare' is preserved in Ing. Since the word is homonymous with \Ilerg\i ( < \I*lariḳ\i) 'ear', in Chech. it was reinterpreted and is now only used within a compound \Ilerg-jāꭓar\i 'hare', lit. 'ear'+'long'.
401|*pħā-ḳal|1152|hare|pħāgal|pħagal|pꭓaḳal|    4th class in Chech., Ing., dd in Bacb. Reasons for irregular development in Bacb. (*pħ- > pꭓ-) are unclear.
402|*=ōʁ- / *=ēbʁ-|96|1 to erect, plant 2 to sit|=ōʁ-|=oʁ- 1, =aʁ- 2|=oʁ- 1, =aʁ- 2|    PN \I*=ōʁ-\i is the terminative stem; durative (with infix and Ablaut) \I*=ē-b-ʁ-\i is reflected in Chech. \I=īʁ-\i (with the same meaning).     The intransitive Ablaut correlate with *-ā- is PN \I*=āʁ-\i 'to sit'. Vowel length here can be established by the Ing. pret. \I=äʁaw.\i In Bacb. the root is preserved in the compound \Iʕe=aʁ-\i "to sit". This is one of the relatively rare cases of the *a/*o "intransitive/ transitive" Ablaut in PN.
403|*masor|566|1 mountain goat 2 chamois|masar 1|mosar 2|masor 2|    3d class in Chech., 4th class in Ing., 5th class in Bacb.
404|*ʕāq̇i|98|stone plate, flat stone|ēq̇a|ʕäq̇a|ajq̇ĭ|    4th class in Chech., Ing., 6th class in Bacb. Cf. also Chech. Cheb., Shar. \Iʕāq̇i,\i Lev. \Iʕēq̇i\i id. and a derivate: Chech. \Iōq̇am\i ( < \I*ʕāq̇u-m\i) 'boulder; block of ice'.
405|*lVwV|1156|roe|lū|lĳ-g||    3d class in Chech. and Ing. (the Ing. form is a diminutive < \I*lVw-iḳ\i). Cf. also Chech. Lev. \Ilū\i 'mountain goat'. Since there is no Bacb. form, the Inlaut is not quite clear (theoretically, *-w-, *-b-, *-d- or *-g- may be reconstructed).
406|*bula|1157|aurochs|bula|||    Attested only in Chech., but having probable external parallels.
407|*bur(u)ḳ́ (~ -ū-,-ḳ)|1159|pig, piglet|||buruḳ|    Attested only in Bacb. (thus *-ḳ or *-ḳ́) are equally probable), but having probable external parallels.
408|*ǯarʁa (~ -ā-)|1160|sow, pig|žarʁa|žarʁa||    4th class in both languages. There are not enough data to establish vowel length. Nakh > Osset. \Iʒärɣ\i / \Iʒärɣä\i (see Abayev 1958, 395).
409|*šVrṭq̇V|1162|weasel|šaṭq̇a|šurṭq̇a||    6th class in Chech., 3d class in Ing. Vocalism is irregular.
410|*daꭓḳa|1164|mouse|daꭓka|daꭓka|daꭓḳŏ|    6th class in all languages. Obl. base \I*daꭓḳi-,\i cf. Chech. \Ideꭓka-,\i Ing. \Ideꭓko,\i Bacb. \Idaꭓḳe-.\i
411|*dingV-ṭ (~-ī-,-ḳ-)|1166|weasel|dingad|||    Attested only in Chech., but having probable external parallels.
412|*ꭓešt (~ -ē-,-ṭ)|1168|otter|ꭓešt|ꭓešt||    3d class in Chech. and Ing.
413|*c̣ic|1169|1 weasel 2 rat|c̣eca-joqqurg 1|cic-ꭓolg 2||    On basis of Chech. \Ic̣eca-\i and Ing. \Icic-\i (with assimilation < \Ic̣ic-\i) a PN paradigm \I*c̣ic,\i \I*c̣aci-\i can be reconstructed. The simple root is not attested; it is present only within a compound \I*c̣aci-joqqV-riḳ\i (\I*c̣ic-joqqV-riḳ\i), distorted phonetically in Ing. \Icicꭓolg,\i and meaning literally "a big \I*c̣ic"\i (\I*j-oqqa\i 'big').     The same root with a simple diminutive suffix \I*c̣ic-iḳ\i (and with assimilation > \I*cic-iḳ\i) means "cat" in Chech.-Ing. (Chech. \Icicig,\i Ing. \Icisḳ\i).
414|*č̣ʡorṭ (~ -ʕ-,-ō-)|178|lark||č̣q̇ord||    Attested only in Ing., but having probable external parallels.
415|*kōr|1177|window|kor|kor|kor|    Obl. base \I*kōra-\i (Chech. \Ikōra-,\i Ing. \Ikoro\i). 5th class in Chech. and Bacb.
416|*šun|1181|a round 3-legged table|šun|šu||    Obl. base \I*šune-,\i cf. Chech. \Išüna-,\i Ing. \Išuno.\i 3d class in both languages.
417|*q̇ag-iḳ|118|crow|q̇ig|q̇ajg||    4th class in Chech. and Ing.; cf. also Chech. obl. \Iq̇īga-.\i Note that Bacb. \Iq̇oʔ\i (Desheriyev: \Iq̇waʔ\i) is not related here, but obviously borrowed from Georg. \Iq̇waw-i\i 'crow'.
418|*č̣āʁV|1188|magpie|č̣ēʁag|||    -ag is a common diminutive suffix. Isolated in Chech., but having probable external parallels.
419|*č̣āʁVrṭ-iḳ|1190|swallow|č̣ēʁardig|č̣agarg||    An expressive stem with some irregular changes (notably in Ing.: *-ʁ- > -g- by assimilation to the following g).
420|*mɦāqqVl|1191|kite|maqqal|||    Cf. also Shar. \Imʕaqqil,\i Akk. \Imʕāqqal,\i Cheb., Ved. \Imaqqil.\i The intervocalic geminate -qq- is either expressive or a result of some cluster simplification (unfortunately there is no Bacb. evidence which would clarify the case).     Nakh > Osset. \Imäqqɨl,\i \Imäqäl\i / \Imiḳil\i 'a bird of prey' (see Abayev 1973, 94-95 - also linking Osset. \Imäqqäl\i 'Ingush' as a zoomorphic ethnonym).
421|*guguṭṭ|1193|cuckoo|||guguṭṭ|    Preserved only in Bacb., but having good external parallels.
422|*qaqu|1195|pigeon|qoqa|qoq|qawqŭ|    6th class in all languages. Cf. also Cheb. \Iqaqu,\i Shar., Ved. etc. \Iqoqu\i id.
423|*buho|1198|owl|buha|bow|bujh|    4th class in Chech., Ing., 5th class in Bacb.
424|*huttut|1199|cuckoo|huttut|||    Attested only in Chech., but having good external parallels.
425|*māšu|1201|partridge|mōša|mɔš||    3d class in Chech., 4th class in Ing. Cf. also Cheb. \Imāšu,\i Akk. \Imōša,\i Shar. \Imōšu\i etc.
426|*šaršu-l|1202|thrush, blackbird|šoršal|||    Attested only in Chech., but having possible external parallels.
427|*ʁarVʁurV / *-lV|1203|crane|ʁarʁuli|ʁaraʁura||    4th class in both languages.
428|*pħiṭ|1205|frog|pħid|pħid|pħiṭ|    Obl. stem \I*pħiṭa-\i (cf. Chech. \Ipħida-,\i Ing. \Ipħido\i). 4th class in Chech., Ing., 6th class in Bacb.
429|*šulṭq̇V|1208|1 lizard 2 a k. of lizard ("медяница")|šaṭq̇am 2|šulq̇a 1||    The PN form is probably a reduction < \I*šulṭ-iḳV\i (with a common diminutive suffix). The Chech. form has a secondary suffixed -m, joined to the original oblique base \I*šalṭq̇V-\i (with Ablaut). 6th class in Chech., 4th class in Ing.
430|*ʁōn-|624|louse|ʁēn-ig|ʁon-g||    The Chech. and Ing. forms both contain a diminutive suffix -g ( < *-Vḳ), but the Ing. form is derived from the old direct stem \I*ʁōn(V\i), while the Chech. form - from the old oblique stem \I*ʁān(V\i)-. 3d class in both languages.
431|*šāri (~ -e)|1209|earwig|šēra, šār-olg|||    Attested only in Chech., but having probable external parallels.
432|*naci|1216|moth|neca|neca||    Cf. also Cheb. \Inace,\i Shar. \Inaca,\i Khild. \Inecĭ\i etc. 6th class in Chech., Ing.
433|*l-ēbč- / *l-ōbč-|128|1 to bathe 2 to be scattered about|līča 1|luwč- 1|lepč- 2|    PN Ablaut -ē- / -ō-. The medial -b- is usually a  "plural aspect" infix, but here it is probably an original part of the root.
434|*ṭoṭ|1218|1 gadfly 2 fly|ṭod 1||ṭuṭ 2|    6th class in both languages. Reason for narrowing *-o- > -u- in Bacb. is not quite clear. Obl. base \I*ṭoṭa-,\i cf. Chech. \Iṭoda-.\i
435|*maʒu|1219|fly|moza|moza||    6th class in both languages. Cf. also Chech. (in Uslar's notation) \Imɔzu,\i Ing. (Imnaishvili) \Imwoz.\i
436|*garu|1220|gadfly|gora|gor||    6th class in both languages.
437|*bʡēč̣V (~-ā-,-ǯ-)|1223|a k. of steppe spider|bʕēžū|||    Attested only in Chech., but with possible external parallels.
438|*ꭓinč̣a|1225|1 nit 2 a k. of worm ('червь-нитчатка')|ꭓinža 1,2|ꭓenža 1|ꭓinč̣ 1|    Cf. also Shar. \Iꭓinč̣,\i Itumk., Khild. \Iꭓinǯ\i 'nit'. 6th class in Chech., Ing., 5th class in Bacb. The old oblique base \I*ꭓanč̣V-\i can be observed in Ing. plur. \Iꭓanžī.\i
439|*cāpcV-|1226|cricket|cäpcalg|||    Attested only in Chech. (-al-g is a common expressive suffix), but having probable external parallels.
440|*sāsi|1227|1 tadpole 2 water flea|sēsa 1|säsa 2||    6th class in both languages. Cf. also Cheb. \Isāse,\i Lev. \Isēsi,\i Khild. \Isēsĕ\i etc.
441|*niq|1229|bee-hive|niq|niq||    6th class in both languages. Obl. base \I*năqi-\i / \I*năqar-\i (cf. Ing. \Ineqi,\i Chech. \Inaqara-\i).
442|*sarsV-l|1231|embryo (of an egg)|sarsal|||    Attested only in Chech., but having probable Andian parallels.
443|*c̣oc̣ ( ~ -ʒ)|1234|locust|c̣oz|c̣oz||    3d class in both languages. Oblique base \I*c̣ac̣i-\i (\I*c̣aʒi-\i), cf. Chech. \Ic̣eza-,\i Ing. \Ic̣ezo.\i
444|*gec̣-iḳ ( ~ -ʒ-)|1235|spider|gezg|gizg||    4th class in both languages. Cf. also Chech. (in Uslar's notation) \Igezig,\i pointing to a short vowel.
445|*qēc̣- (~ -ʒ-)|1236|bug, bed-bug|qīzig|||    Attested only in Chech., but having probable external parallels.
446|*ʁarʁa (~ -ā-)|347|a k. of poplar|ʁarʁa|||    Attested only in Chech., but having probable external parallels.
447|*jic̣ ( ~ -ʒ)|1237|pestle, stamper|jiz|||    Obl. base \Ijiza-.\i Attested only in Chech., but having probable external parallels.
448|*c̣ārc̣|1239|a tree species|c̣arz|||    Vowel length established because of -ä- in plural (pl. \Ic̣ärz-naš\i). The root is attested only in Chech., but has probable external parallels.
449|*laq-en|142|high, tall|leqa|laqa|laqẽ|    Cf. also the root \I*laq-\i in Chech. \Ilaqa\i 'upwards', Bacb. \Ilaq-na\i 'high up'.
450|*bac̣a ( ~ -ʒ-)|1241|fir-tree|baza|baza||    3d class in Chech., 4th class in Ing.
451|*dak|1242|1 willow 2 a species of willow ("козья верба")|dak 1|dak 1|dakŏ 2|    Obl. stem \I*daku-\i (cf. Chech. \Idoka-;\i Ing. obl. \Idako\i is a result of vowel levelling; the Bacb. form possibly reflects the old obl. stem). 4th class in Ing., 3d class in Chech., Bacb.
452|*ħabꭓV|1243|shady slope of a mountain|ħäwꭓē|ħowꭓe||    The Chech.-Ing. form contains a locative suffix -ē.
453|*ʒēʒ|1244|larch|zez|||    Obl. base \I*ʒēʒu-\i (Chech. \Izȫza-\i). Attested only in Chech., but having reliable external parallels.
454|*c̣on-|1246|a k. of bush|c̣una dečig|c̣on||    It is not quite clear, what kind of bush is meant. In the Ing.-Chech.-Russ. dictionary both words are glossed as 'a k. of bush'; in the Chech.-Russ. dictionary (where the form is \Ic̣ulla dečig\i, probably < \I*c̣un-la;\i \Idečig\i = 'wood, tree') the gloss is 'a k. of bush with hard wood'.
455|*t(ɦ)ātV|1248|1 a k. of weed 2 weed|tāti 1|tatam 2||    4th class in Chech., 5th class in Ing. Both forms have suffixes (-i < *-Vj in Chech., -am in Ing.).
456|*maʔ|1256|alder-tree|maʔ|miʔing||    3d class in Chech., 4th class in Ing. Obl. base \I*maʔu-\i (cf. Chech. \Imoʔa-\i). The Ing. form contains a diminutive suffix (*-Vḳ); the vocalism is irregular (probably a late assimilation \I*maʔinḳ\i > \I*meʔinḳ\i > \Imiʔing\i).
457|*ṭq̇aw|167|rain mixed with snow|ṭq̇ow|ṭq̇ow||    4th class in both languages. Obl. base \I*ṭq̇awni-\i (cf. Chech. \Iṭq̇ewna-\i).
458|*murq̇a|1259|alder-tree|||murq̇a|    Attested only in Bacb., but having probable external parallels.
459|*daq|1260|1 asp 2 birch|daq 1|daq 2||    3d class in Chech., 4th class in Ing. Obl. base \I*daqo-\i (Chech. \Idoqa-,\i Ing. \Idaqo\i).
460|*pꭓā|1261|hornbeam|pꭓa|pꭓän||    3d class in Chech., 4th class in Ing. Obl. base \I*pꭓā-nu-\i (Chech. \Ipꭓōna-\i) / \I*pꭓā-ni-\i (Ing. \Ipꭓäno,\i Chech. plur. \Ipꭓēna-š\i). The Ing. direct base \Ipꭓän\i is a back-building from the oblique base. In Chech. the word is glossed as "hornbeam; plane-tree".
461|*datta ( ~ -ā-)|1262|rowan tree|datta||tatt|    The Chech. word is quoted from the Russ.-Chech. dictionary, thus class, obl. stem and vowel length are unknown. Bacb. \Itatt\i is probably a result of assimilation ( < \I*datt\i).
462|*bʡār(λ)a|169|nut|bʕāra|bʕar||    3d class in both languages. Cf. also Chech. \Ibʕällang,\i Ing. \Ibʕäring\i ( \I*bʡār(λ)-li-nVḳ\i) 'nut-tree'.
463|*ḳāḳi ( ~ *ḳēḳa)|1264|coals, live coals|ḳēga|||    Attested only in Chech., but having probable external parallels.
464|*ḳaw|1266|wheat, wheat grain|ḳa|ḳa|ḳaw|    Obl. base \I*ḳewi-\i (Chech. \Iḳe-,\i Ing. \Iḳiwo\i); 3d class in all languages.
465|*ħamc ( ~ -ā-)|1267|medlar|ħamc|ħamisk||    Ing. \Iħamisk\i < \I*ħamc-Vḳ\i (with a diminutive suffix). 6th class in Chech., 4th class in Ing. PN > Av. \Iħanc\i "medlar".
466|*ꭓa|191|guard, protection|ꭓa|ꭓa||    For the short vowel cf. Chech. dat. \Iꭓa-na\i etc. 3d class in both languages.
467|*qōr|1269|1 pear 2 apple|qor 1|qor 1|qor 2|    6th class in Chech. and Bacb., 5th class in Ing. Obl. stem \I*qōru-\i (cf. Chech. \Iqūra-,\i Ing. \Iqoro\i).
468|*ʡāǯ|1270|apple|ʕaž|ʕaž||    Obl. base \I*ʡāǯe-\i 'apple' (Chech. \Iʕēža-\i), \I*ʡāǯu-\i 'apple-tree' (Chech. \Iʕōža-\i). 6th class in Chech., 5th class in Ing. Cf. also Akk. \Iʡāž,\i Ing. (in Imnaishvili's notation) \Iʡāž.\i
469|*ḳatV-r (~-o-,-ō-)|1275|bush, shrub||ḳotar||    Attested only in Ing., but having probable external parallels. Nakh > Osset. \Iḳūtär\i / \Iḳotar\i 'bush', see Abayev 1958, 643.
470|*ṭum|1276|marrow; kernel (of a fruit, nut)|ṭum|ṭum|ṭum|    4th class in all languages. Obl. base \I*ṭam-or-,\i cf. Chech. \Iṭamar-,\i Ing. \Iṭomar-.\i
471|*kamiʒ/*kamis(/-mus)|1277|grape|kems|koms|kaniz|    4th class in all languages. Variation *ʒ/*s reflects two old PEC variants (present also in other languages). The Chech. and Bacb. forms reflect a vocalic variant \I*kamis\i (\I*kamiʒ\i), but Ing. \Ikoms\i presupposes a form \I*kamus.\i
472|*stōm|1280|fruit|stom|som|som|    Obl. base \I*stōme-\i (cf. Chech. \Istȫma-\i). 5th class in all languages.
473|*ǯʡŏlVm ( ~ -ă-)|1281|small bushes, shrubs|žʕolam|||    Attested only in Chech., but having probable external parallels.
474|*mor- ( ~ -u-, -V̄-)|1283|guelder rose, snowball-tree|mürg|||    The Chech. form goes back to a suffixed form with diminutive *-iḳ.
475|*ʒaʒV / *ʒēʒV|1284|1 blossom 2 flower|zaza 1, zēzig 2|ziza 2||    An expressive root; the variants \Izaza\i and \Izēzi-g\i in Chech. hardly should be kept separate.
476|*(ʔă)stVw|1285|cornel|stow|esti||    Chech. has reduced the first weak syllable, preserved in Ing. (\Iesti\i < \I*ʔăstVw\i).
477|*ħarVmV-|1279|sweetbrier|ħarmik|ħandar||    The forms are quoted from the Ing.-Chech.-Russ. dictionary. The Russ-Chech-Ing. and the Russ.-Chech. dictionaries list Chech. \Iħärmak\i 'sweetbrier', and the Chech-Russ. dictionary - Chech. \Iħärmak\i 'root-crop'. These all are obviously dialectal variants.
478|*ħanḳ́-al ( ~ -ḳ-)|1286|sweetbrier|||ħanḳal|    It is possible that Chech. \Iel-ħamč\i 'hawthorn' goes back to the same root (with irregular deglottalisation: we would expect \I*ħanč̣-\i).
479|*nēlꭓ-in|212|thin, sparse|nilꭓa|nīlꭓa|netꭓĩ|    Cf. also Chech. Lev. \Injelꭓĩ,\i Khild. \Inīꭓĭ,\i Akk. \Injerꭓa.\i The pure root may be observed in Chech. \Inilꭓ-dan\i 'make thin, sparse', Bacb. \Inetꭓ-dar\i id.
480|*boṭ|1291|dough|bod|bod|boṭ|    Obl. base \I*baṭi-,\i cf. Chech. \Ibeda-,\i Ing. \Ibedo,\i Bacb. pl. \Ibaṭa-š.\i 5th class in Chech., 6th class in Ing. and Bacb. A derivate in Ing. is \Ibod-ig\i 'grass' (cf. the variation "cereal / flour" in other EC languages).
481|*ʔarV ( ~ -ē-)|1293|wild hemp||eri||    Attested only in Ing., but having possible external parallels.
482|*ꭓ-āṭ- / *ꭓ-ēṭ-|217|to be torn, break|ꭓād- / ꭓēd-|ꭓad-|ꭓeṭ-|    PN Ablaut *ā / *ē (but cf. also Bacb. term. \Iꭓiṭ-\i). Cf. also Chech. \Iꭓād-ō,\i \Iꭓēd-ō\i 'to cut'. Historically *ꭓ- is a preverb.
483|*ʡa(gV)b ( ~ -ā-)|1294|1 millet 2 groats|ʕow|ʕow||    4th class in both languages. Since there is no Bacb. parallel, the reconstruction is rather tentative (\I*ʡagVb,\i corresponding to Av. \Iogób\i etc., is the most probable choice).
484|*sōs|1298|a sort of rye|sos|||    Obl. base \I*sōsa-\i ( ~ \I*sāsu-\i), cf. Chech. \Isōsa-.\i
485|*duḳa|1299|1 rice 2 groats|duga 1,2|duga||    3d class in both languages.
486|*psa ( ~ -ā)|1300|barley|||psa|    Attested only in Bacb., but having probable external parallels.
487|*mūq|1301|1 barley 2 baked bread|muq 1|muq 1, mäq 2|majqĭ 2|    PN paradigm: \I*mūq,\i obl. \I*māqi-\i (cf. Chech. \Imuq,\i \Imēqa-,\i Ing. \Imuq,\i \Imäqo,\i Cheb. \Imuq,\i \Imāqi-\i). 6th class in Ing. and Chech. The oblique stem \I*māqi\i used as direct ("barley's, stemming from barley") is used in the meaning "bread" in Ing. and Bacb.
488|*l(ɦ)ōṭ ( ~ -ʕ-)|1302|waste of corn (corn lost during transportation)|lod|||    Obl. base \Ilōda-.\i Attested only in Chech., but having probable external parallels.
489|*gVg|1307|seed, grain||gi||    Attested only in Ing., thus a variety of PN reconstructions is possible; we choose medial *-g- because of external evidence.
490|*ʔāsor ( ~ -ss-)|1318|weed; weeding|āsar|ɔsar||    3d class in Chech. and Ing.
491|*jōl|1319|hay|jol|jol|jol|    Obl. base \I*ʔāli-\i (cf. Chech. \Iēla-,\i Ing. \Iälo,\i Bacb. \Iali-\i). 4th class in all languages.
492|*n(ɦ)iṭṭ ( ~ -ī-)|1320|nettle|nitt|nitt|niṭṭ|    Obl. base \I*n(ɦ)iṭṭe-\i (Chech. \Initta-,\i Ing. \Initto\i). 5th class in Chech., Ing., 6th class in Bacb. External evidence demands some laryngeal in this root; *nɦ- should be reflected as nʕ- in Bacb., but such a combination does not exist before front vowels. We may thus think that the PN form was actually \I*nɦiṭṭ,\i but the laryngeal was lost in all modern languages.
493|*măʁVl-ṭ|1322|cockle, weed|merʁad|maʁaldi||    4th class in Chech., but 3d class in Ing. The vowel's shortness is indicated by Chech. -e- (a long *-ā- in this position would yield -ä-). In Chech. there occurred a metathesis (\I*maʁVlṭ\i > \I*malʁVṭ\i with a subsequent change -l- > -r-).     Nakh > Osset. \Imäɣälda\i 'cockle, weed' (Abayev 1973, 83).
494|*dēcV ( ~ -ā-)|243|paternal aunt|dēca|||    Within Chech. \Idēca\i is opposed to \Inēca\i 'maternal aunt' (cf. \Ida\i 'father' and \Inana\i 'mother'). Both terms, however, have different EC etymologies, and the analogy with 'father' and 'mother' (which influenced there meaning) must be secondary.
495|*šōṗV|1324|a k. of ramson|šēbu / šöp|šüp||    All forms are quoted from Алироев 1975 (also listed there are Kist. \Išüp\i and Cheb. \Išopu\i) and their dialectal attribution is not quite clear (that is why there are problems with vocalic reconstruction). The precise meaning of the root is "ramson with broad leaves and stronger smell and taste".
496|*šowV ( ~ -ō-, -ū-)|1325|a k. of ramson|šu ( ~ šū)|šū||    The Chech. word is cited from the Russ.-Chech. dictionary, thus vowel length is unclear.
497|*sṭim ( ~ -ī-)|1326|1 wormwood, absinth 2 hellebore|stim-urꭓa 2||sṭim 1|    Forms are quoted from Алироев 1975, 159, 161. The component -urꭓa in Chech. is unclear.
498|*sVbVr-(-g-,-d-,-w-)|1327|a k. of marsh plant|sōr-am|||    Attested only in Chech., thus a variety of PN reconstructions is possible.
499|*jōšV ( ~ *jāšu)|1329|a k. of odorous weed|jōša|||    Attested only in Chech. (and should be distinguished from \Ijūša\i 'wormwood, absinth' < Pers. \Ijawšon\i), but having probable external parallels.
500|*bʡast ( ~ -ʕ-,-ā-)|1330|name of a mountain weed|||bʕäst (Matsiyev)|    Attested only in Batsb., but having possible external parallels.
501|*m(ɦ)ŏħ|1331|cry, moan|moħ|muħ||    6th class in both languages. Obl. base \I*maħe-r-\i (cf. Chech. \Imäħara-,\i Ing. \Imaħaro\i).
502|*m(ɦ)uǯ-(~ʕ,ū,ō,o,č̣)|1333|plantain|müžg|||    A diminutive form (in *-iḳ). Since only the Chech. form is attested, the PN reconstruction is rather tentative (several possibilities are available).
503|*šiš|1334|1 ergot, spur 2 a k. of weed (волчье лыко)|šiš 1|šiš 2||    Obl. stem \I*šišV-\i (cf. Chech. \Išiša-\i). 5th class in both languages.
504|*č̣im|1335|1 a plant with an edible root (купырь лесной)|č̣im|č̣im|č̣im|    Obl. base \I*č̣ima-\i (Chech. \Ič̣ima-,\i Ing. \Ič̣imo\i). The word is glossed: in Chech. "купырь лесной (со съедобным корнем)"; in Ing. "свинушка (зонтичное растение)"; in Bacb. by Desheriyev "свинуха (растение)", by Kadagidze "купырь". 5th class in Chech., Ing., 6th class in Bacb.
505|*ħēq-ur-|1336|burdock|ħȫqurg|||    The Chech. form is a diminutive < \I*ħēq-ur-iḳ.\i Attested only in Chech., but having probable external parallels.
506|*ꭓāl|1337|stalk (of grass)|ꭓal|||    Obl. base \I*ꭓāli-,\i cf. Chech. \Iꭓēla-;\i cf. also the diminutive \Iꭓēlig\i 'blade (of grass)'. Attested only in Chech., but having probable external parallels.
507|*c̣a-ḳ ( ~ -ā-)|1339|arrow|||c̣aḳ|    The stem includes a diminutive *-ḳ (\I*c̣aḳ\i < \I*c̣aH-Vḳ\i). Attested only in Bacb., but having reliable external parallels.
508|*ʔerc̣|1340|reed, cane|erz|||    Obl. base \I*ʔerc̣a-\i (Chech. \Ierza-\i). Cf. also Lev. \Iʔjerz,\i It. \Iʔjerʒa\i id.
509|*pħē|1344|village|pħa||pħe|    Obl. stem \I*pħāna-\i (cf. Chech. \Ipħāna-\i); its vocalism has influenced the Chech. direct stem. 4th class in Chech., 6th class in Bacb.
510|*q̇or-Vḳ ( ~ -ō-)|1347|burrow||q̇org||    Attested only in Ing. (with a frequent diminutive *-Vḳ), but having probable external parallels. Nakh > Osset. \Iqorɣ\i / \Iɣorɣä\i 'pit' (Abayev 1973, 311).
511|*lāmV-j|1349|stairs, ladder|lāmi|lɔmi||    6th class in both languages. The Bacb. word for 'stairs, ladder' is \Ilaṗ;\i historically it is rather a reflection of PN \I*laṗa\i 'shed, penthouse' (q.v.) with a semantic contamination of two roots in Bacb.
512|*n(ɦ)aʁV-r|1350|1 lid, cover (of a box, chest) 2 eye-lid|neʁar 1|noʁar 1,2||    3d class in both languages.
513|*mott|1353|1 bed 2 place|mott 1|mott 1|mott 1,2|    Obl. base \I*matti-,\i cf. Chech. \Imetta-,\i Ing. \Imetto.\i Cf. also the derived form \I*matt-iḳ\i > Chech. \Imettig,\i Ing. \Imottig\i (with vowel levelling) 'place'.
514|*(p)sāl|1357|pile, heap|sal|||    Obl. base \Isāla-.\i Attested only in Chech., but having probable external parallels.
515|*c̣ā|1358|house, room|c̣a|c̣a|c̣a|    Obl. base \I*c̣ē-ni-,\i cf. Chech. \Ic̣īna-,\i Ing. \Ic̣eno.\i 3d class in all languages.
