NUMBER|PROTO|PRNUM|MEANING|NAKH|NAKHNUM|AAND|AANDNUM|CEZ|CEZNUM|LAK|LAKNUM|DARG|DARGNUM|LEZG|LEZGNUM|KHIN|KHINNUM|ABAD|ABADNUM|COMMENT
1869|*=ilqwĀ|0|to run||0|*qVl- ( ~ χ-)|1218|*=ɔχ:-|913|li=qa-|769|*=uqVn-|743|*ʔiχ(:)ʷa ( ~ -ɨ)|1265||0|*q:IʷV|597|    The etymology is satisfactory both phonetically and semantically.
1870|*=ĭṭVr|611|to run|*=ăṭ-|761|*ṭVr-|1219||0||0||0|*ʔiṭV(r)-|1266||0||0|    Reconstructed for the PEC level; cf. also Hurr. it:- 'to go (away)' (see Diakonoff-Starostin 1986, 28). Correspondences are regular. Abdokov (1983, 183) compares PAK \I*dǝdǝ-\i 'to run (at once, momentarily)' (Ad., Kab. \Idǝdǝ-n\i), which is possible if we assume a secondary deglottalisation.
1871|*hilčwĒ|868|to run||0||0|*=[u˜]č-|914|liI=ča-|770||0|*hišʷä-|1267|čä=p-|280|*čˊ:ʷa|598|    The EC-WC comparison seems reliable both phonetically and semantically.
1872|*=iƛ̲wVn|0|to run||0|*ƛ:u-t-|1220||0||0||0|*ʔiλ:ʷVn-|1268||0||0|    An Av.-Lezg. isogloss; acceptable, if we assume that the Avar word has a suffixed -t- or is an old compound (with a not quite clear second part).
1873|*=ič̣̲wV(r) ( ~ -c̣ˊ̲-)|0|to run||0|*=ič̣:ʷV(r)|1221|*=ič̣-|915||0||0||0||0||0|    An And-Tsez. isogloss.
1874|*ḳān[c̣]V|0|to run, jump||0|*ḳanc̣-|1222|*=Vḳi[č̣]-|916||0||0||0||0||0|    An expressive Av.-And-Tsez. isogloss.
1875|*ḳanṭV / *ṭanḳV (~ -ĕ-,-ǝ-)|869|jump, leap||0||0||0|ṭanḳ|771|*ḳanṭ|744||0||0||0|    An expressive Lak-Darg. isogloss (cf. an analogous expressive stem in Av. \Itunk-,\i Chad. \Itunk-\i 'to hit, push'). EC antiquity is dubious.
1876|*ʔVwsˊ̲Vr|0|to turn round, spin||0|*š:ʷVr-|1223||0|š:uru-|772|*šur- ( ~ š:-)|745|*[š:ʷ]ar(a)|1269||0||0|    Although the superficial resemblance is great, the PEC reconstruction for this root is rather difficult. Aside from the problems in PL reconstruction (see above), the correspondence would be normal if there were no labialised reflexes in Av. and PL (on the other hand, for PEC \I*sˊ̲wVrV-\i we would expect š:- in Av., š(ʷ)- in Lak., *s:- in PD and *šʷ- in PL). The only possible solution is to reconstruct a verbal stem with a cluster *-wsˊ-, yielding independently labialised fricatives in daughter-languages.     Another possible solution would be to separate the PL form, which may be autonomously compared with PAK \I*za\i "turn round" (Ad. \Iʁa-za-n,\i Kab. \Iʁa-za-n\i etc.), see Абдоков 1983, 175.
1877|*=īʒwVɫ|870|to fall, crumble; stumble, slide|*=ōž-|762|*zʷil- / *zʷir-|1225|*=us- ( ~ -z-,-z:-)|917|zi=zi-|773|*=iʒ- ( ~ -z-)|747||0||0||0|    Reconstructed for the PEC level. Correspondences are regular.
1878|*čirχwV|0|to slide, slip||0||0||0|č:iIχ|774||0|*čirχʷä-|1272||0||0|    An expressive Lak-Lezg. isogloss.
1879|*=Hiq̲Ē|0|to rise, grow||0|*=oq:- ( ~ -a-)|1227|*=[ɨ]χ:-|918|buIχ-t:ul-|775|*=uq-|748|*ʔiχ:a-|1273||0|*qˊ:Ia ( ~ *q̇ˊIa)|599|    Correspondences are regular, and the etymology seems satisfactory in all respects.
1880|*=Hicˊ̲V|871|to rot, ferment||0|*=ič:-|1228||0||0||0|*ʡičä ( ~-e)|1275||0||0|    An Av.-And.-Lezg. isogloss.
1881|*čVχV / *ǯVʁV|0|to fade, wither||0|*-č:Vχ:-|1229|*č[o]ʁ:-|921||0||0|*čoχar- / *č:oʁar-|1276|č̣iʁi-|283||0|    An expressive root with highly irregular transformations; nevertheless, because of the rather good Tsez.-Lezghian match, the PEC antiquity is probable.
1882|*=ĭc̣wĂr|1180|to melt, thaw|gamma|0|*=ic̣-|1231||0|=a=c̣a- / =a=c̣i-|778|*=ac̣-|751|*jic̣ʷar-|1277||0|*(b)zʷǝ|600|    A reliable common NC root. Somewhat problematic is the relationship of PN \I*=aš-\i 'to melt, to thaw' (Chech., Ing., Bacb. \I=aš-\i): if it is cognate (which is not very certain), we should reconstruct PNC \I*=ĭrc̣wĂr; \isee also PEC \I*=is̲Vn-.\i Perhaps related is Urart. \Ic̣i-\i  'to flow, to rain' (see Diakonoff-Starostin 1986, 44) - although semantically not very secure.
1883|*=ōʒ̲wV(lV)|1067|to pour, weep|*t-ēbč̣- ( ~ -ǯ-)|764|*=Vc̣:-|1232|*=ɨcʷ- ( ~ -i-)|922||0||0|*ʔoc̣:ʷɨ-|1278||0|*c̣ʷV|601|    Correspondences are regular, and the EC-WC parallel seems quite probable.
1884|*=is̲Vn|669|to melt, thaw||0||0||0|=a=s:a-|779||0|*ʔis:Vn|1279||0||0|    A Lak-Lezg. isogloss. The position of PN \I*=aš-\i 'to melt' is uncertain. It does not fit very well into the PNC root \I*=ĭc̣wĂr-\i q.v., but it also does not correspond quite regularly to the Lak. and Lezg. forms with -s:-. Perhaps we should reconstruct \I*=ic̲wVn\i (the reflex of *-c̲w- in PN is actually unknown and could well be -š-). The matter requires further investigation.
1885|*=Hi[š̲]wVn|0|to extinguish, go out (of light)||0|*=iš:ʷV(n)-|1233||0|l-iIš:a-|780|*=iš(Vn)-|753|*ʔisʷan- / *ʔisʷar-|1280||0||0|    Reconstructed for the PEC level. The root consonant behaves in a somewhat irregular manner: PA, Lak. and PD point to *šw (with tense phonation), but Avar and PL have unexpected hissing reflexes. This, together with the fact of variation between *-n and *-r-conjugation in PL, makes us suspect that contaminations of different roots have taken place. For the hissing *s (Av. \Is:ʷine,\i PL \I*ʔisʷVn-\i) cf. perhaps PEC \I*s̲iHwV\i 'breath, soul' - especially reflexes like Kar. \Is:uha˜-\i 'to get tired' (the semantic correlation 'breath, breathe' - 'extinguish' is typologically rather common).
1886|*HV̆ǯVw-|1244|to itch, to hurt|*ʡabǯ- ( ~ -č̣-)|765|*žab- ( ~ -o-)|1234||0|č:u-|781||0||0||0||0|    Reconstructed for the PEC level. An expressive root; some languages have reflexes of a similar root with a hissing consonant: cf. Chech. \Izuz\i (\Izüza-\i) 'itch, rash', Av. \Izu-n-\i / \Izun-ṭ-\i 'to have a shooting pain'; Ud. \Izizi\i 'ache, pain'; Khin. \Iizä-q̇i\i 'to itch'.
1887|*jVḳVr-|0|to hurt, feel pain||0||0|*ḳoḳ-|923||0||0|*jiḳVr-|1281||0||0|    A Tsez-Lezg. isogloss, thus the vocalism is hard to reconstruct.
1888|*ʔăʒ̲Ĕ (~ -ǝ̆-,-ŏ-)|31|to be ill, feel pain|*l-ac̣-|766|*c̣:i-n-|1236||0|c̣u-|782|*ʔic:-|754|*ʔac̣:a|1282|c̣ɨ-t|284|*zˊV|603|    A rather widely represented common NC root. The etymology on the whole seems quite satisfactory, but there are some irregularities: in PD we would rather expect *z, not *c:. We may think that the root consonant here was expressively geminated (PD \I*ʔizz-\i > \I*ʔicc:-\i), and indeed we see traces of this gemination in Ak. \Iizz-es,\i \Iizz-ala.\i It is even possible that the gemination occurred as early as in Proto-Darg.-Lezg. - cf. a quite analogous gemination in Rut. \I=ädda-\i (normally -d- would be expected).     Cf. also Hurr. \Iazz-u/ošχǝ\i 'tabooed, impure, sinful, sick (or the like)', see Diakonoff-Starostin 1986, 40.     See Abdokov 1983, 136.
1889|*Hăwaχ̲V|1110|to swell||0|*ʔa=aχʷ-|1235|*=aʁ:ʷ-|924|=uru=χ:a-|783|*=Vbχ:-|755|*ʔawχ:Ia|1283|=opχ-|285||0|    Reconstructed for the PEC level. The verb has a very rare root structure (*HVRVCV), clearly seen in the reflexes; the second consonant is in most subgroups a reflex of *-w-, but Lak. has -r- and Andian has changing class infixes (-b-/-r-). Since such a root structure is quite unique for a verb, there are two equally acceptable solutions: to reconstruct *-w- (and consider Lak. -r- and And. -b-/-r- an innovation) or to reconstruct changing class infixes in PEC.
1890|*=ek̲wV|230|to itch, to scratch||0|*=Vk(ʷVn)-|1237||0||0|*=uk:- / -uk-|756|*ʔek:ʷa|1284||0||0|    Reconstructed for the PEC level. Despite the root's expressive nature (leading to frequent reduplications), the etymology seems generally plausible.
1891|*qāls̲V|0|to scratch||0|*qas:-|1238|*χ:ǝ˜s:- ( ~ ʁ-)|925||0|*qars:-|757||0||0||0|    Reconstructed for the PEC level. An expressive root, with some violations of phonetic rules (due to its expressive character).
1892|*č̲VqV / *q̲VčV|481|to scratch, rub||0|*χ:Vč-|1239|*ča˜χ:- ( ~ -ʁ-)|926||0|*=išq-|758|*č̣iχ:an-|1285||0||0|    One of the few expressive verbal stems with the structure CVCV, demonstrating numerous metatheses and irregularities. Precise PEC is rather difficult (but it is not excluded that the root is an expressive derivate from \I*=Vwq̲V\i 'to scratch, scrape' q.v.).
1893|*c̣aχ(w)V / *c̲aχ(w)V|0|to scrape, scratch||0||0|*caχ(:)ʷ-|927||0||0|*c̣aχVr-|1286||0||0|    An expressive Tsez.-Lezg. isogloss (cf. also the synonymous PEC \I*č̲VqV\i).
1894|*=ŭsˊV|0|to descend; to fall, be scattered|*=oss-|767|*=uš:-|1240|*=o˜s:-|928||0|*=uš(:)-|759||0|aš-|286||0|    Reconstructed for the PEC level. Most languages point to *ŭ; there is also some evidence of an Ablaut grade with *ä (Lak. \I=i=š:u-,\i PN \I*=iss-\i).
1895|*ʔäɦV ( ~ *ɦäʔV)|0|to throw, to winnow||0|*=VH=|1241|*-Vʔ-|929|hu=iI-|785|*ʔihI- ( ~ -ʕ-)|760|*ʔIähɨ-|1287||0||0|    Reconstructed for the PEC level. One of the common EC verbal roots with a laryngeal root consonant.
1896|*Hlŏq̲V̄n-|0|to destroy, break, scatter||0|*=iq:Vn- / *q:in-|1242||0|t:iri=χ:iI-|787|*=uqVn-|761|*ʔalχ:Vn-|1288|zä=q-|291||0|    Reconstructed for the PEC level. A rare case of the verbal structure with an initial laryngeal cluster (reflected in Lak. as t:VrV-).
1897|*=Vƛ̣̲Vw|1052|to beat, hit||0|*ƛ̣:ab- ( ~ -o-)|1243|*-aƛ-|930||0||0|*=Vƛ̣:ʷe|1289||0||0|    Basically an Av.-And.-Tsezian isogloss, but the Agul parallel makes the PEC reconstruction probable.
1898|*ʔăḳV̆ ( ~ -ǝ-)|0|to beat; to forge||0||0|*ʔaḳ-|932||0||0|*ʔaḳɨ|1291||0|*ḳǝ ( ~ *ḳˊ-)|604|    A common NC verb; although not very widely represented, seems both phonetically and semantically reliable.
1899|*=adV̄ ( ~ -ǝ-)|416|to butt, beat||0||0||0|=a=t:a-|784||0|*ʔat:a|1292|l-at:ɨ-r-|287|*wǝ-t:a-|720|    See Абдоков 1983, 166.
1900|*=Vq̲̇Vn|0|to pound, to crush||0|*=Vq̇:Vn-|1244||0||0|*=elq̇Vn- / *=uq̇Vn-|763|*ʔeq̇Vn ( ~ -ä-)|1297||0||0|    Basically an Av.-And.-Darg. isogloss (the Archi form is somewhat dubious semantically), therefore the vocalism is hard to establish.
1901|*=irq̇wĔ(r)|1159|to split, break||0|*=iq̇ʷ- / *q̇(ʷ)ar-|1245||0||0|*=iq̇ʷ-|764|*ʔi(r)q̇ʷar-|1296|q̇ʷi|288|*q̇ˊIʷa|605|    The Av.-And.-Darg. comparison is rather secure, but the WC parallel is uncertain (because of some semantic differences and several possibilities of reconstruction in PWC). There exists a similar root in PEC - \I*=irq̲̇wVr\i 'to break, tear' (q.v.); the two stems may be connected by an archaic prosodic alternation.
1902|*=ĭṭV|941|to cut, to divide|*t-iṭ- / *t-eṭ-|768|*b-uṭV / *ṭubi|1246|*=iṭ-|933|b-aṭul-|788|*=uṭ-|765|*ʔiṭV-|1293||0||0|    Reconstructed for the PEC level. The root demonstrates different Ablaut grades (*-i-/*-e-/*-u-). The isomorphism between Av.-And. \I*b-uṭV\i 'part', Lak. \Ib-aṭu-l-\i 'separate' and Darg. Chir. \Ib-iṭal\i 'part' suggests that the derivate \I*w-ĭṭV\i (\I*w-ŭṭV\i) can also be reconstructed for PEC.     Cf. also HU *ṭiṭi- > Hurr. tid- 'to share out, to separate', tidenni 'sharing out, re-division of land', Urart. ṭiṭj-u/ošǝ 'share, (movable) property' (see Diakonoff-Starostin 1986, 27).
1903|*=HiʁwE(r)|0|to beat||0|*=uʁ- / *ʁur-|1247|*ʁ:e˜ʁ:-|934|ʁa=ʁa-|789||0|*ʔVʁI(ʷ)V ( ~ -q:-)|1294||0|*ʁˊIʷV|606|    A common NC root; sometimes reduplicated (as in PTs and Lak). Correspondences are regular except for the PTs nasalisation, which has an obscure origin.
1904|*=Hīmq̲̇V|163|to divide|*=ēq̇-|769|*=iq̇:(Vn)-|1248||0||0|*b-aIHVnV|766|*ʔiq̇:Ia-|1295||0|*nǝq:ʷa ( ~ -q̇ʷ-)|607|    A common NC root; WC languages have preserved only an old derivate \I*nǝq:ʷa\i ( < \I*mǝq:a\i), corresponding to PA \I*b=iq̇:in(V\i) 'half', PD \I*b-aIHVnV\i id.
1905|*=VG̲Ăl|904|to cut, clip, shear||0|*=uq̇:- / *q̇:ir-|1249||0|q̇u=q̇i-|790|*=alʁVn-|767|*ʔiq̇:ä(l)-|1298|t:-äq̇-|290|*q̇ǝ|608|    The etymology seems both phonetically and semantically plausible, although it is hard to reconstruct the root vowel (because of extensive Ablaut).
1906|*=ēƛ̣wV(l)|53|to burst, tear||0||0|*=uƛ̣- ( ~ =ɨƛ̣ʷ-)|935||0|*=iḳ-|768|*ṭ-eƛ̣ʷäl-|1299||0||0|    Reconstructed for the PEC level. The Tsez-Lezg. correspondence is quite plausible; in Darg., however, irregular is the loss of *-l-conjugation. This makes us suspect that the Darg. form may be alternatively compared with PL \I*ʔelḳ[ɨ]-\i 'to finish; to stop breast-feeding' (Tab. \Ik:ud-u=ḳ-\i 'finish', Ag. \Iḳ-irḳʷ-,\i Bursh. \Ik:-erḳi-\i id., Rut. \Is-i=rḳa-\i 'stop breast-feeding').
1907|*=irkV̆r|1225|to break, pick; to crack; to stir|*kek-|771|*=Vk(Vn)-|1250||0||0||0|*ʔirkar|1300||0|*ka- (~kˊ-)|714|    A common NC expressive verbal root (sometimes reduplicated). See Абдоков 1983, 157.
1908|*=HVq̲̇wĔ|1243|to rumple, knead||0|=aḳ:ʷV(n) ( ~ -o-)|1253|*=eq̇ʷ- / *q̇eq̇ʷ-|936||0||0|*ʔäq̇Iʷa ( ~ -ɨ)|1301||0|*q̇ˊIʷa|609|    A common NC verb; due to its semantics subject to expressive changes (especially in the Av.-And. area) - but still the reconstruction seems both phonetically and semantically plausible.
1909|*č̣Vq̇V / *q̇Vč̣V|0|to press|*č̣āʁ-|772||0||0|č̣u=ja-|792|*ʁIuč̣|770|*č̣oq̇Ia|1302||0|*q̇ʷVč̣ˊV|610|    An expressive verbal root with metatheses and irregular developments (one of several rather rare verbal roots with the structure CVCV).
1910|*=ēmḳ̲V|61|sharp, to whet|*ʔeḳ ( ~ -ē-)|773|*=Vḳ:-|1255||0||0|*=ebk:- (/*buk:-)|771||0|inḳ|292||0|    Reconstructed for the PEC level. It is very tempting to compare also Lezghian data: Tsakh. Mishl. \Ieḳi-n\i 'sharp' (Mik. \Ieḳ-aʔas\i 'to sharpen'), Kryz. \Iʕaq̇-\i 'to sharpen, whet', Bud. \Ieq̇i\i 'sharp'. However, the uvular in Kryz and Bud. ( = velar in Tsakh.) points rather to PL *ƛ̣ (\I*He(m)ƛ̣ɨ-\i), while from PEC \I*=ēmḳ̲V\i we would expect PL \I*He(m)ḳɨ-\i. Perhaps Shakhdagh q̇ here is secondary, under the influence of the initial laryngeal?
1911|*ɦiš̲Ūn|0|to knead (dough), to press|*ħaš- / *ħēš-|774||0||0||0|*=aš(:)Vn-/*=alš(:)-|772|*ʡiš:än-|1303||0|*p-š:ʷa ( ~ -šˊ:ʷ-)|611|    The comparison seems quite satisfactory both phonetically and semantically (for phonetic reasons Shagirov's proposal to compare PAK \I*pš:a-\i with Av. \I=ac-\i 'to knead' etc., see Shagirov 2, 35-36, should be declined). See Абдоков 1983, 170.
1912|*=ăʁwV|73|to smear, rub||0|*ʁa-b-/*ʁa-n- (~-o-)|1256|*=aχ-|937|=u=ʁa-|793|*č-aʁ-|773|*ʔaʁʷV|1304||0||0|    Reconstructed for the PEC level. Correspondences are regular.
1913|*Hǝ̆G̲wĔ(n)|292|to close, cover|*=[u]q̇-|775|*=[i]q̇:ʷV(n)-|300|=u˜q- / =i˜q-|938|=a=q̇i-|794|*ʔalʁIʷVn-|774|*ʔaq̇:Iʷä|1305||0|*q̇ˊʷǝ|612|    A widely represented common NC verbal root. It reveals a constant variation between -0 and -n-conjugations (in PA, probably also in PL); it is, therefore, not excluded that we deal here with a merger of two (or more) individual verbal roots (see above in the Andian part), which are now almost impossible to separate from each other. A possible old nominal derivate see under \I*ħG̲unu.\i
1914|*Hĭrq̲wVr|940|to beat, chop, cut, wound|*ħaq-|776|*=iq:ʷ- / *q:ʷar-|1258||0||0|*=aIqʷ-|775|*ʔirχ:ʷ[a]|1306||0|*t:-ǝr(ǝ)q:ʷa|710|    Despite the root's expressive meaning, correspondences are regular (except  for the Darg. form, where one should rather expect -q:ʷ-) and the  reconstruction seems probable. See Abdokov 1983, 136.
1915|*Hič̣Ăn ( ~ -č̣̲-)|478|to press, squeeze||0||0||0|lač̣u-|800|*=aIč̣Vn-|776|*ʡirč̣Vn- ( ~ ħ-)|1307||0|*bǝč̣ǝ|613|    The EC-WC parallel is reliable both phonetically and semantically. The PWC form (like many others) contains a former class prefix *b-.
1916|*=HiǯĂ[m]|76|to twist, bend, wind||0|*žVm- / *-Vž-|1259|*čič-|939||0||0|*ʔič:a(n)|1308||0|*ǯǝ ( ~ ʒ-)|614|    The root obstruent and the vowels in all languages correspond well to each other, but the status of the final nasal is not quite clear (both Av.-And. and Lezgian languages reveal variation between -n and -0-conjugation). Initial laryngeal is suggested by the HU parallel: Hurr. χiz-lV- 'to roll up' (see Diakonoff-Starostin 1986, 43).
1917|*=ikĀr|872|to take with, provide||0||0||0||0|*=irk- / =uk-|777|*ʔi[k]ar|1309||0|*k:a ( ~ g-)|615|    The EC-WC seems plausible phonetically and semantically (although the root is not very widely represented).
1918|*=HäGwVn|299|to tremble, be afraid||0|*=iʁVn- / *ʁiʁVn-|1261||0||0||0|*ʔäq:IʷVn-|1310||0||0|    An expressive Av.-And.-Lezg. isogloss. The Archi form looks archaic, but since there are no parallels in other Lezgian languages, and since the correspondence between Av.-And. and Archi is not quite regular (we would rather expect PL *qIʷ > Arch. χIʷ), a borrowing is not excluded. Perhaps we should regard as a genuine parallel to the Av.-And. form not Arch. \Ie=qIʷin-,\i but Rut. \Is-u=qIa-\i 'to shake, sway' (where -qI- regularly < PL *qIʷ).
1919|*=aχ̲wVn|0|to open||0|*=aχʷVn|1262|*=[a˜]ʁ:-|0||0||0||0||0||0|    An Av.-And.-Tsez. isogloss.
1920|*=ĕwλ(w)V|1003|to open|*=ell- ( ~ -ē-)|778||0||0|ja=iši-|795|*ʔabx:- / *ʔibx:-|778|*ʔäwλɨ|1311||0||0|    Reconstructed for the PEC level. The PL form goes back to \I*=ĕwλwV\i (with an assimilatory development), which explains the weak *-λ- (otherwise *-λ:- would be expected).
1921|*=aq̲V|5|to open||0||0||0|a=aqa-|796||0|*ʔaqa|1312||0|*q:V (~q̇-)|715|   The EC-WC comparison see in Абдоков 1983, 157.
1922|*ʔĕmš̲wV|1169|to stop up, plug, close up||0|*ʔinš:ʷ- / *ʔiš:ʷVn-|1263||0|*=aš:a- / =aš:i-|797|*b-arš:-|779|*ʔäšʷɨ|1313||0||0|    Reconstructed for the PEC level. Correspondences are regular.
1923|*=irx̲wVl|0|to paint, smear|*ħaχ-|779|*=iλ(Vn)|1265||0||0|*=V(r)x:-|780|*ʔirλ:ar|1314|zi=x-|293|*xʷa|617|    Correspondences are regular (except for the assimilation \I*ʔirλ:al\i > \I*ʔirλ:ar\i in PL), and the EC-WC comparison seems quite plausible. See Абдоков 1983, 175.
1924|*=aswVn|873|to glue, paste||0|*sin-|1266||0|sina|798|*=as:Vn|781|*ʔas:an|1315||0||0|    Reconstructed for the PEC level. Several languages have preserved the old derivate \I*swinV\i (\I*=aswinV\i) 'glue'. Labialisation as such has been lost in all reflexes (-u- in Arch. \Is:us:ǝ-\i may be a reminiscent of it), but can be securely reconstructed for the correspondence Av., PA, Lak. s : PD, PL *s:.
1925|*čHaχV|0|to be wet, flow|*č(ʕ)uχčarV ( -ɦ-)|800|*čʷaχ:- ( ~ -o-)|1267||0||0|*čaχI-čaχIi|812|*čaχ:Iɨ- / *č:aχ:Iɨ-|1316||0||0|    An expressive root, reconstructed for the PEC level (one of the few rare verbal stems with the structure *CVCV).
1926|*=arkV|906|to smear||0||0||0||0|*=ak-|782|*ʔarka ( ~ -ä)|1317||0||0|    A Darg-Lezg. isogloss. Cf. perhaps also Tind. \Idekʷa˜-\i 'to stick, adhere' - although the morphological structure of this form is not quite clear.
1927|*=VλwE(n) ( ~ -λ̲-)|1192|to bind, knit, plait||0|*=oxʷVn-|1268||0||0||0|*ʔiλ(:)ʷV|1326||0|*λˊʷǝ|618|    The root is widely represented in WC, but preserved only in Av.-And. among the EC branches. Still, the phonetic and semantic correspondence is exact, and the NC antiquity of the root is quite probable.
1928|*=HōjcˊwV|1181|to untie, unbind|*=āsṭ-|780|*=ajčʷ-|1269||0||0||0|*ʡočʷa ( ~ -ɨ)|1318||0||0|    Reconstructed for the PEC level. Note the correspondence of PA *-j- to the PN development *cˊw > *sṭ. The Nakh languages also have a root \I*=ēbc-\i / \I*=ōbc-\i 'to knit, plait' (Chech. \I=ūc-,\i Bacb. \I=epc-,\i term. \I=opc-\i) which may reflect the same verbal stem (with the plural infix -b-, which superseded *-j- and prevented the development *-jcˊ- > *-sṭ-). Cf. also HU: Hurr. \Iχuž-\i 'to bind, to detain', Urart. \Iχuš-\i 'to annul (services), to stem (water)' (*'to untie'), see Diakonoff-Starostin 1986, 40.
1929|*=HVlḳ(w)Vn|0|to stick, glue||0|*-iḳ-|1270||0|laIḳi-|799|*=alḳʷVn|783||0||0||0|    Reconstructed for the PEC level. One feels tempted to compare also Lezg. \Ial-ḳi-\i 'to stick, glue, adhere', \Ik-iḳi-\i id.; but if this is the same verbal root as \Ieḳi-\i 'to stick, be stuck', it should be kept separated from \I*=HVlḳ(w)Vn\i, because the Akht. correspondence (\Iak:ɨ-\i) points only to PL *-ƛ̣:-.
1930|*=ilqVn|874|to work||0||0||0|=uqa-n|801|*luqVn-|784|*ʔilχan|1319||0||0|    Reconstructed for the PEC level. The verb is attested only in the Eastern Daghestan area.
1931|*=Harq̲wV|80|to dig||0|*=aq:ʷ- ( ~ -o-)|1271|*=Vχ:ʷ-|944|=iχ:a-|802|*=irq:ʷ- / *ʔiq:-|785|*ʔarqIʷɨ|1320||0||0|    Reconstructed for the PEC level. In Nakh languages the root \I*=āq(q\i)- 'to pull out' has also a meaning 'to dig out' and thus may reflect a merger of two roots: PEC \I*Harq̲wV\i 'dig' and \I*Hiq̲V(r\i) 'take, pull out' (q.v.).
1932|*HrīḳwV|977|to bore, dig|*ʔāḳ-|781|*=iḳ-|1272|*ž:-uḳʷ- B|945|t:iriḳi-|803||0|*hIirḳʷVr|1321|lɨ=ḳ-|294|*bǝḳǝ|619|    A common NC expressive verbal root (with a rare verbal phonetic structure *HRVCV, reflected primarily in Lak.). The WC form has a frequent labial prefix (former class marker).
1933|*=ērƛ̣̲V|875|to plough, to sow||0|*=iƛ̣:-|1273|*=ǝƛ-|946|ḳuč̣i-|804|*=Vrɣ-|786||0||0||0|    Reconstructed for the PEC level. The Eastern forms (Lak., Darg.) demonstrate the semantic development 'to sow' > 'to sift, screen' (cf. Russ. \Iсеять\i - \Iпросеивать\i).
1934|*HamχV|0|to shave, shear, cut||0|*χ:an-|1274|*=eχ:- (~ -ʁ-)|947|t:-iħa-|805||0|*raχIa|1322|wä=χ-|295||0|    Reconstructed for the PEC level. Correspondences are regular (in PL *r- must be interpreted as a former class marker).
1935|*=ōŁwV|0|to reap||0|*=okʷ-|1275||0||0||0|*ʔoƛ:(ʷ)ɨ|1323||0||0|    An And-Lezg. isogloss.
1936|*=īʒ̲V|0|to spin|*=ōc̣-|782||0|*=ɨ˜c- B|948||0|*=V(r)z-|788|*ʔic̣:V|1324||0||0|    Reconstructed for the PEC level. The source of PTs nasalisation is not clear; otherwise correspondences are regular.
1937|*=irsˊ̲E(l)|1103|to weave||0|*=irš:-|1276|*=eš:-|949|š:aš:a-|806|*=Vrš(:)-|787|*ʔiš(:)Vl|1325||0|*sˊʷV|620|    A reliable common NC cultural term (see Trubetzkoy 1930, 279; Абдоков 1983, 159).
1938|*h[ă]ɫʔa ( ~ -ʡ-,-e)|57|steam|*ʡe|783|*halHV ( ~ ħ-)|1277|*hel- ( ~ ħ-)|950||0||0|*hIela|1327||0|*Ła|621|    Cf. (with an a-prothesis and *ɫ > r) Hurr. \Iaɣri\i 'incense' (see Diakonoff-Starostin 1986, 55).     The EC-WC comparison seems rather probable, despite the not quite regular correspondence PEC *ɫ : PWC *Ł. Resonants are normally lost in PWC, but in this case *ɫ was retained as the only possible element (because laryngeals were also lost, and probably even before the resonants), but was transformed into a voiced lateral affricate.
1939|*=ălcŬm|676|to measure, weigh|*=usṭ- ( ~ -ū-)|784|*=acVn|1278|*=a˜s:-|951|=uci-|808|*ʔumcVn-|789|*ʔalcʷan|1328||0|*sʷa|622|    A very widely represented common NC root. Correspondences are regular. See Абдоков 1983, 168.
1940|*=Vɦ(w)V(n) ( ~ -ʕ-)|0|to rumple, knead, rub|*ħew- ( ~ -ē-)|785|*=VH- / *HVn-|1279||0||0||0||0||0|*jV|623|    One of the common NC verbal stems with a root laryngeal. The comparison seems probable, although the root is not reflected in many languages.
1941|*=ēʒ̲wĔl|0|to wave, shake, stir||0|*=ic̣:ʷ-|1280|*=oc- ( ~ -ǝ-)|952||0||0|*ʔec̣:ʷVl|1329||0|*ʒˊV|722|   See Абдоков 1983, 174. Reasons for delabialisation in PWC are not clear; oterwise the comparison seems quite reliable.
1942|*=HarxVr ( ~ -ǝ-, -λ-)|0|to sweep||0|*λar- ( ~ -o-)|1281||0|=aši-|809||0|*ʔarλV(r) ( ~ -λ:-)|1331||0||0|    Reconstructed for the PEC level. Correspondences are regular. In [Diakonoff-Starostin 1986, 58] the root is compared with Urart. \Iχarχar-š-\i 'to demolish' ( < *'sweep off'?).
1943|*=VŁ̲wV|0|to sweep, clear||0||0|*=aƛ-|953||0|*=ušk:-|790|*ʔeƛ̣:ɨ / *č:e[ƛ̣:]ɨ|1332||0||0|    Reconstructed for the PEC level. Note the usage of an expressive hushing preverb (leading to irregular phonetic change) both in PD and in most Lezghian languages.
1944|*=Häcˊ̲wĂ|1085|to pour, wash||0|*č:Vb-|1282||0|šuIši-|810|*=is:-|791|*ʡäš:ä ( ~ -a)|1333||0|*ʒʷa|624|    The comparison seems probable phonetically and semantically (the semantic correlation 'to pour, wash' - 'to weep' is quite common). The PWC root, however, can belong either here or to \I*=imc̣̲Vn\i q.v. [We should note that the Av.-and. forms reflect rather a form like \I*=Häcˊ̲Ăw\i with non-labialised -cˊ-; it is not clear, which is original - \I*=Häcˊ̲wĂ\i or \I*=Häcˊ̲Ăw.]\i
