NUMBER|PROTO|PRNUM|MEANING|AVA|AVC|AND|AKV|CHM|TND|KRT|BTL|BGV|GDB|COMMENT
1118|*k:olHV ( ~ -a-)|1754|mould|k:al|ḳel (?)||xali|||k:al|||ḱ:aji-ꭓ:ir|    Cf. also Kar. Tok. \Ixali\i id. The cluster *-lH- is suggested by a special development in the suffixed God. form: \Iḱ:aji\i < \I*k:alHi.\i The MSU recording \Iḳel\i (Gen. \Iḳelí-l\i) in Av. Chad. is rather strange (\Ikel\i would be expected).
1119|*qudi ( ~ ꭓ-)|1755|mould|||||ꭓud|ꭓuji|||||    Cf. also Cham. Gig. \Iꭓudi\i id. Tind. > Inkh. \Iꭓudi\i 'mould'.
1120|*dadV|1756|1 father 2 daddy|dadá 2|dedé 1|dada 2|dada 2|dad 2||||||    A "nursery word", widely spread as a term of endearment in Av.-Andian languages. Cf. also Cham. Gig. \Idadi\i 'daddy', \Iima-dadi\i 'grandfather' (lit. "father's daddy"). An Andian (or Avar) source is also probable for Inkh. \Idada\i 'daddy' (in Tsezian the root is not used except in Inkh.). Without reduplication cf. Av. \Iáda\i 'aunt'.
1121|*ʔima|1757|father|emén||ima|ima|ima|ima|ima|ima|ima|ima|    Av. paradigm B (pl. \Iumú-mul\i).
1122|*jaja|1758|grandmother|||jaja (Tsertsvadze)||||||||    A nursery word, attested only in And., but having probable external parallels.
1123|*woc:i, *joc:i|1760|1 brother 2 sister|wac: 1, jac: 2|wac 1, jac 2|woc:i 1,joc:i 2|wac:i 1,jac:i 2|wac 1, jac 2|wac:i 1,jac:i 2|wac:i 1,jac:i 2|wac:i 1,jac:i 2|was: 1, jas: 2|wac:i 1,jac:i 2|    In Av. and Akhv. the forms with *b- are also attested: Av. \Ibac:,\i Akhv. \Ibac:i\i 'brother/sister (of an animal)'.
1124|*=oc:i-q̇a- ( ~ -q̇o-)|1761|(first) cousin|=ác:-ʕal|=ac-ħál||=ac:i-q̇a|=ac-ā-|=ac:-a-|||||    Cf. also Akhv. Tlan., Ratl. \I=ac:i-q̇a-.\i The first part of the compound is \I*=oc:i-\i 'brother/sister'. In Avar there also exists another compound: \Iím-ʕal\i 'uncle' (with \Iim-\i 'father'), but the corresponding Andian forms are not attested.     The Avar forms (\Iwac:ʕal,\i \Ijac:ʕal\i) were widely borrowed into neighbouring languages: cf. And. \Iwacʔal,\i \Ijacʔal,\i Kar. \Iwacʕal,\i \Ijacʕal,\i God. \Iwac:aʕal,\i \Ijac:aʕal,\i Tsez., Gin., Bezht., Gunz. \Iwacʕal,\i \Ijacʕal.\i Old Tind. > Inkh. \Iwaccahaw,\i \Ijaccahaj.\i
1125|*=aqVn ( ~ -o-,-ꭓ-)|1764|to give birth, bear||||||||||=aꭓĩ|    Attested only in God., but having probable external parallels.
1126|*ꭓudulV ( ~ q-)|1765|friend|hudúl||||||||||
1127|*kʷinṭa|1766|1 husband 2 male|||kunṭa 1,2||kʷinṭa- 2|kʷinṭa- 2|kunṭa 1,2|kunṭa 1,2|kunṭa 1,2|kunṭa 1,2|    Cf. also Cham. \Ikʷinṭa-λi\i 'penis'.
1128|*rVs:V|1767|husband|ros:||||||||||    Av. paradigm B (pl. \Iros:á-b\i).
1129|*q̇ʷanaƛ:a|1768|relative, kinsman|||||unaƛ: (Gig.)|ʔʷanaƛ:a|||||    The term can be analyzed as a genitive case form from \I*q̇ʷoni\i 'head' (q.v.) - this probably influenced the retention of the Inlaut lateral (otherwise PA *-k- would be expected), but is obviously a folk etymology.
1130|*c̣:iʔV-|1769|guest|||c̣:e|c̣:e-we|ṣe-w|c:ē|c̣:ew|||c:eji|    In some languages a male and female guest are differentiated by class markers (Akhv. \Ic̣:e-we\i - \Ic̣:e-je,\i Cham. \Iṣe-w\i - \Iṣe-j,\i Gig. \Ic̣:e-w\i - \Ic̣:e-j\i).
1131|*ƛ̣:irV|1770|1 person of the same age 2 parent-in-law|ƛ̣:er-íla-w 1|||-ƛ̣:e 2|||-ƛ̣:er 2|||-ƛ̣:ur 2|    In Andian languages the root is used in compounds \I*ʔima-ƛ̣:ir\i 'father-in-law' (*'father-guest'), \I*ʔila-ƛ̣:ir\i 'mother-in-law' (*'mother-guest'): Akhv. \Iima-ƛ̣:e,\i \Iila-ƛ̣:e\i (Tseg. \Iima-ƛ̣:ur,\i \Iila-ƛ̣:or\i), Kar. \Iima-ƛ̣:er,\i \Iila-ƛ̣:er\i etc. A form -ƛ̣:eb is witnessed in The Ratlub dialect of Akhvakh (\Iime-ƛ̣:eb,\i \Iila-ƛ̣:eb\i): historically this is a plural form \I*-ƛ̣:ir-bi,\i corresponding to the PTs variant \I*ƛər-ba.\i     In Avar, besides \Iƛ̣:er-íla-w\i 'person of the same age' (*'companion') the root is used also in the kinship terminology: \Iw-aƛ̣:á-d\i 'father-in-law', \Ij-aƛ̣:á-d\i 'mother-in-law' ( < \I*u̲V-/jV-ƛ̣:er-dV\i with the historical adjectival suffix *-dV).
1132|*-iλ:V- / *-ixʷV-|1772|1 male 2 husband|bixín 1|bixína-b 1||beλ:o 1||hʷan-heḳʷa 2|||||    Akhv. -λ:- reflects an early variant with delabialisation of *-λ:ʷ- > *-λ:-, whereas in Av. and Tind. *-λ:ʷ- regularly changed to -x- (Tind. hʷ). The root was historically prefixless (cf. the Nakh data), so the Tindi form (\Ihʷan-\i < \I*ʔixʷV-n-\i) is probably the most archaic. Cf. also Av. Chad. \Ibexér\i (gen. \Iboxró-l\i) "penis".     Av. > Gin. \Ibikinaw\i 'male', Bezht. \Ibikinab\i 'male', \Ibikinči\i 'male' ( = Av. \Ibixín-či\i).
1133|*q̇:uč̣a (~q̇:ʷi-,-o)|1019|1 vagina 2 vagina (of a girl)|||||q̇:uč̣a 1|q̇:uč̣a 2|||||
1134|*burV-|1775|brown, dark|burí-ja-b||||||||||
1135|*c̣:iḳ:ʷV-|1779|sour|c̣:éḳa-b|c̣éḳa-b|c̣:iḳ:u|č̣:iḳ:u-da-|ṣiḳu-b|c:ik:u-b|c̣:iḳ:o-b|c̣:iḳ:u|c̣:iḳu-|c:ik:u|    For Avar the Av.-Rus. dictionary gives \Ic̣:eḳa-b\i (with ḳ), but Gudava (1964, 105) writes \Ic̣:eḳ:a-b;\i the variant with weak -ḳ- may be due to dissimilation. Unclear is č̣:- in Akhvakh (all other languages uniformly point to *c̣:-).
1136|*His:inV-|646|small|ʕis:ína-b|ʕesína-b|||||||||
1137|*q̇:ʷara- ( ~ o)|675|narrow, cramped|q̇:ʷarí-da-b|q̇aq̇ára-b||q̇:ʷara-da-|q̇:ora- (Gig.)|q̇:ʷara-|q̇:ora-||||    The Av. Chad. form is reduplicated; we can probably relate here (withloss of -r-) also Av. \Iq̇:óq̇:a-b,\i Chad. \Iq̇uq̇a-b\i 'short'.
1138|*č̣:idir-|1781|narrow|č̣:edéra-b||č̣:iṭir|c̣:ede-da|c̣:idir (Gig.)||č̣:edero-|č̣:idiro-||č:idir|    Cf. also Akhv. Ratl. \Ic̣:ider-da-.\i
1139|*ʁʷomV- ( ~ -a-)|1782|1 dense 2 to be dense|ʁun-k- 2|ʁúnka-ra-b 1|||||ʁʷamo-b||||    A secondary "stem I" with class prefixation is represented in Kar. Tok. \I-eʁu-b\i 'dense'. The Av. form has a suffixed -k-.
1140|*HVƛ̣V-|1783|wide, spacious|ʕaṭí-da-b|ʕaṭí-da-b|||||||||    Cf. Av. Keg. \Iʕillid-\i 'wide' (pointing to *-ƛ̣- in Proto-Avar). Av. > Akhv. \Iʕaṭida\i id.
1141|*=ic:V-|1784|thick|=ic:á-ta-|=icá-da-|||||||||
1142|*č̣:VrV- ( ~ c̣:-)|1785|thick||||c̣:are-da-|||||||    Attested only in Akhvakh, thus the precise PA reconstruction is uncertain. Historically this is either a metathesis ( < \I*r-Vč̣:V-\i), or an adjectival reduction < \I*-Vč̣:V-rV.\i
1143|*=iš:-|1786|1 fat 2 thick|||||=es:a- 1||=eš:a- 1|||=iš:i 2|
1144|*hinc̣:V- ( ~ ħ-)|1787|naked, bare|ʕíc̣:a-b|ʕíc̣-gu-jab|||ṣin-ḳura|hinc:u-raꭓ:u-b|||||    Cf. also Cham. Gig. \Ic̣:in-č̣aq̇:ulda\i 'naked'. In Tind. and Cham. the root \I*hinc̣:V-\i is provided by expressive suffixes. [In Cham. Gig. \I-č̣aq̇:ul-da\i may be a remnant of another root, possibly reflected (with distortions) in Darg. \Ič̣aInḳ(u)-si\i and Lak. \Iḳač̣a-s:a\i 'naked'; cf. also Akhv. (cited from Khaid., thus not very reliable), \Iq̇:uč̣a\i 'naked'.]
1145|*=iṭʷ- / *ṭʷi(r)-|1790|1 to pour 2 to drop, drip, flow|ṭe- 1|||=eṭʷ- 2|ṭe-d- 2||ṭor- 2||||    Stem I is reflected in Akhv. (\I=eṭʷ-\i), stem II (sometimes with a -r-suffix) in other languages (it also occurs in Akhvakh dialects: Tseg., Ratl. \Iṭor-\i 'to drop, drip'). There also exists a reduplicated stem \I*ṭʷVṭʷ-\i > Tind. \Iṭoṭ-\i 'to drop, drip', Cham. \Iṭeṭi-d-\i id., Kar. \Iṭʷaṭʷa-r-\i 'to drip, flow'.
1146|*λ:imV-|1792|liquid|ƛ:amí-ja-b|ƛamá-ja-b|λ:emi|λ:eme-da-|||||||
1147|*=aλ- ( ~ -o-, -ƛ-)|1793|1 to become liquid (after shaking) 2 to rain|=iλ- 1||||||=aλ- 2||||    Cf. also (with reduplication) Av. \Iλaλá-\i 'to water, sprinkle'.
1148|*hanq̇:- / *q̇:in-|1795|1 thirst 2 to be thirsty 3 greedy|q̇:eč 1||q̇:inni-b 3|ãq̇:ež- 2|hãḳaze 1|hanq̇:až- 2|hanq̇:ež- 2|q̇:in-da- 3||q̇:ini-bu 3|    Most languages reflect stem I \I*hanq̇:-\i (~ -o-) with expressive suffixes *-ž-/*-č- (Av. \Iq̇:eč,\i \Iq̇:ečé-ze\i is contracted < \I*HVnq̇:e-č-;\i -ḳ- in Cham. is irregular, possibly a misspelling). Cf. also Akhv. Tseg., Tlan. \Iaq̇:ač-,\i Kar. Tok. \Ihinq̇:iš:-\i (with yet another expressive suffix, probably also present in a reduplicated form: God. \Iq̇:inq̇:iš:i\i 'miser, greedy man').     Stem II \I*q̇:in-\i is reflected in And., Botl. and God. with the meaning 'greedy' (for the semantics cf. Russ. \Iжажда\i - \Iжадный\i et al.).
1149|*=aλ:(ʷ)Vn-|1797|1 to be similar, resemble 2 similar|réƛ:-in- 1|reƛá-ra-b 2|a=λ:in 2|ẽλ:e-da 2|=aλ:una-b 2|=aλ:ũ-b 2|=aλ:an- 1||||    Av. > Bezht. Khosh. \I=eλarab,\i Gunz. \Ireλarab\i (this is either a loan from an Avar dialect with the change ƛ: > λ:, or else a mixture of Av. \Ireƛ:arab\i 'similar' with the genuine \I*=ẽλer-u\i q.v.).
1150|*=ic:u-|1799|1 blind 2 dark|=éc:a-b 1|b-éca-b 1||=ec:o-da 1,2||=ec:u-b 1|||||    Cf. also Akhv. Tseg., Tlan. \I=ec:a-,\i Ratl. \I=ec:o-da-\i 'dark'. Tind. > Inkh. \Ibeccʷe\i 'blind'; Av. > Gin. \Ibeccaw,\i Arch. \Ibecu,\i \Ibes-du\i ( < \Ibec-t:u\i) id. A somewhat earlier loan from an Av.-And. source is PGB \I*bəc-du\i (-dĳu) 'blind' (Bezht. \Ibocdĳo,\i Gunz. \Ibəcdu\i).
1151|*=iq̇:ʷV-|1800|thick (of liquids)|=aq̇:ʷá (adv.)||=eq̇:u-|=eq̇:ʷa-da|=eq̇:u-|=eq̇:u-||||=eq̇:u-|    In Av.-And. the root is homonymous with \I*=iq̇:ʷV-\i 'to dry, dry'. There are, however, minor differences: Akhv. \I=uq̇:a-da\i 'dry' vs. \I=eq̇:ʷa-da\i 'thick'; Cham. \Iq̇:ʷā-\i 'thick' (coexisting with \I=eq̇:u-\i 'thick, dry' and reflecting stem II \I*q̇:ʷV-\i). Historically they are different, and their merger in PA is explained by the merger of *ä̆ and *ĭ.
1152|*čora-|1801|fat, thick|||čora|čara-da|||čora- (Tok.)||||
1153|*q:ubV-|1071|dirty|q:úba-||q:ubi||q:ubu-|q:ū-|q:ubo-||||    Av. > Inkh. \Iquba-,\i Gin. \Iqubaw.\i
1154|*q̇ʷonč̣V-|1802|crooked, curved|||Gʷonč̣i-l||||||||    Attested only in Andian, but having probable Lezghian parallels.
1155|*gur- (/*gʷil-)|224|1 to wrap, fold 2 to bend|gur- 1||gel-d- 2||gur-id- 1|gur-ĳ- 1|gur- 2||||    Andian forms (except Andian proper) can also be borrowed from Avar. Av. > Arch. \Iguri as\i 'to wrap, swaddle'.
1156|*č̣iloḳʷV-|1381|bent|||č̣iloḳur||||||||    Probably an expressive transformation of \I*č̣iḳʷV-lV(-r\i). Cf. also \Ič̣iloḳur idu\i 'to bend' (a compound verb).
1157|*q̇:ul-|296|to bend, incline|q̇:ul-||q̇:ul-un-||q̇:ul-id-|q̇:ul-ĳ-|||||
1158|*=iṭ-|796|1 straight 2 right, correct|=íṭ-ara= 1|bíṭa-ra= 1|=iṭi 2|=iṭa-da 1|=iṭi-dda 1|=iṭ-ĳu= 1|=iṭo= 1||||    The stem is actually verbal, cf. Av. \I=iṭ-\i 'to straighten, become straight', and forms meaning 'straight' or 'correct' are participial or deverbal. Cf. also Kar. Tok. \I=iṭu-bal,\i Tind. \I=iṭu-\i 'right (of direction)', Tind. \I=iṭiʁ-\i 'to stand upright' (a compound with \I-iʁ-\i 'to stand'). Av. > Bezht. \Ibiṭarab,\i Inkh. \Ibiṭṭura-.\i
1159|*hanč̣:i-|1804|right|||hanč̣:il|ʕãc̣:i-ƛ:i|hãṣi-ṣaƛ:||||hãṣ̌:el (Leks)||    Cf. also Akhv. Ratl. \Ianc̣:i-ƛ:as,\i Cham. Gig. \Ihanc̣i-raƛ:.\i
1160|*kač̣V-|1805|left|||kač̣i-l||||||||    Attested only in Akhvakh, but having probable Tsezian parallels.
1161|*ʔanƛ:V- ( ~ -o-)|1806|left||||||anƛ:i-ƛ:a-s:a|||||    Attested only in Tindi, but having probable external parallels.
1162|*q̇:ʷanḳa- ( ~ o)|1810|1 hard 2 to harden|q̇:ʷaḳ- 2|||q̇:ʷãḳe-da- 1|q̇:ʷaḳi-dda 1|ḳaḳa-ṭu- 1|q̇:ʷanḳo- 1||||    In Tindi there occurred an assimilation (\Iḳaḳa-\i < \I*q̇:ʷaḳa-\i). Cf. also Kar. \Iq̇:ʷanḳ-\i 'to harden'. A remnant of a non-reduplicated form may be Akhv. \Iq̇:a-re-da-\i 'hard' (used as a synonym of \Iq̇:ʷãḳe-da-\i).
1163|*ƛ̣:ʷarV- ( ~ -o-)|1811|1 hard, firm; severe, cruel 2 quick, swift|ƛ̣:ʷára-ra-b 1||||ƛ̣:ʷari-dda 2||||||    Both forms are morphologically deverbal: cf. Av. \Iƛ̣:ʷar-\i 'to harden, become severe' (in Cham. the verbal stem is not attested).
1164|*=iqor-|1812|1 old (of a person) 2 old (gener.)|ꭓéra- 2|=oꭓór- 2|=oꭓor 1|=aqaro-λa-da- 1|=eꭓa-λidda 1|=eꭓara- 1|=eꭓaro- 1|=aꭓara- 1|=aharu- 1|=aꭓar 1|    Cf. also Akhv. Tseg., Tlan. \I=aꭓara-λa-,\i Ratl. \I=aqara-λa-da-,\i Cham. Gig. \I=aꭓar,\i Kar. Tok. \I=iharu-.\i Irregular is -ꭓ- in Av. Chad. (under literary influence?).
1165|*kirV-|1813|1 lame 2 to limp||||kire-da- 1|||ker- 2||||
1166|*gʷačV- ( ~ -o-)|1815|lean||||||kʷača-|gʷača- (Anch.)||||    Tindi and Kar. proper have forms with assimilation (*gʷ- > kʷ-). Cf. also Tind. \Ikʷač-\i 'to become lean'. Tind. > Inkh. \Ikʷačču\i id.
1167|*c̣inλV- ( ~ -ƛ-)|1817|fat||||||c̣inλu-|||||    Attested only in Tindi, with probable parallels in Dargwa. Tindi > Inkh. \Ic̣iniλλu\i id.
1168|*=uq̇u-|2319|four|unq̇:o|uʕ-gu|=oGo-gu|=oq̇o-da|=oʔu-da|=oʔo-ja|=oʔo-da|=uʁu-da|=ō-ra|=uʔu-da|    Av. \Iunq̇:o\i < \I*ʔunq̇-go\i (cf. the Chad. form).
1169|*ʔinš:-tu-|2320|five|š:ú-go|sú-gu|inšdu-gu|ĩš:tu-da-|ĩs:u-da|inš:tu-ja|inš:tu-da|ištu-da|inštu-ra|inš:t:u-da|    PA \I*ʔinš:tu-\i 'five' was modified from a form like \I*š:i-du-\i (with a suffixed *-du-) under the influence of \I*ʔinƛ:i-\i 'six' (q.v.) (a well known phenomenon of mutual adaptations of close numerals).
1170|*ʔinƛ:i-|2321|six|ánƛ:-go|ánƛ-gu|onƛ:i-gu|ĩƛ:i-da-|anƛ:i-da|inƛ:i-ja|inƛ:i-da|inƛ:i-da|inλ:i-ra|inƛ:i-da|    Cf. also Akhv. Ratl. \Iinƛ:i,\i Bagv. Tlis. \Iinƛ:i-da.\i In some languages the vowel was modified under the influence of the numeral "seven": Av. \Ianƛ:-\i (cf. \Ianƛ̣:-\i 'seven'); And. \Ionƛ:i-\i (cf. \Ihoƛ̣:u-\i 'seven'); Cham. \Ianƛ:i-\i (cf. \Iaƛ̣:u-\i 'seven').
1171|*hoƛ̣:u-|2322|seven|ánƛ̣:-go|ánƛ̣-gu|hoƛ̣:u-gu|aƛ̣:u-da-|aƛ̣:u-da-|haƛ̣:u-ja|haƛ̣:u-da|haƛ̣:u-da|haƛ̣:u-da|haƛ̣:u-da|    In Avar -n- is secondary (due to the influence of \Ianƛ:-go\i 'six'). Cf. also Akhv. Ratl. \Iaƛ̣:u,\i Cham. Gig. \Ihaƛ̣:u-da.\i
1172|*ho(b)č̣ʷo-|2324|nine|íč̣-go|íč̣-gu|hoč̣o-gu|aṗa-da|ač̣a-da|hač̣ʷa-ja|hač̣a-da|hač̣a-da|hač̣a-ra|hač̣a-da|    Cf. also Akhv. Tseg. \Iabč̣a-da,\i Ratl. \Iabč̣ʷa\i (in Northern Akhvakh there occurred a very unique development -bč̣ʷ- > -ṗ-), Cham. Gig. \Ihač̣a-da,\i Kar. Tok. \Ihač̣ʷa,\i Bagv. Tlis. \Ihač̣ʷa-da,\i Tlond. \Ihač̣ʷa-ra.\i
1173|*hoc̣o-|2325|ten|ánc̣-go|ánč̣-gu|hoc̣o-gu|ač̣a-da|ac̣a-da|hac̣a-ja|hac̣a-da||||    In Cham. the numeral can be also pronounced emphatically: \Iac̣c̣a-da;\i cf. also Gig. \Ihazza-da.\i
1174|*q̇:V-|2326|twenty|q̇:ó-go|q̇ó-gu|||||||||
1175|*bišo-nV|2327|hundred|nús-go|núš-gu|bešono-gu|bešano-da|behan-na|behan-da|bešan-(da)|bešunu-da|bešani-da|bešenu-da|    Cf. also Cham. Gig. \Ibešan-da,\i Kar. Tok. \Ibexan,\i Bagv. Tlond. \Ibešen.\i The Avar form \Inus\i < \I*bVns\i < \I*bišVnV-\i (cf. Andian forms). An old Andian loanword is PTsKh \I*bešon\i (Tsez., Gin. \Ibišon,\i Khvarsh., Inkh. \Ibešon\i).         [Gunz., Bezht. \Ič̣iṭ\i 'hundred' is a curious case. It is obviously the result of folk-etymological analysis of Avar \Inus\i 'hundred' as 'knife' (in Avar there exists a homonymous \Inus\i 'knife' - of course, quite different etymologically). Since the Gunzib/Bezhta word for 'knife' is \Ič̣iṭ,\i it obtained the additional meaning 'hundred' under Avar influence.]
1176|*b-iš:- / *ʔuš:-|2289|you (2d p. plur.)|nuž|muž|bis:i-l|uš-ti / uš-di|biti|bis:a|bišdi|bišti|bišti|bitte|    Andian languages reflect a complex stem \I*b-iš:-di-\i (or \I*b-iš:-ti-\i), with exceptional development of the medial cluster *-š:d-. The stem is originally oblique ( < PEC \I*w-iźwV-\i with a class marker; cf. also Akhv. \Iušdi\i < \I*u̲-iźwV-\i with another class prefix), and the morpheme *-di- most probably reflects the PEC attributive suffix *-dV.
1177|*du-|2290|thou (obl. base)|du-|du-|du-|du-|du-|du-|du-|du-|du-|du-|    The stem \I*du-\i is used in Av.-And. languages in all cases except nominative and ergative (where \I*mi-n,\i Av. \Imu-n\i is used; Avar uses \Idu-\i also in ergative, having thus restricted \Imun\i to the nominative case).
1178|*ʔin-|2292|(one)self||ji|en-|ĩ-|in- / ĩ-|e-a, ĩ-|||||    The stem is sometimes used as direct (Av. Chad. \Iji,\i cf. obl. \Ijine-\i), Tind. \Ie-a\i (obl. \Iẽ-/ĩ-\i), but most usually as the oblique stem for PA \I*ži-\i q.v.
1179|*ʔanča- ( ~ o)|1818|rare, few||||ãča-da-|||||||    Cf. also Akhv. Tseg. \Iẽče-da-\i id. Isolated in Akhv., with a possible Darg. parallel.
1180|*c̣:Vq̇:V|1820|very, strongly|c̣aq̇:|c̣aq̇|||||||||    The lit. Av. form is dissimilated < \I*c̣:aq̇:\i (weak *c̣ would give č̣ in Chad.). Av. \Ic̣aq̇:\i > Cham. \Ic̣aq̇:,\i Inkh., Gin., Bezht., Gunz. \Ic̣aq̇.\i Tsez. \Ic̣aq̇-tow\i 'very'.
1181|*ꭓ:iꭓ:V-|1821|1 quick, swift 2 quickly|ꭓ:éꭓ:a-b|ꭓeꭓ 2|ꭓ:eꭓ:i 2|ꭓ:eꭓ:i-λe 2|ꭓ:iꭓ:u- 1||||||    Cf. also Cham. Gig. \Iꭓ:eꭓ:a\i 'quickly'. Av. > Bezht., Gunz. \Iꭓeꭓab\i 'quick'; Cham. (cf. Cham. \Iꭓ:ĩꭓ:ʷ-λi\i 'quickly') > Inkh. \Iꭓeꭓiλin\i 'quickly'.
1182|*ʔin-ħaħV-|1822|slow||||ĩhãhime|||||||    Cf. also Akhv. Tseg. \Iiho-,\i Tlan. \Iĩhaho-,\i Ratl. \Iihʷa-.\i The word reflects a prothetic \I*ʔin-,\i often present in PA before *ħ-.     In Avar there is an adverb \Iħála-ƛ:\i / \Iħáli-c:a\i / \Iħáli-q:e\i 'slowly, with effort' - which may reflect the same EC root; but synchronically it is now reinterpreted as a form from \Iħal\i 'state of things; effort, power' ( < Arab. \Iħāl\i). The Avar form has penetrated into many nearby languages (cf. Cham. \Ihali-baꭓa,\i Tind. \Ihaljoꭓa\i / \Ihajloꭓa\i > Inkh. \Ihalĳaꭓin\i 'slowly', Lak. \Iħalliꭓ-s:a,\i Khosr. \IhaIlliꭓ\i id.).
1183|*-ƛ̣:i|2242|locative suffix (series Sub)|-ƛ̣:||-ƛ̣:i|-ƛ̣:|-ƛ̣:i|-ƛ̣:i|-ƛ̣:i|-ƛ̣:i|-ƛ̣:i|-ƛ̣:i|
1184|*s:i-|2235|in front, before|c:e-bé|ce-ꭓ|s:e-du|s:i-gi|s:ī̃|s:e-ri|s:i-gi|s:e-ʔa|s:e-|s:e-ba|    Cf. also Kar. Tok. \Is:e,\i L.-Enkh. \Is:i\i (representing the pure root), Cham. Gig. \Is:e-q,\i \Is:e-ꭓa.\i
1185|*=iꭓV|1395|behind, in the back|||=eꭓu-du|||ꭓe-ri|||||
1186|*-Vq:(i)|2237|1 behind 2 locative suffix (series Ad)|náq:a 1, -q: 2; -q:-an denom. profess.|maq 1|-q:- 2|-q:- 2|-eq:e 1, -q:- 2|-q: 2|-q: 2|-q:- 2||-q:i 2|    The initial nasal in Av. (n- or m- in different dialects) is not quite clear etymologically. The original meaning of the morpheme ('behind') is preserved when it functions as an adverb; but as a locative suffix it had early (as early as Proto-Av.-And.) merged with another morpheme, PEC \I*-q̲̇V\i (q.v.) and thus acquired a new meaning 'at, by, close to'. In most Andian languages this meaning is preserved until now (only in And. proper the meaning of \I-q:i\i changed: it is now confined to the plural inessive \I/haq̇:o-ba-q:i\i 'in the houses'/, and in singular is used to denote an object of verba dicendi or an inanimate ergative). The merging of \I*-q:i\i and the hypothetic \I*-q̇:i\i ( < \I*-q̲̇V\i) was possible because of the phonetic affinity of the morphemes, but also because \I*-q:i\i must have also had an early additional possessive meaning ('at, by someone or smth.'), which is characteristic for most Andian languages and is observed also in the Lezgian counterpart \I*-q(a\i).     Av. (cf. dialectal forms like Chad. \Imaq\i) > Lak. \Imaq,\i \Imaqa\i 'behind'; Arch. \Inaqa\i 'back (of head)'.
1187|*λʷV-b-|64|to fall, scatter||||λob-ej- (Tlan.)|||||||    Attested only in Akhv. (reflecting stem II \I*λʷV-\i), but having probable externall parallels.
1188|*ʔi|1824|to be (auxiliary verb)|||i|g-i-di|i-da|i-ja||i-ra|i-da||    In most Andian languages this auxiliary verb is prefixless; the only exception is Akhvakh, where class markers are inserted between g- and the root (1st cl. \Igudi,\i 2d class \Igidi\i etc.).
1189|*-ih-|1826|to do, to make|ha=í-|hubú-|ih-|g-u-|ih-|ih-|g-ah-|||ĩh-|    Cf. also Kar. Tok. \Ig-ih-.\i Av. reflects stem II (\I*hV-\i); Andian languages - stem I (\I*ʔih-,\i sometimes with a preverb *g-). In Akhvakh the root consonant was regularly lost (\Ig-u-r-uƛa\i < \I*g-ih-ur-uƛa\i).     The same stem with changing class prefixes is used in Av.-Andian languages to denote 'to become; to be(come) able': cf. Av. \I=eh-\i 'to be(come) possible', Chad. \I=eh-\i 'to become; to be able', And. \I=hi-l-d-\i 'to be able', Cham. \I=ehi-d-,\i Tind. \I=eh-,\i Kar. \Ig-ĳṼ-\i (Tok. \Ig-ĩh-\i) id.
1190|*=ik:ʷ-|1845|to hold, catch|k:ʷe-|xʷe-|=ič:-|=ix-|=ic-|=ix́:-|=ik:-|||=ik:-|    Cf. also Kar. Tok. \I=ux:-ah-\i id. There are two homonyms in PA: \I*=ik:ʷ-\i 'to hold, catch' and \I*=ik:ʷ-\i 'to get into, to happen': as seen from And. and Cham. reflexes (\I=ič:-\i vs. \I=uk:-\i and \I=uk-\i vs. \I=ic-\i) they were distinguished by the quality of the second vowel (which generally we are still unable to reconstruct).
1191|*=ik:ʷ-|1830|1 to get into 2 to happen 3 to fall|k:e- 1,2|xe(l)- 1,2|=uk:- 1,3||=uk- 1,3|=ux:- 1|=ek:ʷ- (Anch.)3||||    Avar reflects stem II (\I*k:ʷV-\i), Andian languages - stem I (\I*=ik:ʷ-\i). A stem with Ablaut (\I*=ak:ʷ-\i) is reflected in Cham. and Tind. in plural (Cham. plur. \I=ak-ur-,\i Tind. plur. \I=ax:-;\i cf. perhaps also And. \I=ok:-/=ek:-\i 'to stay').
1192|*=Vk-(Vr)-|1831|to run|=ek-ér-|=ekér-|||||||||    With another suffix cf. perhaps And. \Ika-b-d-\i 'to enter' (?).
1193|*=VH-|1833|1 to pass over, transfer 2 to come|=eh- 1,2|=eh- 2|||||||||    With the meaning 'come' the root is used in imperative (Av. \I=eha,\i Chad. \I=ehi\i). In Av. Chad. cf. perhaps also \Irehé-\i 'to pass through'.
1194|*-VHVn-|1834|to get lost, disappear|ṭáʕn-|ṭáʕn-|||||||||    The initial ṭ- is either an expressive preverb, or a remnant of another verbal root (cf. And. \I=iṭ-\i 'to get lost'); the whole form may in that case reflect a contraction of a historical compound.
1195|*golV ( ~ -a-)|1835|thief||||||ǵala||||ǵali|
1196|*=iq̇:-|1836|1 to hide, to conceal 2 to steal|=iq̇:- 2|=iq̇- 1,2|=eq̇:aš:- 1,2||=eq̇:as:- 1 (Gig.)|=aq:aš- 1,2|=eq̇:eš:- 2|||=aq̇:aš:- 2|    All Andian languages reflect a stem \I*=iq̇:-aš:-\i with an expressive suffix. The Avar parallel for it (with an irregular correspondence in the suffix) is \Iq̇:osn-\i 'to get lost, go astray'.
