"NUMBER","PROTO","PRNUM","MEANING","CEZ","GIN","KHV","INH","BZT","GNZ","COMMENT"
796,"*=ɨ̃ṭ-",1693,"1 to drop, drip 2 drop","eṭ- 1 (Radzhibov)","muṭ 2","muṭ 2 (Radzhibov)","mɨṭ 2","=õṭ- 1 (tlad.)",,"    PTsKh \I*mɨṭ\i (a deverbal noun < \I*b-ɨ̃ṭ,\i cf. the verbal root preserved in Tsez.). Another derivate of the same root (with Ablaut) is PTsKh \I*ʔãṭV-\i 'wet' > Tsez. \Iaṭju,\i Gin. \Iaṭṭu,\i Inkh. \Iaṭamu\i ( < \I*ʔaṭṼju\i)."
797,"*ḳaḳa",1075,"1 freckle 2 drop",,,,,"ḳäḳä 1,2","ḳaḳa 2","    PGB \I*ḳaḳa\i (cf. also Bezht. Tlad. \Iḳaḳa\i 'drop, freckle')."
798,"*ꭓ:ɨda",1694,"dew, hoar-frost",,,,,"ꭓida","ꭓɨda","    PGB \I*ꭓɨda.\i"
799,"*ʔẽsə",1697,"snow","isi","iše","ĩsa","ẽso","õz","ə̃z","    PTsKh \I*ʔẽsə;\i PGB \I*ʔə̃z\i (cf. also Bezht. Tlad. \Iõz,\i Khosh. \Ioz\i). PGB \I*ʔə̃z\i is probably an analogical building from the oblique base \I*ʔə̃zi-,\i built with Ablaut (a regular correspondence for PTsKh *ẽ would be PGB *ẽ)."
800,"*ʔãzV ( ~ -z:-)",1700,"hoar-frost","az-q̇a","az-q̇a","ac̣q̇a (Radzhibov)","az-q̇a","ãzo (Tlad.)","ãza (G.)","    PTsKh \I*ʔaz-q̇a\i (a compound with an unclear second component); PGB \I*ʔãzV\i (cf. also Bezht. Khosh. \Iazora\i)."
801,"*b[ɔ]lV",1742,"ice","bero","bore","belo","bolo","bolo",,"    PTsKh *boRe / *beRo. Note that the Gunz. form bore, listed by Bokaryov (BC), does not exist (it is certainly the Ginukh form; the Gunzib for ""ice"" is žara)."
802,"*mus: A",1705,"1 smoke above fire (with soot) 2 cloud, fog",,"as-mus 2",,,"mus 1","has-mus 2","    PGB \I*mus.\i The PTs compound \I*ħas:-mus:\i 'cloud'+'smoke' is reflected in Gin., Gunz. and Bezht. (Tlad., Khosh. \Ihas-mus\i 'cloud, fog')."
803,"*ꭓɨṭV ( ~ ʁ:-)",1706,"mould",,,,,,"ʁɨṭo (Gunz.)","    Attested only in Gunz., but having probable external parallels."
804,"*č̣ič̣a ( ~ -ɨ-,-ə-)",1684,"ashes, burnt coal-pieces",,"č̣eč̣a",,,,,"    Attested only in Gin., but having probable external parallels."
805,"*kʷã",1707,"torch","kʷa",,"kʷa (Radzhibov)",,"kã","kã","    PTsKh \I*kʷa;\i PGB \I*kã\i (obl. base \I*kana-\i > Bezht., Gunz. \Ikana-\i)."
806,"*riš(:)V (~l-,ɨ,u)",1708,"sun ray","reša (Imnaishvili)",,,,,,"    Attested only in Tsez., but having probable external parallels."
807,"*s:ɨbə(rV) A",1709,"autumn","sebi","sebe","seba","sɨbo","sibowa","sɨbər","    PTsKh \I*sɨbə;\i PGB \I*sɨbər(a\i) (cf. also Bezht. Tlad., Khosh. \Isibora\i). The final *-rV was probably reinterpreted in PTsKh as an obl. stem marker, and dropped."
808,"*qu ( ~ *qo)",1713,"today","ža-qIu-λ","ži-qu","že-qu-λ (Radzhibov)","je-qu-λ",,,"    PTsKh \I*qu\i (present only in compounds meaning 'today')."
809,"*ʁ:ʷədə",1714,"1 day 2 tomorrow","ʁudi 1, ʁude 2","ʁʷede 1","ʁʷade (Radzhibov)","ʁode 2","wodo 1","wədə 1","    PTsKh \I*ʁʷədə;\i PGB \I*wədə.\i The root is homonymic with PTs \I*ʁ:ʷədə\i 'rain' (q.v.), which is most probably accidental (cf. different parallels in Laki)."
810,"*ž:e A",1717,"1 now 2 today","ža-qIuλ 2","ži-qu 2","že-qu-λ (Radzhibov)",,"že-nsa (Khosh.) 2","že 1","    PTsKh \I*že-qu\i (for the second part see PTs \I*qu\i); PGB \I*že.\i Cf. also another PTs derivate: \I*ž:e-n(ɔ)\i ""and now"" > Tsez. \Ižin,\i Gin. \Ižin\i ""again, once more"", Bezht. \Ižena,\i Gunz. \Ižen\i ""still, once more""."
811,"*hin-čV",1718,"today",,,,,,"hinčo-d","    Attested only in Gunz., but having probable external parallels."
812,"*zekV B ( ~ -ɨ-)",1719,"1 tomorrow 2 day after tomorrow","ziko 2 (Kid.)","zek 1",,,,,"    PTsKh \I*zək(o\i)."
813,"*ħɔz:ʷ B",1720,"troops, army","oz","üz","ezʷ","ez","haz","haz","    PTsKh \I*ʔözʷ;\i PGB \I*haz\i (*-a- is not quite regular here: one would expect PGB \I*hɔz\i and Gunz. \Ihɔz\i). The PTs form is originally an oblique base \I*ħɔ(r)-z:ʷV-,\i early reinterpreted as the direct one (cf. analogous cases in words for 'eye' and 'bone' - all of the direct bases ending in PTs *-r)."
814,"*q̇ʷɨq̇V-l ( ~ *q̇o-)",1721,"crowd",,,,,,"q̇oq̇ol","    Attested only in Gunz., but having probable external parallels."
815,"*-ɔL",133,"to be (auxiliary verb)","joλ","goλa","goλe","goli","gäλi (Khosh.)","li / lo","    The verb occurs either with a preverb (\I*g-ɔL\i) or without it (in this case sometimes with initial reduction: Gunz. \Ili\i / \Ilo\i). In Bezhta the Khosh. form (\Igäλi\i) is regular; other dialects reveal irregular transformations (Bezht. proper \Igej,\i Tlad. \Igel\i).     The same root with Ablaut is used in PGB with the meaning 'to finish': PGB \I*=oL-\i > Bezht. Tlad. \I=oλ-,\i Gunz. \I=ol-.\i     The original meaning of the verb had been 'to lie, to (be) put' - as seen both from the external evidence and from the old derived noun \I*r-ɨLə\i A 'sheath, scabbard': PTsKh \I*Rɨ̃Lə\i ( < \I*RɨLə-n\i) > Tsez. \Ireλo\i / \Ireλi,\i Inkh. \Inɨno;\i PGB \I*rɨLə\i (Bezht. \Iiλo,\i Khosh., Tlad. \Iriλo,\i Gunz. \Irɨlə\i)."
816,"*buƛ̣V",1722,"handle",,,"biƛ̣a (Radzhibov)","bɨƛ̣a","buƛ̣o","buƛ̣u","    PTsKh \I*b[ɨ]ƛ̣a;\i PGB \I*buƛ̣u.\i In PTsKh. -ɨ- is probably < *-u- by dissimilation."
817,"*ʔə̃ꭓ:V",1056,"wound",,,"ãꭓʷa (Leksika)","oꭓo","õꭓo (Tlad.)","ə̃ꭓu","    PGB \I*ʔə̃ꭓu\i (cf. also Khosh. \Ioꭓo\i ""festering wound""); PTsKh \I*ʔə̃ꭓʷə\i (with a secondary labialisation)."
818,"*laq",1724,"wound","raqI","laq",,,"laq",,"    PTsKh \I*RaIq.\i Cf. also Bezht. Khosh. \Iläq.\i"
819,"*=iš:ʷ-",1725,"to break, be broken","=ešu-λ- (radzhibov)",,"k-ušej-λ- (Radzhibov)",,"=iš- (tlad.)","=iš-","    PTsKh \I*=išʷ-;\i PGB \I*=iš-\i (cf. also Bezht. Khosh. \I=iš-,\i and causative counterparts: Bezht. Tlad., Khosh. \I=iš-el-,\i Gunz. \I=iš-ḳ-\i 'to break')."
820,"*=aꭓ:- ( ~ -ʁ-)",1727,"to break, burst",,,,,"=äꭓ- (khosh.)","=aꭓ-","    PGB \I*=aꭓ-\i (cf. also Bezht. Tlad. \I=äꭓ-\i)."
821,"*ʔ[ə̃]šV",1728,"sign, target; mark (on sheep's ear)",,,"aše (Radzhibov)","ãše","ãž","ə̃ž","    PTsKh \I*ʔãše;\i PGB \I*ʔ[ə̃]ž\i (in Gunz. Bokarev writes \Iʔə̃ž,\i but the MSU recording is \Iẽž;\i the former is probably more correct, but still the vocalic correspondence is aberrant)."
822,"*roƛ̣ A",1731,"cubit","ruIƛ̣ (Imnaishvili)",,"ruƛ̣ (Radzhibov)",,"roƛ̣ (Tlad.)",,"    PTsKh \I*ruƛ̣.\i Cf. also Bezht. Khosh. \Iroƛ̣\i id."
823,"*ṭʷɨm(u)",1732,"span (between the thumb and the small finger)","ṭom","ṭemu","ṭom (Radzhibov)","ṭom","ṭimo (Khosh.)","ṭɨmu (G.)","    PTsKh \I*ṭʷɨm(u)\i ( ~ -ə-); PGB \I*ṭɨmu.\i Rabialisation in PTsKh (and in PTs) is reconstructed on basis of the specific vowel correspondence (Inkh., Tsez. o : Gin. e)."
824,"*lɔje ( ~ r-)",1733,"word, sound, voice",,,,"loje",,,"    Isolated in Inkh., with a possible Darg. parallel."
825,"*rɔže A ( ~ -ž:-)",1734,"word","roži","roži","loža",,"jaže","rɔže","    PTsKh \I*Rož[e];\i PGB \I*rɔže\i (cf. also Bezht. Khosh., Tlad. \Iräže\i)."
826,"*muʁ(:) ( ~ -o-)",1740,"tale",,,"muʁ",,,,"    Attested only in Khvarsh., but having probable external parallels."
827,"*ꭓɔ̃ A",1741,"oath","ħo","ho","hũ (Leksika)","hõ","hã","hɔ̃ / hɔ̃j","    PTsKh \I*ꭓ̥1̇õ.\i In PGB we would expect \I*ʁɔ̃:\i the Gunz. reflex is normal, but Bezht. should have ʁ-, so a loan in Bezht. from Gunz. or old Gin. (or, perhaps, an influence of Av. \Iha\i 'oath') is possible."
828,"*c̣u[d]ula",1746,"bride-groom, bride",,,,,,"c̣utula (Nakh.)","    Attested only in Gunz., with possible parallels in PL. Gunz. -t- is irregular (both PTs *-t- and *-d- should give Gunz. -d-); perhaps this is a trace of some early consonant cluster."
829,"*nuz(:)ʷV /m- B",1749,"1 husband 2 son-in-law","mezʷa 2",,,"muzo 2","nuzo 1",,"     PTsKh \I*muzʷV\i B."
830,"*ṗVz(:)Vḳ-/ḳVṗVz(:)-",1752,"whirligig, humming-top","ṗezeḳru",,,,"ḳamṗuz (Khosh.)","ḳamṗuz","    An extremely irregular expressive stem."
831,"*ʁ:ɨ̃-du",621,"shadow","ʁedu","ʁedu","ʁedu","ʁɨdu","hido-ci","hũdu-la","    PTsKh \I*ʁɨdu;\i PGB \I*hɨ̃du-\i (in Gunz. probably \Ihũdu-\i < \I*hɨ̃du-\i through vowel assimilation)."
832,"*ʔĳV",1758,"mother",,"ĳo",,,"ĳo","ĳu","    PGB \I*ʔĳu.\i It is not quite clear, whether we should also relate here Khvarsh., Inkh. \Iišu\i 'mother' ( < \I*ʔĳ-šu\i with an expressive suffix?)."
833,"*ʔinVju ( ~ -ɨ-)",1759,"mother","enju / enĳu",,,,,,"    Cf. also Tsez. \Ieni\i 'mummy'. The root is attested only in Tsez., but has probable external parallels."
834,"*ʔɨs: A (/*ʔɨs:Vju)",1760,"1 brother 2 sister","esĳu /esju 1,2","essu 1,2","es 1,2","ɨs 1,2","is 1, isi 2","ɨs 1,2","    PTsKh \I*ʔɨs\i / \I*ʔɨseju;\i PGB \I*ʔɨs\i / \I*ʔɨsi(j).\i In all modern Tsezian languages except Bezhta the stem denotes both 'brother' and 'sister' (the difference being only in agreement: 'brother' belongs to the 1st class, 'sister' - to the second). It is possible, however, that Bezht. preserves the old PTs opposition between \I*ʔɨs:\i 'brother' and \I*ʔɨs:Vju\i 'sister' (confused in all other languages).     The oblique stem of the word is well reconstructable for PTs as \I*ʔɨs:-ṭi-:\i Inkh. \Iɨsṭi-,\i Bezht. \Iisṭi-,\i Gunz. \Iɨsṭi-.\i"
835,"*q̇[ə]ra",1762,"child",,,"q̇ale","q̇ala","q̇owa","q̇əra","    PTsKh \I*q̇aRV;\i PGB \I*q̇əra\i (cf. also Bezht. Tlad., Khosh. \Iq̇ora\i). The vowel correspondence is irregular (one would expect -o- in Inkh.)."
836,"*ꭓ:ud- B",1765,"1 husband  2 male","ꭓedĳu /ꭓedju 1","ꭓoddo 1","ꭓindu (Radzhibov)","ꭓundu 1",,,"    PTsKh \I*ꭓu̲d-ĳu\i (Khvarsh. \Iꭓindu,\i Inkh. \Iꭓundu\i < (with dissimilation) < \Iꭓuddu\i < \I*ꭓu̲d-ĳu\i)."
837,"*ʔes:- (~ɨ,ə,o,ɔ)",1767,"male","is-lu",,,,,,"    Attested only in Tsez., but with probable external parallels."
838,"*q̇emaku",1768,"1 girl 2 girl (17-18 y. old)",,"q̇imaku 1",,,"q̇emako 2",,
839,"*ƛɨr (~ -e-,-ə-,-l)",1770,"guest","ƛirba","ƛerba","ƛar","ƛar",,,"    PTsKh \I*ƛər\i (with a variant \I*ƛər-ba\i - which is historically a plural form)."
840,"*če (?)",211,"stallion; male","gulu-či",,,,,,"    The root is attested only in Tsez., in a compound with \Igulu\i 'horse, stallion'. It may be a remnant of the EC root for 'horse'; however, it may also be a borrowed morpheme with the meaning 'man' ( < Av. \Iči\i)."
841,"*buꭓ:-ṭu ( ~ -ʁ-)",1154,"male",,,,,,"buꭓṭu","    Attested only in Gunz. (with a suffix -ṭu), but having probable external parallels."
842,"*belu A ( ~ -r-)",1773,"penis","bilu","bilu",,"belu",,,"    PTsKh \I*beRu.\i"
843,"*daƛ̣",1774,"penis",,,,,"daƛ̣ (Khosh.)","ṭaƛ̣","    PGB \I*daƛ̣\i (with assimilation d- > ṭ- in Gunz.; cf. also Bezht. Tlad. \Idaƛ̣\i)."
844,"*bɨṭV A ( ~ -i-)",879,"vagina","beṭi","beṭe",,,,,"    PTsKh \I*biṭə\i ( ~ -ɨ-)."
845,"*bɔš:ɔ",977,"vagina",,,,,,"bɔšɔ (G.)","    Isolated in Gunzib, with probable external parallels."
846,"*cɨmV",1776,"urine",,,,,"cima","cɨmo","    PGB \I*cɨmV.\i"
847,"*čača-lu",1778,"sour",,,,,"čäčälö (Khosh.)","čačalu (Gunz.)","    PGB \I*čača-lu\i (cf. also Bezht. Tlad. \Ičäčälö\i)."
848,"*c[ɨ]q- / *c[ɨ]q̇-",1779,"sour","ceq̇(i)ju","ceq̇q̇u","caqu","caqqu",,,"    PTsKh \I*c[ɨ]qV-ju\i / \I*c[ɨ]q̇V-ju.\i The vowel correspondence is irregular (unclear is -a- in Khvarsh. and Inkh.). The variation *q/*q̇ is rather typical for reflexes of PEC glottalized consonants in ""tense"" words."
849,"*nɨja- B",1228,"sweet","nĳa-w",,"ninu (Radzhibov)",,"nĳa-ro (Khosh.)","nĳa-ru (Gunz.)","    PTsKh \I*n[ə]j-\i (with differnt suffixes); PGB \I*nĳa-ru\i (cf. also Bezht. Tlad. \Inĳä-rö\i)."
850,"*nuš:-",646,"small",,,,,"nüšĳö (Khosh.)",,"    If Gunz. \Iĩše\i 'few, little' is related, we could reconstruct \I*ʔ[ĩ]š:-\i for PGB (with secondary metathesis of nasalisation in Bezht.); but the vowel correspondences are not clear."
851,"*q̇(ʷ)aq̇(ʷ)a-",675,"thin, emaciated",,,,,"q̇aq̇alo, q̇aq̇ač̣o",,"    The Bezht. forms are cited from Khaidakov 1973."
852,"*hũƛ̣- ( ~ ħ-)",1783,"wide, spacious",,,,,"hũƛ̣ƛ̣o (Tlad.)",,"    Attested only in Bezht. (cf. also Khosh. \Ihuƛ̣-ĳo\i), with a probable Avar parallel."
853,"*ʔič-",1785,"thick (of round objects)","=eči-ju / =ʕečču","ʕečču","=ičču","=ičču",,,"    PTsKh \I*ʔiči-ju/-nu.\i Class prefixation is probably secondary."
854,"*ʕaš:-",1786,"thick (of flat objects)","ʕašju","ʕaššu",,,"äšĳo (Khosh.)","aššu (Gunz.)","    PTsKh \I*ʕaš-ĳu;\i PGB \I*aš-ĳu\i (cf. also Bezht. Tlad. \Iʕäššö\i). With reduplication cf. perhaps also PGB \I*šeše-ru\i 'thick (of liquids), dense' (Bezht. Khosh. \Išeše-ro,\i Tlad. \Išeše-rö,\i Gunz. \Išeše-ru\i)."
855,"*ʔadV-ru",1788,"naked, bare","adoru","adaru",,,,,"    PTsKh \I*ʔadV-ru.\i"
856,"*ʔiṭʷ-",1790,"to pour","eṭʷ-",,"g-iṭ-",,"=oṭ- (khosh.)",,"    PTsKh \I*ʔiṭʷ-\i (or \I*g-iṭʷ-\i with a preverb)."
857,"*qajre",1794,"grey",,,"qajre","qajre",,,"    PTsKh \I*qajre.\i"
858,"*ʔãq-",1795,"to be thirsty","ač-aqI-",,,,,"ãq-","   The Tsez. form contains an expressive prefix."
859,"*=ẽλ:- B ( ~ -λ-)",1797,"similar, alike","=iλa-si","=eλ-iš","=aλ","=aλa-q̇u","=ẽλe-rö (tlad)",,"    PTsKh \I*=əλ(a\i)- (in Inkh. \I-aλa-\i instead of \I-oλa-\i through vocalic assimilation)."
860,"*q̇ɔq̇ɔr-",1798,"empty","q̇Ioq̇Ioru","q̇oq̇oru","q̇oq̇oru","q̇Ioq̇Ioru",,,"    PTsKh \I*q̇Ioq̇Ioru.\i"
861,"*sas- ( ~ s:)",1799,"dark","sasĳu",,"sajsu","sassu",,,"   PTsKh \I*sas-ĳu.\i"
862,"*=ɨqʷ- /*q(ʷ)ɨ-d-",1800,"thick (of liquids)","qedju",,,"=uqqiu",,,"    PTsKh \I*=ɨqʷV-ju\i ( > Inkh. \I=uqqIu\i) / \I*-(ɨ)qʷɨ-dĳu\i (with a productive adjectival suffix, > Tsez. \Iqedju\i)."
863,"*=uš:V- ( ~ -š-)",1801,"1 fat, thick 2 fat (of meat)","=ušš-ǟ-si 2",,"=ujša (radzhibov)",,"=öšerö (tlad.)","=ošeru","    PGB \I*=oše-ru\i (cf. also Bezht. Khosh. \I=öšö-rö\i); PTsKh \I*=uš-ĳu.\i"
864,"*=uḳ- (~ -o-)",1368,"1 to bend 2 curved, bent","uḳ- 1 (Radzhibov)",,"=uḳ-aꭓ- 1 (radzhibov)","=uḳale 2",,,"   PTsKh \I*=uḳ-.\i"
865,"*=ũq̇-",296,"to bend",,,,,"=ü̃q̇- (tlad.)","=ũq̇-","    PGB \I*=ũq̇-\i (cf. also Bezht. Khosh. \I=üq̇-\i)."
866,"*kʷeṭV-",796,"right (direct.)","kuṭ-jo-s","kʷeṭe-s",,"ḳʷeṭa-be","ḳeṭa-ƛ̣as (Khosh.)","ḳeṭā-s","    PTsKh \I*kʷeṭV-;\i PGB \I*ḳeṭa-\i (with locative suffixes). In PGB and Inkh. there occurred an assimilation (kʷ- > ḳʷ-). The stem is historically a compound of \I*kʷV-\i (oblique base of \I*kʷɨrV\i 'hand') + \I*-(i)ṭV-\i 'straight, right'."
867,"*-eλ:-",1803,"smooth, even",,,,,,"reλe-ru","    Attested only in Gunz., but having probable external parallels."
868,"*kʷ[e]č̣V-",1805,"left","keč̣o-s","koč̣o-miš","kʷeč̣a-we","kʷeč̣a-be",,,"    PTsKh \I*kʷ[e]č̣V-\i (with violation of vocalic correspondences)."
869,"*ʔõƛ̣V- ( ~ -ə̃-)",1806,"left",,,,,"õƛ̣a-ƛ̣as (Tlad.)",,"    Cf. also Khosh. \Ioƛ̣aƛ̣os.\i The word could be analysed as ""(being) on the bottom"", but this is certainly a folk etymology. This is obviously a genetic parallel for Tind. \Ianƛ:i-ƛ:a-s:a\i 'left', with secondary assimilation -ƛ- > -ƛ̣- before the following (locative) -ƛ̣-."
870,"*kʷɔkV-",1808,"soft","kokoru","kokoru","kokoru (Radzhibov)",,,,"    PTsKh \I*kʷoko-ru\i (for labialisation cf. Tsez. Sagada \Ikʷakʷara\i)."
871,"*=ɨƛʷV(-ru)",1811,"1 hard 2 quick, swift","=aiƛo-w 1,2","=oƛoju 1,2","=ejƛu 1,2","=ɨƛƛu 1","=iƛaro (tlad.)","=ɨƛeru (gunz.) 1","    PTsKh \I*=ɨƛʷV-ju;\i PGB \I*=ɨƛVru.\i In PTsKh *-ru (analysed as a frequent adjectival suffix) was superseded by a functionally analogous morpheme, *-ju - but external data are in favour of considering *-ru here as belonging to the root. Bokarev lists in Gunzib \Ir-iƛeru\i 'cruel' which is obviously the same word as the MSU recording \I=ɨƛeru\i 'hard'."
872,"*gʷVš(:)V-",1815,"lean","guš-ĳu",,,,,,"    Attested only in Tsez., but having probable external parallels."
873,"*ʔõq̇e-(nɔ)",2319,"four","uj-no","uq̇i-no","ũq̇e-n","ũq̇q̇e","õq̇o-na","oq̇e-n","    PTsKh \I*ʔũq̇e-n(o\i); PGB \I*ʔõq̇e-n(ɔ\i) (cf. also Bezht. Tlad., Khosh. \Iöq̇enä\i)."
874,"*λ:i-nɔ B",2320,"five","λeno","λeno","λeno","λɨno","λina","λino","    PTsKh \I*λɨ-no;\i PGB \I*λin[ɔ]\i (cf. also Bezht. Tlad. \Iλinä\i)."
875,"*ʔẽλ:-(nɔ)",2321,"six","iλno","iλno","ẽjλa","ĩλ / ẽλ","iλna","iλno","    PTsKh \I*ʔẽλ-no\i; PGB \I*ʔiλ-n[ɔ]\i (with -i- on analogy with \I*λi-nɔ\i 'five')."
876,"*ʕɔƛ-(nɔ) A",2322,"seven","ʕoƛno","oƛno","oƛa","oƛ","aƛna","ɔƛno","    PTsKh \I*ʕoƛ(-no);\i PGB \I*ʔɔƛ-n[ɔ].\i"
877,"*ʔɔ̃č̣ʷe-(nɔ) A",2324,"nine","oč̣ino","ʕač̣ino","ũč̣in","õč̣č̣e","ač̣ena","uč̣č̣in (Gunz.)","    PTsKh \I*ʔõč̣e-(no)\i (-a- in Gin. is irregular); PGB \I*ʔɔč̣ʷ[e]-n(ɔ)\i (labialised *-č̣ʷ- must be reconstructed to account for labial u- instead of ɔ in Gunz.). Gemination in Inkh. and Gunz. is emphatic (it is recorded only by MSU, and not noticed by Bokaryov). Nasalisation here has the same pattern of distribution as in PTs \I*ʔɔ̃c̣ə-\i 'ten'."
878,"*ʔɔ̃c̣ə(-nɔ) A",2325,"ten","oc̣ino","oc̣eno","ũc̣in","õc̣c̣o","ac̣ona","ɔc̣c̣ɔn","    PTsKh \I*ʔoc̣ə-(no);\i PGB \I*ʔɔc̣ə-n(ɔ)\i (for Gunzib Bokaryov has recorded \Ioc̣ən:\i the correct form is probably \Iɔc̣ən\i or \Iɔc̣c̣ən\i with emphatic gemination). Most languages have not preserved nasalisation of the first vowel (lost by dissimilation to the nasal suffix -nɔ); the Khvarsh. and Inkh. form, however, speak strongly in favour of nasalised *ɔ̃ in PTs."
879,"*qo-(nɔ)",2326,"twenty","qu","qu","qun","quno","qona","qono","    PTsKh \I*qu-(no\i); PGB \I*qo-(nɔ\i)."
880,"*miž(:)ɔ A",2289,"you (2d p. plur.)","meži","meži","mižo","mižo","miže","miže","    PTsKh \I*miže\i / \I*mižo;\i PGB \I*miže.\i To judge from the Inkh. evidence, originally the stem \I*miž(:)e\i was used as ergative (Inkh. \Imiže\i), and the stem \I*miž(:)ɔ\i - as nominative (Inkh. \Imižo\i).     The initial labial in PTs \I*miž(:)e\i is hard to separate from PA *b- in \I*biš:-di-,\i Av. m- in \Imuž\i 'you'. This means, that the original oblique (genitive) base \I*-iźwV-\i (with the class prefixes *w- or *u̲-) changed its function to direct as early as in Proto-Avaro-Ando-Tsezian. See below for more details."
881,"*dɨ- A",2290,"thou (obl. base)","de-b-","de-b-","de-b-","du-b-","di-b- / du-","dɨ-b- / du-","    PTsKh \I*dɨ-b-;\i PGB \I*dɨ-b-\i / \I*du-.\i As in Av.-And. languages, the stem is used in all cases, except nominative and ergative."
882,"*hin-",2292,"(one)self","ne-",,,"i-","hin- / hon-",,"    Originally the oblique base, cf. Tsez. dir. \Ižo\i - obl. \Ine-s-\i (1st cl.) / \Ine-λ-\i (2d cl.), Bezht. Tlad. \Ižü\i - \Ihin-/hon-\i (same opposition); in Inkhokvari it has passed also to the direct base (\Ii-so\i 1st cl., \Iiλe\i 2d-5th cl.)."
883,"*c̣ɔꭓ:-",1819,"few",,,,"c̣oꭓꭓu",,,"    Attested only in Inkh., but having probable external parallels."
884,"*harih-",1822,"slow",,"harihu-n",,,,,"    Attested only in Gin., but having probable external parallels. [It is not quite clear whether we should also compare PGB \I*hate\i ( < \I*har-te\i ?) 'slowly', reflected in Gunz. \Ihade,\i Bezht. Khosh. \Ihäte,\i Tlad. \Iħäte\i.]"
885,"*ƛɨ-, *-ƛ(ɔ)",2242,"1 down, below 2 locative suffix (series Sub)","-ƛ(o) 2","-ƛ 2","-ƛ 2","-ƛ 2","ƛi- 1, -ƛ(a) 2","ƛɨ- 1, -ƛ 2","    As an adverb the root is preserved in PGB \I*ƛɨ-rə\i > Bezht. Tlad., Khosh. \Iƛiro,\i Gunz. \Iƛɨrə\i 'down, below'; all languages also preserve the morpheme as the locative suffix of the Sub series."
886,"*ʔar-dV-",2236,"in front, before","adä-z","aldo-ʁo","adʁol (Radzhibov)","adʁʷal","araddā (Tlad.)","arṭo, arṭodo","    PTsKh \I*ʔaR-dV\i (Tsez. \Iadäz\i < \I*ar-dä-z;\i Inkh. \Iadʁʷal\i, Khvarsh. \Iadʁol\i is a metathesis < \I*aldʁʷa\i = Gin. \Ialdoʁo\i); PGB \I*ʔar-Vd-\i / \I*ʔar-Vṭ-.\i"
887,"*wa-",2310,"deictic particle",,,,,"wa-",,"    Attested in Bezht. in \Iwā-ƛ̣oʔ\i 'here', \Iwa-hgiʔ\i 'there' (a compound with \Ihugiʔ\i id.). Cf. perhaps also -w- in Tsez. \Iho-w-da,\i \Iho-w-du\i 'this', \Iho-w-si,\i \Iho-w-λa\i 'that', Khvarsh. \Ia-we-d\i 'this' etc."
888,"*gül-",1823,"to put","erʷ-","gor-","gil-","gul-","g=il- (Tlad.)","g=əl-","    PTsKh \I*ʔüR-\i / \I*güR-\i (the reason for loss of g- in Tsez. is not clear); PGB \I*g=əl-.\i All forms (except Bezht.) are taken from Bok. Tsez. In PGB the verb retains class markers (despite the loss of initial vowel), which interact with the root vowel (\I*gəl-\i / \I*gil-\i / \I*gul-\i)."
889,"*=Vw-",1826,"to do, to make","=o-d-","=uw-","=uw-","=ĳ-","=ow- (tlad.)","=uw","    PTsKh \I*-Vw-\i (with secondary -j- in Inkh.; -d- in Tsez. is a frequentative suffix); PGB \I*-Vw-.\i The root vowel is hard to reconstruct because of the influence of -w- and Ablaut."
890,"*=ɔq- B",1828,"1 to become; to be born 2 to grow","=oqi- 1","=üq- 1","eqq- (Radzhibov)","=eqiʷ- 1, l-eqʷ- 2","=aq- (tlad.) 1","=ɔq- 1","    PGB \I*=ɔq-\i (cf. also Bezht. Khosh. \I=aq-\i); PTsKh \I*-öq-.\i The Inkh. parallel is somewhat problematic because of labialised -qʷ-."
891,"*=ĩʔ-",1833,"1 to send 2 to let",,,,,"=ẽj- (tlad.) 2","=ĩʔ- 1","   PGB \I*=ĩʔ-.\i"
892,"*=əʔ-",1834,"to get lost, disappear",,,,,"=oʔ- (tlad.)","=əʔ-","    PGB \I*=əʔ-.\i"
893,"*gʷVl-",1835,"thief",,,,,,"guhlaq","    The Gunz. word is probably a compound < \I*gul-hVq\i (for the second part cf. Tsez., Gin. \I=uq-\i 'to hide')."
894,"*=uq- ( ~ =oq-)",1836,"to hide","=uq-","=uq-",,,,,"   PTsKh \I*=uq-.\i"
895,"*=ũc-",1837,"to hide, steal",,,"cuc- (Radzhibov)",,"=ũc- tlad.","=ũc-","    PGB \I*=ũc-\i (cf. also Bezht. Khosh. \I=uc-\i id.).  The Khvarsh. form is reduplicated."
896,"*=es(:) (~-ɨ-,-ə-)",1840,"to take","=is-",,"=as-",,,,"    PTsKh \I*=əs-.\i"
897,"*=ek-",1841,"to fall",,,,,"=ek-","=ek-","    PGB \I*=ek-.\i"
898,"*=ĩz(:)ʷ- ( ~ -ɨ̃-)",1842,"1 to look 2 to search","=ezʷ- 1","=ez- 1",,,"=ĩz- 2 (tlad.)",,"    PTsKh \I\I*=izʷ-\i\i ( ~ -ɨ-,-Ṽ-). Cf. also Bezht. Khosh. \I\I=iz-\i\i 'to search'."
899,"*hak- ( ~ ħ-)",1844,"to search, to look",,,,,"häk-il- (Khosh.)","hak-l-","    PGB \I*hak-il-.\i"
900,"*=ɨ̃q-",87,"to find",,,,,"=ĩq- (tlad.)","=ɨ̃q-","    PGB \I*=ɨ̃q-.\i"
