NUMBER|PROTO|PRNUM|MEANING|LZG|TAB|AGU|RUT|CAK|KRZ|BUD|ARC|UDI|COMMENT
1192|*k:aša|1796|hunger|k:aš|gaš|gaš|gaš||gäš||||    3d class in all class-distinguishing languages. Obl. stem \I*k:ašä-\i (cf. Lezg. \Ik:aša-,\i Ag. \Igaši-,\i Rut. \Igaša-\i). Cf. also Ag. Fit. \Igašin-t\i 'greedy' ( < 'hungry').     See Лексика 1971, 141; Талибов 1980, 286.
1193|*ʔiλ:ʷVn-|1797|similar||||||||λ:ʷāna-t:u-||    Attested only in Archi, but having good external parallels.
1194|*q̇Iarä-|1798|1 empty 2 shallow, sparse 3 skin (without hair)|q̇eri 2|q̇Iar 3|q̇Iare-f 1|q̇Iar-dɨ 1|q̇Iara-n 1|||||    The nominal stem \I*q̇Iara\i 'skin (without hair)' ( = "empty skin"), is reflected, besides Tab., in Lezg. \Iq̇er\i and Rut. (Khniukh) \Iq̇Iar\i id. Cf. also Ag. Bursh. \Iq̇ere-r,\i Burk., Tp. \Iʡare-f\i 'empty'.     See Магометов 1966, 340.
1195|*ʔeq̇:ʷV-|1800|thick (of liquids)|eq̇i||jaq:ʷe-f|iqʷ-dɨ (Shin.)||uqʷa-ǯ||t-uq̇, t-uʁ-du-||    Cf. also Lezg. Khl. \Ijiq:i,\i Akht. \Iiq:i,\i Ag. Burk. \Iüq:e-f.\i Archi has a prefixal (expressive or locative) t-.    See Хайдаков 1973, 106.
1196|*=očV ( ~ -u-)|1801|thick, dense|||||||||b-očIu|    The root is preserved only in Udi, but has very reliable external parallels.
1197|*q̇Iʷa(m)č̣V- ( ~ ä)|1802|1 to bend 2 elbow 3 tip, point|q̇ʷeč̣il-arun 1|q̇Iužal aṗuz 1|q̇Iuǯal-q̇as 1|||q̇äč̣ 3|||q:ačI 2 (Nidzh)|    The original meaning can be postulated as 'hook, corner'. Lezg., Tab. and Ag. reflect the derivate \I*q̇Iʷa(m)č̣V-l\i, used in compound verbs.
1198|*ʔik:ʷar-|224|1 to bend 2 hooked, curved, bent||||||||gʷa-s 1|k:ori 2|    The -r-conjugation is regularly lost in Archi, but is preserved in the derived Udi adjective. Cf. also Arch. \Igu-t:u-\i 'hooked, curved'.
1199|*ʔi(l)q̇(ʷ)Vl-|296|to bend|||||||w-e=q̇l-|||    Attested only in Bud., but having probable external parallels. Cf. also Bud. \Iwaq̇ali\i 'bent, curved'.
1200|*t:-iλ:ä-|1803|straight, even||diši|dixe-f (Burk.)|||||||    Cf. also Tab. Düb. \Idiš:i,\i Ag. (Khaid.) \Idix:e-f.\i
1201|*[ħ]arč̣:-|1804|right|erč̣i|arču-l|ʕulža-n-f|hIarčä-d||||oIrč̣u-|ač:Ia|    Cf. also Lezg. Khl. \Iet:i,\i Ag. attrib. \IoIržu-\i ( < \IoIrč̣-du-\i ). Tab. (-č-) and Agul (-ž-) have irregular reflexes of *č̣:; cf. however, normal development in Ag. Bursh. \Iħarč:-le-r,\i Fit. \Iħurč:i-l-t.\i         See Гигинейшвили 1977, 103.
1202|*čaIpVl-|1807|left|čapla||čaIplan-f|||||||    Cf. also Ag. Burk. \IčaIpul,\i Tp. \Ičip:il\i (not quite clear are the laryngeal features in Lezg. Khl. \Ič:abla\i).
1203|*p:eIš:ʷɨ-|1809|deaf|biši|bušu|buIše-f/buIršef|biš-dɨ|boš-na|bešä-d||||    Cf. also Lezg. Khl., Kuba. \Ip:eši,\i Tab. Kand. \Ibiši-r,\i Ag. Burk. \IbuIša-k,\i Tsakh. prop. \Iboš:i-na\i (pointing to *-š:ʷ-).     See Талибов 1980, 275.
1204|*Hamq̇ʷV|1810|hard, rigid||waq̇Ii||||||ṭanq̇-du-||    Tab. \Iwaq̇Ii\i < \I*ʔamq̇Ii;\i Archi has an expressive prefix ṭ- (sometimes used in adjectival and verbal roots).     Besides \I*Hamq̇ʷV,\i Lezgian languages have a series of phonetically close forms with *-q̇:(ʷ)- and *-q:-: Tab. Düb. \Ic-uq:i,\i Ag. \Iq:uq:u-f\i (Burk. \Iq:uq:u-f\i) 'hard', Lezg. \Iweq:i\i 'rigid, rough', \Iquq:ʷa-z\i 'to become rigid, to harden' (Khl. \Iqʷq:ʷaj\i 'hard' = lit. \Iquq:ʷaj\i 'hardened'), Rut. Mukh. (Ibragimov) \Iʁiʁ-dɨ\i 'hard, tough', Luch. \Iq-u=ʁʷa-\i 'to harden, dry out' ( = Lezg. \Iquq:ʷa-\i), \IʁIɨʁI-dɨ\i 'hard'. It is rather hard to reconstruct a single protoform for all these forms: we probably deal both with expressive modifications of PL \I*Hamq̇ʷV\i and with assimilative developments of the reduplicated form \I*q̇Vmq:V\i (from the PEC variant \I*q̇Hwamq̲̇(w)A\ĭ).
1205|*(ʔV)ꭓVlä-|1812|old (of a person)||||||||ꭓala-t:u-||    Attested only in Archi (therefore the vocalic reconstruction for PL is hardly possible because of reduction in unstressed syllables), but having good external parallels.
1206|*läkV-|1813|lame||liku||||luka||lak:a-t:u-||    The vowel -u- in Kryz. is unclear.
1207|*ʔalḳä-|1814|1 to limp 2 to waddle 3 lame||laḳ xuz 2||a-rḳa-s 1|ḳā-na 3||||k:ala 3 (Vart.)|    Cf. also Rut. (derived) a=lḳa-d 'lame', Tsakh. Gelm. ḳawa-na id. The Tsakh. and Ud. forms are metathesized.     Vinogradova-Klimov 1979 proposed to consider the Tsakh. and Ud. forms as loans from Armenian (Arm. \Ikał\i 'lame'); but the Armenian word has no secure IE etymology and should rather itself be regarded as one of the numerous Caucasian loanwords.
1208|*k:očV-|1815|left||||gɨči-d (Ikhr.)||||||    Attested only in Rut., with possible external parallels.
1209|*jeꭓʷV-|1816|lean|jaꭓun|jaꭓun-f|||joꭓara-n|||||    The stem is formed either with *-nV- or with *-rV- (both are frequent oblique base markers).    See Хайдаков 1973, 112.
1210|*š(ʷ)imV- /*s(ʷ)imV-|2318|three (in: thirty)||simi-c̣ur|šin-c̣ur (Bursh.)|||||||    Tabasaran and Agul have preserved this relic numeral only within the compound \I*s(ʷ)imV-c̣u-r\i 'thirty' (with 'ten' as the second part). The initial consonant reveals a variation between *s(ʷ) and *š(ʷ)-;cf. also Tab. Kand. \Isumč̣ur,\i Düb. \Isimič̣ur.\i In the Richa dialect of Agul the form is \Ixim-c̣ur:\i this is obviously a contamination with the normal PL numeral 'three' \I*λep:ɨ-\i (q.v.); but neither Tab. \Isimi-,\i nor Ag. Bursh. \Išin-\i in 'thirty' can not be traced back to \I*λep:ɨ-.\i
1211|*jewq̇ɨ-|2319|four|q̇u-d|juq̇u-b|jaq̇u-d|juq̇u-d|joq̇u-lle|juq̇u-d|juq̇u-d|ebq̇, ebq̇a-|bip:|    Cf. also Lezg. Khl. \Iq̇u-d,\i Tab. Kand. \Ijaq̇u-b.\i Ud. \Ibip:\i < \I*wiq̇ʷ\i < \I*jewq̇.\i An analogous metathesised form is reflected in Arch. \Ibuq̇i\i < \I*weq̇ʷɨ-j\i 'fourty'.     See Бокарев 1961, 64; Лексика 1971, 233; Гигинейшвили 1977, 135.
1212|*λ:ʷe-|2320|five|wa-d|xu-b|ʕafu-d|xu-d|xo-llä|fɨ-d|fɨ-d|λ:o, λ:ʷe-jṭu|qo|    Initial ʕa- in Ag. is unclear (cf. in other dialects: Bursh. \Ijiš̌u-r,\i Fit. \Ijüfü-d,\i Burk. \Iifa-d;\i here the PL numeral obtained the initial ji- (je-) on analogy with \I*jewq̇ɨ-\i 'four' q.v.).         Rather interesting is the Archi word for 'fifty': \Ibuꭓ:í\i (not \Ibuλ:í\i). Since Archi names for tens are usually formed from simple numerals, this form presupposes \I*ꭓ:ʷe\i 'five' - which can reflect PL \I*ꭓ:ʷä\i (from a lax PEC variant \I*fɦä̆\i).         See Гигинейшвили 1977, 97.
1213|*riƛɨ-|2321|six|rugu-d|jirxu-b|jerxi-d|rixɨ-d|jixɨ-llä|rɨxɨ-d|rɨxɨ-d|diλ, diλi-jṭu|uqI|    Cf. also Lezg. Khl. \Irɨgɨ-d,\i Ag. Bursh. \Ijerši-r.\i Metathesis of *r- into Inlaut in PL was caused by analogy with the numeral "seven" (Tab. \Iurɣu-b,\i Ag. \Ijeri-d\i < \I*uirƛ:ɨ-\i). Arch. \Idiλi\i 'sixty' < \I*riƛɨ-j.\i
1214|*u̲irƛ:ɨ-|2322|seven|iri-d|urɣu-b|jeri-d|jiwɨ-d|jiɣɨ-lle|jiɣɨ-d|jĳi-d|wiƛ, wiƛa-ṭu|wuʁI|    Cf. also Arch. \Iƛʷi\i 'seventy' (with metathesis < \I*ƛiwi\i < \I*u̲irƛ:ɨ-j\i).
1215|*u̲ilč̣ʷɨ-|2324|nine|ḳü-d|urč̣̌u-b|jaIrč̣u-d|huč̣u-d|jič̣u-lle /juč̣u-|jič̣i-d|wič̣i-d|uč̣, ūč̣a-ṭu|wuj|    Cf. also Lezg. Khl. \Ič̣u-d,\i Tab. Düb. \Ihurč̣u-w,\i Ag. Bursh. \Ijerč̣̌u-r,\i Fit. \Ijerḳü-d,\i Burk. \Ijerč̣uI-d.\i The resonant -r- before the hushing -č̣- in Tab. and Ag. points to PL *-l- (PL *-r- would have remained in all languages except Udi). Pharyngealization in Ag. (also in Tsakhur in the latest MSU recordings: \IjuIč̣u-lle\i) may be archaic (a trace of the old laryngeal). Arch. \Ič̣ʷi\i 'ninety' < \I*č̣iwi\i < (with metathesis) \I*u̲ilč̣ʷɨ-j.\i
1216|*u̲ic̣ɨ-|2325|ten|c̣u-d|jic̣u-b|ic̣u-d|jic̣ɨ-d|jic̣ɨ-llä|jic̣ɨ-d|jic̣ɨ-d|wic̣|wic:|    Cf. also Lezg. Khl. \Ic̣ɨ-d,\i Ag. Bursh. \Ijic̣u-r.\i Some forms (especially Rut. and Bud.) rather go back to PL \I*jic̣ɨ-\i (with another class prefix); some forms can go back to both \I*u̲ic̣ɨ-\i and \I*jic̣ɨ-\i (with neutralisation of *u̲- and *j- before *-i-).         PL \I*u̲ic̣ɨ-\i has lost the Inlaut resonant *-n-, possibly under the influence of \I*u̲ilč̣ʷɨ-\i 'nine'. The original form \I*uinc̣ɨ-,\i however, is reflected in the Archi form \Imoc̣o-r\i - a modification of the numeral 'ten' used in compounds (\Imoc̣or s:ejṭu\i 'eleven', \Imoc̣or q̇Iʷeṭu\i 'twelve' etc.).      See Бокарев 1961, 70.
1217|*q̇:a|2326|twenty|q:a-d|q:a-b|q:a-d|q:a-d|q:a-llä|q:a-d|qa-d|q̇a|q:a|    Cf. also Lezg. Khl. \Iq:a-d\i (the Akhty-type reflex penetrated into literary Lezg., where normally \Iq̇a-d\i would be expected).     See Бокарев 1961, 64; Лексика 1971, 238; Гигинейшвили 1977, 108.
1218|*waIlš:|2327|hundred|wiš|warž|baIrš|wäš / waIš|waIš|||baIš, baIš:a-ṭu|bačI|    Cf. also Tab. Düb. \Iwarža,\i Ag. Bursh., Burk. \IwaIrš.\i The correlation Ag., Tab. -r- : -0- in other languages points to PL *-l- (*-r- would have been preserved in this cluster by all languages).
1219|*ǯʷ[e]-n|2289|you (2d p. plur.)|kü-n|uč̌u|ču-n|we|šu|wi-n|wi-n|žʷe-n|waI-n|    Cf. also Lezg. Khl. \Ičü-n,\i Ag. Bursh. \Ič̌u-n,\i Fit. \Ikü-n.\i The PL paradigm can be reconstructed as \I*ǯʷ[e]-n\i (nom.), obl. \I*ǯʷa-,\i gen. \I*-iǯʷ:\i cf. Lezg. \Ikün,\i obl. \Ikʷe-\i (Khl. \Ičün,\i \Ičʷe-,\i gen. \Ižü\i < \I*(u̲\i)iǯʷ-); Tab. \Iuč̌u,\i gen. \Iič̌;\i Ag. \Ičun,\i erg. \Iče-š,\i gen. \Iče\i (Bursh. nom./erg. \Ič̌un,\i gen. \Iič̌;\i Fit. nom./erg. \Ikün,\i dat. \Iḱʷa-s,\i gen. \Ikü-t\i); Rut. Shin. \Iwe,\i gen. \Iuš-dɨ;\i Tsakh. \Išu,\i gen. \Iwuš-;\i Arch. \Ižʷe-n,\i loc. \Ižʷa-t,\i gen. \Iwiš;\i Kryz. obl. \Iwä-;\i Bud. \IwaIn,\i gen. \Iefi.\i     The original dative stem \I*-eǯʷ\i is preserved only in Archi (\Iwež\i).     See Бокарев 1961, 66; Талибов 1960a, 301; Гигинейшвили 1977, 114.
1220|*-it:-|2290|thou (obl. base)||||||||w-it||    This archaic pronominal stem is preserved only in the Archi genitive wit (where w- is a class prefix, like in \Iw-is\i (1st p. sing.), \Iulu\i ( < \Iw-olo,\i 1st p. plur.), \Iw-iš\i (2d p. plur.)). Note that the Ag. (Fit.) genitive \Iwit\i has nothing to do with the Archi form: it contains the PL attributive morpheme \I*-t:V\i > \I-t,\i common to all pronouns (\Izi-t,\i \Ixi-t,\i \Iči-t,\i \Ikü-t\i).
1221|*dV|2304|that (demonstr. pronoun)|a-ṭa|du-mu||ha-d||ä-d|a-d|gu-du, ʁu-du|t:e|    The original meaning seems to be 'that (on the same level as the speaker)', preserved in Tabasaran (where it is opposed to \Itu-mu\i q.v.); in most other languages the stem is used in compounds with other deictic stems.     Lezg. and Ud. reflect a glottalised variant \I*ṭV\i (probably expressive and secondary).
1222|*-ič(ʷ)|2291|self, oneself (reflexive pronoun)|wič|uč̌|uč||či-n(a) (gen.)||||ič|    In Tsakh. the stem is used only for the 3d/4th classes (opposed to \Iǯu-/ǯe-,\i see PL \I*-iž\i); in Lezg. and Tab. it is used for the 3d person (while the stem \I*-iž\i is used for the 1st and 2d persons). The original usage is probably the Tsakhur one.     The PL paradigm can be reconstructed as \I*ʔičʷ\i (dir. stem), \I*ča-\i (obl. stem, cf. Tab. gen. \Iča-n,\i Ag. Bursh. \Iič̌,\i \Iče-\i).
1223|*č̣ʷeq̇(a) (~-ä-,-i-)|1819|few|||č̣uq̇|||||||    Attested only in Ag. (cf. also Bursh. \Ič̣̌uq̇\i), but having probable external parallels.
1224|*t:-äꭓV- / *u̲-iꭓV-|1821|1 quick 2 quickly 3 suddenly||uꭓ-ti 2|daꭓi 1|||däꭓä 1,2|dɨꭓ 2|wiꭓ-taš 3||    Cf. also Ag. Burk. (Shaumyan) \Ideꭓe\i 'quick'. Lezghian languages reflect two stems: \I*t:-äꭓV-\i (with an aspectual prefix *t:-) and \I*u̲-iꭓV-\i (with a class prefix *u̲-), connected by Ablaut (*ä/i). Shakhdagh > Khin. \Idaꭓ\i 'quickly'.
1225|*ƛ̣:i-, *-ƛ̣:|2242|1 below, down 2 locative suffix (Sub series)|-k 2|-k: 2; k:- prev.|-k: 2; k:- prev.|-k 2|-k 2|-k 2; k- prev.|-k 2|-ƛ̣: 2|oq:a 1|    In the adverbial use the root \I*ƛ̣:i-\i is preserved only in Archi and Budukh (Arch. \Iƛ̣:i-r,\i Bud. \Iko-rə\i with a not quite clear vowel reflex). All languages reflect the stem in the function of the locative suffix (in Udi - only within the adverb \Io-q:a\i 'below', formed from a pronominal stem). Most languages also reflect the same morpheme as a preverb (meaning 'below'): Lezg. \Iḳ(ʷ\i)-, Tab. \Ik:-,\i Ag. \Ik:-,\i Rut. \Ig-,\i Tsakh. \Ig-,\i Kryz. \Ik-.\i     See Alekseyev 1985, 55, 119 (Alekseyev lists also the Bud. preverb \Ič-,\i which is probably different in origin: cf. Bud. \Iače,\i Kryz. \Iäčä\i 'below').
1226|*ʔʷɨr|2236|front, in front|wili-k|uli-x|udi-h|uli-x-ta|hī-d|ʕürü-k, ʕürä|ʕura|hara-k||    In some languages the stem \I*ʔʷɨre-\i 'in front' was confused with \I*ʔʷile-\i 'eye' (q.v.), so that the adverbs meaning 'in front' are now perceived as locative forms of 'eye'. Several forms, however, clearly show that this is a folk etymology. Cf. especially Kryz. \Iʕür-,\i Bud. \Iʕura,\i Arch. \Ihara-k;\i we should add also dialectal forms: Rut. Khnov. \Iwɨra-sur\i 'front side', Ag. Burk. \Iuri-h\i 'in front' (Rich. \Iudi-h\i < \I*ur-di-\i). Tsakh. \Ihī-d\i is probably a contraction < \I*ha-ʔʷɨre-t:V\i (with the emphatic particle \I*ha-\i q.v.; Tsakh. h- can hardly reflect PL *ʔʷ-).     Not quite clear is Ud. \Ibe-šI\i 'in front': we would rather expect voiceless p- (\Ipe-šI\i).
1227|*qV-, *-q(a)|2237|1 behind 2 suffix of a locative case (series Post)|-q 2;  -q-an 'suffix of profession'|qa 1, -q 2, prev. q-|qa 1, -q 2, prev. q-|quʔ 1, -ꭓ/-q 2|-qa 2, -q-än 'suffix of profession'|-ꭓ 2|-ꭓ 2|ꭓi-r 1, -ꭓu- loc. suffix|qo-š 1|    As a case marker PL \I*-q(a\i) usually denotes location behind, but can be also used as a possessive case (the same development is characteristic also for Andian parallels). Somewhat problematic is relating here the Arch. translative case in \I-ꭓ-ut\i ('through smth.') and the comparative case in \I-ꭓ-ur.\i See Alekseyev 1985, 54.     PL \I*q(a\i)- is also used as a preverb ('back, behind': Tab., Ag., Rut., Tsakh. \Iq-;\i possibly also Lezg. \I-ꭓ-\i with the meaning of repetitiveness ('once more'), see Alekseyev 1985, 121).
1228|*ʔiƛ:e-|1823|1 to put 2 to throw 3 to point (to a thief)|g-igi- 3|jiw- 1|ĳe- (Tp.) 1|=ĳe- 2|a=ɣa- 2|ʕ-aj- 1|q:-ĳ- 1|||    Cf. also Lezg. pret. \Ig-ige-na;\i Kryz. \Iq:-ɨj-\i 'to cover' ( = Bud. \Iq:-i=j-\i), Bud. \Ie=j-\i 'to put (from above)', \Iʕ-ä=j-\i 'to put inside' ( = Kryz. \Iʕ-aj-\i); Tab. Düb. \Ijiw-,\i dur. \Iji-l-ɣun-\i (the original *ƛ: > Tab. -w- in an intervocalic position before -u- /inf. \Ijiw-uz,\i Düb. \Ijiw-us/,\i but is not labialised within the cluster -lɣ-). Not quite clear is the Tsakh. vocalism. The verb belongs to the weak class in PL.
1229|*ʔa / ʔi|1824|to be (an auxiliary verb)|ja|wu, a|i, a|=iʔ-, a|wo=, a=|=i, ʕä-|wi, =eʕ-|=i, e=|b-u|    In Lezg. the root \I-a\i is also used with preverbs (\Iaw-a,\i \Ial-a,\i \Igal-a,\i \Igʷ-a\i etc.). The two stems (\I*ʔa\i and \I*ʔi;\i *i sometimes changes to u due to the labialising influence of some class prefixes) are opposed in most languages, but it is difficult to separate them from each other. In some cases they are opposed in tense/aspect (e.g. in Archi), but in most cases \I*ʔa\i tends to mean 'to be (available), to have', while \I*ʔi\i is a simple verb of existence. The original difference must have been aspectual, and the two stems were probably connected by a usual Ablaut *a / *i.
1230|*ʔima|1825|to stay|ama|imi-di xuz|ame-xis (Burk.)|ma=a||||imm(a)-eꭓ:as||    An auxiliary verb with a defective paradigm (used either as auxiliary in present, or in compound verbs).
1231|*ʔaʔa(r)-|1826|to do, to make|ĳi-|aṗ-||=aʔa-|h-aʔa- / h-ā-|je-r-|si=ʔi-r-|a=a-|be-s, be-sun|    Cf. also Lezg. pret. \Iawu-na,\i Rut. pres. \I=ɨʔɨ-r\i ( < \I=iʔɨ-r\i). The root demonstrates the Ablaut *a/*i (besides Lezg. \Iĳi-,\i Rut. \I=ɨʔɨ-\i cf. also Tab. Düb. dur. \Iiṗu-r-\i). Tab. -ṗ- is a result of cohesion (class marker -b- + the root laryngeal -ʔ-).     In Ag. the general word for 'do, make' is \Iaq̇a-s\i (see *ʔaq̇a-). It seems possible, however, to derive from PL \I*ʔaʔa(r)-\i the Ag. (Rich.) word for 'to put through', \Iq-uf-\i ( < \I*q-V-p-ʔ-\i): cf. Ag. Bursh. \Iq-arq̇a-\i (from the root \I*ʔaq̇a-\i), Tab. \Iq-aṗ-\i 'to put through'.     The Shakhdagh data speak strongly in favour of the original *-r-conjugation, although the reasons for loss of -r- in Tsakhur (which usually preserves it well) are not clear.
1232|*ʔiλɨ-|1827|to be, to become|xu-|x-|x-||=ixe-|xi-|jix-|||    Cf. in Lezg.: masd. \Ixu-n,\i pret. \Ixa-na,\i imper. \Ixux;\i Tab. Kand. infin. \Ix-us,\i imper. \Iji=x,\i perf. \Iʁa-x-nu;\i Tab. Düb. infin. \Ix-us,\i imper. \Ijix,\i perf. \Iq:a-x-nu-;\i Ag. Rich. inf. \Ix-as,\i imper. \Iux,\i aor. \Ixu-ne;\i Bursh. inf. \Ixi-s,\i imper. \Ijix,\i aor. \Ixi-naw;\i Tsakh. pres. \I=ēxe,\i aor. \I=ɨxa,\i imper. \I=ixe;\i Kryz. inf. \Ixi-jiǯ,\i aor. \Ixi-ǯi,\i imper. \Is=äx;\i Bud. pres. \Ijixə-ri,\i aor. \Isə=xə-ǯi,\i imper. \Is=əx.\i Tsakhur and Budukh are the only languages with a full, non-suppletive paradigm; all other languages usually combine this room with PL \I*ʔiš:ä-\i q.v. within a suppletive paradigm.     See Лексика 1971, 241; Гигинейшвили 1977, 94.
1233|*ʔaq̇a-|1828|to do, to make|||aq̇-|||||||    Cf. also Ag. Bursh., Tp. \Iaq̇a-\i id. Isolated in Agul, but having probable external parallels.
1234|*ʔikä-|1829|1 to be, become 2 to be able||||=ɨkɨ- 1,2||||ke- 1,2|bak-sun 1|    In Rut. the root is confined to infinitive, but has a complete paradigm in Archi and Udi.
1235|*ʔarλɨ-|64|1 to fall 2 to go down, roll down 3 to get into|aw-ax- 2|a=x- 1|arx- 3||q:aʔ-a=xa- 1||araxa- / a=xu-|||    The verb is very productive (used with many preverbs, especially in Tab. and Ag. - cf. Ag. \Iʁ-arx-\i 'to lie down, to sleep' etc.), but sometimes tends to contaminate with the roots \I*ʔeλe-\i 'to put' and \I*ʔeλ:ʷɨ-\i 'to lie, to put' which are to be strictly distinguished.
1236|*ʔarke|1831|1 to go (away) 2 to return||qt-a=k- 2|aldaq-ark- 2|||||=ak:i- 1||    In Tab. and Ag. the stem is used mostly with preverbs; without a preverb cf. Ag. Bursh. \Iarki-\i 'to get into, find oneself (somewhere)'. With other preverbs cf. Ag. Bursh. \Iqat:-arki-\i 'to lag behind; to lose, be defeated', Rich. \Ik:et:-ik-\i id., \Iald-ark-\i 'to turn round', Tab. Düb. \Iq-a=k-\i 'to return'.
1237|*ʔark:ʷVn-|1832|to stay|||ilgʷ-|a=ga-||||||    Cf. also Ag. Tp. (Shaumyan) \Iilgʷan-\i 'to stay' (pointing to *-n-conjugation in PL); perhaps also Rut. \Ig-ä=ga-\i 'to lose, be defeated' (fronting of the vowel probably conditioned by the preverb g( ́) < *ƛ̣:-; another possibility would be to compare the Rut. form with Tab. \Ie=g-\i 'to become tired'). Medial -l- in Ag. is a modification of *-r- in the -n-conjugation. The root demonstrates the PL *a/i Ablaut.
1238|*ʔeʔIV-|1833|1 to pull 2 to leave, let||||=eʔe- 1|||e=e- 2|||    The Rut. verb is used also with different preverbs, cf. \Iʔe=ʔe-\i 'to push in, lock', \Ieʁ-e=ʔe-\i 'to take out', \Ilaʔl-e=ʔe-\i 'to lift, raise', \Ikeʁ-i=ʔe-\i 'to choose', \Iq-i=ʔi-\i (dur.) 'to return' etc. The Bud. form is probably an exact parallel of Rut. \Iʔe=ʔe-\i (with the ʔ- preverb).
1239|*ʔik:ʷäl-|1835|1 to lose 2 to get lost 3 hidden, secret||d-u=g- 1,2|gul- 1,2|s-u=ga- 2|a=gʷal- 2|gul jeriǯ 1|ʕä=gül- 1,2|guli-t:u= 3||    Cf. also Tab. Düb. \Id-u=g-\i 'to lose, get lost'; Ag. Bursh. \Igulan-\i id. With a prefixed *t:-, besides Tab., cf. Rut. \Id-agul haʔa-s\i 'to steal', Tsakh. \Id́-ugul xes \i'to hide'. Archi and Kryz reflect only a deverbal (participial) form (in Kryz - as part of a compound verb); most languages reflect the Ablaut grade *i, but grade *ä is reflected in Tsakh. and Bud. (in Tsakhur there still is a live alternation: \Ia=gʷal-\i in term., \Ii=gʷal-\i in dur.).
1240|*-i(r)q̇:ʷV-|1836|secretly, by stealth|||||||||muq:in|    A derivate from a former verbal root; attested only in Udi, but having probable external parallels.
1241|*ʔeḳʷɨ-|570|1 to steal, conceal 2 to hide 3 to choose 4 to put||hiṭ-i=ḳ- 1,2|iḳ- 4|gi=irḳa- 2||||e=ḳa- 3||    Cf. also Ag. \Iqat:-iḳ-,\i Bursh. \Iqat-ḳi-\i 'to steal; to unlock', Arch. dur. \I=erḳu-r,\i Tsakh. \Iʁale=ḳʷa-\i 'to lie down, to sleep', perhaps also Tab. \Iul-u=ḳ-\i 'to put on (hat, cap)'. The verb belongs to the strong verb class. In Tab. there also exists a nominal derivate: \Iiḳ\i 'theft'.
1242|*c̣Vꭓ:-|1839|1 to steal, slip 2 by stealth, secretly|c̣utꭓ- 1|||||||c̣iꭓ-dí 2||    Cf. also Lezg. Akht. \Ic̣üdʁ-\i 'to steal, slip' (pointing to *ꭓ: in PL), Arch. \Ic̣iꭓdí-t:u\i 'thief'. In Lezg. -t- (-d-) is either a former class infix, or a reflex of the adverbial stem \I*c̣Vꭓ:-t:V-\i (cf. the Archi form).
1243|*ʔaca(n)-|1840|1 to catch 2 to nurse||k:-a=c- 2|f-ac- 1|||||sa- 1||    Cf. Ag. Tp. \If-acan-\i 'to catch' (pointing to *-n-conjugation in PL). Arch. \Isa-\i reflects the Ablaut grade \I*ʔica(n\i)-. In Kryz. cf. also \Iʕacn-\i 'to put inside' (the stem \I-(a\i)cn- in Kryz. is used only as durative - in pres. and prohib.). There may have existed a similar root \I*ʔaca-\i 'to put on (clothes)': Ag. \Iq-ac-,\i Tp. \Iq-aca-\i (with -0-conjugation, opposed to \If-acan-\i with -n-conjugation), Arch. \Ia=sa-.\i
1244|*ʔarkɨr- / *ʔerkɨr-|1841|1 to fall, stumble 2 to let fall, drop||ald-a=k- 1|quraʁd-ark- 1||hiʁI-a=kar- 1||ʕa(š)=k- 1|e=ka- 1|s-ak-sun 2|    Cf. also Bud. term. \Iʕake-ǯi,\i Arch. dur. \I=erku-r,\i Ag. Bursh. \Ialt:-arki-\i 'to fall; to lie down, go to bed' (also \Iut:-arki-,\i \Iʁ-arki-,\i \Iʕ-arki-\i). Without a preverb cf. Ag. Bursh. \Iarki-\i 'to fall down'; all other languages use only the root combined with preverbs. The verb belongs to the strong conjugation class. It should be distinguished from PL \I*ʔarke-\i 'to go, move (away)' q.v. (although sometimes contaminations are happening).     Most forms reflect the PL vowel *-a- in the first syllable; Archi, however. reflects *-e-. Cf., perhaps, also Tab. \I-e=k-\i in \Ik:-e=k-\i 'to hide, to conceal' (*'to put down, to let lie') and with some other preverbs.     See Хайдаков 1973, 144.
1245|*ʔakV- / *ʔokV-|1844|1 to look 2 to ask 3 to search 4 to find|||ad-ark- 3|u=kʷa- 2|ā=ke- 4|i=k- 4||sa=k:a- 1||    Cf. also Arch. \I=irk:u-\i 'to search'. The PL reconstruction is somewhat difficult, because the root tends to contaminate with other verbal roots: in Archi it has been influenced by \Iak:u-s\i 'to see' (see PL \I*ʔak:ʷä-\i), in Agul - by \I-ark-\i (used with different preverbs) 'to fall upon, to hit' (see PL \I*ʔarkɨr-\i).
1246|*ʔiqɨ-|1845|1 to find 2 to hold, grab||=iq- 1||||||ꭓo- 1|b-iq:-sun 2|    See Гигинейшвили 1977, 98.
1247|*ʔVq̇IV(n)-|1846|to return||||||||baq̇Ia-||    The root is attested only in Archi, and has rather an exceptional conjugation there (\Ibaq̇Iá-s,\i pres. \Ibaq̇Iá-r,\i aor. \Iboq̇Ió\i with a final stress), suggesting that b- is a former class prefix, and that the initial vowel of the root is reduced. The -n-conjugation is extremely hypothetical (suggested only by the external data).
