NUMBER|PROTO|PRNUM|MEANING|ABK|ABA|ADG|KAB|UBK|COMMENT
567|*λʷa|1803|straight, even|a-jaˊša|ra-jša|zā-fa|zā-xʷa|sʷa-x|    PAT \I*jV-ša\i (with a pronominal or reciprocal prefix); PAK \I*za-xʷaˊ\i (on the etymology of the first part see Shagirov 1, 204). The correspondence PAT *š : PAK *xʷ : Ub. sʷ points unambiguously to PWC *λʷ. Cf. also PAK \I*xʷaˊ-da\i (Ad. \Ifad,\i Kab. \Ixʷada\i) 'similar, equal' (despite Dumeˊzil 1932, 92; 1963, 14-15; Kuipers 1960, 113; Shagirov 2, 106 PAK \I*xʷa-\i here can hardly be analyzed as a version prefix; the semantic correlation 'straight' - 'similar, equal' is quite natural).
568|*ɣˊV|1804|right|a-r-ʁˊa|aʁˊ-ma|ǯˊā-bʁʷ|jǝ-zˊ|zˊ-qˀa / zˊ-ʁa|    PAT \I*aʁˊa;\i PAK \I*žˊV.\i Ad. has a secondary affricate (cf. Bzhed. \Ižˊā-bʁʷ\i); the Ad. form \Iǯˊā-bʁʷ\i is a compound with \I-bʁʷǝ\i 'side, edge' (cf. Kab. \Ijǝzˊǝ-rā-bʁʷ\i 'right side'). In Kab. jǝ- is a pronominal prefix. See Shagirov 1, 183-184.
569|*q:ǝ|21|to be benumbed,dumbfounded (by cold,surprise etc.)|||q:ǝ-n|q:ǝ-n|q(ǝ)-|    PAK \I*q:ǝ-\i (see Kuipers 64); Ub. \Isǝ-qǝˊ-n.\i In Shapsugh the verb also means 'to harden' (which may be a contamination with another WC root, \I*q:ʷa\i q.v.).
570|*q:ʷa / *q:ʷVq:ʷa|1810|hard|aˊ-ʁʷʁʷa||||qʷa|    Cf. also Ub. \Iqʷa-\i (\Ia-qʷaˊ-n\i) 'to harden'. The Abkh. form is reduplicated ( < PAT \I*ɣʷǝɣʷa\i).
571|*pVŁˊV|1811|1 hard, firm 2 stingy, miserly 3 proud, arrogant|a-baʁˊaˊ 1|baʁˊa 1,2|pāɣa 3|pāɣa 3|ʁabǝˊ 1|    PAT \I*baɣˊa;\i PAK \I*paɣaˊ;\i in Ub. - a metathesis (\Iʁabǝˊ\i < \I*baʁǝˊ\i). Semantically and phonetically the forms are very close, and the correspondence PAT *ɣˊ : PāK *ɣ : Ub. ʁ points to the PWC palatalised lateral *Łˊ. Therefore Shagirov's explanation of the Adygh form as \I*pa\i 'nose' + \I*bɣǝ\i 'mountain' is hardly acceptable (although an analogy with \I*pa\i 'nose' is possible).
572|*s-xʷǝ|2320|five|χʷ-ba|χʷ-ba|tfǝ|txʷǝ|šˊxǝ|    PAT \I*xʷǝ-\i (cf. also Bzyb. \Ixʷ-ba\i); PAK \I*txʷǝ.\i An initial cluster must be with a sibilant must be reconstructed for PWC (it has been regularly simplified in PAT, and changed to *txʷ and *šˊx in PAK and Ub. respectively).
573|*ƛˊʷV|2321|six|f-ba|c-ba|xa|xa|fǝ|    PAT \I*čʷǝ\i (accounting for the specific correspondence Abkh. f : Abaz. c); PAK \I*xa\i (cf. also \I*xǝ\i 'six times' > Ad., Kab. \Ixǝ\i). The correspondence PAT *čʷ : PAK *x : Ub. f points to the PWC lateral affricate *ƛˊʷ.
574|*bǝLˊǝ|2322|seven|bžˊ-ba|bǝžˊ-ba|bLǝ|bLǝ|bLǝ|        PAT \I*bǝžˊǝ;\i PAK \I*bLǝ.\i See Trubetzkoy 1922, 236.
575|*b-cˀˊʷǝ|2325|ten|žˇa-baˊ|žʷa-ba|pˀsˊ˔ǝ|pˀsˊ˔ǝ|žʷǝ|    PAT \I*žʷa\i (cf. also Bzyb. \Ižˇa-baˊ\i); PAK \I*pˀcˀˊǝ.\i         A complicated case. PAK \I*pˀcˀˊǝ\i can only go back to PWC \I*P-cˀˊʷǝ\i (a form which obviously corresponds to EC, see Trubetzkoy 1930, 82). The Ubykh form can go back to a voiced variant \I*zˊʷǝ;\i but the PAT form needs a more complicated explanation, if it belongs here at all: it may also reflect a secondarily voiced PWC variant \I*(b)-ʒˊʷV\i > PAT \I*ža,\i with labialisation under the influence of PAT \I*zʷǝ\i 'nine' (\I*ža\i > \I*žʷa\i ).         The hypothesis of uniting all three forms (PAT, PAK and Ub.) belongs to Abdokov (1973, 66). One can either accept it (with the complicated explanation presented above), or else separate the Ub. and Abkh. forms under a distinct protoform, PWC \I*žˊʷV\i (since *žˊʷ regularly gives PAT *žʷ and Ub. žʷ). However, Shagirov's attempt to unite Abkh. \Ižˇ-ba\i 'nine' and \Ižˇa-ba\i 'ten' (Shagirov 1, 80-81) is certainly untenable: in the Bzyb. dialect they are opposed as \Izˊˇ-ba\i vs. \Ižˇ-ba\i and go back to different PAT forms (\I*zʷǝ\i and \I*žʷa\i respectively).
576|*šˊʷV|2327|hundred|šˇ-kˀǝ|šʷ-kˀǝ|sˊa|sˊa|šʷa|    PAT \I*šʷǝ\i (with a singulative suffix -kˀǝ); PAK \I*sˊa.\i
577|*sʷV|2289|you (2d p. plur.)|šˇa-raˊ|šʷa-ra|sˊˇa|fa|sʷǝ-ʁʷaˊ|    PAT \I*sʷa-\i (cf. also Bzyb. \Isˊˇa-raˊ\i); PAK \I*sʷa.\i
578|*čʷǝ|2291|for oneself (prefix of the subject version)|č(ǝ)-|č(ǝ)-||||    PAT \I*čǝ-.\i
579|*wǝ|1826|to do, to make|a-w-raˊ||wǝ-|wǝ-|w(ǝ)-|    In PAK (\I*wǝ-)\i and Ub. the root is used as a verbal prefix or first part in verbal compounds meaning 'to do, to make'. Cf. also nominal compounds: Ub. \Išʷǝ-waˊ\i 'deed, thing', PAT \I*wǝ-sǝ\i (Abkh. \Ia-wǝˊs,\i Abaz. \Iwǝs\i) id.
580|*xV ( ~ ƛ-)|1827|to be, become|-χa-|-χa-|||šˊǝ-|    PAT \I*-xa-\i (Bzyb. \I-xa-\i), used in compound verbs (cf. Abkh. \Ia-psˊa-raˊ\i 'to have a price' - \Ia-psˊa-xa-raˊ\i 'to become a price'; Abaz. \Ibargʷǝ\i 'difficult' - \Ibargʷ-χa-ra\i 'to become difficult' etc.; in Abaz. there occurs also a variant \I-χ(ǝ\i)-, cf. \Ibaˊ-χ-ra\i 'to dry, become dry' etc.). Ub. \Isǝ-šˊǝˊ-n.\i     Shagirov (1,280;2,108) compares (with some doubt) Ub. \Išˊǝ-\i with PAK \I*sˊǝ-\i (apparently used in some compounds with the meaning 'to become'), but concedes himself that phonetically such a comparison is impossible. Despite Dumeˊzil  1938, 74 and Shagirov 2, 113, PAT \I*-xa-\i can not be related to PAK \I*χʷǝ-\i 'to  become' (for phonetic reasons).
581|*χa ( ~ χˊ-, χI-)|221|to hang|a-kˀnaˊ-ħa-ra|kˀnǝ-ħa-ra||||    PAT \I*ħa-\i (used only with preverbs).
582|*kǝ ( ~ kˊ-)|1831|to step||||čǝ-n||    PAK \I*kǝ-\i (see Kuipers 1975, 49).
583|*λˊʷV|64|to go down, lower oneself|||ja-xǝ-|ja-xǝ-|šʷa-|    PAK \I*ja-xǝ-\i (with a pronominal prefix *ja-); Ub. \Isǝˊ-šʷa-n.\i The Ad. root may be alternatively compared with the Adygh noun \I*xǝ\i 'bottom' q.v. (see Yakovlev 1941, 210), but the latter seems to have a separate EC parallel. Despite Shagirov (1,178), however, Ub. \Iχa\i 'bottom' can be connected neither with PAK \I*ja-xǝ-,\i nor with PAK \I*xǝ\i 'bottom'.
584|*GˊʷV|1836|to steal|a-ʁˊǝˊ-čˊ-ra|ʁǝˊ-čˊ-ra|tǝ-ʁʷa-n|dǝ-ʁʷa-n||    PAT \I*ɣǝ-čˊǝ-\i (a compound with an unclear second part); PAK \I*t:ǝ-ʁʷa-.\i See Rogava 1956, 39, Shagirov 1,154 (despite these authors, Ub. \Iwǝcˊ(ǝ\i)- 'to steal' can hardly be related, for phonetic reasons). The nature of initial *t:ǝ- in PAK, as well as of *-čˊǝ in PAT, is not yet clear.
585|*ʒˊV|1837|1 to hide, conceal 2 secret|a-ʒa-raˊ 1|ʒa-ra 1||bzǝ-sˊ˔ǝ-n 1|wa(n)ʒˊaˊ 2|    PAT \I*ʒˊa-\i (cf. also Bzyb. \Ia-ʒˊa-raˊ\i), \I*ma-ʒˊa\i 'secret' (Abkh. \Iaˊ-maʒa,\i Bzyb. \Iaˊ-maʒˊa,\i Abaz. \Imaʒa\i). In Ub. variants \Iwa(n)ʒˊaˊ\i and \IwIa(n)ǯaˊ\i are attested; wa- here can be treated as a prefix meaning 'to do, execute'. The Kab. word means literally 'to make (-sˊ˔ǝ-n) a secret (bzǝ-)'. See Shagirov 1,97.     PAT \I*ʒˊa-\i can, in fact, reflect a merger of two WC roots: cf. also \I*cˊ:ǝ-\i > Ub. \Iwǝ-cˊǝ-\i 'to steal' (perhaps also -psˊ- in Kab. \Iʁa-psˊ-kˀʷǝ-n\i 'to hide'?).
586|*cˊ:ǝ|1840|to steal|||||wǝ-cˊ(ǝ)-|    Ub. \Isǝ-wǝ-cˊǝˊ-n,\i plur. \Ikˊa-cˊ(ǝ\i)-. On a possible PAT parallel (\I*ʒˊa-\i) see under PWC \I*ʒˊV-.\i
587|*[cˀˊ]ǝʁa-|1843|to ask|a-cˀā-raˊ|cˀʕa-ra|||ʒʁa-|    PAT \I*cˀˊǝʕa-\i (cf. Bzyb. \Ia-cˀˊā-raˊ\i); Ub. \Isǝ-ʒʁaˊ-n.\i The word is obviously connected with EC forms like Av. \Icˀeχ:eˊ-ze\i etc., thus a hissing Anlaut is probable for PWC. We may assume that Ub. \Iʒʁa-\i is a modification of \I*ʒˊʁa-\i (since Ub. ʒˊ does not occur in any consonant clusters), which, in its turn, is assimilated from \I*cˀˊ(ǝ)ʁa-.\i
588|*qˀʷa ( ~ *qˀIʷa)|1846|to walk|a-nǝˊqˀʷa-ra|nǝqˀʷa-ra||||    PAT \I*nǝ-qˀʷa-\i (nǝ- is a preverb denoting motion away from the speaker).
589|*šˊʷa|1848|1 price 2 to pay|a-šˇa-raˊ 2|šʷa-ra 2|||šʷa 1|    PAT \I*šʷa-.\i
590|*sˊV ( ~ š-)|1849|to touch|a-kˀˊǝˊ-s-ra|qˊǝ-s-ra|na-sǝ-n|jaʡʷǝ-sǝ-n||    PAT \I*sˊǝ-\i (used only with preverbs; cf. also Bzyb. \Ia-kˀˊǝˊ-sˊ-ra\i); PAK \I*sa-\i / \I*sǝ-\i (also with preverbs).     See Shakryl 1968, 73, Abdokov 1973, 53, Shagirov 1, 180.
591|*čʷV|1851|to take, carry|||šˊa-n|ša-n||    PAK \I*čˊa-\i (also \I*čˊǝ-\i with some preverbs). See Shagirov 2, 137-138. The PWC reconstruction is tentative (because of the absence of AA and Ub. cognates); PAK *čˊ can go back to PWC *čʷ, *čˊ or *ƛˊ.
592|*q:V (~qˊ:-,qˊI-)|1853|to pull, drag|aˊ-χa-ra|a-q-ra||||    PAT \I*qV-\i (cf. also Bzyb. \Iaˊ-χa-ra\i).
593|*da-|1854|1 to choose, pick out 2 to put through, to string|a-kˀǝˊl-da-ra 2|kˀǝl-da-ra 2|xa-da-n 1|xa-da-n 1||    PAT \I*-da-\i (only with preverbs; cf. also Abaz. \Iaz-da-ra\i 'to gather' (*'to pluck, pick together'); PAK \I*-da-\i (with the preverb \I*xa-\i "group, mass"; see Kuipers 1975, 16).
594|*ɣʷa- ( ~ *Gʷ-)|1855|to plough (*'pull the plough')|aˊ-čˇa-ʁʷa-ra|čʷa-ʁʷa-ra||||    PAT \I*cʷa-ɣʷa-\i (etymology of the first part see under PWC \I*c:ʷa\i). Besides this compound cf. perhaps also Abaz. \Ir-ʁʷʁʷa-ra\i 'to stretch' (although it may be also analyzed as a derivate from \Iʁʷʁʷa\i 'straight, even').
595|*χʷaǯˊǝ-|1857|to change||ħʷaǯˊ-ra|χʷažˊǝ-n|χʷažǝ-n||    PAK \I*χʷaǯˊǝ-.\i Ub. \Iχʷaˊžˊǝ-\i (\Ia-s-χʷaˊžˊǝ-n\i) 'to change' should be considered as a loan from Adygh.
596|*tχʷV|1859|1 to rake up, shovel up 2 to tear off, tear away|ajzǝˊ-ħʷħʷa-ra 1|az-ħʷħʷa-ra 1|tχʷǝ-n 1|tχʷǝ-n 1|tχʷ(ǝ)- 2|    PAT *ħʷa (with emphatic gemination, used only with reciprocal and versional prefixes); PAK *tχʷǝ-. The Ub. stem is used only with preverbs (ja-tχʷ-, ʁa-tχʷ- etc., see Vogt 191), and is somewhat dubious semantically.     See Abdokov 1973, 68; Shagirov 2, 78.
597|*q:IʷV|1869|to run|aˊ-ʕʷ-ra|ʕʷ-ra|||qIa-|    PAT \I*ʕʷǝ-;\i Ub. \Isǝ-qIaˊ-n\i (with secondary delabialisation).
598|*čˊ:ʷa|1871|1 to run 2 to walk uncertainly|||ča-n 1|ža-n 1|kˀˊaˊ-čˊa- 2|    PAK \I*č:a-;\i Ub. \Isǝ-kˀˊaˊ-čˊa-n.\i The Ub. verb is a compound with \Ikˀˊa-\i 'to go, walk'. For phonetic reasons the comparison of PAK \I*č:a-\i and Ub. \I-čˊa-\i (pointing to PWC \I*čˊ:ʷa-\i) is preferable to other comparisons: PAK \I*č:a-\i and Ub. \Ižaja\i 'swift' (Meˊszaˊros 1934, 326); PAK \I*č:a-\i and PAT \I*cˊa-\i 'to go' (Shagirov 1, 193).
599|*qˊ:Ia ( ~ *qˀˊIa)|1879|to raise, to lift|||ʡa-tǝ-n|ʡa-tǝ-n|qˀaˊ-sˊa-|    PAK \I*ʡa-tǝ-;\i Ub. \Ia-s-qˀaˊ-sˊa-n.\i Both PAK and Ub. reflect compounds with unclear second components. Since, despite Dumeˊzil (1932, 107-108), PAK *t can not correspond to Ub. sˊ, we have to admit that the meaning 'to lift, raise' is here expressed by the component PAK \I*ʡa-,\i Ub. \Iqˀa-\i < PWC \I*qˊ:Ia-\i (or \I*qˀˊIa-\i), which must be therefore distinguished from the homonymous PWC root for 'hand' (q.v.).
600|*(b)zʷǝ|1882|to melt, thaw|||zˊʷǝ-n|vǝ-n|bžˊ(ǝ)-|    PAK \I*zʷǝ-;\i Ub. \Isǝ-bžˊǝˊ-n.\i Initial b- in Ub. is an old prefix; \Ibžˊǝ-\i < \I*bzˊʷǝ-\i < \I*bzʷǝ-\i (with a regular dissimilative delabialisation after b-).
601|*cˀʷV|1883|to weep, cry|a-čˀˇǝˊ-wa-ra|čˀʷu- / čˀʷǝwa-ra|||cˀʷa-|    PAT \I*cˀʷǝ-wa-;\i Ub. \Isǝ-cˀʷaˊ-n.\i
602|*kˀǝ|570|to catch, hold, grab|a-kˀ-raˊ|kˀ-ra||||    PAT \I*kˀǝ.\i
603|*zˊV|1888|1 to be ill, sick 2 illness, disease|a-čˊǝˊma-zaʕʷ-1|zʕʷa 2|wǝzǝ 2|wǝz 2|zˊa-ʁʷaˊ 2|    PAT \I*zVʕʷV;\i PAK \I*wǝ-zǝ\i (*wǝ- is a frequent verbal prefix). For PWC we can also reconstruct a compound \I*zˊV-ʁʷV\i (besides the listed forms cf. also Kab. \Iwǝzǝʁʷa\i = \Iwǝzǝ\i); the second part (*-ʁʷV) is not quite clear etymologically (it can be attributed to several PWC roots).
604|*kˀǝ ( ~ *kˀˊ-)|1898|1 to forge 2 smithy|||čˀˊǝšˊǝ 2|čˀǝsˊ 2|kˀˊǝ- 1|    PAK \I*kˀǝ-šˊǝˊ\i ( = Ub. \Ikˀˊǝ-sˊ\i 'smithy'); Ub. \Ia-kˀˊǝˊ-n,\i \Ia-sǝ-kˀˊǝˊ-n.\i In PAK the root is reflected also in \I*dǝsˊa-kˀǝ\i (Kab. \Idǝsˊačˀ\i) 'goldsmith'. See Shagirov 2, 135 (with literature).
605|*qˀˊIʷa|1901|1 to stick into, pierce 2 to stick out|aˊ-l-ħʷa-ra 1|ʕa-l-ħʷa-ra 2||||    PAT \I*ħʷa\i (used only with preverbs). PAT *ħʷ can have several PWC sources, thus the reconstruction of a glottalized affricate is only one of the possibilities.
606|*ʁˊIʷV|1903|1 to beat 2 to beat up, whip|a-ʕʷ-ra 2|ʕʷ-ra 2|wa-n 1|wa-n 1||    PAT \I*ʕʷǝ;\i PAK \I*wa.\i The AK root is compared by Dumeˊzil (1971,158-159) with Ub. \Ija-,\i but the correspondence AK *w : Ub. j is irregular (whereas PAT *ʕʷ : PAK *w is normal and points to PWC *ʁˊIʷ).
607|*nǝq:ʷa ( ~ -qˀʷ-)|1904|half|||nǝq:ʷa|nǝq:ʷa||    PAK \I*nǝq:ʷaˊ.\i The inner morphological analysis proposed by Shagirov (1, 286: nǝ- = -na in \I*šˊa-naˊ\i 'one third', \I*pˀƛˀa-naˊ\i 'one fourth' etc., \I-q:ʷa\i - component meaning "not quite, a little") is very dubious.
608|*qˀǝ|1905|to cut|a-p-qˀa-raˊ|p-qˀ-ra|||qˀǝ-|    PAT \I*qˀV\i (in Abkh. there also exists a variant \Ia-pqˀ-raˊ;\i cf. also \Ia-t-qˀa-raˊ\i 'to cut out', showing that t- and p- are prefixes). Ub. \Ia-s-qˀǝˊ-n.\i  Abdokov (1983, 161) compares also PAK \I*wǝʡa-\i 'to wound' (Ad., Kab. wǝʡa-) which is rather dubious for phonetic reasons (-q:- would be normally expected).
609|*qˀˊIʷa|1908|1 to tan, rumple, soften (leather) 2 to thresh||ħ:ʷa-ra 1|ʡʷa-n 2|ʡʷa-n 2,1||    PAK \I*ʡʷa\i (the meaning 'to tan, soften' is preserved in Kab. \Iʡʷa-tǝ-n\i and Ad. \Isˇa-ʡʷā-ca,\i Kab. \Ifa-ʡʷā-ʒa\i 'implement for softening leather' - see Kuipers 1975, 73).
610|*qˀʷVčˀˊV|1909|to rumple, crumple, rub|a-qˀʷčˀˊ-raˊ|qˀʷčˀˊ-ra|||qˀʷačˀˊaˊ-|    PAT \I*qˀʷǝčˀˊǝ-;\i Ub. \Ia-s-qˀʷačˀˊaˊ-n.\i
611|*p-š:ʷa ( ~ -šˊ:ʷ-)|1911|to knead|||pša-n|psˊǝ-n||    PAK \I*pš:a-\i / \I*pš:ǝ-\i (cf. also Bzhed. \Ipš:a-\i 'to knead', Kab. \Ixa-psˊa-n\i 'to put into (a mass)'). See Kuipers 1975, 42.
612|*qˀˊʷǝ|1913|1 to fasten, button up 2 fastening, button|||čˊǝ-ʡʷǝ|s˔ˊǝ-ʡʷ|qˀˊǝ-|    PAK \I*čˊǝ-ʡʷǝˊ;\i Ub. \Ia-s-qˀˊǝˊ-n.\i The meaning of the component *čˊǝ- (*čˀˊǝ-) in PAK is not clear.
613|*bǝčˀǝ|1915|1 to rumple, crumple 2 to press, be pressed|a-r-bǝcˀ-raˊ 1|r-bcˀ-ra 1|||bǝcˀ(ǝˊ)- 2|    PAT \I*rǝ-bǝcˀˊǝ\i (with a causative prefix; cf. also Bzyb. \Ia-r-bǝcˀˊ-raˊ\i 'to rumple'); Ub. \Ia-bǝcˀǝˊ-n\i 'il est opprimeˊ', \Ia-sǝ-bǝcˀǝˊ-n\i 'je le presse'. The correspondence PAT *cˀˊ : Ub. cˀ points to PWC non-palatalized *čˀ.
614|*ǯǝ ( ~ ʒ-)|1916|to plait, wattle||||zaʡʷǝ-ʒǝ-n|ʒǝ-|    Ub. \Ia-z-ʒǝˊ-n.\i The Kab. word is formally analysed as 'to throw (\Iʒǝ-\i) together', but in view of the Ubykh evidence it is rather a trace of an independent verbal root. The correspondence Ub. ʒ : PAK *ʒ can point both to PWC *ǯ and *ʒ.
615|*k:a ( ~ g-)|1917|to bring, carry|a-ga-raˊ|ga-ra||||    PAT \I*ga.\i
616|*(p)sV|1867|1 to scatter 2 to sow|a-ta-psa-raˊ 1|ta-psa-ra 1,2||te-sa-n 1|wa-s(ǝ)- 2|    PAT \I*pǝsa-\i (used only with preverbs, cf. also \I*kˀa-pǝsa-\i 'to throw, scatter'). See Shagirov 1962,53, Abdokov 1973,72, Shagirov 2,72 (with literature). In view of this etymology, the Ubykh merger with \Iwa-s(ǝ)-\i 'to sit in' appears secondary.
617|*xʷa|1923|to smear||||sˊǝ-xʷa-n|šˊǝ-fa-n|    PAK \I*šˊǝ-xʷa-\i (šˊǝ- is a locative preverb).
618|*λˊʷǝ|1927|to plait|aˊ-š:-ra|š:-ra|fǝ-n|xʷǝ-n|šʷǝ-|    PAT \I*š:ǝ\i (with expressive gemination); PAK \I*xʷǝ;\i Ub. \Ia-s-šʷǝˊ-n.\i See Klimov 1967, 303; Shagirov 2, 109.
619|*bǝkˀǝ|1932|to press, scrape, pinch||bkˀ-ra|||bakˀˊǝ-|    Ub. \Ia-z-bakˀˊǝˊ-n.\i
620|*sˊʷV|1937|to weave|a-s-raˊ|s-ra|sˊa-n|sˊa-n||    PAT \I*sˊǝ\i (cf. also Bzyb. \Ia-sˊ-raˊ\i); PAK \I*sˊa.\i The correspondence PAT *sˊ : PAK *sˊ points only to PWC *sˊʷ.
621|*Ła|1938|1 smoke 2 god, spirit 3 to suffocate|aˊ-l-ʕʷa 1|lʕʷa 1|tħa 2|tħa 2|La-L- 3|    PAT \I*lǝ-ʕʷa\i (a compound with \I-ʕʷa\i < \I*ʁʷV\i 'smoke' q.v.); PAK \I*tħa;\i Ub. \Isǝ-LaLǝˊ-n.\i The Ub. verb is an exact match for PAK \I*tħa-La-\i 'to suffocate' (Ad. \ItħāLa-,\i Kab. \ItħaLa-\i), see Bouda 1960, 200, Shagirov 2, 82. This is an additional factor in favour of Kuipers' hypothesis that PAK \I*tħa\i originally had meant 'life, breath'. Since PAK \I*tħa\i corresponds well to Ub. \ILa\i (going back to PWC \I*Ła\i), all other theories about the origin of PAK \I*tħa\i (comparison with Greek \Itheoˊs,\i fantastic comparisons with \I*ħa\i 'dog', \I*t:ǝʁa\i 'sun' etc. - see the full list in Shagirov 2,79-80) should be discarded.
622|*sʷa|1939|to measure|a-šˇa-raˊ|šʷa-ra|||sʷa-|    PAT \I*sʷa\i (cf. also Bzyb. \Ia-sˊˇa-raˊ\i); Ub. \Ia-sǝ-sʷaˊ-n.\i
623|*jV|1940|to rub, plaster|||jǝ-n|jǝ-n|ja-|    PAK \I*jǝ-;\i Ub. \Ia-z-jaˊ-n.\i See Shagirov 1, 185.
624|*ʒʷa|1944|1 to wash 2 to dam, cut off (water)|aˊ-ǯˇǯˇa-ra 1|ǯʷǯʷa-ra 1|ʒˊʷa- 2|||    PAT \I*ʒʷa\i (with emphatic gemination). Phonetically the Ad.-Abkh. comparison is very probable; the semantic change must be postulated as "to pour water (enough) for washing" > "to cut off (water), to dam".
625|*šʷV|1945|to wash|a-šˇa-raˊ||||šǝ-|    Ub. \Ia-s-šǝˊ-n.\i
626|*χʷa|1949|1 to scratch 2 to rub|a-ħʷa-raˊ 1|ħʷa-ra 1|χʷa-n 2|χʷa-n 2|χʷaχʷaˊ- 1|    PAT \I*ħʷa;\i PAK \I*χʷa\i (cf. also \I*tˀa-χʷa-\i 'to scratch' > Ad., Kab. \Itˀaχʷa-\i); Ub. \Isǝ-χʷaχʷaˊ-n.\i The Ub. form is reduplicated.     See Abdokov 1973, 69; Shagirov 2, 86, 112.
627|*ga|1954|1 to call 2 to be heard (of sound, voice)|a-ga-raˊ 2|ga-ra 2|ǯˊa-n 1|ǯa-n 1||    PAT \I*ga;\i PAK \I*ga\i (the objective form \I*ja-ga-\i means also 'to read, learn, study'). See Shagirov 1, 161.
628|*χʷa|1955|1 to ask 2 to search|aˊ-ħʷa-raˊ 1|ħʷa-ra 1|λǝ-χʷǝ-n 2|λǝ-χʷa-n 2|χʷa- 1|    PAT \I*ħʷa\i (with accent variation in Abkh.); PAK \I*λǝ-χʷǝ-\i / \I*λǝ-χʷa-\i (on the distribution of the two forms and the preverbial nature of *λǝ- see Shagirov 1,256); Ub. \Isǝ-χʷaˊ-n\i (Shagirov ibid. compares Ub. \Iχʷaˊ-čˊa-\i / \Iχʷa-čˊaˊ-\i 'to search' - which obviously contains the same root). In Adygh cf. also \I*χʷa-psa-\i 'to envy' ("ask" + "soul") > Ad., Kab. \Iχʷa-psa-.\i
629|*χʷV|2170|to shout|aˊ-ħʷħʷa-ra|ħʷħʷa-ra|||wa-χ(ǝ)-|    PAT \I*ħʷa\i (with expressive gemination); Ub. \Isǝ-waχǝˊ-n.\i
630|*(a)šʷa ( ~ -sʷ-)|1958|song|aˊšˇa|ašʷa||||    PAT \I*asʷa\i (cf. also Bzyb. \Iaˊsˊˇa\i id.).
631|*q:Iʷǝ|1959|1 to bark 2 to howl|||hā-q:ʷǝ-n 1|q:ʷǝ-ʁǝ-n 2|qIʷǝ- 1|    PAK \I*q:ʷǝ-\i (in Kab. - a compound with \Iʁǝ-n\i 'to weep, cry'); Ub. \Ia-qIʷǝˊ-n.\i
632|*χIʷV|1960|1 to graze (intr.) 2 to graze (trans.)|a-ħʷ-raˊ 1|ħʷ-ra 1|χʷǝ-n 1|ʁa-χʷǝ-n 2|χIǝ- 1|    PAT \I*ħʷǝ;\i PAK \I*χʷǝ;\i Ub. \Ija-χIǝˊ-n\i (with secondary loss of labialisation).     See Meˊszaˊros 1934, 400; Shagirov 1, 312.
633|*ba ( ~ *bIa)|1963|1 kiss 2 to kiss||ba 1|ja-ba-wǝ-n 2|bā 1||    PAK \I*ba,\i \I*ja-ba-wǝ-\i (cf. also Kab. \Ijabawǝ-n\i "to smack one's lips"). An expressive root; see Shakryl 1968, 64, Shagirov 1, 66, 170.
634|*kˀˊV(-ʒV)|1970|to tremble|a-kˀˊǝʒ-kˀˊǝˊʒ-ra||čˀˊazazǝ-n|čˀazazǝ-n|kˀˊā-da-|    PAK \I*kˀazǝzǝ-\i (Kab. > Abaz. \Ikˀˊazǝz-ra\i id.); Ub. \Ia-kˀˊā-daˊ-n.\i The second  part of the stem \I*kˀˊV-ʒV\i probably goes back to a separate root \I*(p)-ʒVʒV\i 'to  tremble' q.v.
635|*cˀǝsǝ / *sǝsǝ|1969|to tremble, shake|a-cˀǝs-raˊ|cˀs-ra|sǝsǝ-n|sǝsǝ-n||    PAT \I*cˀǝsǝ;\i PAK \I*sǝsǝ-.\i An expressive root with irregular glottalisation in PAT.
636|*λˊʷV-čˊV / *čˊVλˊʷV|1972|to laugh|aˊ-čˊčˊa-ra|qǝ-čˊčˊa-ra|šˊxǝ-n|daħa-šxǝ-n|šʷačˊaˊ-|    PAT \I*čˊčˊa-\i (assimilated < \I*š(ǝ)čˊa-\i); PAK \I*čˊxǝ-;\i Ub. \Isǝ-šʷačˊaˊ-n.\i Shagirov (2,149) justly criticizes Klimov (1967, 304) for comparing PAT \I*čˊčˊa-\i with PAK \I*šˊǝšˊǝ-\i 'to neigh', and follows Abdokov (1973, 24) in comparing PAT \I*čˊčˊa-\i and PAK \I*čˊxǝ-;\i he also adds the Ubykh form, but only its second part (-čˊa) - see Shagirov 2, 149.     Since PAK *čˊ = Ub. čˊ and PAK *x = Ub. šʷ, it seems very probable to compare the words in whole (assuming a metathesis in one of the subgroups). The PAT form \I*čˊčˊa\i can be easily explained as a result of assimilation < \I*šǝčˊa\i (where *š < *λˊʷ and *čˊ < *čˊ). Therefore the commonly accepted comparison of Abkh. \I-čˊčˊa-\i with PK \I*cc-\i 'to laugh' (Charaya 1912, 48, Shagirov ibid etc.) seems rather superficial. If PWC \I*λˊʷV-čˊV-\i (\I*čˊV-λˊʷV\i) is a compound verb, only its component \I*čˊV\i can be compared with Kartvelian (we should add that both forms are probably onomatopeic in origin); the component \I*λˊʷV\i is certainly related to EC forms meaning 'to laugh'.
637|*pˀǝ˜cˊV|1976|lie|aˊ-mc|mcǝ|pˀcˀǝ|pˀcˀǝ|mǝcˊaˊ|    PAT \I*mǝcˊǝ\i (cf. also Bzyb. \Iaˊ-mcˊ\i); PAK \I*pˀcˀǝ.\i See Shagirov II, 51 (with literature).
