NUMBER|PROTO|PRNUM|MEANING|DRG|CHR|COMMENT
541|*daꭓIim-c̣ala|1508|mirror|daIħimc̣ala||    Cf. also Ur. \IdaIħumc̣ala,\i Kub. \IlaIħaImc̣ala,\i Kait. \IdaIħinc̣ala\i etc. Most dialects point to PD *ꭓI (e.g. Kub. -ħ- only goes back to ꭓI), thus the Chirag form \Idaħmic̣al\i must be considered as a loan from some other Darghian dialect. The PD component *-c̣ala in this word is not clear.
542|*q̇uni|1510|corn-bin||q̇une|
543|*laq̇u-r|1511|cradle|laq̇uj (Kub.)||
544|*ḳaṭa|1514|shovel|ḳaṭa|ḳaṭa|    Cf. also Ur., Tsud. \Iḳaṭa,\i Kub. \IḳaIṭa\i (with unclear pharyngealisation).
545|*qaba|1515|vase|qaba||    Cf. also Ur., Tsud. \Iqaba\i 'a k. of pot'.
546|*q̇Iʷaš(a)|1517|scoop|q̇aIš-maʔu|q̇Iuša|    The component -maʔu in Ak. is unclear.
547|*q̇us:a|1521|spoon|q̇ulsa||    The Ak. form q̇uls:a probably goes back to a suffixed \I*q̇us:V-la;\i the suffixless form is preserved in Gapsh., Tsud. \Iq̇us:a\i 'spoon'. The secondary form with -l- penetrated some Lezghian languages: cf. Rut. Ikhr. \Iq̇Iɨlse,\i Kryz. \Iꭓolsä\i 'wooden shovel'.
548|*q̇Iaga|1522|pitchfork|q̇aIga|q̇Iaɣa|    Cf. also Gapsh. \Iq̇Iaɣa\i id.
549|*č̣[i]ṭ|450|lead||č̣iṭ|    Cf. also Tsud. \Ič̣aṭ\i id. (with unclear vowel correspondence).
550|*qaqa|1580|grain, seed|qaqa (Tsud.)||    The Darg. word (although attested only in the Tsud. dialect) is the probable source of Lak. \Iqaqu\i 'millet' (an etymological doublet with \Iquwqu\i 'wheat groats').
551|*=irs:- / *=is:-|1530|to cut out|=irs-es|=irs:- / =is:-|    Cf. also Ak., Ur., Kub. \Idis,\i Chir., Kharb., Tsud., Kait. \Idis:\i 'knife' - an old derivate from this verbal root.
552|*waq:|1536|cup; ladle, scoop|waG||    Cf. also Kub. \Iwaq\i (pl. \Iwuq:e\i) 'cup'.
553|*gažin|1538|small jar, jug|gažin|gažin|
554|*=umz-|1544|to filter|umʔ-es||
555|*q:Iamc̣a|1546|tongs, pincers|GIamc̣a|ʁIac̣a|    Cf. also Ur. \IGaImc̣a,\i Kub. \Iq:Iac̣a,\i Tsud. \Iq:imc̣a,\i Sirg. \Iq:Iamc̣a.\i Chir. \IʁIac̣a,\i as well as Gapsh. \Iq̇Ianc̣a\i are irregular (reflecting dis-/assimilations).
556|*ṭaq̇a|1549|hive|ṭaq̇a||
557|*q:ʷaṭ|1552|comb for carding wool||q:ʷaṭ|
558|*ʔus:i|1554|granary|usi||    Cf. Ur. \Iusi,\i Tsud. \Ius:i\i id.
559|*deʁ|513|bank, shore|deʁ||
560|*mursi|1559|gold|murhi|muse|    Cf. also Ur. \Imurhi,\i Kub. \Imute,\i Tsud. \Imursi\i / \Imusi\i id.
561|*heš(:) ( ~ ħ-)|515|dust (of rotten wood)|ħeš||
562|*ʔarc|1560|silver|arc|arc|    Cf. also Ur., Tsud. \Iarc,\i Kub. \Iās\i id.
563|*meꭓ|1561|1 iron 2 horseshoe|meh 1|meꭓ 1,2|    Cf. also Kad. \Imih,\i Kub. \Imiꭓ,\i Tsud. \Imeꭓ\i 'iron', Ur. \Imirh\i (with an unclear -r-), Kait. \Imeh\i 'iron; lock'.
564|*dabs:i|1563|copper, red copper|dubsi|dabs:e|    Cf. also Ur. \Idubsi,\i Kub. \Idubse,\i Tsud. \Idubs:i.\i Darg. > Lak. \Iduws:i\i (Khosr. \Idūs:i\i) 'red copper'.
565|*hanḳ|525|sleep (n.)|hanḳ||    Cf. also Kait. \Ianḳa-la\i id.
566|*k:a|1571|charcoal|ga||    Cf. also Ur. \Iga,\i Kub. \Ik:a\i id.
567|*=uḳ(Vn)- / *ulḳ-|1573|to spin|luḳ-es||
568|*=arꭓVr- / =urꭓ-|1574|to sew||=arꭓVr- / =urꭓ-|    Cf. also derivates: Chir. \Ib-arꭓare\i 'thread', (other dialects reflect also \I*b-i(r)ꭓala\i 'thread').
569|*c̣iḳʷa|1577|skein, hank||c̣iḳʷa|
570|*durek:a|1581|comb|durega|darak:a|    Cf. also Ur. \Iduriga,\i Kub. \Idāk:a.\i
571|*ʔarɣ|1583|handle|ar||    Cf. also Ur. \Iarʔ,\i Meg. \Iarʔ\i 'handle'.
572|*=imꭓ:Vr|1587|to plait, weave|=umꭓ-es||    Cf. also Ur. \I=imꭓVr\i / \I=umꭓ-\i id.
573|*=ilꭓVn-|1588|to bind, to tie||=iꭓ- / =ilꭓ-|    Cf. also Ur. \I=ihVn-\i / \I=ilh-\i 'to tie, bind'; PD \I*d-irꭓan\i / \I*d-irꭓala\i 'rope' (Chir. \Idirꭓala,\i Kub. \Idirꭓan\i).
574|*s:ant|1592|hammer||s:ant|
575|*=ac̣-|562|to go down|ka=ac̣-es||
576|*mis, *misV-la|1597|tinder|milha / mirha|mis|    Ak. \Imilha\i / \Imirha\i goes back to \I*mis\i with a *-la suffix; the Russ.-Darg. dictionary also lists a form \Imilta,\i which must be actually a form from the Kubachi dialect (with the typical development *s > t).
577|*ʔalꭓana|1598|saw||alꭓane|    Cf. also Kub. \Ialꭓana\i 'file'.
578|*derx:a|1599|1 stick 2 staff|derxa 1|derx: 2|    Cf. also Ur. \Idirxa,\i Kub. \Idēx:a,\i Sirg. \Idirx:a\i 'stick'.
579|*ṭʷaħ|576|a jump, leap|ṭaIħ||    The original meaning is 'foot', cf. Kad. \Iṭaħ,\i Ur., Sirg. \Iṭʷaħ,\i Kait. \Iṭah\i 'foot, hoof', Kub. \IṭuIj\i 'foot', Kharb. \Iṭaħ\i 'foot, paw'.
580|*ꭓ:ur-ka|1600|rasp file|ꭓurka||    Darg. \I*ꭓ:urka\i is the probable source of Lak. \Iꭓ:uku dan\i, \Iꭓ:uku ṭun\i 'to saw'.
581|*ṭimq̇|1603|trap|ṭimq̇|ṭanq̇|    Cf. also Mek. \Iṭimq̇.\i
582|*q̇ala ( ~ *q̇ʷ-)|1606|precipice|q̇ala-la baIħ||    Lit. 'side, edge (\IbaIħ\i) of precipice'.
583|*duk-la|1610|bosom, at one's bosom|dukla||    Ak. dukla can be formally treated as a locative of \Idukala\i 'wing; armful' (PD \I*dukala\i). For PD two similar forms meaning 'wing' can be reconstructed: \I*dukala\i and \I*dux:ala\i (q.v.), reflected in different dialects. In PD there must have existed \I*x:ala\i 'wing' and \I*dukala\i ( < \I*dur(u)ka-la\i) 'bosom', with a subsequent mixture of reflexes. Cf. also perhaps Chir. \Idukla-š\i 'vagina (of an animal)'.
584|*=iꭓ:- / =uꭓ:-|1611|to carry, bear|-iꭓ-es||    Cf. the Ur. paradigm(s): \I=uꭓ-\i / \I=iꭓ-\i 'to carry' (3d pers.); \Iꭓ-\i / \I=iꭓ-\i id. (non-3d pers.); dur. \Iarꭓ-.\i     A PD derivate is \I*deꭓ:\i 'pack, burden': Ak. \Ideꭓ,\i Chir. \Ideꭓ:,\i Ur., Kub. \Idiꭓ.\i
585|*maꭓ:|1612|burden, load, bundle|maꭓ|maꭓ:|    Cf. also Ur. \Imaꭓ,\i Kub. \Imaꭓ\i (pl. \Imuꭓ:e\i).
586|*duč|1613|bundle (of firewood, hay)||duč|
587|*ꭓ:ala|1614|bundle|ꭓala||    Cf. also Ur., Muir., Kub. \Iꭓala,\i Tsud., Sirg. \Iꭓ:ala\i id.
588|*ʔur-x:ʷir|1620|bridle|urhur|urx:ur|    Cf. also Kub. \Iux:uj,\i Ur. \Ihurhur\i id.
589|*=ilč̣Vn / =uč̣-|601|to read|=uč̣-es||    Cf. also Ur. \I=ilč̣Vn-\i / \I=uč̣-\i id.
590|*ʁaIl|1621|sledge, sleigh|ʁaIj|ʁIal|    Cf. also Kait., Sirg., Muir. \IʁIal,\i Kub. \IʁIar\i (with obviously a secondary -r < *-l through assimilation, because original *r > Kub. j/0).
591|*ħula|1623|wheel|ħula|ʕula|    Cf. also Ur., Tsud. \Iħüla,\i Kub. \Iule\i id.
592|*=erc:- / *=uc:-|611|1 to bake, roast 2 to roast (grain)|=erz-es 1|=erc:- /=uc:-|    It seems worthwhile to note also PD \I*=imč:Vr-\i / \I*=umč:-\i 'to warm oneself, warm up' (Ak. \I=umž-es,\i Ur. \I=imǯVr-\i / \I=umǯ-\i) which can reflect a variant of the same EC root with a secondary labialisation ( \I*=ĭmʒ́wĔr\i). The non-labialised variant, because of the regular change *ʒ́ > *c:, is in PD confused with the reflex of PEC \I*=ĕrc̲Ă\i 'to roast (grain)' q.v.
593|*ɣʷili|1625|saddle|gili|gile|    Cf. also Mek. \Iguli-bꭓa,\i Sirg., Tsud. \Iguli,\i Ur. \Igili,\i Kait. \Ižili,\i Kub. \Ižilūꭓ:a,\i Muir. \Iwili.\i
594|*ʔaIrčuma[k:]|1630|whip|ʕaIrčumag|č̣umaq̇I|    Cf. also Mek. \IaIrč̣umaq,\i Gapsh. \Iʕarčumaɣ,\i Kub. \IaIrčmaIk,\i Kharb. \Ialčumag,\i Tsud. \IaIrčimah.\i Correspondences are somewhat distorted because of the word's complicated phonemic structure and expressive meaning. Loss of the initial syllable in Chirag may be secondary, or may be explained by Lezghian influence (see below).
595|*qu|628|field|qu|qu|    Cf. Ur., Gapsh., Kub., Tsud. \Iqu\i 'field, arable land'.
596|*hurqi|1633|mountains|urqi||    Cf. also Kub. \Ihūqe\i id. (plur. tant.). In Ak. there exists also a reduplicated form: \Iruqruqi\i 'ravine, precipice' ("падь").
597|*durac:|1635|wooden plough|duraz|darac:|    Cf. also Ur. \Iduraʒ,\i Kub. \Idāc,\i Tsud. \Idurac\i id. Dargwa is the source for names of 'plough' in several Lezghian languages: Tab., Ag. \Iduruc,\i Lezg. \Itürez\i (Khl. \Ituraz\i). A special reflex is found in Tsakhur: Tsakh. \Iwēca,\i Gelm. \Iwɨjaca\i < \I*ruraca\i 'wooden plough'. Since a normal reflex of \I*Hrājc̲ū\i in PL would be \I*rac,\i this Tsakhur word should be also considered a loan from early Dargwa (before the development (\I*Hurac:\i > \I*rurac:\i) > \I*durac:.\i
598|*k:utan|1636|plough|gutan||    Cf. also Kad. \Iɣutan,\i Kharb., Tsud. \Ik:utan\i id.
599|*ʁʷab|912|ploughshare|ʁab|ʁʷab|
600|*duḳ|1639|yoke|duḳ|duḳ|    Cf. also Ur., Kub., Tsud. \Iduḳ\i id.
601|*k:ac:a|1641|hoe, mattock|gaza||    Cf. also Ur. \Igaʒa,\i Tsud. \Ik:ac:a.\i Ak. \Igaza,\i as well as Chir. \Igaza\i (cf. also Kait., Kub. \Ik:aza\i) can be borrowed from Av. or Lak.
602|*=arq- / =irq-|1643|to strip, to flay|=arq-/=irq- (Ur.)||
603|*mirx:|1646|sickle|mirš|mirx:|    Cf. also Sirg., Kait. mix, Ur. mirš, Gapsh. mix:, Kub. mīx, Kharb. mīš, Tsud. mirx / mix. Forms with weak x (or -š < *x) probably reflect a contamination with the verbal root *-irx- 'to reap' q.v.
604|*=irx-|1649|to reap|=irš-es|=irx:-|    Cf. also Ur. \I=irš-\i id. In PD we must reckon with a contamination of \I*=ix-\i 'to reap' (originally without -r- and with a weak -x-) and \I*mirx:\i 'sickle' (q.v.). The reflex -š- in Ak. and Ur. clearly points to a weak *-x-, thus the Chirag -x:- is obviously secondary (under influence of \Imirx:\i 'sickle'). Cf. also another Chir. derivate: \Iarx:la\i 'a crooked sickle'.
605|*daraz|1657|threshing-floor||daraz|
606|*=uk:- (/=Vlk:-)|1658|to thresh|(deg) d-ug-es||    The verbal stem is attested only in Ak., in a compound with \Ideg\i 'threshing, threshing board', which itself is derived from the same root (see below). There are two nominal derivates:     1. Chir. \Ialč:e\i (plur. \Ialk:-me\i) 'threshing board', reflecting PD \I*ʔalk:i.\i This noun is immediately derived from the verbal stem \I*-Vlk:-\i (which is itself unattested).     2. PD \I*dek:\i > Ak. \Ideg,\i Chir. \Idek:\i (cf. \Idek: b-arq̇i\i 'to thresh'), Ur. \Idig\i etc. 'threshing, threshing board'. The same stem is reflected in Ur. \Idugini\i  'threshed corn, fodder'.
607|*nek:ʷ|1659|chaff|neg|nek:ʷ|    Cf. also Kub. \Inikʷ,\i Kharb. \Inek,\i Ur. \Inig,\i Muir. \Inik\i id.
608|*c̣uk|1662|straw|c̣uk||    Cf. also Tsud. \Ic̣uk\i id.
609|*s:uṭa|1667|tomb-stone||s:uṭa|
610|*beḳa|1669|snow-drift|beḳa||    Cf. also Tsud. \Ibeḳa\i id., Kub. \Ibiḳa\i 'heap'.
611|*s:ana|1670|sunny side, southern slope||s:ana|    Cf. also Kub., Sirg. \Is:ana\i id.
612|*q̇unṭa|2072|grotto|q̇unṭa||
613|*q:I(ʷ)art: ( ~ -d)|1675|valley|q:aIrd||    Borrowed from Darg. is probably a Tab. form, isolated within Lezghian: Tab. \IʁIar,\i Düb. \Iq:Iar\i 'brook, stream' (preserving the more archaic meaning).
614|*ħerḳʷ|1676|river|ħerḳ|ʕarḳʷ|    Cf. also Ur. \Iħarḳ,\i Kub. \Iāḳʷ,\i Tsud. \Iħerḳ\i / \Iħarḳʷ,\i Muir. \Iħirḳ\i id.
615|*ḳaw|1677|lake, pool|ḳaw||    Cf. also Ur., Kharb. \Iḳaw\i id.
616|*šara|1678|lake|šara|šara|    Cf. also Kub. \IšāI,\i Tsud. \IšaIri\i (both are MSU recordings; the source of pharyngealization is unclear - faulty record?).
617|*ʔurx:ʷi|1679|sea|urxu|urx:u|    Cf. also Tsud., Muir., Sirg. \Iurx:u\i id.
618|*ʕin(i)c:|1680|spring|ʕiniz|ʕinc:|
619|*q:at:a|1681|gorge, ravine|q:ada|q:at:a|    Cf. also Mek. \Iq:ada,\i Tsud. \Iq:at:a\i id.
620|*ꭓ:Iʷab|1682|grave|ħaIb|ꭓ:Iab|    Cf. also Ur. \IħʷaIb,\i Kub. \Iꭓ:Iab,\i Tsud. \Iꭓ:Iʷab.\i
621|*kV-|2300|where||ka-la|
622|*c:ak|1683|sky|zak||    Cf. also Ur. \Iʒak,\i Kharb., Muir. \Ic:ak\i id.
623|*č̣aIt(:)|358|dirt, mud|č̣aIt (Tsud.)||    The final position of -t in Tsud. allows for reconstructing either PD *-t: or *-t.
624|*čič-iḳ-|1684|small stone||čičiḳan|
625|*ʁIabʁIa|1685|gravel, road-metal|ʁaIʁaI|ʁIabʁIa|    A variant \IʁIawʁIa\i is also recorded for Chir. (possibly a loan from Lak.).
626|*ꭓIarꭓIa ( ~ ꭓ:I)|1687|bullet|ħaIrħaI||    The semantic development ('small stone' > 'bullet') is quite natural.
627|*q:(ʷ)it|1688|sediment, slush|q:it||
628|*ḳanṭ|1691|1 drop, spot 2 freckle|ḳanṭ 1|ḳaṭḳaṭaj 2|    Cf. also Kub. \Iḳaṭ\i 'spot, dot'. The root should be distinguished from \I*ḳunṭ\i q.v.
629|*duꭓIi|1694|snow|daIħi||    Cf. also Ur. \IduħaI,\i Muir. \Iduꭓ:i\i ( = \IduIꭓi\i) id.
630|*šaꭓʷ|1695|1 hoar-frost 2 dew|šaꭓ 1|šaꭓ 2|    Cf. also Kub. \Išaꭓʷ\i 'hoar-frost'.
631|*marꭓ:alV|1698|snow||marꭓ:ale|
632|*siris|1701|hoar-frost|siris|siris|    Ak. \Isiris\i is a borrowing from some other dialect (preserving *s, like Chirag) - otherwise \I*hirih\i would be expected.
633|*miɣ|1703|ice|miʔ|miɣ|    Cf. also Ur. \Imiʔ,\i Kub. \Imig\i id.
634|*ꭓ:urt|1704|foam||ꭓ:urt|
635|*mus:i|1705|fog|musi-dirix||    A compound with \Idirix\i 'cloud'.
636|*š:ala|1708|light (n.)|šala|š:ala|    Cf. also Ur. \Išala,\i Tsud. \Iš:ala\i id.
637|*ha(ni)|1711|summer||ha|    Cf. also Chir. \Ihane\i 'in summer', Kub. \Ihani-ši\i 'summer', Kait. \Ihan(a)-ši\i id.
638|*ɣa(ni)|369|winter|jani|ɣa|    Cf. also Chir. \Iɣane\i 'in winter', Ur. \Iʕini,\i Gapsh. \Iženi,\i Kub. \Iga,\i \Igane\i 'winter'.
639|*ħeri|1715|day|dugi-ħeri|ʕara|    The Ak. word is a compound with \Idugi\i 'night' (lit. '24 hours'). Cf. also Chir. \Iʕare\i 'by day', Kub. \Iire\i 'midday', Ur. \Iħirē\i 'day', \Iħiri-li\i 'by day'.
640|*ʁur-š:al|1716|morning||ʁurš:al|    Cf. also Chir. \Iʁurš:alli\i 'tomorrow'. The component \Iʁur-\i is etymologically obscure.
641|*ža-ʕal(i)|1717|1 today 2 tomorrow|žaʕaIl 1|žaʕle 2|    A compound with an unclear second part.
642|*han-|1718|now|hanna||
643|*q̇uq̇Ia|1721|group|q̇uq̇aI||    Cf. also Ur., Muir., Tsud., Kait., Kub. \Iq̇uq̇aI,\i Sirg. \Iq̇uq̇ʷaI\i id.
644|*ḳuč̣|1590|handle||ḳuč̣|    Darg. > Ag. \Iḳuč̣\i 'handle' (an isolated form among Lezghian languages).
645|*=arʁIʷ- ~ *=abʁIʷ-|1724|to break, be broken|=urʕ-/ uʕ- (Ur.)|=abʁI- / uʁI-|
646|*š:aIw ( ~ š-)|1725|wall-eye|šaIw||
647|*ʔirꭓI-|1726|to throw||irꭓI-|    With Ablaut cf. also Chir. \Is-āꭓI-\i / \Is-ārꭓI-\i 'to winnow'. An old derivate (suggesting the original meaning 'hit, wound') is PD \I*ꭓIa-na\i 'scar' > Ak. \IħaIna.\i
648|*ħerc:i|1728|notch, cut, mark; mark (on sheep's ear)|ħerzi|ʕarc:e|
649|*ṭVrgʷV|1389|hole||ṭergʷa|    The relationship of Chir. \Iṭergʷa\i to Ak. \IṭaIrqi\i 'hole' is not clear.
650|*deḳʷ|1731|cubit|deḳ||    Cf. also Ur., Kub. \Idiḳʷ,\i Sirg. \Ideḳʷ\i id.
651|*č̣im|1732|span|qaIš-č̣im|č̣im|    Cf. also Ur., Kub. \Ič̣im\i id. The first part of the Ak. compound is somewhat enigmatic: the only possible parallel for it is Ud. \Iq:ošIa-\i also in a compound \Iq:ošIa-maʁ\i 'handful' - with a possible (but very unreliable) protoform like \I*q̲HVšV\i ( ~ -ś-).
652|*luʕi|1733|number|luʕi||
653|*kub|1736|word||kub|    Cf. also Kub. \Ikub\i id.
654|*č̣a|1737|voice, sound||č̣a|
655|*qIʷa|1741|oath|qaI|qIʷa|    Cf. also Ur., Muir. \Iqʷi,\i Kait., Tsud. \IqʷaI,\i Kub. \Iqʷe.\i
656|*=ik:-|1747|to love|=ig-es|=ik:ag- /=ik:-|    In Chir. the terminative stem is reduplicated (probably an archaic feature, cf., e.g., the Tsakhur paradigm). A derived noun is Chir. \Iik:ana\i 'bride-groom', \Ir-ik:ana\i 'bride' ("the beloved one"; an exact match is Ag. Bursh. \Ik:ane-f\i 'bride-groom').
657|*-ulq-|1751|to dance|ulq-es||    Cf. also PD \I*d-elq(ʷ\i) 'dance' > Ak., Chir. \Idelq.\i
658|*c̣iripan|1752|whirligig, humming-top||c̣iripan|
659|*t:ut:e(š)|1756|father|dudeš|dat:e|    Cf. also Gapsh., Kharb., Tsud. \It:ut:eš\i 'father'. The same root, but partially reduplicated, is reflected in Ak., Ur. \Iada,\i Kub. \Iat:a\i 'father'.
660|*ne-š|1759|mother|neš||    The suffix -š may be discerned on analogy with \I*t:ut:e-š\i 'father'.
661|*ʔuc:i, *ruc:i|1760|1 brother 2 sister|uzi 1, ruzi 2|uc:e 1, ruc:e 2|    Cf. also Ur. \Iuʒi,\i \Iruʒi,\i Kub. \Iuc:e,\i \Ijuc:e,\i Tsud. \Iuc:i,\i \Iruc:i.\i
662|*=uc:i-q̇ar|1761|(first) cousin|=uzi-q̇ar|=uc:i-q̇ar|    Cf. also Kait. \Iuc:i-q̇ar.\i The word is a compound with \Iuc:i\i / \Iruc:i\i 'brother / sister'.
663|*ħaqVn- ( ~ ʕ-)|1764|to give birth, bear||ʕaqIVn- /ʕaIlq-|
664|*(ʔu)ꭓ:Ial|1771|guest|aħaIl|ꭓ:Iul|    Cf. also Ur. \IuħʷaIl,\i Kait. \Iaꭓ:Ial,\i Kub. \Iꭓ:Iul.\i
665|*x:anc̣(a)|829|1 grey 2 blue|xanc̣a 1,2|x:anc̣-ze 1|
666|*p:Vr- ( ~ b-) (?)|1775|red(-haired)|berħe||    The morphological structure is not quite clear (the word may also contain a root \I-erħ-\i with a historical prefix b-).
667|*ꭓ:arc̣V-|1777|blue||ꭓ:arc̣-ze|
668|*q̇anc̣(a)|1778|vinegar|q̇anc̣a||    Cf. also Ur., Muir., Kub. \Iq̇anc̣,\i Kait. \Iq̇ac̣\i id. This Dargwa word (historically a derivate from \I**-anc̣a\i 'sour' with the adjectival prefix *q̇(a)-) was widely borrowed in neighbour languages: Av. \Iq̇:anc̣a,\i (probably through Avar) > Arch. \Iq̇anc̣a,\i Chech. \Iq̇onza.\i The original meaning 'sour, to be sour' is preserved in the Archi loanword \Iq̇anc̣-\i 'sour, to be sour'.
669|*c̣iḳʷ-|1779|sour|c̣iḳ-si||    Cf. also Tsud. \Ic̣iḳʷ-se,\i Kharb. \Ic̣aḳ-se,\i Kait. \Ic̣ig-dihaw\i id.
670|*=ibʁIan-|383|small|=ibʕaIn-si|=ubʁIani-ze|
671|*q̇aq̇a-|675|narrow|q̇aq̇a-si|q̇aq̇a-ze|    Cf. also Ak. \Iq̇aq̇a-bires\i 'to press' ("make narrow").
672|*č̣aIrṭa|1781|narrow|č̣aIrṭa||
673|*c:uma-|1784|dense|zuma-si||
674|*ʔurč:i-|1785|dense|urži-b-si||    Cf. also the adverbial form \Iurži-li.\i
675|*=uršu-|381|thick||=uršu-ze|
676|*limc̣al-|1787|naked|limc̣al (Kait.)||
677|*t:aIt:a-š-|1788|naked||t:aIt:aI-š-ze|    The word contains an expressive suffix -š-.
678|*=erc̣- / =uc̣-|1789|to bake, roast|=erc̣- / =uc̣-es|=erc̣- / =uc̣-|    Cf. also Ak. b-uc̣ar-si, Chir. =uc̣an-ze 'hot'.
679|*-Vrṭ-|1790|to pour|-Vrṭ- (Ur.)||    The root is used mostly with preverbs, which makes it difficult to establish vocalism. Most probably it was \I*-arṭ-\i / \I*-irṭ-,\i cf. Kub. \Ik-aṭ-\i / \Ikat:-iṭ-\i id.
680|*xaIm-|1792|wet, liquid||šaIm-ze|
681|*q̇erħe|1794|brown|q̇erħe||
682|*k:aši|1796|hunger|gaši|k:iše|    Cf. also Ak. \Iguš-\i 'hungry', Sirg. \Ik:uše\i 'hunger', Ur. \Igaši\i 'hunger', \Iguš\i 'hungry', Kub. \Ik:uš-dix\i 'hunger'. Several forms go back to the PD attributive form \I*k:uš-\i 'hungry' (with Ablaut).
683|*mixV ( ~ -š-)|1797|similar, alike|mešu-si|miši-ze|    Cf. also Kait. \Imešu-,\i Tsud. \Imiši-\i id. Lack of the Kubachi reflex does not allow to distinguish between reflexes of *-x- and *-š-; external data favour the former. PD \I*mixV\i < \I*b-ĩxV\i < \I*b-ixVn-.\i
684|*=uc-|1801|thick, dense|=uc-si|=uc:-ze|    In Chir. -c:- is a result of dissimilation (disaspiration) of -c- before the following -ze.
685|*kub|359|pressed dung||kub-ar|
686|*=ulḳ-|1368|to bend|=ulḳ-es||    Cf. also \I=alḳa,\i \I=alḳun-si\i 'bent, hooked'.
687|*=arx:-|1803|straight; right, correct|=arx-si|=arx:-ze|
688|*čipil|1807|left||čipil|
689|*baIš:ʷV-|1809|deaf||buIš:(u)-ze|
690|*q̇aImq̇-|1810|hard||q̇Iamq̇I-ze|
691|*-irk:(ʷ)V-l-|1811|dangerous, harmful|d-irgal-si||
692|*=uqna|1812|old (of a person)|=uqna|=aqna-ze|    Cf. also Ur. \I=uqna,\i Tsud. \I=uqna,\i \I=uqna-se\i 'old' etc. (the root is used both as a noun - 'old man, woman' - and as an adjective).
693|*ħark:a- ( ~ ʕ-)|1813|lame||ʕark:a-ze|    The word may be borrowed from Lak.
694|*=alḳa|1814|lame|=alḳa||
695|*c̣erx:-|1817|fat|c̣erx-si|c̣erx:-ze|    Cf. also Ur. \Ic̣irx\i id.
696|*ʔawʔa-l (*ʔaʁʷa-l)|2319|four|awal|aʁʷal|
697|*xu-|2320|five|še-l|xu-jal|    Ak. \Išel\i < \I*šu-jal;\i cf. also Ur. \Išu,\i Kub. \Ixu.\i
698|*ʔurek:|2321|six|ureg-al|rek:a-l|    Cf. also Ur. \Iuriɣ,\i Kub. \Iēk.\i
699|*warʁI- (/*warꭓI-)|2322|seven|werħ-el|ʁIʷar-al|    Cf. also Ur. \Iwerħ,\i Kub. \Iwē.\i
700|*ʔurč̣em-|2324|nine|urč̣em-al|arč̣am-al|    Cf. also Ur. \Iurč̣im,\i Kub. \Iʕūč̣um.\i
701|*wec̣-|2325|ten|wec̣-al|wec̣-al|    Cf. also Ur., Kub. \Iwic̣.\i
702|*ʁa-|2326|twenty|ʁa-l|ʁa-jal|
703|*darš:|2327|hundred|darš|darš:|    Cf. also Ur. \Idarš\i id.
704|*nu-š:a|2289|you (2d p. plur.)||nuš:a|    On initial \Inu-\i see under PEC \I*nɨ̆.\i Other Dargwa dialects also reflect the stem \I-š:a,\i but synchronically it must be already analysed as a plural marker (cf. Ak. \Inu\i 'I' - \Inuš:a\i 'we', \Iħu\i 'thou' - \Iħuš:a\i 'you'). In Chirag the situation is different - \Inu-\i is a collective morpheme, prefixed to \I-s:a\i 'we (excl.)' (\Inus:a\i), \I-x:a\i 'we (incl.)' (\Inux:a\i) and \I-š:a\i 'you' (\Inuš:a\i).
705|*-t(:)|2290|thou (dat. case)||ʕa-t|    Attested only in the Chirag dialect, in a compound with the normal 2d p. pronoun \Iʕu\i ( < \I*ħu\i): Chir. \Iʕat\i < \I*ħ(ʷ)a-t:(V)\i. But cf. also the lit. ending of the 2d p. future -d.
706|*ʔi-ꭓ(ʷ)|484|that (below the speaker)|iꭓ|iꭓ|    Cf. also Chir. \Iꭓ-aʕ\i id. PD *ꭓʷ is probable because of Ak. ꭓ ( *ꭓ normally yields Ak. h).
707|*ʔi-ɣ|2307|that, this (near to the speaker)|i-l|iɣ / ī|    In Ak. -l is secondary (probably from obl. cases like dative: Chir. \Iiɣi-la\i).
708|*mu-rt|2301|when|murt|murt|
709|*če- / ču-|2291|(one)self (reflex. pronoun)|ču-|čej|    Cf. also Chir. gen. \Ičin-na.\i In lit. Dargwa the stem is used only in plural (erg. \Iču-li,\i gen. \Iču-la,\i dat. \Iču-s\i); in singular a morpheme \Isa(j\i) (of obscure origin) is used.
710|*ʔač-|1818|rare|ač-si||
711|*c̣iq̇ʷ-|1819|few||c̣īq̇ʷaj|
712|*c̣aq̇|1820|strength, power|c̣aq̇||
713|*b-ahla-|1822|slow|bahla-si|bahla-ze|
714|*sa-|2235|front, front side|ha-la|sa-la|    Cf. also Chir. \Isa-mat:e\i 'in front', Ur. \Ihala\i 'front'. The same root is used in Dargwa as a preverb denoting motion out of smth. ('to the front'): Ur. \Iha-b-\i / \Iha-d-,\i Kait. \Isa-r-,\i Kub. \Ita-j-.\i
715|*=u|1824|to be (auxiliary verb)||=u|    Used only in the present tense.
716|*0/=i-r-|1826|to be done, to become|=ir-es||    Cf. also Ur. \I=-i-s\i / \I=ir-i-s\i id. (with zero root because of the loss of original root laryngeal).
717|*=a(r)q̇- / *=i(r)q̇-|1828|to do, to make||=arq̇- / =irq̇-|    Cf. also Ur. \I=aIq̇-\i / \I=iq̇-\i id. Medial -r- in Chir. is probably secondary (perhaps reflecting the original paradigm \I*=aq̇-\i / \I*=irq̇-\i with infixation).
