"NUMBER","PROTO","PRNUM","MEANING","SUN","TUL","KAL","LIM","LIMNUM","DUM","DUMNUM","KUL","KULNUM","YAM","YAMNUM","NOTES"
 327,"*chò(-s)",1189,"hot","","\Ichös-\i be too hot (of sun), be active, busy","\Ichönä\i (\Ichö\i) get hot (of fire), \Ichöpä\i hot","",   0,"",   0,"",   0,"",   0,""
 328,"*chùs",   0,"late","","\Ichüs-\i be late, slow","\Ichünä\i (\Ichüŋɔ\i) be late","\Isumā\i (\Isusu\i) to make late, \Isusuwā\i late\I, susuwā\i  to linger",1660,"",   0,"\Ichuma\i", 222,"\Ise:ma\i 'slowly start'",1393,""
 329,"*[ch]òŋ / -k",   0,"mix","","cho(t)- mix (fluids)","\Ichonä\i (\Ichoŋu\i) stir, mix","",   0,"",   0,"",   0,"\Ico:kma\i", 188,""
 330,"*chet",   0,"rinse","\Iśēk-ca\i","\Ichet-\i","\I'chennä\i (\I'chehtu\i)","",   0,"",   0,"",   0,"",   0,""
 331,"*chèm",   0,"sometimes","","\Iko-chem\i one day, \Ichemchemŋa\i sometimes","\Ichemchem\i","",   0,"",   0,"-chem", 177,"",   0,""
 332,"*ch[u]́p",1334,"suck","","\Ichip-\i suck (marrow from  bone)","\I'chamnä\i (\I'chaptu\i) chew in sucking manner","supmaʔ, -supt-/-sup-",1654,"",   0,"",   0,"\Iso:pma\i",1478,""
 333,"*chì",   0,"sweep, wipe","","\Ichi-\i","\Ichinä\i (\Ichiŋɔ\i)","",   0,"",   0,"\Ichima\i", 194,"",   0,"Toba 97 *chi-."
 334,"*ch[ä]nuwä",   0,"wasp","","\Ichönewa\i","\Ichänuwä\i","",   0,"",   0,"",   0,"",   0,""
 335,"*ʔcə̀",1615,"child","","\Icö\i, \Icöccö\i","\Icö\i","\Isā\i",1400,"\Icuʔu\i",1416,"\Icha\i", 152,"\Icaǯa\i", 100,"Cf. *cä́-c\L1\lə̀. Toba 88 *cö."
 336,"*cup (// ʔc-, -s)",1268,"gather","","\Icöp-\i collect","\Icamnä\i (EKg) to gather","\Isummā\i (\Isupsu\i) to collect; cummaʔ 'assemble, gather together'",1646,"",   0,"\Ichumma\i", 225,"\Icumma\i 'bring together', cupma 'meet, come across', summa 'gather, come together', supma 'to gather'", 200,""
 337,"*cä̀n (/ʔc-)",   0,"heap up","","\Icat-\i put on top, add","\Icäjnä\i (\Icändu\i) heap up a load on a basket","\Isāmā\i (\Isāru\i) to carry (things)",1425,"",   0,"",   0,"\Iceʔma\i", 146,""
 338,"*cék (/ʔc-)",1232,"pluck, pinch","","","\I'cenä\i (\I'cegu\i) pick, clip (flowers, leaves), pinch","\Isekmā\i (\Isegu\i) pluck, nip, (\Isektu\i) pinch",   0,"\Icjəknɨ\i",1428,"\Ichēma\i", 186,"\Ici:kma\i", 175,""
 339,"*cíp",1160,"press down","","\Icip-\i press on, squash; (Toba 88) \Icüp-\i cover","\I'camnä\i (\I'captu\i) cover, press down, crush","",   0,"",   0,"\Icimma\i", 120,"\Icimma\i", 160,""
 340,"*ʔcùp",   0,"roof, build roof","\Icap-ca\i build roof","","\Icüp\i rafter, roof beam","\Isupmā\i (\Isuptu\i) to shut, \Isupnā\i lid",1662,"",   0,"",   0,"\Isa:pma\i",1347,""
 341,"*ʔcä́k(-s)",   0,"shut","\I'cōk-ca\i lock, shut","\Icəks-\i shut up","\I'cenä\i (\I'cəhtu\i)","\Isākmā\i (\Isāktu\i) close",1417,"",   0,"",   0,"\Isäkma\i",1357,""
 342,"*ʔcV̀m(-s)",   0,"squeeze, wring","\Icim-ca\i","","","\Isummā\i (\Isumsu\i) massage",1645,"",   0,"",   0,"",   0,""
 343,"*cèrs (? / -ä̀-)",   0,"urine, urinate","\Icar-ca\i urinate, \Icar-naku\i urine","\Isar(s\i)- urinate, \Isarki urine","\Icernä\i (\Icerŋɔ\i) urinate, \I'\Icekmo\i\i urine (< \I*cer-ku-mo\i)","\Isemā\i (\Isesu\i) urinate, \Isimāt\i / \Isemāt\i  urine",1469,"\Icirnɨ\i",1379,"\Icirma\i 'drain, pour out'", 124,"",   0,"Toba 98 *cers-, *ceCCV. Not to be confused with *ʔce(s), although the L form was probably influenced by it (otherwise c- would be expected); T s- is quite enigmatic."
 344,"*cèr (/ʔc-)",   0,"wheat","\Icer-bi\i","ʒep-ser","\Idho-cer\i","\Isī\i",1566,"",   0,"\Idɔ-cer\i", 289,"",   0,"Toba 98 *docer."
 345,"*cìl",1310,"anger, hate","","","\Icil\i","\Icĭmā\i (\Icĭtu\i) to scorn (also \Icipmā,\i \Icittu\i hate, scorn)", 164,"",   0,"",   0,"",   0,"Cf. *chùl."
 346,"*cə́ ( ~ ʔc-)",1170,"burn, roast","\I'co-ca\i roast","\Ica-\i bake, burn, scorn","","",   0,"",   0,"",   0,"",   0,""
 347,"*cäp  (-s)",   0,"can","\Icap-ca\i","\Icăps-\i be able to (cf. also ʒhaps- be possible)","\I'cämnä\i (\I'cäbu\i) (in CSDF \Icämne\i)","\Icupmā\i (\Icuptā\i) to get opportunity",   0,"\Icāpnɨ\i",1334,"",   0,"",   0,""
 348,"*ʒä́k (/*ʔc-)",   0,"know, clever","\Iʒō-ca\i  know, \I'ʒōk-b\i clever, intelligent, skilful","\Icək-\i know, \Icəkca\i careful","\I'cunä\i (\I'caktu\i) know how to do smth., \I'cakpä\i wise, intelligent","\Icāpā\i wise", 126,"\Icīlə\i (?)",1383,"",   0,"",   0,"Toba 92 *cak-."
 349,"*cer",   0,"cock's comb","\Ikok-cer\i","\Icer\i","","\Ico\i",   0,"",   0,"",   0,"",   0,""
 350,"*cu-kik-pä",1335,"flea","\Icūkbe\i","\Icikikpa,\i \Icikipa\i","\I'cakape\i","",   0,"\Icikʔop\i",1371,"\Icikippa\i", 116,"\I-ǯu-\i in minǯuwa 'fly'", 829,"Toba 90 *ca̲ka̲pä. Cf. *chə̀(k)-pu. For -kik- cf. Yamphu maŋ-gik 'flea', perhaps also Limbu kitthɔk id."
 351,"*cä́-ʔcə̀",1615,"grandchild","","\Icüsü\i (< \I*cecö\i)","\I'cäs\i","",   0,"\Icacu\i 'grandson', \Icacɨ\i 'granddaughter'",1321,"\Icasi\i", 100,"",   0,"Toba 90 *cayci. Cf. *ʔcə̀."
 352,"*c[e]k (/ʔc-)",1196,"hard","\Icaktā\i","\Icək-\i become hard, old, fully fermented","\I'cekpä\i","\Ikecāba\i, \Icāhā\i  hard",   0,"",   0,"\Ichɔ̄ma\i", 212,"\Icikma\i 'become ripe, fermented'", 155,"Yamphu has also chakma 'be hard' (practically the only word with ch-, thus probably borrowed)."
 353,"*cìk ( ~ ʔc-)",   0,"kidney","\Icī̃kre\i (nasalisation is unclear)","\Icəksi\i","\Icas\i lymphatic node,kidney","",   0,"\Iciʔsu\i",1370,"\Iciksi\i", 117,"",   0,"Toba 91 *ca̲ksi. Used in comp. *cìk-khli, *cìk-ʔcə̀. Cf. perhaps L \Isik\i anger (which would make it \I*ʔcìk\i). See also \I*khli\i."
 354,"*cùp",1670,"kiss","","","\Icüp\i \Imünä\i","\Icupmā\i (\Icuptu\i)",   0,"",   0,"",   0,"",   0,""
 355,"*cam ( ~ ʔc-)",1373,"ladle  (in compounds)","","\Ikorcöm\i flat wooden stirrer used in cooking, \Iblɔkcam\i  bamboo ladle","\Ikwɔrcam\i wooden ladle","",   0,"",   0,"",   0,"",   0,""
 356,"*cä́p(-s) ( ~ ʔc-)",   0,"leak","","\Icaps-\i","\I'cämnä\i (\I'cäbu\i)","",   0,"\Icɨpnɨ\i",1398,"",   0,"",   0,"Toba 92 *caps-."
 357,"*cèn",   0,"learn, teach","","\Icen-\i id.","\Icejnä\i (\Icendu\i)","",   0,"\Icennɨ\i",1352,"",   0,"\Icimma\i", 162,""
 358,"*ʔcúm",   0,"mortar","\I'cumlo\i","\Ikokcüm\i small vertical wooden mortar (for salt or chili)","\Ikokcam\i small mortar","",   0,"",   0,"\Ichumbɔ\i", 224,"",   0,"See \I*kok-\i grind. Cf. *sùm."
 359,"*c[òp] ?",   0,"narrow","\Icup-śo\i","","","\Icihuhubā\i",   0,"",   0,"\Ichuchurpa\i", 217,"",   0,""
 360,"*c[ə̀]r ( ~ ʔc-)",   0,"pain","","\Icar\i- smart  (of wound)","\Icwɔrnä\i (\Icoru\i) burn (of medicine, wound)","",   0,"",   0,"",   0,"",   0,""
 361,"*cèkcere",   0,"a k. of bird, partridge","","\Iceccere\i partridge","\Icekcere\i small brown bird","",   0,"",   0,"",   0,"\Icikcikya\i", 153,""
 362,"*ʒə̀r ( / ʔc-)",   0,"pay","","\Iʒer\i loan (e.g. with interest)","\Icwɔrnä\i (\Icoru\i) prune, pay","",   0,"\Icərnɨ\i",1367,"",   0,"",   0,""
 363,"*cìr ( ~ ʔc-)",1395,"pile up","","\Icir-\i  stack up","\Icarnä\i (\Iciru\i)","",   0,"",   0,"",   0,"",   0,""
 364,"*c[ä̀]m / *c[ä̀]p",1623,"play","","\Icamsi\i- play, \Icamdo\i plaything, game","\Icemsi-nä\i play, \Icamdu\i toy","\Icāpmā\i (\Icāttu\i) play, \Ikecāpā\i  player", 122,"\Icemnɨ\i",1345,"",   0,"",   0,"Toba 94 *camsi-."
 365,"*ʔcúk",1180,"to point","","\Icok-\i stab, poke, point out (with index fungers)","","sōkmaʔ",1577,"\Icuknɨ\i",1421,"",   0,"\Isu:kma\i",1504,""
 366,"*c[ù]",   0,"pungent","","","\Icünä\i (\Icü\i) be pungent","\Ican\i bitter (taste)",   0,"\Icā\i",1325,"\Ica\i",  90,"",   0,""
 367,"*cèm ( ~ ʔc-)",1277,"rot","","\Icem-\i rot","\Icemnä\i (\Icemu\i) rot, decay","",   0,"",   0,"\Icemma\i", 106,"",   0,""
 368,"*cep  (~cəp)",   0,"flat (stone)","","\Icep-\i in \Icepluŋma\i flat stones","","\Icepleklek\i flat (\Iceplekluŋ\i flat stone)",   0,"",   0,"",   0,"",   0,""
 369,"*ʔcur(V)bi",   0,"swallow (bird)","","\Icürbi\i, \Icüribüwild\i swallow","\Icürbi\i","",   0,"",   0,"\Ichirwa\i", 199,"",   0,""
 370,"*cù ( ~ ʔc-)",1179,"thorn","\Icū̃\i (with unclear nasalisation)","\Iсü\i","","",   0,"",   0,"",   0,"",   0,"Cf. *CuCu 'sharp, pointed'."
 371,"*cèŋ  ( ~ ʔc-)",   0,"winnow","","\Ice(t\i)- sift (e.g. removing small stones from beans)","\Icenä\i (\Iceŋu\i) winnow (by shaking the winnowing tray sideways)","",   0,"",   0,"",   0,"",   0,""
 372,"*cùr",1186,"wrinkle","","\Icür-\i become wrinkled","\Icarnä\i (\Icardu\i) wrinkle, shrink","",   0,"",   0,"\Icurma\i", 148,"",   0,"Toba 99 *car-ki."
 373,"*cík ( ~ ʔc-)",1295,"bird","\I'cīkbi\i","\Icəkpu\i","","",   0,"",   0,"\Icou\i (Toba)",   0,"",   0,"Toba 87 *calpu (erroneously adding Kal. sa̲lpu)."
 374,"*ʒə̀p ( / ʔc-)",1340,"wheat","","\Icop\i a wheat (Triticum sp.)","\Iʒep-ser\i wheat","",   0,"\Icophu\i 'barley'",1409,"",   0,"",   0,""
 375,"*lä́  (//*lä́ks-)",1679,"go","\I'la-ca\i","\Iləks-\i (older \Iḍəks-,\i \Idhəks-\i )","","\Ilāmā\i (\Ilāsā\i) to enter",2177,"",   0,"",   0,"\Ilama\i", 689,""
 376,"*ḷuŋ",1837,"heart, liver","\Iluŋgir\i heart (\Igir\i  body)","\Iduŋ\i (AD \Idüŋa\i) liver","","\Iluŋmā\i liver", 720,"lum", 637,"\Iluma\i", 774,"\Iruŋma\i 'stomach', ruŋmaǯuwa 'liver'",1287,"Toba 92 *lum. Cf. *hi-lum."
 377,"*dhùŋ",   0,"much","","\Iḍuŋma\i (AS d-) much","\Idhumɔ\i a lot, much, too much","",   0,"\Itū\i",1273,"",   0,"",   0,""
 378,"*dhèk-(siŋ)",   0,"tree","","\Idəksa\i, \Iḍəksa\i (AS \Iḍhəksa\i)","\Idheksu\i","",   0,"",   0,"",   0,"",   0,""
 379,"*dum (/*ʔt-)",   0,"custom","","\Iḍümla\i  (aug. \Iridüm\i) tribal customs, religious heritage","\Ira-dam\i (= T aug. \Iridum\i) custom, rite","",   0,"\Itɨm\i",1235,"",   0,"\Itamma\i 'to sacrifice beer'; tum excuse, pretext, reason",1622,""
 380,"*də́k (/-ŋ; ~ *dók)",1041,"sufficient","","\Iḍɔ̄-sə(t\i)- suffice,\Iḍokpu\i big, important","\I'donä\i suffice (\I'doŋɔ\i), ḍokpä (CSDP 'dokpä) sufficient","\Itɛkmaʔ,\i \I-tɛkt-/-tɛk-\i",1722,"",   0,"",   0,"it-thuk full", 445,""
 381,"*dèl",1064,"village","","\Idel,\i \Iḍel\i","\Idel\i","\Itappā\i",   0,"\Idēl\i", 160,"\Itel\i",1251,"",   0,"Toba 98 *tel."
 382,"*dV (/*thə)", 870,"big","\Iṭhēbe\i","","\Idumbu\i husband","\Itā\i big, \Ithe-\i in \Itheluŋ\i big stone, \Ithebā\i grandfather",1854,"",   0,"\Idema\i v., \Idepa\i \Iadj.\i ; \Ituppo\i husband", 253,"\Ituba\i 'grandfather', \Ituma\i 'grandmother'; \Ithappa\i 'big; old man; husband'; \Ithaʔma\i 'old woman; wife'",1616,"Perhaps 2 roots, somewhat mixed up: *thə in S ṭhēbe, L the-, Y thappa (possibly = *thèn 'thick' q.v.); *dV in L tā, Kul de-, Y tu-. Toba *depu."
 383,"*thèn (/*ʔt-)", 455,"thick","\Ithãj-śo\i","\Iḍēpa\i","\Itejpä\i","",   0,"",   0,"",   0,"",   0,""
 384,"*thul (/*ʔt-)",   0,"raise, bring up","\I'thul-ca\i","\Iḍül-\i keep, support, maintain (animals, servant, aging parent), \Iḍülcü\i servant","","",   0,"\Itɨlnɨ\i",1234,"",   0,"",   0,"? T > Kh \Idöl\i in \Idöl\i \Imünä\i to serve."
 385,"*ʔtúp",   0,"beat (drum), play instrument","\I'tap-ca\i","\Iḍüp-\i (also to hammer,work metal)","\I'tamnä\i (\I'tubu\i)","",   0,"\Itɨpnɨ\i",1242,"\Idumma;\i \Idumluŋ\i 'pounding stone'", 313,"\Iupma\i 'to batter'",1714,""
 386,"*ʔtùŋ", 487,"drink","\Itū-ca\i","\Iḍu(ŋ\i)-","\Itunä\i (\Ituŋu\i)","\Ithuŋmā\i (\Ithuŋ\i)",1933,"\Itɨŋnɨ\i",1241,"\Idūma\i", 317,"\Iuŋma\i",1712,""
 387,"*ʔtì (1), *ʔtì-s (-n) (2)", 989,"egg(1), lay eggs (2)","","\Iḍi\i egg, \Iḍis-\i lay eggs","\Iti\i egg (Toba \I'ti\i ), \Itinä\i (\Iti\i) lay eggs","\Ithinmā\i (\Ithindu\i) lay eggs, \Iwā-thin\i egg",1886,"\Itī\i",1223,"\Idīma\i 'laj eggs', \Iwā-di\i 'egg'", 285,"\Iwaʔiŋ\i 'egg', \Iiŋma\i 'to lay eggs'", 435,"Toba 89 *'di."
 388,"*ʔtək", 874,"loom","\Itō\i","\Iḍɔ\i","\I'to\i","\Ithāk-\i (\Ithākthākmā,\i \I-ktu\i weave; \Ithākekwā,\i \Ithākkemāsiŋ\i loom, \Ithāknām\i string that holds loom)",1834,"\Itoʔo\i",1246,"\Idɔ̄\i \Ibəma\i", 302,"\Iakma\i",  15,"Toba 92 *'do ̲̲-."
 389,"*ʔtòla",1685,"musk deer","","(AS) \Iḍəla\i","\Itolɔ\i","",   0,"",   0,"",   0,"",   0,""
 390,"*[th]V́p (/ʔt-)",1127,"strike, pound","\I'tup-ca\i pound grain","\Idep-\i strike, hit, thresh","\I'tup-\i","\Ithāmmā\i (\Ithāpsu\i) to thresh; to throw down (opponent)",1840,"\Idāpnɨ\i", 153,"\Idamma\i 'knock' (\Idup-\i)", 237,"\Ithamma\i 'to shake out, thresh'; \Itho:pma\i 'to shove, push'",1647,"Perhaps 2 roots (cf. the opposition in Y; Dumi suggests that one of them could have *d-, not *th-), but very hard to distinguish, and additionally influenced by the synonymous *ʔtúp q.v. Toba *'dep-."
 391,"*lə̀n",   0,"abort","","\Ilet-\i make (child) excrete, excrete","\Ilwɔj-nä\i (\Ilwɔndu\i)   abort,  miscarry","\Ilemmā\i (\Ilemsu\i)",   0,"",   0,"",   0,"",   0,""
 392,"*lám",1705,"armpit","","\Ilam-süsü\i smell from armpits","\I'lɔm\i","\Ilāpphī\i armpit, \Ilɔp-sāŋbā\i hair in armpits",2170,"\Ihep-lə\i ?", 293,"",   0,"\Iläkkuma\i", 702,""
 393,"*lèŋɔksi",2481,"banana","","\Ileā̃si\i (AS \Ileŋaksi\i)","\Ileŋɔsi\i","",   0,"\Iŋjéləksi\i", 832,"\Iliŋɔksi\i (arch.), \Iliŋɔ̄si,\i liŋɔ̄", 745,"",   0,"Toba 94 *leŋaksi."
 394,"*lì (/*blì)",1935,"bow, arrow","\Ili-bra\i arrow","\Iblə\i metal arrowhead, \Inö-bli\i (AS \Inö-blö\i) arrow head, \Ili-n\i bow","\Ila̲phu\i (Toba 87) bow","\Ilī\i bow, \Ilii\i bowstring", 667,"",   0,"\Ibei\i 'arrow', \Ili-phu\i 'bow'",  28,"",   0,"Toba 87 *ble, *lipu."
 395,"*léŋ ( / *lék)",1724,"buy, exchange, sell","\I'lē-ca\i sell","","","\Ileŋmā\i (\Ileŋu\i) change, \Ilekmā\i (\Ilektu\i) exchange",2145,"\Ileńsinɨ\i", 576,"",   0,"\Ilemma\i (len-) (?)", 720,""
 396,"",   0,"","","","","",   0,"",   0,"",   0,"",   0,""
 397,"*lä̀m",   0,"cold  (n.)","","\Ikhalamba\i cold, head-cold","\Ikhälämbä\i common cold","\Ilāmpā\i cold (n.)",2178,"\Ikhələmbɨ\i", 480,"\Ikhalamba\i", 587,"",   0,""
 398,"*láp-c\L1\lə̀",   0,"door","\I'lapco\i","\Ilamcaka\i (Toba)","\I'lɔskɔ\i (\I-kɔ\i  skin, bark?)","",   0,"",   0,"\Ilamskɔ\i", 707,"",   0,"Toba 89 *lam(s)ka."
 399,"*lù",1782,"feel","","\Ilü-\i feel, be affected","\Ilünä\i (\Ilüŋɔ\i)","",   0,"\Ilɨnɨ\i", 618,"\Iləma\i", 733,"\Ilu:ma\i 'to be present, to be experienceable'", 740,""
 400,"*ku",2237,"look after","","","","ko:maʔ", 571,"",   0,"",   0,"\Iku:ma\i", 548,""
 401,"*ləŋ",1857,"foot, leg","\I-lā̃\i in \Idimbla\i sole, \Idimblā\i foot","","","\Ilāŋ\i  leg, foot",2152,"",   0,"\Ilɔŋ\i", 759,"\Ilaŋ\i (also raŋ in compounds)", 692,""
 402,"*lá",   0,"frog","","\Ilo\i large green frog","\I'lɔ\i","",   0,"\Iloʔo\i", 623,"\Ilu\i", 768,"",   0,""
 403,"*l[a]m",   0,"from (\I*lam-ka\i  via, through)","-lē from, out of","\I-lam\i from, \I-laŋka\i  via","\I-lɔ\i from, out of, \I-lɔkɔ\i through, via","",   0,"",   0,"",   0,"",   0,""
 404,"*lä́p",1975,"steam, scorch","\I'lop-ca\i steam","","\I'lämnä\i (\I'läbu\i) kindle a fire, scorch","\Ilapmaʔ\i",2154,"",   0,"",   0,"",   0,""
 405,"*lè",1750,"coire, copulate","\Ilū-ca\i","\Ile\i- cohabit with","\Ilenä\i (\Ileŋɔ\i)","\Ilābā\i adulterer, \Ilāmā\i cowife",2147,"\Ilalikha\i 'love'", 546,"\Iluima\i (?)", 770,"\Inen-ǯa-ma\i", 930,"Cf. *bh-lè penis. Yamphu nen- = Limbu naʔ-nuʔ- ( < *laʔ-nuʔ-)."
 406,"*let",   0,"give up","\Ilāk-ca\i leave behind","","\I'lennä\i (\I'ledu\i) give up, leave behind, restrict, send away","\Ilepmā\i (\Ileptu\i) give up",2180,"",   0,"",   0,"",   0,""
 407,"*lù(ŋ)sum",   0,"k. of grass","\Ilǖsü\i id.","","\Ilusam\i a grass used for thatch","",   0,"",   0,"",   0,"",   0,""
 408,"*là-c\L1\lə̀",   0,"hail","","\Ilōsü\i","\Ilɔs\i","",   0,"",   0,"",   0,"",   0,""
 409,"*lak",1701,"hand","\I-lā\i in \Itapla\i palm of hand (?)","\Ilɔ\i hand, arm","","\I-lak\i in \Ipholak\i handful",   0,"",   0,"",   0,"",   0,""
 410,"*lä",   0,"handle","","","\Ilä\i handle (of a tool)","\Ilā\i handle",   0,"",   0,"",   0,"",   0,""
 411,"*wa ( ~ K-)",2084,"tooth","","","","\Iha\i", 269,"",   0,"",   0,"",   0,"Attested only in Limbu, but having good external parallels."
 412,"*li(s)",1933,"heavy","\I'hel-śo\i (?< \I*'he-li-śo\i)","\Ilis\i- be heavy","\Ipäli-pä\i (CSDF; KEg \Ipäl\i \Iipä\i)","\Ilip\i", 677,"",   0,"\Ilima\i", 738,"\Iri:ma\i",1254,""
 413,"*lúpV  (*lúmpV)",   0,"big jar","","","\I'lup\i big jar for beer","\Ilumbā\i large bowel", 710,"",   0,"",   0,"",   0,""
 414,"*lùŋ",1949,"large, fat","","\Iluŋ-\i grow fat (of human, piglet)","\Iluŋpä\i rich, strong, large","",   0,"",   0,"",   0,"",   0,""
 415,"*lä(m)",1884,"leaf","","\I-lam\i in \Isēlam\i, \Iselbam\i ( = K \Isɔphulem\i) leaf, paper","\I-lem\i in \Isɔphu-lem\i dry leaf","\I-lā\i in \Itetlā\i leaf",1734,"",   0,"\Isibo-lou\i (Toba)",   0,"",   0,"Toba 92 *sV ̲̲m. Cf. also \I*bhak-läm\i shoulder blade."
 416,"*lút",1773,"water leech","","\I'lə\i, \I'ləʔə\i","\I'lu\i","\Ilup\i", 727,"",   0,"\Ili\i", 735,"\Iloʔwä\i", 736,"Toba 92 *lokpei."
 417,"*lə̀k-phen",   0,"leech","","","\Ilokpej\i black leech","\Ilākpet\i",2181,"",   0,"\Ilɔ̄bei\i", 763,"\Ilä:k-puǯik\i 'worm'", 710,"See *bhén."
 418,"*lòk-",1817,"lend","","","\Ilok\i \Ibinä\i lend, \Il\Iok\i\i \Iphinä\i borrow  (for a short period)","\Ilokha\i loan (as for a few days)",   0,"",   0,"",   0,"\Irokma\i 'borrow'",1264,""
 419,"*lum",1840,"pit","","\Ipolüm\i pit","\I'kalam\i ditch, pit, valley (cf. \I'kawɔ\i stream)","",   0,"",   0,"\Ikhulum\i", 678,"\Ikhodoʔ-lumba\i 'pit', rummuk 'cave'", 642,""
 420,"*lé(k)",   0,"lie, deceive","","\Ilīsi-\i pretend, \Ilima\i lie, fib","\I'lemɔ\i a lie","\Iillek\i liar, \Iillek-cokmā\i to lie", 458,"\Iwā-lə\i 'lie' (?)",1450,"\Iwa-lili\i 'lie'",1390,"\Irikma\i 'to conceal, keep secret'",1240,""
 421,"*lə́",1684,"moon","\I'tas-la\i","\Ikhlömu\i (AS \Ikhlomu,\i but \Ikhle\i) moon, moonlight (? \I*qə̀\i light +  \I*lə́\i  moon)","\I'lö,\i \Ilölmɔdu\i","\Ilā,\i \Ilābā\i moon, month",2142,"",   0,"la", 698,"\Ila\i", 683,"Toba 92 *k-lolimadu."
 422,"*lä̀m",1706,"path, road","\Ilā\i","\Ilam,\i \Ilamdü,\i \Ilabdi\i","\Iläm,\i \Ilämdu\i","\Ilām\i",2143,"",   0,"\Ilam\i", 703,"\Iram\i 'road', ramma 'walk'",1192,"Toba 94 *läm."
 423,"*lum",   0,"pestle","","\Ithɔlüm\i","\Ithɔlam\i","",   0,"\Itholɨ\i",1297,"",   0,"",   0,"The form may be reconstructed as \I*thàk-lum\i (see \I*thák\i hammer)."
 424,"*lèbä",1848,"quiet","","\Iliwa\i (AS \Ileba\i) quiet","\Iläbä\i \Imünä\i be quiet","",   0,"",   0,"",   0,"",   0,""
 425,"*hä̀l, *hä̀läl-",2741,"red","\Ilal\i","\Ilalam\i","\Ihɔlɔlɔm\i","",   0,"",   0,"\Ihalalāpa\i", 396,"\Iharra\i", 287,"Toba *hala. Initial *hä- is probably a distortion of *hi 'blood' q.v. (cf. Yamphu ha-ri)."
 426,"*làm-",   0,"smallpox","","\Ilam-\i come out in facial rash","\Ilam-ti\i pustule of smallpox  (\Iti\i  "egg")","",   0,"",   0,"",   0,"",   0,"Cf. also K \I'läm\i cholera?"
 427,"*lə̀",1678,"spirit","","\Ilö\i spirit","\Ilö\i senses, feeling, courage","",   0,"\Ilū\i", 645,"",   0,"\Ilawa\i", 698,""
 428,"*lìm", 674,"sprout","","\Ilim\i sprout, shoot, \Ilim\i- to sprout, come up","\Ilam\i new blade of a plant, shoot; \Ilamnä\i (\Ilam\i) sprout, germinate","\Iliŋmā\i (\Iliŋu\i) to sprout", 674,"\Ilemnɨ\i", 571,"\Ilim\i n., \Ilimma\i v.", 737,"",   0,"Toba 96 *la̲m-. Final -ŋ- in L is unusual: the word is homonymous with liŋ- 'shine', for which cf. perhaps Yamphu raŋ-ma id."
 429,"*lùŋ",1922,"stone","\Iphul-lu\i","\Iluŋ\i","\Iluŋ\i","\Iluŋ\i", 713,"\Ilu\i", 635,"\Iluŋ\i", 780,"\Iruŋguʔwa\i",1284,"Toba 96 *luŋ."
 430,"*lik",   0,"string beads","\I'līk-ca\i","","\Ilu-ne\i (CSDP)","",   0,"",   0,"",   0,"",   0,""
 431,"*lVn / *lVt",   0,"swallow","","","\Ilejnä\i (\Ilendu\i)","\Ilɔpmā\i (\Ilɔru\i)", 702,"",   0,"\Iluima\i", 769,"\Irimma\i",1244,""
 432,"*lèm",1854,"sweet","","\Ilem-\i be sweet, flatter, seduce, comfort, \Ilepma\i sugar","\Ilemnä\i (\Ilemu\i) to comfort, entice, \Ilempä,\i \Ilemlem\i \Ilüpä\i sweet","\Ilim\i sweet, \Ilemmā\i (\Ilemmu\i) to allure, sweet-talk, deceive", 671,"\Ilemnɨ\i", 570,"\Ilemlempa\i a., \Ilemma\i v.", 723,"\Iremma\i 'to deceive'; rimma 'to be sweet'",1243,"Toba 97 *lem."
 433,"*lə̀ / *ləǹ",1680,"take off, take out","","","\I'lännä\i (\I'läjŋɔ\i) go out, come out","",   0,"\Ilənnɨ\i", 590,"\Iləima\i 'go out'", 731,"\Ila:ma\i", 700,"There may be some confusion with *làt q.v."
 434,"*lót ( / *lón)",1955,"pull out","","","\I'lwɔnnä\i (\I'lotu\i) pull out","\Ilopmā\i (\Ilottu\i) expel, \Ilɔmmā\i (\Ilottu\i) take out, (\Ilɔndu\i) get out", 706,"",   0,"",   0,"",   0,"Cf. also *plut(-s)."
 435,"*l[o]",1682,"time","","\I-lo\i *time (as in \Ibep-lo\i  old age)","\I-lo\i when (conj.)","",   0,"",   0,"",   0,"",   0,"See also *nə̀-lV 'daytime'."
 436,"*lèm",1728,"tongue","\Ilē\i","\Ilem\i","\Ilem\i","\Ile-soppā\i",2146,"\Ilēm\i", 585,"\Ilem\i", 721,"\Ilem\i", 717,"Toba 98 *lem."
 437,"*lák",1926,"lick","","","\I'lɔnä\i (\I'lɔgu\i)","\Ilākmā\i (\Ilāktu\i)",2153,"\Iljəknɨ\i", 646,"\Ilɔ̄ma\i", 766,"\Irä:kma\i",1221,""
 438,"*lút",1953,"tell, speak","","","\I'lannä\i (\I'ludu\i) tell","\Ilomā\i (\Ilorā\i) speak", 694,"\Ilɨtnɨ\i", 621,"",   0,"",   0,""
 439,"*lok",   0,"prick, pierce; tooth","","\Ilü,\i \Ili\i tooth","\Iŋa-lu\i tooth","\Ilokmā\i (\Iloktu\i) to pierce", 699,"\Iŋilō\i", 823,"",   0,"",   0,"Toba 98 * ̲lü."
 440,"*lat",   0,"turn over","\Ilō-si-ca\i (itr.)","","\I'lannä\i (\I'lattu\i) turn (pancakes, pages of a book)","",   0,"",   0,"",   0,"",   0,""
