"NUMBER","PROTO","PRNUM","PSPEECH","MEANING","NEPALI","DERCOMM","COMMENTS"
1179,"suksɨmbɨ",   0,"adj.","Sunwar.","","",""
1180,"sumdinna",   0,"adv.","vide \X0sɨmdinna.\x","","[attested in Sasarkā only]",""
1181,"summa",   0,"n.","the red jungle fowl Gallus gallus, predecessor of all domesticated chickens"," jan%galī kukhurā",""," cf.  \X0tida:m-pɨm\x \X0sa:ʔlɨ-phu.\x"
1182,"Sumnim",   0,"n.","vide \X0sɨmnim.\x","","",""
1183,"sunɨ",   0,"vt-6a sa-suy/su-sɨ-so","1) escort, deliver 2) dimittive aspectivizer","1) puryāunu; 2) paṭhāunu","","1) \IAmsina\i \IaN\i \IasoNə\i Last night he escorted me, Last night he brought me home 2) vide  6.3.3."
1184,"sunpa:nɨ",   0,"vt-6a sa-suy/su-sɨ-so + vt-4 pad/pət-pəts/pəs-pə","go escort someone somewhere, go get something or someone to a place"," puryāunu, puryāi rākhnu","[allative aspectivized sunɨ 'deliver', cf. i:npa:nɨ, hu:pa:nɨ ]"," cf.  \X0i:npa:nɨ,\x \X0hu:pətnɨ,\x \X0suntunɨ.\x"
1185,"suntunɨ",   0,"vt-6a sata-sutuy/sutu-sɨtɨ-soto","escort, get something or someone to a place"," puryāi rākhnu, lagi rākhnu","[ponently aspectivized sunɨ vt-6a 'deliver']"," cf.  \X0sunpa:nɨ.\x"
1186,"sunum",   0,"n.","gold.","","[< Nep. sun ]",""
1187,"supeʔ",   0,"n.","family name, a family or lineage within a clan","","","cf.  \X0sa:me.\x"
1188,"suppu",   0,"n.","stinging locust, stinging grasshopper, generally found near water"," uphrine phaṭyān%gro, uphrine phaṭen%gro",""," cf.  \X0boktsam.\x"
1189,"sura", 276,"n.","rice (uncooked)"," cāmal",""," cf.  \X0dza:,\x \X0dza:kokti,\x \X0dzam,\x \X0lomdzom.\x"
1190,"su:le", 272,"n.","thread"," dhāgo","","cf.  \X0bhoknɨ\x \X0vt-2a\x \X0(2),\x \X0pənnɨ\x \X0vt-2a,\x \X0tsume.\x"
1191,"sya:lpu",   0,"n.","jackal, Canis aureus","","[sya:l < Nep. syāl 'jackal' + -pu animal sf.]","cf.  \X0kyakpu,\x \X0kartɨkpu.\x"
1192,"syendi", 248,"n.","nail, claws, talon"," naŋ",""," cf.  \X0sali,\x \X0tsopmsi.\x"
1193,"syemma", 245,"n.","dream; vision","","[< syennɨ vt-4 'look'] [?]","cf.  \X0hodɨ,\x \X0lemma.\x"
1194,"syennɨ", 262,"vt-4 syend/syen-syents/syes-syet","look at, discern"," hernu",""," cf.  \X0tsennɨ\x \X0vt-5b.\x"
1195,"sye:tɨm",   0,"adj.","white.","","[< Nep. syeto ]",""
1196,"takirma",   0,"n.adj.fem.","fourth born (offspring or sibling)","","","cf.  \X0takirmi,\x \X0tsalirma.\x"
1197,"takirmi",   0,"n.fem.","(of a married female) fourth born (offspring or sibling)","","","cf.  \X0takirma,\x \X0tsalirmi.\x"
1198,"takɨ",   0,"n.adj.masc.","fourth born (offspring or sibling)","","","cf.  \X0takɨse,\x \X0tsalɨ.\x"
1199,"takɨse",   0,"n.masc.","fourth born son","","","cf.  \X0takɨ,\x \X0tsalɨse.\x"
1200,"ta:na:m", 772,"adj.","long (both spatially and temporally); far, far away, distant","","","cf.  \X0bɨpm.\x"
1201,"ta:na:mri",   0,"adj.adv.","elongated, stretched","","[< ta:na:m 'long']","cf.  \X0thɨtnɨ\x \X0vi-3.\x"
1202,"tauliya",   0,"n.","towel.","","[< Nep. tauliyā ]",""
1203,"ta:ktsi", 267,"n.","brain, brains","","","cf.  \X0ma:si.\x"
1204,"ta:mnɨ", 576,"vt-1 ta:m","dunk under, dip, plunge, immerse, sink"," ḍubāunu",""," cf.  \X0tsɨpnɨ.\x"
1205,"ta:mtunɨ",   0,"vt-6a ta:mta-ta:mtuy/ta:mtu-ta:mtɨ-ta:mto","dunk under, dip, plunge, immerse, sink"," ḍubāi rākhnu","[ponently aspectivized ta:mnɨ 'immerse']"," cf.  \X0tsɨpnɨ.\x"
1206,"ta:nnɨ", 567,"vt-5a ta:nd/ta:n-ta:nts/ta:s-ta:t-ta:n","bring down"," jhārnu","[dir. < ta:tnɨ vi-3 'come down']"," \Imāthī\i \Ibāṭa\i \Ilyāunu;\i cf.  \X0ho:tnɨ\x \X0vt-4,\x \X0khotnɨ\x \X0vt-2a,\x \X0pitnɨ\x  \X0vt-2a,\x \X0yi:nɨ\x \X0vt-6b.\x"
1207,"ta:tɨm",   0,"adj.","hot (of liquids)","","[< Nep. tāto 'hot (of liquids)' + -m nom.sf.]","cf.  \X0wəmyem.\x"
1208,"ta:tnɨ", 565,"vt-2a ta:t-ta:ts/ta:s","tear up (esp. soil) with an implement, poke at with a long stick, dig around (in soil), poke loose (with a stick), extract"," koṭṭyāunu","[dir. < törnɨ 'snap, break']"," cf.  \X0tha:tnɨ\x  \X0vi-3.\x"
1209,"ta:tnɨ", 567,"vi-3 ta:nts/ta:s-ta:t","come down"," jharnu",""," cf.  \X0hu:nɨ\x \X0vi-2,\x \X0khoNnɨ\x \X0vi-3,\x \X0pi:nɨ\x \X0vi-1,\x \X0tha:Ńsinɨ,\x \X0ta:tnɨ\x \X0vi-3,\x \X0yi:nɨ\x \X0vi-2.\x"
1210,"térek",   0,"onomatopoeia.","crack, snap.","","",""
1211,"tetnna",   0,"adv.","in this fashion, in this way"," yaso, yasarī","[te- < tom 'this' + -tnna 'in which fashion']"," cf.  \X0metnna,\x \X0mwo:ho:tnna,\x \X0mwo:tnna.\x"
1212,"te:l",   0,"","","",""," vide  \X0te:lɨm.\x"
1213,"te:lɨm",   0,"n.","oil.","","[< Nep. tel ]",""
1214,"te:te:",   0,"n.","1) paternal uncle, older than father; 2) husband of mother's elder sister","","","1) cf.  \X0nini,\x \X0phopho\x \X0(1),\x \X0te:te:m\x \X0(2);\x \X02)\x cf. \X0te:te:m\x \X0(1).\x"
1215,"te:te:m",   0,"n.","1) mother's elder sister; 2) wife of father's elder brother","","","1) cf.  \X0te:te:\x \X0(2),\x \X0kiki,\x \X0kira,\x \X0nono;\x \X02)\x cf. \X0te:te:\x \X0(1).\x"
1216,"tida:m",   0,"adj.","small, little.","","",""
1217,"tida:m-pɨm",   0,"sa:ʔlɨ-phu  n.","the small grey wild jungle fowl Gallus soneratii"," piurā","[lit. small-clod jungle-chicken]"," cf.  \X0summa.\x"
1218,"tida:m-tida:m",   0,"[< tida:m 'small'] 1) adj.","tiny, very small; 2) n., children","","",""
1219,"timmələ",   0,"adv.","now, presently"," yati belā.","[also attested in Sasarkā; < tom 'this' + ələ ̃ Limbu allO 'now']",""
1220,"timnɨ", 579,"vt-1 tim","press (for juice or te:lɨm oil)"," tel athavā ras nikālnu-lāī pelnu.","",""
1221,"tirɨsa",   0,"","","",""," vide  \X0sirɨsa.\x"
1222,"titsu",   0,"adv.","little, few, a little bit","","","cf.  \X0dumo:,\x \X0kititsu.\x"
1223,"ti:", 387,"n.","1) egg 2) balls, testicles","1) ḍimma, phul, an5ḍā","","cf.  \X0phoksɨ.\x"
1224,"Ti:dam",   0,"n.","three-day ceremony which constitutes the first festival in the four-year festival cycle of the Na:ghɨ","","[< -dam 'prayer, ritual']","cf.  \X0Dibudam,\x \X0Moʔo,\x \X0Na:ghɨ,\x \X0nɨ\x \X0wa:tnsinɨ,\x \X0nukhil\x \X0dhyəknɨ,\x \X0Tsi:dam,\x \X0Tsomdam.\x"
1225,"ti:p",   0,"n.","fish weir, huge triangular garth made of bamboo and placed lengthwise into a river like a scoop which funnels all the fish travelling downstream toward the apex which protrudes above the water.","","[< Nep. tīp ]",""
1226,"-tɨ, -ptɨ",   0,"1) postp. 2) adv.","1) locative suffix indicating a position higher in altitude than the point of reference or position of the speaker; 2) tɨ on high, above.","","",""
1227,"tɨbɨri", 897,"n.","forehead"," ṭāuko-ko nidhār.","","(elevated diction; cf.  \X0tɨlɨ\x)"
1228,"tɨk", 574,"num.","one, a.","","",""
1229,"tɨkbo",   0,"num.","one","","","cf.  \X0tukli.\x"
1230,"tɨkdɨNə",   0,"adv.","at once, immediately, suddenly"," svāṭṭai, turantai.","[< tɨk 'one']",""
1231,"tɨkghe:",   0,"adv.","together; once; at once; once and for all, for good.","","[tɨk 'one', kheʔe 'time, turn']",""
1232,"tɨktɨrɨ",   0,"n.","walking stick, staff.","","[ʔ< tɨk 'one' + tɨrɨ- < tɨrɨbu Bambusa arundinacea]",""
1233,"tɨlɨ",   0,"n.","forehead"," nidhār",""," cf.  \X0tɨbɨri.\x"
1234,"tɨlnɨ", 384,"vt-1 tɨl","raise, bring up (livestock, children)"," pālnu.","","\ITɨllna.\i \IGolpɨ\i \Imɨnna.\i I raised you. I brought you up"
1235,"tɨm", 379,"n.","knowledge, awareness","","","cf.  \X0doknɨ\x \X0vt-2a\x \X0(2).\x"
1236,"tɨm",   0,"n.adj.","eldest, most knowledgeable; head, leader"," jānne, jeṭho, ṭāuko.","",""
1237,"tɨmbo",   0,"num.","four","","","cf.  \X0balɨkpɨ.\x"
1238,"tɨmlo",   0,"n.","word, affair, matter"," kurā","[< tɨm 'knowledge']","cf.  \X0mɨnnɨ\x \X0vt-7\x \X0(2).\x"
1239,"tɨmsibɨ",   0,"n.","eldest brother","","[< tɨm 'knowledge']","cf.  \X0bɨsimbɨ,\x \X0dɨspɨbɨ,\x \X0to:dɨ,\x \X0to:dɨse.\x"
1240,"tɨnɨ",   0,"vi-4 to:-tɨ-tu","ponent aspectivizer with intransitive verbs","","","cf.  \X0tunɨ\x \X0vt-6a.\x"
1241,"tɨNnɨ", 386,"vt-1 tɨN","drink; smoke","","","cf.  Nep. \X0piunu.\x"
1242,"tɨpnɨ", 385,"vt-2a tɨpt/tɨp-tɨph/tɨp","play (an instrument), ring (a bell), cause to sound"," bajāunu.","",""
1243,"tɨpnɨ",   0,"vt-2a tɨpt/tɨp-tɨph/tɨp","store, save, stockpile; accrue wealth, property"," kamāunu.","",""
1244,"tɨptɨ",   0,"adv.","up here.","","[tɨ- < tom 'this'; -ptɨ ̃ -tɨ 'up at', cf. lamtɨ, momtɨ, tomtɨ, tsoptɨ, thukkoptɨ ]",""
1245,"tɨrɨbu",   0,"n.","huge round bamboo species Bambusa arundinacea"," ḍhun%gro bāʔs","[-bu 'bamboo']"," cf.  \X0turubu.\x"
1246,"toʔo", 388,"n.","yarn, filling yarn, weft yarn; warp yarn","","[cf. Limbu tha:k  the lexicalized complement of tha:kmaʔ 'to weave']","cf.  \X0bhoknɨ\x \X0vt-2a\x \X0(2),\x \X0pənnɨ\x \X0vt-2a;\x \X0pɨnɨ\x \X0vt-6a,\x \X0su:le.\x"
1247,"tohe:m",   0,"adv. [to < tom 'this' + he:m 'like']","like this, in this fashion, such","","","cf.  \X0mohe:m.\x"
1248,"tohu",   0,"n.","large basket similar in shape to a lɨ but with a tighter mesh of split reeds and splintered bamboo, fairly rigid and sturdy when new, but an old tohu is flimsy and requires propping up, used as a receptacle for fermenting millet"," thunse, thunce.","",""
1249,"tokpeʔbhu",   0,"n.","the Nepalese red rhododendron tree, Rhododendron arboreum"," lāligurāʔs.","[-bhu 'tree'; cf. Limbu tho:kpEʔl ]",""
1250,"toksɨ", 573,"n.","neck, throat"," munṭo (neck), gicro (front of the neck).","",""
1251,"tom", 955,"1) dem.art. 2) pro.","this","","","cf.  \X0mom,\x \X0yaḱka.\x"
1252,"tombi",   0,"adv.","here","","[tom 'this' + -bi loc.sf]","cf.  \X0mombi,\x \X0tombɨ,\x \X0tombu,\x \X0tomtɨ.\x"
1253,"tombɨ",   0,"adv.","down here","","[tom 'this' + -bɨ 'down at']","cf.  \X0tombi,\x \X0tombu,\x \X0tomtɨ.\x"
1254,"tombu",   0,"adv.","here, over here (same altitude as point of reference)","","[tom 'this' + -bu 'at (same elevation)']","cf.  \X0tombi,\x \X0tombɨ,\x \X0tomtɨ.\x"
1255,"tomtɨ",   0,"adv.","up here","","[tom 'this' + -ptɨ ̃ tɨ 'up at']","cf.  \X0tombi,\x \X0tombɨ,\x \X0tombu,\x \X0tɨptɨ.\x"
1256,"tommɨl",   0,"pro.pl.","they, them, these","","","cf.  \X0hammɨl,\x \X0mommɨl,\x \X0yaḱkamɨl.\x"
1257,"Tophutsi",   0,"n.","an indoor deity in the form of a huge, dreadful serpent thicker than a man's thigh, the household incarnation or domestic avatār of the cosmic god Sɨḿnim; the serpent god twined about the arborescent aspect of Ruwabhu.","","",""
1258,"towu",   0,"adv.","hither","","[to < tom 'this']","\Itowu-mowu\i hither and thither, all over the place; cf.  \X0mowu.\x"
1259,"to:dɨ",   0,"n.adj.masc.","eldest born (son)","","","cf.  \X0bɨsimbɨ,\x \X0dɨspɨbɨ,\x \X0tɨmsibɨ,\x \X0to:dɨse.\x"
1260,"to:dɨse",   0,"n.","eldest born son","","","cf.  \X0bɨsimbɨ,\x \X0dɨspɨbɨ,\x \X0tɨmsibɨ,\x to:dɨ."
1261,"to:ma",   0,"n.adj.fem.","first born (offspring or sibling), eldest sister"," jeṭhī, jeṭhī didī",""," cf.  \X0khe:ma,\x \X0Khe:ma,\x \X0nana,\x \X0To:ma,\x \X0to:ma-khe:ma,\x \X0to:mi.\x"
1262,"to:ma",   0,"n.","spouse (female)","","","cf.  \X0to:pɨ.\x"
1263,"To:ma",   0,"n.myth.","the elder sister of Khopsi-Lɨkpa.","","",""
1264,"to:ma-khe:ma",   0,"n.","sisters, female siblings"," didī-bahinī",""," cf.  \X0khe:ma,\x \X0Khe:ma,\x \X0to:ma,\x \X0To:ma.\x"
1265,"to:mi",   0,"n.fem.","(of a married female) first born (offspring or sibling)","","","cf.  \X0to:ma.\x"
1266,"to:pɨ",   0,"n.","spouse (male)","","","cf.  \X0to:ma.\x"
1267,"to:psɨ",   0,"n.","vessel for water or ɨmma 'millet beer', consisting of a single large bamboo segment, cut off so that one transverse membrane forms a bottom and the top end is open.","","",""
1268,"törnɨ", 563,"vi-1 tör","snap, break"," bhāʔcinu.","",""
1269,"tukli",   0,"num.","one","","[in Mākpā only]","cf.  \X0tɨkbo.\x"
1270,"túkhisɨ",   0,"n.","mythologically important noisy crested bird, probably the White Crested Laughing Thrush, Garrulax leucolophus, but possibly a Bulbul species of the genus Hypsipetes"," kalkale carā, Eastern Nep. garne, garne carā.","",""
1271,"tunɨ",   0,"vt-6a ta-tuy/tu-tɨ-to","1) put, place; 2) ponent aspectivizer with transitive verbs","","","1) \IHempa\i \Itɨsi?\i Where did they put it? ; 2) cf.  \X0tɨnɨ\x \X0vi-4.\x"
1272,"turubu",   0,"n.","bamboo species Bambusa arundinacea"," ḍhun%gro bāʔs","[attested in Sasarkā only; -bu 'bamboo']"," cf.  \X0tɨrɨbu.\x"
1273,"tu:", 377,"adv.","very, intensely, extremely.","","",""
1274,"tu:tnɨ",   0,"vi-3 tu:ts/tu:s-tu:t","be visible, be able to be seen"," dekhinu.","","\IMomtɨ-kə\i \Iyə\i \Ihamtu:sta!\i They're visible from up there too!; \ITu:stɨ\i \Iye\i \Itu:stɨnə\i \Iye?\i \IKhano:the\i \Ikhano:the\i \Isyenda!\i Is it visible or isn't it? Look carefully!; \IMomtɨ-kə\i \Iyə\i \Ihamtu:sta!\i They're visible from up there too!"
1275,"thamphɨ",   0,"n.","place"," ṭhāũ.","",""
1276,"thappari",   0,"n.","belt"," peṭī.","[also attested in Sasarkā ]",""
1277,"tha:Nnɨ",   0,"vi-1 tha:N","1) fall, drop; 2) (elevated diction) die, pass away 3) with sa:yɨ 'life force', become ill, die or be near death.","khasnu","","\IDzasimɨl\i \Ihamtha:Nta\i The fruits fell [from the tree]; \IMom\i \Imi:n\i \Itha:Na\i That man passed away; \IDza:si\i \Itha:Na,\i \Idza:simɨl\i \Ihamtha:Nta\i A fruit fell [from the tree]; the fruits are falling [from the tree]; cf.  \X0pi:pnɨ,\x \X0ɨnnɨ,\x \X0thi:nɨ\x"
1278,"tha:Nnɨ",   0,"vt-1 tha:N","drop, allow to fall"," khasāunu.","[< tha:Nnɨ vi-1 'fall']",""
1279,"tha:Ńsinɨ",   0,"vr.non-erg.","descend, go or come down"," jharnu","[< tha:Nnɨ vt-1 'drop']"," cf.  \X0ta:tnɨ\x \X0vi-3,\x \X0yi:nɨ\x \X0vi-2.\x"
1280,"tha:pnɨ", 556,"vi-1 tha:ph/tha:p","be or become ripped, torn or perforated"," chedinu",""," cf.  \X0be:tnɨ\x \X0vi-3,\x \X0tha:tnɨ\x \X0vi-3,\x \X0tse:tnɨ\x \X0vi-3;\x \X0tse:tnɨ\x \X0vt-4.\x"
1281,"tha:pnɨ",1280,"vt-1 tha:ph/tha:p","rip, tear"," chednu",""," cf.  \X0tha:tnɨ\x \X0vi-3,\x \X0tse:tnɨ\x \X0vi-3,\x \X0tse:tnɨ\x \X0vt-4.\x"
1282,"tha:pnɨ", 546,"vt-2a tha:pt/tha:p-tha:ph/tha:p","measure"," nāpnu.","[dir. < tha:pnɨ vt-1 'tear, rip']",""
1283,"tha:tnɨ",   0,"vi-3 tha:ts/tha:s:-tha:t","be or become ripped, snapped; come undone; break loose"," cũḍinu","","\IThɨpmpo\i \Isu:le\i \Itha:tsa.\i \ITha:tsɨkə\i \Ibi:tsa.\i The sewn thread came undone. Having come undone, it wore through; cf.  \X0be:tnɨ\x \X0vi-3,\x \X0ta:tnɨ\x \X0vt-2a,\x \X0tha:pnɨ\x \X0vt-1,\x \X0tse:tnɨ\x \X0vi-3;\x \X0tse:tnɨ\x \X0vt-4.\x"
1284,"thennɨ", 907,"vt-2a thend/then-thents/thes","pick up, lift up"," ucālnu.","",""
1285,"thi:nɨ", 538,"vi-1 thi:y/thi:","stumble and fall, trip, fall"," khasnu, laḍnu",""," cf.  \X0ɨnnɨ,\x \X0pi:pnɨ,\x \X0tha:Nnɨ.\x"
1286,"thi:nɨ", 538,"vt-1 thi:","trip someone, cause to fall over, cause to stumble (takes both animate and inanimate patient)"," laḍāunu.","[< thi:nɨ vi-1 'stumble and fall']",""
1287,"thɨmɨnnɨ",   0,"vt-7 thɨma-thɨmɨts/thɨmɨs-thɨmɨt-thɨmɨ-thɨmuy/thɨmu-thɨmo","lay down bedding material for someone (= patient).","","[< mɨnnɨ vt-7 'do']",""
1288,"thɨpnɨ",   0,"vt-2a thɨpt/thɨp-thɨph/thɨp","sew"," siunu.","",""
1289,"thɨpkhotnnɨ",   0,"vt-5a thɨpkhotnd/thɨpkhotn-thɨphkhotnts/thɨpkhos-thɨpkho-thɨkhot","sew for someone"," silāi dinu.","[profferatively aspectivized thɨpnɨ vt-2a 'sew']",""
1290,"thɨri", 545,"n.","a four-sided weaving shuttle tapered at both ends which is passed back and forth through the weft whilst weaving on a loom, approximately 31cm in length and 5,75cm in width and breadth at the centre","","","see illustration; cf.  \X0bhoknɨ\x \X0vt-2a\x \X0(2),\x \X0pɨnɨ\x \X0vt-6a,\x toʔo."
1291,"thɨtnɨ", 551,"vi-3 thɨts/thɨs-thɨt","stretch, become elongated (with ta:na:mri 'elongated')","","","\ITa:na:mri\i \Ithɨtsa\i It became elongated."
1292,"thɨtnɨ", 551,"vt-2a thɨd/thɨt-thɨts/thɨs","1) pull; cause to budge by pulling, pull something free 2a) so:m (so:m 'breath') thɨtnɨ, inhale 2b) n., lungs","2a) sās tānnu 2b) phokso","[dir. < thɨtnɨ vi-3 'stretch, become elongated']","1) \IThɨtnɨ\i \Itsa:pkɨtɨnə\i We can't pull it loose; \ITa:na:mri\i \Ithɨttö\i \Ikhətini\i  They stretched it until it had become long, They stretched it out 2a) cf.  \X0li:tnɨ\x \X0vt-4\x \X0(2),\x \X0potnɨ\x \X0vt-2a\x \X0(3)\x 2b) cf. \X0lum,\x \X0tsuba.\x"
1293,"thoklɨ",   0,"n.","ruddy black shellac and glue made from burnt swine hair and resin mixed together into a viscous paste"," lāhā.","","one of the uses of \Ithoklɨ\i is to fasten the blade of a \Ikhukurī\i into its wooden hilt"
1294,"thoknɨ", 892,"vt-2a thokt/thok-thokh/thok","build (a wall), construct (a house)"," gāhro lāunu.","",""
1295,"thoknɨ",   0,"vt-3 thukh/thuk-thok","pour out (gradually)"," khanyāunu",""," cf.  \X0tsɨpnɨ.\x"
1296,"thoksunɨ",   0,"vt-3 thukh/thuk-thok + vt-6a sa-suy/su-sɨ-so","pour out, empty by pouring"," khanyāi paṭhāunu","[dimittively aspectivized thoknɨ vt-3 'pour']"," cf.  \X0tsɨpnɨ.\x"
1297,"tholɨ", 423,"n.","large, wooden pestle about one metre in length and club-shaped at either end, used in conjunction with a sɨNkhoʔ, q.v."," musal, muslī.","",""
1298,"thonɨ",   0,"vi-3 thiN-tho","continuous aspectivizer for intransitive verbs","","","vide  6.3.2."
1299,"thotnɨ",   0,"vt-2a thot-thiN","continuous aspectivizer for transitive verbs","","","vide  6.3.2."
1300,"thu", 906,"adv.","above, up","","","cf.  \X0mɨnnɨ\x \X0vt-7\x \X0(7).\x"
1301,"thukkoptɨ",   0,"adv.","above, upward, in an upward direction.","","[thukko 'way on high' + -ptɨ ̃ -tɨ 'up toward', cf. lamtɨ, tɨptɨ, tsoptɨ ]",""
1302,"thukko",   0,"adv.","way on high, up above"," ũbho","[< thu 'above']"," cf.  \X0yukko.\x"
1303,"thukko-thukko-na:mto:ttɨ",   0,"n.poet.","the Himalayas, the high snowy peaks of the great Himalayan range as seen from the Mahābhārat Lek.","","[thukko 'way on high', na:m 'sun', to:t (ʔ) reportedly 'reach toward', -ptɨ ̃ -tɨ 'up at']",""
1304,"thulɨ",   0,"n.","large drum.","","",""
1305,"thumɨnsina",   0,"n.","body-length straw mat"," gundrī.","",""
1306,"tsa",   0,"depr.part.","clause-final deprehensative particle indicating that the information stated in the proposition has just come to the attention of the speaker or has just become known or apparent.","","[< Nep. rahecha ]",""
1307,"tsalirma",   0,"n.adj.fem.","fourth born (offspring or sibling)","","[in Sasarkā only]","cf.  \X0takirma,\x \X0tsalirmi.\x"
1308,"tsalirmi",   0,"n.fem.","(of a married female) fourth born (offspring or sibling)","","[in Sasarkā only]","cf.  \X0takirmi,\x \X0tsalirma.\x"
1309,"tsalɨ",   0,"n.adj.masc.","fourth born (offspring or sibling)","","[in Sasarkā only]","cf.  \X0takɨ,\x \X0tsalɨse.\x"
1310,"tsalɨse",   0,"n.masc.","fourth born son","","[in Sasarkā only]","cf.  \X0takɨse,\x \X0tsalɨ.\x"
1311,"tsam",   0,"n.","in the expression tsam tse:nɨ, q.v.","","[? tsam 'carefree abandon' < tsa:m- 'lose']",""
1312,"tsam tse:nɨ",   0,"vi-1 tse:y/tse:","be happy, be content (German sich freuen, Dutch gelukkig zĳn).","","","Cf.  Kulung ji (?)"
1313,"tsampɨ",   0,"1) n. 2) adj.","1) fermented millet from which no millet beer has yet been squeezed and which has not yet been allowed to steep in a tun%bā; 2) (said of ɨmma 'millet beer') good, full, aromatic, fragrant, strong, wholesome","","","1) cf.  \X0poksim;\x \X02)\x \X0Tsampɨ\x \X0Imma\x \X0-\x \X0khənɨkpa\x \X0Imma\x Full-bodied millet beer is good millet beer."
1314,"tsaNgɨr",   0,"n.","goat"," bākhrā.","",""
1315,"tsaNgɨrpu",   0,"n.","billy goat.","","[tsaNgɨr 'goat' + -pu masc.sf.; cf. pawömpu ]",""
1316,"tsaNko",   0,"adj.","smart, clever"," calāk.","","Cf.  \X0tsennɨ,\x \X0tsɨknɨ.\x"
1317,"tsapɨ",   0,"n.","father-in-law (female or male speaking)"," sāsurā.","",""
1318,"tsaptsɨ",   0,"n.","Panthera tigris, the tiger","","","cf.  \X0kartɨkpu,\x \X0nurɨ,\x \X0sa:ʔlɨm.\x PST *chap."
1319,"tsasɨmmɨl",   0,"n.pl.","grain"," anna",""," cf.  \X0tsa:dam.\x"
1320,"tsatɨm",   0,"n.","mother-in-law (female or male speaking)"," sāsu.","",""
1321,"tsatsu", 351,"n.","grandson"," nātī.","",""
1322,"tsatsɨ", 351,"n.","granddaughter"," nātinī.","",""
1323,"tsa: nɨnɨ",   0,"","","",""," vide  \X0tsa:\x \X0i:nɨ\x"
1324,"tsa:dam",   0,"n.","grain"," anna","[attested in Sasarkā only]"," cf.  \X0tsasɨmmɨl.\x"
1325,"tsa: i:nɨ", 800,"vi-1 tsa: i:y/i:","to not be delicious, taste foul"," namīṭho hunu","366"," cf.  \X0tsa:\x \X0nɨnɨ,\x \X0tsa:ʔi:pa.\x"
1326,"tsa: i:kpa",   0,"adj.","1) foul tasting; 2) (as a complement of nəmnɨ 'smell') foul smelling, smelly","","[tsa: 'taste', i:- < i:nɨ vi-4 'be bad', -kpa AP]","1) cf.  \X0tsa:nɨkpa;\x \X02)\x cf. \X0nəmnɨ\x \X0vi-3\x \X0(2),\x \X0tsa:nam.\x"
1327,"tsa:lɨkbhu",   0,"n.","the guyāʔlo tree Elaeagnus latifolia"," guyāʔlo, guvālo, guẽlī","[-bhu 'tree']"," cf.  \X0morombhu.\x"
1328,"tsa:mnɨ",   0,"vi-1 tsa:m","1) be or get lost; 2) (with -nɨ 'mind, consciousness') lose consciousness, black out, pass out"," jñān harāinu",""," cf.  \X0-nɨ\x \X0ri:nɨ.\x"
1329,"tsa:mnɨ",   0,"vt-1 tsa:m","lose"," harāunu.","",""
1330,"tsa:mɨttunɨ",   0,"vt-6a tsa:mɨtta-tsa:mɨttuy/tsa:mɨttu-tsa:mɨttɨ-tsa:mɨtto","forget"," birsinu, birsi rākhnu.","[< tsa:m- 'lose', ɨt (cf. Limbu -i:tt-/-i:t- 'think'), tunɨ ponent aspectivizer 'put']","\ITom\i \Itɨmlo-mɨl\i \Itsa:mɨttɨ!\i Forget these words [we have said]!"
1331,"tsa:nam",   0,"adv.","fragrant (complement of nəmnɨ 'smell')","","[< tsa: nɨnɨ vi-4 'taste delicious']","cf.  \X0nəmnɨ\x \X0vi-3\x \X0(3),\x \X0tsa:ʔi:pa\x \X0(2),\x \X0tsa:nɨkpa.\x"
1332,"tsa:nɨkpa",   0,"adj.","delicious, tasty","","[tsa: 'taste', nɨ- < nɨnɨ vi-4 'be good', -kpa AP]","cf.  \X0tsa:ʔi:kpa\x \X0(1),\x \X0tsa:nam.\x"
1333,"tsa: nɨnɨ",   0,"vi-4 tsa: no:-nu-nɨ","be delicious, taste good"," mīṭho hunu","","\ITsa:\i \Ino:\i \Iye\i \Itsa:\i \Iməno:nə\i \Iye?\i Does it taste good or doesn't it?; cf.  \X0tsa:\x \X0i:nɨ,\x \X0tsa:nam.\x"
1334,"tsa:pnɨ", 347,"vt-2c tsa:pt/tsa:p-tsa:ph/tsa:p","be able to, can"," saknu.","",""
1335,"tsa:ri, tsa:rim",   0,"n.","younger brother","","[also attested in Sasarkā ]","cf.  \X0birma,\x \X0wa,\x \X0wa:tto.\x"
1336,"tsa:tnɨ",   0,"vt-2a tsa:t-tsa:ts/tsa:s","1) propagate (e.g. cultivated plants) 2) shoot forth, come about, spring up, well up, break out (e.g. sɨmar disease)","1) phailāunu 2) ubjanu.","","1) cf.  \X0phɨNnɨ\x \X0vt-2a\x"
1337,"tsekirma",   0,"n.adj.fem.","seventh born (offspring or sibling)","","","cf.  \X0tsekirmi.\x"
1338,"tsekirmi",   0,"n.fem.","(of a married female) seventh born (offspring or sibling)","","","cf.  \X0tsekirma.\x"
1339,"tsekɨ",   0,"n.adj.masc.","seventh born (offspring or sibling)","","","cf.  \X0tsekɨse.\x"
1340,"tsekɨse",   0,"n.masc.","seventh born son","","","cf.  \X0tsekɨ.\x"
1341,"tseksembhu",   0,"n.","fodder tree Litsea polyantha or Litsea monopetala bearing white flowers and black fruits"," kuṭimiro, kuṭamiro, paṭmiro, paṭmero.","[-bhu 'tree']",""
