NUMBER|PROTO|MEANING|PRNUM|GOT|ONORD|NORW|OSWED|SWED|ODAN|DAN|OENGL|MENGL|ENGL|OFRIS|EASTFRIS|OSAX|MDUTCH|DUTCH|OLFRANK|MLG|LG|OHG|MHG|HG|NOTES
1774|*strauma-z, *straumō, (?) *strūma-z|stream|2655||straum-r m. `Strom, Fluss'; streyma vb. `strömen'|straum; ströyma vb.||ström; strömma vb.||ström; strömme vb.|strēam||stream|strām||strōm|stroom m., f., struum, limb. strūm; strōmen|stroom m.||strōm(e); strȫmen||stroum (̯.Jɦ.)|strōm, stroum, strām, md. strūm st. m. 'das strömen, strömung; weg, richtung; streifen; lichtströmung, streif'|Strom m.; strömen|
1775|*stridan-, *stridēn, *stradm=, etc.|storm, boil|2657|||||||||||||||||||stredan (strad) `geräuschvoll brennen, zischen' (9.Jh.); { stredo des tages `fervor diei', stredunga, stridunga `Aufwallung' }|{ strëden `brausen, strudeln, kochen'; stridunge `Aufwallung', stradem `Strudel' } -- there is nothing in Lexer's!|Strudel m., strudeln, dial. strodeln|
1776|*sláxan- vb., *slaxti-z, *slaxtō(n), *slaxtu-z, *sluxti-z; *slagi-z/*slaxi-z, *slagō/*slaxō, *slagēn, *slagiṓn, etc.|fight, strike, kill|2661|*slahan st. `strike'; *slɔht-s f. (i) `slaughter'; slah-s m. (i) `blow'; slahal-s m. `bully'|slā st. `schlagen; töten; schmieden; werfen'; slā f. `Stange; Riegel'; slātta f. `Mahd; Mähzeit'; slātr m. `Schklachtung, Schlachtfleisch'; slag-r m. `Schlag; Melodie; Art'; slag n. `Schlag, Hieb; Kampf'; smjɔr-slaga f.; slāttr m. `Mahd'; sleggja f. `grosser Schmiedehammer'|slɔ vb.; slɔ, slo; slag; dial. slɔtta; slɔtra vb.; slɔtt; skeggja|Run. ptc. prt. slaginaR|slɔ vb.; slɔ; slag; dial. slɔtta; slɔtter; slägga||slɔ vb.; slɔ; slag; slɔt; slägge|slēan (slōg)`schlagen', slahe, slēa `Weberkamm'; sleaht, slieht m. `het slaan, het slachten, slachting'; slege (< *slaga-n); mann-slaga m.; slagu `Schlag'; slecg; slieht||slay vb.; slay, sley 'Weberkamm'; sledge|slā vb.; slachte f., slachta m. `het slaan van munten'; slei; man-slaga `manslag'||slahan (slōg); man-slahta f. `het doden'; slegi; hof-slaga `hoefslag'; man-slago `mensendoder'|slaen vb.; slacht f. `het doden'; slach m., n. `slag; golfslag; dodslag; ongeluk, geluid van een slag; muntstempel; toeslag bĳ koop; wagenspoor, weg; knip, val'; slāghe `slachthuis, epidemie'; slegge; gheslachte, gheslechte|slaan vb.; slacht f.; slag m.; slagen, slager; geslacht|slān; dat. slege|slān vb.; slach; slawe `Hufschlag'; slacht; geslechte||slahan (sluog) (8.Jh.); slahta f. `Tötung, Erschlagung, Niedermetzelung' (9.Jh.)', gislahti n. `Geschlecht, Stamm, Art' (um 1000); slag m. (um 800); { slaga f. `het slaan, hamer' }, slaht f. 'Niedermetzelung, Blutbad, das Schlachten' (11.Jh.), slehti n.|slahen, slān st. 'einen schlag geben, schlagen'; slac, gen. -ges st. m. 'schlag (mit der hand, mit einem werkzeuge od. einer waffe)'; slā, slage, slāge st. f. `werkzeug zum schlagen, hammer, bengel; schlag, niederschlag; holzschlag; spur, fährte, weg'; slouwe f. `Spur, Fährte'; slaht(e) st. f. 'tötung, schlagung, schlacht; schlachtzeit, metzelsuppenzeit; geschlecht, herkunft'; slaht st. f. 'das schlagen, die züchtigung, marter, plage; befestigung, bau'; slɛhte st. n., gesleht(e), -slaht(e) st. n. 'Geschlecht, Stamm, Abkunft, Familie, Gattung'|schlagen, Schlacht f., Schlag m.|
1777|*lak(w)jan-|seize|2662||||||||läccan `fassen, ergreifen'||latch||||||||||||
1778|*slīkan-, *slīkja-z, *slaiki-|hew, hammer|2663||||||||slīcan `percutere', slīc `Hammer'|||slēc `Schlag'||||||slīken `percutere'|||||
1779|*slīdan- vb., *slidō(n), -ēn, *slidra- etc.|slide; sleigh|2664||sleδi m. `Schlitten'|slede||släde||släde|slīdan st. `gleiten, rutschen', slidor `glatt'; sliderian `schlittern'; slide `das Ausgleiten'|slede `Schlitten'; slidere vb.; slide|sled; slither|||slido m.|slēde f.; sledde f. `Schlitten'; slīden st.|slede, slee f.; sledderen||slēde; sledde m. `Schlitten'; slīden st.|slidder(e)n `schlittern'|slito m. (9.Jh.); slita f. `schleife Schlitten'; sliddo m. `Schlitten'; slītan st.|slīten st. 'gleiten'; slite wk. m. 'schleife, schlitten; ein belagerungsgerät'|schlittern; schlitten 'Schlitten fahren, auf dem Eise rutschen' (16.Jh.); Schlitten m.|
1780|*slūkan- (~ -au-), *sluknōn-, *slaukVrōn-; *lukōn-, *lukrōn-|weak, lazy|2665||loka wk. `hangen lassen'; slokna wk. `erlöschen, aufhören'; lokna wk. `fallen'; ptc. slokin-n `erloschen'|dial. sloka `faul sein'; slauk `schlaffer Mensch', slauka `sich schleppen'; lukr `lose'; dial. lukra, lokra, lugra `schlaffhangen'; loka `zaudern';  slokna vb.; lokan `loslassen (von der Rinde)'||sloka `schwerfällig gehen, herumschlendern; schlaff herabhangen lassen';|||slēak `schlaff'||slouch||lugg `schlaff, träge'|||sluik; vlam. slōkeren `slap zĳn'; { log `plump' }||slūk `slap'|slūk `schlaff', slōkeren `schlaff sein, schlottern', slukkern; slukk `bedroefd', slokk `slap, zwak'||||
1781|*lūϑr=, *liuϑr=, *ludra-, *slud=, *lut= etc.|useless, weary, bad|2666||loδi m. `zottiger Mantel'|lode|lüddare `untaugliche Person'||||līϑre, lǖϑre `schlecht, elend, gemein'; loddere `Lumpenkerl, Bettler'; loϑa `mantel'; līϑerlic 'schlecht, gemein'|||lotha `grobes Wollenzeug'||lūthara; lodara `vod, flard'; { loth }, loϑa `Mantel, Decke'; lotho `grobes Wollenzeug'|lūdere f. `doek, luier'|luier f.; lodder m. `lomp, flard, prul; liederlĳke kerel, schoft, vagebond'||līderlīk 'tragbar, annehmbar'; lodder, loder(er) `liederlĳkekerel, deugniet, goochelaar'; lūdere; lōder, lodder, loderer 'Bettler'||lotar 'nichtig' (8.Jh.); lūdara; lodera `luieer'; { ludo, } lodo `grove wollen stof' (10.Jh.); lūdara 'Windel, Lumpen' (8.Jh.)|liederlich 'leicht und zierlich in Wuchs und Bewegung', EHG 'leicht, geringfügig, unwichtig' (15.Jh.), 'leichtfertig, ausschweifend' (16.Jh.); lode wk. m. 'grobes wollenzug, loden, zotte'; loter 'locker, leichsinnig, leichtfertig', lot(t)er st. m. 'lockerer mensch, taugenichts gaukler, possenreisser'|liederlich; lottern, Loden|
1782|*slūpan-/*sliupan-, *slaup(i)ō, *slaupian- vb., *slupa-z, *slupjan- vb., *slufti-z, etc.|slide, slip|2667|*sliupan st. `slip into'|{ ? slopp-r m. `Messgewand'; slüppa f. }||||||slūpan `gleiten', slīepan `an- oder ausziehen'; ofer-slop n., ofer-slype m. `Oberkleid'||pl. slops|slēpa `aantrekken, uittrekken'||slōpian `loswikkelen, osschuiven'|slūpen; sloop, slōpe `kussenovertrek'; slop n. `overkleed', overslop `overkleed, voorhuid', sloppe `riempje'; slōpen `uit elkaar nemen; slepen'|sluipen; sloop f.; slopen; sloof||slūpen `schlüpfen, schleichen'; slōpe `strik'||intsluphen 'entkommen, entschwinden' (9.Jh.); sliofan `schlüpfen, gleiten' (9.Jh.), sloufa f. (Hs. 12.Jh.), sloufen `schlüpfen machen, hineinschlüpfen lassen'; { ana-slouf, in-slouf `indumentum', ubar-sloufi n. `Mantel' }; slouf (Hs. 13.Jh.) `het gĳden, buis'|slüpfen, slupfen wk., EaHG entslüpfen 'schlüpfen, schlürfen'; sliefen st. 'schliefen, schlüpfen'; sluft st. f., sluf (-ff-) st. m. 'das Schliefen, Schlüpfen; Schlupfwinkel'; sloufe st. f. `Öhr; Öffnung, Kreis'; slouf, slūf st. m. 'das öhr; das schlüpfen, entschlüpfen'|schlüpfen; schliefen 'in den Fuchs- oder Dachsbau kriechen'; Schlucht f., hd. Schluft; Schleife (Schläufe bis ins 18.Jh.) f., Schlaufe|And more...
1783|*slūkan- vb., *slūka-z, etc.|crawl, steal by|2668||{ slūk `squamas' }|||||||||||slūk `afgeworpen slagenhuid'||sluiken `schleichen, schmuggeln', ter sluik `heimlich'|||||slūch st. m. `(schlangen)haut, röhre, schlauch'|Schlauch; { schweiz. slūche `langsam, sleppend gehen', slūchi `langsamer Mensch' }|
1784|*slūkan- vb., *slūka-z, *slukjōn, *slaukiōn, slukk=, etc.|slip, swallow, gulp down|2669||slok n. `Wasserrinne'|slūka st. `verschlingen'; dial. slöykja `rinnenartige Vertiefung in der Erde'; slok `Mühlenrinne'||sluka st. 'verschlingen, schlucken', dial. slɔk `grosser Trog'||sluge vb.|sloca `Bissen'||||||slocken; Kil. slōke `keel'; Theut. sluycken|slokken `schlingen'||slūken st. `(hinunter)schlucken', slōke `Kehle, Schlund, Schluck'; slucken `schlingen, schluchzen'||slūh 'Schlund' (um 1000), slucko 'Fresser, Schlemmer' (8.Jh.), { sluch m. `gähnender Abgrund' }|slūchen wk., EaHG schlauchen (bis 12.Jh.) wk. `schlingen, schlucken', slūch, sluoch st. m. 'schlund, kehle, gurgel der tiere, rüssel des elefanten; schlund, abgrund'; slücke wk. f. `öffnung, lücke, graben', slucken wk. `schlingen, schlucken; schluchzen', sluc st. f. 'schluck'|schlucken; Schluck m.|
1785|*laka- adj., *lēka-, *lōk=; *slaka- adj., *slaknan-, *slakjan-, *slōk=, *slēk=|useless, weak, slow|2670||lak-r, lāk-r `unbedeutend, schlecht'; slak-r `schlaff', slakna `erschlaffen', slōk-r `schwerfällige Mensch' (poet.)|slōken `schlaff'; dial. sloka `mühsam gehen', lōka `zaudern, langsam herumschlendern', lōk `schlaffer, fauler Mensch'; lɔk `schlecht, schwach'; slakk adj.; dial. slok `träge Person'|slöki-frith, -frilla `Kebsweib'|slōk, slɔk `leichtsinniges Weib'; dial. lōka `schlaff heradhängen'; slak adj.; slockna vb.; dial. slok `träge Person'; dial. slöke `leichtsinniges Weib'; sloka `schlaff abhängen'|slökä-frith `Kebse'|slak adj.; slegfred `Kebse'|släc `schlaff, träge, langsam', ge-sleccan `schwächen', slacian; slacor `schlaff'||slack|||slak `schlaff, schwach'; ptc. gislekit `stumpf gemacht'; slekkian|slac `slap, los, traag'; slāken `slap maken, losmaken, ontslaan, lenigen', intr. `losgaan, bedaren'|dial. slaak n. `rustig, onbewogen water'; slaken; { lak `schlaff, lose; wollüstig' }||lak `schlaff, lose', slac `schlaff, schwach'; slak-sīde `Bauch'; slāken `slap, zwak maken, zĳn'||{ slah `schlaff, träge' }|slach 'schlaff, welk'|{ dial. lack `schlaff, lose' }|
1786|*linka- adj., *lankiōn, *lanḳōn- vb., *lunkōn- vb., *slinka- adj.|lame, left|2671|||lunke `langsam gehen'||dial. slinka `nicht fest ansitzen, schlottern, hinken'; linka, lanka `etwas hinken'; lunka `langsam gehen'||linke `hinken'||||||||{ link, slink `link' }||link||slinc `link'; lenka `die Linke, linke Hand' (8.Jh.)|linc, lënc, gen. -es `link; linkisch, unwissend'|link|
1787|*sling(w)an- vb., *slang(w)ēn, *slangwian- vb., *sling(w)ōn|throw, crawl, wind|2673||slüngja, slüngva st. `werfen, schleudern'; slangi m. `Schlange'; slöngva wk. `schleudern, werfen'; slöngva f. `Schleuder'|slüngja vb.; slengja vb.|sliunga vb.|dial. slinga, vb.; slänga vb.; slunga sbs.||slünge vb.; slänge vb.; slünge sbs.|slingan `schlängeln, gleiten'|||slinge f. `sleep'||slingira `slinger'; slango m.|slingher(e) f. `slinger'; Kil. slinghe; slinghen `met een slinger werpen, kruipen, voortkronkelen'; slanghe m., f.|slinger m.; slang f.|slango|slange m., f.; slinge; slingen `kronkelen, winden'; slengen||slingan st. `schwingen, winden, flechten', refl. `sich schlängeln, kriechen' (um 1000); slango m. `Schlange' (9.Jh.), slinga f. `Schlinge' (um 800); slingen 'hin und her ziehend schwingen, flechten, sich schlängelnd winden, kriechen, gleiten, schleichen'; slengen|pl. slinger, slinker, slɛnger, slɛnker st. f. `schleuder'; slinge wk./st. f. 'Schleuder'; slange wk. m. (md. st. f.) 'Schlange, Drache'|schlingen, Schlinge f., Schlange f.|
1788|*wir=, *wirnō(n), *wurnal=|tumor; varicous dilation of veins|1213|||dial. vere `Geschwulst unter der Haut der Kühe, in der die Larve der Viehbremse liegt, auch diese Larve selbst'||dial. verna `Krampfader'||värne `Krampfader'|wornil `Krampfader'|||||||||||{ werna `Krampfader' }||{ bair. wern f., tirol. Augenwarn f. `gesternkornartiges Blutgeschwür im Augenlied' }|
1789|*stangō, *stangila-z, *stingVla-z, *stungian-, *stingan- vb.|stick, pivot|1544|{ usstaŋg 'stich aus' }|{ stɔng; stinga vb. }|||stɔng|||steng; stingan||sting|||stanga; stengil|stanghe|{ stang; stengel }||stange; stengel||stanga (um 800) 'Stock, Pfahl, Stange', stengil 'Stengel' (um 900); stingen (Hs. 13.Jh.) 'zur Ader lassen'; stung 'Stich, Stichel' (?) (um 800), stungen 'stechen, quälen, anstacheln' (8.Jh.)|stange wk./st. f. 'stange; horn, geweih; feder aus einem pfauenschwanze'; stɛngel, stingel st. m. 'stengel; angelrute; stange'|Stange f., Stengel m.|
1790|*wōgōn-|notify|1318||||||||wōgian `freien'||||||||||||||
1791|*dēxō(n), *dēxalō(n)|a bird|2692|||||||||||||||||||taha `Dohle'|tāhe, tāhele, tāle wk. f. 'dohle'|{ dial. dache `Dohle' }|
1792|*wabōn, *wabēn, *wa[b]lō|honeycomb|2695||||||||||||||wāfele, wāfel f. `wafel'|wafel f.|*wāvla 'Wabe, Waffel' > OFrench walfre, waufre, gaufre 'dünnes, leichtes Gebäck mit zellenförmiger Musterung, Waffel' (13.Jh.), OPicard gauffre 'Honigwabe' (16.Jh.), French gaufre 'Waffel, Wabe'||wafel, waffel `wafel'|waba f. (9.Jh.), wabo m. (10.Jh.)|wabe wk. m., f. 'honigwaben'|Wabe f.|
1793|*brasa-n|bronze, copper|2697||||||||bräs n. `Erz, Bronze'|||bress `Kupfer'||||||bras `Metall'|||||
1794|*dw[i]stVl=|a plant|2698||||||||dweorge-dwostle f. 'Flöhkraut'||||||||||||||
1795|*brakkēn|hound|2703||||||||||||||bracke, brac `Spürhund'|brak m. `speurhond'||bracke `Spürhund'||{ bracko `Spürhund' }|bracke wk. m. 'spür- und spielhund'|{ Bracke `Spürhund' }|
1796|*drēϑēn, -ō(n), [ *trōt= ]|besom, fringe|2705|||||||||||||||troetel m. `kwast, sabelkwast'||||trādo m., trāda f. `Faden, Franse, Saum, Quaste' (9.Jh.)|EaHG tradel (15.Jh.), traddel (16.Jh.), obd. trodel 'Quaste; Zusammengedrehtes, Verfitztes'|Troddel f.|
1797|*mau-s-id-ō(n-) f.|pillage|2881||||||||||||||||{ chrēo-mōsido 'Leichenberäubung' }||||||
1798|*xilta-n, *xilti-z, *xiltō(n)|hilt|2710||hjalt n. `Schwertgriff, Parierstange'|hjolt||hjalt(e), hjält|||hilt f. `Schwertgriff'; hilte `id.'|||||helta `Handgriff am Ruder'; hilti `Schwertgriff'|hilt, helt|||hilte `Schwertgriff'||{ helza `Schwertgriff' }|hëlze, hilze st./wk. f. `schwert griff, heft; fessel'||
1799|*krutōn-|carve|2711||krota wk. `durch aufgesetzte Figuren schmücken'|krota `Figuren ausschneiden'||dial. krota, krɔta `quetschen, langsam arbeiten, im Holz schneiden'|||||||||||||||||
1800|*krutjan-, *krutjōn|shout; a bird|2713||krütja wk. `brummen, murren'|krütja `Seevogel (Larus tridactylus)'|||||||||||||||||||
1801|*grunn[ō]n-, *grunnitjan- vb.|grunt|2714||||||grünte 'grunzen'||grunnettan|grunten|grunt|||||||||grunnezzen 'murren grollen' (9.Jh.), grunnizōd 'das Grunzen des Schweins' (11.Jh.)|grunzen wk. 'murmurare'|{ grunnen }; grunzen|
1802|*gīpan- vb., *gaipōn- vb., *gībōn- vb., *gaifra-z, *gaifōn- vb.|yawn, open mouth|2717||{ gīfr n. `Unhold, -in'; geipa 'schwatzen' }|dial. geivla `zĳwaarts afzwaaien'|||||gīfre `gierig', gīfer `Fresser'||gibe, jibe||||ghīpen|gĳpen 'nach Luft suchen'; giebelen, westnl. gĳbelen `giechelen'|||gīpen, jīpen 'den Mund aufreissen, nach Luft schnappen, streben nach'; { gibbelen, gibelen `spottend lachen' }||{ geifer m. }|Geifer m. 'hearusfliessender Speichel', bair. gaifen 'klaffen, spöttisch den Mund verziehen', { dial. geifen, geiben, geipen `gähnen, gaffen', geifeln `spottend lachen' }|
1803|*jā|yes|2718|ja, jai `yes'|jā `ja'|ja||ja||ja|gē, gēa; gēse, gīse, gǖse||yea, yes|jē, gē||jā|jā|ja||jā||jā, ja 'ja' (Zustimmungspartikel; conj. 'doch, sogar')|jā̆ 'ja; fürwahr'|ja|
1804|*līka-n, *-laik(i)a-n|band, tie|2723||līk n. `Leik, Einfassung des Segels'|lik||lik||lig||||||||lĳk n. `touw, zoom om een zeil'||līk `Band'|||geleich(e) st. n. 'gelenk; fuge; glied'||
1805|*samda-z, -n|sand|2727||sand-r m. `Sand'|sand||sand||sand|sand n.||sand|sond n.||sand m.|sant n. (/m.) `zand, zandvlakte, strand, oever'|zand n.||sant||sant m. (8.Jh.)|sant st. m. (/n.) 'sand, bes. uferstrand; strand, ufer, gestade; sandige fläche, kampfplatz, stechbahn'; { sampt, sambt }|Sand m., bair., tirol. Samt|
1806|*spanan- vb., *spanjan- vb., *spansti-z, [*spanstia-n], *spann=|lure, deceive|2735|||||||||||sponst `verleiding'; spona vb.||spanan `verlokken'; gi-spensti n. `verlokking'|spānen `verlokken'|||||spanst f., n., spenst f., n. `Verlockung, Verführung'; spanan, prt. spuon `locken, reizen' (9.Jh.), gispanst f. `Verlockung, Trug'; spenstīg 'ablockend, verführbar' (um 1000)|spanen st. 'locken, reizen, antreiben'; spɛnen wk. '=spanen, locken, reizen, antreiben'|Gespenst, Spanferkel, widerspenstig, abspenstig|
1807|*skō[p]a-z, -ēn, *skōbbēn|scale|2736||||||||||||||schubbe f. `schub'|schub||schōve, schōpe `schub'; schubbe `id'||scuob(b)a (10.Jh.)|schuop(e) wk./st. m. 'Schuppe', md. schūpe, schuppe|Schuppe f.|
1808|*strīma-z, -ēn, *strinēn, *straima-z, *streimēn, *strēma-z, *strēla-z, *strēlō(n)|stripe, ray|2738|||strɔl `ein kleiner Fischschwarm, der sich von einem grösseren strahlenartig abzweigt'; dial. stril, strīla `Strahl, Ader, Styreifen'||stril `Brause, Strahl', strila `besprengen, berieseln'; dial. strena 'Striemen auf der Haut'||||||strāl `Streifen'||strāl `Strahl'|strieme; strēme `streep, strok'; strēne m.|striem f., m.; zuidnl. straam m. `vurige streep op het lichaam, striem'; suidnl. streen f. 'Garn0Undel, Flechtwerk'||strīme `Narbe, Streifen, Strich'; strēme `Strieme'; strām `stroom'; strāle `Strahl'||strīmo `Streifen, Strich, Strieme, Strahl' (um 1000); fahsstreno m. `Haarflechte, -strähne' (11.Jh.); strāla `Blitz' (8.Jh.)|strën, strëne wk. m. `strähne, flechte von Haaren, flachs usw.'; strieme wk. m., streim, streime st./wk. m. 'streifen'; strām, strān st. m. 'das strömen, strömung; weg, richtung; streifen, lichtstreifen, strahl'; strāle wk./st. f., strāl st. f. 'wetterstrahl, litz; streifen'; strīm, strīme st./wk. m. 'streifen'|Striemen m., Strieme f.; dial. Streim(e) `Streifen, Strich, Strieme, Strahl'; Strahl m.; Strähne f.; (älter) Stram|
1809|*ϑrūtan- vb., *ϑrūtōn- vb., *ϑrutēn; *strūtVn-, *strutjan-; *ϑrūta-z, *ϑrut=, *strūta-z, *strūtiōn|gullet, muzzle, etc.|2739|{ ϑrūtsfill 'Aussatz' }|ϑrūtin-n `gezwollen', ϑroti m. `Scwellung, Geschwulst; Hartneckigkeit'; ϑrūtna wk. `aufschwellen, übermütig werden'; ϑrūt-r m. `Schnauze, Mund'; strūt-r m. `Spitze eines Hutes'|truten, troten; trutna vb.; trot `Schnauze', dial. `Schnauze eines Gefässes'; dial. trott `vorstehender Mund'; strut `Ausguss, Schnauze'; dial. strüta `Schnauze'; strūter `Hutspitz'|strūter `Hutspitz'|dial. troten; dial. trutna vb.; trut `lange Nase, Maul'; dial. trutt `Mündung einer Flasche'; dial. strüta `Schlot'; strutta 'trippeln'|strud `Ausguss, Spitze'|strutte `strotzen'; dial. trunde vb.; trut `vorstehender Mund', dial. `Schnauze einer Kanne'|ϑrūtian `steif vorstehen, emporragen'', strūtian `stĳf staan'; ϑrote, ϑrotu `Kehlkopf'|strūten, strouten `schwellen, strotzen'; ϑrotu, ϑrote f. `strot, keel'; strūt `Schwellung, Streit'|strut 'Streit, Zank'; throat; dial. strout 'Streit'|strot-bolla m. `strottenhoofd'; throt-bolla `id.'||strota `strot'|strōte, strotte, strot, sterte, starte `strot'|strot m., f.; strutt 'starr, steif'||strōte, strotte `strot'||throʒʒa 'Kehle, Gurgel' (10.Jh.); strūʒahi n. 'Gebüsch' (12.Jh.)|stroʒʒen, strotzen `prall voll, angeschwollen sein', striuʒen wk. 'sich sträuben, spreizen'; drozze wk. m. 'kehle'; stroʒʒe wk. f. 'luftröhre, gurgel'; strūʒ st. m. `Widerstand, Zwist, Streit, Gefecht; Strauch'; EaHG strūß, strauß 'Federbusch, Kamm auf dem Kopf eines Vogels, Schmuck auf Helm oder Hut; Strauch, Busch, Dickheit; Blumengebinde' (16.Jh.), gestriuʒe 'Buschwerk, Gesträuch', EHG striuʒach, strūʒach 'Gebüsch' (15.Jh.)|strotzen; Drossel f. `Kehle des Wildes; techn. Vorrichting'; drosseln; Strauss m. 'Streit', Strauss m. 'Blumengebinde'|
1810|*lasiwa-, *lasiwēn- vb., *lasan- vb., *laska-|weak, false|2740|lasiw-s (a) `weak'|lasin-n `schlaff, schwach'; las-meyr, -mǟrr `elend, gebrechlich'|lasen|||||leswe, lyswe `falsch, übel, böse'||lazy|||||||las, lasich `slap, mat'|||er-lɛswen wk. `schwach werden'||
1811|*alan- (~ *alōn-) vb.|flame|3241|||||dial. ala 'lodern'|||||||||||||||||
1812|*ϑinxsilō|thill|2745||ϑīsl f. `Deichsel'|tilla, tilna `Deichsel'||tistel, dial. tissel; tist(e) `Zugriemen'||tist `Riemen um zu Verbinden'|ϑīsl, ϑīsle|ϑille|thill|||thīsla|diesel|dissel m.||dīsle||thīhsala (10.Jh.)|dīhsel st. f. 'deichsel'|Deichsel f.|
1813|*ϑinjō(n), *ϑinja-n, *ϑun=|temple (anat.)|2746||||||||ϑun-wang, ϑun-wenge|||||thinn-ongi||||||{ dunn-wengi, tinna-bahho, tinna }|tinne, tinge wk./st. f., st. n. 'stirn', pl. 'schläfe' { tunne }||
1814|*ϑrastu-z, *ϑrustlō(n), *ϑrausk=, *ϑrūskiōn, *ϑrōstVlō, *ϑraustVl=|a bird (thrush)|2753||ϑrɔst-r m. `Drossel'|trost, trast||trast||trost|{ ϑrostle; ϑrōstle; ϑrǟsce, ϑrüsce }||throstle; thrush|||throsla|drosel, droossel|||drosle|westfäl. drɔssl|thrōsca, thrōskala (9./10.Jh.)|droschel, troschel, trostel st. f. 'drossel, singdrossel'|Drossel f.; alem. drōštlə, bair. dröschel|
1815|*wīra-z, *weirō|wire|2757||{ vīr-r `Spirale, Filigran' }||||||wīr `Metalldraht, gewundener Schmuck'||wire|||||||||{ wiara Gold- oder Silberdraht' }|wiere st. f. 'geläutertes, feinstes gold (od. gold-, silberdraht ?), schmuck aus solchem'||
1816|*aura-n, -z; *auri-z; *ūra-n|sand containing iron, ore|2762|*aurahjōn-s `monuments, tombs'|aur-r `Eisenartiger Sand, Gries', eyr-r f. `flache Küstenstrecke'; ūr n. `Metallschlacke, Abfall'; ǖr-r m. `morsches, sprödes Eisen';|aur, aure||ör||dial. ör `Sandbank'|ēar `Erde', ēor `Kies'||ore|||||{ oer `eisenhaltiger Sand' }||{ ūr `oer' }|{ ūr `eisenhaltiger Sand' }||||
1817|*ūra-z, *ūrēn|aurochs|2763||{ ūr-r `Auerochs' }||||||ūr `Auerochs'||owre|||||||ūr-osse||ūro `Auerochs' (um 1100), ūr(h)rind (10.Jh.)|ūr st. m., ūre sw. m. 'auerochse'|Auerochse m.|
1818|*nōtō|net|2239||nōt f. `Netz'|not||not||not|||||||||||||||
1819|*sparēn, *sparrēn, *sparriōn|stake, beam|2782||spari m., sparri m. `Sparren, Balken, Pflock'; sperra f. `Dachsparren'|sparre; sperra||sparre; dial. spärra||sparre||sparre `rondhout, spar. spier'|spar|OWFris speeren `balk'||sparro m.|sparre|spar m. `balk'||sparre||sparro m. `Balken, Stange' (um 1000)|sparre wk. m. 'stange, balken; querbalken in einem wappen'|Sparren m.|
1820|*fullu-|vessel|895||full n. `Becher'||||||full `Becher'|||||full `Becher'|||||||||
1821|*fúrxō, *firx=, *furxia-n|fir|2788||fura, fūra f. `Föhre'; fǖri n. `Föhrenwald'|furu, fura; füre||fura; dial. füre||für|furh-||fir|||furia `pĳnboom'||||vūre||for(a)ha `Kiefer' (9.Jh.); { fereh-eih `aesculus', Langob. fereha `aesculus (eik met eetbare eikels)' }|vorhe wk. f. 'föhre'|Föhre f.|
1822|*mandaga-|alacer, gaudens|2148|||||||||||||||||||{ mandag 'alacer, gaudens, freudig, munter, schneidig' }|||
1823|*rūma-z, *rauma-z|room|2792|*rum n. (~ *rum-s m.) (a) `room, space'; rum-s `spacious'|rūm n. `Raum, Platz; Bett', rūm-r `geräumig'|rum; rom adj.|rum|rum adj., sbs. 'Raum, Platz'|rum|rum adj.|rūm `Raum', rūm `geräumig'||room|rūm adj.||rūm `Raum', rūmo adv.|ruum, rūme adj.; ruum `ruimte'|ruim adj., sbs.||rūm adj.||rūm (11.Jh.), rūmi adj. (8.Jh.) 'weit, fern'|rūm, rūn, roum st. m. 'Raum, Platz zu freier Bewegung oder zum Aufenthalt; was wegzuräumen ist, Kehricht'; rūm(e) `geräumig'|Raum m.; geraum, raum|
1824|*alja-, *aljis-|other|2793|*alji-s (ja) `other'; alja-|Run. Norw alja-markiR m. `der Mann aus einem andern Land, Fremdling'; elliga(r) adv. `sonst'; ella, ellar adv. `anderfalls, sonst'|elles(t) adv.|ällighär, ällighis adv.|eljes(t) adv.; eller adv.|ällär, ällä, älläs adv.||elles `anders'; ellende `vreemd land'; ellicor, elcor `sonst'||else|ili-lend, ellend, elend `vreemd land'||elilendi adj.; elilende sbs.|ellende `vreemd land, ballingschap'|ellende f.|ele-lendi `ballingschap'|elende adj., sbs.||eli-lenti adj. 'aus der Fremde kommend, nicht einheimisch' (8.Jh.), seit dem 11.Jh. auch 'bedürftig, unglücklich, jammervoll'; elilenti (9.Jh.) 'Fremde, Au fenthalt in der Fremde (im anderen Land), Heimatlosigkeit, Verbannung' (9.Jh.), 'leidvolles Dasein' (um 1000); { Eli-saʒʒo; elichōr `ferner' }|ɛllende, md. ɛn(e)lende 'anderes land, ausland, fremde; leben in der fremde, verbannung', ɛllende adj. 'der in oder aus einem fremden lande, fremd oder in der fremde ist, verbannt'|elend, Elend|
1825|*bai, *bē|both|2794|pl. bai m., f., ba n. `both'|{ pl. bāδir m., bāδar f., bǟδi n. }|bɔde|baϑir|bɔda||bɔde|bā ϑā, bēgen ϑā; bā f., bū n. 'beide'||[ both < NG ]|bēthe||bēthia, bēthie, -iu n.|beide, bēde|beide||beide||beide, bēde m. (8.Jh.), { beido, bēdo f.,  bēdiu }, beidiu n.|beide, bēde 'beide'|beide|
