"NUMBER","PROTO","MEANING","PRNUM","OLITH","LITH","LETT","OPRUS","NOTES"
  1395,"*taũk-a-/*taûk-a- c., *tauk-iā̃ f., *tuk- vb. inch., *tū̂k- (2) vb. inch.","fat",  2916,"","taukaĩ pl. `Fett, Schmer, Mark in den Knochen, Schmalz', dial. táuka-s `Fettstück', taũkē `gemeiner Beinwell, Wallwurz, Symphytum officinalis (окопник)'; tùkti (tuñka, tùkō) 'fatt werden (von Masttieren), fett, feist werden'","tàuks `fett, feist', pl. tàuki `Fett, Talg'; tûska, tûskis, tū s[k]is, tûskus\H2\h `Geschwulst'; tukt, prs. *tùku (tùku\H2\h,tûku\H2\h), tūkstu, prt. tuku 'fett werden, schwellen', tûkt (-kstu, -ku) 'ds.', taûkšêt, tàukšêt\H2\h, taûkšk̨êt, tàukšk̨et\H2\h, taûšk̨êt (-ẽju) 'Fett schmelzen, schmoren, (Erbsen) mit Butter oder Fett schmoren, rösten'","taukis 'Schmalz' V. 378;",""
  1396,"*či-, *čī̂ f., *če","this",  2917,"","šì-s, fem. šì; šìta-s 'dieser, der hier', šè 'siehe da; da, hier'","še 'hier'","stas 'der'; schai 'hier'",""
  1397,"*be, *ba","part.",  2920,"","bà 'denn, ja', bè 'wohl' in Fragesätzen, bejè 'beiläufig, nebenbei gesagt', benè 'wohl, jedenfalls, wahrscheinlich', beñt 'wenigstens', bèt 'aber, sondern'","ba verstärkende Partikel; bet 'aber; sondern'","beggi 'denn'; bhe, bha 'aber, sondern'",""
  1398,"*deder-iā̃, *dederw-in-iā̃ f.","rush",  2921,"","dedervinē̃ 'Flechte (Hautausschlag)'","dedere, dederene 'Ekzem, Hautausschlag, Flechte'","",""
  1399,"*ar-mō̃ (-men-) c.","hollow",  2924,"","{ armuõ 'Tiefe, Abgrund' }","","",""
  1400,"*as-ia- c., *as-k-a- c.","horse-tail, reed",  2925,"","esī̃-s, dial. asī̃-s 'Schachtelhalm, Schafthalm, equisetum'","ašči, aši, -as, ašavi, -as, ašuvi, ašenes, ašk̨i, ažg̨i pl. 'Schlachtelhalm (Equisetum); Binsen'","",""
  1401,"*aîǯ-ā̂ f. (1), *eĩǯ- (-ja-) vb. tr., *iǯ- vb. intr., *iǯ-ā̂ f., *īǯ-iā̃, *iǯ-jā̂ f., *eĩǯ-ā̂, -iā̃ f.","peel, cut",  2928,"","áiža 'Riss', aižī́ti 'enthülsen, aushülsen', áižēti 'enthülst w., sich abschälen', ìsaiža 'Hülse, Schale'; iẽžti, eĩžti 'enthülsen, aushülsen', eĩžti 'aushülsen', éižēti 'aufspringen', ìžti 'aufspringen, von Hülsenfrüchten', ižà, ìža-s 'Eisscholle', pl. ìžōs 'Grund-, Treibeis', īžē̃ 'Hülse, Schote, Schale', pl. ī̃žēs ' 'Fischsuppe', ižà, īžià, iženà, īžē, ìženōs 'Schnecken'","aĩza, àiza, aîza 'Riss, Spalte im Eise; Pass', ìeza, ìeze\H2\h 'Spalte im Eis', īze\H2\h 'Riss, Spalte im Eise', ìezis 'Sandfels, felsenartige Sandlagerung, bes. an Flussufern, Gestein'; at=iezt (-žu, -zu) 'fletschen' (+ at=ìest\H2\h (-šu -su) 'ds.' to \Iaisīt\i)","eyswo 'Wund'",""
  1402,"*skreĩ- (*skre-ja-/*skrei-ja-) vb., *skri-t-a- adj., *skreĩ-t-(-ja-) vb. tr.","move around",  2935,"","skriẽti (/skríeti), skrẽja, skrē̃jō, žem. skriẽja, skriẽjō '(im Bogen, Kreise) bewegen, drehen, einen Kreis beschreiben, nach der Seite hin abrutschen, -gleiten, schleudern (von einem Fahrzeug); 'fliegen, gleiten, schweben, eilen, schnell bewegen (z.B. laufen, fahren), attern, flackern'; ãpskrita- 'kreisrund, kugelrund', skriẽsti (-čia) 'drehen', skritulī̃-s 'Kreis'","","",""
  1403,"*ka-","pron. interrog.",  2940,"","kà-s 'wer, was', kàd 'dass', kad(à) 'wann',","kas 'wer, was'; ka, kad 'wann'","ka-s, n. ka 'wer, was'",""
  1404,"*gaûd-ī- vb., *gaû(d)-s-u- adj. (1), *gaû(d)-s-ā̂ f. (1?), *gud-r-a-, -u- (adj.), *gud-iā̃ f.","seek, reach, catch",  2943,"","gáudīti 'zu erlangen suchen, nachstellen, nachjagen, fangen'; gausù- 'viel Raum bietend, von Grossem Gehalt, reichlich, zahlreich, ertragisch, ergiebig, fruchtbar', gausà/gausvà 'reichliche Menge, Fülle, Überfluss'; gùsti, guñda 'sich gewöhnen, Übung, Erfahrung in etwas bekommen', gùdinti 'gewöhnen, üben, einem etwas beibringen', gùdra-, gudrù-; gùča-s (< *gud-ča-) 'habsüchtiger Mensch', gùdē 'Futteral für Wetzstein; Wetzstein'","gaudît (-u, -ĩju) 'wiederholt zu fangen, zu erhaschen versuchen'; gaũss 'verschlagsam, langsam zu Ende gehend, lange dauernd', gaũsa, gauss, gaũsus 'Nahrhaftigkeit, Verlagsamkeit, Segen'; gudr-s 'klug, vernünftig; vernünftig, gut; schlau, listig'","",""
  1405,"*daũǯ- (-ja-) vb. tr., *dauǯ-ī̂- (AC 1?), *duǯ- vb. intr.","beat",  2945,"","daũžti 'schlagen, stossen', intens. daužī́ti; dùžti 'zerbrechen, entzweigehen, bersten, platzen'","dauzt (-žu, -zu) 'entzwei schlagen, trümmern', daũzît (-u, -ĩju) 'wiederholt schlagen'","",""
  1406,"*per̂-, *par̂-","",  2946,"","pér-, dial. pár- prf., par- 'zurück, heim', per̃, dial. par̃ 'durch, über-weg, über-hin, um-herum, vermittels'","","per, par",""
  1407,"*tū̂, -tei, *taw-","thou",  2949,"","tù 'du', Lith encl. dat. -ti, -t; poss. tãva-, f. tava,","tu 'du', poss. tavs, f. tava;","toū, encl. tu 'du'",""
  1408,"*dwō, *dwai, *dwī f., *dwej-, *dwi-,","two",  2950,"","dù, f. dvì 'zwei'; dvejì 'je zwei', dvẽja 'zweierlei', dvẽjeta-s 'Zweiheit'; dvi-","divi, dui '2'","dwigubbus 'doppelt', dwigubbū 'zweifelt'; dwai '2'",""
  1409,"*tar̃- (*tar-ja-/*tar-a-) vb., *tar-ī̂- vb., *tar̃-t-i- f., etc.","say, tell",  2951,"","tar̃ti, tãria, žem. tãra (see Jušk. atitárti), 2 sg. fut. tar̃si = tar̃tum 'sagen, aussprechen; (+ Dat.) begleiten; glauben, im Glauben sein; meinen', nordöstlith. tárti; tãrti-s 'sich besprechen, sich beraten, sich verabreden, verhandeln; annehmen, glauben, erwarten', ap-tar̃ti 'besprechen; verleumden, verdächtigen', įtar̃ti '(be)argwöhnen, Verdacht hegen, verdächtigen', usw.; tarìma-s 'Sagen, Aussprache, Beschluss, Folgerung, Urteil, Vermutung'; tartì-s 'Aussprache' [nach Frenkel ist eine Neubildung zu tarī́ti]; tarī́ti, tãria/nord-, westlit. tãrō, praet. tãriō 'sagen, aussprechen; (+Dat) begleiten (z. B. beim Spielen, Singen); meinen', tarī́ba 'Rat, Beratung'; tarmē̃ 'etw. Gesagtes, Aussprache, Sprache; Dialekt'; tar̃tum, tarī̃tum, tarī́tum 'man könnte, sagen; wie, als ob, gleichwie' (2 sg. opt. zu tar̃ti/tarī́ti)","tãrmasa 'Geschwätz, Faselei', terêt (-ẽju) 'schwatzen', terinât 'viel sprechen, schwatzen'; ter̂telêt (-ẽju) 'schnell sprechen, schwatzen', tir̨at (-ãju) 'viel und laut reden, lärmen'","tārin 'Stimme', ettrāi `antworten', inf. attrāwei (< balt. *trāi̯ō-)",""
  1410,"*trī̃-s, *trī̂-, *trej-, *tre-t-ja- adj., *tir-t-a- adj.","three",  2952,"","trī̃s 'drei'; trī́-lika '13'; trẽčia- 'dritte'; trejì, f. trẽjōs 'drei'; trẽčia-; treigī̃- 'Dreĳährige(r)'","trîs 'drei'; treji, f. trejas 'drei'; trešs 'dritte'","tris 'drei', tirt(i)s",""
  1411,"*aš, *eš","I",  2956,"eš 'ich'","àš 'ich'","es 'ich'","as, es 'ich'",""
  1412,"*sar̃t-a-, *sar̂t-a- (1) adj.","red, bay (horse)",  2957,"","sar̃ta- 'hellrot, (von Pferden) fuchsrot'","sãrts, sā̀rts 'rot (im Gesicht), frisch aussehend', sā̀rtuôt, sãrtuôt tr. 'röten', intr. 'erröten, rot werden'","",""
  1413,"*wir̂- (wer̂-da-) vb. (2), *wir-al-a- c., *war-u- adj., *wer̂-s-m-iā̃ f., *wā̃r-a- adj., etc.","boil, cook",  2958,"","vìrti (vérda, vìrō) 'kochen, sieden, branden, brodeln, sprudeln', virìma-s 'Kochen, Sieden, Brodeln', virḗja-s 'Koch', virta- 'gekocht, gesiedend', virtìni- 'kochend, siedend', virtìni-s 'gekochte Speise, die aus Käse, Kartoffeln od. Fleisch bestehet, Pirog'; vìrala-s 'gekochte Speise, Gemüse, Suppe, Küchenkräšuter', pl. t. virulaĩ id.; virdulī̃-s / virdùli-s 'Samovar', varù- 'kochbar'; ostlit. võra-s 'kochendes, siedendes Wasser', išvora (Szyrwid) 'Suppe'; verdẽnē '(Spring)quelle', verdẽni-s, verduõklē 'id.; žem. verḗna-s 'gekochte Speise, Suppe'; versmē̃, acc. vérsmę/ver̃smę 'Quelle', vérsmē 'id.'","vir̂t (/ vir̃t) (vęr̂du/virstu, viru) intr. 'kochen, sieden, quellen, sprudeln', tr. 'kochen'; hervorsprudeln'; virtenis, virtine, virtiens 'Wirbel, Strudel'; ver̂sme 'Glut, Lohe, Hitze, heisser Luftstrom'; vira 'Gekochtes, Gebräu (von Viehtrank od. verächtlich), Fleischsuppe mit Kartoffeln und Grütze'; virst (-stu/-du, -du) '(langsam) sieden, kochen'","auwerus 'Metallschlake', pl. f. 'das Ausgekochte, durch Kochen Abgesonderte'",""
  1414,"*wal̂t-i- n. (1)","ear, awn",  2971,"","válti-s `Haferrispe, -spelte, -ähre'","","wolti `Ähre' V. 276",""
  1415,"*drak-a- c.","dragon",  2973,"","draka-s 'Drache, Walfisch'","","",""
  1416,"*sal-ā̂ f.","village",  2979,"","salà dial. 'Dorf'","sala 'Dorf'","",""
  1417,"*sil-ia- c., *sil-iā̃ f.","trough",  2980,"","sìli-s (dial.) 'Krippe', sìlē 'Trog'","sile 'Futterkrippe, Trog'","",""
  1418,"*peĩt-u-, -a- (1)","meal",  1041,"","piẽtūs, pietaĩ/piẽtai pl. 'Mittag(szeit)', Mittagsmahl, Süden'","","",""
  1419,"*skrand-ia- c.","belly",  2984,"","skrañdi-s '(Vieh)magen'","","",""
  1420,"*laîb-a- (1) adj., *leîb-a- adj., *laîb- vb. inch.","thin, weak",  2985,"","láiba- 'schlank, schmächtig, hager, dünn', líeba- 'dünnbeinig', láibti (-sta, -ō) 'schlanker, dünner werden'","laĩbs 'dünn, schmächtig, schwach'","",""
  1421,"*me-, *men-, *man-","me",  2986,"","mi encl. gen., dat.; manè, etc.","","mennei dat.",""
  1422,"*lal-ē̂- vb.","shout",  2988,"","lalḗti 'laut schwatzen, grossen Lärm vollführen', lalúoti 'lallen'","","",""
  1423,"*ner̂- (*nerja-) vb. (1), *nar-in̂- vb., *nar̃-s-t-a- c., *nir̂- vb. intr. (*1), *nar-a-, -ia- c., *nar-ī̂- vb.","pass (a thread), plait",  2989,"","nérti (nẽria, nḗrē) `(einen Faden, eine Schnur, ein Seil) durch eine Öffnung ziehen, einfädeln, stricken, klöppeln, häkeln, (die Arme) verschränken, (ein Glied) aus- oder einrenken, einen Knoten schürzen, eine Schleife schlingen', narìnti 'einen Knoten schürzen, eine Schleife schlingen, (ein Glied) aus- oder einrenken'; dial. nar̃sta-s 'verknotete Stelle der Peitsche, damit sie kürzer wird'; nìrti, nī̃ra `sich schlängeln, ranken', narī́ti `einen Knoten oder eine Schlinge machen, ein Gelenk einfügen, einrenken', dial. nãra-s 'Schlinge', narī̃-s `Gelenk, Fingerglied, Fussknöchel, Knorren, Schlinge, Kettenglied, Mitglied'","nẽrt (ner̨u, nẽru) 'die Spitze des Bastschuhes zusammenziehen'","",""
  1424,"*maũk- (-ja-) vb. tr., *maũk-a- c., *muk- vb. intr.; *smaũk- (-ja-) vb. tr.","pull, draw",  2990,"","maũkti (-ia, -ē) 'stülpen, abstreifen, abziehen, abreissen, abschälen; ein Getränk in einem Zuge herunterstürzen', maũka-s 'Schluck'; mùkti (muñka, mùkō) 'sich abstreifen, sich ablösen, abfallen, einsinken, einschiessen, fliehen, entrinnen, sich verstecken' || smaũkti (-kia, -kē) '(Blätter, Beeren u. dgl.) mit streifender Handbewegung abreissen, -rupfen, -zupfen; zurückschieben, -stossen'","màukt (-cu) 'über etwas hinziehen, um abzustreifen od. zu bekleiden; abstreifend erlangen, anfertigen, eiligst davonziehen' || šmàukt (-cu) (-cu) 'abziehen, abhäuten, schnell dahinsuchen, fortlaufen, betrügen'","",""
  1425,"*raûg-a- c., *raug-ī̂- vb.","pupil",  2991,"","","raũgs, raûgs 'Pupille', raũdzît, ràudzît (-gu, -dzĩju) tr., intr.'sehen, schauen, prüfen, acht geben; versuchen'","",""
  1426,"*spar-t-a- c.","ribbon",  2994,"{ sparta-s 'Band' }","","","",""
  1427,"*šeš-","six",  2997,"","šešì 'sechs'","seši 'sechs'","",""
  1428,"*sept-īn-; *sept-m-a- adj.","seven",  2998,"sẽkma- 'siebenter'","septīnì 'sieben'","septin̨i, septîn̨i 'sieben'","sep(t)mas 'siebenter'",""
  1429,"*ketur-; *ketwir̃-t-a- adj.","four",  2999,"","keturì, coll. ketverì; ketvir̃ta-,","četri 'vier'; loc. cetruos (L.); cętur̃tais, cęturts, cętruotais 'der vierte'","",""
  1430,"*dečim̃t-; *čim̃t-a- c.","ten",  3000,"","dẽšimtìs 'Dekade, zehn', šim̃ta-s 'hundert'","desmit(s) 'zehn', sìmts 'hundert'","dessimpts, dessimton",""
  1431,"*var̃n-a- m. (2), *var̂n-ā̂ f. (1)","raven, crow",  3001,"","var̃na-s; várna","","",""
  1432,"*pir̂-m-a- adj., *prei(-), *per̂-n-a- adj. (1), *prī-k=","first, etc.",  3007,"","pìrma- 'erster'; priẽ prp. 'bei, an, in Gegenwart von, zu', proklit. prì; pérnai(s), pérnōt, pérniai 'vorjährig'","pę̃rn 'vor einem Jahr, im vorigen Jahre', pę̃rns 'vorjährig, firn'","pirmas 'erster'; prīki(n) 'gegen, wider'",""
  1433,"*peñk-","five",  3014,"","penkì 'fünf'","pìeci (/ piẽci Rutzau) 'fünf'","",""
  1434,"*jū-","you",  3018,"","jū̃s, jū́s 'ihr', du. jùdu","jũs (/ jûs Preili) 'euch'","ioūs, iaūs 'ihr'",""
  1435,"*ta-, *tā̂ f.","that",  3020,"","tà-s, f. tà 'der, die; diese(r)'","tas, f. tã 'der, die, das'","stas, sta, -ts","Here also *tō-l 'up to, as far as' - whence Lith. tṓlimas, Lett. tāl-s 'far'."
  1436,"*dew-īn-, *new-īn-","nine",  3021,"","devīnì","devin̨i, devīn̨i","newīnts ord.",""
  1437,"*gras-ā̂ f., *gras-u- adj., *grē̃s-, *gris- vb. inch.","aversion",  3024,"","grasà 'Ekel', grasùs 'ekelhaft', grasī́tis 'sich ekeln', grē̃sti 'entwöhnen', grìsti 'überdrüssig werden'","","",""
  1438,"*ker̃g- vb.","",  3028,"","{ ker̃gti }","","",""
  1439,"*dar̃ǯ-a- c.","fenced lot",  3030,"","dar̃ža-s 'Garten'","dā̀rzs 'Garten; von einem Zaun umgebener Raum zum Ausruhen der Haustiere, Hürde; Hof (um den Mond, um die Sonne); Zwerchfell, Diaphragma (?)'","",""
  1440,"*ačtō̂-n-","eight",  3031,"","aštuonì 'eight'","astuôn̨i, dial. astun̨i, astin̨(i) 'acht'","",""
  1441,"*et(i)-, *at(i)-","",  3033,"","at-, ati-, ostlit. ata-, atō- (in Nominalzs.) 'zurück, ab, her'","","et-, at-",""
  1442,"*au-","",  3034,"","aulinkui 'fernerhin, später'}","au- Präfix, enthalten wenigstens in aũmal̨ām, àumal'ãm, aumal̨ie 'stromweise, in Strömen, im Überfluss, in groser Menge'; aumanis 'unsinnig, rasend'; aumež, àumeš\H2\h 'gar arg, gar viel, zu sehr'","au- 'weg, ab'",""
  1443,"*be(t)","without",  3037,"","bè 'ohne, ausser',","bez, dial. be, bes, beš, bešā, bešū̆, bešus 'ohne'","bhe prp. 'ohne'",""
  1444,"*pā, *pa","",  3038,"","pō̃ 'nach, über-hin'; apačià 'unterer Teil, Unterseite'","apakša, dial. apukša, apuša, apuža, apaška, apuška 'Unteres, unterer Teil' (< *apatjā)","pa-, po-",""
  1445,"*an-, *un(-), *nō-","",  3039,"","anṓt(e); nuõ 'von-herab, von-weg', praef. nuo-, nu-; -na, -n 'in (Richtung wohin)'; dial. (Tverẽčius) uñ 'auf, bis, von; an, auf, zu, nach'","","",""
  1446,"*dap-a- c.","flood",  3042,"","dãpa-s dial. 'Überschwemmung'","","",""
  1447,"*sā̂r-ā̂ f. (1)","",  3043,"","sṓra 'Hirse'","","",""
  1448,"*iǯ","",  3044,"","iž, ìš","iz, iz- 'aus'","is; esse, assa, asä, esteinu 'von nun an'",""
  1449,"*iñ, *eñ","",  3045,"","į̃, iñ(g) 'in, an, auf, zu, nach'","ìe- (verbal), iẽ- (nominal)","en 'in'",""
  1450,"*kī(t)-sm-a- n.","time",  3046,"","","","kīsman 'Zeit, Weile'",""
  1451,"*au-r=","",  3048,"","aurè 'siehe da'","","",""
  1452,"*ū̆ǯ","",  3049,"","už- prf. 'auf-, hinauf-, zu-'","uz prf., prp. 'auf'; ūz (in alten Texten) prp. = uz","unsei gōbuns 'aufgefahren'",""
  1453,"*wV-","you",  3052,"","","","wans acc. 'euch'",""
  1454,"*wai","",  3054,"","vaĩ (žem.), vái (westlit.) 'weh',","vaĩ, vài interj. 'wehe, ach', vaĩdêt (-u, -ẽju) '(weh)klagen, jammern', vaĩds 'Wehklage, Jammer, Not'","",""
  1455,"*we-","we (dual.)",  3055,"","vèdu du.","","",""
  1456,"*ki, *ke","",  3058,"","-ki, -ke Verstärkungspartikel bei Imper., Adverbien und Pronomina","","",""
  1457,"*kai","",  3060,"","kaĩ","","kai 'wie, als'",""
  1458,"*kain-a-","common",  3063,"","{ kaina- 'common, mutual' }","","",""
  1459,"*ji-, *jei-, *jī f.","he, she",  3065,"","jìs, jì 'er, sie'; -is usw. (in adj.)","","pirmann-ien",""
  1460,"*ā","and, but",  3069,"","ō̃ 'und, aber'","","",""
  1461,"*ē","and, but",  3071,"","ē̃, ē̃-gi 'und, aber, jedoch, dagegen'","","",""
  1462,"*brid- (breñd-a-) vb., *brad-ā̂ f., *brad-a- c., *brad-s-l-a-, -ia- c., -ā̂ f., *brad-ī̂-, -ā̂- vb.","wade",  3072,"","brìsti (breñda, brìdō) 'waten', bradà 'durchweichtes Erdreich, Kot, Schmutz, Schlamm', brãda-s 'Fischfang', brastvà 'Furt'","brist (brìedu/-ìenu, bridu) 'waten'; bradât (-ãju), bradīt 'waten'; brasls, braslis, brasla 'Furt, Stelle, wo man durchwaten kann; ein kleiner mit Gras bewachsener Bach, den man durchwaten kann'","",""
  1463,"*nē̆, *nei","no, not",  3074,"","nè 'nicht', nē̃ 'nicht einmal', niẽ-kas 'niemand'; neĩ 'nicht einmal, auch nicht, und (auch) nicht'","ne 'nicht'; nei 'auch nicht, nicht einmal'","",""
  1464,"*nō-","we (dual.)",  3075,"","nuodu acc. du. 'uns beide' (Šiauliai)","","noūson gen., dat. noūmans 'wir'",""
  1465,"*an-a- adj.","that",  3076,"","anà-, añ- 'jener'","","tāns 'er', f. tennā 'sie'",""
  1466,"*nā, *nei","",  3077,"","nei 'gleichsam, wie', nà, nō̃ interj. 'na, nun, ja, wohl(an)'","na interj. der Drohung und Zurückweisung","",""
  1467,"*añ-tar-a-, *añ-ter-a-, *añ-tr-a- adj.","other",  3079,"","añtra-, ostlit. uñtara- 'anderer, zweiter', añtrinti 'wiederholen'","uotars, ùotrs (/ uõtrs) 'der andere, der zweite'","anters, antars (f. antrā, acc. sg. m. āntran)",""
  1468,"*li, *le","",  3080,"","-li, -le usw.","-le (in jele, nele), li (= līdz) 'bis', {-lu} (sämtlich angehängte Partikeln)","",""
  1469,"*sei-, *saw-, *seb-","self",  3082,"sawi, sau dat.","s(i) dat., acc. encl.; gen. sàvō, sãvō, adj. poss. sãva-;  dat. sáu,","","sien acc., dat. sebbei; swai-s",""
  1470,"*sa(-), *sō̂(-) (2), *sam̂-","with",  3083,"","sà prp., sa- praef.; sam-, san-, są́- nomin. praef. 'mit, zusammen', sù praep. 'mit, in Begleitung von', prf. su-, súo- (e. g. súokalbis)","sa- pref.; nom. prf. suô-","sa- pref; nom prf., prp. san-, san 'mit, zusammen'; san-, som- praef. 'ds.';",""
  1471,"*gV","",  3085,"","-gu","","anga 'ob'",""
  1472,"*gi","",  3086,"","-gi","","beggi 'denn', kāigi 'wie', neggi 'auch nicht, noch', niqueigi 'nimmermehr'",""
  1473,"*ting-ā̂ f.","hole under the water",  3088,"","","tīgas pl. 'Tiefe zwischen zwei Untiefen'","",""
  1474,"*da","",  3089,"","da- prf.","da, da- prp., praef. 'bis, zu'","",""
  1475,"*ab-r-ā̂, -iā̃ f., -ia- c., *ab-ār-ā̂ f.","trough",  3090,"","ãbrina-s 'Butterbüchse, Buttertopf', dial. ãbrē 'dass'","abra, abris 'Backtrog'","aboros 'Raufe' Voc. 228",""
  1476,"*alg-ā̂- vb.","say, call",  3091,"","algṓti 'sagen, nennen, rufen, schreien'","","",""
  1477,"*ait-e-gen-[a]- m.","small woodpecker",  3092,"","","","aytegenis 'kleiner Specht' Voc. 745",""
  1478,"*aît-i-war-a- c.","elf",  3093,"","áit(i)vara-s, áičvara-s, éit(i)vara-s 'Alp, fliegender Spukgeist, Kobold, Drachen als Kinderspielzeug, Mahr in den Haaren, Haarzotten, Mähre, Mahrzopf eines Menschen'","","",""
  1479,"*angV","whether",  3094,"","ВСТАВИТЬ! 'oder'","","anga 'ob'",""
  1480,"*ank-s-t-eî, *añk-s-t-a-, -u- adj.","early",  3095,"","ankstì, ankstiẽ 'frühe'; añksta-, ankstù- 'früh', iš añkstō 'im voraus'","","angstainai, angsteina 'morgens'",""
  1481,"*auk-a- m., *aûk-ā̂ f. (1), *ūk-s-ō̂-, -ē̂- vb.","shout",  3096,"","ùžūksmis 'ein gegend Wind und Wetter geschützter Ort', iš-aukti = išrėkti (Dirva-Žinynas 1903, #8, S.174); ūkas 'Rohrdommel'","ûkšuôt\H2\h, ûkšêt\H2\h (-u/-ẽju, -ẽju) 'rufen, schreien, jodeln, jauchzen, sich gegenseitig zurufen', aũka, auks 'Sturmwind'","aukis 'Greif (?)'",""
  1482,"*asil-a- m.","ass",  3097,"","ãsila-s 'Esel'","","asilis 'Esel' V. 436",""
  1483,"*ump-n-[a]- m., *um(p)-n-ād-iā̃ f.","oven",  3098,"","","","wumpnis 'Backofen' V. 331, umnode 'Backhaus' V. 330",""
  1484,"*berd-ja- adj.","barren",  3099,"","bergždē̃ 'unfruchtbare, gelte Kuh', ber̃gždina- 'unfruchtbar', ber̃(g)ždžia- 'ds.', ber̃gžti 'unfruchtbar sein, ausgeben, ausmergeln', ber̃žti 'anschwellen, aufquellen, kräftig werden'","","",""
  1485,"*blink-s-ē̂-, *blin̂k-t-jā̂- vb., *blañk- vb. inch., *blañk-u- adj.","shimmer",  3100,"","blinksḗti, blìnkčiōti 'schimmern, glänzen, leuchten', blañkti 'blass, bleich werden, verblassen, Farbe verleren', blankù- 'bleich, blass, matt'","","",""
  1486,"*brazd-a- c., *brazd-u- adj.","",  3101,"","brãza-s, brãzda-s 'Splint, Weissholz, Saft unter der Baumrinde, die unmittelbar unter der Rinde liegende saftige Holzschicht', brazdù- 'saftig'","","",""
  1487,"*eǯ-jā̂, -iā̃ f.","border",  3102,"","ežē̃, ežià, dial. ažià 'Grenzstreifen, Rand, Grenze, Mark, Beet'","eža 'Gartenbeet; Feldrain, Feldscheidung'","asy 'Rain' Voc. 241",""
  1488,"*aǯer-a-, *eǯar-a-, *aǯar-a- n.","lake",  3103,"","ẽžera-s, dial. ãžera-s 'See'","ęzęrs, ęzars 'See; Mühlenstauung'","assaran 'See' Voc. 60",""
  1489,"*gaiǯ-u- adj., *gaĩǯ- vb. inch., *giǯ-/*gī̃ǯ- vb. inch.","bitter, sour",  3104,"","gaižù- 'ranzig, muffig, bitter, herb, mürrisch, launisch', gaĩžti 'bitter, herb werden', gìžti, gī̃žti 'sauer werden', gìžinti '(Milch) sauer werden lassen'","gaizs 'unangenehm, bitter, beissend, sauer, schlecht schmeckend' {there is no form in ME!}","",""
  1490,"*geguǯ-iā̃ f., -ia- m.","cuckoo",  3105,"","gegužē̃, gegùži-s 'Kuckuck'","dzęguze, dzęgûze\H2\h, dzęguôze, dzęguse 'Kuckuck; Kuckucksblume', dzęguzene, dzęguzīte 'Knabenkraut, Orchis'","geguse 'Kuckuck' V. 731",""
  1491,"*geîd-ā̂- (*geîd-/*geîd-a-) vb. (2), *gī̂d- vb. inch., *geîd-s-m-ā̂, -iā̃ f. (2), *gaîd-ā̂ f. (1)","sing",  3106,"giemi 1 sg., 3 sg. giest(i)","giedṓti, prs. gíeda/gíesta 'singen', pragī́sti (-sta) 'zu singen beginnen', giesmē̃ 'feierliches, bes. geistliches Lied', gáida 'Singweise, Melodie'","dziêdât (-u, -āju) 'singen', dziêsma, dziêsme 'Lied; geistliches Lied'","",""
  1492,"*gā̂g-a- c., *gā̂g-an-a- c. (1)","giant",  3107,"gōga-s 'Riese'","","gãgans 'Riese; langer Strick'","",""
  1493,"*greîǯ- (-ja-, inf. *greîž-teî 1) vb. (2), *graîǯ-ī- vb. (1/2), *greîǯ-t-a- adj. (2), *griǯ-a- c., *greîǯ-a- c. (2), *greîǯ-iā̃ f. (2); *graîǯ-a-, *graîǯ-t-a- c., *graîǯ-t-ā̂ f.","cut out",  3108,"","gríežti 'umreissen, kreisförmig einschneiden, quer durchschneiden, plagen, schikanieren, aufsässig sein, (auf Instrument) spielen, schreien (vom Wachtelkönig)', intens. gráižīti 'drohen', gríežta- 'einschneinend, scharf, bestimmt, entschieden, genau', grìža-s 'Schmerz in den Gelenken, bes. in den Handgelenken', pl. graižaĩ, graižtaĩ, gráižtōs 'Einschnitt, Rinne am Ende der Fassdaube', graĩza-s 'Litze, Borte an einer Mütze'","griêzt (-žu, -zu) (griẽzt Katzd.) 'schneiden; schlagen (von der Schnarrwachtel); knirschen mit den Zähnen', griêze 'Pflug mit einer messerähnlichen Pflugschar, Abstechpflug', pl. griêzi 'Stoppeln', graize 'Schnitt, das Schneiden' pl. graîzes, graĩzes, graizas 'das Schneiden, Reissen im Leibe', graîzît, graĩzît (-u, -ĩju) 'wiederholt schneiden; scharf streichen, züchtigen, geisseln'","",""
  1494,"*grub-a-, -u-, *grub-l-a-, -l-u- adj., *grub- vb. inch., *grub-t-a- c., *grub-ul-ia- c.","rough",  3110,"","grùba-s, grùbla-s 'Unebenheit, kleine Bodenerhebung, kleiner Erdhügel', grublù- 'rauh, uneben, holperig', grubù- 'dass., erstarrt, starr, steif', grùbti (grum̃ba, grùbō) 'erstarren, steif, rauh werden', grùbta-s 'Erdkloss, Scholle, Klumpen'","grubulis 'Hümpel; Frosthöcker; Scherbe, unebener, zerbröckelter Zaun', pl. grubul̨i 'zerfallene Stücke einer Mauer'","",""
  1495,"*gul̃b-a-, -ia- m., -iā̃ f.","swan",  3111,"","gul̃bē, gul̃bi-s, gul̃ba-s 'Schwan'","gùlbis 'Schwan'","gulbis 'Schwan' Voc. 717",""
  1496,"*gō̂-t-a- c.","herd",  3112,"","gúota-s 'Herde'","","",""
  1497,"*gwā̂- vb.","go",  3113,"","gvṓti dial. 'gehen'","","",""
