"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","REFERNUM","HITT","IND","AVEST","IRAN","ARM","GREEK","SLAV","SLAVNUM","BALT","BALTNUM","GERM","GERMNUM","LAT","ITAL","CELT","ALB","TOKH","REFER","COMMENT"
2527,"*(s)k(')al-",   0,"testicle","testiculus",   0,"","","","","","","",     0,"",     0,"*skal=",   704,"","","*kall= > Cymr caill, pl. ceilliau `Hode(n)', Bret kell `Hode(n)'","","","WP II 590 f (differently in Pok.)",""
2528,"*k(ʷ)ol-",   0,"flesh","мясо покойника",   0,"","kaṭa- m. `corpse' (L.)","","","","","",     0,"",     0,"*xul-d-a- n.",  1683,"","","*kolan- > OIr colainn `Fleisch', Cymr celain `Leiche'","","","WP II 590 f",""
2529,"*(s)kel-",   0,"shell, vessel","скорлупа, раковина, посудина",   0,"","","","","","{ skóllü-s `Tonsur' }","*čьlnъ", 16334,"",     0,"*skal-ō f., *skal-jō f., *skil-jō(n-) f., *skēl-ō f., *skull-an- m.",  1685,"","","","","A koläm, B kolmo (PT *kelmā(i)) (Adams 204-205, following Blažek 1991)","WP II 590 f (differently in Pok.)",""
2530,"*skalp-, -b- / -e-",   0,"to scratch, to scrape","царапать, скоблить",   0,"","","","","","","",     0,"*sklem̃b- (-ja-) vb. tr., *sklim̃b-a- c.; *sklem̃p- (-ja-) vb/ tr.",  1229,"",     0,"scalpō, -ere, -sī, -tum `kratzen, ritzen, scharren, mit spitzem Werkzeug schneiden, meisseln'; sculpō `durch Graben, Stechen, Schneiden etwas bilden; schnitzen, meisseln'","","","","","WP II 590 f",""
2531,"*slaid- / -e-",1645,"to tear apart, to crumble, to injure","раздирать, разрушать, повреждать",   0,"","","","","","","",     0,"*skleĩd- (-ja-) vb. tr., *sklaid-ī̂- vb., *skliñd- vb. intr.; *sklaĩt=",  1230,"*slīt-a- vb., *slit=, *slait-ōn- f., *slait-ia- vb.",  1686,"laedō, -ere, -sī, -sum `verletzen, beschädigen'","","Irl. slaidim 'strike', Wel. lladd, Corn. ladha 'kill'","","","WP II 590 f (somewhat differently in Pok.)",""
2532,"*(s)kel-",   0,"to owe, must","быть должным",1723,"","","","","","kellón = streblón, plágion (Hes.)","",     0,"*skel-ē̂- (*skel-a-) vb., *skal̃-n-a- adj., *skāl-ā̂ f.; *kal̃-t-a adj., *kal̃-t-i- c., *skul=",  1231,"*skul-a- vb., *skul-d-i- c., *skal-d=",  1687,"","","","","","WP II 596",""
2533,"*(s)kele-, *(s)klē-",   0,"dry","сухой",1724,"","","","","","skéllomai̯, aor. tr. éskẹ̄la, intr. sklē̂nai̯, opt. apo-skláiēi̯, pf. ésklēka `vertrocknen, verdorren, hinsiechen, ermatten, erhärten', act. `austrocknen, ausdörren'; skeletó-s m. `ausgetrockneter Körper, Mumie, Skelett', sklēró- `hart, spröde, herb, streng', skeliphró- `ausgetrocknet, abgemagert', sklēphró- `schwach, schlank, klein, dunn', -skelḗs","",     0,"*kal̃-s-a-, *kal̃-t- vd. intr., *kal̃-t-ē̂- vb.",  1232,"*xēl-a- adj., *xall-a-, *xill-a- adj.",  1688,"","","","","","WP II 597",""
2534,"*skal- (skh-)",   0,"to swing, to make mistakes","колебаться, ошибаться",1728,"","skhalati `to stumble, totter, waver, fluctuate; stammer; make mistakes, blunder', ptc. skhalita-","","","sxalem, sxalim `strauchle, wanke, gehe fehl, irre, sündige, fehle, verfehle; werde verfehlt, werde vermisst, werde hinfältig, tue eine fehlgeburt', sxal `Fehler, Irrtum, Mangel; mangelhaft, fehlerhaft, mangelnd, zu wenig', sxalak `taumelnd (im Rausch)'","","",     0,"",     0,"",     0,"","","","","","WP II 599",""
2535,"*kʷsAl-, *skʷAl-",   0,"to wash, to rinse","стирать, полоскать",   0,"","kṣālayati 'to wash, wash off'","","","","","? *xolītī", 15822,"*skal-aû- vb.",  1233,"*skwal=, *skwal-ō- vb., *skul-ja- vb.",  1689,"","","","","","WP II 599 f (different in Pok.)",""
2536,"*skʷAlb- / *skʷelb-",   0,"to wash, to launder","стирать, полоскать",   0,"","","","","","","",     0,"*skal̃b- (-ja-)",  1234,"*skwilp-a- vb., *skwalp-ō- vb., *skulp-ō- vb.",  1690,"","","","","","WP II 599 f",""
2537,"*sk'el-",   0,"to jump, to skip","скакать",1727,"","","","","","","",     0,"*čō̂l-ia- c. (2), *sōl-ā̂",  1235,"*skil-an- m., *skilla- adj., *skil-ō- vb.",  1691,"","","","","","WP II 600",""
2538,"*skom- ?",   0,"to shout","кричать sp.",   0,"","","","","","skombrísai̯ = goggǘsai, kài paidiâs aselgoûs eîdos (Hes.)","*skomātī, *skomljǭ", 12767,"",     0,"",     0,"","","","","","WP II 601",""
2539,"*sk'lAk-",   0,"drop, moisture","капля, мокрядь",1759,"","","","","","","",     0,"*šlãk-a- c., *šlak-ia- c., *šlak-ī̂- vb., *šlē̃k- (*šlek-ja-) vb. tr., *šlik- vb. intr.",  1236,"*slag-a- n., *slagg=; *slōg=",  1693,"","","","","","WP II 602",""
2540,"*stā- (sth-)", 868,"to stand","стоять",   0,"istanana- c. 'Altar, Postament'; istantai- (I) 'zögern, zaudern, verweilen' (Tischler 427); istap(p)- (I/II) 'zudecken, verschließen, einschließen' (432)","tíṣṭhati, aor. ásthām, pf. tasthā́u, tasthimá, ptc. sthitá- `to stand'; sthā́- (often in comp.), stha- (only in comp.) `standing; sthíti- f. `standing, staying, remaining'; sthā́tar- m. `guider, driver', sthātár- `what stands or stays stationary'; OInd savya(e)-ṣṭhár- `charioteer standing to the left'; sthā́na- n. `standing'; sthā́man- n. `station, seat, place'; sthāvará- `standing still'","hištaiti `stehen'; stāya-, staya- `stellen', (med.) `sich stellen'; stāiti- `Stehen, Stand, Aufstelluing';  raϑaē-štar- `Krieger, Kriegsheld', stāna- n. `Standort, Aufenthaltsort, Ort, Platz'","OPers ipf. 3 sg. a-ištata; stāya-, staya- `stellen', (med.) `sich stellen'; stāna- n. `Standort, Aufenthaltsort, Ort, Platz'","stanam `erstehe, erwerbe'; stoyg, gen. stugi `sicher, unzweifelhaftet'","hístǟmi, m.-p. hístamai̯, aor. stǟ̂sai̯, stǟ́sasthai̯, ps. ststhē̂nai̯, va. stató- `stellen, sich stellen, stehen machen, anhalten', intr. aor. éstǟn `hintreten', pf. héstǟka, héstamen, hestaṓs `stehen'; epí-stamai̯ `verstehen', histánō, kret. stanǘō `id.'; histó-s m. `Webebaum, Webstuhl; Mastbaum';  dǘstǟno- `unglücklich, unselig', dǘsto- = dǘstenos (Hdn.); stási-s f. `das Stehen, Stillstehen, Stand(ort), Stellung etc.'; statḗr, -ē̂ros m. Bez. eines Gewichts und einer Münze, `Stater'; státhmǟ f. `Richtschur, Richtscheit, Zielschnur, -linie, Senkblei, Regel, Norm', stathmó-s, pl. -ói̯/-á m. `Standort, Stall, Gehoft, Nachtquartier, Reiseetappe, Tagesmarsch; Ständer, Pfosten, Türpfosten; Waage, Gewicht, Schwere'; statheró-; stádio-s; stádǟn adv., apo-stadón adv.; dǘstǟno- `unglücklich', ástǟno- (EM) `id.'; stǟ́mōn,  -onos m. `der Aufzug an dem aufrecht stehenden Webstuhl, Kette'; stámno-s m./f. `grosser Krug, bes. Weinkrug', pl. stamī̂nes, acc. -ī̂nas, dat. -ínessi (Hom.) m. `die in die Höhe stehenden Setenbalken am Schiff'","*stā́tī, *stā̀jō; *stojā́tī, *stòjǭ; *stā́nǭ; *stātь; *stānъ (u-St.); *sǭpostātъ", 13435,"*stā̂- vb. (2), *stā̃-t-a- c., *stā̂-t-i- c., *stat-ī̂-, sta-t-a- c., *st-t-ā̂ f., *sta-t-u- adj., *sta-tl-ā̂, -iā̃ f., *stā̂-k-a- adj., *st-u- adj.",  1237,"*stē-n-; *stō-ϑ-a- n.; *sta-nd-a- vb., *-sta-; *sta-d-ō f., *sta-[ϑ]-a- adj., *sta-d-ō- vb., *sta-ϑ-ja- vb., *sta-d-i- c.; *sta-[ϑ]-jan- m.; *stá-ϑ-u- c., *sta-[ϑ]-w-ō f.; *stō-[ϑ]-i-, *stē-d-i-; *stō-[ϑ]-ia- vb.; *stá-ϑl-a- n.; *stá-ϑ-ul-a- m., *stá-ϑ-il-a- m.; *stō-m-an- n.; *stō-m-i-",  1694,"stō, stāre, stetī, statum `stehen, emporstehen, feilstehen, stillstehen', sistō, -ere, stetī `stellen', stabulum, -ī n. `Standort, Gehege; Stall; Anspann, Gasthof, Kneipe; Lager wilder Tiere', stabilis, -e `feststehend, standhaft', status, -ūs m. `Stand', statua f. `Statue', statiō, -ōnis f. `Posten', statim `feststehend', stāmen, -inis n. `der Grundfaden nach dem aufrecht stehenden Webstuhl der Alten, Weberzettel, Aufzug, Kette; Faden'; dēstināre `befestigen, festsetzen, Kaufen', obstināre `fest beschliessen', praestināre `erstehen, kaufen'; obstaculum n. `Hindernis'; īnstaurāre `von neuem veranstalten, erneuern', restaurāre `wieder herstellen'","Osk staíet `stant', stahint `stant', eestínt `extant', afstint `apodidóasin', afstist `apodṓsei'; pl. statús `statī', dat. Anterstataí `*Interstitae', staflatas-set `statutae sunt', statif `statua', Statiis `Statius'; Paelign pristafalacirix `*praestibulatrix, antistita'; Umbr dat. stahmei `statui'; sestu `sistō', seste `sistis', restef `īnstaurāns', restatu `īnstaurātō', stahu `stō', staflarem `stabularem', statita `statuta'; Volsk sistiatiens `statuērunt', statom `statūtus, cōnsecrātum'","*stā-, *ni-stā-, *ad-staj-, *heri-stā, *uho-stato-; *stam- > OIr -tāu, -tō `bin'; donessa `tritt worauf, betritt; verachtet', cotnessiub-sa `ich werde ihn unter die Füsse treten', conessat `sie verurteilen'; assae `leicht zu tun', hiress `Glaube'; fossad `fest'; samaigim `stelle'; MCymr nym tawr `es kümmert mich nicht', Cymr gwastad `planus, constans, aequus'; sefyll `stehen', Corn sevell `stehen', Bret nemdeur `ich will nicht'; sevel `errichten, bauen'","štuarɛ `stehend'","B ste, stare 'present copula' (Adams 344 f); A ṣtām, B stām (PT *stām) 'tree' (708)","WP II 603 f",""
2541,"*prost- (-sth-)",   0,"plain, flat","равнина, ровный",   0,"","prastha- m.n. `table-land on top of a mountain; plain'","","","","","*prostъ(jь)", 10941,"*prast-a- adj.",  1238,"",     0,"","","*hross-","","","WP II 603 f","Possibly < *pro-sth-o- (see *stā-)"
2542,"*perst- (-sth-)", 379,"post, finger, peak (mountain)","торчащий конец (гора, столб, палец etc.)",   0,"","pr̥ṣthá- m. `back, hinder part; upper side, top, height'","paršta- m. `Rücken', paršti- f. `Rücken'","","","pastás, -ádos f. `Anbau, Säulenhalle, Vorhalle; inneres Gemach, Brautkammer'","*pьrstъ",  9981,"*pir̃št-a- n.",  1239,"*first-i- c., *furst-i- c.",  1695,"postis, -is m. `Pfosten, Türpfosten', pl. `Tür'","","","","? A prār, B prāri 'finger'","WP II 603 f","At least some of the forms may be < *per-sth-o- (see *stā-)"
2543,"*stawə- (sth-)",   0,"thick, solid","густой, плотный",   0,"","sthávira- `broad, thick, compact, solid, strong'; sthūrá-, sthūlá- `thick, dense, heavy, big'","stūra- `umfangreich, stark, derb'","Afg. stər, Oss. ɨstɨr 'big'","stvar 'dick'","stǖ́ō, -omai̯, aor. stǖ̂sai̯, ps. stüthē̂nai̯, pf. éstǖka `penem erigere, in Erektion sein', stǖ̂ma n. `erectio penis'; stau̯ró-s m. `Pfahl; Kreuz'","*stɨ̄́tī, *stɨ̄́nǭ; *-stɨ̄vātī", 13537,"*staw-ar-ia- c., *stew-er-ia- c., *stew-er-a- sdj.",  1240,"*stau-r-a- m., *stiu-r-(i)ō f., *stiu-r-Vn-ō f., *stu-r-jō(n-) f., *stiu-r-ia- n.; *stiu-r-ia- vb.; *stū-r-a- adj., *stū-r-i- adj., *stū-r-ōn- f., *stu-r=",   718,"īn-staurāre 'erneuern, einrichten, veranstalten'","","","","","WP II 603 f",""
2544,"*tāy- [*(s)tāy-]",   0,"to steal, to do secretly","воровать, делать тайно",1871,"taja-, daja- (I) 'stehlen, bestehlen'","stāyát `stealthy'; stāyú-, tāyú- m. `thief'; stéya- n. `theft, robbery', stená- m. `thief, robber'","tāyu- `Dieb', tāya- `Diebstahl'","","","tǟǘsio- `eitel, vergeblich', tǟ́tǟ `нехватка, недостаток, утрата' (Hes.), tǟ̂ti-s <tǟ́tei̯> `нехватка' (Hes.); tǟtáomai̯ `entbehren, darben, beraubt sein'","*tājь, *tājī́tī, *tātь", 13866,"",     0,"",     0,"","","*tāti- > OIr tāid `Dieb'","","B ene-stai 'in secret, secretly' (Adams 84)","WP II 610",""
2545,"*stey[e]-, *sty[ē]-",   0,"to thicken","застывать",1872,"","styāyate `to be collected into a heap or mass', ptc. styāna-; pra-stīma-, pra-stīta- `crowded together', stīmá- `sluggish, slow', stiyā f. `stagnant water', stimita- `fixed, motionless, still, calm'","stā(y)- `Haufen, Masse'","","","stéar (/ stéār), gen. stéatos n. `(stehendes) Fett, Talg; Teig'; { aŋkhi-stī̂no- `nahe aneinandergedrängt' (Hom.) }, stílǟ f. `Tropfen'","",     0,"? *stī̃r- vb. inch.",  1241,"*stī-r=, *sti-r=",  1697,"stīria f. `Tropfen', stilla f. `id.'","","","","B stināsk- 'be silent' (Adams 709)","WP II 610 f",""
2546,"*stAy-", 273,"stone","камень",   0,"","","","","","stī́ǟ f., stī̂o-n n. `Steinchen, Kiesel'","*stēnā́", 13346,"",     0,"*stai-n-a- m.",  1698,"","","","","","WP II 610 f",""
2547,"*stak-",   0,"to stand, to hold","стоять, держать(ся)",1873,"istagga(i)- c. 'Bogensehne' (Tischler 421-422)","[ stakati `to strike against'(Dhatup.) ]","staxta- `fest, stark', staxra- `stark, fest; streng (bes. vom Winterfrost)'","","","","",     0,"",     0,"*stag-a- n., *stag-l=",  1700,"","Umbr stakaz `statutus'","","","","WP II 611",""
2548,"*stak(')-",   0,"a k. of white metal (tin ?)","металл (белый; олово?)",   0,"","","","","","","",     0,"",     0,"*stáx-l-a- n., *stáxl-i- c.",  1699,"stagnum `Mischung aus Blei und Silber; Zinn'","","","","","WP II 611 (different in Pok.)",""
2549,"*stag(')-",   0,"to flow slowly, to drip","медленно течь, капать",1870,"","","","","","stázdō, aor. stáksai̯, ps. stagē̂nai̯, stakhē̂nai̯, pf. ps. éstaktai̯, va. staktó- intr. `träufeln, einträufeln', tr. `tropfen, tröpfeln';  stagṓn, -ónos m. `Tropfen', pl. stáges `id.', stagetó-s m. `id.', stágma n. `das Geträšufel, der Tropfen, aromatisches Öl', stáksi-s f. `das Tröpfeln', adv. stágdǟn `tropfenweise'","",     0,"",     0,"",     0,"stāgnum, -ī n. `durch Überschwemmung entstandenes künsliches Gewässer, See, Lache; Teich'; stāgnāre `überschwemmen; unter Wasser stehen'","","*stagrā, *stagnā > Cymr taen `conspersio, adspersio', OBret staer `Fluss, Bach', Bret ster `Fluss, Bach'","","","WP II 612",""
2550,"*(s)tey-",   0,"pointed stick, end","острая палочка, верхушка",1878,"","","staēra- `Bergspitze', taēra- `Bergspitze, Gipfel'","","","","",     0,"",     0,"*stī-l=, *sti-l=",  1701,"stilus, -ī m. `spitzer Pfahl (im Krieg zum Spielen, in der Landwirtschaft zum auflockern); Stiel, Stengel, Griffel zum Schreiben'; stimulus, -ī m. `Stachel, Ansporn, Qual, Pein'","","","","","WP II 612",""
2551,"*(s)teig-",1254,"to be sharp; to stab","быть острым; вонзать острие", 499,"","téjate, ptc. tiktá- `to be or become sharp'; tigmá- `sharp, pointed', téjas- n. `sharp edge, point, top; brilliance, clearness', téjana- n. `sharpening, whetting; shaft of an arrow'; tīkṣṇá- 'sharp'","taēɣa-, taēža- `scharf', m. `Schärfe', tiɣra- `spitz', tiži- (in Zs) `spitz', tiɣri- `Pfeil'","OPers tigra- `spitz'; NPers tēɣ `Spitze, Schwert', tēz `scharf', tēǯ `Pfeil'; Afg. tiẓ̌a 'stone'","","stízdō, aor. stíksai̯, ps. stikhthē̂nai̯, pf. ps. éstigmai̯, va. stiktó- `stechen, tätowieren, brandmarken', stígma n. `Stich, Malzeichen, Brandmarke', stigmǟ́ f. `Mal, Fleck, Pünktchen, Kleinigkeit', stigmó-s m. `Stich, Brandmarke', stíksi-s f. `das Stechen', stígōn, -ōnos m. `Gebrandmerker', stígo-s m., -n n. `Punkt', stíktǟ-s m. `Stecher, Brandmarker'","",     0,"*stig- (*steĩg-a-) vb. intr., *stī̂g- vb. intr.; *steĩg- (-ja-) vb. tr., *staig-ā̂ f., *staĩg-u-, *staĩg-n-[a]- adj., *staĩg-in̂- vb.",  1242,"*stik-i- c., *stak-i- c., *stik-a- vb., *stak-l=, *stai-k-ia- vb., etc.",  1702,"īnstīgāre `anstacheln; anspornen, anreizen, aufhetzen'; īnstinguō, -ere, -xī, -ctum `anreizen', īnstīnctus, -ūs m. `Antrieb, Eingebung', interstinguō, -ere, -xī, -ctum `hin und wieder mit etwas besetzen', distinguō, -ere, -xī, -ctum `unterscheiden, trennen'","","","","","WP II 612 f","Germanic has hopelessly confused the roots *stek- and *stīk-. In Baltic it is almost as hopeless to search for traces of a distinction between *steigh- 'to tread' and *steig- 'to stab, pierce'."
2552,"*steg-",1647,"to stab, to pierce","вонзать острие, прокалывать",   0,"","","","","","","*stegtī, *stegǭ; *stegātī", 13332,"",     0,"*stik-i- c., *stak-i- c., *stik-a- vb., *stak-l=, *staik-ia- vb., etc.",  1702,"","","","","","WP II 612 f (different in Pok.)","Germanic has hopelessly confused the roots *stek- and *stīk-."
2553,"*steigh-",   0,"to walk, to step","идти, шагать",1881,"","stighnoti, inf. -stígham, steghitum `to step, stride, step up, mount'","","","","stéi̯khō, stíkhō, aor. stikhẹ̄̂n, perí-stei̯ksās (Hom.) `(in Ordnung) einherschreiten, marschieren, steigen, ziehen,; gehen'; gen. stikhós, pl. stíkhes, acc. -as f. `Glied(er), Reihe(n)'; stíkho-s m. `Reihe, Glied', stôi̯kho-s m. `Reihe od. Kolonne von Soldaten, Choreuten, Schiffen usw., Schicht von Bausteinen, Reihe von Bäšumen, Pfählen usw.'","*stīgnǭ, aor. *stīgъ; *stьgā/*stьʒā, *stьgnā", 13370,"*stig- vb/ intr/. *steĩg- (-ja-) vb. tr., *staîg-ā̂- vb. (1)",  1243,"*stīg-a- vb., *stīg-a- m., *stig-a- m., *staig-ō f., *stīg-ō f., *stig-ō f., *steig-ō f., *staig-r-i- c., *stix-t-i- c., *stig-il-ō f., etc.",  1703,"vestīgium, -ī n. `подошва ноги; подкова; отпечаток ноги, след'","","*tiktā, *teigho- etc. > OIr tiagu `ich schreite, gehe', techt `das Gehn; der Bote'; Cymr taith `Reise'; mor-dwy `Seefahrt'","štek, best. štegu `Durchgang, eingang,Weg, Haarscheitel'","","WP II 614 f","In Baltic it is almost hopeless to search for traces of a distinction between *steigh- 'to tread' and *steig- 'to pierce, stab'. Lith. stìgti 'entbehren, nicht haben' can be explained as *'to have reached'. There is also Lith. stíegti 'ein Strohdach aufsetzen, das Dach mit Stroh decken; das Stroh (beim Dachdecken) ausbreiten, hinlegen' + stṓga-s 'Dach', that may be compared both with *(s)teg- and with Greek stôi̯khos, stíkhos etc. For "roof" cf. also Slav. *strēxā (looking similar to Lith. stíegti (?)."
2554,"*(s)tigʷh- ?",   0,"to suffer","терпеть",1883,"","títikṣate `to endure', titikṣú- `bearing, enduring'","","","","","",     0,"",     0,"*stiwitja-n",  1704,"","","","","","WP II 614 f","[Rather dubious: in Ind. usually regarded as a desiderative < tĳ-, "desire to become sharp, firm"]."
2555,"*tūk-", 810,"to beat","бить",   0,"","","","","","tǘko-s (/ tǘkho-s) m. `Gerät zum Bearbeiten der Steine, Schmiedehammer, Steinaxt; Streitaxt', éu̯-tüko- (/ -kh-) `bereit, fertig', tükánǟ f. `Dreschvorrichtung, Dreschflegel'","*tъkā́tī, *tъknǭtī, *tūkātī (sculpere), *jьz-tūkānъ", 14764,"*tū̂k-ī̂- (2) vb., *tū̂k-ā̂- vb.",  1629,"*ϑū́x-a-/*ϑíux-a- vb.",  1705,"","","? *tull- > OIr toll `hohl', toll `Hohle, Loch'; Cymr twll `foramen', adj. `perforatus', Bret toull `Loch'","","","WP II 615 f",""
2556,"*(s)tūg-",   0,"to hit, to beat","толкать, бить",   0,"","tujáti, tuñjáti, tunákti `to strike, hit, push'","","","","","",     0,"",     0,"*stūk-a- vb., *stuk-ar-ō- vb., *stauk-ōn- f., *stuk-ō- vb.; *ϑuk-ō- vb.",  1706,"","","*tōg-, *tuxt- > Ir tuag `Axt; Bogen', tuaigaim `schlage mit der Axt', tocht `Teil, Stück'","","","WP II 615 f",""
2557,"*stū-, *stū-g-",   0,"to become numb, to harden","коченеть, затвердевать",   0,"","","","","","stǖ́ō 'make hard'; stügéō, aor. stügẹ̄̂n, stǘksai̯ (caus.) `hassen, verabscheuen, sich scheuen'; stǘk-s, gen. stügós f. `Hass, Abscheu', pl. `Eiseskälte', stǘgos n. `Hass, Gegenstand des Hasses', stügeró- `verhasst, hasserfüllt, abscheulich', stügnó- `id.'","*stɨ̄(g)nǭtī, *stū(g)nǭtī; *stūdā, *stɨ̄dъ", 13533,"*stū̂g- vb/ intr., *stug- vb. inch., *staũg-in̂- vb., *stug-in-ā̂- vb.",  1244,"",     0,"","","","","","WP II 620",""
2558,"*(s)tAud-",   0,"to hit, to butt","бить, бодать",   0,"","tudáti `to push, strike, goad, sting', tundati `to be active'; todá- m. `driver; pricking pain'","","","thndiun `Lärm, Bewegung, Schlagen (des Herzens)'","","",     0,"",     0,"*staut-a- vb., -ō- vb., *staut-ia- vb., *stut-ja- vb., *staut=, *stut=",  1708,"tundō, -ere, tutudī (/tūsī, tūnsī), tūsum/tūnsum `stossen, schlagen; zerstampen', tudes, -itis m. `Hammer'","","*tud- > OIr do-tuit `fällt'","štǘń `stosse'","","WP II 615 f",""
2559,"*(s)tAup-",   0,"to beat, to trample down","бить, топтать",   0,"","pra-stumpati, topati, tupati, tumpati `to hurt'","","","","tǘptō, aor. tǘpsai̯, tüpẹ̄̂n, ps. tüpē̂nai̯, tüphthē̂nai̯, pf. tétüpha, ps. tétümmai̯ `mit einer Waffe, einem Stock usw. stossen, stechen, schlagen'', tǘpo-s m. `Stoss, Schlag; Gepräge, erhabene Arbeit, Relief, Umriss, Gestalt; Abbild, Vorbild'; tǘ(m)panon-n n. `Handpauke, Handtrommel'; *stüpázdō (~ -ǖ-) (stüpázei = ōtheĩ Hes.)","*tъpātī, *tъpъtъ", 14379,"*staûp-iā̃ (1) f.",  1245,"",     0,"","","","","? B cepy- 'to tread' (Adams 255 without etymology)","WP II 615 f",""
2560,"*sūb-",   0,"hump, buttock","задница",   0,"","","","","","{ hǖ̂bo-s 'Buckel, Höcker', hǖbó- 'bucklig' }","",     0,"*sub-in-iā̃, *sub-en-iā̃ f.",  1246,"",     0,"","","","","","Fraenkel 936",""
2561,"*stup-",   0,"to wonder","изумлять(ся)",   0,"","","","","","","",     0,"",     0,"*stub-ar-ō- vb.",  1710,"stuprum, -i n. `Schande, Schimpf', stupeō, -ēre, -uī `starr, unbeweglich sein; betäubt, verblüfft sein'","","","","","WP II 615 f",""
2562,"*steu-", 621,"to commend, to affirm","хвалить, утверждать",1900,"isduwa- 'kund werden, offenbar werden' (Tischler 437f)","stáuti, stávate `to praise', ptc. stutá-; stutí- f. `praise, eulogy', stotár- `praising, worshipping'","staoiti `lobt, preist, besingt; betet', ptc. stūta-; stūiti-; staotar-","","","stêu̯tai̯, ipf. stêu̯to `feierlich kundgeben, sich anheischig machen, versprechen, drohen, behaupten'","",     0,"",     0,"",     0,"","","","","","WP II 620",""
2563,"*(s)teg- (sth-)",1264,"to cover","накрывать",1875,"","sthagati `to cover, hide, conceal', ptc. sthagita-","","","","stégō, aor. stéksai̯, ps. stekhthē̂nai̯ `(be)decken, schützen, abwehren, dicht halten, tragen, aushalten'; stégos, tégos n., stégǟ, { tégǟ } f. `Dach, Decke, bedeckter Ort, Haus, Zimmer', steganó- `deckend, schirmend; bedeckt, versteckt', stegnó- `bedeckt, wasserdicht, verstopft'","",     0,"*stā̂g-a- (2) m.",  1247,"*ϑak-ja- vb., *ϑak-a- n., *ϑak-jō(n-) f., *ϑak-in-ō f.; *ϑak-ō f.; *stak-ōn- f.",  1711,"tegō, -ere, tēxī, tēctum `decken; verbergen; verstecken; schirmen', tēctus, -a `bedeckt', tēctum, -ī n. `Dach, Zimmerdecke, Haus, Obdach'; teges, -etis `Decke', tegumen, -inis n. `Bedeckung, Decke, Hülle, Versteck'; tēgula f. `Dachziegel, Ziegeldach; Deckplatten', toga f. `Toga, männliches und weibliches Kleidungsstück'","Umbr tehteřim `tegimentum, tēctōrium'","*tegos, *togje- etc. > Gaul Thigernum castrum;; OIr tech `Haus'; teg-lach `Hausgenossenschaft', tigerne `Herr'; -tuigur `ich decke'; tuige `stramen', im-thuge `Bedeckung, Bekleidung', ētach `Kleid'; OCymr tig `Haus', Cymr ty `Haus', teulu `Familie', teyrn `rex, tyrannus', am-do `amiculum, involucrum', to `Dach', toi `tegere'; OCorn ti `Haus', teilu `Familie', Corn to `Dach', OBret bou-tig `Kuhstall', Cato-tigerni","","","WP II 620 f",""
2564,"*stemb-",   0,"to trample down","топтать",   0,"","","","","","stémbō `unaufhörlich schütteln; misshandweln, schmähen'","",     0,"",     0,"*stamp-a- m., *stamp-ia- vb., *stamp-ō- vb.",  1712,"","","","","","WP II 623 f",""
2565,"*stebh-",1253,"stick, post","палка, столб",   0,"","","","","","","*stoborъ, *stъbъrъ (Sloven stəbər)",     0,"*stab-a- c., *stab-ar-a- c., *steb-ar-a- c., *steb-iā̃, *steb-er-iā̃ f., *stab-ur-ia- c., *",  1248,"*stab-i- c., *stab-r=, *stabb-an- m., etc.",  1713,"","","","","","WP II 623 f",""
2566,"*stembh-",   0,"to strengthen, to resist","укреплять(ся), оказывать сопротивление",   0,"","stabhnā́ti, stabhnóti, stámbhate, -ti, pf. tastámbha, tastabhúḥ `to fix firmly, support, hold up; stop, stop up', ptc. stabhitá-, stabdha-; stambha- m. `post, pillar, column; support; stoppage, suppression', stambhana- n. `strengthening, supporting; stopping'","stəmbana- `Stütze', stawra- `fest'","NPers sitabr, istabr `stark, gewaltig'","","a-stemphḗs `unerschütterlich, fest'; stómpho-s m. `schwülstiger, hochtrabende Rede'","",     0,"*stem̃b-/*stem̂b- (-ja-) vb.",  1249,"",     0,"","","","","B śćänm-, śćämn- 'to bind on, bind together, establish' (Adams 638)","WP II 623 f",""
2567,"*stAmə- / *stemə-",   0,"to push, to stumble","толкать; спотыкаться",1887,"","","","","","","",     0,"*stum̃-/*stum̂- (1) (*stum-a-/*stum-ja-) vb. tr., *stūm-ē̂- vb.",  1250,"*stim-a- vb., *stam-ja- vb., *stam-a- adj., *stamm-a- adj., *stam-r=, *stam-l=, *stamm-ia- vb., *stum=, etc.",  1715,"","","","","","WP II 625 f",""
